#漢字	音標	解釋
擛	iaʔ8	挥手
擦	tsʰaʔ7	
擰	niaŋ3	
擸	luoʔ7	叠起碗
擺	pa3	
攤	tʰai2	
攪	ka3	
攬	lau3	
支	tʃʅ1	
收	ɕiu1	
改	kɨe3	
放	piau5	
政	tɕiau5	
教	ka1	
教	ka5	
敢	kau3	
散	sai5	
敨	tʰie3	
敬	tɕiŋ5	
敲	kʰa1	
整	tɕiau3-	动词
整	tsaŋ3=	
敵	tʰiʔ7	
數	sɿ5	
文	vaŋ2	
斑	pai1	
斗	tie3	
料	liuo6	
斜	tsʰia2	
斤	tɕiŋ1	
斧	pɨə3	
新	siŋ1	
斷	tʰai2	动词
斷	tai3	～糍粑，～脐
方	fau1	
旋	tsʰe6	
族	tsʰiuʔ8	
日	ŋiʔ8	
旦	tai5	
早	tsu3	
旱	hai1	
旺	vau6	
旺	iau6	人多
昌	tɕʰiau1	
明	miaŋ2-	
明	miŋ2=	
昏	faŋ1	
星	saŋ1	
春	tsʰiŋ1	
昨	tsʰuʔ8	
是	ʃʅ6	
時	ʃʅ2	
晝	tɕiu5	
晡	pɨə1	
晨	saŋ2	
晴	tsʰiaŋ2	
暈	viŋ6	
暑	ʃye5	
暖	nai3	
暗	au5	
曆	liʔ8	
曲	tʃʰyeʔ7	
更	kau1	
書	ʃye1	
曹	tsʰu2	
曾	tsaŋ1	
曾	tsʰaŋ2	
最	tsə5	
會	vɨe6-	
會	fə6=	开～
有	iu1	
朋	pʰaŋ2	
服	fɨəʔ8	
望	vau6	
朝	tɕiu1	洗三～
朝	tʃiuo1	今～
朝	tʃiuo2	
期	tɕʰi2	
木	muʔ8	
未	vi6	
末	maʔ8	
本	paŋ3	
朱	tʃye1	
朵	tu3	
杈	tsʰuo1	
杉	tsʰau5	
李	ti3-	
李	li3=	行～
杏	haŋ6	
材	tsʰa2	
村	tsʰaŋ1	
杜	tʰiu6	
杞	tɕi3	
杭	hau2	
東	tiŋ1	
杷	pʰuo2	
松	tsʰiŋ2	
板	pai3	
枇	pʰi2	
枉	vau3	
枋	piau1	
枕	tsaŋ3	
林	tiŋ2	树～
林	liŋ2	姓氏
枚	mɨe2	
果	ku3	
枝	tʃʅ1	
枯	kʰuə1	
架	kuo5	
枸	tɕie3	
柄	piaŋ5	
柏	puoʔ7	
柑	kau1	
染	ŋie3	
柱	tʃʰye1	
柳	liu3	
柴	tsʰa2	
柺	kua3	
柿	si6	
栗	tiʔ8	
校	ka3	
核	fəʔ8	
根	kaŋ1	
栽	tsə1	
桁	hau2	长条量词
桃	tʰu2	
框	kʰau1	
桌	tsuʔ7	
桐	tʰiŋ2	
桶	tʰiŋ3	
梁	liau2	
梅	mɨe2	
梗	kau3	
條	tʰa2	
條	tʰiuo2	
梨	ti2	
梯	tʰie1	
梳	sɿ1	
棉	me2	
棋	tɕʰi2	
棍	kuaŋ5	
棗	tsu3	
棚	pʰau2	
棟	tiŋ5	
森	saŋ1	
棺	kuai1	
椎	tie1	鸡～：鸡屁股
椒	tsiu1	
楊	iau2	
楓	puŋ1	
楚	tsʰɿ3	
業	ŋiaʔ8	
極	tɕʰieʔ8	
楻	fau2	木桶
榫	saŋ3	
榴	liu2	
槌	tɕʰi2	
槳	tsiau3	
槽	tsʰu2	
樂	luʔ8	
樓	lie2	
標	piuo1	
樟	tɕiau1	
模	mu2	
樣	iau6	
樵	tsʰiu2	
樹	ʃye6	
橄	kau3	
橋	tɕʰiu2	
機	tɕi1	
橫	vau2	
櫃	kʰuə6	
櫥	tʃʰye2	
欄	lai2	
權	tʃʰe2	
欖	lau3	
欠	tʃʰe5	
次	tsʰɿ5	
欺	tɕʰi1	
歇	ɕiʔ7	
歌	ku1	
歡	fai2	
正	tɕiau1	
正	tɕiau5	
步	pʰɨə6	
武	vɨə3	
歪	ua1	
歲	sə5	
歸	kuə1	
死	si3	
殕	pʰɨə3	霉
殮	te6	
殯	piŋ5	
殺	saʔ7	
殼	kʰuʔ7	
每	mɨe3	
毒	tʰiuʔ8	
比	pi3	
毛	mu1	
毫	hu2	
毯	tʰai3	
氏	ʃʅ5	
民	miŋ2	
氣	tɕʰi5	
水	fi3	
永	viŋ2	
汀	tʰaŋ1	
汁	tʃʅʔ7	
求	tɕʰiu2	
汗	hai6	
江	kuŋ1	
池	tʃʰʅ2	
決	tɕieʔ7	
汽	tɕʰi5	
沃	vɨəʔ7	浇水
沉	tsʰaŋ2	
沙	suo1	
河	hu2	
油	iu2	
治	tʃʰʅ2	杀
沿	ve1	
泄	sieʔ7	
泉	tsʰe2	
法	fuoʔ7	
泡	pʰa5	
波	pu1	
泥	nə2	
洋	iau2	
洗	sə3	
活	faʔ8	
流	liu2	
浮	pʰu2	
浴	yeʔ8	
海	hə3	
浸	tsiŋ5	
涼	tiau2	
淡	tʰau1	
淨	tsʰiaŋ6	
深	tsʰaŋ1	
淺	tsʰe3	
添	tʰe1	
清	tsʰiŋ1	
渠	tʃye1	
渣	tsuo1	
湊	tsʰie5	
湖	fɨə2	
湯	tʰuŋ1	
準	tɕiŋ3	
溝	tɕie1	
溪	kʰə1	
溫	vaŋ1	
溼	tɕʰiʔ7	
滑	vəʔ8	
滴	tiʔ7	
滸	fɨə3	
滾	kuaŋ3	
滿	mai1	
漁	ŋye2	
漏	lie6	
漢	kai5	
漲	tɕiau3	
漿	tsiau1	
潑	pʰaʔ7	
潤	viŋ6	
潭	tʰai2	
潮	tʃiuo2	
潽	pʰɨə1	液体沸腾溢出
澀	ɕiuʔ7	
澡	tsu3	
澤	səʔ7	
濤	tʰu1	
灌	kuai5	
灣	uai1	
火	fɨe3	
灰	fɨe1	
灶	tsu5	
災	tsa1	
炆	vaŋ2	
炊	tɕʰi1-	
炎	ie2	
炒	tsʰa3	
炙	tʃuoʔ7	
炭	tʰai5	
炮	pʰa5	
爲	vi2	
烈	lieʔ8	
烊	iau2	
烏	vɨə1	
焦	tsa1@	干燥
煎	tse1	
煙	ie1	
煠	suoʔ8	
煤	mɨe2	
照	tʃiuo5	
煨	vɨe1	
煮	tʃye3	
熝	liuʔ8	
熟	ʃyeʔ8	
熨	viʔ7	
熬	ŋu2	
熱	ŋiʔ8	
燈	taŋ1	
燕	ie5	
燭	tʃyeʔ7	
爆	pa5	
爐	liu2	
爛	lai6	
爪	tsa3	
爭	tsau1	
父	fɨə6	
爹	tuo1	
爺	ia2	
牀	suŋ2	
牆	tsʰiau2	
片	pʰe5	
牌	pʰə2	
牙	ŋuo2	
牛	ŋie2	
牡	mie3	
牯	kuə3	
牲	sau1	
特	tʰiʔ8	
牽	tʃʰe1	
牽	tɕʰie1	
犁	lə2	
犯	fuo6	
狀	tsʰau6	
狐	fɨə2	
狗	tɕie3	
狠	haŋ3	
狸	ti2	
狹	ɕieʔ8	
狼	lau2	
猋	piu1	向上蹦跳
猜	tsʰa1	
猴	ɕie2	
獄	yeʔ8	
獅	sɿ1	
獨	tʰiuʔ8	
獵	luoʔ8	
玉	ŋyeʔ8	
王	vau2	
玻	pu1	
珍	tsaŋ1	
珠	tʃye1	
球	tɕʰiu2	
理	li3	
琴	tɕʰiŋ2	
琶	pʰi2	
瑞	fi6	
璃	li2	
環	vai2-	耳～
環	fai2=	连～炮
瓜	kuo1	
瓠	fɨə2	
瓤	niŋ1	瓜～
瓦	ŋuo3	
瓶	pʰiŋ2	
甘	kau1	
甜	tʰe2	
生	sau1	～卵
生	saŋ1=	
生	tsʰiaŋ1@	不熟，本字为青
產	sai3	
甥	saŋ1	
甫	pʰɨə3	杜～
田	tʰe2	
甲	kuoʔ7	
申	saŋ1	
男	nau2	
界	tɕia5	
留	tiu2	
畚	paŋ3	
畝	mie3	
番	fai1	
畫	fuo6	
當	tuŋ1	
當	tuŋ3	生～：陌生
疆	tɕʰiau1	
疊	tʰieʔ8	
疏	sɿ1	
疤	puo1	
疾	tsʰiʔ8	
疿	pə5	
症	tsaŋ5	
痔	tʃʰʅ6	
痢	ti2	
痣	tʃʅ5	
痰	tʰau2	
痲	muo2	
痺	pi5	
瘡	tsʰuŋ1	
瘦	sie5	
癌	ŋau2	
癢	iau1	
癩	laʔ7	
癬	tsʰe3	
癲	te1	
癸	kuə3	
登	taŋ1	
發	pɨeʔ7-	
發	faʔ7	
白	pʰəʔ8	
白	pʰuoʔ8	
百	puoʔ7	
皇	fau2	
皮	pʰi2	
盆	pʰaŋ2	
盒	huoʔ8	
盖	kʰaŋ2@	
盞	tsai3	
監	kau1	
盤	pʰai2	
盪	tʰuŋ5	～衫：票洗衣服
目	muʔ8	
直	tʃʰʅʔ8	
相	siau1	
相	siau5	
省	sau3	节～
省	saŋ3	福建～
眉	mi2	
真	tsaŋ1	
眼	ŋie3	
眾	tʃuŋ5	
着	tɕiuʔ7	穿
着	tʃʰuʔ8	电灯点～；正确
睡	fi6	
短	tai3	
矮	ə3	
石	ʃuoʔ8	
砧	tsaŋ1	
破	pʰu5	
硬	ŋau6	
碉	tiuo1	
碑	pi1	
碓	tie5	
碗	vai3	
碟	tʰieʔ8	
碡	tʃʰyeʔ8	
磚	tʃe1	
磟	liuʔ8	
磨	ma2-	～刀
磨	mu6=	名词
礬	fai2	
礱	liŋ2	
社	ʃuo6	
祖	tsɿ3	
祝	tʃyeʔ7	
神	saŋ2	
祠	tsʰɿ2	
票	pʰiuo5	
祭	tsi5	
福	fɨəʔ7	
禮	li3	
禹	ye3	
禾	vɨe2	
秀	siu5	
私	sɿ1	
秋	tsiu1	
科	kʰu1	
秒	miuo3	
租	tsɿ1	
秤	tsʰaŋ5	
秧	iau1	
稀	ɕi1	
稅	fi5	
稈	kai3	
稗	pʰə6	
種	tʃuŋ3	
種	tʃuŋ5	
