#漢字	音標	解釋
□	tsʰɪ4	看见
科	kʰo1	
秒	miu4	
租	tsɤ1	
秤	tɕʰian5	
秦	tsʰin2	
秧	iɔu1	
稱	tɕʰian1	～重量
稱	tɕʰian5	～职
稀	ɕi1	
稅	sɤ5	
稠	tɕʰiu2	
穩	uɛ3	
稻	tʰɤ4	
稼	ko5	
稿	kɤ3	
穆	mu1	
穴	ɕyːɐ1	
窮	tɕʰian2	
空	kʰan1	悬～
空	kʰan5	有～
穿	tɕʰyːɐ1	
窑	iu2	
窖	ko5	
窗	tsʰɔu1	
竄	tsʰuːɐ5	
窠	kʰo1	
立	li1	
站	tsʰɔu6	车～
章	tɕiɔu1	
童	tan2	
端	tuːɐ1	
竹	tɕiuʔ7	
笑	siu5	
笔	piʔ7	
笛	tɪ1	
笠	li1	
笨	pɛ4	
第	tɪ6	
籠	lan2	
等	tɛ3	
筋	tɕian1	
筐	kʰɔu1	
答	tɔuʔ7	
策	tsʰaʔ7	
篩	sa1	
箏	tɕiːɐ1	
筷	kʰua5	
籌	tɕʰiu2	
签	tsʰiːɐ1	
簡	kɔu3	
算	suːɐ5	
管	kuːɐ3	
籮	lo2	
箭	tsiːɐ5	
箱	siɔu1	
篇	pʰiːɐ1	
籃	lɔu2	
篾	miːɐ1	
簟	tʰiːɐ4	
簧	xɔu2	
簿	pʰu3	
簿	pʰu4	
米	mɪ4	
粉	fɛ3	
粒	li1	
粗	tsʰɤ1	
粘	ȵiːɐ2	
粟	siuʔ7	
粥	tɕiuʔ7	
糞	fɛ5	
糧	liɔu2	
粱	liɔu2	
糉	tsan5	
精	tsɛ1	
糍	tsʰɿ1	
糕	kɤ1	
糖	tʰɔu2	
糟	tsɤ1	
糠	kʰɔu1	
糯	lo6	
素	sɤ5	
索	soʔ7	
緊	tɕian3	
紫	tsɿ3	
累	li6	
絮	si5	
繁	fɔu2	
糾	tɕiu1	
紅	xan2	
約	iuʔ7	
級	tɕiʔ7	
純	ɕyan2	
紗	so1	
綱	kɔu1	
納	lo1	
紛	fɛ1	
紙	tɕi3	
紋	uɛ2	
紡	fɔu3	
紐	ȵiu4	
線	siːɐ5	
練	liːɐ6	
組	tsɤ3	
織	tɕiʔ7	
終	tsan1	
絆	pɔu5	
經	tɕiːɐ1	
絨	ian2	
結	tɕiaʔ7	
繞	ȵiu4	
絕	tɕyːɐʔ7	
統	tʰan3	
繡	siu5	
績	tsiʔ7	
續	siu1	
繩	ɕian2	
維	uɪ2	
綿	miːɐ2	
綢	tɕʰiu2	
綜	tsan1	
綠	liu1	
緬	miːɐ4	
緞	tuːɐ6	
編	piːɐ1	
緣	yːɐ2	
縫	fan2	
縮	sɤ7	
縮	sɤʔ7	
繳	tɕiu3	
缸	kɔu1	
缺	tɕʰyːɐʔ7	
罐	kuːɐ5	
网	mɔu4	
罕	xuɤ3	
羅	lo2	
罰	fɤ1	
置	tɕi5	
羊	iɔu2	
美	mɪ3	
羔	kɤ1	
羞	siu1	
羣	tɕʰyan2	
羽	y4	
翁	an1	
翅	tɕʰi6	
翠	tsʰi5	
翰	xuɤ6	
翻	fɔu1	
耀	iu6	
老	lɤ4	
考	kʰɤ3	
耐	la6	
耕	tɕiːɐ1	
耗	xɤ5	
耙	pʰo2	
耳	ɤ4	木～
恥	tɕʰi3	
耽	tɔu1	
聊	liu2	
聾	lan2	
職	tɕiʔ7	
聯	liːɐ2	
聰	tsʰan1	
肉	ȵiu1	
肌	tɕi1	
肚	tɤ4	
肛	kɔu1	
肝	kuɤ1	
腸	tɕʰiɔu2	
股	ku3	
肢	tɕi1	
肥	fi2	
肩	tɕiːɐ1	
肯	tɕʰian3	
育	iuʔ7	
肺	fi5	
腫	tsian3	
脹	tɕiɔu5	
胃	uɪ6	
胎	tʰɤ1	
胖	pʰɔu5	
胛	kɔuʔ7	
胞	po1	
胡	xu2	姓～，二～
膠	ko1	
胸	ɕian1	
能	lɛ2	
脆	tsʰɪ5	
脉	ma1	
脏	tsʰɔu6	心～
腦	lɤ4	
膿	lan2	
腳	tɕiuʔ7	
脯	pʰu2	
脫	tʰuːɐʔ7	
腡	lo2	
脾	pʰi2	
臘	lo1	
腕	uːɐ5	
腥	sɛ1	
腰	iu1	
騰	tʰɛ2	
膏	kɤ1	
膘	piu1	
膜	mo2	
膝	siʔ7	
臊	sɤ1	
臣	ɕian2	
自	tsʰɿ6	
臭	tɕʰiu5	
至	tɕi5	
舀	iu4	
舅	tɕʰiu4	
舍	ɕia3	
舒	ɕy1	
舔	tʰiːɐ3	
舟	tɕiu1	
航	xɔu2	
般	pɔu1	
船	ɕyːɐ2	
良	liɔu2	
艱	kɔu1	
色	saʔ7	
艳	iːɐ6	
艾	ŋa6	
節	tsiːɐʔ7	
芋	y6	
芒	mɔu2	
芝	tɕi1	
芥	ka5	
蘆	lɤ2	
芬	fɛ1	
芭	po1	
芳	fɔu1	
芹	tɕian2	
芽	ŋo2	
蒼	tsʰɔu1	
苏	sɤ1	
苗	miu2	
若	ȵiu1	
苦	kʰu3	
范	fɔu4	
茅	mo2	
茫	mɔu2	
茶	tso2	
茸	ian2	
草	tsʰɤ3	
荒	xɔu1	
荔	li6	
蕩	tɔu4	
藥	iu1	
荷	xo2	
蓮	liːɐ2	
莽	mɔu4	
菊	tɕiuʔ7	
菜	tsʰo5	
菠	po1	
菩	pʰu2	
菱	lin2	
萄	tʰɤ2	
萍	pʰɛ2	
萎	uɪ1	
營	iːɐ2	
薩	sɔuʔ7	
落	lo1	
著	tɕy5	
葡	pʰu2	
董	tan3	
葫	xu2	
葬	tsɔu5	
葱	tsʰan1	
葵	tɕʰy2	白
葵	kʰuɪ2	文
蔣	tsiɔu3	
蒙	man2	
蒜	suːɐ5	
蒲	pʰu2	
蒸	tɕian1	
蓑	so1	
蓖	pɪ1	
藍	lɔu2	
蓬	pʰan2	
蔗	tɕia5	
蔡	tsʰa5	
蕉	tsiu1	
薄	po1	
薪	sin1	
藏	tsʰɔu6	西～
藕	ȵiu4	
藤	tʰɛ2	
虎	xu3	
虜	lɤ4	
虑	li6	
虛	ɕy1	
虞	y2	
蟲	tsʰan2	
虹	xan2	
虻	man2	
蟻	ȵi4	
蚣	kan1	
蚤	tsɤ3	
蛀	tɕy5	
蛆	tsʰi1	
蛇	ɕia2	
蛙	ua1	
蛛	tɕy1	
蛤	ka2	
蠻	mɔu2	
蛾	ŋo2	
蜂	fan1	
蜈	u2	文
蜈	iu2	白
蜒	tɛ2	
蜘	tɕi1	
蜜	mi1	
蠟	lo1	
蜻	tsʰɛ1	
蝎	ɕiaʔ7	
蝙	piːɐ1	
蝶	tiːɐ1	
螂	lɔu2	
螃	pʰɔu2	
融	ian2	
螺	lo2	
蟆	mo2	
蟒	mɔu4	
蟹	xa3	
蠢	tɕʰyan3	
血	ɕyːɐʔ7	
行	xɛ2	～为
行	xɔu2	银～
銜	xuɤ2	
銜	xɔu2	
街	ka1	
衙	ŋo2	
衣	i1	
補	pu3	
表	piu3	
袁	yːɐ2	
襖	ŋɤ3	
袋	tʰɤ6	
袍	pʰɤ2	
袖	siu6	
被	pʰi4	～条
被	pʰi6	～打
襲	tsʰɪ1	
裁	tsʰɤ2	
裂	liːɐ1	
裝	tsɔu1	
裙	tɕʰyan2	
褲	kʰu5	
裹	ko3	
襟	tɕian1	
要	iu1	～求
要	iu5	想～
見	tɕiːɐ5	
觀	kuːɐ1	
規	tɕyɪ1	
視	ɕi6	
覽	lɔu4	
覺	koʔ7	
角	koʔ7	
解	ka3	
觸	tɕʰiuʔ7	
言	ȵiːɐ2	
訂	tɛ5	
認	ȵian6	
譏	tɕi1	
討	tʰɤ3	
讓	ȵiɔu6	
訓	ɕyan5	
議	ȵi6	
訊	ɕyan5	
記	tɕi5	
講	kɔu3	
許	ɕy3	
論	luːɐ6	
訣	tɕyːɐʔ7	
证	tɕian5	
評	pʰɛ2	
識	ɕiʔ7	
訴	sɤ5	
診	tɕian3	
詩	ɕi1	
話	uːɐ6	
該	kuɤ1	
詳	tsʰiɔu2	
誣	u1	
誤	u6	
說	ɕyːɐʔ7	
讀	tʰɤ1	
課	kʰo5	
調	tʰiu2	～料
調	tiu5	～动
調	tiu6	音～
諒	liɔu6	
談	tʰɔu2	
誼	ȵi6	
謀	miu2	
謊	xɔu3	
謂	uɪ6	
謝	tsʰiːɐ6	
謠	iu2	
謙	tɕʰiːɐ1	
譚	tɔu2	
譜	pʰu3	
谷	kuʔ7	
豌	uːɐ1	
象	tsʰiɔu4	
豪	xɤ2	
豹	po5	
豺	sa2	
貂	tiu1	
貌	mo6	
貝	pi5	
負	fu4	
貢	kan5	
財	tsʰɤ2	
責	tsaʔ7	
敗	pʰa6	
賬	tɕiɔu5	
貨	xo5	
質	tɕiʔ7	
販	fɔu5	
貪	tʰɔu1	
貧	pʰin2	
購	tɕiu5	
貫	kuːɐ5	
貼	tʰiːɐʔ7	
貴	tɕy5	
貿	miu6	
費	fi5	
賀	xo6	
賊	tsʰɤ1	
賂	lɤ6	
資	tsɿ1	
賒	ɕia1	
賭	tɤ3	
賴	la6	
賽	sɤ5	
赞	tsɔu5	
走	tsɤ3	
趙	tɕʰiu4	
起	tɕʰi3	
趁	tɕʰian5	
超	tɕʰiu1	
越	yːɐ1	
足	tsiuʔ7	
趾	tɕi3	单念或在词首不变音，“趾趾”的后一个字小称音变
跌	tiːɐʔ7	
跑	pʰo2	
跛	po3	
跟	kɛ1	
跪	tɕʰy3	
路	lɤ6	
跳	tʰiu5	
踢	tʰiʔ7	
蹄	tɪ2	
身	ɕian1	
躬	kan1	
躲	to3	
車	tɕy1	～马炮
車	tɕʰia1	
轉	tɕyːɐ3	
輪	lin2	
軟	ȵyːɐ4	
轎	tɕiu6	
較	ko5	
輸	ɕy1	
轅	yːɐ2	
辛	sin1	
辣	luːɐ1	
辨	piːɐ4	
辯	piːɐ4	
辰	tɕian2	
邊	piːɐ1	
遼	liu2	
迁	tsʰiːɐ1	
過	ko5	
邁	ma6	
運	yan6	
近	tɕʰian4	
還	uɪ2	～原，～有
進	tsin5	
遠	yːɐ4	
違	uɪ2	
連	liːɐ2	
遲	tɕʰi2	
迷	mɪ2	
追	tsɪ1	
送	san5	
逃	tʰɤ2	
選	siːɐ3	
透	tʰiu5	
途	tɤ2	
逗	tiu6	
通	tʰan1	
造	tsʰɤ4	
逢	fan2	
逼	pɪʔ7	
道	tʰɤ4	
遭	tsɤ1	
遮	tɕia1	
避	pʰi6	
邀	iu1	
那	la6	文
邦	pɔu1	
邪	tsʰiːɐ2	
鄰	lin2	
郊	ko1	
郎	lɔu2	
部	pʰu4	
郭	kuːɐʔ7	
都	tɤ1	
鄙	pi3	
酒	tsiu3	
酥	sɤ1	
醬	tsiɔu5	
酵	ko5	
酸	suːɐ1	
醉	tsi5	
醋	tsʰɤ5	
醒	sɛ3	
采	tsʰɤ3	
里	li4	
重	tsʰian2	～复
重	tsʰian4	轻～
野	ia4	
量	liɔu2	～长短
量	liɔu6	数～
金	tɕian1	
针	tɕian1	
釘	tɛ1	
釣	tiu5	
釵	tsʰa1	
鈔	tsʰo1	
钟	tsian1	
鋼	kɔu1	
鈞	tɕyan1	
鉤	tɕiu1	
錢	tsʰiːɐ2	
鉗	tɕia2	
鉢	pɔuʔ7	
鑽	tsuːɐ1	～进来，动词
鑽	tsuːɐ5	电～儿，名词
鐵	tʰiːɐʔ7	
鈴	lɛ2	
銅	tan2	
鍘	tsɔuʔ7	
铲	tsʰɔu3	
銀	ȵian2	
鋪	pʰu1	～床
鋪	pʰu5	店～
銷	siu1	
鎖	so3	
鋤	sɤ2	
鍋	ko1	
鏽	siu5	
鋒	fan1	
錫	siʔ7	
鑼	lo2	
錘	tɕʰy2	
錦	tɕian3	
鋸	tɕy5	
鍛	tuːɐ5	
鍍	tɤ6	
鎮	tɕian5	
鑊	o6	铁～：铁锅
鐲	tso1	
镰	liːɐ2	
長	tɕiɔu2	～时间
長	tɕiɔu3	～大
門	mɛ2	
閂	suːɐ1	
問	mɛ6	
閏	yan6	
闲	xɔu2	
間	kɔu1	
悶	mɛ6	
鬧	lo6	
聞	uɛ2	
鬮	tɕiu1	
閹	iːɐ1	
閻	iːɐ2	
闊	kʰuːɐʔ7	
防	fɔu2	
陽	iɔu2	
陰	ian1	
陣	tɕʰian6	
階	ka1	
阻	tsɤ3	
陸	lɤ1	
陳	tɕʰian2	
陋	liu6	
降	xɔu2	投～
降	kɔu5	下～
陝	ɕiːɐ3	
院	yːɐ6	
除	tɕʰy2	
險	ɕiːɐ3	
陵	lin2	
陶	tʰɤ2	
隨	tsʰi2	
隔	kaʔ7	
障	tɕiɔu5	
隧	tsʰi6	
難	lɔu2	困～
難	lɔu6	灾～
雁	ŋɔu6	
雄	ɕian2	
集	tsʰɪ1	
雇	ku5	
雕	tiu1	
雨	y4	
雪	siːɐʔ7	
零	lɛ2	
雹	po1	
霄	siu1	
震	tɕian5	
霜	sɔu1	
霞	xo2	
露	lɤ6	
霸	po5	
青	tsʰɛ1	
非	fi1	
靠	kʰɤ5	
面	miːɐ6	
靨	iaʔ7	
革	kaʔ7	
鞋	xa2	
鞍	ŋuɤ1	
鞭	piːɐ1	
韓	xuɤ2	
韭	tɕiu3	
音	ian1	
韵	yan6	
頁	ia1	
頂	tɛ3	
順	ɕyan6	
顧	ku5	
頓	tuːɐ5	
頒	pɔu1	
領	lɛ4	
顆	kʰo1	
題	tɪ2	
顏	ŋɔu2	
顴	tɕʰyːɐ2	
風	fan1	
風	fan4	
飄	pʰiu1	
飛	fi1	
食	ɕi1	
餐	tsʰɔu1	
饥	tɕi1	
飯	fɔu6	
飾	ɕiʔ7	
飽	po3	
餅	pɛ3	指大的饼，而在指称小的饼时“饼”要发生小称音变
餓	ŋo6	
館	kuːɐ3	
饃	mo2	
饅	mɔu2	
首	ɕiu3	
香	ɕiɔu1	
馬	mo4	
馱	to2	
駁	poʔ7	
驢	li2	
駛	sɿ3	
駝	to2	
駕	ko5	
罵	mo6	
驕	tɕiu1	
驗	ȵiːɐ6	
騎	tɕʰi2	
騙	pʰiːɐ5	
騾	lo2	
骨	kuːɐʔ7	
髓	tsʰi3	
高	kɤ1	
鬃	tsan1	
鬍	u2	～鬚
鬥	tiu5	～气
魂	xuɛ2	
魄	pʰaʔ7	
魏	uɪ6	
魔	mo2	
魚	y2	
魯	lɤ4	
鮎	liːɐ2	
鮮	siːɐ1	
鯽	tsiʔ7	
鯽	tsɪʔ7	
鱖	tɕyɪ5	
鱗	lin2	
鳩	tɕiu1	
鴉	ŋo1	
鸕	lɤ2	
鴻	xan2	
鶴	xo1	
鸚	iːɐ1	
鷹	ian1	
鹿	lɤ1	
麥	ma1	
麻	mo2	
黃	xɔu2	姓～
黃	ɔu2	～色
黑	xɤʔ7	
默	mɪ1	
鼓	ku3	
鼠	tɕʰy3	
鼻	pʰi6	
齒	tɕʰi3	
龍	lin2	
龜	tɕy1	
龜	tɕy3	
𠍲	kʰɤ2	第三人称代词
