#漢字	音標	解釋
折	tsie7	～叠
抛	pʰɔ1	
搶	tsʰie3	
護	ɦʋu6	
報	pɜ5	
披	pʰi1	
抬	de2	
抯	tso3	取、拿
抱	bɜ4	
抵	ti3	
抹	mø8	～药
押	ʔa7	
抽	tsʰiu1	
擔	ta1	动词
擔	ta5	名词
拆	tsʰa7	
拉	la4	骡～
拉	ʔla1	
拔	bo8	
拖	tʰa1	
拗	ʔɔ3	～断
拘	tɕy1	
拜	pa5	
擬	ŋ4	
攏	lʊŋ4	
揀	ka3	
攔	la2	
拯	tsiŋ3	
拳	dʑye2	
拿	ȵa8	
挂	ko5	
指	tsɿ3	
挈	tɕʰie7	
挑	tʰiɛ1	～唆
挑	tʰiɛ3	～选
擋	tɔ5	
挨	ʔa1	～磨: 转磨、拉磨
挪	du2	
捆	kʋʰaŋ3	
捉	tɕo7	
捎	so1	～马袋:褡裢
捐	tɕye1	
損	sø3	
換	ɦʋa6	
据	tɕy5	
捶	dʑiɿ2	
捺	na8	逼～
掇	tø7	
掌	tsie3	
排	ba2	
掘	dʑai8	
探	tʰø5	
接	tsie7	
推	tʰai1	
掫	tsʰau3	暗中窥伺
擄	lu4	
撣	ta3	
摜	ɡʋa6	扔
掽	bɛ6	轻触
提	di2	
揣	tsʰai3	～摩
揰	tɕʰɔ5	水流冲击、用水冲洗
擱	ko7	
攪	kɔ3	
搓	tsʰu1	
搝	tɕʰau3	讨
搬	bø2	
搭	ta7	
搽	dzo2	
摆	pa3	
摇	ɦjiɛ2	
攤	tʰa1	
摘	tsa7	
摸	mo8	
撑	tsʰɛ1	
撒	tsa7	～种
撒	sa5	
撕	sɿ1	
撞	dʑɔ2	
操	tsʰɜ5	
擘	pʰa5	用手分开或折断东西:把饼～开
支	tsi1	
收	siu1	
改	ke3	
攻	kʊŋ1	
放	fɔ5	
故	ku5	
敵	die8	
救	tɕau5	
敒	tɕʰʊŋ1	伸: ～ 盘底;通过空地、孔隙
教	kɔ5	
敢	kø3	
散	sa5	～开
敦	taŋ5	放置
敬	tɕaŋ5	
數	ɕiɿ3	动词
數	su5	名词
敲	kʰɔ1	
整	tsiŋ3	
敷	fu1	
文	vaŋ2	
斑	pa1	
斗	tau3	方～
斗	tau5	～争
料	liɛ6	
斤	tɕaŋ1	
斧	fu3	
斫	tɕa7	
斷	tø5	～～不会过去
斷	daŋ4	～气
新	saŋ1	
方	fɔ1	
施	sɿ5	
施	si5	
旁	bɔ2	
族	ɕu8	
无	vu2	
既	tɕiɿ5	
日	ne8	～昼: 白天
日	zai8	
旦	da6	地名用字, 约旦，与常用“花旦”之“旦”不同
舊	dʑau6	
旨	tsɿ3	
早	tsɜ3	
旬	ɦjʊŋ2	
時	zɿ2	
曠	kʰɔ5	
旺	ɦɔ6	
昆	kʋaŋ1	～虫
明	maŋ2	～朝:明天
明	miŋ2	聪～,～当当
昏	hye1	黄～
昏	hʋaŋ1	头～
易	ɦji6	
星	siŋ1	
昧	mai6	
昨	zo2	
是	zɿ4	
晝	tsiu5	
顯	ɕie3	程度副词，后置于形容词，表程度加强:好～
曬	sa5	
曉	ɕa3	
晚	va4	
晴	ziŋ2	
智	tsɿ5	
暫	dza6	
暗	ʔø5	
曲	tɕʰo7	
更	kɛ1	四～
更	kɛ5	～加
替	tʰi5	
最	tse5	
月	ȵye8	
有	ɦjau4	
朋	bʊŋ2	
服	vu8	
望	mɔ6	
望	vɔ6	
朝	tɕiɛ1	～阳
朝	dʑiɛ2	～别人讲
木	mu8	
未	mi6	
未	vi6	
末	mø8	
本	paŋ3	
术	ʑye8	
朵	to3	
機	tɕiɿ1	
朽	ɕau3	
殺	sa7	
雜	zø8	
權	dʑye2	
杈	tsʰo5	
李	li4	
材	ze2	
村	tsʰø1	
條	diɛ2	
來	li2	走～
來	le2	将～
杯	pai1	
松	sʊŋ1	
板	pa3	
極	dʑai8	
枕	tsaŋ3	
果	ku3	
枝	tsi1	
棗	tsɜ3	
槍	tsʰie1	
枯	kʰu1	
柄	piŋ5	
某	mu4	
柔	ziu2	
查	dzo2	
柱	tɕiɿ5	
柴	za2	
棧	dza6	
棟	tʊŋ5	
樹	ʑiɿ6	
株	tɕiɿ1	
樣	ɦjie6	
根	kø1	
格	ka7	
栽	tse1	
桃	dɜ2	
案	ʔye5	
桌	tɕo7	
桑	sɔ1	
桶	dʊŋ4	
梁	lie2	
夢	mʊŋ6	
棉	mie2	
棍	kʋaŋ5	
棒	bɔ4	
棚	bɛ2	
楚	tsʰu3	
樓	lau2	
欖	la4	
榜	pɔ3	
榨	tso5	
榻	tʰa7	
槰	bʊŋ6	刺～
槽	zɜ2	
橫	ɦʋɛ2	强～
橄	kø3	
橛	kʰye8	石头～
欠	tɕʰie5	
次	tsʰɿ5	
歡	hye1	
欱	ha7	喝、饮
欲	ɦjo8	
欺	tɕʰiɿ1	
款	kʰø3	
歇	ɕie7	
止	tsɿ3	
正	tsiŋ5	
此	tsʰɿ3	
步	bʉ6	
武	vu4	
歹	ta3	
死	sɿ3	
殃	ʔie1	
段	dø6	
殷	ʔjaŋ1	
殿	die6	
毁	ɕy5	～谤  
母	mu4	
每	mai4	
毒	du8	
比	pi3	
畢	pie7	
毛	mɜ2	使变坏;缺点多的
毛	mɜ2	骆驼～
毫	ɦɜ2	
民	miŋ2	
气	tɕʰiɿ5	
水	ɕiɿ3	
永	ʔjʊŋ3	
求	dʑau2	
汆	tʰaŋ5	漂浮;慢慢走
汗	ɦjye6	
汛	saŋ5	
池	dzi2	
污	ʔu1	
沃	ʔo7	都
沉	dzaŋ2	
沙	so1	
沒	mø8	
油	ɦjau2	
泅	ziu2	
法	fo7	
波	pu1	
泣	tɕʰai7	
泥	ȵie2	
淚	li6	
潔	tɕie7	
洗	si3	
洞	dʊŋ6	
洪	ɦʊŋ2	
活	ɦo8	
派	pʰa5	
流	liu2	
淺	tsʰie3	
濟	tsi5	
浪	lɔ6	
浮	vɜ2	虛～
浴	ɦjo8	
海	he3	
浸	tsaŋ5	
涂	dʉ2	
涌	ɦjɔ4	
淫	ɦjaŋ2	
深	saŋ1	
添	tʰie1	
清	tsʰiŋ1	
瀆	du8	
渠	ɡi2	他
渡	dʉ6	
渧	ti5	水～落
溫	ʔye1	～柔
港	kɔ3	
渴	kʰye5	
游	ɦjau2	
湖	ɦʋu2	
溼	sai7	
源	ȵye2	
溪	tɕʰiɿ1	
滯	dzi6	了～：干净
滿	mø4	
漂	pʰiɛ1	～动
漂	pʰiɛ3	～布、～白
漆	tsʰai7	
漏	lau6	
潮	dʑiɛ2	
澒	ɦʊŋ6	水流或人流汹涌而出
澳	ʔɜ5	
激	tɕai7	
瀾	la4	口水
火	hu3	
滅	mie8	
燈	taŋ1	
灰	hʋai1	
靈	liŋ2	
災	tse1	
爐	dʉ2	
炎	ɦjie2	
炭	tʰa5	
點	tie3	
爛	la6	
烈	lie8	
烘	hʊŋ1	
烟	ʔie1	
煩	va2	
燒	ɕiɛ1	
熱	ȵie8	
焉	ʔie1	
焰	ɦjie6	
然	zie2	
照	tɕiɛ5	
煺	tʰai1	
熟	ɕu8	
熬	ŋɜ2	
燥	sɜ5	
爬	bo2	
愛	ʔe5	
父	vʉ4	
爸	pa1	
爻	ɡɔ2	助词，了
牌	ba2	
牙	ŋo2	
牛	ŋau2	
牢	lɜ2	
牧	mu8	
物	mai8	
物	vai8	
牲	sɛ1	
牽	tɕʰie1	
特	de8	
犁	li2	
犟	dʑie4	
犯	va4	
猶	ɦjau2	
狂	dʑɔ2	
狃	ȵau8	～宕:哪里
狐	ɦʋu2	
狗	kau3	
獨	du8	
狹	ɦa8	
獄	ȵo8	
狸	li2	
狼	lɔ2	
猜	tsʰe1	
豬	tsi1	
獻	ɕie5	
玉	ȵo8	
王	ɦjɔ2	
瑪	mo4	
現	ɦjie6	
珍	tsaŋ1	
珠	tɕiɿ1	
珥	ʑiɿ4	
班	pa1	
理	li4	
瑣	sai3	小
瑟	sai7	
瓦	ŋo4	
瓶	biŋ2	
甚	zaŋ4	
生	sɛ1	
甥	sɛ1	
用	ɦjɔ6	
田	die2	
甲	ka7	
申	saŋ1	～时
申	siŋ1	～冤
電	die6	
男	nø2	
畫	ɦʋa8	一点一～
界	ka5	
留	liu2	
畜	tɕʰu7	～生
略	liɛ8	
疆	kɔ1	
疑	n2	
疫	ɦjye8	
瘡	tɕʰɔ1	
病	biŋ6	
症	tsiŋ5	
痊	ʑye2	
痛	tʰʊŋ5	
痢	li6	
瘉	ɦy6	痊～
瘟	ʔye1	
癱	tʰa1	
癲	tie1	
白	ba8	
百	pa7	
皇	ɦɔ2	
皮	bi2	
皿	miŋ4	
盂	ɦy2	
益	ʔjai7	
盞	tsa7	
鹽	ɦjie2	名词
鹽	ɦjie6	动词, 腌
監	ka1	收～
監	ka5	太～
盒	ɦø8	
盔	kʋʰai1	
盤	bø2	
盜	dɜ6	
目	mu8	
直	dzi8	
相	sie1	～伴
相	sie5	～貌
省	sɛ3	
看	kʰø5	～顾
眙	tsʰɿ5	|看
真	tsaŋ1	
眷	tɕye5	
眼	ŋa4	
着	tɕa7	动词，穿
着	dʑa8	靠～
睏	kʰye5	
睛	tsiŋ1	
督	tu7	
睦	mu8	
睬	tsʰe3	
瞎	ha7	
瞒	mø2	
知	tsɿ1	
矩	tɕy3	
短	tø3	
矮	ʔa3	
石	zi8	
磯	tɕiɿ1	
破	pʰa5	
硫	liu2	
硬	ŋɛ6	
確	kʰo7	
碌	lu8	
碎	sai5	
碰	pʰʊŋ5	
鹼	ka5	
磐	bø2	
磕	kʋʰai7	
磺	ɦɔ2	
禮	li4	
祖	tsʉ3	
祝	tɕu7	
神	zaŋ2	
票	pʰiɛ5	
祭	tsi5	
禱	tɜ3	
禍	ɦʋu4	
禀	piŋ3	
禁	tɕaŋ5	
福	fu7	
禧	ɕiɿ3	～年
离	li2	
禽	dʑaŋ2	
私	sɿ1	
種	tɕɔ3	名词
種	tɕɔ5	动词
租	tsʉ1	
積	tsie7	
稱	tsʰiŋ1	～赞
移	ɦji2	
稀	ɕiɿ1	～奇
稅	ɕiɿ5	
程	dziŋ2	
稹	tsaŋ3	拥挤
稻	dɜ4	
穇	tɕʰaŋ3	～子: 稗草
究	tɕau5	
窮	dʑʊŋ2	
空	kʰʊŋ1	～地
竊	tsʰie7	
窄	tsa7	
窑	ɦjiɛ2	
窗	tɕʰɔ1	
窟	kʰu1	
立	lie8	
章	tsie1	
童	dʊŋ2	
端	tø1	
笆	po1	
笑	ɕiɛ5	
笡	tsʰi1	
笨	baŋ6	
第	di6	
籠	lʊŋ4	
等	taŋ3	
答	tø7	
筵	ɦjie2	
签	tsʰie1	
箕	tɕiɿ1	
算	sø5	
管	kye3	
