#漢字	音標	解釋
㐴	pʰan1	
主	t͡s̻u̜3	
丿	pʰi̯e̞7	
乀	fo̞7	
乂	n̠ᶽi5	
乃	naɪ̯3	
久	t͡ɕi̯əʊ̯3	
之	t͡s̻ɹ̆ᶤ̞1	
乍	t͡s̻ɑ5	
乎	xu̜2	最老派文讀
乎	fʋ̩2	
乏	fa7	
乖	kwaɪ̯1	
乘	s̻ə̟n2	
乘	s̻ə̟n5	千～之國
乙	j̟e̞7	
九	t͡ɕi̯əʊ̯3	
乞	t͡ɕʰi̯e̞7	
也	j̟i3	
乯	xu̜2	最老派文讀
乯	fʋ̩2	
乳	z̻u̜3	
亂	nwan5	
亄	j̟e̞7	
亅	t͡ɕy̑e̞7	
了	ni̯ɑʊ̯3	
事	s̻ɹ̆ᶤ̞5	
二	əɹ5	
亍	t͡s̻ʰo̞7	
于	y̑i2	姓氏
互	xu̜5	最老派文讀
互	fʋ̩5	
五	ʋ̩3	
井	t͡ɕin3	
亙	kə̟n5	
些	ɕi1	
亞	j̟ɑ5	
亟	t͡ɕi̯e̞7	
亡	wɑŋ2	
亢	kʰɑŋ5	
交	t͡ɕi̯ɑʊ̯1	
亥	xaɪ̯5	
亦	j̟e̞7	
亨	xə̟n1	
享	ɕi̯ɑŋ3	
京	t͡ɕin1	
亭	tʰin2	
亮	ni̯ɑŋ5	
亳	po̞7	
人	z̻ə̟n2	
亼	t͡ɕi̯e̞7	
亽	t͡ɕi̯e̞7	
什	s̻e̞7	
仁	z̻ə̟n2	
仂	ne̞7	
仄	t͡s̻e̞7	莊三
仇	t͡s̻ʰəʊ̯2	
今	t͡s̻ə̟n1	白讀，～朝
今	t͡ɕin1	
介	kaɪ̯5	
介	t͡ɕi̯ɛɪ̯5	文讀
仌	pin1	
仍	z̻ə̟n2	
仒	pin1	
仔	t͡s̻ɹ̆ᶤ̞3	～細
仔	t͡s̻aɪ̯3	又作(崽)
他	tʰɑ1	
仗	t͡s̻ɑŋ5	
付	fʋ̩5	
仙	ɕi̯e̞n1	
仚	ɕi̯e̞n1	
仛	to̞7	
仟	t͡ɕʰi̯e̞n1	
仡	n̠ᶽi̯e̞7	
仡	ke̞7	～佬族
仢	s̻o̞7	
代	taɪ̯5	
令	nin5	
以	j̟i3	
仫	mᵇɔ5	
仯	t͡s̻ʰɑʊ̯5	
仰	n̠ᶽi̯ɑŋ3	
仱	t͡ɕʰin1	
仲	t͡s̻o̞ŋ5	
仳	pʰi3	形容(小孩等)黏著某人, 不願離開
件	t͡ɕi̯e̞n5	
任	z̻ə̟n2	姓氏
任	z̻ə̟n5	
份	fə̟n5	
仿	fɑŋ3	
企	t͡ɕʰi5	
伆	o̞7	
伈	ɕin3	
伉	kʰɑŋ5	
伊	j̟i1	
伋	t͡ɕi̯e̞7	
伍	ʋ̩3	
伏	fo̞7	
伐	fa7	
休	ɕi̯əʊ̯1	
伢	j̟ɑ2	
伭	ɕy̑e̞n2	形容兒童與成年人間或兒童與兒童間略令人生厭的嬉鬧
伯	pe̞7	
估	ku̜3	
伴	pan5	
伶	nin2	
伸	t͡s̻ʰə̟n1	白讀
伸	s̻ə̟n1	
伺	s̻ɹ̆ᶤ̞5	
似	s̻ɹ̆ᶤ̞5	
佃	tʰi̯e̞n2	
佃	ti̯e̞n5	佃農
但	tan5	
佈	pu̜5	
位	we̞ɪ̯5	
低	ti1	
住	t͡s̻ɔ5	白讀動詞，如：在xx〜
住	t͡s̻u̜5	
佐	t͡s̻ɔ3	
佑	j̟əʊ̯5	
佔	t͡s̻an5	
何	xɔ2	
佖	pi̯e̞7	
余	y̑i2	
佚	j̟e̞7	
佛	fo̞7	
作	t͡s̻o̞7	
佞	n̠ᶽin5	
佤	wɑ3	
佨	pɑʊ̯1	出格失態
佩	pe̞ɪ̯5	
佫	xo̞7	
佬	nɑʊ̯3	
佮	ko̞7	
佯	j̟ɑŋ2	
佰	pe̞7	
佳	t͡ɕi̯ɑ1	
佶	t͡ɕi̯e̞7	
佸	xo̞7	
佾	j̟e̞7	
使	s̻ɹ̆ᶤ̞3	
侂	tʰo̞7	
侃	kʰan3	
侃	kʰwan3	白讀一，表示吹牛.擺白之意
侃	kʰwɑ3	白讀二，如：吹～～
侄	t͡s̻e̞7	
來	ne̞ɪ̯2	口語弱化白讀
來	naɪ̯2	
侈	t͡s̻ʰɹ̆ᶤ̞2	
例	ni5	
侍	s̻ɹ̆ᶤ̞5	
侐	ɕi̯o̞7	
侑	j̟əʊ̯5	
侗	to̞ŋ5	
侙	t͡s̻ʰe̞7	
供	t͡ɕi̯o̞ŋ1	白讀，如：～他讀書
供	ko̞ŋ5	
依	j̟i1	
侮	ʋ̩3	
侯	xəʊ̯2	
侵	t͡ɕʰin5	
侶	ny̑i3	文讀，如：情侶
侷	t͡ɕi̯o̞7	
侻	tʰo̞7	
便	pi̯e̞n5	
係	ɕi5	
促	t͡ɕʰi̯o̞7	
俄	ŋɔ2	
俊	t͡ɕy̑in5	
俋	j̟e̞7	
俏	t͡ɕʰi̯ɑʊ̯5	
俗	ɕi̯o̞7	
俘	fʋ̩1	
保	pɑʊ̯3	
俞	y̑i2	
俞	y̑i5	
俟	s̻ɹ̆ᶤ̞5	
俠	ɕi̯a7	
信	ɕin5	
俥	t͡s̻ʰe̞ɪ̯1	借（錢）
修	ɕi̯əʊ̯1	
俯	fʋ̩3	
俱	t͡ɕy̑i5	
俵	pi̯ɑʊ̯5	
俶	t͡s̻ʰo̞7	
俸	fo̞ŋ5	
俾	pi3	
倅	t͡s̻o̞7	
倉	t͡s̻ʰɑŋ1	
個	kɛ1	南部白讀
個	kə5	
倍	pe̞ɪ̯5	
倏	s̻o̞7	
倐	s̻o̞7	
們	mᵇə̟n1	白讀
們	mᵇə̟n2	文讀
倒	tɑʊ̯3	
倒	tɑʊ̯5	
倔	t͡ɕʰi̯o̞7	
倘	tʰɑŋ3	
候	xəʊ̯5	
倜	tʰi̯e̞7	
借	t͡ɕi5	
倡	t͡s̻ʰɑŋ1	
倦	t͡ɕy̑e̞n5	
倩	t͡ɕʰi̯e̞n5	
倪	n̠ᶽi2	
倫	nə̟n2	
倬	t͡s̻o̞7	
倭	ɔ1	
值	t͡s̻e̞7	
假	t͡ɕi̯ɑ3	
假	t͡ɕi̯ɑ5	
偈	t͡ɕi̯e̞7	
偉	we̞ɪ̯3	
偏	pʰi̯e̞n1	
偓	o̞7	
偔	ŋo̞7	
偕	ɕi̯ɛɪ̯2	
做	t͡s̻u̜5	
偛	t͡s̻a7	
停	tʰin2	
偝	pe̞ɪ̯5	
偞	ɕi̯e̞7	
偠	j̟ɑʊ̯3	
偤	j̟əʊ̯2	
健	t͡ɕi̯e̞n5	
偪	fo̞7	
偰	ɕi̯e̞7	
側	t͡s̻e̞7	老派，如：側邊 莊三
側	t͡s̻ʰe̞7	新文讀 莊三
偵	t͡s̻ə̟n1	
偶	ŋəʊ̯3	
偷	tʰəʊ̯1	
僞	we̞ɪ̯2	部分老派口音，僅限虛～一詞
僞	we̞ɪ̯5	
僞	waɪ̯3	白讀，如：～貨
傀	kʰwe̞ɪ̯3	
傂	t͡s̻ɹ̆ᶤ̞5	
傄	xwa7	
傅	fʋ̩5	
傈	ni̯e̞7	
傉	no̞7	
傍	pɑŋ5	
傑	t͡ɕi̯e̞7	
傓	s̻an5	
傕	t͡ɕi̯o̞7	
傗	t͡s̻ʰo̞7	
傘	s̻an3	
備	pi5	
傝	tʰa7	
傢	t͡ɕi̯ɑ1	
傣	taɪ̯3	
催	t͡s̻ʰwe̞ɪ̯1	
傰	pə̟n1	
傰	pʰə̟n2	
傱	s̻o̞ŋ3	
傲	ŋɑʊ̯5	
傳	t͡s̻ʰwan2	
傳	t͡s̻wan5	
債	t͡s̻aɪ̯5	
傶	t͡s̻o̞7	
傷	s̻ɑŋ1	
傺	t͡s̻ʰɹ̆ᶤ̞5	
傻	s̻ɑ3	
傾	t͡ɕʰy̑in1	
僁	ɕi̯e̞7	
僅	t͡ɕin3	
僇	no̞7	
僉	t͡ɕʰi̯e̞n1	
僊	ɕi̯e̞n1	
像	ɕi̯ɑŋ5	
像	t͡ɕʰi̯ɑŋ5	白讀
僕	pʰo̞7	
僚	ni̯ɑʊ̯2	
僤	tan5	
僧	s̻ə̟n1	
僭	t͡ɕi̯e̞n5	
僰	pe̞7	
僱	ku̜5	
僳	ɕi̯o̞7	
僵	t͡ɕi̯ɑŋ1	
價	t͡ɕi̯ɑ5	
僻	pʰi̯e̞7	
儀	n̠ᶽi2	
儃	tʰan3	
儃	s̻an2	
億	j̟i5	
儉	t͡ɕi̯e̞n3	
儋	tan1	
儑	ŋo̞7	
儒	z̻u̜2	
償	s̻ɑŋ3	賠償
儠	ni̯e̞7	
儡	nwe̞ɪ̯3	
儣	kʰwɑŋ3	
儥	to̞7	
儥	j̟o̞7	
優	j̟əʊ̯1	
儲	t͡s̻ʰu̜2	
儵	s̻o̞7	
儼	n̠ᶽi̯e̞n3	
兀	ŋo̞7	
允	y̑in3	
元	y̑e̞n2	
兄	ɕi̯o̞ŋ1	
充	t͡s̻ʰo̞ŋ1	
兆	t͡s̻ɑʊ̯5	
兇	ɕi̯o̞ŋ1	
先	ɕi̯e̞n1	
光	kwɑŋ1	
光	kwɑŋ5	～溜溜.2:～～:形容身上的污垢和髒東西
兌	twe̞ɪ̯5	
免	mᵇi̯e̞n3	
兒	əɹ2	
兔	tʰu̜5	
兗	y̑e̞n3	
兙	s̻e̞7	
兙	kʰe̞7	
兜	təʊ̯1	
兢	t͡ɕin1	
入	z̻e̞7	流話
入	z̻o̞7	
內	nwe̞ɪ̯5	
全	t͡ɕʰy̑e̞n2	
兩	ni̯ɑŋ3	一兩
公	ko̞ŋ1	
六	no̞7	
兮	ɕi1	
共	ko̞ŋ5	
兵	pin1	
其	t͡ɕʰi2	
具	t͡ɕy̑i5	
典	ti̯e̞n3	
冀	t͡ɕi5	
冉	z̻an3	
冊	t͡s̻ʰe̞7	
冋	t͡ɕy̑in1	
再	t͡s̻aɪ̯5	
冒	mᵇɑʊ̯5	
冗	z̻o̞ŋ3	
冚	xɑŋ2	～八郎:形容詞,表示所有一切的.
冟	s̻e̞7	
冠	kwan1	
冠	kwan5	
冤	y̑e̞n1	冤深
冥	mᵇin2	
冪	mᵇi̯e̞7	
冬	to̞ŋ1	
冰	pin1	
冶	j̟i3	
冷	nə̟n3	
冹	fa7	
冹	fo̞7	
冽	ni̯e̞7	
准	t͡s̻wə̟n3	
凊	t͡ɕʰin5	
凌	nin2	
凌	nin5	凌氷
凍	to̞ŋ5	
凓	ni̯e̞7	
凙	to̞7	
凜	nin3	
凝	n̠ᶽin2	
凡	fan2	
凩	mᵇo̞7	
凱	kʰaɪ̯3	
凳	tə̟n5	
凸	tʰo̞7	
凹	ŋɑʊ̯1	
凹	wɑ5	
出	t͡s̻ʰo̞7	
函	xan2	
刀	tɑʊ̯1	
刁	ti̯ɑʊ̯1	
刃	z̻ə̟n3	
分	fə̟n1	
切	t͡ɕʰi̯e̞7	
刈	n̠ᶽi5	
刊	kʰan1	
刎	wə̟n3	
刑	ɕin2	
刖	y̑e̞7	
列	ni̯e̞7	
刜	fo̞7	
初	t͡s̻ʰu̜1	
判	pʰan5	
別	pi̯e̞7	
別	pʰi̯e̞7	白讀，作動詞
刨	pʰɑʊ̯2	
刨	pɑʊ̯5	
利	ni5	
刪	s̻wan1	
刮	kwa7	
到	tɑʊ̯5	
制	t͡s̻ɹ̆ᶤ̞5	
刷	s̻wa7	
券	t͡ɕʰy̑e̞n5	
刺	t͡s̻ʰɹ̆ᶤ̞5	
刻	kʰe̞7	
剁	tɔ5	剁，剁碎
剃	tʰi5	
則	t͡s̻e̞7	
削	ɕy̑e̞7	
剋	kʰe̞7	
剌	na7	
前	t͡ɕʰi̯e̞n2	
剎	s̻a7	剎車
剎	t͡s̻ʰa7	剎那
剒	t͡s̻ʰo̞7	
剔	tʰi1	白讀，作動詞
剔	tʰi̯e̞7	
剖	pʰo̞7	白讀，作動詞。如：～魚
剖	pʰɔ3	
剛	kɑŋ1	
剜	wan1	
剝	po̞7	
剟	to̞7	
剟	t͡s̻we̞7	
剢	to̞7	
剦	j̟e̞n1	
剨	xwe̞7	
剩	s̻ə̟n5	
剪	t͡ɕi̯e̞n3	
剫	to̞7	
剭	o̞7	
剮	kwɑ3	
副	pʰu̜3	白讀，如：一～牌
副	fʋ̩5	
割	ko̞7	
剳	t͡s̻a7	
創	t͡s̻ʰwɑŋ1	
創	t͡s̻ʰwɑŋ5	
剹	no̞7	
剺	ni2	
剽	pʰi̯ɑʊ̯2	
剿	t͡ɕi̯ɑʊ̯3	
劀	kwa7	
劂	t͡ɕy̑e̞7	
劃	xwɑ5	文讀，如計劃
劃	xwɑ1	動詞，表示用刀～開
劃	xwa7	作動詞，如：～龍船，～不著
劄	t͡s̻a7	
劇	t͡ɕy̑i5	
劈	pʰi̯e̞7	
劉	ni̯əʊ̯2	
劊	kwaɪ̯5	
劋	t͡ɕi̯ɑʊ̯3	
劍	t͡ɕi̯e̞n5	
劐	xo̞7	
劕	t͡s̻e̞7	
力	ni̯e̞7	
劜	j̟a7	
功	ko̞ŋ1	
加	t͡ɕi̯ɑ1	
劣	ne̞7	最老派
努	nu̜3	
劫	t͡ɕi̯e̞7	
劬	t͡ɕʰy̑i2	
劮	j̟e̞7	
劼	t͡ɕi̯e̞7	
劾	xe̞7	
勀	kʰe̞7	
勁	t͡ɕin5	
勃	pʰo̞7	
敕	t͡s̻ʰe̞7	
勇	j̟o̞ŋ3	
勉	mᵇi̯e̞n3	
勐	mᵇo̞ŋ3	
勒	ne̞7	
動	to̞ŋ5	
勖	ɕi̯o̞7	
勗	ɕi̯o̞7	
勘	kʰan1	
務	ʋ̩5	
勛	ɕy̑in1	
勝	s̻ə̟n5	
勞	nɑʊ̯2	
勠	no̞7	
勢	s̻e̞7	地勢
勢	s̻ɹ̆ᶤ̞5	
勣	t͡ɕi̯e̞7	
勤	t͡ɕʰin2	
勵	ni5	
勸	t͡ɕʰy̑e̞n5	
勺	s̻o̞7	
勻	y̑in2	
勾	kəʊ̯1	
勿	o̞7	
匃	ko̞7	
匆	t͡s̻ʰo̞ŋ1	
匊	t͡ɕi̯o̞7	
匌	ko̞7	
匐	fo̞7	
匒	ta7	
匕	pi3	
化	xwɑ5	
北	pe̞7	
匙	s̻ɹ̆ᶤ̞2	
匠	t͡ɕi̯ɑŋ5	
匡	kʰwɑŋ1	
匣	ɕi̯a7	
匤	t͡ɕʰi̯o̞7	
匧	t͡ɕʰi̯e̞7	
匪	fe̞ɪ̯3	
匫	xo̞7	
匯	xwe̞ɪ̯5	
匴	s̻wan3	
匵	to̞7	
匹	pʰi̯e̞7	
匾	pi̯e̞n3	
匿	n̠ᶽi̯e̞7	
區	t͡ɕʰy̑i1	
區	ŋəʊ̯1	
十	s̻e̞7	
千	t͡ɕʰi̯e̞n1	
卅	s̻a7	
升	s̻ə̟n1	
午	ʋ̩3	
卉	xwe̞ɪ̯5	
半	pan5	
卌	ɕi̯e̞7	
卑	pe̞ɪ̯1	
卒	t͡ɕi̯o̞7	
卓	t͡s̻o̞7	
協	ɕi̯e̞7	
南	nan2	
卙	t͡s̻ʰe̞7	
博	po̞7	
卜	pʰo̞7	
卟	po̞7	
占	t͡s̻an5	
卡	kʰɑ3	
卦	kwɑ5	
卯	mᵇɑʊ̯3	
印	j̟in5	
危	we̞ɪ̯2	
即	t͡ɕi̯e̞7	
卵	nwan3	
卷	t͡ɕy̑e̞n5	
卸	ɕi5	
卻	t͡ɕʰi̯o̞7	
卽	t͡ɕi̯e̞7	
卿	t͡ɕʰin1	
厀	ɕi̯e̞7	
厄	ŋe̞7	
厇	t͡s̻e̞7	
厓	ŋaɪ̯2	
厔	t͡s̻e̞7	
厘	ni2	
厚	xəʊ̯5	
原	y̑e̞n2	
厤	ni̯e̞7	
厥	t͡ɕy̑e̞7	
厥	t͡ɕi̯o̞7	
厭	j̟e̞n5	
厲	ni5	
厶	s̻ɹ̆ᶤ̞1	
厶	mᵇo̞ŋ3	
去	t͡ɕi̯ɛ1	白讀1
去	t͡ɕi5	白讀2
去	t͡ɕʰy̑i5	
參	t͡s̻ʰan1	
參	s̻ə̟n1	人參
又	j̟əʊ̯5	
叉	t͡s̻ʰɑ1	
及	t͡ɕi̯e̞7	
友	j̟əʊ̯3	
反	fan3	
叒	z̻o̞7	
叔	s̻o̞7	
叕	t͡s̻we̞7	
取	t͡ɕʰy̑i3	
受	s̻əʊ̯5	
叛	pʰan5	
叟	s̻əʊ̯3	
叡	z̻we̞ɪ̯5	
叢	t͡s̻ʰo̞ŋ2	
口	kʰəʊ̯3	
古	ku̜3	
句	t͡ɕy̑i5	
另	nin5	
叨	tɑʊ̯1	
叩	kʰəʊ̯5	
叫	t͡ɕi̯ɑʊ̯5	
召	t͡s̻ɑʊ̯5	
叭	pɑ1	
可	kʰɔ3	
叱	t͡s̻ʰe̞7	
史	s̻ɹ̆ᶤ̞3	
右	j̟əʊ̯5	
司	s̻ɹ̆ᶤ̞1	
叾	to̞7	
吁	ɕy̑i1	氣喘～～（噓噓）
吃	t͡s̻ʰe̞7	
各	ko̞7	
合	xo̞7	
合	ko̞7	1.作計量單位，十合=一升2.作動詞表（相處，合攏）之意，如：～不拢。～孽,指打架駡架產生矛盾糾紛不和睦友好。俗字可作（𪝙）
吉	t͡ɕi̯e̞7	
吊	ti̯ɑʊ̯5	
同	tʰo̞ŋ2	
名	mᵇin2	
后	xəʊ̯5	
吏	ni5	
吐	tʰu̜3	
向	ɕi̯ɑŋ5	
君	t͡ɕy̑in1	
吝	nin5	
吞	tʰə̟n1	
吟	n̠ᶽin2	又音
吟	n̠ᶽin5	
吠	fe̞ɪ̯5	
吡	pi3	
吢	t͡ɕʰin5	
否	fo̞ŋ3	部分老派口音
否	fəʊ̯3	
含	xan2	
吭	ŋɑŋ1	白讀，表示尖銳的聲音或聲音響的樣子。吭吭兒=音箱俗稱
吳	ʋ̩2	
吵	t͡s̻ʰɑʊ̯3	
吶	na7	
吷	ɕy̑e̞7	
吸	ɕi̯e̞7	
吸	t͡ɕi̯e̞7	最老派
吹	t͡s̻ʰwe̞ɪ̯1	
吻	wə̟n3	
吼	xəʊ̯3	
吾	ŋu̜3	
呂	ny̑i3	文讀
呆	ŋaɪ̯2	
呆	taɪ̯1	文讀
呈	t͡s̻ʰə̟n2	
告	kɑʊ̯5	
呝	ŋe̞7	
呡	mᵇin3	動詞，表示用嘴略舔
呢	n̠ᶽi2	毛呢，呢子
周	t͡s̻əʊ̯1	
呫	tʰi̯e̞7	
味	we̞ɪ̯5	
呴	xəʊ̯1	1.鹽吃多了而得的病2.～巴：哮喘病人
呵	xɔ1	
呷	ɕi̯a7	
呻	t͡s̻ʰə̟n1	白讀，如：～喚
呻	s̻ə̟n1	
呼	xu̜1	最老派文讀
呼	fʋ̩1	
命	mᵇin5	
呾	ta7	
咀	t͡ɕy̑i3	
咀	t͡s̻we̞ɪ̯3	主要用于地名
咄	to̞7	
咇	pi̯e̞7	
咈	fo̞7	
咋	t͡s̻a7	～䨱，表示反覆提醒，吩咐
和	xɔ2	
和	xɔ5	
咍	xaɪ̯1	
咎	t͡ɕi̯əʊ̯5	
咒	t͡s̻əʊ̯5	
咕	ku̜1	～噥
咖	kʰɑ1	
咟	xwe̞7	
咠	t͡ɕʰi̯e̞7	
咢	ŋo̞7	
咥	t͡s̻ʰe̞7	
咨	t͡s̻ɹ̆ᶤ̞1	
咪	mᵇi1	
咬	ŋɑʊ̯3	
咬	n̠ᶽi̯ɑʊ̯3	文讀
咭	ɕi̯e̞7	
咰	s̻o̞7	
咳	kʰe̞7	
咵	kʰwɑ3	
咹	o̞7	
咽	j̟e̞7	哽咽
哀	ŋaɪ̯1	
品	pʰin3	
哄	xo̞ŋ3	
哉	t͡s̻aɪ̯1	
哊	j̟o̞7	
員	y̑e̞n2	
哥	kɔ1	
哨	s̻ɑʊ̯5	
哪	nɑ3	
哫	t͡ɕi̯o̞7	
哭	kʰo̞7	
哱	pʰo̞7	
哲	t͡s̻e̞7	
哳	t͡s̻a7	
哴	nɑŋ2	～吭：吹的樣子。
哴	ni̯ɑŋ5	唴～：因痛苦過度而失聲
哵	pa7	
哷	ne̞7	
哹	fəʊ̯2	
哼	xə̟n1	
哽	kə̟n3	
哿	kɑ3	白讀表示阻截
哿	kɔ3	
唂	ko̞7	
唆	s̻ɔ1	
唇	s̻wə̟n2	
唈	j̟e̞7	
唉	ŋaɪ̯1	
唉	ŋaɪ̯3	
唊	t͡ɕi̯a7	
唐	tʰɑŋ2	
唧	t͡ɕi̯e̞7	
售	s̻əʊ̯5	
唯	we̞ɪ̯2	
唰	s̻wa7	
唱	t͡s̻ʰɑŋ5	
唴	t͡ɕʰi̯ɑŋ5	
唾	tʰɔ5	
啀	ŋaɪ̯2	
啃	kʰə̟n3	
啄	t͡s̻o̞7	
啄	t͡s̻wa7	白讀1，如：雞～米
啄	twa7	白讀2，如：～木鳥
商	s̻ɑŋ1	
啇	ti̯e̞7	
啎	ʋ̩3	
問	wə̟n5	問題
啐	t͡ɕi̯o̞7	
啑	t͡s̻a7	
啒	ko̞7	
啖	tan5	
啖	taɪ̯3	白讀,表示吃或飲的意思如:～一口水意為喝水。俗字可作(𠯪)
啚	pʰi3	
啜	t͡s̻ʰwe̞7	
啞	j̟ɑ3	
啟	t͡ɕʰi3	
啪	pʰi̯ɑ5	擬聲詞
啵	pɔ1	打～
啻	s̻ɹ̆ᶤ̞5	
啼	tʰi2	
喀	kʰe̞7	
喂	we̞ɪ̯3	
喃	nan2	
善	s̻an5	
喅	j̟o̞7	
喆	t͡s̻e̞7	
喇	nɑ3	
喉	xo̞ŋ2	喉嚨，喉嚨管
喉	xəʊ̯2	
喊	xan3	
喋	ti̯e̞7	
喌	t͡s̻o̞7	
喑	ŋan1	
喔	o̞7	
喘	t͡s̻ʰwan3	
喚	xwan5	
喜	ɕi3	
喝	xɔ1	白讀
喝	xo̞7	文讀
喝	xɔ1	白讀，如：喝水
喢	s̻a7	
喢	t͡s̻ʰa7	
喥	to̞7	
喦	n̠ᶽi̯e̞7	
喧	ɕy̑e̞n1	
喪	s̻ɑŋ1	
喪	s̻ɑŋ5	
喫	t͡ɕʰi̯e̞7	
喫	t͡ɕʰi1	白讀，如：～飯
喬	t͡ɕʰi̯ɑʊ̯2	
單	tan1	
單	s̻an2	單于
單	s̻an5	作姓氏
喳	t͡s̻ɑ1	
喵	mᵇi̯ɑʊ̯1	
喻	y̑i5	
喿	t͡s̻ʰɑʊ̯5	
嗃	xo̞7	
嗅	ɕi̯əʊ̯5	
嗆	t͡ɕʰi̯ɑŋ5	
嗇	s̻e̞7	生三
嗉	s̻u̜5	
嗋	ɕi̯e̞7	
嗌	j̟e̞7	
嗎	mᵇã1	表疑問
嗑	kʰo̞7	
嗒	tʰa7	
嗓	s̻ɑŋ3	
嗕	z̻o̞7	
嗗	wa7	
嗜	s̻ɹ̆ᶤ̞5	
嗝	ke̞7	
嗟	t͡ɕi1	
嗢	wa7	
嗣	s̻ɹ̆ᶤ̞5	
嗤	t͡s̻ʰɹ̆ᶤ̞1	
嗦	s̻o̞7	
嗨	xaɪ̯1	
嗼	mᵇo̞7	
嗽	s̻əʊ̯5	
嗿	tʰan3	
嘁	t͡s̻a7	
嘆	tʰan5	
嘉	t͡ɕi̯ɑ1	
嘍	nəʊ̯2	
嘎	ka7	鴨叫
嘓	kwe̞7	
嘔	ŋəʊ̯3	
嘕	ɕi̯e̞n1	
嘖	t͡s̻e̞7	
嘗	s̻ɑŋ2	
嘛	mᵇɑ2	
嘮	nɑʊ̯2	
嘯	ɕi̯ɑʊ̯5	
嘴	t͡s̻we̞ɪ̯3	
嘹	ni̯ɑʊ̯2	
嘻	ɕi1	
噆	t͡s̻a7	
噈	t͡ɕi̯o̞7	
噊	j̟o̞7	
噎	j̟e̞7	
噏	ɕi̯e̞7	
噓	ɕy̑i1	
噝	s̻ɹ̆ᶤ̞1	
噣	t͡s̻o̞7	
噥	no̞ŋ1	咕～
噦	y̑i3	嘔吐
噦	y̑e̞7	文讀
噧	tʰa7	
器	t͡ɕʰi5	
噩	ŋo̞7	
噪	t͡s̻ʰɑʊ̯5	
噱	t͡ɕi̯o̞7	大笑，如：談笑大～
噱	ɕi̯o̞7	噱頭
噴	fə̟n5	白讀，如：打～嚏
噴	pʰə̟n1	
嚃	tʰa7	
嚄	xwe̞7	
嚇	ɕi̯a7	文讀
嚇	xa7	白讀2
嚇	xe̞7	
嚗	po̞7	
嚛	xo̞7	
嚞	t͡s̻e̞7	
嚥	j̟e̞n1	
嚨	no̞ŋ1	白讀，如：喉～管兒
嚨	no̞ŋ2	
嚭	pʰi3	
嚳	kʰo̞7	
嚴	n̠ᶽi̯e̞n2	
嚷	z̻ɑŋ3	
嚼	t͡ɕi̯o̞7	文讀
嚼	t͡ɕi̯ɑʊ̯5	白讀音，作動詞
囁	n̠ᶽi̯e̞7	
囂	ɕi̯ɑʊ̯1	
囃	t͡s̻ʰa7	
囈	n̠ᶽi5	
囉	nɔ1	
囊	nɑŋ2	
囋	t͡s̻a7	
囐	t͡s̻a7	
囑	t͡s̻o̞7	
囚	ɕi̯əʊ̯2	最老派
四	s̻ɹ̆ᶤ̞5	
回	xwe̞ɪ̯2	
因	j̟in1	
囡	nan1	
囤	tʰə̟n2	
囤	tə̟n5	動詞，表示把物品放置在某處
囧	t͡ɕy̑in3	
囪	t͡s̻ʰo̞ŋ1	
囫	xo̞7	
困	kʰwə̟n5	困難
固	ku̜5	
囿	j̟əʊ̯5	
囿	j̟o̞7	
圀	kwe̞7	
圇	nə̟n2	
圈	t͡ɕʰy̑e̞n1	房～：臥室
圈	t͡ɕy̑e̞n5	
國	kwe̞7	
圍	y̑i2	老派口語弱化，比如：周圍團轉
圍	we̞ɪ̯2	
園	y̑e̞n2	田
圓	y̑e̞n2	
圔	j̟a7	
圖	tʰu̜2	
團	tʰwan2	
圛	j̟e̞7	
圝	nwan2	表示講話，說話，咀嚼，或口齒不清的樣子，一說又作（𪢮），（𭈅）或（圞）
圞	nwan2	表示講話，說話，咀嚼，或口齒不清的樣子，一說又作（𪢮），（𭈅）或（圝）
土	tʰu̜3	
圠	j̟a7	
圤	pʰo̞7	
在	taɪ̯5	白讀
在	t͡s̻aɪ̯5	
圩	ɕy̑i1	嶺南地名中“墟”的俗字
圩	y̑i2	
圩	we̞ɪ̯2	江淮地名中作此音
圪	ke̞7	語言學術語如～頭詞
圪	n̠ᶽi̯e̞7	
圭	kwe̞ɪ̯1	
圯	j̟i2	
地	ti5	
圻	t͡ɕʰi2	
圻	j̟in2	
圼	n̠ᶽi̯e̞7	
圾	t͡ɕi̯e̞7	
圿	t͡ɕi̯a7	
址	t͡s̻ɹ̆ᶤ̞3	
坄	j̟o̞7	
均	t͡ɕy̑in1	
坊	fɑŋ1	牌～
坊	fɑŋ2	作～
坍	tʰan1	
坎	kʰan3	
坐	t͡s̻ɔ5	
坑	kʰə̟n1	
坒	pi̯e̞7	
坡	pʰɔ1	
坢	pʰan3	
坤	kʰwə̟n1	
坦	tʰan3	
坫	ti̯e̞n5	
坯	pʰe̞ɪ̯1	
坰	t͡ɕy̑in1	
坲	fo̞7	
坳	ŋɑʊ̯5	
坴	no̞7	
坹	ɕy̑e̞7	
坺	fa7	
坼	t͡s̻ʰe̞7	
垂	t͡s̻ʰwe̞ɪ̯2	
垇	ŋɑʊ̯1	
垈	fa7	
型	ɕin2	
垎	xe̞7	
垐	t͡s̻ʰɹ̆ᶤ̞2	
垓	kaɪ̯1	
垠	j̟in2	
垢	kəʊ̯5	
垣	y̑e̞n2	
垤	ti̯e̞7	
