#漢字	音標	解釋
㼦	koŋ2	瓶子、杯子，替字
寬	kʰuã1	宽行，也写作“款”，白读
寵	tʰoŋ2	
寵	tʰioŋ2	
寵	tsʰoŋ2	新派音
寶	po2	白读
寶	pau2	宝藏，老派文读
寸	tsʰuŋ3	文读
寸	tsʰŋ3	白读
寺	tsi7	
寺	dzi7	老派音
封	hoŋ1	文读
封	huaŋ1	白读
射	sia7	
將	tsiaŋ1	
將	tsiaŋ3	
將	tsaŋ1	白读
專	tsuaŋ1	
專	dzuaŋ1	海门音
尊	tsuŋ1	
尋	tsʰim5	文读
尋	siam5	文读
尋	sim5	文读
尋	tsʰĩ5	白读
對	tui3	
導	tau6	
小	siau2	文读
小	sio2	白读
少	tsio2	白读
少	siau2	文读
少	siau3	文读
尖	tsiam1	
尚	siaŋ6	文读
尚	siõ7	和尚，白读
尝	tsʰiõ5	尝新米，白读
尤	iu5	
尬	kai3	
就	tsiu6	
尷	kam1	
尸	si1	
尹	iŋ2	
尺	tsʰioʔ4	
尼	ni5	
尾	bvue2	
尾	mai2	
尿	dzio7	
局	kek8	
屁	pfʰui3	白读
屁	pʰi3	文读
居	ku1	
屈	kʰuk4	
屆	kai3	
屋	ok4	
屎	sai2	
屏	pʰiŋ5	
屐	kiaʔ8	
屑	siak4	文读
屑	siaʔ4	白读
屑	soiʔ4	瓦屑，白读
屑	suk4	据屑，白读
展	tiaŋ2	
屠	tou5	白读
屠	tʰu5	文读
屢	lu2	
層	tsaŋ5	
履	li2	
屬	siok8	
屬	sok8	
屯	tʰuŋ5	
山	suã1	白读
山	saŋ1	文读
岐	kʰi5	
岐	ki5	
岐	kia6	
岑	ŋim5	
岔	tsʰa1	文读
岔	tsʰe1	白读
岡	kaŋ1	文读
岡	kŋ1	白读
岳	ŋak8	
岸	ŋai6	文读
岸	huã7	白读
峙	su6	
峯	hoŋ1	
島	tau2	
峽	hiap8	文读
峽	kiap8	白读
峽	hap8	峡山，潮阳地名
崇	tsʰoŋ5	
崇	tʰoŋ5	人名
崑	kʰuŋ1	
崔	tsʰui1	
崖	ŋai5	
崗	kaŋ1	
崗	kŋ1	胪岗，潮阳地名，白读
崙	luŋ5	
崦	iam1	
崩	paŋ1	
嵌	kʰiam5	
嵌	kam2	
嵩	sioŋ1	
嶺	nia2	
嶽	ŋak8	
巍	ŋui5	
巖	ŋam5	
川	tsʰuaŋ1	文读
川	tsʰŋ1	尻川，白读
州	tsiu1	
巡	suŋ5	
巢	tsʰau5	
工	kaŋ1	
工	kʰaŋ1	工课
左	tso2	
巧	kʰa2	白读
巧	kʰiau2	文读
巨	ku6	
巫	bvu5	
巫	ŋu5	巫字村，潮南区红场镇一村庄
差	tsʰa1	
差	tsʰe1	
差	tsʰi1	参差
差	tsʰa1	差别
差	tsʰe1	出差
己	ki2	
己	ki7	家己，替字
己	kʰi2	“妲己”又音，老派音
已	ĩ2	
巳	tsi6	
巴	pa1	
巷	haŋ7	
巾	kiŋ1	
市	tsʰi6	
布	pou3	白读
布	pfu3	公布，文读
帆	pʰaŋ5	白读
帆	huam5	老派音，文读
帆	huaŋ5	新派音，文读
希	hi1	
帖	tʰiap4	
帚	tsiu2	
帚	tsʰiu2	
帛	peʔ8	
帝	ti3	
帥	sue3	
帥	sui2	训读，本字“水”
師	su1	文读
師	sai1	白读
席	tsʰioʔ8	白读
席	siaʔ8	酒席，文读
帳	tiõ3	
帶	tua3	
帷	dzui5	
常	siõ5	白读
常	siaŋ5	文读
常	tsʰiaŋ5	文读
帽	bo7	
幅	pak4	
幔	maŋ6	
幕	mou6	
幣	pi3	根据海门音鉴定为阴去
幫	paŋ1	
干	kaŋ1	文读
干	kaŋ3	文读
干	kuã1	白读
平	pʰeŋ5	文读
平	pẽ5	白读
平	peŋ5	平白无故，也写作“凭”，文读
平	pʰẽ5	使其变平、平仄
年	ni5	
年	hĩ5	年假开
年	niaŋ5	文读
并	peŋ3	
并	peŋ6	
幸	heŋ6	
幻	huaŋ3	
幼	iũ3	
幽	iu1	
幾	ki2	
幾	ki1	
幾	kui2	
幾	kua2	几何合音
庇	pi3	
序	su6	
底	toi2	白读
底	ti2	文读
底	tiʔ8	到底，文读促化
底	ti7	疑问
店	tiam3	
庚	kẽ1	白读
庚	keŋ1	文读
府	hu2	
度	tou7	温度
度	tak8	揣度
座	tso7	
庫	kʰou3	
庭	tʰeŋ5	
庭	tiã5	俗作“埕”
庵	am1	
庶	su3	
康	kʰaŋ1	
庸	ioŋ1	
廁	tsʰe3	
廈	he7	白读
廈	hia7	文读
廉	niam5	
廊	laŋ5	
廓	kuak4	
廖	liau7	
廟	bio7	
廠	tsʰiaŋ2	
廢	hui3	
廣	kuaŋ2	文读
廣	kŋ2	广东，白读
廩	lim2	
廬	lou5	白读
廬	lu5	文读
廳	tʰiã1	
延	iaŋ5	
廷	tʰeŋ5	
建	kiaŋ6	
建	kiaŋ3	福建
弄	loŋ6	
弊	pi7	
弋	ek8	
式	sek4	
弓	keŋ1	白读
弓	kioŋ1	文读
引	iŋ2	
弗	huk4	
弘	kʰueŋ5	白读
弘	hoŋ5	文读
弟	ti6	
弦	hĩ5	白读
弦	hiaŋ5	文读
弱	dziak8	
張	tiõ1	姓，白读
張	tsiaŋ1	文读
強	kʰiaŋ5	文读
強	kʰiaŋ3	厉害，本字“彊”
強	kiõ5	胜过，白读
強	kʰiaŋ2	勉强
弼	pʰiak8	
彀	kou3	
彈	tʰaŋ5	文读
彈	tuã5	白读
彈	tuã7	射，白读
彌	ni2	弥补
彌	ni5	阿弥陀佛
彌	mi5	弥勒佛
彎	uaŋ1	文读
彎	uaĩ1	白读
彗	hui6	
形	heŋ5	
彩	tsʰaĩ2	
彪	piu1	
彬	piŋ1	
彬	piaŋ1	
彭	pʰẽ5	姓，白读
彭	pʰoŋ5	彭德怀，文读
影	iã2	
彷	pʰaŋ5	彷徨
彷	huaŋ2	彷佛
役	uek8	
役	hiaʔ8	
彼	pi2	
往	uaŋ2	
征	tseŋ1	
待	tʰai6	
待	tʰai3	招待所，峡山一地名
待	hai6	让
很	hiŋ2	
律	luk8	
後	au6	
後	hau6	后生
徐	su5	文读
徐	tsʰu5	白读
徑	kẽ3	
徒	tʰu5	
得	tik4	
得	tik8	
徙	sua2	白读
徙	si2	文读
從	tsʰioŋ5	
從	tsʰoŋ5	
從	tsʰeŋ5	从厝，白读
御	ŋu7	
御	ɡu7	
御	ŋo6	棉城音
復	hok8	
復	hok4	
循	suŋ5	
微	bvui5	
微	bi5	
微	bvui1	沙微
徵	teŋ1	特征
徵	tseŋ1	出征
德	tek4	
徹	tʰiak4	
徽	hui1	
心	sim1	
必	pik4	
忌	ki6	
忌	ki7	做忌
忍	dziŋ2	文读
忍	luŋ2	白读
忍	nuŋ2	白读
忒	tʰek4	文读
忒	tʰiʔ4	白读
忖	tsʰuŋ2	
志	tsi3	
忘	bvuaŋ5	
忘	bvuaŋ7	
忘	bvaŋ7	
忙	maŋ5	
忝	tʰiam2	
忠	toŋ1	
忠	tioŋ1	双忠圣王
快	kʰuai3	文读
快	kʰue3	白读
快	kʰuã3	快活
念	niam7	念叨
念	niam6	纪念
忽	huk8	
忿	huŋ2	
怒	no3	
怕	pʰa3	
怖	pou3	白读
怖	pfu3	文读
思	su1	文读
思	su3	文读
思	si1	白读
怠	tai6	
怡	i5	
怡	ŋi5	
急	kip4	
性	sẽ3	
怨	uaŋ3	
怪	kuai3	文读
怪	kue3	白读
怯	kʰiak4	
恃	si6	
恆	hueŋ5	
恍	huaŋ2	
恐	kʰioŋ2	
恕	no6	
恙	iaŋ6	
恢	hue1	
恢	kʰue1	
恤	suk4	
恨	hiŋ6	
恨	hiŋ2	
恩	iŋ1	
恭	kioŋ1	
息	sek4	
息	sik4	白读
恰	kʰap4	
悄	tsʰiau1	悄悄话
悄	tsʰiau2	悄然
悅	dzuak8	文读
悅	dzuaʔ8	喜欢某人，白读
悉	sek8	
悔	hue3	
悟	ŋu6	文读
悟	ŋo6	文读
悟	mo5	孙悟空
悟	ŋo5	孙悟空
悟	ɡou7	无觉悟，白读
悠	iu1	
悠	hiũ1	
患	huaŋ6	
悲	pfui1	
悴	tsui6	
悵	tʰiaŋ3	
悶	bvuŋ6	
情	tsʰeŋ5	文读
情	tsiã5	侬情，白读
惑	uek8	
惜	sioʔ4	
惟	dzui5	
惠	hui6	
惡	u3	可恶
惡	ak8	恶毒
惡	eʔ4	恶心，训读
惡	ueʔ4	恶心，训读，本字“秽”
惡	oʔ4	难
惰	tuã6	白读
惰	to6	文读
惱	nau2	文读
惱	lou2	讨厌，白读
惱	lo2	烦恼，担心，白读
想	siõ6	白读
想	siaŋ2	文读
想	siõ2	白读
惹	dzia2	
惻	tsʰek4	
愁	tsʰou5	
愈	dzu6	韩愈
愈	dzu2	愈来愈×
愉	dzu5	
愉	dzu1	
意	i3	
愚	ŋu5	
愛	aĩ3	
感	kam2	
愧	kui6	文读
愧	kʰui6	文读
愧	kue3	无愧，白读
愷	kʰai2	
慈	tsʰu5	
態	tʰai3	
慌	huaŋ1	
慎	siŋ2	
慕	mou6	
慘	tsʰam2	
慚	tsʰam5	
慢	maŋ7	白读
慢	maŋ6	傲慢，文读
慣	kuaŋ3	文读
慣	kuaĩ3	白读
慧	hui6	
慨	kʰai3	
慪	au3	
慫	soŋ2	
慮	lu6	
慰	ue3	
慶	kʰeŋ3	
慷	kʰaŋ2	文读
慷	kʰŋ2	白读
慾	aĩ3	训读
慾	iok8	
憂	iu1	
憋	piak4	文读
憋	piʔ4	白读
憋	biʔ4	白读
憎	tseŋ1	
憐	liaŋ5	
憑	peŋ5	文凭
憑	pʰeŋ5	凭什么
憚	taŋ6	
憤	huŋ2	
憫	miaŋ2	
憲	hiaŋ3	
憶	ek8	文读
憶	ik4	白读
憶	ik8	白读
憶	ĩ3	忆得
憾	ham6	
懂	toŋ2	
懇	kʰiaŋ2	
懈	hai6	
應	eŋ3	答应
應	iŋ3	答应
懊	au3	
懲	tʰeŋ2	
懵	mou2	
懶	laŋ2	
懷	huai5	
懷	hai5	怀胎，老派音
懸	hiaŋ5	文读
懸	kuaĩ5	高，白读
懺	tsʰam3	
懼	ku6	
懿	i6	
戀	luaŋ5	
戀	luaŋ7	
戀	luaŋ2	梦幻岛音
戈	kʰo1	
戊	bou7	
戌	suk4	
戍	sue3	
戍	tsʰui3	古戍，潮阳地名，今名古帅
戍	tsʰu3	房子，俗写作“厝”
戎	dzioŋ5	
成	seŋ5	文读
成	siã5	十成，白读
成	tsiã5	毋成，白读
成	siaŋ5	牵成，文读
成	tsʰiã5	修改，白读
我	ua2	白读
我	ŋo2	文读
戒	kai3	
戕	tsʰiaŋ1	
或	huek8	
戚	tsʰek4	
戟	kek4	
截	tsoiʔ8	
戮	lok8	
戰	tsiaŋ3	
戲	hi3	
戳	tsʰok4	
戳	tʰok4	
戳	tsʰak4	
戳	tʰak4	戳破，点破
戳	tsʰuk4	戳破
戴	tai3	文读
戴	ti3	
戴	to3	姓
戴	tua3	俗读
戶	hou6	白读
戶	hu6	文读
戽	hou3	
房	paŋ5	白读
房	huaŋ5	文读
所	so2	
扁	pʰiaŋ2	文读
扁	pĩ2	白读
扇	sĩ3	白读
扇	siaŋ3	文读
手	tsʰiu2	
才	tsʰai5	
才	tsai5	秀才
扎	tsak4	文读
扎	tsaʔ4	白读
打	ta2	
打	pʰaʔ4	训读，本字“搏”，也写作“拍”
扔	dzeŋ5	峡山音
扔	dziŋ5	普宁军埠音
扔	dzioŋ5	陈店又读
托	tʰoʔ4	
托	tʰo1	
扛	kaŋ1	文读
扛	kŋ1	白读
扣	kʰau3	文读
扣	kʰa3	白读
扣	kʰo3	白读
扣	kʰo3	
扭	niu2	文读
扭	nau6	白读
扮	paŋ3	
扮	pfuaŋ3	
扯	tsʰe2	
扳	paŋ2	
扳	pʰaŋ1	
扶	hu5	
批	pʰoi1	
扼	eʔ4	
扼	ak4	
找	tau2	
承	seŋ5	
技	ki6	
技	ki1	特技，俗读
抄	tsʰau1	
把	pa2	
把	pe2	
把	pe3	一把嘴
抑	ak4	
抑	aʔ4	
抓	tsua1	
抓	tsa1	摸牌
投	tau5	
投	tʰau5	走投无路
抖	tou2	文读
抖	tau2	白读
抗	kʰaŋ3	
折	tsiʔ4	白读
折	tsiʔ8	白读
折	tseʔ4	白读
折	tsiak4	文读
折	tsek4	
抛	pʰau1	
披	pʰi1	
抬	tʰai5	
抱	pʰo6	白读
抱	pʰau6	抱负，文读
抱	pau6	抱歉，文读
抵	toi2	白读
抵	ti2	文读
抹	bvuaʔ4	
押	aʔ4	白读
押	ap8	文读
抽	tʰiu1	
拂	huk4	
拆	tʰiaʔ4	
拇	bo2	
拈	niam1	文读
拈	ni1	白读
拉	la1	文读
拉	naʔ4	拉颯，白读
拉	la5	拉屎拉尿
拋	pʰa1	白读
拍	pʰaʔ4	
拐	kuai2	
拒	ku6	
拔	pfuak8	文读
拔	poiʔ8	白读
拖	tʰua1	
拗	au2	
拗	a2	
拗	o2	扭
拘	kʰu1	
拙	tsuak4	
拚	pʰeŋ1	
拚	piã3	
招	tsiau1	文读
招	tsio1	白读
拜	pai3	
拜	pai1	拜拜
括	kuak4	
拯	tseŋ2	
拱	kioŋ2	文读
拱	koŋ2	拱脚，文读
拱	keŋ2	白读
拳	kuŋ5	
拴	sŋ1	
拼	pʰeŋ1	
拼	piã3	本字“拚”
拾	sip8	文读
拾	tsap8	大写“十”，白读
拿	na2	
拿	la2	用、使用
持	tʰi5	
挂	kui3	挂纸，海门音
挂	kʰua5	久置，阴去变调做本调
挃	tiak4	弹射
指	tsi2	指令
指	ki2	指向
指	tsaĩ2	手指
按	aŋ3	
挑	tʰiau1	文读
挑	tʰio1	白读
挑	tʰiau2	文读
挖	uaĩ1	
挨	ai1	
挨	oi1	
挨	ŋai5	
挪	no5	
振	tsiŋ2	文读
振	tiŋ2	文读
振	tuŋ3	发抖，也写作“震”，白读
振	tsuŋ3	拍震晕，也写作“震”，白读
振	tsʰuŋ3	拍震晕，也写作“震”，白读
挺	tʰeŋ2	
挽	maŋ2	
挾	hiap8	
挾	kiap8	
挾	koiʔ8	
捅	tʰoŋ2	文读
捅	tʰom2	文读
捅	tʰŋ2	白读
捆	kʰuŋ2	
捉	tsʰok4	
捋	luk8	
捋	luaʔ4	
捎	sau1	
捏	niap8	
捏	nueʔ4	替字
捐	kiaŋ1	
捐	kiaŋ6	
捕	pfu6	
捧	pʰoŋ2	白读
捧	hoŋ2	文读
捨	sia3	
捨	sia2	四舍五入
捲	kuaŋ3	
捲	kauʔ4	龙捲（卷）风，训读
捷	tsiap8	
捺	nak8	
掀	hiaŋ1	文读
掀	iaũ6	替字
掂	tiam1	文读
掂	tim3	掂重
掃	sau3	
掇	tsʰuak4	
授	siu6	
掉	tiau7	
掌	tsiõ2	白读
掌	tsiaŋ2	文读
掏	tʰau1	
掐	kʰap4	
排	pai5	
排	pʰai5	排场
掘	kuk8	
掛	kʰua3	
掛	kua3	交挂
掛	kue3	挂纸
掛	kui3	挂纸，梦幻岛音
掛	kʰua5	久置
掠	liaʔ8	
探	tʰam3	
接	tsiʔ4	白读
接	tsiap4	文读
控	kʰoŋ3	
推	tsʰui1	
推	tʰui1	推荐
推	tʰo1	推辞
推	tʰu1	
掩	iam2	
措	tsʰo3	
措	tsʰu3	
揀	kaŋ2	文读
揀	kaĩ2	白读
揆	kʰui5	
揉	dziu5	
描	miau5	文读
描	bio5	白读
提	tʰi5	
插	tsʰap4	文读
插	tsʰaʔ4	白读
揖	ip4	
揚	iaŋ5	文读
揚	tsʰiõ5	白读
換	uã7	白读
換	huaŋ3	文读
握	ok4	
揣	tsʰui2	
揣	tsʰue7	找，替字
揩	kʰai1	
揪	tsʰiu1	
揭	kiaʔ4	文读
揭	kik4	揭阳，白读
揮	hui1	
援	iaŋ6	
援	iaŋ5	
援	huã7	握、持，白读
擱	koʔ4	文读
擱	kak4	搁掉，白读
損	suŋ2	
搓	so1	
搓	tsʰo1	
搖	io5	白读
搖	iau5	文读
搜	siau1	
搞	kau2	
搬	pfuã5	
搭	tap4	文读
搭	taʔ4	白读
搶	tsʰiõ2	
携	hi6	
摔	sek4	
摔	suk4	
摔	siak4	
摘	tiaʔ4	
摞	lo3	
摟	lou2	
摩	mo5	
摳	kʰau1	
摸	mou5	
摸	mak4	沾染、沾上、触碰
摺	tsiʔ4	
撇	pfʰuak4	
撇	pfʰuaʔ4	
撇	pʰiak4	棉城又音
撈	liau5	文读
撈	lio5	白读
撈	lau1	文读
撐	tʰẽ1	
撐	tʰẽ3	
撐	tʰẽ2	
撒	sak4	
撒	sam2	
撒	suaʔ4	
撓	nau5	文读
撓	niau1	白读
撕	su1	
撚	liaŋ2	
撚	niam3	
撚	niap8	
撞	tsuaŋ6	文读
撞	tŋ7	白读
撤	tʰiak4	
撤	tsʰek4	移动，替字
撥	pfʰuak4	
撥	pfʰuaʔ4	白读
撩	liau5	文读
撩	lio5	白读
撫	bvu2	
播	pfua3	
撮	tsʰoʔ4	
撮	tsʰok4	
撮	tsʰuak4	
撰	tsuaŋ6	
撲	pʰok4	
撼	ham6	
擀	kaŋ2	
擁	ioŋ3	
擅	siaŋ6	
擇	toʔ8	白读
擇	tsek8	文读
擇	tsek4	文读
擇	toʔ4	择日
擊	kʰek4	
擋	taŋ2	
操	tsʰau1	
操	tsʰau3	曹操
擎	kʰeŋ5	
擎	kʰia5	持、拿，替字
擎	kʰaŋ5	擎茶
擒	kʰim5	
擔	tã1	担心，白读
擔	tã3	担子，白读
擔	tam1	文读
據	ku6	
擠	tsĩ3	
擦	tsʰak4	
擬	ni2	模拟
擬	ŋi2	拟人
擱	koʔ4	文读
擱	kak4	搁掉，白读
擲	tã3	
擲	sek4	
擴	kʰuak4	
擺	pai2	
擾	dziau2	
攀	pʰaŋ1	
攆	liŋ2	
攆	leŋ2	推
攏	loŋ2	峡山音
攏	noŋ2	棉城音
攔	laŋ5	文读
攔	nua5	白读
攘	dziaŋ2	
攙	tsʰam1	
攝	niap4	
攤	tʰuã1	
攪	ka2	白读
攪	kiau2	文读
攬	lam2	
攬	nam2	
支	ki1	
支	tsi1	
支	tsĩ1	
收	siu1	
改	koi2	
攻	koŋ1	
放	paŋ3	白读
放	huaŋ3	文读
政	tseŋ3	
故	ku3	文读
故	kou3	故乡，老派白读
故	ku7	训读，本字“旧”
效	hau7	
敏	miaŋ2	
救	kiu3	
敗	pai7	
教	ka3	白读
教	kau3	文读
敝	pi3	根据海门音鉴定为阴去
敢	kã2	白读
敢	kam2	石敢当，文读
散	suã3	白读
散	suã2	白读
散	saŋ3	文读
敦	tuŋ1	
敬	keŋ3	
敲	kʰiau1	
敲	kʰa3	
敲	kʰo3	
整	tsiã2	
敵	tek8	
敷	hu1	
數	siau3	白读
數	su3	文读
數	sok4	屡次
數	suak4	屡次
斂	niam6	
斂	niam2	
斃	pi7	
文	bvuŋ5	
斗	tou3	文读
斗	tau3	白读
斗	tau2	白读
料	liau7	
斛	hok8	
斜	sia1	
斜	sia5	
斟	tsam1	白读
斟	tsim1	文读
斡	uak4	
斡	uk4	斡弯
斡	uak8	
斤	kiŋ1	
斥	tsʰek4	
斧	pou2	
斬	tsam2	
斯	su1	
新	siŋ1	
斷	tuaŋ6	文读
斷	tuaŋ3	断定，文读
斷	tŋ6	白读
方	huaŋ1	文读
方	paŋ1	白读
方	pŋ1	姓，白读
方	hŋ1	白读
於	u1	
於	i1	
施	si1	
施	siʔ4	施孤
旁	pʰaŋ5	文读
旅	lu2	
旅	li2	
旋	suaŋ5	文读
旋	suaĩ5	白读
旋	tsŋ5	白读
旋	tsŋ7	白读
旌	seŋ1	
族	tsok8	文读
族	tsak8	种族，白读
旗	ki5	
既	ki3	
日	dzik4	
日	dzik4	日昼
日	dzik8	
旦	taŋ3	文读
旦	tuã3	花旦，白读
旨	tsi2	
早	tsa2	白读
早	tsau2	早起，文读
旬	suŋ5	
旭	hiok4	
旰	kua3	下旰，下午
旱	uã6	白读
旱	haŋ6	文读
旺	uaŋ6	
昂	ŋaŋ1	
昆	kʰuŋ1	
昌	tsʰiaŋ1	
明	meŋ5	文读
明	me5	明年，白读
明	ma3	明日，一说是“明旦”合音
明	mia5	柴明，松明，白读
昏	huŋ1	文读
昏	hŋ1	白读
易	i6	文读
易	koi7	白读
易	ek8	交易
易	iaʔ8	易经
昔	tsa2	训读
星	tsʰẽ1	
星	saŋ1	零星，白读
映	iaŋ3	
春	tsʰuŋ1	
昧	mue6	
昨	tsa1	昨日，昨天
昨	tsoʔ4	昨日，前天
昭	tsiau1	
是	si6	
昵	nek8	
時	si5	白读
時	su5	文读
晉	tsiŋ3	
晏	aŋ3	文读
晏	uã3	白读
晚	uŋ2	晚稻
晚	mŋ2	
晝	tiu2	白昼
晝	tiu2	昼暝（夜），文读
晝	tau3	日昼，白读
晦	hue3	
晨	siŋ5	
普	pʰou2	
景	keŋ2	
晴	tsẽ5	
晶	tsiã1	
晷	kui2	
智	ti3	
暇	hia3	
暈	huŋ1	
暈	huŋ5	
暈	huŋ7	
暈	iaŋ7	日晕
暑	su2	
暖	luaŋ2	
暖	nuaŋ2	普宁东部潮阳腔音
暗	am3	
暢	tʰiaŋ3	
暢	tʰaŋ3	直畅
暢	tʰŋ3	直畅，白读
暫	tsiam6	
暮	mou6	
暴	pau6	
暹	siam5	
曆	leʔ8	
曉	hiau2	
曝	pʰak8	
曠	kʰuaŋ3	
曩	laŋ2	
曬	sai3	文读
曬	se3	晒入来，白读
曰	iak4	
曲	kʰek4	白读
曲	kʰiok4	曲直，老派文读
更	keŋ1	更改，文读
更	kẽ1	三更，白读
更	keŋ3	更好，文读
曷	hak4	
書	tsu1	
曹	tsʰau5	文读
曹	tso5	姓，老派白读，现多改为tshau5音
曾	tseŋ1	文读
曾	tsaŋ1	姓，白读
曾	tseŋ5	文读
替	tʰi3	文读
替	tʰoi3	白读，此音训给了“代”字
最	tsue3	
會	hue6	文读
會	kue3	会计
會	oi6	白读
月	ɡueʔ8	
有	u6	白读
有	iu2	文读
朋	pʰeŋ5	
服	hok8	
朔	sok4	
朔	suak4	
朕	tim6	
朗	laŋ5	朗读
朗	laŋ6	开朗
朗	loŋ2	明朗
望	mo7	白读
望	bvuaŋ6	
朝	tsʰiau5	朝代
朝	tsiau1	朝暮
期	kʰi5	
木	bak8	白读
木	mak8	木棉花，白读
木	mok8	木耳，文读
未	bvue7	
未	bi7	未时
末	muak8	
末	mak8	
末	bvuaʔ8	粉末
本	pŋ2	
札	tsak4	文读
札	tsaʔ4	白读
朱	tsu1	
朵	to5	锯朵仔
朵	to6	一朵
机	kui1	花机，白读
机	ki1	文读
朽	hiũ2	
杈	tsʰe1	
杉	sam1	
李	li2	
杏	kʰeŋ6	
材	tsʰai5	
村	tsʰŋ1	
杖	tsiaŋ6	
杜	tou6	
杞	kʰi2	
束	sok4	
杠	kaŋ3	
杠	koŋ3	杠杆
杠	kŋ3	轿杠
杭	haŋ5	
杯	pfue1	
東	taŋ1	白读
東	toŋ1	文读
杳	miau2	
松	soŋ1	文读
松	sioŋ5	文读
松	saŋ1	白读
松	seŋ5	松柏，白读
板	paŋ2	文读
板	paĩ2	白读
枉	uaŋ2	
析	sek4	
枕	tsim2	
林	lim5	文读
林	na5	白读
枚	bvue5	
果	kuẽ2	
果	kuã2	
枝	ki1	
枯	kou1	
枯	kʰou1	茶枯
枵	iau1	
架	ke3	白读
架	kia3	老派文读
柄	pẽ3	
柏	peʔ4	
某	mou2	
柑	kã1	白读
柑	kam1	油柑，文读
染	dziam2	文读
染	ni2	白读
柔	dziu5	
柚	iu7	
查	tsʰe5	
查	tsa1	
柩	kiu6	
柬	kaŋ2	
柱	tʰiau6	
柳	liu2	
柴	tsʰa5	训读
柵	tsaʔ8	栅栏
柵	suaŋ1	
柵	saŋ1	
栗	lak8	
校	hau6	学校
校	ka3	校对
株	tsu1	
核	hek4	文读
核	huk8	白读
核	hak8	糖核，白读
核	hak4	核桃，白读
根	kiŋ1	
格	keʔ4	
栽	tsai1	
桂	kui3	
桃	tʰo5	
桃	to5	
桃	tʰou5	桃溪，峡山地名
桅	ui5	
案	uã3	
桌	toʔ4	
桐	tʰoŋ5	梧桐，文读
桐	tʰaŋ5	桐油，白读
桑	saŋ1	文读
桑	sŋ1	白读
桓	hueŋ5	
桶	tʰaŋ2	
桿	kuã1	白读
桿	kaŋ1	文读
梁	liaŋ5	文读
梁	nio5	白读
梅	bvue5	
梓	tsu2	
條	tiau5	
梢	sau1	
梧	ŋu5	魁梧
梧	ŋo5	梧桐
梨	lai5	
梭	so1	
梯	tʰui1	
械	hai6	
械	hai5	
梳	siu1	
梵	huam6	
棄	kʰi3	
棋	ki5	
棍	kuŋ3	
棒	paŋ3	
棕	tsaŋ1	
棗	tso2	
棗	tsou2	
棘	kek4	
棚	pẽ5	
棚	pʰaŋ5	
棟	toŋ3	文读
棟	toŋ7	本字“幢”
棟	taŋ3	白读，栋楹
棧	tsaŋ3	
森	sim1	
棲	tsʰi1	
棵	kʰo2	
椅	ĩ2	
植	sik8	
椒	tsio1	白读
椒	tsiau1	文读
椰	ia5	
椽	uaŋ5	
椿	tsʰuŋ1	
楊	iõ5	白读
楊	iaŋ5	文读
楚	tsʰo2	
楞	leŋ5	
楣	bai5	
楦	suaŋ1	
業	ŋiap8	
極	kek8	
楷	kʰai2	
概	kʰai3	
榆	dzu5	
榛	tsiŋ1	
榜	paŋ2	
榨	tsa3	
榮	ueŋ5	白读
榮	ioŋ5	文读
榴	liu5	
榻	tʰap4	
構	kou3	
槌	tʰui5	
槍	tsʰiõ1	
槐	huai5	
槳	tsiõ2	
樁	tsuaŋ1	
樂	lak8	快乐，白读
樂	lok8	娱乐，文读
樂	ŋauʔ8	音乐
樂	ɡauʔ8	音乐
樂	ŋau2	音乐，新派音
樂	haũ3	乐意
樅	tsaŋ5	
樓	lau5	
標	pʰiau1	文读
標	pio1	白读
樞	kʰu1	
樟	tsiaŋ1	文读
樟	tsiõ1	白读
模	mo5	
模	mou5	模糊
模	bou5	模型
樣	iõ7	白读
樣	iaŋ6	文读
樵	tsʰiau5	文读
樵	tsʰa5	柴本字，白读
樹	tsʰiu7	白读
樹	su6	树立，文读
橄	kã1	
橋	kio5	白读
橋	kʰiau5	文读
橘	kik4	
橙	tsʰeŋ5	
橛	kʰuak4	
橛	kueʔ8	
機	ki1	
機	kui1	花机，白读
橫	huẽ5	
檀	tʰaŋ5	文读
檀	tʰuã5	檀香，白读
檐	siam5	文读
檐	tsĩ5	白读
檢	kiam2	
檳	piŋ1	
櫃	kui7	
櫓	lu2	文读
櫓	lou2	白读
櫞	uaŋ5	文读
櫞	ŋ5	香橼，白读
櫻	eŋ1	
欄	laŋ5	
權	kʰuaŋ5	
欖	na2	白读
欖	nam2	文读
欛	pa3	
欠	kʰiam3	文读
欠	kʰim3	白读
次	tsʰu3	
欣	hiŋ1	
欲	aĩ3	训读
欲	iok8	
欺	kʰi1	
欽	kʰim1	
款	kʰuaŋ2	文读
款	kʰuã1	款行，也写作“宽”，白读
歇	hiaʔ4	
歉	kʰiam2	
歌	ko1	文读
歌	kua1	白读
歐	au1	
歡	huã1	白读
歡	huaŋ1	文读
止	tsi2	
正	tsiã3	白读
正	tsiã1	正月，白读
正	tseŋ3	文读
正	tsiŋ3	正经，白读
正	tsiaŋ3	官正
此	tsʰu2	文读
此	tsi2	替字
步	pou7	
武	bvu2	
歪	tsʰua2	训读
歪	uai1	文读
歲	hue3	白读
歲	sue3	文读
歷	leʔ8	
歸	kui1	
死	si2	
死	sɿ2	音变
殃	iaŋ1	
殆	tai6	
殉	suŋ5	
殊	su5	
殖	sik8	
殘	tsʰaŋ5	
殮	niam6	
殯	piŋ1	
