#漢字	音標	解釋
䉪	luj3	一種捕魚工具、深䉪，地名
史	si3	
右	jou4	
司	si1	
叻	lɛk6	聰明
叼	tiw1	
吁	huj1	
吃	kɐt8	口吃
吃	hɛk7	吃飯
各	kuk6	
各	kuk7	
吆	jᴀw1	
合	kɐp8	一合
合	hɐp8	合格
吉	kɐt6	
吊	tiw1	
同	hoʊŋ2	
名	mɛŋ3	你叫乜名？
名	mɛŋ2	名聲
名	meɪŋ2	
后	hou4	
吏	lei4	
吐	hou1	
向	hjuŋ1	
吒	tsʰɐk6	叱吒
吒	tsᴀ1	哪吒
吔	jᴀ1	
君	kwɐn1	
吝	lɐn4	
吞	hɐn1	
吟	jɐm2	
吠	fei4	
否	fou3	否定
否	pʰei3	否極泰來
吧	pᴀ4	
吩	fɐn1	
含	hɐm2	
吭	huŋ1	吭聲
吭	huŋ2	引吭高歌
吱	tsi1	
吳	m̍2	
吵	tsʰᴀw3	
吶	nᴀp8	
吸	kʰɐp6	
吹	tsʰuj1	
吻	mɐn1	
吼	hou1	
吾	m̍2	
呀	ŋᴀ1	
呂	luj3	
呂	luj2	
呃	ŋɐk6	
呆	ŋuj2	
呈	tsʰeɪŋ2	
告	kᴀw1	報告
呢	nɛ1	語氣助詞
呢	nɛ2	語氣助詞
呢	nei2	呢喃
周	tsu1	
呱	kwᴀ1	
味	mei4	
呵	hu1	
呻	sɐn1	
呼	fu1	
命	mɛŋ4	一條命
命	meɪŋ4	
咀	tsuj3	
咄	tɐt6	
咆	pʰiw2	
和	wᴀ2	和諧
和	wᴀ4	唱和
咎	kɐu1	
咐	fu1	
咒	tsou1	
咕	ku1	
咖	kᴀ1	
咚	toʊŋ1	
咦	ji3	
咩	mɪᴀ1	
咪	mei1	
咫	tsi3	
咬	ŋᴀw3	
咯	kuk7	咯咯笑
咯	hɐk7	咯血
咯	lu1	
咱	tsᴀ1	
咳	huj2	
咳	kʰɐt6	咳嗽
咸	hᴀm2	
咻	huj3	噢咻
咻	jou1	一傅眾咻
咽	jᴀn1	
咽	jᴀt7	哽咽
哀	ŋuj1	
品	pɐn3	
哄	hoʊŋ1	
哇	wᴀ1	
哈	hᴀ1	
哉	tsuj1	
哎	ʔᴀj3	
哞	mɐu2	
員	jᴀn2	
哥	ku1	
哦	ŋu2	
哦	ʔɔ2	
哨	sᴀw1	
哩	lei1	哩嚕
哩	lei2	
哪	lᴀj1	哪，哪裏
哪	nᴀ1	天哪
哪	nᴀ2	哪吒
哭	hoʊk6	
哮	hiw1	
哲	tsit7	
哺	pou4	
哼	hɐŋ1	哼歌
哼	ŋ̍1	
哽	kɐŋ3	
唉	ʔᴀj3	
唐	huŋ2	
唔	m̍2	
唥	lɐŋ1	
唥	lɐŋ4	
唧	tseɪk6	
唬	fu3	
售	su4	
唯	wei2	
唱	tsʰjuŋ1	
唷	ju1	
唸	tin1	
唸	nim4	吟誦
唾	hu1	
啁	tsɐu1	
啃	hɐŋ3	
啄	tjuk7	
商	sjuŋ1	
啊	ʔᴀ1	
問	mɐn4	
啕	hᴀw2	
啜	tsyt7	
啞	ŋᴀ1	嘔啞
啞	ŋᴀ3	聾啞
啞	ŋɐk6	啞然而笑
啟	kʰei3	
啡	fɪᴀ1	
啤	pɪᴀ1	
啦	lᴀ1	
啪	pʰɐk6	
啲	nit6	一些
啼	hei2	
啾	tsɐu1	
喀	hɐk6	
喂	wei1	
喃	nᴀm2	
善	sin4	
喇	lᴀ1	喇叭
喇	lᴀ2	喇嘛
喉	hou2	
喊	hᴀm1	
喋	tip8	
喔	wu1	
