#漢字	音標	解釋
□	ɛ0	应答声
恕	ʂʯ6	
恢	xuei1	
恤	ʂʯ6	
恨	xən6	
恭	kɘŋ1	
息	ɕi7	
恰	tɕʰia7	
懇	kʰən3	
恶	u6	
恶	ŋɯ7	
惱	lɔ3	
悄	tɕʰiɔ1	
悉	ɕi7	
悔	xuei3	
悟	u6	
悠	iəu̜1	
患	xuan6	
悅	ʯæ7	
懸	ɕieⁿ2	
憫	min3	
悲	pei1	
悼	tʰɔ6	
情	tɕʰin2	
驚	tɕin1	
惜	ɕi7	
惟	uei2	
惠	xuei6	
懼	tʂʰʯ6	
慘	tsʰan3	
懲	tʂʰən2	
懲	tʂʰən3	
慚	tsʰan2	
慣	kuan5	
惰	tʰɯ6	
想	ɕiɞ̞ᵑ3	
惹	ʐa3	
愁	tʂʰəu̜2	
愈	ʯ6	
愉	ʯ2	
意	i5	
愚	ʯ2	
感	kɛ̃3	
憤	fən6	
愧	kʰuei5	
願	ʐʯɛ̃6	
慈	tsʰɿ2	
慌	xɞ̞ᵑ1	
慎	ʂən6	
慕	mɯ7	
慢	man6	
慧	xuei6	
慨	kʰai3	
慰	uei6	
慷	kʰɞ̞ᵑ1	
憋	piæ7	
憎	tsən1	
憨	xan1	
憶	i6	
憾	xan6	
懂	tɘŋ3	
懈	ɕiɛ6	
懊	ŋɔ6	
懶	lan3	
懦	lɯ6	
懵	mɘŋ3	
戈	kɯ1	
戌	ʂʯ7	
戍	ʂʯ6	
戎	ʐɘŋ2	
戲	ɕi5	
成	tʂʰən2	
我	ŋɯ3	
戒	kai5	
戰	tʂɛ̃5	
戚	tɕʰi7	
截	tɕʰiæ7	
戳	tsʰɯ7	
戴	tai5	
戶	xu6	
房	fɞ̞ᵑ2	
所	sɯ3	
扁	pieⁿ3	
扇	ʂɛ̃5	
手	ʂəu̜3	
才	tsʰai2	
扑	pʰu7	
打	ta3	
扔	ʐʯan1	
托	tʰɯ7	
扣	kʰəu̜5	
執	tʂʅ7	
擴	kʰuæ7	
掃	sɔ3	
揚	iɞ̞ᵑ2	
扭	ȵiəu̜3	
扮	pan6	
扯	tʂʰa3	
擾	ʐai3	
扳	pan1	
扳	pʰan3	
扶	fu2	
批	pʰi1	
扼	ŋæ7	
找	tsɔ3	
承	tʂʰən2	
技	tɕʰi6	
抄	tsʰɔ1	
把	pa3	
抑	i6	
抓	tʂʯa1	
抖	tai3	
抗	kʰɞ̞ᵑ5	
折	ʂɛ2	弄～了
折	tʂæ7	
撫	fu3	
抛	pʰɔ1	
摳	kʰəu̜1	
搶	tɕʰiɞ̞ᵑ3	强～
護	xu6	
報	pɔ5	
披	pʰi1	
抬	tʰai2	
抱	pʰɔ6	
抵	ti3	
抹	ma7	
押	ia7	
抽	tʂʰəu̜1	
抿	min3	
拄	tʂʰʯ6	
擔	tan1	1，～水
擔	tan5	2，挑～
拆	tsʰæ7	
拇	mɯ3	
拈	ȵieⁿ1	
拉	la1	
拌	pʰan6	
拍	pʰæ7	
拎	ȵin1	
拒	tʂʰʯ6	
拓	tʰɯ7	
拔	pʰa7	
拖	tʰɯ1	
拘	tʂʯ1	
拙	tʂɯ7	
招	tʂai1	
拜	pai5	
攏	lɘŋ3	
揀	tɕieⁿ3	
擁	iɘŋ1	
攔	lan2	
撥	pæ7	
擇	tsæ7	选～
括	kʰua7	
拯	tʂən3	
