#漢字	音標	解釋
□	kʰa3	咳：咯痰
斥	tʂʰʅ5	
斧	fu3	
斬	tsan3	
斷	tan6	
斯	sɿ1	
新	ɕin1	
於	y2	
施	ʂʅ1	
旁	paŋ2	
旅	ly3	
旋	ɕyan2	～转
族	tsəu5	
旗	tɕi2	
无	vu2	
既	tɕi5	
日	ʐʅ5	
旦	tan5	
舊	tɕiəu6	
旨	tʂʅ3	
早	tsau3	
旬	ɕyən2	
旱	xan5	
時	ʂʅ2	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	ŋaŋ2	
昆	kʰuən1	
昌	tʂʰaŋ1	
明	min2	
昏	fən1	
易	i5	难～
易	i5	
昔	ɕi5	
星	ɕin1	
映	in5	
春	tɕʰyən1	
昧	mei5	
昨	tso5	
昭	tʂau1	
是	ʂʅ6	
晝	tʂəu5	
顯	ɕian3	
晃	faŋ5	
晉	tɕin5	
晌	ʂaŋ3	
