#漢字	音標	解釋
悅	uɛ7	
悉	si7	
悔	xuei5	
悟	u6	
悟	ŋʊ6	(又)
悠	iɯ1	
患	ɣuã6-	
患	xuã5=	
悲	pai1	
悶	miən3	
情	dziɔ̃2-	
情	dziən2=	
惑	xuɛ7	
惜	si7	
惟	uei2	
惠	ɣuei6	
惡	ʊ7	善～；厭～
惰	dʊ6-	
惰	tʊ5=	
惱	nau3	
想	siaŋ3	
惹	ɲiɔ̃3	
愁	dzai2	
愈	ʯ6	
愉	ʯ2	
意	i5	
愚	ɳʯ2	
愛	ŋai5	(又)
愛	uai5	
感	kã3	
愧	kʰuei5	
愼	ɣiən6	
慈	dzɿ2	
態	tʰa5	
慌	xaŋ2	
慕	mʊ6	
慘	tsʰã3	
慚	dzã2	
慢	mã6	
慣	kuã5	
慧	ɣuei6	
慨	kʰuai5	
慪	ŋai5	～氣
慫	tsʰən3	
慮	ni6	
慰	uei5	
慶	cʰiən5	
慷	kʰaŋ3	
慾	iɯ7	
憂	iɯ1	
憎	tsiɛ̃1	
憐	nĩ2	
憑	biən2	
憤	xuən5	
憫	miən3	
憲	çĩ5	
憶	i5	
懂	tən3	
懇	cʰiɛ̃3-	
懇	kʰən3=	
懈	ɣa6-	
懈	ɣia6=	
應	iən5	～當；響～
懊	ŋau5	～惱
懵	maŋ3	
懶	nã3	
懷	ɣua2	
懸	ɣuɛ̃2	
懼	dʯ6	
戀	nĩ5	
戈	kʊ1	
戊	u6	
戌	si7	
戍	ʂʯ5	
戎	iən2	
成	dən2	
我	ŋ̍3-	
我	ŋʊ3=	
戒	ka5	
或	xuɛ7	
戚	tsʰi7	
戟	ci7	
截	tsʰiɛ5	
戰	tiɛ̃5	
戲	çi5	
戳	tsʰʊ7	
戴	ta5	
戶	βu6-	
戶	ɸu5=	
戽	ɸu5	～水
房	ɣaŋ2	
所	sʊ3	
扁	pĩ3	
扇	siɛ̃5	
手	siɯ3	
才	dzai2	人～
扎	tsa7	用針～
打	ta3	
托	tʰʊ7	
扛	kaŋ5	
扣	kʰai5	
扭	ɲiɯ3	
扮	pã5	(訓讀)～禾
扮	pʰã5	打～
扯	tʰɔ3	
扳	pã1	
扶	βu2	
批	pʰi1	
扼	ɲiɛ̃7	
找	tsau3	
承	dən2	
技	ɟi6	
抄	tsʰau1	
把	pɔ3	(又)～握；一～
把	puɔ3	～握；一～
抑	i7	
抓	tsɔ1	
投	dai2	
抖	tai3	
抗	kʰaŋ5	
折	tiɛ7	～斷
披	pʰi1	
抱	bau6	
抵	ti3	
抹	mɔ̃7	(又)～布
抹	muɔ̃7	～布
押	ia7	
抽	tʰiɯ1	
抿	miən3	
拆	tsʰɔ7-	～開
拆	tsʰiɛ7	
拇	mʊ3	
拈	ɲĩ1	～起來
拉	na1	
拋	pʰau1	
拌	biɛ̃6	
拐	kua3	
拒	dʯ6	
拔	pʰa5	
拖	tʰʊ1	
拘	tʯ5	
拙	tuɛ7	
拚	pʰiɛ̃5	～命
招	tau1	
拜	pa5	
括	kua7	包～
拱	kən3	～手
拳	duɛ̃2	
拴	suã1	
拼	pʰiən5	～命
拾	ʂʅ5	撿～
拿	nai1-	
拿	na1=	
持	dʐʅ2	
指	tʂʅ3	
按	ŋã5	
挑	tʰiau1	
挖	ua7	
挨	ŋã2	
挪	na1	
振	tən5	
挺	tʰiən3	
挽	uã5	
挾	ka7	～菜
捅	tʰən3	
捆	kʰuən3	
捉	tsʊ7	
捋	nuai5	
捎	sau1	
捐	tuɛ̃1	
捕	pʰu3	
捧	pʰaŋ3	
捨	siɔ3	～棄
捱	ai1	～打
捲	tuɛ̃3	～起
捷	tsʰiɛ5	
捺	na7	
捻	ɲĩ3	～碎
掀	çĩ1	
掃	sau3	～地
掃	sau5	～帚
掇	tuɛ7	
授	ɣiɯ6	
掉	tiau5	
掌	taŋ3	
掏	dau2	～出來
掐	kʰa7	
排	ba2	
掘	tuɛ7	
掛	kɔ5	
掠	niʊ7	
採	tsʰai3	
探	tʰã5	
接	tsiɛ7	
控	kʰən5	
推	tʰuai1	
掩	ɲĩ3	
措	tsʰʊ5	
掬	ciɯ7	
揀	kã3	
揉	iɯ2	
描	miau1	
提	diɔ2-	
提	di2=	
插	tsʰa7	
揖	i7	作～
揚	iaŋ2	
換	ɣuɛ̃6	
握	u7	
揩	kʰa1	
揫	tsiɯ1	
揭	ciɛ7	
揮	xuei1	
援	uɛ̃2	
損	suən3	
搓	tsʰʊ1	
搖	iau2	
搜	sai1	
搞	kau3	
搧	siɛ̃5	
搬	piɛ̃1	
搭	ta7	
搶	tsʰiaŋ3	
搽	dzɔ2	
摘	tsua7	
摟	nai3	
摩	mʊ2	
摸	mʊ5	
摹	mʊ2	
摺	tiɛ7	～疊
撇	pʰiɛ7	
撈	nau5	
撐	tsʰɔ̃1	
撕	sɿ1	
撞	tsʰaŋ3	
撤	tʰiɛ7	
撥	piɛ7	
撩	niau2	
撫	ɸu3	
撮	tsuɛ7	一～
撲	pʰʊ7	
擀	kã3	
擁	iən5	
擇	tsʰiɛ7	
擊	ci7	
擋	taŋ3	阻～
操	tsʰau1	～作
擎	ɟiən2	
擒	ɟiən2	
擔	tã1	～任
擔	tã5	挑～
據	tʯ5	
擠	tsi3	
擡	dai2	
擦	tsʰa7	
擬	ɲĩ3	
擱	kʊ7	
擴	kʰʊ7	
擺	pa3	
擾	iau3	
攀	pʰã1	
攏	nən3	
攔	nã2	
攜	ɣi2	
攝	siɛ7	
攢	tsã3	
攤	tʰã1	
攪	ciau3	
支	tʂʅ1	
收	siɯ1	
改	kuai3	
攻	kən1	～擊
放	xaŋ5	
政	tən5	
故	ku5	
效	ɣiau6	
敏	miən3	
救	ciɯ5	
敗	ba6	
敘	dzi6	
教	kau5-	～書；～育；～他去
教	ciau5=	～書；～育；～他去
敝	bi6	
敢	kuɛ̃3	
散	sã3	鞋帶～了
散	sã5	分～
敦	tən1	～厚
敬	ciən5	
敲	kʰau1	
整	tən3	
敵	ti7	
敷	ɸu1	
數	sɯ3	～一～
數	sɯ5	～目
斂	nĩ3	
斃	pi5	
文	uən2	
斑	pã1	
斗	tai3	升～
