#漢字	音標	解釋
□	sã7	～話，打斷別人的話
闉	ɛn1	
闊	kʰuaʔ7-	
闊	kʰuat7	
闐	tʰɛn2	
闔	kʰap7	
闕	kʰuat7	
關	kuĩ1-	
關	kuan1	
闡	tsʰɛn3	
阡	tsʰɛn1	
阪	puã3-	
阪	pan3	
阪	puan3	
阮	uĩ3-	姓
阮	ɡuan3	訓，我們
阮	uan3	
防	hoŋ2	
阻	tsou3	
阿	1	
阿	o1	
陀	to2	
陂	pi1	
附	hu6	
陋	lou6	
陌	bɛt8	
降	haŋ2	
降	kaŋ5	
限	an6	
陛	pʰei3	
陝	siam3	
陟	tsit7	
陡	tou3	
院	ĩ6-	
院	ɛn6	
陣	tin6	
除	ti2	
陪	pue2	
陬	tsou1	
陰	im1	
陲	sui2	
陳	tan2-	姓
陳	tin2	
陶	to2	
陷	ham6	
陸	liok8	
陽	iaŋ2	
隄	tei1	
隆	lioŋ2	
隊	tui6	
隋	sui2	
階	kai1	
隔	kɛʔ7-	
隔	kɛt7	
隕	un3	
隘	ai5	
隙	kʰiaʔ7	
際	tsei5	
障	tsiaŋ1	
隨	sui2	
險	hiam3	
隰	sip7	
隸	lei6	
隹	tui1	
隼	tsun3	
雀	tsɛʔ7	麥～
雀	tsʰiak7	
雁	ɡan6	
雄	hioŋ2	
集	tsip8	
雇	kou5	
雉	ti6	
雌	tsʰi2	
雍	ioŋ1	
雕	tiau1	
雖	sui1	
雙	siaŋ1	
雜	tsap8	
雞	kei1	
離	li2	
難	lan2	
難	lan6	
雨	i3	
雨	u3	
雪	seʔ7-	
雯	lan2	
雯	bun2	
雲	hun2-	
雲	un2-	
雲	in2	
雷	lui2	
雹	pʰau8	
電	tɛn6	
需	si1	
霄	sio1	雲～
霄	siau1	
霎	siap7	
霓	ɡei2	
霖	lim2	
霜	sŋ1-	
霜	soŋ1	
霞	hɛ2	
霧	bu6	
霪	im2	
霰	san5	
露	lou5	
霹	pʰɛt7	
霽	tsei5	
靈	lɛn2	
青	tsʰĩ1-	
青	tsʰɛn1	
靖	tsɛn6	
靜	tsɛn6	
非	hui1	
靠	kʰo5	
面	bin6-	
面	bɛn6	
靦	tʰɛn3	
靨	iam3	
靴	hia1	
鞅	iaŋ5	
鞋	ei2-	
鞍	uã1-	
鞍	an1	
鞠	kiok7	
鞭	pĩ1-	
鞭	pɛn1	
韓	han2	
韜	tʰo1	
韭	ku3-	
音	im1	
韶	siau6	
韻	un6	
響	hiaŋ3	
頁	iaʔ8	
頂	tɛn3	
頃	kʰɛn3	
項	haŋ6	
順	sun6	
頇	han1	
須	tsʰiu1-	
須	si1	
頊	hiok7	
頌	sioŋ6	
預	i6	
頑	ɡuan2	
頒	pan1	
頓	tuĩ5-	一～飯
頓	tun5	
頗	pʰo1	
頗	pʰo3	
領	niã3-	
領	lɛn3	
頤	hi6	
頦	hai2	
頭	tʰau2-	
頭	tʰiu2	
頰	kiap7	
頷	ham1-	
頷	am6	頸
頸	kɛn6	
頹	tue2	
頻	pin2	
題	tei2	
額	ɡɛt8	
額	ɡiaʔ8	名～
額	hiaʔ8	頭～
顏	ɡan2	
顓	tsuan1	
願	ɡuan6	
顙	soŋ3	
顛	tɛn1	
類	lui6	
顧	kou5	
顯	hɛn3	
顱	lou2	
風	hoŋ1	
颱	tʰai1	風～
飄	pʰiau1	
飆	pʰiau1	
颺	iaŋ2	
飛	pue1-	
飛	hui1	
食	tsiaʔ8-	
食	sit8	
飡	tsʰan1	
飧	sun1	
飪	dzim1	
飫	i5	
飭	tʰit7	
飯	puĩ6-	
飯	huan6	
飱	tsʰan1	
飲	im3	
飴	i2	
飼	tsʰi6-	
飽	pau3	
餅	piã3-	
餅	pɛn3	
餉	hiaŋ5	
養	iũ3-	
養	iaŋ3	
養	iaŋ6	
餌	dzi6	
餐	tsʰan1	
餒	lue3	
餓	ɡo6	
餓	ŋo6	
餘	i2	
餛	hun2	
餞	tsɛn3	
餡	ã6-	豆～
餡	ham6	
館	kuan3	
餾	liu5	蒸～水
饅	ban2	
饉	kin6	
饒	dziau2	
饔	ioŋ1	
饕	ho1	
饕	tʰɛt7	
饗	hiaŋ3	
饜	iam1	
首	siu3	
馗	kui2	
香	hiũ1-	
香	hiaŋ1	
香	tok8	
馥	hiok7	
馨	hɛn1	
馬	bɛ3-	
馬	m3	
馮	paŋ2	
馮	pɛn2	
馳	ti2	
馴	hun5	
駁	pak7	
駐	tsu6	
駒	kʰi1	
駕	kɛ5	
駘	tai6	
駛	sai3-	
駛	su3	
駝	to2	
駢	pɛn2	
駭	hai3	
駱	lok8	
駿	tsun5	
騁	pʰɛn5	
騅	tui1	
騎	kʰia2-	
騎	kʰi2	
騎	i3	
騙	pʰɛn5	
騫	kʰɛn1	
騰	tʰɛn2	
騷	so1	
驂	tsʰam1	
驃	pʰiau5	
驄	tsʰoŋ1	
驅	kʰi1	
驕	kiau1	
驗	ɡiam1	
驚	kiã1-	
驛	iaʔ8-	
驟	tsou6	
驢	li2	
骨	kut7	
骸	hai2	
骹	kʰ1	腳
骾	kĩ3-	
髒	tsŋ6-	
髓	tsʰue3	
髓	tsʰui3	
體	tʰei3	
高	ko1	
髮	huat7	
鬃	tsaŋ1-	
鬃	tsaŋ3-	
鬃	tsoŋ1	
鬆	saŋ1-	
鬢	pin5	
鬥	tau5-	相～戲
鬥	tou5	戰～
鬧	lau6-	～熱
鬧	nau6	
鬮	kʰau1	
鬱	ut7	
鬻	iok8	
鬼	kui3	
魁	kʰue1	
魂	hun2	
魍	boŋ3	
魎	liaŋ3	
魏	ɡui6	
魔	mo2	
魚	hi2-	
魯	lou3	
魴	haŋ1-	
鮑	pau2	
鮭	kei2-	
鮮	tsʰĩ1-	魚～
鮮	sɛn1	
鮮	sɛn3	
鯁	kĩ3-	
鯉	li3	
鯊	sua1-	
鯤	kʰun1	
鯧	tsʰiũ1-	
鯨	kɛn1	
鰍	tsʰiu1	
鰓	tsʰi1-	魚～
鰱	lɛn2	
鰻	muã2-	
鰻	ban2	
鰾	pʰiau6	
鱉	pɛt7	
鱉	piʔ7	
鱗	lan2-	
鱗	lin2	
鱟	hau6	
鱷	ɡok8	
鳥	tsiau3-	
鳥	niau3	
鳩	kʰiu1	
鳳	hoŋ6	
鳴	bɛn2	
鴉	1	
鴛	uan1	
鴛	kiaŋ6	
鴣	kou1	
鴦	iũ1-	
鴦	iaŋ1	
鴨	aʔ7	
鴿	kap7	
鵝	ɡo2	
鵡	bu3	
鵪	an1	
鵬	pʰɛn2	
鵲	tsʰiak7	
鶯	ɛn1	
鶴	hoʔ8	
鶼	kiam1	
鷗	ou1	
鷥	si1	
鷲	tsiu6	
鷸	it8	
鸚	ɛn1	
鸞	luan2	
鵾	kʰun1	
鹵	lou3	
鹹	kiam2-	
鹽	iam2	
鹿	lok8	
麒	ki2	
麗	lei6	
麝	sia6	
麟	lin2	
麥	bɛʔ8-	
麥	bɛt8	
麯	kʰiok7	
麵	mĩ6-	
麵	bɛn6	
麻	b2	
麻	m2	
麻	mua2	
麼	iau1	
麽	mo7	
黃	uĩ2-	
黃	hoŋ2	
黍	sei3-	
黍	si3	
黎	lei2	
黏	liam2	
黑	hɛt7	
黔	kʰiam2	
默	bɛt8	
黛	tai6	
黜	tʰut7	
點	tiam3	
黨	taŋ3	～參
黨	toŋ3	
黯	am3	
黻	hut7	
黼	pou3	
黽	bin3	
鼇	ɡo2-	
鼎	tiã3-	
鼎	tɛn3	
鼐	nai6	
鼓	kou3	
鼙	pi2	
鼠	tsʰi3	
鼻	pʰĩ6-	
鼻	pit8	
齊	tsei2	
齋	tsei1	
齒	kʰi3-	
齒	tsʰi3	
齟	tsou2	
齠	tiau2	
齡	lɛn2	
齧	ɡɛt7	
齪	tsʰok7	
齷	ok7	
龍	lioŋ2	
龐	baŋ2	
龔	kioŋ3	
龕	kʰam1	
龜	ku1-	
龜	kui1	
𬶐	tʰiau2	
