#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
堊	ɔk8	
堋	ɓɐŋ3	下葬
堋	pɐŋ4	充當箭靶的矮墙；分水的堤壩
堍	tʰu3	
堖	nɵ̜u5	
堘	ɕøŋ4	同「塍」
堙	ɐn1	
堝	kʷɵ1	
堞	tᴇɐ̯p10	
堠	ɐu6	
堡	ɓɵ̜u2	
堤	tɐi4	
堪	hɔm1	
堪	hɐm1	
堯	ȵiu4	
堰	jin3	
報	ɓɵ̜u3	
場	tɕa4	
堵	ɗu2	
塄	lɐŋ4	
塊	wɔi3	
塋	weŋ4	
塌	tʰɔp8	
塍	ɕøŋ4	田～：田埂；江～：河堤
塏	hɔi2	
塑	ɬu3	見1959年字表及《玉林市志》
塑	ɕɔk8	見1959年字表及《玉林话研究》
塒	ɕi4	
塔	tʰɔp8	
塗	tu4	
塘	tɔŋ4	
塚	tɕoŋ2	
塞	ɬɐk7	堵～
塞	ɬɔi3	邊～
塢	wu3	
塤	ɬÿn2	
塥	ka2	
填	tin4	文讀
填	tɐn4	填满，填塞。可能是「坉」的訓讀
塭	wɐn1	
塵	tɕɐn4	
塹	tʰim3	
塾	ɕok9	
墀	tɕi4	
墁	mun4	
境	keŋ2	
墅	ɕy2	見《玉林市志》
墅	ɕy3	見《玉林话研究》
墉	joŋ4	
墊	tim5	「簟」之訓讀
墓	mu6	
墚	la4	
墜	tɕui6	
增	ɗɐŋ1	
墟	hy1	
墨	mɐk9	
墩	ɗɐn1	
墮	tœ6	～落
墳	fɐn4	
墼	kɐk9	
墾	hɐn2	
壁	ɓek7	
壅	oŋ1	
壇	tɔn4	
壑	kʰɔk8	
壓	ɔt8	
壓	ɐp7	《广西通志・汉语方言志》中的記音
壕	ɵ̜u4	
壘	lui5	
壙	kʷʰɔŋ3	
壚	lu4	
壞	wɔi6	
壟	loŋ5	
壢	lek7	
壤	ȵa4	
壩	ɓɔ3	
士	ɕi6	
壬	ȵɐm4	
壯	tɕɔŋ3	
壹	jɐt7	
壺	wu4	
壼	kʷʰɐn2	
壽	ɕɐu6	
夂	tɕi2	
夏	ɔ6	
夔	kʷɐi4	
夕	tek9	
外	ŋɔi6	
外	wɔi6	
夙	ɬok7	
多	ɗɵ1	
夜	jɛ6	形容詞。天色暗，時候不早
夜	jɛ3	名詞
夠	kɐu3	
夢	moŋ6	
夤	jɐn4	
夥	wɵ2	多
夥	fɵ2	～計
大	tɔi6	
天	tʰin1	
太	tʰɔi3	
夫	fu1	
夫	fu4	文言中表示句首發語詞、指示詞、語氣詞
夭	jiu1	
央	ja1	
夯	hɐŋ1	
失	ɕɐt7	
夷	ji1	蠻～|東～|～族
夷	ji4	傷也；滅也
夸	kʷʰɔ1	
夼	kʷʰɐŋ2	
夾	kɔp8	雙～；～生：活生生地､硬生地地
夾	kᴇɐ̯p10	白讀：夾子；夾着
夾	kᴇɐ̯p8	白讀：夾取
奄	jim2	
奇	ki4	
奈	nɔi6	
奉	foŋ6	
奎	kʷɐi4	
奏	ɗɐu3	
奐	wun3	
契	kʰɐi3	
奔	ɓɐn1	
奕	ek9	
套	tʰɵ̜u3	
奘	tɔŋ6	
奚	kʰɐi1	
奠	tin6	
奢	ɕɛ1	
奧	ɵ̜u3	
奩	lim4	
奪	tøɐ̯t10	
奮	fɐn6	
女	ny5	
奴	nu4	
奶	nɔi1	二～|師～
奶	nɔi5	
奸	kɔn1	
她	tʰɔ1	
奼	tɕʰɔ3	
好	hɵ̜u2	良～
好	hɵ̜u3	喜～
妁	tɕa2	
如	ɕy4	
妃	fi1	
妄	mɔŋ5	
妍	nin1	
妒	ɗu3	
妓	ki6	
妖	jiu1	
妗	tɕɐm5	
妙	mᴇɐ̯u6	
妝	tɕɔŋ1	
妞	nɐu2	
妣	ɓi2	
妤	jy5	
妥	tʰœ2	
妨	fɔŋ4	
妮	ni1	
妯	tɕok9	
妲	ɗɔn3	奎～閣
妳	ni5	
妹	mɔi6	姐～
妹	mui6	moi6的異讀
妹	mui1	形容詞，文靜的，像女孩子一樣的。
妻	tʰɐi1	
妾	tʰip7	
姆	mu5	
姊	ɗi2	
始	tɕʰi02	纔
始	ɕi2	開～
姍	ɕɔn1	
姐	ɗɛ2	
姑	ku1	
姒	ti5	
姓	ɬeŋ3	
委	wɐi2	
姍	ɕɔn1	
姘	pʰeŋ1	
姚	jiu4	
姜	ka1	
姝	ɕy5	
姣	kɔu2	好
姣	ɔu4	淫亂
姦	kɔn1	
姨	ji4	
姪	tɕɐt9	
姬	ki1	
姹	tɕʰɔ3	
姻	ɐn1	
姿	ɗi1	
威	wɐi1	
娃	wɔ4	
娉	pʰeŋ3	
娌	li5	
娑	ɬɵ1	
娓	mi2	
娘	na1	姑～
娘	na4	婦～
娛	ȵy4	
娜	nɔ6	
娟	kÿn1	
娣	tɐi5	
娥	ŋɵ5	
娩	min5	
娶	tʰy2	文讀
娶	tʰu2	白讀
娼	tɕʰa1	
婀	ɔ1	
婆	pɵ4	
婉	wun2	
婊	ɓiu2	
婕	ɗᴇɐ̯p8	
婚	wɐn1	又讀
婚	wun1	
婢	pi5	
婥	tɕʰɔk8	
婦	fu5	
婧	teŋ6	
婪	lɔm2	
婭	ɔ3	
婷	teŋ4	
婺	mu6	
婿	ɬɐi3	
媒	mui4	
媚	mi4	
媛	jÿn4	
媧	wɵ1	
媯	kʷɐi1	
媲	pʰi3	
媳	ɬek7	
媵	eŋ6	
媸	tɕʰi1	
媼	ɵ̜u2	
媽	mɔ1	
媾	kɐu3	交～
媾	kʰɐu1	
嫁	kɔ3	
嫂	ɬɵ̜u2	
嫉	tɐt9	
嫌	jim1	白讀：嫌棄，介意
嫖	piu4	
嫗	jy3	
嫘	lui4	
嫜	tɕa1	
嫠	li4	
嫣	jin1	
嫦	ɕa4	
嫩	nÿn6	
嫫	mu4	
嫵	fu5	
嫻	ɔn4	
嬀	kʷɐi1	
嬈	niu5	戲弄
嬈	ȵiu4	
嬉	hi1	
嬋	ɕim4	
嬌	kiu1	
嬖	ɓɐi3	
嬗	ɕin6	
嬙	ta4	
嬛	jÿn1	輕麗貌
嬛	wɔn4	嫏～
嬡	ɔi5	
嬤	mɛ1	
嬪	pɐn4	
嬰	eŋ1	
嬲	nɐu1	
嬴	eŋ4	
嬸	ɕɐm2	
孀	ɕɔŋ1	
孃	na2	老～
孌	lÿn2	
子	ɗi2	
孑	kᴇɐ̯t8	
孓	kʰÿt7	
孔	hoŋ2	
孕	ȵɐn6	
字	ti6	
存	tÿn4	
孚	fu1	
孛	pui6	
孜	ɗi1	
孝	hɔu3	
孟	ma6	
孢	ɓɔu1	
季	kʷɐi3	
孤	ku1	
孥	nu4	
孩	ɔi4	
孫	ɬÿn1	
孬	mɵ̜u2	「冇好」合音
孰	ɕok9	
孱	tɕɔn4	
孳	ɗi1	
孵	fu1	
學	ɔ6	
孺	ɕy4	
孼	nᴇɐ̯p10	又讀
孼	nᴇɐ̯t10	
孼	ȵᴇɐ̯p10	
孽	nᴇɐ̯p10	又讀
孽	nᴇɐ̯t10	
孽	ȵᴇɐ̯p10	
孿	lÿn4	
宀	min4	
它	tʰɔ1	
宄	kʷɐi2	
宅	tɕa6	
宇	jy5	
守	ɕɐu2	
安	ɔn1	
宋	ɬoŋ3	
完	jÿn4	
宏	oŋ4	
宓	mɐt9	
宕	tɔŋ6	
宗	ɗoŋ1	
官	kun1	
宙	tɕɐu6	
定	teŋ6	
宛	wun2	
宜	ȵi4	
客	ha2	
宣	ɬÿn1	
室	ɕɐt7	
宥	jɐu6	
宮	koŋ1	
宰	ɗɔi2	
害	ɔi6	
宴	jin3	～會
宵	ɬiu1	
家	kɔ1	
宸	ɕɐn4	
容	joŋ4	
宿	ɬok7	
寂	tek9	
寄	ki3	
寅	jɐn4	
密	mɐt9	
寇	kʰɐu3	
富	fu3	
寐	mi6	
寒	ɔn4	
寓	ȵy6	
寞	mɔk10	
察	tɕʰɔt8	
寡	kʷɔ2	
寡	kʷɔt8	1959年字表中記有的讀音
寢	tʰɐm2	
寤	ŋ̍6	
寥	liu4	
寥	lᴇɐ̯u1	
實	ɕɐt9	
寧	neŋ4	
寨	ɕɔi6	
審	ɕɐm2	
寫	ɬœ2	
寬	wun1	
寮	liu4	
寰	wɔn4	
寵	tɕʰoŋ2	
寶	ɓɵ̜u2	
寸	tʰÿn3	
寺	ti4	
封	foŋ1	
射	ɕɛ6	～箭
射	jɛ6	僕～
將	ɗa1	～來|～要
將	ɗa3	～帥
專	tɕÿn1	
尉	wɐi2	
尊	ɗÿn1	
尋	tɐm4	
對	ɗui3	
導	tɵ̜u5	
小	ɬiu2	
少	ɕiu3	～年
少	ɕiu2	多～
尕	nɐi3	
尖	ɗim1	
尚	ɕa5	～且
尚	ɕa6	和～|崇～|～書
尢	jɐu4	同「尤」
尢	wɔŋ1	曲脛
尣	wɔŋ1	曲脛
尤	jɐu4	
尥	pʰᴇɐ̯u1	
尪	wɔŋ1	曲脛
尬	kɔi3	
就	tɐu6	
尷	kɔm1	
尸	ɕi1	
尹	jɐn5	
尺	tɕʰek7	
尻	kʰᴇɐ̯u3	
尼	ni4	
尾	mi2	
尾	mi1	最後，俗作「屘」
尾	mi5	～牙：農暦十六的拜祭儀式，一般設有宴席
尿	nᴇɐ̯u6	文讀：～素、～布
尿	ɬui1	白讀：屙～
局	kok9	
屁	pʰi3	
居	ky1	
屆	kɔi3	
屈	kʷɐt9	白讀
屈	wɐt7	
屋	ok7	
屍	ɕi1	
屎	ɕi2	
屏	peŋ4	
屐	kek7	
屑	ɬit7	
展	tɕin2	
展	tɕʰin2	又讀
屙	ɵ1	
屜	tʰɐi3	
屠	tu4	
屢	ly5	
屣	ɕi2	
層	tɐŋ4	
履	li5	
屨	ky3	
屬	ɕok9	
屮	tɕʰit7	
屯	tÿn4	
山	ɕɔn1	
屹	ɐt9	
屺	hi2	
岈	hɔ1	㟏～
岈	ȵɔ4	嵖～
岌	ŋɐp9	
岍	jin1	
岐	ki4	石～：地名，在廣東中山
岐	tɕi1	～山坡：村名，在博白
岑	ɕɐm4	
岔	tɕʰɔ1	
岜	ɓɔ1	
岡	kɔŋ1	
岢	hɵ2	
岣	kɐu2	
岩	ȵɔm4	
岫	tɐu6	
岬	kɔp8	
岱	tɔi6	
岳	ŋɔk10	異讀
岳	ȵa6	
岵	wu5	
岷	mɐn4	
岸	ŋɔn6	
峁	mɔu5	
峇	hɔp8	
峋	tɐn4	
峒	toŋ6	同「垌」
峙	tɕi5	
峨	ŋɵ4	
峪	jok9	
峭	tʰiu3	
峯	foŋ1	
峯	foŋ1	
峴	jin5	
島	ɗɵ̜u2	
峻	ɬɐn3	斜坡
峽	ɔp10	
崁	hɐm3	
崆	hoŋ1	
崇	ɕoŋ4	
崍	lɔi4	
崎	kʰi1	
崑	kʷɐn1	
崔	tʰui1	
崖	ŋɔi4	
崗	kɔŋ1	
崙	lɐn4	
崛	kʷɐt9	
崞	kʷʰɔk8	
崢	tɕa1	
崤	ȵɔu4	
崦	jim1	
崧	ɬoŋ1	
崩	ɓɐŋ1	
崬	ɗoŋ1	
崮	ku3	
崳	jy4	
崴	wɐi1	
崽	ɗɐi2	
崾	jiu5	
嵇	kʰɐi1	
嵊	ɕeŋ6	
嵋	mi4	
嵌	jɐm3	
嵐	lɔn4	
嵩	ɬoŋ1	
嵫	ɗi1	
嵬	ŋɐi4	
嵯	tɵ4	
嶁	lɐu5	
嶂	tɕa3	
嶄	tɕɔm2	
嶇	kʰy1	
嶗	lɵ̜u4	
嶙	lɐn4	
嶝	ɗɐŋ3	
嶠	kiu4	
嶧	ek9	
嶴	ɵ̜u3	
嶷	ŋek9	岐～
嶷	ȵi4	
嶸	weŋ4	
嶺	leŋ5	
嶼	jy5	
嶽	ȵa6	
巉	ɕɔm4	
巍	ŋɐi4	
巒	lÿn4	
巔	ɗin1	
巖	ȵɔm4	
巛	tɕʰÿn1	
川	tɕʰÿn1	
州	tɕɐu1	
巡	tɐn4	
巢	tɕɔu4	
工	koŋ1	
左	ɗɵ2	
巧	hɔu2	
巧	kʰᴇɐ̯u2	
巨	ky5	白讀
巨	ky6	文讀
巫	mu1	
差	tɕʰɔ1	相～|～勁
差	tɕʰɔi1	出～
差	tɕʰi1	參～
巰	hɐu1	
己	ki2	
已	ji5	
巳	ti5	
巴	ɓɔ1	
巴	pɔ4	下～
巷	ɐŋ6	
巹	tɕɐn2	
巽	ɬÿn3	
巾	kɐn1	
市	ɕi5	
布	ɓu3	
帆	fɔn4	
希	hi1	
帑	tʰɔŋ2	
帔	pi6	
帕	pʰa2	可能是「絈」的訓讀
帖	tʰip7	
帙	tɕɐt9	
帚	tɕɔu2	
帛	pa6	
帝	ɗɐi3	
帥	ɕui3	
師	ɕi1	
席	tek9	
帳	tɕa3	
帶	ɗɔi3	
帷	wɐi4	
常	ɕa4	
帽	mɵ̜u6	
幃	wɐi4	
幄	ɐk7	
幅	fok7	
幎	meŋ1	蒙
幔	mɔn6	
幕	mu6	見《玉林市志》
幕	mɔk10	白讀
幗	kʷɔk8	
幘	tɕa2	
幛	tɕa3	
幞	fok9	
幟	tɕek7	見《玉林话研究》
幡	fɔn1	
幢	tɕɔŋ6	
幣	pi6	
幫	ɓɔŋ1	
幬	tɵ̜u6	覆盖
幬	tɕɐu4	帷幕
干	kɔn1	
平	peŋ4	
年	nin1	白讀
年	nin4	
并	ɓeŋ3	
幸	a6	
幹	kɔn3	
幺	jiu1	
幻	wɔn6	
幼	jɐu3	
幽	jɐu1	
幾	ki1	～乎
幾	ki2	～多
广	ȵim5	
庀	pʰi2	
庄	tɕɔŋ1	
庇	ɓi3	
庉	tÿn5	摞，疊
牀	ɕɔŋ4	
庋	kʷɐi2	
序	ty5	
序	tu5	白讀。工～
底	ɗɐi2	
庖	pɔu4	
店	ɗim3	
庚	ka1	
府	fu2	
庠	ta4	
庥	jɐu1	
度	tɔk10	計算、推測
度	tu6	
座	tœ6	
庫	wu3	
庭	teŋ4	
庳	ɓi1	
庵	ɔm1	
庶	ɕy3	
康	hɔŋ1	
庸	joŋ4	
庹	tʰɔk8	
庾	jy5	
廁	tɕʰɐk7	
廂	ɬa1	
廈	ɔ6	
廉	lim4	清～
廉	lᴇɐ̯m4	白讀。邊緣或靠近邊緣的地位
廊	lɔŋ4	
廑	kʰɐn3	剩餘
廑	tɕɐn2	
廒	ŋɵ̜u4	
廓	kʷʰɔk8	
廖	liu6	
廚	tɕy4	
廛	tɕin4	
廝	ɬi1	
廟	mᴇɐ̯u6	
廠	tɕʰɔŋ2	
廡	fu5	
廢	fi3	
廣	kʷɔŋ2	
廨	kɔi3	
廩	lɐm5	
廬	lu4	
廳	tʰeŋ1	
廴	jɐn5	
延	jin5	
廷	teŋ4	
建	kin3	
廾	koŋ2	
廿	ȵa6	
弁	pin6	
弄	loŋ6	
弇	jim2	
弈	ek9	
弊	pi6	
弋	ek9	
弌	jɐt7	
弍	ȵi6	
弎	ɬɔm1	
式	ɕek7	
弑	ɕi3	
弓	koŋ1	
弓	kʰoŋ1	量詞：一～蕉|一～葡萄
弔	ɗiu3	
引	jɐn5	
弗	fɐt9	
弘	oŋ4	
弛	tɕi4	
弟	tɐi5	
弟	tɐi6	徒～
弦	jin4	
弧	wu4	
弩	nu5	
弭	mi5	
弱	ȵa6	
弳	keŋ3	
張	tɕa1	
強	ka4	～壯
強	ka5	勉～
強	ka6	同「犟」：倔～
强	ka4	
强	ka5	
弼	pɐt9	
彀	kɐu3	
彆	ɓit7	
彈	tɔn4	動詞
彈	tɔn6	名詞
彌	mi4	
彌	ni4	阿～陀佛
彎	wɔn1	
彐	kɐi3	
彑	kɐi3	
彖	tʰÿn3	
彗	jui6	
彘	tɕi6	
彙	wɐi6	
彡	ɕɔm1	
形	eŋ4	
彤	toŋ4	
彥	ȵim6	
彩	tʰɔi2	
彪	ɓiu1	
彬	ɓɐn1	
彭	pa4	
彰	tɕa1	
影	eŋ2	
彳	tɕʰek7	
彷	fɔŋ1	
役	wek9	
彼	ɓi2	
彼	pʰi2	又讀
彿	fɐt7	
往	wɔŋ4	～時|～日|～囩
往	wɔŋ5	～來|前～|～生
征	tɕeŋ1	
徂	ty4	
待	tɔi6	
徇	tɐn6	
很	hɐn2	
徉	ja4	
徊	wui4	
律	lɐt9	
後	ɐu6	
後	ɐu2	～尾(au2mi1)
徐	ty4	
徑	keŋ2	
徒	tu4	
得	ɗɐk7	
徘	pui4	
徙	ɬɐi2	
徜	ɕa4	
從	toŋ4	
徠	lɔi4	
徠	lɔi6	慰勞
御	ȵy6	
徨	wɔŋ4	
復	fok7	
循	tɐn4	
徬	pɔŋ6	
徭	jiu4	
微	mi4	
徵	tɕeŋ1	
德	ɗɐk7	
徹	tɕʰit7	
徼	kᴇɐ̯u2	巡視；游逛。引自《玉林話方言本字考》（周成松，2000）
徽	wui1	
心	ɬɐm1	
忄	ɬɐm1	
必	ɓit7	
忉	ɗɵ̜u1	
忌	ki6	
忍	ȵɐn5	
忐	tʰɔm2	
忑	tʰɐk7	
忒	tʰɐi03	實際調值爲35，[千閪」的合音
忖	tÿn4	
志	tɕi3	
忘	mɔŋ4	
忙	mɔŋ4	
忝	tʰim2	
忠	tɕoŋ1	
忡	tɕʰoŋ1	
忤	ŋ̍5	
忪	ɬoŋ1	惺～
快	kʷʰɔi3	文讀：～樂|～餐|～遞
快	wɔi3	白讀
忭	pin6	
忮	tɕi3	
忱	ɕɐm4	
念	nim6	
忸	nɐu5	
忽	wɐt7	
忿	fɐn6	
怊	tɕʰiu1	
怍	tɔk10	
怎	ɗim2	俗作「點」「嚸」
怎	tɕɐm2	
怏	ja2	
怒	nu6	
怔	tɕeŋ1	
怕	pʰɔ3	
怖	ɓu3	
怙	wu5	
怛	ɗɔt8	
思	ɬi1	
怠	tɔi6	
怡	ji4	
急	kɐp7	異讀
急	tɕɐp7	
性	ɬeŋ3	
怨	jÿn3	
怩	ni4	
怪	kʷɔi3	
怫	fɐt9	憤怒、抑鬱的樣子
怫	fi6	違反，逆亂
怯	kʰip7	
怵	tɕʰɐt7	
恁	nɐm2	想。俗作「諗」
恁	noŋ2	這麼，那麼
恁	ȵɐm1	想
恂	ɬɐn1	
恃	tɕi5	
恆	ɐŋ4	
恌	ɗᴇɐ̯u1	
恍	wɔŋ2	
恐	hoŋ2	
恕	ɕy3	
恙	ja6	
恚	wɐi6	
恝	kɔt8	
恢	wui1	
恣	ɗi3	兇惡
恤	ɬɐt7	
恥	tɕʰi2	
恧	nok9	
恨	ŋɐn6	見1959年字表，其标記爲動詞。
恨	ɐn6	
恩	ɐn1	
恪	kʰɔk8	
恬	tim4	
恭	koŋ1	
息	ɬek7	
恰	hɔp8	
恿	ȵoŋ2	見《玉林话研究》
悃	kʷʰɐn2	
悄	tʰiu2	
悅	jøɐ̯t10	
悉	ɬɐt7	
悌	tʰɐi3	
悍	ɔn6	
悒	jɐp7	
悔	wui2	
悖	pui6	
悚	ɬoŋ2	
悛	tʰÿn1	
悝	wui1	嘲笑
悝	li5	憂愁
悟	ŋ̍6	
悠	jɐu1	～閒
悠	jɐu4	～久
患	wɔn6	
您	ni5	
悱	fi2	
悲	ɓi1	
悴	ɬui3	
悵	tɕʰa3	
悶	mun6	
悸	kʷɐi6	
悻	a6	
悼	tɵ̜u6	
悽	tʰɐi1	
情	teŋ4	
惆	tɕɐu4	
惋	wun2	
惑	wɔk10	
惕	tʰek7	
惘	mɔŋ5	
惚	wɐt7	
惜	ɬek7	
惝	tʰɔŋ2	
惟	jui4	舊音
惟	wɐi4	
惠	jui6	
惡	ɔk8	凶～
惡	wu3	厭～
惦	ɗᴇɐ̯n3	
惰	tœ6	
惱	nɵ̜u5	
惲	wɐn3	
想	ɬa2	
惴	tɕui3	
惶	wɔŋ4	
惶	kʷɔŋ4	慌張
惹	ȵɛ5	
惺	ɬeŋ1	
惻	tɕʰɐk7	
愀	tʰiu2	
愁	ɕɐu4	
愆	jin1	
愈	jy6	
愉	jy6	
愎	pek9	
意	ji3	
愕	ŋɔk10	
愚	ȵy4	
愛	ɔi3	
愜	jip7	
感	kɔm2	
愣	lɐŋ4	
愧	kʷʰɐi3	
愨	kʰɐk7	
愫	ɬu3	
愴	tɕʰɔŋ3	
愷	hɔi2	
愾	kʰɔi3	
慄	lɐt9	
慈	ti4	
慊	jim3	不滿，怨恨
慊	kʰip7	滿足，滿意
態	tʰɔi3	
慌	wɔŋ1	
慍	wɐn3	
慎	ɕɐn6	
慕	mu6	
慘	tʰɔm2	
慚	tim4	
慝	tʰek7	
慟	toŋ6	
慢	mɔn6	
慣	kʷɔn3	
慤	kʰɐk7	
慧	jui6	
慨	kʰɔi3	
慪	ɐu3	
慫	ɬoŋ2	
慮	ly6	
慰	wɐi2	見《玉林话研究》
慳	hɐn1	
慵	joŋ4	
慶	heŋ3	
慷	hɔŋ1	
慾	jok9	
憂	jɐu1	
憊	pi6	
憋	ɓɐt7	～氣
憎	ɗɐŋ1	
憐	lin4	
憑	pɐŋ4	
憒	kʷʰɐi3	
憔	tiu4	
憖	ȵɐn1	乞求
憚	tɔn4	
憝	tui6	
憤	fɐn6	
憧	tɕʰoŋ1	
憨	hɔm1	
憩	hɐi3	
憫	mɐn5	
憬	keŋ2	
憮	fu5	
憲	jin2	
憶	ek7	
憾	ɔm6	
懂	ɗoŋ2	
懇	hɐn2	
懈	ɔi5	見《玉林话研究》
應	eŋ1	理～
應	eŋ3	yng3的又讀
應	øŋ3	白讀：冇～|～承
懊	ɵ̜u3	
懋	mɐu6	
懌	ek9	
懍	lɐm5	
懟	tui6	
懣	mun6	
懦	nœ6	
懨	jim1	
懲	tɕeŋ4	
懵	moŋ2	
懶	lɔn5	
懷	wɔi4	
懸	jÿn4	
懺	tɕʰɔm3	
懼	ky6	
懾	ɕip7	
懿	ji3	
戀	lÿn4	
戇	ŋɔŋ3	
戇	ŋøŋ2	
戈	kʷɵ1	
戊	mu6	
戌	ɬɐt7	
戍	ɕy3	
戎	joŋ4	
成	ɕeŋ4	
我	ŋɵ5	
戒	kɔi3	
戔	ɗin1	
戕	ta4	
或	wɔk10	
戚	tʰek7	
戛	kɔt8	
戟	kek7	
戡	hɔm1	
戢	tʰɐp7	
戤	kɔi6	
戥	tɐŋ6	
戧	tɕʰɔŋ1	
戩	ɗin2	
截	tᴇɐ̯t10	
戰	tɕin3	
戲	hi3	
戳	tɕʰɔk8	
戴	ɗɔi3	
戶	wu5	
戶	wu5	
戶	wu5	
戽	wu3	
戾	lɐi6	狼～
房	fɔŋ4	
所	ɕɵ2	
扁	ɓᴇɐ̯n2	口語
扁	ɓin2	
扃	kʷeŋ1	
扇	ɕin3	
扈	wu5	
扉	fi1	
手	ɕɐu2	
扌	ɕɐu2	
才	tɔi4	
扎	tɕɔt8	
扒	pɔ4	
打	ɗɔ2	
扔	ŋeŋ4	
托	tʰɔk8	
扙	tɕa5	
扛	kɔŋ1	～起身|力能～鼎
扣	kʰɐu2	～除|～分
扣	kʰɔu3	～肉
扭	nɐu2	
扮	ɓɔn3	打～
扮	pɔn6	假裝，假扮：～窮|～豬喫老虎
扯	tɕʰɛ2	～名堂|～是非
扯	tɕʰɛ3	拉扯。本字或爲「奓」，《集韻》開也，充夜切
扳	pʰɔn1	
扶	fu4	
批	pʰɐi1	
扼	a2	
找	tɕɔu2	
承	ɕeŋ4	
承	ɕøŋ4	白讀：～得起
技	ki6	
抄	tɕʰɔu1	
抉	kʰÿt7	
把	ɓɔ2	
把	ɓɔt8	量詞
抎	wɐn6	迷失，走失
抑	ek7	
抒	tɕy5	推
抓	tɕɔ1	
抓	ȵɔ1	白讀
投	tɐu4	
抖	ɗɐu2	
抗	kʰɔŋ3	～日戰爭
抗	kʰɔŋ1	反～|抵～
折	tɕit7	
折	ɕᴇɐ̯t10	～本|～底
抨	pʰa1	
披	pʰi1	
抬	tɔi4	
抯	tɕɔ1	文讀
抯	ȵɔ1	
抱	pɵ̜u5	
抵	ɗɐi2	
抹	mɔt10	
抻	tɕʰɐn1	
押	ɔt8	～寶
押	ɔp8	
抽	tʰɐu1	僅見於周烈婷《玉林话的语音系统及语音特点》
抽	tɕʰɐu1	
拂	fɐt7	文讀
拂	pʰɐt7	白讀。輕輕掠過表面以除去髒物
拄	tɕy5	
拆	tɕʰa2	
拇	mu2	
拈	nᴇɐ̯m1	白～：掱手
拈	nim1	
拉	lɔ1	譯音用：～丁，阿～伯，南斯～夫
拉	lɔi1	～扯，拖～
拊	fu2	
拋	pʰɔu1	
拌	pɔn6	凉～粉
拌	pun5	攪～
拍	pʰᴇɐ̯k8	又讀。拍打
拍	pʰa2	
拎	leŋ4	文讀
拎	neŋ1	拿，持。俗作此字
拐	kʷɔi2	
拑	kᴇɐ̯m4	
拒	ky2	
拓	tʰɔk8	
拔	pɔt10	
拖	tʰɵ1	
拖	tʰɵ3	
拗	ɔu3	～口|屈理～理
拗	ɔu2	彎折
拘	ky1	～束
拘	kʰy1	～捕
拙	tɕÿt7	
拚	pʰun3	
招	tɕiu1	
拜	ɓɔi3	
括	kʷʰɔt8	又讀
括	kʷɔt8	
拭	ɕek7	
拮	kᴇɐ̯t8	
拯	tɕʰeŋ2	
拱	koŋ2	
拳	kÿn4	
拴	ɕɔn1	
拶	ɗɔt8	
拷	kʰɐu3	
拼	pʰeŋ3	
拾	ɕɐp9	
拿	nɔ4	
拿	nɔ1	用於「～穩」「十～九穩」
持	tɕi4	
指	tɕi2	
挈	jit7	拿，提
按	ɔn3	
挑	tʰiu1	
挖	wɔt8	文讀
挖	wᴇɐ̯t8	白讀
挨	ɔi1	
挪	nɵ4	
挫	tʰœ3	
挫	ɗɛ1	用手指按
振	tɕɐn3	
挲	ɬɵ1	
挹	jɐp7	
挺	teŋ5	
挽	wɔn2	
挾	kɔp10	要～|～持
挾	kᴇɐ̯p8	夾持
捃	kʷɐn3	
捆	kʷɐn2	
捉	tɕɔk8	
捋	lÿt7	
捌	ɓɔt8	
捎	ɕɔu1	
捏	nɐt7	白讀
捏	nᴇɐ̯t10	
捏	nᴇɐ̯p10	又文讀
捐	kÿn1	
捕	pu4	見1959年字表及《玉林市志》
捕	pʰu2	見於《玉林话研究》及《广西通志·汉语方言志》
捧	ɓoŋ2	白讀
捧	poŋ4	文讀
捨	ɕɛ2	
捩	lɐi3	
捫	mun4	
捭	ɓɐi1	白讀。掌擊
捭	ɓɔi2	
据	ky1	拮～
捱	ŋɔi4	
捲	kÿn2	
捷	tᴇɐ̯p10	
捺	nɔt8	
掀	jin1	
掃	ɬɵ̜u3	
掄	lɐn1	
授	ɕɐu6	
掉	tiu6	
掊	pɔu4	
掌	tɕa2	
掎	ki2	
掏	tɵ̜u4	
掐	hɔp8	常用作量詞。如：一～青菜。
排	pɔi4	
掘	kʷɐt9	
掙	tɕa1	
掛	kʷɔ3	文讀：～榜
掛	kʷɐk7	白讀：～衫
掠	la6	
採	tʰɔi2	
探	tʰɔm3	
掣	tɕɐi3	
接	ɗip7	
控	hoŋ3	遙～器
控	kʰoŋ3	
推	tʰui1	
掩	jim2	
措	tʰu3	
掬	kok7	
掭	tʰim3	
掮	kin4	
掰	mɐt7	
掾	jÿn6	
揀	kɔn2	
揄	jy4	
揆	kʷɐi4	
揉	jɐu4	
揍	ɗɐu3	
揎	ɬÿn1	
描	miu1	
提	tɐi4	
插	tɕʰɔp8	
揖	jɐp7	
揚	ja4	
換	wun6	
揞	ɐm2	
揠	ɔt8	
握	ɐk7	
揣	tɕʰui2	～測
揩	kɔi1	
揪	tɕiu5	
揭	kʰit7	
揮	kʷʰɐi1	
揲	ɕᴇɐ̯t10	占卜；積累；取
揲	tᴇɐ̯t10	摺疊
揲	jᴇɐ̯t10	箕舌
