#漢字	音標	解釋
㾪	san3	瘦也
田	tian2	姓
由	iu2	
甲	kaʔ7	
申	sin1	
男	lam2	
界	kai5	
畏	ui5	
留	lau2	
畜	hiɔk7	
畝	bɔ3	
畢	pit7	
略	liak8	
番	huan1	
畫	ue6	～圖
異	i6	
當	taŋ1	～時
當	təŋ5	典～
疆	kiaŋ1	
疊	tʰiap8	
疏	sɔ1	
疑	ɡi2	
疤	pa1	
疥	kai5	
疫	ik8	
疲	pʰi2	
疹	tsin3	
疾	tsit8	
病	pɛ̃6	
痔	ti6	
痕	hun2	
痣	ki5	
痰	tʰam2	
痹	pʰi5	
瘍	iaŋ2	
瘡	tsʰəŋ1	
療	liau2	
癡	tsʰi1	
癢	tsiɔ̃6	
癬	sian3	
登	tiŋ1	
發	huat7	
白	pɛk8	
百	pɛk7	
的	tik7	目～
皆	kai1	
皇	hɔŋ2	
皮	pʰue2	
皿	biŋ3	
盆	pʰun2	
盈	iŋ2	
益	ik7	
盒	ap8	
盔	kʰue1	
盛	siŋ6	興～
盞	tsuã3	
盟	biŋ2	
盡	tsin6	
監	kã1	～牢
監	kam5	～視、太～
盤	puã2	
盧	lɔ2	
目	bɔk8	
盲	bɔŋ2	
盲	mɛ̃2	青～，即瞎
直	tik8	
相	siaŋ5	
盼	pʰan5	
盾	tun3	
省	siŋ3	反～
省	sɛ̃3	～長、節～
眉	bi2	
看	kʰuã5	
真	tsin1	
眠	bin2	
眼	iŋ3	龍～
眾	tsiɔŋ5	
督	tɔk7	
瞞	muã2	
矛	mɔ̃2	
知	tsaĩ1	知道也
矩	ki3	
短	te3	
矮	e3	
石	tsioʔ8	
砍	kʰam3	
研	ɡian2	
破	pʰo5	～壞
破	pʰua5	書～了
硃	tsu1	
硫	liu2	
硬	ŋɛ̃6	
碎	tsʰui5	
碑	pi1	
碓	tui5	
碗	uã3	
碟	tʰiap8	
碧	pʰik7	
確	kʰak7	
碼	bɛ3	
磁	tsu2	
磕	kʰap8	
磚	tsuĩ1	
磨	bua2	～刀
磨	bo6	石～
礎	tsɔ3	
礙	ɡai6	
礦	kʰɔŋ5	
示	si6	
社	sia6	
祖	tsɔ3	
祝	tsiɔk7	
神	sin2	
祥	siaŋ2	
票	pʰio5	
祭	tse5	
祿	lɔk8	
禁	kim5	
禍	ho6	
福	hɔk7	
禪	siam2	
禮	le3	
禱	to3	
禽	kʰim2	
禿	tʰuk7	
秀	siu5	
私	su1	
秋	tsʰiu1	
科	kʰo1	
秒	bio3	
秘	pʰi5	
租	tsɔ1	
秤	tsʰiŋ5	
秦	tsin2	
秧	ŋ1	
秩	tiat8	
秫	tsut7	
移	i2	
稀	hi1	
稅	sue5	
程	tiŋ2	
稚	ti5	
種	tsiŋ3	～類
種	tsiŋ5	～樹
稱	tsʰiŋ5	
稻	to6	
稼	ka1	
稿	kʰo3	
穀	kɔk7	五～
積	tsik7	
穎	iŋ2	
穗	sui6	
穩	un3	
穫	hɔk7	
穴	hiat7	
究	kiu5	
空	kʰaŋ1	～虛
空	kʰaŋ5	～缺
突	tʰut7	
窖	kau5	
窗	tʰaŋ1	～簾
窟	kʰuʔ7	
窯	io2	
窺	kʰui1	
竄	tsʰuan5	
竅	kʰiau5	
立	lip8	
站	tsam6	車～
竟	kiŋ5	
章	tsiaŋ1	第一～
章	tsiɔ̃1	文～
童	tɔŋ2	
端	tuan1	
競	kiŋ6	
竹	tik7	
笑	tsʰio5	
笛	tik7	
符	hu2	
笨	pun6	
第	te6	
筆	pit7	
等	taŋ3	～候
等	tiŋ3	～於
筋	kin1	
筐	kʰiŋ1	
答	tap7	
策	tsʰik7	
箍	kʰɔ1	
算	suĩ5	
管	kuan3	
箭	tsĩ5	
箱	siɔ̃1	
節	tsat7	關～
節	tset7	過～
節	tsiat7	～目
範	huan6	
篇	pʰĩ1	
築	tiɔk7	
篙	ko1	
篡	tsʰuan5	
篩	tʰai1	
篷	pʰaŋ2	
簡	kan3	
簫	siau1	
簸	pue5	動詞
簽	tsʰiam1	
簾	lian2	
簿	pʰɔ6	
籃	lam2	～球
籌	tiu2	
籍	tsik8	
籠	lɔŋ2	
籤	tsʰiam1	
籬	li2	
籮	lua2	
籲	i6	
米	bi3	
粉	hun3	
粒	liap8	
粗	tsʰɔ1	
粘	liam2	
粟	tsʰik7	穀子
粵	dziat8	
粹	tsʰui5	
糉	tsaŋ5	
精	tsiŋ1	
糕	ko1	
糖	tʰəŋ2	
糜	muẽ2	粥也
糞	pun5	
糟	tsau1	
糠	kʰəŋ1	
糧	niɔ̃2	
糾	kiu3	
紀	ki3	
約	iɔk7	
紅	aŋ2	～色
紋	bun2	
納	lap7	
紐	liu3	
純	sun2	
紗	sɛ1	
紙	tsi3	一～公文
紙	tsua3	～張
級	kip7	
紛	hun1	
素	sɔ5	
紡	pʰaŋ3	
索	sok7	
紫	tsi3	
紮	tsat7	
累	lui3	～積
累	lui6	連～
細	se5	
紹	siau6	
終	tsiɔŋ1	
組	tsɔ3	
絆	puã5	
結	kiat7	～果
絕	tsuat8	
絞	ka3	
給	kip7	供～
絨	dziɔŋ2	
統	tʰɔŋ3	
絲	si1	
經	kiŋ1	
綠	lik8	
維	ui2	
綱	kaŋ1	
網	bɔŋ3	
綴	tsui5	
緊	kin3	
緖	si6	
線	suã5	
緝	tsip8	
緣	ian2	
編	pian1	
緩	uan6	
緯	ui6	
練	lian6	
縛	pak8	
縣	kuan6	
縫	hɔŋ2	
縮	sɔk7	
縱	tsɔŋ6	
縷	liu3	
總	tsɔŋ3	
績	tsik7	
繁	huan2	
織	tsik7	
繞	dziau6	
繡	siu5	
繩	siŋ2	
繪	ue6	
繫	he6	聯～
繳	kiau3	
繼	ke5	
續	siɔk8	
纏	tĩ2	
纜	lam3	
缸	kəŋ1	
缺	kʰuat7	
缽	pat7	
罋	iŋ5	
罐	kuan5	
罕	han3	
罩	tsau5	
罪	tsue6	
置	ti5	
罰	huat8	
罵	mɛ̃6	
罷	pa5	
羅	lo2	
羊	iɔ̃2	
羞	tsʰiu1	
羣	kun2	
羨	sian6	
義	ɡi6	
羽	i1	
翁	aŋ1	
習	sip8	
翠	tsʰui5	
翡	hui5	
翻	huan1	
翼	sik8	翅膀也
耀	iau6	
老	lau6	
考	kʰo3	
者	tsia3	
而	li2	
耐	naĩ6	
耕	kɛ̃1	
耗	hɔ̃5	
耙	pɛ2	
耳	nĩ3	木～
耳	hi6	
耽	tam1	
耿	kiŋ3	
聊	liau2	
聖	siŋ5	
聘	pʰiŋ5	
聚	tsi5	
聞	bun2	
聯	lian2	
聰	tsʰɔŋ1	
聲	siã1	
職	tsik7	
聽	tʰiã1	
聾	lɔŋ2	
肅	siɔk7	
肆	su5	
肉	baʔ7	訓
肋	lak7	
肌	ki1	
肚	tɔ3	腹～
肚	tɔ6	豬～
肝	kuã1	
股	kɔ3	
肥	pui2	
肪	hɔŋ1	
肯	kʰiŋ3	
育	iɔk8	
肴	iau2	
肺	hi5	
胃	ui6	
背	pue6	～書包、～誦
背	aĩ6	～小孩
胎	tʰai1	
胛	kap7	
胞	pau1	
胡	ɔ2	
胸	hiɔŋ1	
能	liŋ2	
脂	tsi1	
脅	hiap8	
脆	tsʰui5	
脈	mɛ̃k8	
脫	tʰuat7	
脯	pʰɔ6	
脹	tiɔ̃5	
脾	pʰi2	
腆	tʰian3	
腎	sin6	
腐	hu6	
腑	hu3	
腕	uã3	
腦	naũ3	
腫	tsiŋ3	
腰	io1	
腸	təŋ2	
腿	tʰui3	
膏	ko1	
膚	hu1	
膜	mɔ̃1	
膠	ka1	
膩	nĩ6	
膽	tã3	
膿	lɔŋ2	
臂	pi5	
臊	tsʰo1	
臍	tsai2	
臘	laʔ8	
臣	sin2	
臥	ŋɔ̃3	
臨	lim2	
自	tsu6	
臭	tsʰau5	
至	tsi5	
致	tsi5	
臺	tai2	
舀	iɔ̃3	
舂	tsiŋ1	
舅	ku6	
興	hiŋ1	～旺
興	hiŋ5	高～
舉	ki3	
舊	ku6	
舌	tsi1	
舍	sia5	
舒	su1	
舜	sun6	
舞	bu3	
舟	tsiu1	
航	haŋ2	
般	pan1	～配
般	puã1	一～
舵	to3	
船	tsun2	
艇	tʰiŋ3	
艦	kam5	
良	liɔŋ2	
艱	kan1	
色	sik7	
艾	ai6	
芒	bɔŋ2	～果
芙	hu2	
芝	tsi1	
芬	hun1	
芭	pa1	
花	hua1	
芳	hɔŋ1	
芹	kʰun2	
芽	ɡɛ2	
苔	tai2	
苗	bio2	
若	dziɔk8	
苦	kʰɔ3	
英	iŋ1	
茂	mɔ̃6	
茄	kio2	
茅	maũ2	
茫	bɔŋ2	
茶	tɛ2	
茸	dziɔŋ2	
荒	hɔŋ1	
荔	le6	
荷	ho2	
莊	tsəŋ1	
莫	bɔk7	
菊	kiɔk7	
菌	kʰun3	
菜	tsʰai5	
菠	po1	
菩	pʰɔ2	
華	hua5	
菱	liŋ2	
萄	to2	
萌	biŋ2	
萍	pʰiŋ2	
萎	ui1	
萬	ban6	
落	lok8	
葉	iap8	姓
著	tsu5	
董	taŋ3	
葦	ui3	
葬	tsɔŋ5	
葵	kʰui2	
蒙	bɔŋ2	
蒜	suan5	
蒲	pʰɔ2	
蒸	tsiŋ1	
蒼	tsʰɔŋ1	
蓉	iɔŋ2	
蓋	kai5	
蓑	sui1	
蓬	pʰɔŋ2	
蓮	lian2	
蔑	bi6	
蔗	tsia5	
蔡	tsʰua5	
蔣	tsiɔ̃3	
蔥	tsʰaŋ1	
蔫	liam1	花萎也
蔬	sɔ1	
蔭	im1	
蔽	pi5	
蕉	tsio1	
蕩	tɔŋ6	
蕭	siau1	
蕹	iŋ5	
薄	pɔk7	～荷
薄	pok8	紙很～
薑	kiɔ̃1	
薛	sian1	
薛	siat7	
薦	tsian5	
薪	sin1	
薯	tsi2	
藉	tsi5	
藍	lam2	
藏	tsɔŋ6	西～
藐	miaũ3	
藝	ɡe6	
藤	tiŋ2	
藥	tsioʔ8	
藹	hai2	
蘆	lɔ2	
蘇	sɔ1	
蘭	lan2	
蘸	tsiam5	
虎	hɔ3	
虐	ɡiɔk8	
處	tsʰiu3	
虛	hi1	
虜	lɔ3	
號	ho6	～碼
虧	kʰui1	
虱	saʔ7	
虹	kʰiŋ6	
蚣	kaŋ1	
蛀	tsiu5	
蛇	tsua2	
蛛	tu1	
蛻	tʰuĩ5	
蛾	ɡo2	
蜀	tsit8	
蜘	ti1	
蜜	bit8	
蝕	sik8	
蝦	hɛ2	
蝶	tʰiap8	
融	iɔŋ2	
螺	le2	
螺	baŋ3	蚊子也
蟀	sut7	
蟄	tsiʔ7	
蟬	siam2	
蟲	tʰaŋ2	
蠅	siŋ2	
蠟	laʔ8	
蠢	tsʰun3	
蠻	ban2	
血	hiat7	～液
行	haŋ2	～列
行	hiŋ2	～為
術	sut8	
街	ke1	
衛	ui6	警～
衡	hiŋ2	
衣	i1	
表	pio3	
衫	sã1	
衰	sue1	
袁	ɡuan2	
袍	pʰau5	
被	pʰue6	～子
裁	tsʰai2	
裂	liat8	
裏	li3	
裏	lai6	
裕	dzu6	
裙	kun2	
補	pɔ3	
裝	tsɔŋ1	西～
裝	tsəŋ1	～貨
裸	lo3	
裹	ko3	包～
製	tsi5	
複	hɔk7	
複	hɔʔ7	
褣	tsʰiŋ6	穿也
褲	kʰɔ5	
襖	o5	
襪	bueʔ8	
襯	tsʰin5	
西	sai1	～瓜、～邊
要	io1	～求
要	iau5	重～
覆	hɔk7	
見	kian5	～聞
見	kĩ5	～面
規	kui1	
視	si6	
親	tsʰin1	～切
親	tsʰin5	～家
覺	kak7	
覽	lam3	
觀	kuan1	
角	kak7	
解	ke3	～釋、～開
解	kai3	了～
觸	tsʰiɔk7	
言	ɡian2	
訂	tiŋ6	
計	ke5	
訊	sin5	
討	tʰo3	
訓	hun5	
託	tʰɔk7	
記	ki5	
訟	siɔŋ6	
訣	kuat7	
訪	hɔŋ3	
設	siat7	
許	hi3	
訴	sɔ5	
診	tsin3	
註	tsu5	
詐	tsa5	
評	pʰiŋ2	
詞	su2	
試	tsʰi5	
詩	si1	
詭	kui3	
該	kai1	
詳	siaŋ2	
誅	tsu1	
誇	kʰua1	
誌	tsi5	
認	dzin6	
誓	se5	
誕	tan5	
誘	iu3	
語	ɡi3	
誠	siŋ2	
誣	bu2	
誤	ɡɔ6	
誦	siɔŋ6	
說	suat7	小～
課	kʰo5	
誼	ɡi2	
調	tiau2	～和
調	tiau6	音～
談	tam2	
請	tsʰiã3	
諒	liɔŋ6	
論	lun6	討～
諜	tʰiap8	
諧	hai2	
諷	hɔŋ3	
諸	ti1	
諾	lɔk7	
謀	mɔ̃2	
謂	ui6	
謎	be2	
謗	paŋ6	
謙	kʰiam1	
講	kɔŋ3	
謝	sia6	
謠	iau2	
謹	kin3	
識	sik8	
譜	pʰɔ3	
警	kiŋ3	
譯	ik8	
議	ɡi6	
護	hɔ6	
譽	i2	
讀	tʰak8	
變	pian5	
讓	niɔ̃6	
豆	tau6	
豈	kʰi3	
豉	sĩ6	
豌	uan1	
豐	hɔŋ1	
豔	iam6	
象	tsʰiɔ̃6	
豪	ho2	
豫	i2	
豬	ti1	
豹	pa5	
豺	tsai2	
貂	tiau1	
貌	maũ6	
貓	niaũ1	
貝	pue5	
貞	tsiŋ1	
負	hu6	
財	tsai2	
貢	kɔŋ5	
貧	pin2	
貨	hue5	
販	huan5	
貪	tʰam1	
貫	kuan5	
責	tsik7	
貴	kui5	
買	be3	
貸	tai6	
費	hui5	
貼	tʰiap7	
貿	mɔ̃6	
賀	ho2	
資	tsu1	
賈	kɛ1	姓
賊	tsʰak8	
賓	pin1	
賜	su5	
賞	siɔ̃3	
賠	pue2	
賢	hian2	
賣	be6	
賤	tsian5	
賦	hu5	
質	tsit7	
賴	lua6	
購	kɔ3	
賽	sai5	
贅	tsui5	
贈	tsiŋ5	
贏	iã2	
贖	siɔk8	
赤	tsʰiak7	
赦	sia5	
走	tsau3	
赴	hu5	
起	kʰi3	
超	tʰiau1	
越	uat8	
趙	tsʰau5	
趣	tsʰi5	
趨	kʰi1	
足	tsiɔk7	
趺	u1	
跑	pʰau3	～步
距	ki5	
跟	kin1	
跡	tsik7	
跪	kui6	
路	lɔ6	
跳	tʰiau5	
踏	tʰaʔ7	
踐	tsian3	
踐	tsian5	
蹄	te2	
蹤	tsɔŋ1	
躁	tsʰau5	
躍	iau6	
身	sin1	
車	tsʰia1	
軌	kui3	
軍	kun1	
軟	nuĩ3	很～
軸	tiɔk7	
較	kau5	
載	tsai5	～重
載	tsai6	年～、滿～
輔	hu6	
輕	kʰiŋ1	
輛	liaŋ3	
輝	hui1	
輩	pue5	
輪	lun2	
輯	tsip8	
輸	su1	
轄	hat7	
轉	tsuan3	～送
轉	tuĩ3	～圓圈
轎	kio6	
辛	sin1	
辣	lat7	
辨	pian6	
辭	si2	
辯	pian6	
辰	sin2	
辱	dziɔk8	
農	lɔŋ2	
迂	i1	
迎	iŋ2	
近	kin6	
迫	pik7	
述	tsʰut7	
迷	be2	
追	tui1	
退	tʰue5	
送	saŋ5	
逃	to2	
逆	ɡik8	
透	tʰau5	
逐	tsiɔk7	
途	tɔ2	
通	tʰɔŋ1	
逞	tʰiŋ3	
速	sɔk7	
造	tso6	
逢	hɔŋ2	
連	lian2	
進	tsin5	
逸	it8	
逼	pik7	
遇	ɡu6	
遊	iu2	
運	un6	
遍	pian5	
過	kue5	～去
道	to6	
達	tat7	
違	ui2	
遞	ti5	
遠	huĩ6	很～
適	sik7	
遭	tsau1	
遮	tsa1	
遲	ti2	
遵	tsun1	
遷	tsʰian1	
選	suan3	
遺	ui2	
遼	liau2	
避	pʰiak7	
邀	iau1	
還	huan2	～原
邊	pĩ1	
邦	paŋ1	
邪	sia2	
郊	kau1	
郎	lɔŋ2	
郡	kun6	
部	pɔ6	
郭	kueʔ7	
郵	iu2	
都	tɔ1	首～
鄉	hiaŋ1	
鄙	pʰi3	
鄧	tɛ̃6	
鄭	tɛ̃6	
配	pʰue5	
酒	tsiu3	
酥	sɔ1	
酬	siu2	
酵	hau6	
酷	kʰɔk7	
酸	suĩ1	
醃	iam1	
醉	tsui5	
醋	tsʰɔ5	
醒	tsʰɛ̃3	
醫	i1	
醬	tsiɔ̃5	
醵	lɔŋ2	
釀	liaŋ6	
釋	sik7	
里	li3	
重	tiɔŋ2	～複
重	taŋ6	輕～
野	ia3	
量	niɔ̃2	動詞
量	liaŋ6	數～
金	kin1	
釘	tiŋ1	名詞
釘	tiŋ5	動詞
針	tsiam1	
釣	tio5	
釵	tsʰɛ1	
鈔	tsʰau1	
鈴	liŋ2	
鈸	pat7	
鉗	kʰiam2	
鉛	ian2	
銀	ɡun2	
銅	taŋ2	
銘	biŋ2	
銳	dzui6	
銷	siau1	
鋒	hɔŋ1	
鋪	pʰɔ1	～路
鋪	pʰɔ5	當～
錄	liɔk8	
錘	tui2	
錢	tsĩ2	
錦	kim3	
錨	maũ2	
錫	siak7	
錯	tsʰo5	
鍍	tɔ6	
鍛	tuan5	
鍵	kian6	
鎖	so3	
鎮	tin5	
鏟	tsʰan3	
鏡	kiã5	
鐘	tsiŋ1	
鐵	tʰit7	
鑊	ɔk7	
鑒	kam5	
鑲	siɔ̃1	
鑼	lo2	
鑽	tsuĩ5	動詞
鑿	tsʰɔk7	
長	təŋ2	～短
長	tiɔŋ3	生～
門	muĩ2	
閂	tsʰuã5	
閃	siam3	
閉	pi5	
開	kʰui1	
間	kan1	中～
閣	kɔk7	
閨	kui1	
閩	ban2	
閱	uat8	
閹	iam1	
閻	ɡiam2	
闊	kʰua5	
關	kue1	～門
關	kuan1	～門
阮	nuĩ3	姓
防	hɔŋ2	
阻	tsɔ3	
阿	a1	～哥
陀	to2	
降	haŋ2	～伏
降	kaŋ5	
限	han6	
陝	siam3	
院	ĩ6	
陣	tsun6	
除	tu2	
陪	pue2	
陰	im1	
陳	tan2	
陵	liŋ2	
陷	ham6	
陸	liɔk8	
陽	iaŋ2	
隆	lɔŋ2	
隊	tui6	
階	kai1	
隔	kɛk7	
際	tse5	
障	tsiɔŋ6	
隧	sui6	
隨	sui2	
險	hiam3	
隱	un3	
隸	le6	
隻	tsik7	
雀	tsʰiak7	
雁	ɡan2	
雄	hiɔŋ2	
集	tsip8	
雇	kɔ5	
雕	tiau1	
雖	sui1	
雙	siaŋ1	
雜	tsap8	
雞	ke1	
離	li2	
難	lan2	
雨	hɔ6	
雪	set7	
零	liŋ2	
雷	lui2	
雹	pʰauk8	
電	tian6	
需	si1	
霄	sio1	
震	tsin3	
霍	hɔk7	
霜	səŋ1	
霞	ha2	
霧	bu6	
露	lɔ6	
霸	pa5	
靈	liŋ2	
青	tsʰiŋ1	
靖	tsiŋ6	
靜	tsiŋ6	
非	hui1	
靠	kʰo5	
面	bin6	洗～
革	kik7	
靴	hia1	
鞋	e2	
鞍	an1	
鞏	kʰiɔŋ3	
鞭	pian1	
韓	han2	
韭	ku3	
音	im1	
韶	sau2	
韻	un6	
響	hiaŋ3	
頁	iap8	
頂	tiŋ3	
頃	kʰiŋ3	
項	haŋ6	
順	sun6	
須	si1	
頌	siɔŋ6	
預	i2	
頑	uan2	
頒	pan1	
頓	tuĩ5	
領	niã3	
頭	tʰau2	
頸	kiŋ3	
頻	pin2	
題	te2	
額	hiak8	
顏	ɡan2	
願	ɡuan6	
顛	tian1	
類	lui6	
顧	kɔ5	
顯	hian3	
風	hɔŋ1	
飛	pue1	動詞
食	sik8	
飢	ki1	
飯	puĩ6	
飲	lim1	喝也
飼	tsʰi6	
飽	pa3	
飾	sik8	
餃	kiau3	
餅	piã3	
養	iaŋ3	
餐	tsʰan1	
餘	i2	
餘	sia2	
餡	ã6	
館	kuan3	
餾	liu6	
饅	ban2	
饑	ki1	
饒	dziau2	
饞	tsʰam2	
首	siu3	
香	hiaŋ1	～港
香	hiɔ̃1	～火
馨	hiŋ1	
馬	bɛ3	
馮	paŋ2	
馳	ti2	
駁	pak7	
駐	tsu5	
駕	kɛ5	
駙	hu5	
駛	sai3	
駝	to2	
駭	hai6	驚～
騎	kʰia2	
騙	pʰian5	
騰	tʰiŋ2	
驅	kʰi1	
驕	kiau1	
驗	ɡiam6	
驚	kiã1	
骨	kuʔ7	
骹	kʰa1	
髓	tsʰue3	
體	tʰe3	
高	ko1	～考
髮	huat7	
髻	ki5	
鬆	saŋ1	肉～
鬢	pin5	
鬥	tau3	車～
鬥	tɔ5	戰～
鬧	lau6	
鬼	kui3	
魁	kʰue1	
魂	hun2	
魄	pʰik7	
魏	pʰɔ1	
魏	ui6	
魔	mɔ̃2	
魚	hi2	
魯	lɔ3	
鮑	pau6	
鯉	li3	
鯨	kʰiŋ2	
鯽	tsik7	
鰭	sian6	
鰾	pʰio2	
鱉	pi5	
鱗	lan2	魚～
鱗	lin2	～片
鳥	tsiau3	
鳳	hɔŋ6	
鳴	biŋ2	
鴉	a1	
鴨	aʔ7	
鴻	hɔŋ2	
鴿	kap7	
鵝	ɡo2	
鵡	bu3	
鶯	iŋ1	
鷺	lɔ6	
鸚	iŋ1	
鸞	luan2	
鹵	lɔ3	
鹹	kiam2	
鹽	iam2	
鹿	lɔk8	
麥	bɛk8	
麴	kʰiɔk7	
麵	mĩ6	～粉、～線
麻	mã2	
黃	uĩ2	
黏	liam2	
黑	hɛk7	～板
默	bik8	
點	tiam3	
黨	tɔŋ3	
鼎	tiã3	
鼓	kɔ3	
鼠	tsʰi3	
鼻	pʰĩ6	
齊	tse2	
齋	tsai1	
齒	kʰi3	
龍	liɔŋ2	屬～
龍	liŋ2	～眼
龐	pʰaŋ2	
龜	kui1	
