#漢字	音標	解釋
□	kʰõŋ4	～嗽
探	tʰan5	试～，侦～
接	tɕie1	
控	kʰəŋ5	
推	tʰe1	
掩	iẽ3	
措	tsʰu5-	～施
措	tsʰo5=	～施
擲	tiaŋ5-	
擲	dʑiən6=	
揉	ʑiou2	
描	mio2	
提	diɛ2-	
提	di2=	
插	tsʰa1	
揖	i1	作～
揞	ŋan5	手覆，～住
握	ʋu5	
揢	kʰa1	
揩	kʰai1	
揪	tɕiou5	～住
揫	tɕʰiou1	
揭	tɕie1	
援	ʋyẽ2	
攬	nan2	
撳	tɕʰiən4	(按)
攙	tsʰan1	
擱	ko1	
摟	lio3	～取
摟	lio3	
攪	kɔ3	
搓	tsʰo1	
搜	ɕio1	
搞	kɔ3	
搡	səŋ3	
搬	põŋ1	
搭	ta1	
携	ɕi3-	
携	ɕie2=	
搽	tsʰa1	
摆	pai3	
摇	io2	
攤	tʰan1	
摔	sai1	
摘	tsa1	
摩	mo2	
摸	mo2	～一～
摺	tɕie3	～叠
撇	pʰie4	～开
撒	san5	～手，～种
撕	sɿ1	
撞	tsʰõŋ4	
撤	tɕʰie1	
撩	lio2	～起来
撮	tsʰo1	一～米
撼	xan3	
擀	kan1	～面
操	tsʰɔ1	～作，～演
擒	dʑiən2	
擖	tɕʰia4	
擦	tsʰa1	
攀	pʰan1	
攢	tsan3	积～
攘	ʂõŋ6	
支	tsɿ1	
收	ɕiou1	
改	kai3	
攻	kəŋ1	～击
放	xõŋ5	
政	tɕiən5	
故	ku5	
效	ʑio6	
敵	ti5	
敏	mi3	方志～
敏	miən3	过～
救	tɕiou5	
教	kɔ5-	～书
教	tɕio1=	～书
教	tɕio5=	～育
斂	tɕiẽ3	
敝	pi5	
敢	kan3	
散	san3	鞋带～了
散	san3	分～
散	san5	分～
敦	tiən1	～厚
敬	tɕiən5	
數	su3	(动词)
數	su5	(名词)
敲	kʰɔ1-	
敲	tɕʰio1=	
整	tɕiən3	
敷	fu1	
文	vən2	
斋	tsai1	
斑	pan1	
斗	tio3	
斗	tio5	
料	lio5	
斜	dʑiɛ2	
斤	tɕiən1	
斥	tʂʰʅ5	
斧	fu3	
斬	tsan3	
斷	dõŋ2=	决～
斯	sɿ1	
斯	ɕiou2	
新	ɕiən1	
方	xõŋ1	
於	vy2	～此
施	sɿ5	
旁	bõŋ2	
旅	ȵy3	
旋	tɕʰiẽ1	凯～
旋	tɕʰiẽ1	～吃～做
族	tsʰu1	
旗	dʑi2	
无	vu2	
既	tɕi5	
日	ʐʅ6	
旦	tan1	
舊	dʑiou6	
旨	tsɿ3	
早	tsɔ3	
旬	dzəŋ2	
旱	ɣan6	
時	zɿ2	
曠	kʰõŋ5	
旺	õŋ5	兴～，火～
昂	ɡõŋ2	
昆	kʰuəŋ1	
昌	tʂʰõŋ1	
明	miən2	
昏	fəŋ1	
易	nan2	
易	i5	难～
易	i5	交～
昔	ɕi1	
星	ɕiaŋ1-	
星	ɕiən1=	
映	iən5	
春	kʰyn1	
昨	dzo6	
昭	tɕio1	
是	zɿ6	
晝	tɕiou5	
顯	ɕiẽ3	
晃	xõŋ3	～眼
晉	tɕiən5	
晌	ɕiaŋ3	～午
晏	ŋan5	晚也，迟了
曬	sai5	
曉	ɕio3	
晚	õŋ1	
晚	van2	
晦	fe5	
晨	ʐən2	
普	pʰu4	
景	tɕiən3	
晴	dʑiaŋ2-	
晴	dʑiən2=	
智	tʂʅ5	
暫	dzan6	
暑	fy3	
暖	nõŋ3	
暖	xõŋ3	
暗	ŋan5	
暮	mo5	
暴	bɔ6	
曈	dəŋ2	
曝	bɔ6	
曰	ʋye1	
曲	tɕʰy1	～折，歌～
更	kiẽ1	五～
更	kiẽ5	～换，～加
曹	dzɔ2	
曾	tɕiẽ1	～姓
曾	dʑiẽ2	～经
替	tʰi5	
最	tsi5	
月	ʋye5	
有	iou3	
朋	bəŋ2	
服	fu5	
朔	so1	
朗	nõŋ3	
望	ɣõŋ6	
朝	tɕio1	今～
朝	dʑio2	～代
期	dʑi2	时～
木	mo1	
未	vi6	
末	mo1	
本	piən3	
札	tsa3	
术	ɕi5	白～
术	ɕi5	
朱	tɕy1	
朴	pʰu1	
朵	to3	
機	tɕi1	
朽	ɕiou3	
殺	sa1	
雜	tsa5	
權	ɡyẽ2	
杆	kan3	
杈	tsʰa1	枝～
杉	sa1	
李	li3	
杏	ɣiẽ6-	
杏	ʑiən6-	
杏	ɕiən5=	
材	dze2	
村	tsʰəŋ1	
杖	dʐõŋ6	
杜	du6	
杞	tɕi1	
束	tsʰu5	
杠	kəŋ5	
條	dio2	
來	le2	
楊	iaŋ2	
杭	ɣõŋ2	
杯	pe1	
杰	ɕie5-	
杰	tɕie5=	
杳	ŋio3	～无音讯
杷	pa1	
松	dzəŋ2-	～树
松	səŋ1	
松	səŋ1=	
板	pan3	
極	tɕʰi5	
構	tɕio5	
枇	bi2	～杷
枉	õŋ3	
析	ɕi1	
枕	tɕiən3	
林	ȵiən2	
枚	me2	
果	ko3	
枝	tsɿ1	
樞	tɕʰy1	
棗	tsɔ3	
槍	tɕʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
架	ka5-	
架	tɕia5=	
柄	piən3	
柏	piɛ1	
某	mio3	
柑	kan1	
染	ɣiẽ2	
柔	ʑio2	
柔	ɕiou2	
柚	iou5	
櫃	ɡuei6	
查	dza2	调～
柩	tɕiou5	
柬	tɕiẽ3	
柱	dʑy2	
柳	liou3	
柴	dzai2	
柿	zɿ6	
標	pio1	
棧	dzan6	
棟	təŋ5	
欄	nan2	
樹	vy6	
栖	ɕi1	
栗	li5	
校	ʑio6	～对
校	ʑio6	学～～
株	tɕy1	
樣	iaŋ5	
核	xiɛ5	
核	xiɛ5	审～
核	xiɛ5	果子～
根	kiẽ1	
格	kiɛ1	
栽	tse1	
桂	kuei5	
桃	dɔ2	
桅	ʋi2	～杆
案	ŋan5	
桌	tso1	
桐	dəŋ2	
桑	sõŋ1	
桓	ɣiẽ2	
椏	ia1	枝～
橋	dʑio2	
檜	ɡuei6-	
檜	kʰuai4=	
槳	tɕiaŋ5	
樁	tsõŋ1	
桶	tʰəŋ4	
梁	ȵiaŋ2	
梅	me2	
梓	tsɿ3	
梢	ɕio1	树～
夢	məŋ6	
梧	ʋu2	～桐
梨	li2	
梭	so1	
梯	tʰiẽ4-	
梯	tʰi5=	
械	kai5	
梳	su1	～头
檢	tɕiẽ3	
棉	miẽ2	
棋	dʑi2	
棍	kuəŋ5	
棒	bõŋ6	
棕	tsəŋ1	
棚	bəŋ2	
棠	dõŋ2	
森	ɕiẽ1	
棵	kʰo4	
棺	kõŋ1	
椅	i3	
植	tʂʰʅ5	
椒	tɕio1	
橢	tʰo4	
椴	dõŋ6	
椽	yẽ2	
椿	kʰyn1	
楂	dza2	山～
楚	tsʰu4	
楝	ȵiẽ5	
楞	ȵiən2	
楦	fyẽ5	
楷	kʰai4	
樓	lio2	
概	kʰai5	
欖	nan2	橄～
榆	ʋy5	
榖	ku1	稻～
榜	põŋ3	
榨	tsa5	～油
榫	ɕiən3	～头
榴	liou2	石～
槌	dzuei2	
槐	vai2	
檳	piən1	～榔
槽	dzɔ2	马～
樟	tʂõŋ1	
模	mo2	～子
模	mo2	～范
橫	vəŋ2	蛮～
橫	ɣəŋ2	～直
櫻	iən1	
樵	dʑio2	
橄	kan3	～榄
橘	tɕy1	
橙	dʑiən2	
橡	dʑiaŋ6	～树
櫓	lu3	
檀	dan2	
檐	iẽ2	
欛	pa5	
欠	tɕʰiẽ5	
次	tsʰɿ5	
歡	xõŋ1	
欣	ɕiən1	
歐	ŋio1	
欲	ʋy5	
欺	tɕʰi1	
款	kʰõŋ4	
歇	ɕie1	
歉	tɕʰiẽ5	
歌	ko1	
止	tsɿ3	
正	tɕiən1	～月
正	tɕiən5	
此	tsʰɿ4	
步	bu6	
武	vu2	
歪	ʋai1	
死	sɿ3	
殲	tɕʰiẽ1	～灭
殃	iaŋ1	
殆	de6	
殊	tɕy1	
殘	dzan2	
殮	tɕiẽ3	
殖	tʂʰʅ5	
殯	piən1	
毆	ŋio1	
段	dõŋ6	
殷	iən1	
殿	diẽ6	
毁	fe3	
毅	i5	
母	məŋ3-	～亲
母	mo3=	～亲
每	me3	
毒	tu5	
比	pi3	～较
畢	pi1	
斃	pi5	
毛	mɔ2	
毡	tɕiẽ1	
毫	ɣɔ2	
毯	tʰan4	
氏	zɿ6	
民	miən2	
气	tɕʰi5	
水	fy3-	
水	si3=	
永	ʋyn3	
氽	tsʰõŋ1	～丸子
汁	tʂʅ5	
求	dʑiou2	
汇	ve6	
漢	xan5	
汗	ɣan6	
汝	vy2	
江	tɕiaŋ1	
池	dʐʰʅ2	
污	ʋu1	
湯	tʰõŋ1	
汪	õŋ1	一～水
汴	biẽ3	
汽	tɕʰi5	
沃	o1	
沈	ʂən3	
沉	dʑiən2	
沌	diən2	
沙	sa1	
沛	pʰe5	
溝	tɕio1-	
溝	kio1=	
沒	miɛ5	沉～，～有
漚	ŋio5	久浸水中
淪	ȵiən2	
滬	vu6	
沫	mo1	
河	ɣo2	
油	iou2	
治	dʐʰʅ6	
沼	tɕio3	～气
沾	tsan1	
沿	ʋyẽ2	
泄	ɕie5	～漏
泅	dʑiou2	～水
泉	dʑiẽ2	
泊	po1	梁山～
泊	po5	
泌	pi1	
法	fa1	方～，～子
泛	fan5	
泡	pʰɔ5	
泡	pʰɔ5	～在水里
波	pʰo1	
泣	ɕi1	
泥	ȵiən2-	
泥	ȵi2=	
注	vən2	
注	tɕy5	
淚	le5	
泳	ʋyn5	
瀉	ɕie5	
潑	po1	
澤	tɕʰiɛ5	
潔	tɕie1	
洋	iaŋ2	
洒	sai3	
洗	ɕi3	
洛	lo5	
洞	dəŋ6	
津	tɕiən1	
洪	ɣəŋ2	
洲	tɕiou1	
活	xo5	
洼	ʋa1	
洽	tɕʰia5	
派	pʰan5	
流	liou2	
淺	tɕʰiẽ4	
漿	tɕiaŋ5	
澆	tɕio1	
濁	tsʰu5	
測	tɕʰiɛ5	
濟	tɕi5	
渾	fəŋ3	～浊
滸	fu3	水～
滸	fy3	水～
濃	nəŋ2	
浙	tɕie1	
浜	põŋ1	
浦	pʰu4	
浩	ɣɔ6	
浪	nõŋ5	
浮	vio2-	
浮	vu2	
浴	ʋy5	
海	xe3	
浸	tɕiən5-	
涂	du2	
消	ɕio1	
涉	ʂe5	
涌	iən3	
涎	ȵiẽ2	
涕	tʰi5	鼻～
濤	dɔ2-	
濤	tʰɔ1=	
澇	lɔ2	
潤	vən6	
澗	kan5	
漲	tʂõŋ3	
涮	sa1	～洗
涯	ia2-	天～
涯	ŋai2-	～涯
液	e5	
涿	tso1	
淆	ʑio2	
淋	ȵiən2	～漓
淑	su1	
淘	dɔ2	～米
淡	dan2	
淤	vy1	
淫	iən2	
淮	vai2	
深	ʂən1	
混	vəŋ6	相～，～沌
淹	iẽ3	
添	tʰiẽ1	
清	tɕʰiaŋ1-	
清	tɕʰiən1=	
淵	ʋyẽ1	
漸	dzan6	
漁	vy2	
渠	dʑy6	
渡	du6	
渣	tsa1	
溫	ʋəŋ1	
港	kõŋ3	～口
渴	kʰo1	
游	iou2	
渺	mio3	
湖	vu2	
湘	ɕiaŋ1	
灣	õŋ1	
溼	ʂʅ1	
潰	ɡuei2	～脓
溉	kʰai5	
源	ʋyẽ2	
溜	liou1	
溪	ɕi1	
滂	bõŋ2	～沱
滋	tsɿ1	
滑	ɕia5-	
滑	ʋa5=	
滓	tsɿ3	
滔	tʰɔ1	
滾	kuəŋ3	
滯	dʐʰʅ2	停～
滿	mõŋ3	
濾	ȵy5	
濫	nan5	
灘	tʰan1	
滴	tiɛ5-	
滴	ti5=	
漂	pʰio1	
漂	pʰio5	～亮
漆	tɕʰi1	
漏	lio5	
演	iẽ3	
漫	man5	
漱	su5	～口
潘	pʰõŋ1	
潛	dʑiẽ2-	
潛	tɕʰiẽ4=	
潭	dan2	
潮	dʑio2	
潲	sɔ5	猪～
潲	sɔ5	～雨
澄	dʑiən2	水浑，澄～澄
澄	dʑiən2	
澡	tsɔ3	
激	tɕi1	
瀑	bɔ6	～布
灌	kõŋ5	
灒	tsan5	
火	xo3	
滅	miẽ1	
燈	tiẽ1	
灰	fe1	
靈	ȵiən2	
竈	tsɔ5	
灸	tɕiou5	
災	tsai1	
燦	tsʰan5	
爐	lu2	
炊	tsʰi1	～事员
炎	iẽ1	
炒	tsʰɔ4	
炕	kʰõŋ5	
炭	tʰan5	
炮	pʰɔ5	枪～
炸	tsa5	～弹
點	tiẽ3	
炼	ȵiẽ5	
爛	nan5	
烈	lie5	
烘	xəŋ1	～干
烙	lo1	
燭	tsu1	
烟	iẽ1	
烤	kʰɔ4	
煩	van2	
燒	ɕio1	
燙	tʰõŋ5	
熱	ɣe6	
烹	xəŋ1	
焉	iẽ1	
焊	ɣan6	
煥	ɣõŋ6	
焙	be2	～干
焚	vən2	
焦	tɕio1	
焰	iẽ1	
然	ɣiẽ2	
煎	tɕiẽ5	
煠	tsa5	用油～
煤	me2	
照	tɕio5	
煨	ve1	
煮	tɕy3	
熄	ɕi1	
熊	ɕiən2	
熏	fəŋ1	
熔	iən2	
熙	ɕi1	
熟	ɕiou5-	煮～,～悉
熟	su5=	煮～
熨	ʋəŋ5	
熬	ŋɔ2	
燃	ɣiẽ2	
燎	lio2	
燕	iẽ5	
爆	pɔ5	
爊	ŋɔ1	～菜
爪	tsɔ3	～牙，～子
爬	ba2	
愛	ŋe5-	
愛	ŋai5=	
爵	dʑio6	
父	vu6	
爺	ia2=	
爺	e2=	
爸	pa1	
爹	ti1	
爽	sõŋ3	
片	pʰiẽ5	
版	pan3	
牌	bai2	
牘	su5	
牒	tʰie5	
牙	ŋa2-	
牙	ia2	
牛	kɔ1	
牛	ȵiou2	
牡	mio3	
牢	lɔ2	
牧	mo5	
物	vu6	
牯	ku3	
牲	ɕiẽ1	
牽	tɕʰiẽ1-	
牽	kʰiẽ1=	
特	tʰiɛ5	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犒	kɔ3	
犬	kʰyẽ4	
犯	van6	
狀	dzõŋ6	
猶	iou2	
狂	ɡõŋ2	
狄	tʰi5	
狐	vu2	
狗	tɕio3-	
狗	kio3=	
狡	tɕio3	
獨	tu5	
狹	ɕia5	
獅	sɿ1	
獄	ʋy5	
狸	li2	～猫
狼	nõŋ2	
獵	lie5	
猛	məŋ3	
猜	tsʰe1	
猝	tsʰuei5	仓～
豬	tɕy1	
貓	mɔ1	
猬	ʋi5	
獻	ɕiẽ5	
猴	ʑio2	
猾	ʋa5	狡～
玄	fyẽ2	
率	se5-	～领
率	ȵy5	速～
率	sai5	～领
玉	ʋy5	
王	õŋ2	
玩	õŋ2	古～，游～
環	ɣõŋ2	
現	ɣiẽ6-	～在
現	ɕiẽ5=	实～
玻	po1	～璃
珊	san1	
珍	tɕiən1	
珠	tɕy1	
班	pan1	
球	dʑiou2	
理	li3	
琉	liou2	～璃
瑣	so3	～碎
琢	tso1	
琴	dʑiən2	
琵	bi2	～琶
琶	pa1	
瓊	ɡyn2	
瑞	dzi6	
璃	li2	玻～
璧	pi5	
瓜	kua1	
瓢	bio2	
瓣	man3-	一～橘子
瓣	ban2=	花～
瓦	ʋa3	
瓶	biən2	
瓷	zɿ2	～器
甘	kan1	
甚	ʐən6	
甜	diẽ2	
生	sõŋ1-	～蛋
生	ɕiẽ1=	～产
甥	sõŋ1	
用	iən5	
甫	fu3	
甫	pʰu4	
田	diẽ2	
由	iou2	
甲	tɕia1	
申	ʂən1	
電	diẽ6	
男	nan2	
畫	va6	
暢	tʂʰõŋ5	
界	kai5	
畏	vi5	
留	liou2	
畜	tsʰu1	～牲
略	lio5	
番	fan1	几～
疆	tɕʰiaŋ1	
疏	su1	～远
疏	su1	注～
疑	ȵi2	
疔	tiən1	
療	lio2	
疝	san5	～气
瘧	ŋio1	～疾
瘧	io1	～疾
瘍	iaŋ2	溃～
疤	pa1	
疥	kai5	
疫	ʋy5	
瘡	tsʰõŋ1	
瘋	fəŋ1	
疲	bi2	
疹	tɕiən1	
疾	tɕi1	
疿	fi1	～子
病	biaŋ6-	
病	biən6=	
症	tɕiən5	
痒	iaŋ3	
痔	dʐʰʅ6	
痕	ɣiẽ2	
痛	tʰəŋ5	
痢	li5	
痣	tsɿ5	
痰	dan2	
痱	fi1	
痲	ma2	
癡	tʂʅ1	
痹	bi2	麻～
瘟	ʋəŋ1	
瘦	ɕio5	
瘴	tʂõŋ1	～气
癩	lai5	
癬	ɕiẽ3	
癸	kuei5	
登	tiẽ1	
白	biɛ6	
百	piɛ1	
皂	dzɔ2	
的	ti3	目～
的	tɕʰi5	
皆	kai1	
皇	ɣõŋ2	
皖	õŋ3	安徽
皮	bi2	
皺	tɕio5	
盂	vy2	
盅	tsəŋ1	
盆	biən2	
盈	iən2	
益	i5	
盞	tsan3	
鹽	iẽ2	
監	kan5	～察，～视，～牢
監	kan5	国子～
盒	xo5	
盔	kʰuei1	
盖	ke5	
盖	kai5	
盜	dɔ6	
盤	bõŋ2	
盛	ʐən2	～满了
盛	ʐən6	兴～
盟	miən2	
盬	ku3-	
盬	ku1=	
目	mo5	
盲	mõŋ2	
直	tʂʰʅ5	
相	ɕiaŋ1	～互
相	ɕiaŋ5	～貌
盼	pʰan5	
盾	tiən5	矛～
盾	diən6	
省	sõŋ3-	～点钱
省	səŋ3	
省	ɕiən3=	～长,节～,反～
省	səŋ3=	～长
眉	mi2	
看	kʰan5	～守，～见
真	tɕiən1	
眠	miẽ2	
眨	tsa1	～眼
眩	fyẽ2	
眶	tɕʰiaŋ1	
眷	kyẽ5	
眼	ŋan3-	(洞，坑)
眼	tɕʰiaŋ1	
眼	iẽ3=	
着	tɕio5	～衣
着	tɕio5	睡～,附～
睜	tɕiẽ1	
睛	tɕiən1	眼～
睡	ɕi5-	
睡	suei5=	
督	tu1	
睬	tsʰe4	
瞎	ɕia1	
瞒	mõŋ2	
瞧	dʑio2	
瞪	tiən1	～眼
瞭	lio2	
瞻	tɕiẽ1	
瞿	dʑy2	
矛	mɔ2	
矢	sɿ3	
矣	i3	
知	tʂʅ1	
矩	tɕy3	规～
矯	tɕio3	
矬	tsʰo4	矮
短	tõŋ3	
矮	ŋai3	
石	ɕia5-	
石	ʂʅ5=	
礬	van2	
礦	kʰõŋ5	
碼	ma3	～子
砌	tɕʰi5	
砍	kʰan4	
研	ȵiẽ1	
磚	kyẽ1	
硯	ȵiẽ5	
破	pʰo5	
礎	tsʰu4	柱下石
硝	ɕio1	
硫	liou2	～黄
硬	ŋõŋ5-	
硬	ŋiẽ5=	
確	kʰo5-	
確	tɕio5=	
礙	ŋai1-	～事
礙	ai1=	妨～
碎	se5	
碑	pe1	
碓	te5	
碗	õŋ3	
碟	tʰie5	
碧	pi5	
鹼	tɕiẽ3	
碾	ȵiẽ3	
磁	zɿ2	～石
磕	kʰo5	
磨	mo2	
磨	mo5	～面,石～
磷	ȵiən2	
示	zɿ6	
禮	li3	
社	ɣe6	
祀	zɿ6	祭～
祈	dʑi2	
祖	tsu3	
祝	tsu1	
神	ʂən2	
祠	zɿ2	
祥	dʑiaŋ2	
票	pʰio5	车～
祭	tɕi5	
禍	ɣo6	
禀	piən3	
禁	tɕiən5	～不住
禁	tɕiən5	～止
禄	lu1	
禪	dzan2	～宗
禪	ɣiẽ2	～让
福	fu1	
禹	vy3	
离	li2	～别
离	li2	～开半寸
禽	dʑiən2	
禾	ɣo2	
秀	ɕiou5	
私	sɿ1	
禿	tʰu1	
秆	kan3	
秉	piən3	
秋	tɕʰiou1	～天
秋	tɕʰiou1	
種	tɕiən3	～类
種	tsəŋ3	～树
科	kʰo1	
秒	mio3	
秕	pi3	～子，秕谷
秘	pi1	
租	tsu1	
秤	tɕʰiən5	一杆～
秦	dʑiən2	
秧	iaŋ1	
秩	tʂʰʅ1	
積	tɕi1	
稱	tɕʰiən1	～呼，～重
移	i2	
稀	ɕi1	
程	dʑiən2	
稍	sɔ3	
稅	ɕi5	
稗	bai2	
稚	dʐʰʅ2	幼～
稠	dʑiou2	
穩	ʋəŋ3	
稻	dɔ6	
稼	tɕia1	
稽	tɕi1	
稿	kɔ3	
穆	mo1	
穗	ve6	
穴	fye5	
究	tɕiou5	
窮	dʑiən2	
空	kʰəŋ1	～虚
空	kʰəŋ5	～缺
穿	kʰyẽ1	
突	tʰu1	
窄	tsa5	
竅	tɕʰio5	
窑	io2	
窖	kɔ5	
窗	tsʰõŋ1	
竄	kʰyẽ1	流～
窩	o1	
窟	kʰu1	～窿
窠	kʰo1	
窺	kuei1	
立	li5	
豎	vy6	
站	tsan5	～立
站	dzan6	车～
競	tɕiən5	
竟	tɕiən5	
章	tʂõŋ1	
童	dəŋ2	
端	tõŋ1	
竹	tiou1-	
竹	tsu1=	
竿	kan3	竹～
笋	ɕiən3	
笑	ɕio5	
笔	pi1	
笛	tʰi5-	
笛	ti5=	
笠	li5	
符	vu2	
笨	piən3	
第	di6	
箋	tɕʰiẽ1	
籠	nəŋ2	
等	tiẽ3	
筋	tɕiən1	
筏	fa5	
筐	tɕʰiaŋ1	
筐	kʰõŋ1	
筑	tsu1	
筒	dəŋ2	
答	ta1	
策	tɕʰiɛ5	
篩	sai1	～子
箏	tɕiẽ1	
筵	ȵiẽ2	
筷	kʰuai5	
籌	dʑiou2	
签	tɕʰiẽ1	
簡	kan3	
箅	bi6	～子
箍	ku1	
箍	ku3	紧～咒
算	sõŋ5	
管	kõŋ3	
籮	lo2	
簫	ɕio1	
箭	tɕiẽ5	
箱	ɕiaŋ1	
箸	dʑy6	筷子
篇	pʰiẽ1	
簍	lio3	
篙	kɔ1	
篡	tsʰõŋ5	
篦	bi6	
籃	nan2	
篱	li2	
篷	bəŋ2	
篾	miẽ1	
簟	diẽ6	～席
簧	ɣõŋ2	锁～
簪	tsan1	
簸	po5	
簿	bu2	
籍	tɕi5	
米	mi3	
类	le5	
粉	fən3	
粒	li5	
粗	tsʰu1	
粘	tsan1	～贴
粟	su1	
粤	ʋye1	
粥	tɕiou1	
糞	fən5	
糧	ȵiaŋ2	
粱	ȵiaŋ2	
粳	tɕiẽ1	～米
粹	tsʰuei5-	纯～
糉	tsəŋ5	
精	tɕiən1	
精	dʐʰʅ2	
糍	zɿ2	～粑
糕	kɔ1	
糖	dõŋ2	
糙	tsʰɔ5	粗～，～米
糟	tsɔ1	
糠	kʰõŋ1	
糯	lo5	～米
糰	dõŋ2	
系	ɕi5	～鞋带
系	ɕi5	联～
系	ɕi5	
素	su5	
索	so1	绳子
紥	tsa3	
緊	tɕiən3	
紫	tsɿ3	
累	le1	劳～
累	le3	劳～
累	le3	连～
絮	fy5	
縻	me2	
繁	van2	
纍	le3	～积
糾	tɕiou1	～缠
糾	tɕiou1	～正
紅	ɣəŋ2	
紂	dʑiou6	
約	io1	
級	tɕi1	
紀	tɕi5	～律,世～,年～
緯	ʋi3	
純	vyn2	
紗	sa1	
綱	kõŋ1	
納	na5	
縱	tsəŋ5	～横
縱	tsəŋ5	放～
紛	fən1	
紙	tsɿ3	
紋	vən2	
紡	xõŋ3	
紐	ȵiou3	
線	ɕiẽ5	
練	ȵiẽ5	
組	tsu3	
細	ɕi5	
織	tʂʅ1	
終	tɕiən1	
絆	bõŋ6	
紹	ɕio1	
經	tɕiẽ1	
經	tɕiən1	～线,`纬
綁	põŋ3	
絨	iən2	
結	tɕie1	
繞	ʑio2	
繞	ʑio6	
繪	ve6	
給	tɕie1	～你，供～
絡	lo5	
絕	dʑie6-	
絕	ɡye6=	
絞	tɕio3	
統	tʰəŋ4	
絹	kyẽ5	
繡	ɕiou5	
繼	tɕi5	
績	tɕi1	
緒	dʑy6	
續	su5	
繩	vən2	
維	vi2	
綿	miẽ2	
綢	dʑiou2	
綜	tsəŋ5	(织布机上的～)
綻	diən6	破～
綠	lu1	
緬	miẽ3	
緝	tɕi1	～鞋口
緞	dõŋ6	
緩	xõŋ3	
縷	liou3	
編	piẽ1	
緣	ʋyẽ2	
縛	fu5	
縫	vəŋ2	～衣服
縫	vəŋ2	一条～
纏	dʑiẽ6	
縊	i5	
纓	iən1	
縮	su1	
繮	tɕʰiaŋ1	～绳
繰	tɕʰio1=	～边
繳	tɕio3	上～
缸	kõŋ1	
缺	kʰye1	
罐	kõŋ5	
网	ɣõŋ2	
网	mõŋ3	
罕	xan1	
羅	lo2	
罰	fa5	
罷	ba6	
罩	tsɔ5	
罪	dze6	
置	tsɿ5	
罯	ŋan5	
署	fy3	专～
羊	iaŋ2	
美	vu2	
美	me3	
羔	kɔ1	
羞	ɕiou1	
羡	ɕiẽ5	
羣	ɡyn2	
羽	vy3	
翁	ŋ̍1	
翅	tʂʅ5	
翎	ȵiən2	
翠	tsʰi5	
翰	ɣan6	
翻	fan1	
翼	i5	
耀	io5	
老	lɔ3	
老	lu5	
考	kʰɔ4	
者	tɕiɛ3	
而	e2	
耍	sa3	
耐	nai5	
耕	kiẽ1	
耗	xɔ5	
耙	ba2	犁～，～地
耳	e3	
耶	e3	
恥	tʂʰʅ4	
耽	tan1	
耿	kiẽ3	
聶	ȵiẽ1	～姓
聊	lio2	
聾	nəŋ1	
職	tʂʅ1	
聯	ȵiẽ2	
聘	pʰiən5	
聚	dʑy6	
聰	tsʰəŋ1	
肅	su1	
肄	i5	～业
肆	sɿ5	
肉	ȵiou1	
肉	dzu6	
肌	tɕi1	
肚	tu3	鱼～，猪～
肚	tu3	腹～
肝	kan1	
腸	dʐõŋ2	
股	ku3	
肢	tsɿ1	
肤	fu1	
肥	vi2	
肩	tɕiẽ1	
肪	ɣõŋ2	脂～
骯	kʰõŋ1	～脏
肯	kʰiẽ4	
育	ʋy5	
肴	ʑio2	
肺	fi5	
腎	ʂən5	
腫	tɕiən3	
脹	tiaŋ5-	
脹	tʂõŋ5=	
脅	ɕie5	
胃	ʋi5	
膽	tan3	
背	pe1	～着
背	be2	～诵
背	be6	～书
胎	tʰe1	
胖	pʰõŋ5	
胚	pʰe1	
胛	tɕia1	肩～
勝	ʂən5	～任
勝	ʂən5	～败
胞	pɔ1	
胡	vu2	
胳	ko1	
膠	tɕio1	
胸	ɕiən1	
能	ȵiẽ2	
脂	tsɿ3	
脆	tsʰi5	
脉	miɛ5	
脊	tɕi1	
脏	tsõŋ1	(不干净)
脏	dzõŋ2	
臍	zɿ2	
腦	lɔ3	
膿	nəŋ2	
腳	tɕio1	
脯	bu2	胸～
脯	fu3	杏～
脫	tʰo1	
腡	lo2	(手指纹)
臉	ȵiẽ3	
脾	bi2	
腆	tʰiaŋ4	～肚子
臘	la1	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	õŋ3	
腥	ɕiaŋ5-	
腥	ɕiən1=	
腮	se1	
腰	io1	
腹	fu1	
膩	li5	
騰	diẽ2	
腿	tʰe4	
膏	kɔ1	
膘	pio1	
膜	mo2	
膝	tɕʰi1	
膨	bəŋ2	～胀
膳	ɣiẽ6	
臂	pi1	
臊	tsʰɔ1	～气
臣	dʑiən2	
自	zɿ6	
臭	tɕʰiou5	香～
至	tsɿ5	
致	tsɿ5	
臻	tɕiən1	
舀	io3	～水
舅	dʑiou6	
舌	ɕie5	
舍	ʂa3-	
舍	ʂe3=	
舒	fy1	
舔	tʰiẽ4	
舜	fən5	
舞	vu2	
舟	tɕiou1	
航	ɣõŋ2	
般	põŋ1	
艦	kan5	
舵	do6	
船	ɡyẽ2	
艇	diən2-	
艇	tʰiən4=	
良	ȵiaŋ2	
艱	kan1	
色	ɕiɛ1	
艳	iẽ5	
藝	ȵi5	
艾	ŋai5	
節	tɕie1	
芋	ʋy5	
芍	ɕio1	～药
芒	mõŋ2	
芙	vu2	～蓉
芝	tsɿ1	
蘆	lu2	
