#漢字	音標	解釋
㞄	尢8	
㞅	尢8	
㞆	尢8	
㞇	尢9	
㞈	尢9	
㞉	尢10	
㞊	尢10	
㞋	尸2	
㞌	尸3	
㞍	尸3	
㞎	尸4	
㞏	尸5	
㞐	尸5	
㞑	尸5	
㞒	尸6	
㞓	尸6	
㞔	尸6	
㞕	尸6	
㞖	尸6	
㞗	尸7	
㞘	尸8	
㞙	尸8	
㞚	尸9	
㞛	尸9	
㞜	尸11	
㞝	尸11	
㞞	尸11	
㞟	尸12	
㞠	尸12	
㞡	尸16	
㞢	屮1	
㞣	屮4	
㞤	山2	
㞥	山2	
㞦	山2	
㞧	山2	
㞨	山3	
㞩	山3	
㞪	山3	
㞫	山3	
㞬	山3	
㞭	山3	
㞮	山3	
㞯	山3	
㞰	山4	
㞱	山4	
㞲	山4	
㞳	山4	
㞴	山4	
㞵	山4	
㞶	山4	
㞷	屮4	
㞸	山4	
㞹	山5	
㞺	山5	
㞻	山5	
㞼	山5	
㞽	山5	
㞾	山5	
㞿	山5	
㟀	山5	
㟁	山5	
㟂	山5	
㟃	山5	
㟄	山6	
㟅	山6	
㟆	山6	
㟇	山7	
㟈	山7	
㟉	山7	
㟊	山7	
㟋	山7	
㟌	山7	
㟍	山7	
㟎	山7	
㟏	山7	
㟐	山7	
㟑	山7	
㟒	山7	
㟓	山7	
㟔	山7	
㟕	山7	
㟖	山7	
㟗	山8	
㟘	山8	
㟙	山8	
㟚	山8	
㟛	山8	
㟜	山8	
㟝	山8	
㟞	山8	
㟟	山8	
㟠	山8	
㟡	山8	
㟢	山8	
㟣	山8	
㟤	山8	
㟥	山8	
㟦	山9	
㟧	山9	
㟨	山9	
㟩	山9	
㟪	山9	
㟫	山9	
㟬	山9	
㟭	山9	
㟮	山9	
㟯	山9	
㟰	山10	
㟱	山10	
㟲	山10	
㟳	山10	
㟴	山10	
㟵	山10	
㟶	山10	
㟷	山10	
㟸	山10	
㟹	山11	
㟺	山11	
㟻	山11	
㟼	山11	
㟽	山11	
㟾	山11	
㟿	山11	
㠀	山11	
㠁	山11	
㠂	山11	
㠃	山11	
㠄	山11	
㠅	山12	
㠆	山12	
㠇	山12	
㠈	山12	
㠉	山12	
㠊	山12	
㠋	山12	
㠌	山12	
㠍	山12	
㠎	山12	
㠏	山12	
㠐	山12	
㠑	山13	
㠒	山13	
㠓	山13	
㠔	山13	
㠕	山13	
㠖	山13	
㠗	山13	
㠘	山14	
㠙	山14	
㠚	山14	
㠛	山14	
㠜	山14	
㠝	山15	
㠞	山15	
㠟	山15	
㠠	山16	
㠡	山16	
㠢	山16	
㠣	山16	
㠤	山17	
㠥	山18	
㠦	山18	
㠧	山19	
㠨	山25	
㠩	巛3	
㠪	工1	
㠫	工7	
㠬	工7	
㠭	工9	
㠮	工12	
㠯	己2	
㠰	己5	
㠱	己8	
㠲	巾2	
㠳	巾2	
㠴	巾3	
㠵	巾3	
㠶	巾3	
㠷	巾4	
㠸	巾4	
㠹	巾4	
㠺	巾4	
㠻	巾4	
㠼	巾4	
㠽	巾5	
㠾	巾5	
㠿	巾5	
㡀	巾5	
㡁	巾6	
㡂	巾6	
㡃	巾6	
㡄	巾6	
㡅	巾6	
㡆	巾6	
㡇	巾7	
㡈	巾7	
㡉	巾8	
㡊	巾8	
㡋	巾8	
㡌	巾8	
㡍	巾8	
㡎	巾8	
㡏	巾9	
㡐	巾9	
㡑	巾9	
㡒	巾9	
㡓	巾9	
㡔	巾9	
㡕	巾9	
㡖	巾9	
㡗	巾10	
㡘	巾10	
㡙	巾10	
㡚	巾10	
㡛	巾10	
㡜	巾11	
㡝	巾11	
㡞	巾11	
㡟	巾11	
㡠	巾12	
㡡	巾12	
㡢	巾13	
㡣	巾13	
㡤	巾13	
㡥	巾14	
㡦	巾14	
㡧	巾17	
㡨	巾17	
㡩	巾19	
㡪	巾19	
㡫	幺9	
㡬	幺9	
㡭	幺11	
㡮	幺13	
㡯	广3	
㡰	广3	
㡱	广3	
㡲	广4	
㡳	广4	
㡴	广5	
㡵	广5	
㡶	广5	
㡷	广5	
㡸	广5	
㡹	广5	
㡺	广5	
㡻	广5	
㡼	广6	
㡽	广6	
㡾	广6	
㡿	广6	
㢀	广6	
㢁	广6	
㢂	广6	
㢃	广7	
㢄	广7	
㢅	广7	
㢆	广7	
㢇	广7	
㢈	广8	
㢉	广8	
㢊	广8	
㢋	广8	
㢌	广8	
㢍	广9	
㢎	广9	
㢏	广9	
㢐	广9	
㢑	广10	
㢒	广11	
㢓	广11	
㢔	广11	
㢕	广11	
㢖	广12	
㢗	广12	
㢘	广12	
㢙	广13	
㢚	广13	
㢛	广13	
㢜	广13	
㢝	广16	
㢞	广17	
㢟	廴3	
㢠	廴5	
㢡	廾11	
㢢	廾12	
㢣	廾13	
㢤	弋4	
㢥	弋6	
