#漢字	音標	解釋
㖪	xɔʔ7	吵鬧
州	tʂəɪ1	
巡	ɕyŋ2	
巢	tsʰɔ2	
工	kɔŋ1	
左	tsʊ3	
巧	tɕʰiɔ3	
巨	tɕyᶨ5	
差	tsʰɛ1	
差	tʂʰɑ1	
差	tsʰɿ1	
己	tʃɨᶨ3	
已	jɨᶨ3	
巳	tsʰɿ6	
巴	pɑ1	
巷	xã6	
巽	suəŋ5	
巾	tɕiŋ1	
市	ʂʅ6	
布	pʋ5	
希	ʃɨᶨ1	
帕	pʰɑ5	
帖	tʰiʔ7	
帘	lĩ2	
帚	tʂəɪ3	笤～
帝	tʃɨᶨ5	
帥	suɛ5	
師	sɿ1	
席	tɕʰiəʔ8	
帳	tʂã5	
帶	tɛ5	
常	tʂʰã2	文讀
常	ʂã2	白讀
帽	mɔ6	
幅	fɔʔ7	
幌	xuã3	
幔	mʊ̃ᵘ̃6	
幕	maʔ8	
幡	fʲɛ̃1	
幢	tʂʰuã6	
幣	pʰəɪ6	又音
幣	pʰɨᶨ6	
幪	mɔŋ3	茂盛，密集
幫	pã1	
干	kʊ̃ᵘ̃1	
平	pʰiŋ2	
年	nĩ2	
并	piŋ5	
幸	ɕiŋ6	
幹	kʲɛ̃5	文讀
幹	kʊ̃ᵘ̃5	
幻	xʲuɛ̃6	
幼	iʊ5	
幽	iʊ1	
幾	tʃɨᶨ1	
幾	tʃɨᶨ3	
牀	tʂʰuã2	
序	tɕʰyᶨ6	
序	ɕyᶨ6	
底	tʃɨᶨ3	
店	tĩ5	
庚	kəŋ1	
府	fʋ3	
度	tʰaʔ8	
度	tʰʋ6	
座	tsʰʊ6	
庫	kʰʋ5	
庭	tʰiŋ2	
庵	ʊ̃ᵘ̃1	
庶	ʂʋ5	
康	kʰã1	
庹	tʰaʔ7	兩臂平伸的長度
廁	tsʰəʔ7	文讀
廁	tʂʰʅ5	白讀，～缸
廂	ɕiã1	
廈	xɑ6	白讀
廈	ʂɑ5	
廈	ɕiɑ6	～門
廉	lĩ2	
廊	lã2	
廓	kʰuaʔ7	
廚	tʂʰʋ2	
廟	miɔ6	
廠	tʂʰã3	
廢	fəɪ5	
廣	kuã3	
廬	lʋ2	
廳	tʰiŋ1	
延	ĩ2	
廷	tʰiŋ2	
建	tɕĩ5	
弄	lɔŋ6	白讀
弄	nɔŋ6	文讀，玩～
式	ʂəʔ7	
弓	kɔŋ1	
弔	tiɔ5	
引	iŋ3	
弗	fəʔ7	
弘	xɔŋ2	
弟	tʃʰɨᶨ6	
弦	ɕĩ2	
弧	xʋ2	
弱	ɻaʔ8	
張	tʂã1	
強	tɕʰiã2	
彄	kʰəɪ2	略微驼背
彈	tʰʲɛ̃2	
彈	tʰʲɛ̃6	
彊	tɕʰiã2	
彊	tɕʰiã3	
彌	mɨᶨ2	
彎	ʋʲɛ̃1	
彎	ʋʲɛ̃5	繞道
彙	xuəɪ6	
形	ɕiŋ2	
彩	tsʰɛ3	
彪	piɔ1	
彬	piŋ1	
彭	pʰɔŋ2	
彰	tʂã1	
影	iŋ3	
役	yəʔ7	
彼	pɨᶨ3	
往	ʋã3	
征	tʂəŋ1	
待	tʰɛ6	
很	xəŋ3	
律	liəʔ8	
後	xəɪ6	
徐	tɕʰyᶨ2	
徑	tɕiŋ5	
徒	tʰʋ2	
得	təʔ7	
徙	ʃɨᶨ3	
從	tsʰɔŋ2	
御	ɥyᶨ6	
復	fɔʔ7	
循	ɕyŋ2	
微	ʋəɪ2	
徵	tʂəŋ1	
德	təʔ7	
徹	tʂʰiʔ7	
徽	xuəɪ1	
心	ɕiŋ1	
必	piəʔ7	
忍	ɻəŋ3	
忐	tʰʊ̃ᵘ̃3	
忑	tʰəʔ7	俗字，掉落
忖	tsʰuəŋ3	
志	tʂʅ5	
忘	ʋã6	
忙	mã2	
忠	tʂɔŋ1	
快	kʰuɛ5	
念	nĩ6	
忽	xuəʔ7	
怎	tsəŋ3	
怒	nʋ6	
怕	pʰɑ5	
怖	pʋ5	
思	sɿ1	
思	sɿ5	
急	tɕiəʔ7	
性	ɕiŋ5	
怨	iʊ̃ᵘ̃5	
怪	kuɛ5	
怯	tɕʰiʔ7	
恆	xəŋ2	
恐	kʰɔŋ3	
恕	ʂʋ5	
恢	xuəɪ1	
恤	ɕyəʔ7	
恥	tʂʰʅ3	
恨	xəŋ6	
恩	ŋəŋ1	
恭	kɔŋ1	
息	ɕiəʔ7	
恰	kʰʲɛʔ7	白讀
恰	tɕʰiaʔ7	文讀
悄	tɕʰiɔ1	
悄	tɕʰiɔ3	
悅	iʊʔ8	
悔	xuəɪ3	
悛	tɕʰyĩ1	
悟	ʋ̩6	
悠	iʊ1	
患	xʲuɛ̃6	
您	niŋ2	普通話第二人稱
悲	pəɪ1	
悶	məŋ1	
悶	məŋ6	
悽	tʃʰɨᶨ1	
情	tɕʰiŋ2	
惊	tɕiŋ1	
惑	xɔʔ8	
惙	tʂʰʊᵘʔ8	慌
惚	xuəʔ7	坏
惛	xuəŋ1	
惜	ɕiəʔ7	
惟	ʋəɪ2	
惠	xuəɪ6	
惡	ŋaʔ7	
惡	ʋ̩5	
惦	tĩ5	
惰	tʰʊ6	
惱	nɔ3	
想	ɕiã3	
惹	ɻɑ3	
愁	tsʰəɪ2	
愈	ɥyᶨ6	
愉	ɥyᶨ2	
意	jɨᶨ5	
愐	mĩ3	
愚	ɥyᶨ2	
愛	ŋɛ5	
感	kʊ̃ᵘ̃3	
愣	ləŋ6	
愧	kʰuəɪ5	
慈	tsʰɿ2	
態	tʰɛ5	
慌	xuã1	
慎	ʂəŋ6	
慕	mʊ6	
慘	tsʰʲɛ̃3	文讀
慚	tsʰʲɛ̃2	
慢	mʲɛ̃6	
慣	kʲuɛ̃5	
慧	xuəɪ6	
慨	kʰɛ3	
慨	kʰɛ5	
慪	ŋəɪ5	
慫	sɔŋ3	
慮	lyᶨ6	
慰	ʋəɪ5	
慶	tɕʰiŋ5	
慷	kʰã1	
慾	iɔʔ8	
憂	iʊ1	
憊	pʰəɪ6	
憋	piʔ7	
憎	tsəŋ1	
憐	lĩ2	
憑	pʰiŋ2	
憔	tɕʰiɔ2	
憤	fəŋ6	
憫	miŋ3	
憲	ɕĩ5	
憶	jɨᶨ5	文讀
憶	iəʔ7	～頭
憾	xʊ̃ᵘ̃6	
懂	tɔŋ3	
懇	kʰəŋ3	
懈	xɛ6	白讀
懈	ɕiɛ5	
應	iŋ1	
應	iŋ5	
懊	ŋɔ5	
懦	nʊ6	
懲	tʂʰəŋ2	
懵	mɔŋ3	
懶	lʲɛ̃3	
懷	xuɛ2	
懷	ʋɛ2	白讀
懸	ɕiʊ̃ᵘ̃2	
懼	tɕyᶨ5	文讀
戀	lĩ6	
戈	kʊ1	
戊	ʋ̩6	
戌	ɕyəʔ7	
戎	ɻɔŋ2	
成	tʂʰəŋ2	
我	ŋʊ3	
戒	kɛ5	
或	xɔʔ8	～者
戚	tɕʰiəʔ7	
戥	təŋ3	
戧	tɕʰiã5	支撐
截	tɕʰiʔ8	
戰	tʂĩ5	
戲	ʃɨᶨ5	
戳	tʂʰuaʔ7	
戴	tɛ5	
戶	xʋ6	
戶	ʋ̩6	白讀
戽	xʋ5	～風
房	fã2	
所	sʊ3	
扁	pĩ3	
扇	ʂĩ1	
扇	ʂĩ5	
手	ʂəɪ3	
才	tsʰɛ2	
扎	tsʲɛʔ7	
扒	pɑ1	
扒	pʰɑ2	
打	tɑ3	
托	tʰaʔ7	
扚	tiəʔ7	摘
扛	kʰã2	
扣	kʰəɪ1	
扣	kʰəɪ5	
扦	tɕʰĩ1	
扭	ȵiʊ3	
扮	pʲɛ̃5	
扯	tʂʰɑ3	
扳	pʲɛ̃1	
扶	fʋ2	
批	pʰɨᶨ1	
扼	ŋəʔ7	
扽	təŋ5	拉直
找	tsɔ3	
承	tʂʰəŋ2	
技	tʃʰɨᶨ6	
抄	tsʰɔ1	
把	pɑ3	
抐	nəʔ8	捏
抑	iəʔ7	
抒	ʂʋ1	
抓	tʂuɑ1	
投	tʰəɪ2	
抖	təɪ3	
抗	kʰã5	
折	ʂiʔ8	
折	tʂiʔ7	
抨	pʰɔŋ1	
披	pʰɨᶨ1	
抬	tʰɛ2	
抱	pʰɔ6	
抲	kʰɑ1	塞，揣
抵	tʃɨᶨ3	
抹	mʲɛʔ8	
抹	mʊᵘʔ8	
押	ŋʲɛʔ7	
抽	tʂʰəɪ1	
抿	miŋ3	
拂	fəʔ7	
拄	tʂʋ3	
拆	tsʰəʔ7	
拇	mʊ3	
拈	nĩ1	撿起
拉	lɑ1	
拉	lɑ2	排泄
拋	pʰɔ1	
拌	pʰʊ̃ᵘ̃6	
拍	pʰɔʔ7	
拎	liŋ1	
拐	kuɛ3	
拒	tɕyᶨ5	
拓	tʰaʔ7	
拔	pʰʲɛʔ8	
拖	tʰʊ1	
拗	iɔʔ7	
拗	ŋɔ3	
拗	ŋɔ5	
拘	tɕyᶨ1	
拙	tʂʊᵘʔ7	笨
拚	pʰʊ̃ᵘ̃1	
招	tʂɔ1	
拜	pɛ5	
拫	kʰəŋ2	推，打
括	kʲuɛʔ7	
拭	ʂəʔ7	
拯	tʂəŋ3	
拱	kɔŋ3	
拳	tɕʰiʊ̃ᵘ̃2	
拴	sʲuɛ̃1	
拷	kʰɔ3	
拼	pʰiŋ1	
拽	tsuɛ5	
拾	ʂəʔ8	
拿	nɑ2	
持	tʂʰʅ2	
挂	kuɑ5	
指	tʂəʔ7	
指	tʂʅ3	
按	ʊ̃ᵘ̃5	
挎	kʰuɑ5	
挑	tʰiɔ1	
挑	tʰiɔ3	
挖	ʋʲɛʔ7	
挨	ŋɛ1	
挩	tʰʊᵘʔ7	捶打
挪	nʊ2	
挪	nʊᵘʔ8	
挫	tsʰʊ5	
振	tʂəŋ5	
挺	tʰiŋ3	
挼	yɑ2	衰弱衰老
挾	kʰʲɛʔ8	～住
挾	ɕiʔ8	
捂	ʋ̩3	
捅	tʰɔŋ3	
捆	kʰuəŋ3	
捉	tʂuaʔ7	
捋	lʊᵘʔ8	
捌	pʲɛʔ7	
捍	xʊ̃ᵘ̃6	
捎	sɔ1	
捏	niʔ8	
捐	tɕiʊ̃ᵘ̃1	
捕	pʰʋ3	
捥	ʋəʔ7	扭，掰
捥	yəʔ7	扭，掰
捧	pʰɔŋ3	
捨	ʂɑ3	
捱	ŋɛ2	
捲	tɕiʊ̃ᵘ̃3	
捶	tʂʰuəɪ2	
捷	tɕʰiʔ8	
捺	nʲɛʔ8	
捻	nĩ3	
掀	ɕĩ1	
掂	tĩ1	
掃	sɔ3	
掇	tʊᵘʔ7	
授	ʂəɪ6	
掉	tʰiɔ6	
掌	tʂã3	
掏	tʰɔ1	
掐	kʰʲɛʔ7	
排	pʰɛ2	
掗	ŋɑ5	硬塞
掗	ŋɑ6	硬塞
掘	tɕʰiʊʔ8	～港
掘	tɕʰyəʔ8	
掙	tsəŋ1	
掙	tsəŋ5	
掛	kuɑ5	
掠	liaʔ8	
採	tsʰɛ3	
探	tʰʊ̃ᵘ̃5	
接	tɕiʔ7	
控	kʰɔŋ5	
推	tɕʰyᶨ1	白讀
推	tʰuəɪ1	
掩	ĩ3	
措	tsʰʋ5	
掭	tʰĩ5	
掯	kʰəŋ5	按壓
掿	naʔ8	握持，揉捏
揀	kʲɛ̃3	
揉	ɻəɪ2	
揍	tsəɪ5	
揎	ɕyĩ1	
描	miɔ2	
提	tʃʰɨᶨ2	
插	tsʰʲɛʔ7	
揚	iã2	
換	xʊ̃ᵘ̃6	
換	ʊ̃ᵘ̃6	白讀
揞	ʊ̃ᵘ̃3	手覆
握	ʋaʔ7	
揢	kʰɑ5	掐
揣	tsʰuɛ3	
揦	lʲɛʔ8	阻攔
揩	kʰɛ1	
揪	tɕiʊ1	
揭	tɕiʔ7	
揮	xuəɪ1	
援	iʊ̃ᵘ̃2	
揹	pəɪ1	
搉	kʰaʔ7	敲打，砸。
搋	tsʰuɛ1	
搌	tʂĩ3	～布
損	suəŋ3	
搏	paʔ7	
搓	tsʰʊ1	
搔	sɔ1	
搖	iɔ2	
搗	tɔ3	
搛	tɕĩ1	筷子夾
搜	səɪ1	
搝	tɕʰiʊ3	
搞	kɔ3	
搡	sã3	
搬	pʊ̃ᵘ̃1	
搭	tʲɛʔ7	
搲	ʋɑ3	舀
搳	xʲuɛʔ7	～耳光
搶	tɕʰiã3	
搽	tʂʰɑ2	
搾	tʂɑ5	
摁	ŋəŋ2	推
摁	ŋəŋ5	
摋	sʲɛʔ7	
摒	piŋ5	
摔	suɛ1	
摘	tsəʔ7	
摜	kʰʲuɛ̃6	
摞	lʊ6	
摟	ləɪ3	
摧	tsʰuəɪ1	
摩	mʊ2	
摳	kʰəɪ1	
摶	tʰʊ̃ᵘ̃2	揉成團
摸	maʔ8	
摹	mʊ2	
摺	tʂiʔ7	
摻	tsʰʲɛ̃1	
摽	pʰiɔ6	打擊，落下
撂	liɔ6	
撅	tɕiʊʔ7	
撇	pʰiʔ7	
撈	lɔ1	文讀
撈	lɔ2	白讀
撐	tsʰəŋ1	
撒	sʲɛʔ7	
撓	nɔ2	
撕	sɿ1	
撞	tʂʰuã6	
撣	tʲɛ̃3	
撤	tʂʰiʔ7	
撥	pʊᵘʔ7	
撦	tʂʰɑ3	
撩	liɔ1	
撩	liɔ2	
撫	fʋ3	
撬	tɕʰiɔ5	
播	pʊ1	
撮	tsʰʊᵘʔ7	
撮	tsʊᵘʔ7	
撰	tsʲuɛ̃5	
撲	pʰɔʔ7	
撳	tɕʰiŋ5	按
撼	xʊ̃ᵘ̃6	
撿	tɕĩ3	
擀	kʊ̃ᵘ̃3	
擁	iɔŋ3	
擂	luəɪ2	
擂	luəɪ6	
擅	ʂĩ6	
擇	tsʰəʔ8	
擊	tɕiəʔ7	
擋	tã3	
操	tsʰɔ1	
擒	tɕʰiŋ2	
擓	kʰuɛ3	舀，搲
擓	kʰuɛ6	背，挎
擔	tʲɛ̃1	
擔	tʲɛ̃5	
據	tɕyᶨ5	
擠	tʃɨᶨ3	
擤	xɔŋ3	
擦	tsʰʲɛʔ7	
擬	ȵɨᶨ3	
擱	kaʔ7	
擴	kʰuaʔ7	
擺	pɛ3	
擻	səɪ3	
擾	ɻɔ3	
攀	pʰʲɛ̃1	
攆	nĩ3	
攉	xuaʔ7	揮起胳膊打
攏	lɔŋ3	
攔	lʲɛ̃2	
攘	ɻã2	
攙	tsʰʲɛ̃1	
攝	ʂiʔ7	
攢	tsʰʊ̃ᵘ̃2	
攢	tsʲɛ̃3	
攤	tʰʲɛ̃1	
攥	tsʊ̃ᵘ̃5	
攪	kɔ3	白讀
攪	tɕiɔ3	
攬	lʲɛ̃3	
攮	nã3	
支	tʂʅ1	
收	ʂəɪ1	
改	kɛ3	
攻	kɔŋ1	
放	fã5	
政	tʂəŋ5	
故	kʋ5	
效	ɕiɔ6	
敌	ʋʲɛʔ8	
敏	miŋ3	
救	tɕiʊ5	
敖	ŋɔ2	
敗	pʰɛ6	
教	kɔ1	
教	tɕiɔ5	
敞	tʂʰã3	
敢	kʊ̃ᵘ̃3	
散	sʲɛ̃3	
散	sʲɛ̃5	
敦	təŋ1	
敬	tɕiŋ5	
敲	kʰɔ1	
整	tʂəŋ3	
敵	tʰiəʔ8	
敷	fʋ1	
數	sʋ3	
數	sʋ5	
敽	kʰɔ3	縫合，～邊
斂	lĩ3	
斃	pʰəɪ5	白讀，打枪～
斃	pʰɨᶨ6	
文	ʋəŋ2	
斌	piŋ1	
斑	pʲɛ̃1	
斗	təɪ3	
料	liɔ6	
斜	tɕʰiɑ2	
斤	tɕiŋ1	
斥	tʂʰəʔ7	
斧	fʋ3	
斫	tʂaʔ7	～肉
斬	tsʲɛ̃3	
斯	sɿ1	
新	ɕiŋ1	
斷	tʊ̃ᵘ̃3	攔路搶劫，俗作“短”
斷	tʊ̃ᵘ̃5	
斷	tʰʊ̃ᵘ̃6	
方	fã1	
於	ɥyᶨ1	
於	ɥyᶨ2	
施	tʂʰʅ1	
施	ʂʅ1	
旁	pʰã2	
旂	tʃʰɨᶨ2	
旅	lyᶨ3	
旋	tɕʰyĩ6	～動
旋	ɕyĩ2	
旋	ɕyĩ6	
族	tsʰɔʔ8	
旗	tʃʰɨᶨ2	
既	tʃɨᶨ5	
日	ɻiʔ8	
旦	tʲɛ̃5	
旨	tʂʅ3	
早	tsɔ3	
旬	ɕyŋ2	
旮	kaʔ7	
旱	xʊ̃ᵘ̃6	
旺	ʋã5	
旺	ʋã6	
昂	ŋã2	
昆	kʰuəŋ1	
昇	ʂəŋ1	
昊	xɔ6	
昌	tʂʰã1	
明	məŋ2	白讀
明	miŋ2	
昏	xuəŋ1	
易	jɨᶨ6	
易	iəʔ8	
星	ɕiŋ1	
映	iŋ5	
春	tʂʰuəŋ1	
昧	məɪ6	文讀
昧	mɨᶨ6	白讀
昨	tʂʰaʔ8	～朝，～子
是	ʂʅ6	
昵	niəʔ8	
時	ʂʅ2	
晃	xuã5	
晉	tɕiŋ5	
晌	ʂã3	
晏	ŋʲɛ̃5	晚，遲
晚	ʋʲɛ̃3	
晝	tʂəɪ5	
晦	xuəɪ5	
晨	tʂʰəŋ2	
普	pʰʋ3	
景	tɕiŋ3	
晰	ɕiəʔ7	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
晾	liã6	
暇	ɕiɑ2	
暈	yŋ1	
暑	tʂʰʋ3	
暖	nʊ̃ᵘ̃3	
暗	ʊ̃ᵘ̃5	
暢	tʂʰã5	
暫	tsʰʲɛ̃6	
暮	mʊ6	
暴	pɔ5	
曆	liəʔ8	
曉	ɕiɔ3	
曏	ɕiã5	
曙	ʂʋ3	
曜	iɔ5	
曠	kʰuã5	
曬	sɛ5	
曲	tɕʰiɔʔ7	
更	kəŋ1	
更	kəŋ5	
書	ʂʋ1	
曹	tsʰɔ2	
曼	mʲɛ̃2	
曼	mʲɛ̃6	
曼	mʊ̃ᵘ̃6	
曾	tsʰəŋ2	
曾	tsəŋ1	姓氏
替	tʃʰɨᶨ5	
最	tsuəɪ5	
會	xuəɪ6	
會	kʰuɛ5	
朆	tsʰəŋ2	“不曾”省音
朆	tsʰəŋ3	“不曾”省音，會意字
月	iʊʔ8	
有	iʊ3	
朋	pʰɔŋ2	
服	fɔʔ8	
朗	lã3	
望	ʋã6	
朝	tʂʰɔ2	
朝	tʂɔ1	
期	tʃɨᶨ1	
期	tʃʰɨᶨ1	
朦	mɔŋ2	
木	mɔʔ8	
未	ʋəɪ6	
末	mʊᵘʔ8	
本	pəŋ3	
朮	tʂʰuəʔ8	
朱	tʂʋ1	
朵	tʊ3	
朽	ɕəɪ3	
杆	kʊ̃ᵘ̃1	
杈	tʂʰɑ1	
杉	sʲɛ̃1	
杌	ŋəʔ8	
李	lɨᶨ3	
杏	ɕiŋ6	
材	tsʰɛ2	
村	tsʰuəŋ1	
杖	tʂʰã6	
杜	tʰʋ6	
杞	tʃʰɨᶨ3	
束	ʂɔʔ7	
杭	xã2	
杯	pəɪ1	
杰	tɕʰiʔ8	
東	tɔŋ1	
杲	kɔ3	～昃
杵	tʂʰʋ3	
杷	pʰaʔ7	口語音
松	sɔŋ1	
板	pʲɛ̃3	
枇	pʰiəʔ7	
枉	ʋã3	
析	ɕiəʔ7	
枒	ŋɑ6	量詞，瓣
枕	tʂəŋ3	
林	liŋ2	
枚	məɪ2	
果	kʊ3	
枝	tʂʅ1	
枯	kʰʋ1	
架	kɑ5	白讀
架	tɕiɑ5	文讀
枷	kɑ1	白讀
枷	tɕiɑ1	文讀
枸	kəɪ3	
柄	piŋ5	
柏	paʔ7	
柏	pɔʔ7	
某	məɪ3	
某	mʊ3	又音
柑	kʊ̃ᵘ̃1	
柒	tɕʰiəʔ7	
染	ɻĩ3	
柔	ɻəɪ2	
柚	iʊ6	
查	tʂʰɑ2	
查	tʂɑ1	姓
柬	tɕiɛ̃3	文讀
柱	tʂʰʋ6	
柳	ləɪ3	
柴	sɛ2	
柺	kuɛ3	
柿	tsʰɿ6	
栓	sʲuɛ̃1	
栖	ʃɨᶨ1	
栗	liəʔ8	
栟	pəŋ1	地名，～茶
校	kɔ5	白讀，地名，～場
校	xɔ6	白讀
校	tɕiɔ5	文讀
校	ɕiɔ6	文讀，學～
株	tʂʋ1	
核	xəʔ8	
根	kəŋ1	
格	kəʔ7	
栽	tsɛ1	
栽	tsuɛ1	跌
桂	kuəɪ5	
桃	tʰɔ2	
框	kʰuã1	
案	ʊ̃ᵘ̃5	
桉	ʊ̃ᵘ̃1	
桌	tʂuaʔ7	
桐	tʰɔŋ2	
桑	sã1	
桶	tʰɔŋ3	
桿	kʊ̃ᵘ̃3	
梁	liã2	
梅	məɪ2	
梆	pã1	
梔	tʂʅ1	
梗	kəŋ3	
條	tʰiɔ2	
梟	ɕiɔ1	
梢	sɔ1	
梧	ʋ̩2	
梨	lɨᶨ2	
梯	tʃʰɨᶨ1	
梯	tʰuəɪ1	
械	kɛ5	白讀
械	tɕiɛ5	文讀
械	ɕiɛ6	新文讀
梳	sʋ1	
棄	tʃʰɨᶨ5	
棉	mɨᶨ2	
棉	mĩ2	
棋	tʃʰɨᶨ2	
棍	kuəŋ5	
棒	pʰã6	
棕	tsɔŋ1	
棗	tsɔ3	
棚	pʰɔŋ2	
棟	tɔŋ5	
棠	tʰã2	
棧	tsʰʲɛ̃6	
森	səŋ1	
棱	ləŋ2	
棵	kʰʊ1	
棺	kʊ̃ᵘ̃1	
椅	jɨᶨ3	
植	tʂʰəʔ8	
椏	ŋɑ1	
椒	tɕiɔ1	
椰	iɑ1	
椽	tʂʰʊ̃ᵘ̃2	
椿	tʂʰuəŋ1	
楂	tʂɑ1	山～
楊	iã2	
楓	fɔŋ1	
楚	tsʰʋ3	
楝	lĩ6	地名，楊～園
楞	ləŋ2	
楠	nʊ̃ᵘ̃2	
楦	ɕiʊ̃ᵘ̃5	
業	iʔ8	
極	tɕʰiəʔ8	
楷	kʰɛ3	
概	kɛ5	
榆	ɥyᶨ2	
榔	lã2	
榜	pã3	
榨	tʂɑ5	
榫	ɕyŋ3	
榮	iɔŋ2	
榴	ləɪ2	
榻	tʰʲɛʔ7	
構	kəɪ5	
槍	tɕʰiã1	
槐	xuɛ2	
槓	kã5	
槤	lĩ2	～枷
槳	tɕiã3	
槽	tsʰɔ2	
樁	tʂuã1	
樂	iaʔ8	
樂	laʔ8	
樑	liã2	
樓	ləɪ2	
標	piɔ1	
樟	tʂã1	
模	mʊ2	
樣	iã6	
樸	pʰɔʔ7	
樹	ʂʋ6	
橋	tɕʰiɔ2	
橘	tɕyəʔ7	
橙	tʂʰəŋ2	
橛	tɕʰiʊʔ8	小段
機	tʃɨᶨ1	
橡	tɕʰiã6	
橢	tʰʊ3	
橫	xɔŋ2	文讀
橫	xɔŋ6	文讀
橫	ʋɔŋ2	白讀
橫	ʋɔŋ6	白讀
檀	tʰʲɛ̃2	
檐	ĩ2	
檔	tã5	
檢	tɕĩ3	
檬	mɔŋ2	
檯	tʰɛ2	
檳	piŋ1	
檸	niŋ2	
檻	kʰʲɛ̃3	
櫃	kʰuəɪ6	
櫥	tʂʰʋ2	
櫻	iŋ1	
欄	lʲɛ̃2	
權	tɕʰiʊ̃ᵘ̃2	
欛	pɑ5	
欠	tɕʰĩ5	
次	tsʰɿ5	
欣	ɕiŋ1	
欲	iɔʔ8	
欸	ŋɛ3	
欺	tʃʰɨᶨ1	
款	kʰʊ̃ᵘ̃3	
歇	ɕiʔ7	
歉	tɕʰĩ5	
歌	kʊ1	
歎	tʰʲɛ̃5	
歐	ŋəɪ1	
歡	xʊ1	又音
歡	xʊ̃ᵘ̃1	
止	tʂʅ3	
正	tʂəŋ5	
此	tsʰɿ3	
步	pʰʋ6	
武	ʋ̩3	
歪	xuɛ1	～嘴
歪	ʋɛ1	
歲	suəɪ5	
歲	ɕyᶨ5	白讀
歷	liəʔ8	
歸	kuəɪ1	
歹	tɛ3	
死	sɿ3	
殃	iã1	
殊	tʂʰʋ2	
殊	ʂʋ2	
殖	tʂʰəʔ8	
殖	ʂəʔ8	骨～
殘	tsʰʲɛ̃2	
殮	lĩ6	
殯	piŋ5	
段	tʰʊ̃ᵘ̃6	
殺	sʲɛʔ7	
殼	kʰaʔ7	
殿	tĩ5	
殿	tʰĩ6	
毀	xuəɪ3	
毅	jɨᶨ6	
毆	ŋəɪ1	
母	mʊ3	
每	məɪ3	
毒	tʰɔʔ8	
比	pɨᶨ3	
毛	mɔ2	
毫	xɔ2	
毯	tʰʲɛ̃3	
毽	tɕĩ5	
氂	mɔ2	
氏	ʂʅ6	
民	miŋ2	
氓	mã2	
氛	fəŋ1	
氣	tʃʰɨᶨ5	
氧	iã3	
水	ʂuəɪ3	
永	iɔŋ3	
永	yŋ3	
氾	fʲɛ̃5	
汁	tʂəʔ7	
求	tɕʰiʊ2	
汆	tsʰʊ̃ᵘ̃1	
汏	tʰɛ6	洗
汕	sʲɛ̃5	
汗	xʊ̃ᵘ̃6	
汙	ʋ̩1	
汛	ɕiŋ5	
汝	ɻʋ3	
汞	kɔŋ3	
江	kã1	白讀
江	tɕiã1	文讀
池	tʂʰʅ2	
污	ʋ̩1	
汪	ʋã1	
汰	tʰɛ5	
決	tɕiʊʔ7	
汽	tʃʰɨᶨ5	
沃	ʋɔʔ7	
沈	ʂəŋ3	姓氏
沉	tʂʰəŋ2	
沏	tɕʰiʔ7	
沐	mɔʔ8	
沒	məʔ8	
沓	tʰʲɛʔ8	
沖	tʂʰɔŋ1	
沙	ʂɑ1	
沫	mʊᵘʔ8	
沮	tɕyᶨ3	
沰	taʔ7	淋雨
河	xʊ2	
沸	fəɪ5	
油	iʊ2	
治	tʂʰʅ6	
沼	tʂɔ3	
沾	tʂĩ1	
沿	ĩ2	
況	kʰuã5	
泄	ɕiʔ7	
泉	tɕʰyĩ2	
泊	pʰaʔ8	
泔	kʊ̃ᵘ̃1	
法	fʲɛʔ7	
泛	fʲɛ̃5	
泡	pʰɔ1	
泡	pʰɔ5	
波	pʊ1	
泣	tɕʰiəʔ7	
泥	ȵɨᶨ2	
注	tʂʋ5	
泰	tʰɛ5	
泳	iɔŋ3	
泵	pã1	
泵	pã5	
洇	iŋ5	
洋	iã2	
洒	sɑ3	
洗	ʃɨᶨ3	
洛	laʔ8	
洞	tʰɔŋ6	
津	tɕiŋ1	
洪	xɔŋ2	
洲	tʂəɪ1	
活	xʊᵘʔ8	
活	ʊᵘʔ8	白讀
派	pʰɛ5	
流	ləɪ2	
浙	tʂiʔ7	
浦	pʰʋ3	
浩	xɔ6	
浪	lã6	
浮	fʋ2	
浴	iɔʔ7	
海	xɛ3	
浸	tɕiŋ5	
涂	tʰʋ2	
消	ɕiɔ1	
涌	iɔŋ3	
涎	sʲɛ̃2	
涕	tʃʰɨᶨ5	
涮	sʲuɛ̃5	
涯	ŋɛ2	
涴	ʊ5	髒
涵	xʊ̃ᵘ̃2	
涼	liã2	
淆	ɕiɔ2	
淇	tʃʰɨᶨ2	
淋	liŋ2	
淌	tʰã3	
淘	tʰɔ2	
淚	luəɪ6	
淡	tʰʲɛ̃6	
淤	ɥyᶨ1	
淨	tɕʰiŋ6	
淩	liŋ2	
淪	ləŋ2	
淬	tsʰuəɪ5	
淮	xuɛ2	
深	ʂəŋ1	
淵	iʊ̃ᵘ̃1	
混	xuəŋ3	
混	xuəŋ5	
混	xuəŋ6	
淹	ŋʲɛ̃1	
淺	tɕʰĩ3	
添	tʰĩ1	
清	tɕʰiŋ1	
減	kʲɛ̃3	白讀
減	tɕiɛ̃3	文讀
渠	tɕʰyᶨ2	
渡	tʰʋ6	
渣	tʂɑ1	
渦	ʊ1	
測	tsʰəʔ7	
港	kã3	
渲	ɕyĩ5	
