#漢字	音標	解釋
□	ts‘a1	失败，谈～了
揀	tɕiã3	
擁	iuŋ1	
攔	lã2	
擰	niŋ2	
擰	niŋ3	
撥	pə1	
擇	tsə2	
擇	tsai2	
括	k‘ə5	
括	k‘uə5	
拯	tʂəŋ3	
拱	kuŋ3	
拳	tɕ‘yã2	
拴	suã1	
拷	k‘ɑu2	
拼	p‘iⁿ1	
拽	tsuai5	
拾	sʅ2	
拿	na2	
持	tʂ‘ʅ2	
挂	kua5	
指	tsɿ3	
挈	tɕ‘iɛ5	
按	ŋã5	
挎	k‘ua5	
挑	t‘iɑu1	～水
挑	t‘iɑu3	～拨
挖	va1	
撾	və1	
挾	tɕia2	
挾	ɕiɛ2	
撓	nɑu2	
擋	taŋ3	
掙	tʂəŋ1	
掙	tsa2	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	
挨	ŋai2	～打
振	tʂəⁿ5	
挺	t‘iŋ3	
挽	vã3	
捅	t‘uŋ3	
捆	kuəⁿ3	
捉	tsuə1	
捋	lu1	
捋	ly3	
捎	ʂɑu1	
捏	niɛ1	
捐	tɕyã1	
捕	pu3	
捕	p‘u3	
撈	lɑu1	
損	suəⁿ3	
撿	tɕiã3	
換	xuã5	
搗	tɑu3	
捧	p‘əŋ3	
据	tɕy5	
捶	ts‘uei2	
捷	tɕiɛ2	
捺	na5	
捻	niã3	
掀	ɕiã1	
掂	tiã1	
掇	tuə1	
授	ʂou5	
掉	tiɑu5	
掌	tʂaŋ3	
掏	t‘ɑu1	
掐	tɕ‘ia1	
排	p‘ai2	
掖	iɛ5	
掘	tɕyɛ2	
掠	liɛ5	～夺
探	t‘ã5	
掣	tʂ‘ʅə5	
接	tɕiɛ1	
控	k‘uŋ5	
推	t‘uei1	
掩	iã3	
措	ts‘uə5	
掬	tɕy1	
掰	p‘iɛ1	
掰	pai1	
擲	tʂʅ5	
撣	tã3	
揉	ʐou2	
揍	tsou5	
描	miɑu2	
提	t‘i2	
插	ts‘a1	
揖	i1	
握	və5	
揣	ts‘uai1	～手
揩	tɕiɛ1	
揩	k‘ai1	
揪	tɕiou1	
揭	tɕiɛ1	
援	yã2	
攬	lã3	
攙	ts‘ã1	
擱	kə1	
摟	lou1	～草
摟	lou3	
攪	tɕiɑu3	
搏	pə2	
搓	ts‘uə1	
搔	sɑu1	
搜	sou1	
搞	kɑu3	
搬	pã1	
搭	ta1	
摁	ŋəⁿ5	
攝	ʂʅə5	
摆	pai3	
摇	iɑu2	
攤	t‘ã1	
摔	tsuai1	
摔	suai1	
摘	tsai1	
摸	mɑu1	～黑
撂	liɑu5	
撅	tɕyɛ1	
撇	p‘iɛ1	
撑	tʂ‘əŋ1	
撒	sa3	
撕	sɿ1	
撞	tsuaŋ5	
撞	ts‘uaŋ5	
撤	tʂ‘ʅə5	
撬	tɕ‘iɑu5	
播	pə1	
撮	tsuə3	
撰	tʂuã5	
攆	niã3	
撼	xã5	
擂	lei2	
擂	lei5	
擅	ʂã5	
操	ts‘ɑu1	
擎	tɕ‘iŋ2	
擒	tɕ‘iⁿ2	
擻	sou3	
擢	tsuə2	
攀	p‘ã1	
攢	ts‘uã2	
攢	tsã3	
攥	tsuã5	
攫	tɕyɛ2	
攮	naŋ3	
支	tsɿ1	
收	ʂou1	
改	kai3	
攻	kuŋ1	
放	faŋ5	
政	tʂəŋ5	
故	ku5	
效	ɕiɑu5	
敵	ti2	
敏	miⁿ3	
救	tɕiou5	
教	tɕiɑu1	
教	tɕiɑu5	
斂	liã3	
敝	pi5	
敞	tʂ‘aŋ3	
敢	kã3	
散	sã3	～装
散	sã5	～会
敦	tuəⁿ1	
敬	tɕiŋ5	
數	su3	
數	su5	
敲	tɕ‘iɑu1	
整	tʂəŋ3	
敷	fu1	
文	vəⁿ2	
斋	tsai1	
斌	piⁿ1	
斑	pã1	
斗	tou3	
斗	tou5	
料	liɑu5	
斜	ɕiɛ2	
斟	tʂəⁿ1	
斡	və5	
斤	tɕiⁿ1	
斥	ts‘ɿ5	
斧	fu3	
斬	tsã3	
斷	tuã5	
斯	sɿ1	
新	ɕiⁿ1	
方	faŋ1	
施	sɿ3	
旁	p‘aŋ2	
旅	ly3	
旋	ɕyã2	
旋	ɕyã5	～风
族	tsu2	
旗	tɕ‘i2	
无	vu2	
既	tɕi5	
日	ʐʅ5	
旦	tã5	
舊	tɕiou5	
旨	tsɿ3	
早	tsɑu3	
旬	ɕyⁿ2	
旮	ka1	
旯	la2	
旱	xã5	
時	sɿ2	
曠	k‘uaŋ5	
旺	vaŋ5	
昂	ŋaŋ2	
昆	k‘uəⁿ1	
昌	tʂ‘aŋ1	
明	miŋ2	
昏	xuəⁿ1	
易	i5	
曇	t‘ã2	
星	ɕiŋ1	
映	iŋ5	
春	tʂ‘uəⁿ1	
昧	mei5	
昨	tsuə2	
昭	tʂɑu1	
是	sɿ5	
昵	ni5	
晝	tʂou5	
顯	ɕiã3	
晁	tʂ‘ɑu2	
晃	xuaŋ3	
晃	xuaŋ5	
晉	tɕiⁿ5	
晌	ʂaŋ2	
曬	sai5	
曉	ɕiɑu3	
暈	yⁿ1	
暈	yⁿ5	
暉	xuei1	
晚	vã3	
晦	xuei5	
晨	tʂ‘əⁿ2	
普	p‘u3	
景	tɕiŋ3	
晴	tɕ‘iŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
晾	liaŋ5	
暫	tsã5	
暄	ɕyã1	
暇	ɕia2	
暑	ʂu3	
暖	nuã3	
暖	naŋ3	
暗	ŋã5	
暝	miŋ2	
曖	ŋai5	
暮	mu5	
暴	pɑu5	
曙	ʂu3	
曝	p‘u5	
曝	pɑu5	
曰	yɛ1	
曲	tɕ‘y1	
曲	tɕ‘y3	
更	kəŋ1	变～
更	kəŋ5	
曹	ts‘ɑu2	
曾	tsəŋ1	
曾	ts‘əŋ2	
替	t‘i5	
最	tsuei5	
月	yɛ5	
有	iou3	
朋	p‘əŋ2	
服	fu2	
朔	ʂuə5	
朗	laŋ3	
望	vaŋ5	
朝	tʂɑu1	
朝	tʂ‘ɑu2	
期	tɕ‘i1	
朦	məŋ2	
木	mu5	
未	vei5	
末	mə5	
本	pəⁿ3	
术	su5	
朱	tʂu1	
朴	p‘iɑu2	
朴	p‘u3	
朵	tuə3	
機	tɕi1	
朽	ɕiou3	
殺	sa1	
雜	tsa2	
權	tɕ‘yã2	
杆	kã1	
杌	vu5	
李	li3	
杏	ɕiŋ5	
材	ts‘ai2	
村	ts‘uəⁿ1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕ‘i3	
束	su5	
條	t‘iɑu2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ2	
杳	iɑu3	
杵	tʂ‘u3	
杷	p‘a2	
松	suŋ1	
板	pã3	
極	tɕi2	
構	kou5	
枇	p‘i2	
枉	vaŋ3	
枕	tʂəⁿ3	
林	liⁿ2	
枚	mei2	
果	kuə3	
枝	tsɿ1	
樞	ʂu1	
棗	tsɑu3	
槍	tɕ‘iaŋ1	
楓	fəŋ1	
枯	k‘u1	
架	tɕia5	
柄	piŋ3	
柏	pai1	
某	mou3	
柑	kã1	
柒	tɕ‘i1	
染	ʐã3	
柔	ʐou2	
柚	iou5	
查	ts‘a2	
柩	tɕiou5	
柬	tɕiã3	
柯	k‘ə1	
柱	tʂu5	
柳	liou3	
柴	ts‘ai2	
柿	sɿ5	
柵	tsa5	
標	piɑu1	
棧	tsã5	
棟	tuŋ5	
欄	lã2	
樹	ʂu5	
栖	tɕ‘i1	
栗	li5	
校	tɕiɑu5	
校	ɕiɑu5	
栩	ɕy3	
株	tʂu1	
樣	iaŋ5	
核	xə2	
根	kəⁿ1	
格	kə2	
栽	tsai1	
桂	kuei5	
桃	t‘ɑu2	
桅	vei2	
框	k‘uaŋ5	
案	ŋã5	
桌	tsuə1	
桐	t‘uŋ2	
桑	saŋ1	
桓	xuã2	
檔	taŋ5	
橋	tɕ‘iɑu2	
樺	xua5	
槳	tɕiaŋ3	
樁	tsuaŋ1	
桶	t‘uŋ3	
梁	liaŋ2	
梅	mei2	
梆	paŋ1	
梏	ku5	
梓	tsɿ3	
梗	kəŋ3	
梢	ʂɑu1	
夢	məŋ5	
梧	vu2	
梨	li2	
梭	suə1	
梯	t‘i1	
械	ɕiai5	
梳	su1	
檢	tɕiã3	
棉	miã2	
棋	tɕ‘i2	
棍	kuəⁿ5	
棒	paŋ5	
棕	tsuŋ1	
棚	p‘əŋ2	
棠	t‘aŋ2	
森	səⁿ1	
棱	ləŋ2	
棵	k‘ə1	
棺	kuã1	
椅	i3	
植	tʂʅ2	
椎	tsuei1	
椒	tɕiɑu1	
橢	t‘uə3	
椰	iɛ1	
椽	tʂ‘uã2	
椿	tʂ‘uəⁿ1	
楂	tsa1	
楔	ɕiɛ1	
楚	tʂ‘u3	
楠	nã2	
楣	mei2	
楷	k‘ai3	
樓	lou2	
概	kai5	
欖	lã3	
榆	y2	
榔	laŋ2	
榕	ʐuŋ2	
榜	paŋ3	
榨	tsa5	
榫	suəⁿ3	
榴	liou2	
榻	t‘a5	
槌	ts‘uei2	
槐	xuai2	
檻	k‘ã3	
檳	paŋ1	～榔
槽	ts‘ɑu2	
樟	tʂaŋ1	
模	mu2	
橫	xəŋ2	
橫	xəŋ5	
櫻	iŋ1	
橄	kã3	
橇	tɕ‘iɑu1	
橘	tɕy2	
橙	tʂ‘əŋ2	
橛	tɕyɛ2	
橡	ɕiaŋ5	
櫓	lu3	
檀	t‘ã2	
檐	iã2	
檁	liⁿ3	
檬	məŋ2	
欠	tɕ‘iã5	
次	ts‘ɿ5	
歡	xuã1	
欣	ɕiⁿ1	
歐	ŋou1	
欲	y5	
欺	tɕ‘i1	
款	k‘uã3	
歇	ɕiɛ1	
歉	tɕ‘iã5	
歌	kə1	
止	tsɿ3	
正	tʂəŋ1	
正	tʂəŋ5	
此	ts‘ɿ3	
步	pu5	
武	vu3	
歪	vai1	
歹	tai3	
死	sɿ3	
殲	tɕiã1	
殃	iaŋ1	
殆	tai5	
殉	ɕyⁿ5	
殊	ʂu1	
殊	tʂ‘u2	
殘	ts‘ã2	
殮	liã5	
殯	piⁿ5	
毆	ŋou1	
段	tuã5	
殷	iⁿ1	
殿	tiã5	
毁	xuei3	
毅	i5	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	
畢	pi5	
斃	pi5	
毛	mɑu2	
毡	tʂã1	
毫	xɑu2	
毯	t‘ã3	
毽	tɕiã5	
氄	iuŋ1	～毛
氅	tʂ‘aŋ3	
氏	sʅ5	
民	miⁿ2	
氓	maŋ2	
气	tɕ‘i5	
氫	tɕ‘iŋ1	
氧	iaŋ3	
水	suei3	
永	iuŋ3	
氽	ts‘uã1	
汀	t‘iŋ1	
汁	tʂʅ1	
求	tɕ‘iou2	
汇	xuei5	
漢	xã5	
汗	xã5	
汛	ɕyⁿ5	
汝	ʐu3	
汞	kuŋ3	
江	tɕiaŋ1	
池	tʂ‘ʅ2	
污	vu1	
湯	t‘aŋ1	
汪	vaŋ1	
汰	t‘ai5	
汹	ɕiuŋ1	
汽	tɕ‘i5	
汾	fəⁿ2	
沁	tɕ‘iⁿ5	
沃	və5	
沈	ʂəⁿ1	
沉	tʂ‘əⁿ2	
沌	tuəⁿ5	
沏	tɕ‘i1	
沓	ta2	
沓	t‘a5	
沙	sa1	
沛	p‘ei5	
溝	kou1	
沒	mə5	
漚	ŋou5	
瀝	li5	
淪	t‘uəⁿ2	
滄	ts‘aŋ1	
滬	xu5	
沫	mə5	
河	xə2	
油	iou2	
治	tʂʅ5	
沽	ku1	
沾	tʂã1	
泄	ɕiɛ5	
泅	tɕ‘iou2	
泉	tɕ‘yã2	
泊	pə2	
泌	mi5	
泔	kã1	
法	fa1	
泛	fã5	
泡	p‘ɑu1	
泡	p‘ɑu5	
波	pə1	
泣	tɕ‘i5	
泥	ni2	
注	tʂu5	
淚	lei5	
泯	miⁿ3	
泰	t‘ai5	
泱	iaŋ1	
泳	iuŋ3	
泵	pəŋ5	
瀘	lu2	
瀉	ɕiɛ5	
潑	p‘ə1	
澤	tsə1	
涇	tɕiŋ1	
潔	tɕiɛ2	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	luə5	
洞	tuŋ5	
津	tɕiⁿ1	
洪	xuŋ2	
洲	tʂou1	
活	xuə2	
洼	va1	
洽	tɕ‘ia5	
派	p‘ai5	
流	liou2	
淺	tɕ‘iã3	
漿	tɕiaŋ1	
濁	tsuə2	
測	ts‘ə5	
濟	tɕi5	
渾	xuəⁿ2	
滸	xu3	
濃	nəŋ2	
濃	nuŋ2	
浙	tʂʅə5	
浦	p‘u3	
浩	xɑu5	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xai3	
浸	tɕiⁿ5	
涂	t‘u2	
涅	niɛ5	
消	ɕiɑu1	
涉	ʂʅə5	
涌	iuŋ3	
涓	tɕyã1	
涕	t‘i5	
濤	t‘ɑu1	
澇	lɑu5	
渦	və1	
渙	xuã5	
滌	ti2	
潤	ʐuəⁿ5	
澗	tɕiã5	
漲	tʂaŋ3	
漲	tʂaŋ5	
澀	sə5	
涮	suã5	
涯	ia2	
液	iɛ5	
涸	xə2	
涿	tʂuə1	
淀	tiã5	
淆	ɕiɑu2	
淋	liⁿ2	
淋	liⁿ5	
淌	t‘aŋ3	
淑	ʂu1	
淘	t‘ɑu2	
淡	tã5	
淤	y1	
淫	iⁿ2	
淮	xuai2	
深	ʂəⁿ1	
淳	tʂuəⁿ2	
混	xuəⁿ5	
淹	iã1	
添	t‘iã1	
清	tɕ‘iŋ1	
淵	yã1	
漸	tɕiã5	
漁	y2	
滲	səⁿ5	
渝	y2	
渠	tɕ‘y2	
渡	tu5	
渣	tsa1	
渤	pə2	
渥	və5	
溫	vəⁿ1	
渭	vei5	
港	kaŋ3	
渴	k‘ə3	
游	iou2	
渺	miɑu3	
湃	p‘ai5	
湖	xu2	
湘	ɕiaŋ1	
灣	vã1	
溼	sʅ1	
潰	k‘uei5	
濺	tɕiã5	
溉	kai5	
源	yã2	
溜	liou1	
溜	liou5	水～
溟	miŋ2	
溪	ɕi1	
溺	ni5	
滇	tiã1	
滋	tsɿ1	
滑	xua2	
滔	t‘ɑu1	
滾	kuəⁿ3	
滯	tsɿ5	
滿	mã3	
濾	ly5	
濫	lã5	
濱	piⁿ1	
灘	t‘ã1	
滴	ti1	
漂	p‘iɑu1	往上～
漂	p‘iɑu3	～白
漂	p‘iɑu5	～亮
漆	tɕ‘i1	
漏	lou5	
演	iã3	
漕	ts‘ɑu2	
漫	mã5	
漱	su5	
漾	iaŋ5	
潘	p‘ã1	
潛	tɕ‘iã2	
潦	liɑu2	
潭	t‘ã2	
潮	tʂ‘ɑu2	
澄	təŋ5	～清
澈	tʂ‘ʅə5	
澎	p‘əŋ2	
瀾	lã2	
澡	tsɑu3	
澳	ɑu1	
激	tɕi1	
瀕	piⁿ1	
濛	məŋ2	
濯	tsuə2	
瀑	p‘u5	
灌	kuã5	
火	xuə3	
滅	miɛ5	
燈	təŋ1	
灰	xuei1	
靈	liŋ2	
竈	tsɑu5	
灸	tɕiou3	
灼	tsuə2	
災	tsai1	
燦	ts‘ã5	
爐	lu2	
炊	ts‘uei1	
炎	iã2	
炒	ts‘ɑu3	
炕	k‘aŋ5	
炖	tuəⁿ5	
炫	ɕyã5	
炭	t‘ã5	
炮	p‘ɑu5	
炸	tsa2	油～
炸	tsa5	
點	tiã3	
炼	liã5	
爍	ʂuə5	
爛	lã5	
烈	liɛ5	
烘	xuŋ1	
烙	lɑu5	
燭	tsu2	
烟	iã1	
烤	k‘ɑu2	
煩	fã2	
燒	ʂɑu1	
燴	xuei5	
燙	t‘aŋ5	
燼	tɕiⁿ5	
熱	ʐʅə5	
烹	p‘əŋ1	
烽	fəŋ1	
焉	iã1	
焊	xã5	
煥	xuã5	
焙	pei5	
焚	fəⁿ2	
焰	iã5	
然	ʐã2	
煎	tɕiã1	
煞	sa5	
煤	mei2	
照	tʂɑu5	
煮	tʂu3	
煽	ʂã1	
熊	ɕiuŋ2	
熏	ɕyⁿ1	
熔	ʐuŋ2	
熟	ʂou2	
熥	t‘əŋ1	
熨	yⁿ5	
熬	ŋɑu1	～菜
熬	ŋɑu2	
熳	mã5	
燃	ʐã2	
燎	liɑu3	
燕	iã1	
燕	iã5	
燥	tsɑu5	
爆	pɑu5	
爪	tsua3	
爪	ts‘ɑu3	
爬	p‘a2	
愛	ŋai5	
爵	tɕyɛ2	
父	fu5	
爺	iɛ2	
爸	pa5	
爹	tiɛ1	
爽	suaŋ3	
片	p‘iã1	唱～
片	p‘iã5	
版	pã3	
牌	p‘ai2	
牘	tu2	
牒	tiɛ2	
牙	ia2	
牛	niou2	
牝	p‘iⁿ5	
牟	mou2	
牡	mu3	
牢	lɑu2	
牧	mu5	
物	vu5	
牽	tɕ‘iã1	
特	t‘ə5	
犀	ɕi1	
犁	li2	
犢	tu2	
犒	k‘ɑu5	
犬	tɕ‘yã3	
犯	fã5	
狀	tsuaŋ5	
獷	kuaŋ3	
猶	iou2	
狂	k‘uaŋ2	
狄	ti2	
狐	xu2	
狗	kou3	
獰	niŋ2	
狠	xəⁿ3	
狡	tɕiɑu3	
狩	ʂou5	
獨	tu2	
狹	ɕia2	
獅	sɿ1	
獄	y5	
狸	li2	
狼	laŋ2	
獵	liɛ5	
猖	tʂ‘aŋ1	
猛	məŋ3	
猜	ts‘ai1	
猝	ts‘u5	
猥	vei3	
猩	ɕiŋ1	
豬	tʂu1	
貓	mɑu2	
獻	ɕiã5	
猴	xou2	
猾	xua2	
獺	t‘a3	
獾	xuã1	
玄	ɕyã2	
率	ly5	
率	suai5	
玉	y5	
王	vaŋ2	
玖	tɕiou3	
玩	vã2	
環	xuã2	
現	ɕiã5	
玲	liŋ2	
玳	tai5	
璽	ɕi3	
玻	pə1	
珀	p‘ə5	
珊	ʂã1	
珍	tʂəⁿ1	
珏	tɕyɛ2	
珠	tʂu1	
班	pã1	
球	tɕ‘iou2	
琅	laŋ2	
理	li3	
琉	liou2	
瑣	suə3	
琛	tʂ‘əⁿ1	
琢	tsuə2	
琳	liⁿ2	
琴	tɕ‘iⁿ2	
琵	p‘i2	
瓊	tɕ‘iuŋ2	
瑁	mɑu5	
瑕	ɕia2	
瑞	ʐuei5	
瑟	sə5	
瑰	kuei1	
璋	tʂaŋ1	
璜	xuaŋ2	
璧	pi5	
瓜	kua1	
瓢	p‘iɑu2	
瓣	pã5	
瓤	iaŋ2	
瓦	va3	（名词）
瓦	va5	(动词)
瓮	vəŋ5	
瓶	piŋ2	
瓷	ts‘ɿ2	
甄	tʂəⁿ1	
甑	tsəŋ5	
甘	kã1	
甚	ʂəⁿ1	
甜	t‘iã2	
用	iuŋ5	
甩	suai3	
甫	fu3	
甭	pəŋ2	
田	t‘iã2	
由	iou2	
甲	tɕia3	
申	ʂəⁿ1	
電	tiã5	
男	nã2	
甸	tiã5	
畫	xua5	
暢	tʂ‘aŋ5	
界	tɕiai5	
畏	vei5	
留	liou2	
畜	tʂ‘u2	
畜	ts‘u5	
畦	tɕ‘i2	
番	fã1	
疇	tʂ‘ou2	
疆	tɕiaŋ1	
疏	su1	
疑	i2	
療	liɑu2	
疙	kə1	
疚	tɕiou5	
疤	pa1	
疥	tɕiai5	
瘡	ts‘uaŋ1	
瘋	fəŋ1	
疲	p‘i2	
疸	tã3	
疹	tʂəⁿ3	
疼	t‘əŋ2	
疾	tɕi2	
病	piŋ5	
症	tʂəŋ5	
痊	tɕ‘yã2	
痒	iaŋ3	
痔	tʂʅ5	
痕	xəⁿ2	
痘	tou5	
痛	t‘uŋ5	
痣	tsɿ5	
痧	sa1	
癆	lɑu2	
瘓	xuã5	
痰	t‘ã2	
癡	tʂ‘ʅ1	
痹	p‘i5	
痿	vei3	
瘟	vəⁿ1	
瘤	liou2	
瘦	sou5	
癟	piɛ3	
癱	t‘ã1	
瘴	tʂaŋ5	
瘸	tɕ‘yɛ2	
癮	iⁿ3	
癌	ai2	
癩	lai5	
癬	ɕyã3	
癲	tiã1	
癸	kuei3	
登	təŋ1	
白	pai2	
百	pai1	
皂	tsɑu5	
的	ti2	
皆	tɕiɛ1	
皇	xuaŋ2	
皋	kɑu1	
皖	vã3	
皮	p‘i2	
皺	tʂou5	
皴	ts‘uəⁿ1	
皿	miⁿ3	
盂	y2	
盅	tsuŋ1	
盆	p‘əⁿ2	
盎	ŋaŋ5	
盞	tsã3	
鹽	iã2	
監	tɕiã1	
盒	xə2	
盔	k‘uei1	
盖	kai5	
盜	tɑu5	
盤	p‘ã2	
盛	tʂ‘əŋ2	
盛	ʂəŋ5	
盟	məŋ2	
盥	kuã5	
目	mu5	
盯	tiŋ1	
盲	maŋ2	
直	tʂʅ2	
相	ɕiaŋ1	
相	ɕiaŋ5	
盹	tuəⁿ3	
盼	p‘ã5	
盾	tuəⁿ5	
省	səŋ3	
省	ɕiŋ3	反～
眈	tã1	
眉	mei2	
看	k‘ã5	
真	tʂəⁿ1	
眠	miã2	
眨	tsa3	
眩	ɕyã5	
眯	mi1	
眯	mi2	
眵	ts‘ɿ1	眼～
眷	tɕyã5	
眸	mou2	
眺	t‘iɑu5	
眼	iã3	
着	tʂɑu1	
着	tʂɑu2	
睜	tʂəŋ1	
睛	tɕiŋ1	
督	tu1	
睬	ts‘ai3	
睹	tu3	
睽	k‘uei2	
瞅	tʂ‘ou3	
瞎	ɕia1	
瞑	miŋ2	
瞒	mã2	
瞠	tʂ‘əŋ1	
瞥	p‘iɛ1	
瞧	tɕ‘iɑu2	
瞩	tʂu3	
瞪	təŋ5	
瞬	ʂuəⁿ5	
瞰	k‘ã5	
瞳	t‘uŋ2	
瞻	tʂã1	
矗	tʂu5	
矛	mɑu2	
矜	tɕiⁿ1	
矢	sɿ3	
矣	i3	
知	tʂʅ1	
矩	tɕy5	
矬	ts‘uə2	
短	tuã3	
矮	ŋai3	
石	sʅ2	
石	tã5	
礦	k‘uaŋ5	
碼	ma3	
砂	sa1	
砌	tɕ‘i5	
砍	k‘ã3	
砑	ia5	～平
研	iã2	
磚	tʂuã1	
硯	iã5	
砭	piã1	
破	p‘ə5	
礎	ts‘u3	
硅	kuei1	
碩	ʂuə5	
硝	ɕiɑu1	
硫	liou2	
硬	iŋ5	
確	tɕ‘yɛ5	
硼	p‘əŋ2	
碉	tiɑu1	
礙	ŋai5	
碎	suei5	
碑	pei1	
碗	vã3	
碘	tiã3	
碟	tiɛ2	
碧	pi5	
碰	p‘əŋ5	
鹼	tɕiã3	
碳	t‘ã5	
碾	niã3	
磁	ts‘ɿ2	
磅	p‘aŋ2	
磅	paŋ5	
磕	k‘ə1	
磨	mə2	
磷	liⁿ2	
磺	xuaŋ2	
示	sɿ5	
禮	li3	
社	ʂʅə5	
祀	sɿ5	
祈	tɕ‘i3	
祖	tsu3	
祝	tsu5	
神	ʂəⁿ2	
祠	ts‘ɿ2	
祥	ɕiaŋ2	
票	p‘iɑu5	
祭	tɕi5	
禱	tɑu3	
禍	xuə5	
禀	piŋ3	
禁	tɕiⁿ1	
禁	tɕiⁿ5	
禄	lu5	
禪	tʂ‘ã2	
福	fu1	
离	li2	
禽	tɕ‘iⁿ2	
禾	xə2	
秀	ɕiou5	
私	sɿ1	
禿	t‘u1	
秆	kã3	
秉	piŋ3	
秋	tɕ‘iou1	
種	tsuŋ3	～子
種	tsuŋ5	
科	k‘ə1	
秒	miɑu3	
秕	pi3	
租	tsu1	
秤	tʂ‘əŋ5	
秦	tɕ‘iⁿ2	
秧	iaŋ1	
秩	tʂʅ5	
秫	ʂu2	
積	tɕi1	
稱	tʂ‘əŋ1	
稱	tʂ‘əⁿ5	
秸	tɕiɛ1	
移	i3	
穢	xuei5	
程	tʂ‘əŋ2	
稍	ʂɑu1	
稅	suei5	
稗	pai5	
稚	tʂʅ5	
稠	tʂ‘ou2	
稻	tɑu5	
稼	tɕia5	
稿	kɑu3	
穆	mu5	
穡	sə5	
穗	suei5	
穴	ɕyɛ5	
究	tɕiou1	
窮	tɕ‘iuŋ2	
空	k‘uŋ1	～气
空	k‘uŋ5	有～
穿	tʂ‘uã1	
突	t‘u1	
竊	tɕ‘iɛ5	
窄	tsai1	
竅	tɕ‘iɑu5	
窑	iɑu2	
窖	tɕiɑu5	
窗	ts‘uaŋ1	
窘	tɕiuŋ1	
竄	ts‘uã5	
窩	və1	
窟	k‘u1	
窺	k‘uei1	
竇	tou5	
窿	luŋ2	
立	li5	
豎	ʂu5	
站	tsã5	
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂaŋ1	
童	t‘uŋ2	
端	tuã1	
竹	tsu1	
竺	tʂu2	
竿	kã1	
笋	suəⁿ3	
笏	xu5	
笑	ɕiɑu5	
笛	ti2	
笠	li5	
笤	t‘iɑu2	
符	fu2	
笨	pəⁿ5	
第	ti5	
笸	p‘ə3	
籠	luŋ2	
籠	luŋ3	～罩
等	təŋ3	
筋	tɕiⁿ1	
筏	fa2	
筐	k‘uaŋ1	
筑	tsu5	
筒	t‘uŋ3	
答	ta1	
策	ts‘ə5	
篩	sai1	
箏	tʂəŋ1	
筷	k‘uai5	
籌	tʂ‘ou2	
签	tɕ‘iã1	
簡	tɕiã3	
箅	pi5	
箍	ku1	
箔	pə2	
算	suã5	
管	kuã2	
籮	luə2	
簞	tã1	
簫	ɕiɑu1	
箭	tɕiã5	
箱	ɕiaŋ1	
篆	tʂuã5	
篇	p‘iã1	
簍	lou3	
篙	kɑu1	
篡	ts‘uã5	
篦	pi5	
籃	lã2	
篱	li2	
簧	xuaŋ2	
簪	tsã1	
簸	pə3	
簸	pə5	～箕
籍	tɕi2	
米	mi3	
类	lei5	
粉	fəⁿ3	
粒	li5	
粕	p‘ə5	
粗	ts‘u1	
粘	tʂã1	
糶	t‘iɑu5	
粟	su5	
粤	yɛ5	
粥	tʂou1	
糞	fəⁿ5	
糧	liaŋ2	
粱	liaŋ2	
粳	tɕiŋ1	
粹	ts‘uei5	
糉	tsuŋ5	
精	tɕiŋ1	
糅	ʐou2	
糊	xu2	
糕	kɑu1	
糖	t‘aŋ2	
糙	ts‘ɑu1	
糟	tsɑu1	
糠	k‘aŋ1	
系	tɕi5	
系	ɕi5	
紊	vəⁿ3	
素	su5	
索	suə3	
緊	tɕiⁿ3	
紫	tsɿ3	
累	lei2	～赘
累	lei3	积～
累	lei5	
絮	ɕy5	
繁	fã2	
纂	tsuã3	
糾	tɕiou1	
紅	xuŋ2	
纤	ɕiã1	
纤	tɕ‘iã5	拉～
約	yɛ1	
約	iɑu1	
級	tɕi1	
紈	vã2	
紀	tɕi5	
紉	ʐəⁿ5	
緯	vei3	
純	tʂuəⁿ2	
紗	sa1	
綱	kaŋ1	
納	na3	
縱	tsuŋ5	
綸	t‘uəⁿ2	
紛	fəⁿ1	
紙	tsɿ3	
紋	vəⁿ2	
紡	faŋ3	
紐	niou3	
線	ɕiã5	
練	liã5	
組	tsu1	
紳	ʂəⁿ1	
細	ɕi5	
織	tʂʅ1	
終	tsuŋ1	
絆	pã5	
紹	ʂɑu5	
經	tɕiŋ1	
綁	paŋ3	
絨	ʐuŋ2	
結	tɕiɛ1	
繞	ʐɑu5	
繪	xuei5	
給	tɕi3	
給	kei3	
絢	ɕyã5	
絳	tɕiaŋ5	
絡	luə5	
絕	tɕyɛ2	
絞	tɕiɑu3	
統	t‘uŋ3	
絹	tɕyã1	
綏	suei2	
繼	tɕi5	
績	tɕi5	
緒	ɕy5	
绱	ʂaŋ1	～鞋
繩	ʂəŋ2	
維	vei2	
綿	miã2	
绷	pəŋ1	～带
绷	pəŋ3	～着脸
綢	tʂ‘ou2	
綹	liou3	
綜	tsuŋ1	
綠	ly5	
綴	tsuei5	
緘	tɕiã1	
