#漢字	音標	解釋
□	so1	羊膻味
旨	tsɿ3	
早	tsɔ3	
旬	sun1	
旱	xuɔn5	
時	sɿ2	
曠	kʰuɔŋ5	
旺	vɔŋ5	
昂	ŋɔŋ2	
昆	kun1	～虫
昆	kun1	崑，～仑山
昌	tʰɔŋ1	
明	miɑŋ2	
昏	fun1	
易	i5	
易	i7	
昔	se7	
星	sin1	
春	tʰun1	
昧	me5	
昨	tsʰan5	
昭	tʰia1	
是	sɿ5	
晝	tɕiə1	
顯	ɕiɛn3	
晃	fɔŋ3	
晉	tɕin2	
晌	ɕiɔŋ3	
曬	sɑ2	
曉	ɕiɔ3	
暈	yn1	
晚	van3	又读：ŋan31
晦	fue3	
晨	sin1	
普	pʰə3	
景	tɕin3	
晴	tɕʰiɑŋ2	
晶	tsin1	
智	tsɿ5	
暫	tsʰan2	
暇	xɑ5	
暑	kʰu3	
暖	luɔn3	
暗	ŋuɔn2	
暝	min2	
暮	mə5	
暴	pʰɔ5	
曝	pʰo5	
曰	ɕya7	
曲	tɕʰiə7	麴，酒～
曲	tɕʰiə7	～折，歌～
更	kiɛn2	～加
更	kiɛn9a	三～，打～
曹	tsʰɔ2	
曾	tsan1	
曾	tsʰan2	～经
替	tʰe2	
最	tsue2	
月	ȵya7	
有	iə3	
朋	pʰəŋ2	
服	fu7	
朔	su7	
朗	lɔŋ3	
望	vɔŋ5	
朝	tia1	今～
朝	tʰia2	～代
期	tɕʰi2	
木	mə7	
未	ve5	
末	mua7	
本	pan3	
札	tsa7	
术	sue7	白～，植物
术	sue7	術，算～
朱	ku1	
朴	pʰə7	
朵	to3	
機	tɕi1	
朽	ɕiə3	
殺	sa7	
雜	tsʰa7	
權	tɕʰyan2	
杆	kuɔn1	
杈	tsʰɑ1	
杉	sɑ1	～木，注意韵
杌	tue1	
李	te3	
杏	sin5	
材	tsʰuai2	
村	tsʰun1	
杖	tʰɔŋ5	
杜	tʰə5	
杞	tɕi5	
束	ɕiə7	
杠	kɔŋ5	
條	tʰiɔ2	
來	lai2	
楊	iɔŋ2	
杭	xɔŋ2	
杯	pe1	
杰	tɕʰie7	
杵	kʰu5	
杷	pʰɑ2	
松	ɕiəŋ1	～紧
松	səŋ2	放～
松	tɕʰiəŋ2	～树
板	pan3	
極	tɕi7	
構	kiɔ5	
枇	pʰe2	
枉	vɔŋ5	
析	se7	
枕	tin3	名词，～头
林	tin2	
枚	me2	
果	kuo3	
枝	tsɿ2	
棗	tsɔ5	
楓	fəŋ1	
枯	kʰu1	
柄	piɑŋ3	
柏	pɑ7	
某	mia3	
柑	kuɔn1	
染	iɛn3	
柔	tɕʰia2	
柚	iə5	
櫃	kʰue9a	
查	tsʰɑ2	
柩	tɕiə2	
柬	tɕiɛn3	
柱	kʰu9a	
柴	tsʰai2	
柿	sɿ9b	
柵	tsʰɑ7	
標	piɔ1	
棟	tyn2	
欄	lan2	
樹	fu5	
栖	se1	
栗	te7	
校	xɔ2	～对
校	xɔ5	学～
株	ku1	
樣	iɔŋ5	
核	ve7	没韵，梨～
核	xe7	麦韵，审～
根	kiɛn1	
格	kɑ7	～子
格	ke7	～外
栽	tsuai1	
栿	fu7	
桂	kue2	
桃	xɔ9a	
桅	ue2	
案	ŋuɔn2	
桌	tso7	
桐	tʰəŋ2	
桑	sɔŋ2	
桓	xan2	
橈	iɔ2	
橋	tɕʰiɔ2	
樺	uɑ2	
檜	kue2	
槳	tɕiɔŋ3	
樁	tsɔŋ1	
桶	tʰəŋ3	
梁	liɔŋ2	
梅	me2	
梓	tsɿ3	
梗	kuɑŋ5	
梢	ɕiɔ1	
夢	məŋ5	
梧	vu2	
梨	te9a	
梭	so1	
梯	tʰe1	
械	kʰai3	
梳	sə1	
檢	tɕiɛn3	
棉	miɛn2	
棋	tɕʰi2	
棍	kun5	
棒	pɔŋ9a	
棕	tsəŋ1	
棚	pʰəŋ2	
棠	tɔŋ1	
森	san1	
棹	miɔ5	船前面的桨
棺	kuɔn1	
椅	i3	
植	tsʰɿ7	
椒	tɕiɔ1	
橢	tʰo5	～圆
椴	tʰuɔn5	
椽	yan2	
椿	tʰun1	
楂	tsɑ1	
楔	tɕʰi7	
楚	tsʰə3	
楣	min2	
楦	ɕyan1	
楷	kʰai3	
樓	lia2	
欖	lan3	
榆	i2	
榛	tɕʰin2	
榜	pɔŋ3	
榨	tsɑ2	
榫	sun3	
榴	tiə2	
榻	tʰa7	
槐	fai2	
檳	pin1	
槽	tsʰɔ2	
樟	tɔŋ2	
模	mə1	
橫	fiɛn2	蛮～
橫	vɑŋ2	～竖
櫻	in1	
樵	tɕʰiɔ2	
橄	kuɔn3	
橘	tɕi7	
橘	tsue7	
橙	tsʰin2	耕韵，～子
橙	tan3	
橛	tɕya7	
橡	ɕiɔŋ5	
櫓	nə3	
檀	tʰan2	
檐	iɛn5	
欠	tɕʰiɛn2	
次	tsʰɿ2	
歡	fuɔn1	
欣	sin1	
歐	ŋiɔ1	
欲	i7	
欺	tɕʰi1	
款	kʰuɔn3	
歇	ɕie7	
歉	tɕʰiɛn2	
歌	ko1	
止	tsɿ3	
正	tɑŋ1	～月
正	tin2	～反
此	tsʰɿ3	
步	pʰə5	
武	vu3	
歪	vai1	
死	sɿ3	
殲	tɕʰiɛn1	
殃	iɔŋ1	
殆	tʰuai3	
殉	sun3	
殊	fu2	
殘	tsʰan2	
殮	liɛn5	
殕	fu2	食上生白毛
殖	tsʰɿ7	
殯	pin1	
毆	ŋiɔ5	
段	tʰuɔn5	
殷	in1	
殿	tʰiɛn5	
毁	fue3	
毅	le5	
母	mə3	丈～，舅～
每	me3	
毒	tʰə7	
比	pe3	
畢	pe7	
斃	pʰe9a	
毛	mɔ2	
毡	tsan1	
毫	xɔ2	
毯	tʰan3	
氏	sɿ5	
民	min2	
气	tɕʰi2	
水	fu3	
永	yn3	
汀	tʰin1	
汁	tsɿ7	
求	tɕʰiə9a	
汆	tsʰuɔn1	
汇	fue3	匯，～款
汇	fe9a	彙，词～
漢	xuɔn5	
汗	xuɔn5	
汝	le3	
汞	kuəŋ1	
江	kɔŋ1	
池	tsʰɿ2	
污	vu2	
湯	xɔŋ1	
汪	vɔŋ1	
汴	piɛn1	
汽	tɕʰi2	
沂	i2	
沃	vo7	
沈	sin3	
沉	tʰin2	
沓	tʰa7	
沙	sɑ1	
沛	pʰe2	
溝	kiɔ1	
沒	mɔ5	
漚	ɕia1	
淪	lun2	
滬	fu5	
沫	mua7	
河	xo2	
油	iə2	
治	tsɿ7	
沼	tia1	
沾	tsan1	
沿	yan2	
泄	ɕie7	
泅	tɕʰiə2	
泉	tɕʰyan2	
泊	pe7	梁山～
泊	po7	停～
泌	me2	
泔	kuɔn1	
法	fa7	
泛	fan5	
泡	pʰɔ2	
波	po2	
泣	tɕʰi7	
泥	le2	
注	ku2	～意
注	kʰu2	註，批～
淚	lue5	
泰	tʰai2	
泳	iəŋ2	
瀉	ɕie2	
潑	pʰua7	
澤	tsʰe7	
潔	tɕie7	
洋	iɔŋ2	
洒	sɑ2	
洒	sɑ3	蟹韵
洗	se3	
洛	lo7	
洞	tʰəŋ5	
津	tsin1	
洪	fəŋ2	
洲	tɕiə1	
活	fua7	
洼	uɑ2	
派	pʰai9a	
流	tiə2	
淺	tɕʰyan3	
漿	tɕiɔŋ1	
澆	tɕiɔ1	
濁	tsʰə7	
測	tsʰe7	
濟	tse5	
渾	fun2	
滸	fu3	
濃	iəŋ2	
浙	te7	
浜	pɔŋ1	沙家～
浦	pʰə3	
浩	xɔ5	
浪	lɔŋ5	
浮	pʰɔ2	
浮	pʰɔŋ2	
浴	i7	
海	xuai3	
浸	tsin2	
涂	tʰə2	
消	ɕiɔ1	
涉	ɕie7	
涌	iəŋ3	
涕	te5	
澇	lɔ2	
潤	yn5	
澗	liɛn2	
漲	tɔŋ3	
澀	se7	
涮	sua7	
涯	ŋai2	
液	i7	
淆	ɕiɔ9a	
淋	tin2	
淑	ɕiə7	
淘	xɔ9a	
淡	tʰan5	
淤	i1	
淫	in2	
淮	fai2	
深	sin5	
混	fun3	
淹	iɛn1	
添	tʰiɛn1	
清	tɕʰiɑŋ1	
淵	yan1	
漸	tɕiɛn2	
漁	ŋe2	
滲	san1	
渠	tɕʰi1	～道
渡	tʰə5	
溫	vun1	
港	kɔŋ3	
游	iə2	
渺	miɔ3	
湖	fu2	
湘	ɕiɔŋ1	
灣	van1	
溼	sɿ7	
潰	kʰue3	
濺	tɕʰiɛn5	
源	ȵyan2	
溜	liə1	
溪	ɕi1	
滂	pɔŋ1	
滋	tsɿ2	
滑	va7	
滔	tʰɔ1	
滾	kun3	
滿	muɔn5	
濾	te2	
濫	lan5	
滴	te7	
漂	pʰiɔ5	
漆	tsʰe7	
漏	lia5	
演	iɛn3	
漫	muɔn5	
漱	suɑ2	
潘	pʰuɔn1	
潛	tɕʰiɛn2	
潭	xan2	
潮	tʰia2	
潲	sɔ2	猪食
澄	tsʰen1	～清
澄	tsʰin1	蒸韵，～清
澄	tsʰin3	定母，把水～一～
澡	tsɔ3	
激	tɕi7	
瀑	pʰə7	
灌	kuɔn3	
火	fo3	
滅	mie7	
燈	tan1	
灰	fue1	
靈	tin1	
竈	tsɔ2	
灸	tɕiə3	
災	tsuai1	
燦	tsʰan5	
爐	nə2	
炊	tsʰue1	
炎	iɛn2	
炒	tsʰɔ3	
炕	kʰɔŋ2	
炙	tsɿ7	
炭	xan9a	
炮	pʰɔ2	
炸	tsɑ2	
點	tiɛn3	
炼	tiɛn5	
爛	lan5	
烈	ȵie7	
烊	iəŋ2	
烘	fəŋ1	～干
烙	lo7	
燭	tə7	
烟	iɛn1	
烤	kʰɔ2	
煩	fan2	
燒	ɕiɔ1	
燙	xɔŋ1	
熱	ie7	
烹	pʰe7	
焉	iɛn1	
焊	xuɔn5	
煥	fuɔn5	
焙	pʰe5	
焚	fiɛn3	
焦	tɕiɔ1	
焯	ky7	
焰	iɛn5	
然	lan2	
煎	tɕiɛn1	
煤	me2	
照	tia2	
煨	ue1	
煮	ku3	
熄	se7	
熊	ɕiəŋ2	
熏	ɕyn1	
熙	ɕi1	
熟	ɕiə7	
熨	yn5	
熬	ŋɔ2	
燃	lan2	
燎	liɔ2	
燕	iɛn2	～京
燕	iɛn5	～子
爆	pʰɔ2	
爬	pʰɑ2	
愛	ŋuai2	
爵	tɕio7	
父	fu5	
爺	ia2	
爽	sɔŋ3	
片	pʰiɛn2	
版	pan3	
牌	pʰai2	
牒	tʰie7	
牙	ŋɑ2	
牚	tsʰɑŋ3	橕，斜柱，椅子～
牛	ȵiə2	
牡	mia3	
牢	lɔ2	
牧	mə7	
物	ve7	
牯	ku1	
牲	san1	
牽	tɕʰiɛn1	
特	tʰe7	
犧	ɕi1	
犀	se1	
犁	te2	
犢	tʰə7	
犍	tɕiɛn1	～子
犒	kʰɔ5	
犬	tɕʰyan3	
犯	fan5	
狀	tsʰɔŋ5	
猶	iə2	
狂	fɔŋ2	
狄	tʰe7	
狍	pʰɔ2	
狐	fu2	
狗	kiɔ3	
狠	xan5	
狡	tɕiɔ3	
獨	tʰə7	
獅	sɿ1	
獄	iə7	
狸	te2	
狼	lɔŋ2	
獵	lie7	
猛	man3	
猝	tsʰue7	
豬	ky1	
貓	miɔ1	
獻	ɕiɛn5	
猴	xia2	
猾	va7	
玄	ɕyan5	
率	sue7	速～
率	sue7	～领
玉	ȵiə7	
王	vɔŋ2	
玩	li7	
環	fan2	
現	ɕiɛn5	
璽	ɕi3	
玻	po2	～璃
珊	san1	
珍	tin1	
珠	ku1	
班	pan1	
球	tɕʰiə2	
理	te3	
琉	tiə2	
瑣	so3	
琢	tso7	
琴	tɕʰin2	
琵	pʰe2	
琶	pʰɑ2	
瓊	tɕʰiəŋ2	
瑕	xɑ2	
瑞	lue5	
瑟	se7	
璃	te2	
璧	pia7	
瓜	kuɑ1	
瓣	pʰiɛn5	
瓤	lɔŋ5	
瓦	uɑ3	
瓮	vəŋ1	
甌	ŋiɔ1	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kuɔn1	
甚	sin3	
甜	tʰiɛn2	
生	sɑŋ1	
甥	sɑŋ1	
用	iəŋ5	
甫	pʰə3	
甬	iəŋ3	
田	tʰiɛn2	
由	iə2	
甲	ka7	
申	sin1	
電	tʰiɛn5	
男	lan2	
畫	fɑ5	
暢	tʰɔŋ2	
界	kai5	
畏	ve2	
留	tiə2	
畜	tʰə7	～牲
畜	ɕiə7	
畜	ɕiə9a	～生
略	tiɔ7	
畦	ɕi1	
番	fan1	
疆	tɕiɔŋ1	
疏	sə1	
療	liɔ2	
疝	san1	
瘍	iɔŋ2	
疤	pɑ1	
疥	kai1	
疫	i7	
瘡	tsʰɔŋ1	
瘋	fəŋ1	
疲	pʰe2	
疵	tsʰɿ2	
疹	tin3	
疼	tʰəŋ2	
疾	tɕi7	
病	pʰiɑŋ5	
症	tin5	
痒	iɔŋ5	
痕	xan5	
痛	tʰəŋ2	
痢	te9a	
痣	tsɿ2	
痰	tʰan2	
痱	fue2	
痳	mɑ2	
痹	pʰe9a	
瘌	la7	
瘟	vun1	
瘦	ɕia2	
瘴	tɔŋ2	
瘸	tɕʰiɔ2	
癩	lai2	
癬	ɕyan3	
癸	kʰue3	
登	tan1	
白	pʰɑ7	
百	pɑ7	
皂	tsʰɔ3	
的	ti7	
皆	kai2	
皇	fɔŋ2	
皖	uɔn3	
皮	pʰe2	
皺	tɕia2	
皿	min3	
盂	i2	
盅	təŋ1	
盆	pʰan2	
盈	in2	
益	i7	
盞	tsan3	
鹽	iɛn2	
監	kan1	～察，～视
監	kan2	国子～
盒	xua7	
盔	kue1	
盖	kuai2	动
盜	tʰɔ5	
盤	pʰan2	
盛	tsʰin2	～满了
盛	sin5	兴～
盟	min2	
目	mə7	
盲	mɑŋ1	
直	tsʰɿ7	
相	ɕiɔŋ1	互～
相	ɕiɔŋ2	～貌
盼	pʰan5	
盾	tun5	矛～，赵～
省	san3	～会
省	san3	反～
眉	min2	
看	kʰuɔn2	～见
瞘	iɔ1	
真	tin1	
眠	miɛn2	
眨	tsa7	
眩	ɕyan2	
眶	kʰuɑŋ1	
眼	ŋan3	
着	tʰo7	火～了
着	tso7	～衣，睡～，附～
睜	tsan1	
睛	tsin1	
睡	kʰuai2	
睬	tsʰuai3	
瞅	tɕʰiə3	
瞎	va7	
瞒	muɔn2	
瞧	tɕʰiɔ2	
瞪	tan1	
瞭	liɔ3	
瞳	tʰəŋ2	
瞻	tsan1	
瞿	tɕʰi1	
矛	miɔ2	
矢	sɿ1	
矣	i3	
知	tsɿ1	
矩	tɕi3	
矯	tɕiɔ3	
矬	tsʰo5	矮
短	tuɔn3	
矮	ŋai3	
石	ɕia7	
礬	fan3	
礦	kʰuɔŋ5	
碼	mɑ3	
砌	tɕʰi2	
砍	kʰuɔn3	
砑	ŋɑ2	
研	ȵiɛn2	
磚	tuan1	
硯	iɛn5	
破	pʰo2	
礎	tsʰə3	
硝	ɕiɔ1	
硫	tiə2	
硬	ŋɑŋ5	
確	ko7	
礙	ŋuai5	
碎	sue2	
碑	pe1	
碗	van3	
碟	tʰie7	
碧	pe7	
鹼	kan2	
碾	ȵiɛn3	
磁	tsʰɿ2	
磕	kʰo7	
磨	mo2	动
磨	mo5	名
磬	tɕʰin5	
磷	tin2	
礓	tɕiɔŋ1	
示	sɿ2	
禮	te3	
社	ɕia5	
祀	sɿ3	
祁	tɕʰi2	
祈	tɕʰi9a	
祖	tsə3	
祝	tə7	
神	sin2	
祠	sɿ2	
祥	ɕiɔŋ2	
票	pʰiɔ2	
祭	tse2	
禱	tɔ3	
禍	fo5	
禀	pin5	
禁	tɕin1	～不住
禁	tɕin2	～止
禄	nə7	
禪	tsʰan2	～宗
禪	tsʰan5	～让
福	fu7	
禹	i5	
禽	tɕʰin2	
禾	uo1	
秀	ɕiə2	
私	sɿ1	
禿	kʰo7	
秆	kuɔn1	
秉	pin3	
秋	tɕʰiə1	
種	təŋ3	
科	kʰuo2	
秒	mia3	
秕	pʰe3	
秘	pe2	
租	tsə1	
秤	tʰin2	
秦	tsʰin2	
秧	iɔŋ1	
秩	tsʰɿ7	
積	tse7	
稱	tʰin1	
秸	tɕi2	
移	i2	
穢	fue9a	
稀	ɕi1	
程	tʰɑŋ2	
稍	sɔ2	
稅	fu2	
稗	pʰi2	
稚	tsʰɿ2	
稠	tɕʰiə2	
穩	vun3	
稻	tʰɔ5	
稼	kɑ2	
稽	tɕi2	
穄	tse9a	
穆	mə7	
穗	sue3	
穴	tɕʰya7	
究	tɕiə2	
窮	tɕʰiəŋ2	
空	kʰuəŋ1	～虚，～缺
穿	to7	
突	tʰue7	
竅	tɕʰiɔ2	
窑	iɔ2	
窖	kɔ3	
窗	tsʰɔŋ1	
窘	tɕiəŋ3	
竄	tsʰuɔn1	
窩	uo1	
窟	kʰue7	
窠	kʰuo2	
窺	kue1	
立	te7	
豎	fu5	
站	tsan5	车～
競	tɕin5	
竟	tɕin5	
章	tɔŋ1	
童	tʰəŋ2	
端	tuɔn1	～午
竹	tə7	
竿	kuɔn1	
笋	sun3	
笑	ɕiɔ2	
笔	pe7	
筧	tɕiɛn7	
笙	san1	
笛	tʰe1	
笠	te7	
笡	tɕʰia2	
符	fu2	
笨	pan3	
第	tʰe5	
箋	tɕʰiɛn1	
籠	ləŋ2	
等	tan3	
筋	tɕin1	
筏	fa7	
筐	kʰuɑŋ1	
筑	tə7	
筒	tʰəŋ2	
答	ta7	
策	tsʰe7	
篩	sai1	
箏	tsan1	
筵	iɛn5	
筷	kʰu2	
筷	kʰuai2	
籌	tɕʰiə2	
签	tɕʰiɛn1	
簡	kan3	
箅	pe2	
箍	ku1	～桶
箕	tɕi1	
算	suɔn2	
管	kuɔn3	
籮	lo2	
簫	ɕiɔ1	
箭	tɕiɛn2	
箱	ɕiɔŋ1	
箸	kʰu2	
篆	tʰuan5	
篇	pʰiɛn1	
簍	lia2	
篙	kɔ1	
篡	tsʰuɔn5	
篦	pe2	
籃	lan2	
篱	te2	
篷	pʰəŋ3	
篾	mie7	
簧	fɔŋ2	
簪	tsan1	
簸	po1	～箕
簿	pʰə1	
籍	tsʰe7	
米	me3	
类	lue5	
粉	fiɛn3	
粒	te7	
粗	tsʰə1	
粤	ya7	
粥	tə7	
糞	fiɛn2	
糧	liɔŋ2	
粱	liɔŋ2	
粳	kiɛn3	
粹	tsʰue3	
糉	tsəŋ9a	
精	tsin1	
糍	tsɿ2	
糕	kɔ1	
糖	xɔŋ2	
糗	tɕʰiə3	
糙	tsʰɔ2	
糜	me3	
糟	tsɔ1	
糠	kʰɔŋ1	
糯	lo2	
系	ɕi2	繋，～鞋
系	ɕi5	联～
素	sə5	
索	so7	
緊	tɕin3	
紫	tsɿ3	
累	lue3	～积
累	luai5	
絮	se2	
繁	fan2	
糾	tɕiə1	
紅	fəŋ2	
紂	tɕʰiə3	
約	ȵio7	
級	tɕi7	
紀	tɕi2	
緯	ve5	
純	tsʰun2	
紗	sɑ1	
綱	kɔŋ1	
納	la7	
縱	tɕiəŋ5	
紛	fiɛn1	
紙	tsɿ3	
紋	viɛn3	
紡	fɔŋ3	
紐	liə3	
線	ɕiɛn2	
練	tiɛn5	
組	tsə3	
細	se2	
織	tsɿ7	
終	təŋ1	
紹	ɕiɔ5	
經	tɕin1	
綁	pɔŋ3	
絨	ləŋ3	
結	tɕie7	
繞	liɔ3	
繞	ȵiɔ3	
絡	lo7	
絕	tɕʰya7	
絞	tɕiɔ3	
統	tʰəŋ3	
絹	tɕyan1	
繡	ɕiə2	
綏	sue3	
繼	tɕi2	
績	tse7	
緒	se5	
續	ɕiɔ2	
續	ɕiə7	
繩	ɕin2	
維	ve2	
綿	miɛn2	
綢	tɕʰiə2	
綜	tsəŋ1	织机上的～
綻	tʰin5	
綠	tiə7	
綴	tsʰue5	
緬	miɛn3	
纜	lan2	
緝	tɕi9a	
緞	tʰuɔn5	
緩	fuɔn5	
縷	li3	
編	pʰiɛn1	
緣	yan2	
縫	fəŋ2	
纏	tʰan2	
縊	i2	
纓	in1	
縮	so7	
繮	tɕiɔŋ1	
繳	tɕiɔ3	
缸	kɔŋ1	
缺	tɕʰya7	
罐	kuɔn2	
网	mɔŋ3	
罕	xuɔn3	
羅	lo2	
罰	fa7	
罷	pʰɑ5	
罩	tsɔ2	
罪	tsʰue5	
置	tsɿ2	
羊	iɔŋ2	
美	me3	
羔	kɔ1	
羞	ɕiə1	
羡	ɕiɛn5	
羣	tɕʰyn2	
羹	kiɛn1	
羽	i5	
翁	vəŋ1	
翅	tsʰɿ2	
翠	tsʰue2	
翡	fue2	
翰	xuɔn5	
翻	fan1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ2	
者	tɑ3	
而	ʮ2	
耐	lai5	
耕	kiɛn1	
耗	xɔ2	
耙	pʰɑ2	
耳	ʮ3	
耶	ie2	
恥	tsʰɿ5	
耽	tan1	
耿	kiɛn3	
聶	lie7	
聊	liɔ2	
聾	ləŋ1	
職	tsɿ7	
聯	tiɛn2	
聘	pʰin5	
聚	tsʰe5	
聰	tsʰəŋ1	
肅	ɕiə7	
肆	sɿ2	
肉	ȵiə7	
肋	le7	
肌	tɕi1	
肘	ku5	
肚	tə3	鱼～，猪～
肚	tʰə5	～子疼
肝	kuɔn1	
腸	tʰɔŋ3	
股	ku3	
肢	tsɿ2	
肤	fu1	
肥	fue2	
肩	tɕiɛn1	
肪	fɔŋ2	
肫	tun3	
骯	ŋɑŋ1	
肯	kʰiɛn3	
育	iə7	
肴	iɔ3	
肺	fue2	
腎	sin5	
腫	pʰɔŋ2	
腫	təŋ3	
脹	tɔŋ3	
脅	ɕie7	
胃	ve5	
膽	tan3	
背	pe2	～诵
背	pe3	～部
胎	tʰuai1	
胖	pʰɔŋ9a	
胚	pʰe1	
胛	tɕia9a	
勝	sin2	～败
勝	sin5	～任
胞	pɔ1	
胡	fu2	姓，～椒
胡	fu2	鬍，～须
胳	ko7	
胸	ɕiəŋ1	
能	lan2	
脂	tsɿ2	
脆	tsʰue2	
脉	mɑ7	
脊	tse7	
脏	tsʰɔŋ2	臓，心～
臍	tse2	
腦	lɔ3	
膿	ləŋ2	
脖	pɔ7	
腳	tɕio7	
脯	pʰə2	胸～
脯	pʰə3	杏～
脫	tʰua7	
腡	lo2	手指文
臉	miɛn3	
脾	pʰe2	
腆	tiɛn3	
臘	la7	
腌	iɛn1	醃，～咸菜
腐	fu5	
腑	fu3	
腔	tɕiɔŋ1	
腔	tɕʰiɔŋ1	
腕	van3	
腥	ɕiɑŋ1	
腮	suai1	
腰	iɔ1	
腹	fu7	
膩	le5	
騰	xan2	
腿	tue3	
膀	pʰɔŋ2	
膏	kɔ1	药～
膏	kɔ2	～车，～油
膘	piɔ1	
膜	mo7	
膝	tsʰe7	
膨	pʰɑŋ2	
膳	ɕiɛn5	
臀	tsʰun2	
臂	pia2	
臣	tʰin2	
自	tsʰɿ9a	
臭	tɕʰiə2	香～
至	tsɿ2	
致	tsɿ2	
臻	tɕʰin2	
臼	tɕʰiə3	
舀	iɔ5	
舂	tyn1	
舅	tɕʰiə5	
舌	ɕie7	
舍	sɑ2	
舒	fu1	
舔	tʰiɛn3	白读：ɕie31
舜	ɕyn2	
舞	vu3	
舟	tɕiə1	
航	xɔŋ2	
般	puɔn1	
艦	kan5	
舵	to3	
船	ɕyan2	
艇	tʰin3	
良	liɔŋ2	
艱	tɕiɛn1	
色	se7	
艳	iɛn5	
藝	le5	
艾	ŋai5	
節	tɕie7	
芋	i9a	
芍	ɕio7	
芒	mɔŋ2	
芒	muɔŋ3	麦～儿
芙	fu2	
芝	tsɿ2	
芥	kai2	
蘆	nə2	
芬	fiɛn1	
芭	pɑ1	
花	fɑ1	
芳	fɔŋ1	
芹	tɕʰin2	
芽	ŋɑ2	
葦	ve5	
蒼	tsʰɔŋ1	
苧	kʰu5	
苏	sə1	
苔	tʰuai2	
苗	miɔ2	
苟	kiɔ3	
若	ȵio7	
苦	kʰu3	
英	in1	
茂	miɔ5	
范	fan5	
茄	tɕʰio5	
茅	miɔ2	
莖	tɕin5	
繭	tɕiɛn3	
茫	mɔŋ2	
茬	tsʰɑ2	
茴	fue1	
茶	tsʰɑ2	
茸	iɔŋ2	
荀	sun2	
荆	tɕin1	
草	tsʰɔ3	
薦	tɕʰiɛn2	
荒	fɔŋ1	
荔	te3	
蕎	tɕʰiɔ2	
薺	tɕi2	
蕩	tʰɔŋ5	
榮	iəŋ2	
葷	fyn1	
滎	sin2	～阳
荫	in1	
藥	ȵio7	
莝	tsʰo5	～草
莫	mo7	
蓮	tiɛn2	
获	xua7	
鶯	in1	
莽	mɔŋ5	
菊	tɕiə7	
菖	tʰɔŋ1	
菜	tsʰuai2	
菠	po2	～菜
菢	pʰɔ9a	～小鸡
菩	pʰə2	
菱	tin2	
萌	məŋ1	
萍	pʰin2	
萎	ve2	
螢	iɑŋ2	
營	iɑŋ2	
蕭	ɕiɔ1	
薩	sa7	
落	lo7	
著	kʰu3	
葛	kua7	
董	təŋ3	
葫	fu2	～芦
葬	tsɔŋ1	
葱	tsʰəŋ1	
葵	kʰue2	
蔣	tɕiɔŋ3	
蒙	məŋ2	
蒜	suɔn2	
蒯	kʰuai5	
蒲	pʰə5	
蒿	kɔ1	
蓄	ɕiə7	～牧
蓉	iəŋ2	
蓑	so1	
蓖	pe2	
藍	lan2	
蓬	pʰəŋ3	～松
蔓	man5	
蔗	tsɑ2	
蔡	tsʰai2	
蔫	iɛn1	
蔬	sə1	
藹	ŋai2	
蔽	pʰe9a	
蕉	tɕiɔ1	
薄	pʰo2	～荷
薄	pʰo7	形
薛	ɕya7	
薪	sin1	
薰	ɕyn1	
藉	tsʰe2	
藉	tsʰe7	狼～
藏	tsʰɔŋ2	西～
藏	pɔŋ3	隐～
藐	miɔ3	
藕	ŋiɔ3	
藤	xan2	
藩	fan1	
藿	xo7	
蘸	tan3	
虎	fu3	
虜	nə3	
虑	te2	
虔	tɕʰiɛn2	
虛	ɕi2	
虞	le2	
虢	xo5	
蟲	tʰəŋ2	
虱	se7	
虹	fəŋ2	彩～
虹	kɔŋ3	
虻	mɑŋ1	
雖	sue2	
蝦	xɑ1	
蝕	sɿ7	
蟻	le9a	
蚊	man1	
蚌	pɔŋ5	鹬～相争
蠶	tsʰan2	
蚣	kuəŋ1	
蚤	tsɔ3	
蚶	kuɔn1	
蛀	ku2	
蛆	tsʰe1	
蛇	ɕia2	
蛋	tʰan5	
蛙	uɑ1	
蛛	ku1	
蛤	xua7	
蠻	man2	
蛾	ŋo1	
蜀	tsʰə7	
蜂	fəŋ1	
蜇	tse7	
蜈	vu2	
蜓	tʰin2	
蛻	tʰue2	
蝸	uo1	
蜘	tsɿ1	
蜜	me7	
蠟	la7	
蜻	tɕʰin1	
蠅	in9a	
蟬	tsʰan2	
蝎	ɕie7	
蝗	fɔŋ2	
蝙	piɛn1	
蝠	fu7	
蝶	tʰie7	
螃	pʰɔŋ2	
融	iəŋ2	
螳	tɔŋ1	
螺	lo2	～蛳
蟀	sue7	
蟆	mɑ2	
蟒	mɔŋ5	
蟹	kai3	
蠓	məŋ3	
蠢	tʰun3	
血	ɕya7	
衅	ɕie3	
行	sin2	～为，～走
行	xɔŋ2	～列，～行
銜	xan2	
街	kai1	
衙	ŋɑ2	
衡	xen2	
衣	i1	
表	piɔ3	
衫	san1	
襯	tsʰan5	
衰	suai1	
袁	yan2	
襖	ŋɔ3	
袋	xuai1	
袍	pʰɔ2	
袖	tɕiə9a	
袜	va7	
被	pʰe5	
襲	se7	
裁	tsʰuai2	
裂	ȵie7	
裝	tɔŋ1	
裕	i7	
裙	tɕʰyn2	
褲	kʰu2	
裳	sɔŋ2	
裴	pʰe2	
