#漢字	音標	解釋
坦	tʰæ2	～克
坦	tʰæ3	平～
坪	pʰɿ2	
坪	pʰiʌŋ2=	
坯	pʰɐɪ1	
垂	tsʰu2-	
垂	tsʰuɐɪ2=	
壟	luʌŋ3	
型	ɕiʌŋ2	
垒	lu3-	葺～
垒	luɐɪ3=	
垛	tuo5	
垢	kʌu5	
墾	kʰʌŋ3	
墊	tiɪ5	
垮	kʰua3	
埃	ŋɐɪ3	
埋	miɛ2	
城	tsʰʌŋ2=	
域	yəʔ7	
培	pʰɐɪ2	
基	tsɿ1	
堂	tʰɔ2	
堆	tuɐɪ1	
墮	tuo5	
堡	pu3-	
堡	pou3=	
堤	tʰɿ2	
堪	kʰiɪ1-	
堪	kʰæ1=	
堰	iɪ5	
堵	tu3	
塌	tʰaʔ7	
塑	sʌu5	
塔	tʰaʔ7	
塘	tʰɔ2	
塞	səʔ7	
填	tʰiɪ2	
境	tɕiʌŋ5	
牆	tɕʰiɔ2	
增	tsʌŋ1	
墟	su1	
墨	miəʔ8	
墩	tuʌŋ1	
壁	piəʔ7	
壕	xou2	
壤	zɔ3	
士	sɿ5	
壬	zʌŋ2	
壯	tsuo5	
聲	sɘr1	
聲	sʌŋ1=	
殼	tɕʰiaʔ7	枳～
壺	xu2	
處	tsʰu3	
備	pɿ5	
复	xuəʔ7	
夏	xa5-	立～
夏	ɕia5=	
夕	tsou1	
夕	ɕiəʔ7	
外	uɐɪ5	
多	tɔ1	
夜	iɛ5	
够	kʌu5	
夥	xuo3	
大	tiɛ5-	～夫
大	sa3	
大	tɔ5	～小
大	tɐɪ5=	～夫
天	tʰiɪ1	
太	tʰiɛ5	
夫	xu1	
央	iɔ1	
夯	ŋɔ2	
失	səʔ7	
頭	tʰʌu2	
夷	zɿ2	
夸	kʰua1	
夾	tɕiaʔ7	
奪	tʰuəʔ8-	～过来
奪	tuəʔ7=	
奇	tsʰɿ2	
奈	niɛ5-	
奈	nɐɪ5=	
奉	xuʌŋ5	
奮	xuʌŋ5	
奎	kʰuɐɪ1	
奏	tsʌu5	
契	tsʰɿ5	
奔	pʌŋ1	～跑
奔	pʌŋ5	投～
獎	tɕiɔ3	
套	tʰou5	
奚	sɿ1	
奠	tiɪ5	
奢	ɕiɛ1	
奧	ŋou5	
女	zu3-	～：女儿
女	nu3=	
奴	nʌu2	
奶	niɛ2-	～～:胸脯
奶	niɛ3-	～油
奸	tɕiæ1	
好	xou3	～坏
好	xou5	喜～
如	zu2	
妃	xuɐɪ1	
妄	uo5	
妝	tsuo1	
婦	xu5	
媽	ma1	
妒	tu5	
妓	tsɿ5	
妖	iou1	
妗	tɕiʌŋ5	
妙	miou5	
妥	tʰuo3	
妨	xuo1	
妯	tsʰuəʔ8	
妹	mɐɪ5	
妻	tsʰɿ1	
妾	tɕʰiəʔ7	
姊	tsɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiʌŋ5	
委	uɐɪ3=	
姘	pʰiʌŋ2	
姚	iou2	
姨	zɿ2	
姻	iʌŋ1	
姿	tsɿ1	
威	uɐɪ1	
嬌	tɕiou1	
娘	niɔ2	
娜	na3	
娟	tɕyɪ5	
娠	tsʰʌŋ2	
娥	ŋɔ2	
娩	miɪ3	分～
娛	zu5	
娛	u5	～乐（老）
娶	tsʰəʔ7-	
娶	tsʰu3	
婀	ɔ1	
婆	pʰuo2	
婚	xuʌŋ1	
嬰	zɿ1-	～心：牵心，挂心
嬰	iʌŋ1=	
嬸	sʌŋ3	
婿	sɿ5	
媒	mɐɪ2	
媚	mɿ2	
媳	ɕiəʔ7	
嫁	tɕia5	
嫂	sou3	
嫌	ɕiɪ2	
嫖	pʰiou2	
嫡	tiəʔ7	
嫩	nuʌŋ5	
嬉	sɿ3	
孀	suo1	
子	tsɿ3	
子	tsəʔ7	词缀
孔	kʰuʌŋ3	
孕	iʌŋ5	
字	tsɿ5	
存	tsʰuʌŋ2	
孫	suʌŋ1	
孝	xou5	～衫
孝	ɕiou5=	
孟	mʌŋ5	
季	tsɿ5	
孤	ku1	
學	ɕiou2-	教也，学也
學	xəʔ8-	～担：模仿
學	ɕiəʔ8	
孩	xɐɪ2	
孵	xu2	
孺	zu3	
孺	zu5	又读
孽	niəʔ8	
寧	niʌŋ2	安～
寧	niʌŋ5	～可
它	tʰa1	
宅	tsʰaʔ8	
宇	zu3	
守	sʌu3	
安	ŋiɪ1-	
安	ŋæ1=	
宋	suʌŋ5	
完	uou2-	
完	uæ2=	
宏	xuʌŋ2	
宕	tɔ5	
宗	tsuʌŋ1	
官	kou1-	打～司，神～：男巫
官	kuæ1=	
宙	tsʌu5	
定	tɿ5-	站～
定	tiʌŋ5=	
宜	nɿ2	
寶	pou3	
實	səʔ8	
寵	tsʰuʌŋ3	
審	sʌŋ3	
客	tɕʰiaʔ7-	
客	kʰəʔ7=	
宣	ɕyɪ1	
室	səʔ7	
宦	xuæ5	
宪	ɕiɪ5	
宮	kuʌŋ1	
宰	tsɐɪ3	
害	xɐɪ5	
宴	iɪ5	
宵	ɕiou1	
家	tɕia1	
容	yʌŋ2	
寬	kʰou1-	
寬	kʰuæ1=	
賓	piʌŋ1	
宿	ɕiʌu5	星～
宿	ɕyəʔ7	
寂	tɕiəʔ7	
寅	iʌŋ2	
密	miəʔ8	
寇	kʰʌu5	
富	xu5	
寐	mɐɪ5	
寒	xiɪ2-	～露
寒	xæ2=	
寓	zu3	又读
寓	zu5	
寢	tɕʰiʌŋ3	
寞	məʔ8	
察	tsʰaʔ7	
寡	kua3	
寥	liou2	
寨	tɕiɛ5-	马～村
寨	tsɐɪ5=	
寸	tsʰuʌŋ3	
對	tuɐɪ5	
