#漢字	音標	解釋
鋒	xuʌŋ2	
鐧	tɕiæ5	
銳	zuɐɪ5	
錯	tsʰa5	
錨	mou2	
錛	pʌŋ1	
錫	ɕiəʔ7	
錮	kuəʔ7	
鑼	lɔ2	
錘	tsʰu2	
錐	tsu1-	～子
錐	tsuɐɪ1=	
錦	tɕiʌŋ3	
鍁	tɕʰiɪ1	铁～
錠	tiʌŋ5	
鍵	tɕiɪ1	
鋸	tsu5	
鍬	tɕʰiʌu1	
鍛	tu5-	
鍛	tuæ5=	
鍍	tu5	
鎮	tsʌŋ5	
鑷	niəʔ8	
鎔	yʌŋ2	
鏡	tsɿ5	
鏡	tɕiʌŋ5=	
鏇	ɕyɪ5	铅笔～～：转笔刀
镢	tɕyəʔ7	
鐲	tsʰuaʔ7	
镰	liɪ2	
鑲	ɕiɔ1	
長	tsʰɔ2	～短
長	tsɔ3	生～
門	mʌŋ2	
閂	suæ1	
閃	ɕiɪ3-	
閃	sæ3=	
閉	pɿ5	
問	uʌŋ5	
闖	tsʰuo3	
閏	zuʌŋ5	
闲	ɕiæ2=	
間	tɕiæ1	中～
間	tsuʌŋ1	
間	tɕiæ5	离～
悶	mʌŋ5	
閘	tsʰaʔ8-	门～～：门闩
閘	tsa3	
鬧	nou5	
閨	kuɐɪ1	
聞	uʌŋ2	
閩	miʌŋ3	
閥	xuaʔ8	
閣	kəʔ7	
鬮	tɕiʌu3	
閱	yəʔ7	
閻	iɪ2	
闊	kʰuəʔ7	
阜	xu2-	楼～：楼梯
阜	xu5=	
隊	tuɐɪ5	
阮	zuæ3	
防	xuo2	
陽	iɔ2	
陰	iʌŋ1	
陣	tsʌŋ5	
階	tɕiɛ1	
阻	tsu1	
阿	ɔ1	
附	xu5	
際	tsɿ5	
陸	luəʔ8	
隴	luʌŋ3	
陳	tsʰʌŋ2	
陋	lʌu5	
陌	miəʔ8	
降	ɕiɔ2	～伏
降	tɕiɔ5	下～
限	ɕiæ5	
陝	ɕiɪ3-	～西
陝	sæ3=	
陛	piəʔ7	
陡	tʌu3	
院	yɪ5	
險	ɕiɪ3	
陪	pʰɐɪ2	
陵	liʌŋ2	
陶	tʰou2	
陷	xæ5-	
陷	ɕiæ5=	
隆	luʌŋ2	
隍	xuo2	
隨	su2	～便
隨	suɐɪ2=	
隱	tsʰɔ2	
隱	iʌŋ3	
隔	tɕiaʔ7-	～开
隔	kəʔ7=	
隘	ŋɐɪ3	
障	tsɔ1	
隧	su5-	～道
隧	suɐɪ5=	
隶	liɪ5	
難	næ2	～易
難	næ5	患～
雀	tɕʰiəʔ7	
雁	niæ5	
雁	iæ5=	
雄	ɕyʌŋ2	
雅	nia3-	～湾
雅	ia3=	
集	tɕʰiəʔ8-	
集	tɕiəʔ7=	
雇	ku5	
雌	tsʰɿ2	
雍	yʌŋ2	
雛	tsʰu1	
雒	laʔ8	
雕	tiou1	
雨	zu3	
雪	ɕyəʔ7	
零	liɪ2-	
零	liʌŋ2=	
雷	luɐɪ2	
雹	pʰou5	
霧	u5	
需	su2	
霄	ɕiou1	
震	tsʌŋ3	
霍	xuəʔ7	
霜	suo1	
霞	ɕia2	
露	lʌu5	
霸	pa5	
霹	pʰiəʔ7	
青	tsʰɿ1-	
青	tɕʰiʌŋ1=	
靖	tɕiʌŋ5	
靜	tɕiʌŋ5	
靛	tiɪ5	
非	xuɐɪ1	
靠	kʰou5	
靡	mɿ2	
面	miɪ5	
革	kəʔ7	
靪	tɿ1-	～鞋：补鞋底
靪	tiʌŋ1=	
靴	ɕyɛ1	
靿	iou5	
鞋	xiɛ2	
鞍	ŋiɪ1-	
鞍	ŋæ1=	
鞘	tɕʰiou5	
鞭	piɪ1	
韌	zʌŋ5	
韓	xiɪ2-	～家坡
韓	xæ2=	
韭	tɕiʌu3	
音	iʌŋ1	
韵	yʌŋ5	
韶	sou2	
頁	iəʔ8	
頂	tɿ3-	～针
頂	tiʌŋ3=	
頃	tɕʰiʌŋ3	
項	xɔ5-	脖～筋：脖子
項	ɕiɔ5	
順	suʌŋ5	
须	su2	
頑	uæ2	
顧	ku5	
頓	tuʌŋ5	
頒	pæ1	
頌	suʌŋ5	
預	zu5	
領	liɪ3-	
領	liʌŋ3=	
頗	pʰuo1	
頸	tɕiʌŋ1	
頻	pʰiʌŋ2	
穎	iʌŋ2	
顆	kʰuo1	
題	tʰɿ2	
顎	ŋəʔ7	
顏	niæ2	
額	ŋəʔ7	
顛	tiɪ1	
顫	tɕiɪ5-	
顫	tsæ5	
顴	tɕʰyɪ2	
風	xuʌŋ1	
颼	sʌu1	
飄	pʰiou1	
飛	xuɐɪ1	
食	səʔ8	
餐	tsʰæ2	
饥	tsɿ1	
餳	sɿ2-	～瓜
飩	tuʌŋ5	
飯	xuæ5	
飲	iʌŋ1	～料
飲	iʌŋ5	～马
餞	tɕiɪ5	
飾	səʔ7	
飽	pou3	
飼	sɿ1	
餌	ɐr3	
饒	zou2	
餉	ɕiɔ3	
餅	pɿ3-	柿～子
餅	piʌŋ3=	
餓	ŋɔ5	
餘	zu2	
餒	nuɐɪ3	
餛	xuʌŋ2	
餡	xæ5-	
餡	ɕiæ5=	
館	kou3-	
館	kuæ3=	
饞	tsʰæ2	
饃	muo2	
餾	liʌu2	
饅	mæ2	
首	sʌu3	
香	ɕiɔ1	
香	tsʰʌu5	
騲	tsʰou3	
馬	ma3	
馱	tʰɔ2	～起
馱	tɔ5	～子
馳	tsʰɘr2	
驅	tsʰu1	
駁	paʔ7	～谈：指责
驢	lu2	
駛	sɿ3	
駙	xu5	
駒	tsu1	
駐	tsu5	
駝	tʰɔ2	
駕	tɕia5	
罵	ma5	
驕	tɕiou1	
駱	lou5	
駭	xɐɪ5	
驗	iɪ5	
駿	tɕyʌŋ5	
騎	tsʰɿ2	
騙	pʰiɪ5	
騷	sou1	
騸	ɕiɪ5	
騾	luo2	
驟	tsʌu5	
骨	kuəʔ7	
髓	su3	骨～
髓	suɐɪ3=	
高	kou1	
鬃	tɕyʌŋ1	
鬢	piʌŋ5	
鬼	kuɐɪ3	
魁	kʰuɐɪ1	
魂	xuʌŋ2	
魄	pʰiəʔ7	
魏	zu5-	
魏	uɐɪ5	
魔	muo2	
鰓	sɐɪ1	
魚	nu2-	～肉
魚	zu2=	
魯	lʌu3	
鮑	pou1	
鮮	ɕiɪ3	
鰱	liɪ2	
鯉	liɪ3	
鯽	tɕiəʔ7	
鯨	tɕiʌŋ1	
鱷	ŋəʔ7	
鱉	piəʔ7	
鱔	sæ5=	
鱗	liʌŋ2	
鳥	tiou1	男阴
鳥	niou3	飞～
鳩	tɕiʌu3	
雞	tsɿ1	
鳴	mɿ2-	
鳴	miʌŋ2=	
鷗	ŋʌu1	
鴉	ia2	
鸕	lʌu2	
鴨	niaʔ7	
鴨	iaʔ7=	
鴿	kəʔ7	
鸞	luæ2	
鴻	xuʌŋ2	
鵝	ŋɔ2	
鵡	u3	
鵲	tɕʰiəʔ7	
鵬	pʰʌŋ2	
鵮	tɕʰiæ1	
鷂	iou5	
鶴	xəʔ8	
鸚	iʌŋ1	
鷺	lʌu5	
鷹	iʌŋ1	
鹿	luəʔ8	
麒	tsʰɿ2	
麝	ɕiɛ5	
麥	miəʔ8	
麩	xu1	
麻	ma2	
麾	xuɐɪ1	
黃	xuo2	
黍	su3	
黎	liɪ2	
黏	iɪ2-	
黑	xəʔ7	
默	miəʔ8	
黢	tɕʰyəʔ7	
鼎	tiʌŋ3	
鼓	ku3	
鼠	su3	
鼬	iʌu5	
鼻	pʰiəʔ8	
鼾	xiɪ5-	
鼾	xæ1=	
齊	tsʰɿ2	
齜	ɕiɛ2	
齰	tsa5	鼠啮也
齒	tsʰɿ3	
齡	liʌŋ2	
齜	ɕiɛ2	嘴～开：嘴咧开
齪	tsʰuaʔ7	
齷	uaʔ7	
龍	luʌŋ2	
龜	kuɐɪ1	
𡋯	pʰəʔ8	面～：擀面时候撒的少许面粉
𥽸	lyɪ5	熬粥黏也
𨷲	iəʔ8	～上门：门闭也
𩅠	zæ5	泥泞陷入
