#漢字	音標	解釋
䘆	ɕya3	～子：蚯蚓
款	kʰua3	
歇	ɕiɛ3	
歉	tɕʰia5	
歌	ku1	
止	tɕi3	
正	tsɛŋ1	～月
正	tsɛŋ5	
此	tɕʰi3	
步	pu6	
武	u3	
歪	uai1	
死	sɿ3	
殃	iaŋ1	
殊	ɕy2	特～
殘	tsʰa2	
毆	ɛu1	
段	tua5	
殿	tia6	
毁	xuəi3	
轂	ku3	
母	mu3	
每	muəi3	
毒	tɛu6	白读
毒	tu6	文读
比	pi3	
畢	piɛ3	
毛	mau2	
毯	tʰa3	
氏	sɿ6	
民	miŋ2	
气	tɕʰi5	
氧	iaŋ3	
水	suəi3	
永	iŋ1	～丰：地名
永	yŋ3	
汁	tsɛ3	
求	ɕiəu2	白读，寻找
求	tɕʰiəu2	文读
汇	xuəi6	
漢	xua5	
汗	xua6	
汝	ȵy3	～城：地名
江	kaŋ1	
池	tɕʰi2	
污	u1	
湯	tʰaŋ1	
汽	tɕʰi5	
沈	sɛŋ3	
沉	tsʰɛŋ2	
沙	so1	
溝	kɛu1	
沒	muɛ1	
沫	muɛ3	肉～
河	xu2	
油	iəu2	
治	tɕʰi6	
沼	tsau3	
泄	ɕiɛ3	
泉	tɕʰya2	
法	fuɛ3	
泡	pʰɛu1	白读
泡	pʰau1	文读
泡	pʰau5	文读
泡	pʰɛu2	又音
波	pu1	
泣	tɕʰi5	
泥	nɛi2	白读
泥	ȵi2	文读
注	tɕy5	
淚	ly6	白读，眼～
淚	luəi6	文读
泰	tʰai5	
泵	paŋ6	
瀉	ɕio5	肚～
潑	pʰuɛ3	
澤	tsʰɛ6	
潔	tɕiɛ3	
洋	iaŋ2	
洒	sa3	
洗	sɛi3	
洛	lu6	
洞	toŋ6	
津	tɕiŋ1	
津	tɕiŋ5	～江：河名
洪	xoŋ2	
洲	tsɛu1	
活	xuɛ1	
派	pʰai3	
流	liəu2	
淺	tɕʰia3	
漿	tɕiaŋ1	
漿	tɕiaŋ5	豆～
澆	tɕiau1	
濁	tsʰu6	
測	tsʰɛ5	～试
濟	tɕi3	
濟	tɕi5	
瀏	liəu2	
濃	ȵioŋ2	
浙	tsɛ3	
浩	xau6	
浪	laŋ5	
浮	pɛu2	白读
浮	fɛu2	文读
海	xai3	
浸	tɕiŋ5	
涂	tu2	
消	ɕiau1	
涉	sɛ3	
濤	tau2	
潤	iŋ5	
漲	tsaŋ3	
澀	sɛ3	
液	i5	
淇	tɕʰi2	～江：河名
淋	liŋ2	
淑	su5	
淘	tau2	
淡	tʰa1	白读
淡	ta6	文读
淮	xuai2	
深	sɛŋ1	
混	xuəŋ3	
混	xuəŋ6	
淹	ia1	
添	tʰia1	
清	tɕʰiŋ1	
渠	tɕi1	白读，他
渠	tɕʰy1	文读
渣	tso1	
渣	tso2	又音，～碎
渤	puɛ1	
渧	tɛi5	滴
溫	uəŋ1	
港	kaŋ3	
游	iəu2	
湖	u2	浆～：地名
湖	xu2	
湘	ɕiaŋ1	
灣	ua1	
溼	sɛ3	
源	ȵya2	
溜	liəu1	
溪	kʰɛi1	秀～：地名
溪	tɕʰi1	
溪	sɿ1	又音
滑	uɛ1	
滾	kuəŋ3	
滿	mua3	
濾	ly6	
漂	pʰiau5	
漆	tɕʰiɛ3	
漏	lɛu6	
演	ia3	
瀟	ɕiau1	
潛	tɕʰia2	
潛	tsʰa2	又音
潭	ta2	
潮	tsʰau2	
潲	sau5	
澡	tsau3	
澳	ŋau5	
激	tɕi5	
濠	xau2	～头：地名
灌	kua5	
火	xu3	
滅	miɛ1	
燈	tɛŋ1	
灰	xuəi1	
靈	liŋ2	
竈	tsau5	
災	tsai1	
爐	lu2	
炎	ia2	
炒	tsʰau3	
炙	tɕi5	
炭	tʰa5	
炮	pʰau5	
炸	tso5	
點	tia3	
炼	lia6	
爛	la6	
烈	liɛ3	
烘	xoŋ1	
烙	lu5	～铁
燭	tsu5	
烟	ia1	
烤	kʰau5	
煩	fa2	
燒	sau1	
燙	tʰaŋ5	
熱	ȵiɛ1	
焦	tɕiau1	
然	ia2	
煎	tɕia1	
煞	sa3	
煤	muəi2	
照	tsau5	
煨	uəi1	
煮	tɕy3	
熄	sɿ5	～火
熊	ɕioŋ2	
熟	su6	
熬	ŋau2	
燕	ia5	
爆	pau5	
爪	tsau3	
爬	po2	
愛	uai5	白读
愛	ŋai5	文读
爵	tɕio5	
父	fu6	
爺	io2	
爸	pa1	
爹	tiɛ5	
爽	saŋ3	
片	pʰia5	
版	pa3	
牌	pai2	
牙	ŋo2	
牛	ȵiəu2	
牡	mɛu3	
牢	lau2	
物	uɛ3	
牯	ku3	
牲	saŋ1	白读，头～
牲	sɛŋ1	文读，畜～
牽	kʰa5	白读
牽	tɕʰia1	文读
特	tɛ1	
犁	lɛi2	
犯	fa6	
狀	tsʰaŋ6	
狐	u2	～狸
狗	kɛu3	
狠	kʰɛŋ3	发～：努力
獨	tu6	
狹	xa1	窄
獅	sɿ1	
獄	iəu6	
狸	li2	果子～
狼	laŋ2	
猛	mɛŋ3	
猜	tsʰai1	
豬	y1	白读
豬	tɕy1	文读
貓	miau5	
獻	ɕia5	
猴	xɛu2	
猾	uɛ1	
率	suai5	～领
玉	y6	
王	uaŋ2	
玩	ŋua6	老派
玩	ua6	新派
環	ua2	白读，耳～
環	xua2	文读
環	xuai2	又音
現	ɕia6	
玲	liŋ2	
玻	pu1	
珍	tsɛŋ1	
珠	tɕy1	
班	pa1	
球	tɕʰiəu2	
理	li3	
琳	liŋ2	
琴	tɕʰiŋ2	
瓊	tɕʰyŋ2	
瑞	suəi6	
瑤	iau2	
璃	li2	
瓜	ko1	
瓜	ko5	又音，生～：黄瓜
瓠	xu6	～瓜
瓦	ŋo3	
瓶	piŋ2	
瓷	tɕʰi2	
甏	paŋ6	
甑	tsɛŋ5	
甘	kua1	
甜	tia2	
生	saŋ1	白读
生	sɛŋ1	文读
生	saŋ2	又音，好～唧：当心
甥	saŋ1	白读
甥	sɛŋ1	文读
用	ioŋ6	
甫	pʰu3	
田	tia2	
由	iəu2	
甲	ka3	
申	sɛŋ1	
電	tia6	
男	na2	
畫	xo6	
暢	tsʰaŋ3	
界	kai5	
留	liəu2	
畜	tsʰu5	
略	lu6	
番	fa1	
畲	so2	
疏	so1	白读
疏	su1	文读
疑	ȵi2	
疝	sa2	
疤	po1	
疫	uəi5	老派
疫	i5	新派
瘡	tsʰaŋ1	
瘋	foŋ1	
疾	tɕʰiɛ1	
痂	ko1	
病	piŋ6	
痒	iaŋ3	
痕	xɛŋ2	
痛	tʰoŋ5	
痞	pʰi3	
痢	li6	
瘓	xua6	
痰	ta2	
痹	pi5	
瘟	uəŋ1	
瘤	liəu2	
瘦	sɛu5	
癱	tʰa1	
癮	iŋ3	
癌	ŋai2	
癩	lai5	
癲	tia1	
登	tɛŋ1	
白	po6	白读
白	pɛ6	文读
百	po5	白读
百	pɛ5	文读
的	ti5	
皆	kai1	
皇	xuaŋ2	
皓	xau6	
皮	pi2	
皺	tsɛu5	～纹
皺	tsɛu2	又音
盆	pua2	
益	i5	
盞	tsa3	
盞	tsa5	灯～
鹽	ia2	
監	ka1	
監	ka5	～督
盒	xuɛ2	
盔	kʰuəi1	
盖	kuai5	白读，～唧
盖	kai5	文读
盜	tau6	
盤	pua2	
盛	sɛŋ6	
目	mu5	
直	tɕʰi6	
相	ɕiaŋ1	
相	ɕiaŋ5	
省	sɛŋ3	
省	ɕiŋ3	～得
眉	mi2	
真	tsɛŋ1	
眨	tsa3	
眯	mi1	
眼	ŋa3	
着	iəu5	白读，穿
着	tsu5	文读
着	tiəu6	～火
睜	tsɛŋ1	
睛	tɕiŋ1	
睡	suəi6	～衣
督	tu5	监～
瞄	miau3	看
瞎	xa3	
瞒	mua2	
瞟	pʰiau3	
知	tɕi1	
短	tua3	
矮	ai3	
石	sɿ6	
礦	kʰuaŋ5	
碼	mo3	
砂	so1	
砌	tɕʰi5	
砍	kʰa3	
研	ȵia1	
磚	tsua1	
砣	tu2	
砧	tiŋ1	
破	pʰu5	
硝	ɕiau1	
硫	liəu2	
硬	ŋaŋ6	白读
硬	ŋɛŋ6	文读
確	kʰu5	
碎	suəi5	
碑	puəi1	
碓	tuəi5	
碗	ua3	
碘	tia3	
碟	tiɛ2	～唧
碧	pi5	
碰	pʰoŋ5	
碳	tʰa5	
磁	tɕʰi2	
磅	paŋ3	
磡	xua5	
磨	mu2	
磺	uaŋ2	白读
磺	xuaŋ2	文读
磻	pua2	～溪：地名
示	sɿ6	
禮	li3	
社	so6	
祁	tɕʰi2	
祈	tɕʰi2	
祖	tsu3	
祝	tsu5	
神	sɛŋ2	
祠	tɕʰi2	
祥	tɕʰiaŋ2	
票	pʰiau5	
祭	tɕi5	
禍	xu6	
禁	tɕiŋ5	
福	fu5	
离	li2	
禽	tɕʰiŋ2	
禾	u2	
秀	ɕiəu5	
私	sɿ1	
秆	kua3	禾～
秋	tɕʰiəu1	
種	tsoŋ3	
種	tsoŋ5	
科	kʰu1	
秒	miau3	
秘	pi5	～书
租	tsu1	
秤	tsʰɛŋ5	
秦	tɕʰiŋ2	
秧	iaŋ1	
秩	tsʰɛ3	～序
積	tɕi5	
稱	tsʰɛŋ1	
稱	tsʰɛŋ5	～意
移	i2	
程	tsʰɛŋ2	
稍	sau1	
稍	sau5	
稅	suəi5	
稕	tsuəŋ2	
稗	pai6	
穩	uəŋ3	
稻	tau6	
稽	tɕʰi3	～首
稿	kau3	
穴	ɕyɛ1	
究	tɕiəu5	
窮	tɕʰioŋ2	
空	kʰoŋ5	
空	koŋ1	
穿	tsʰua1	
突	tʰu5	
竅	tɕʰiau5	
窑	iau2	
窖	kau5	
窗	tsʰaŋ3	
窠	xu1	
窵	tau5	～角：偏僻
立	liɛ1	
豎	ɕy1	
站	tsa5	
竟	tɕiŋ5	
章	tsaŋ1	
童	toŋ2	
端	tua1	
竹	iəu5	白读
竹	tsu5	文读
竿	kua1	
笆	po1	
笊	tsau5	
笋	suəŋ3	
笑	ɕiau5	
笔	piɛ3	
筧	ka3	
笛	ti2	～唧
笠	liɛ3	
符	fu2	
笨	puəŋ6	
第	ti6	
籠	loŋ1	白读
籠	loŋ2	文读
籠	loŋ3	
等	tɛŋ3	
筋	kɛŋ1	白读
筋	tɕiŋ1	文读
筑	tsu5	
筒	toŋ2	
答	ta3	
策	tsʰɛ5	
筘	kʰɛu5	
篩	sai1	
箏	tɛŋ1	风～
箏	tsɛŋ1	
筷	kʰuai5	
签	tɕʰia1	
簡	ka3	
箍	ku1	
箕	tɕy1	白读
箕	tɕi1	文读
算	sua5	
管	kua3	
籮	lu2	
簫	ɕiau1	
箭	tɕia5	
箱	ɕiaŋ1	
箱	ɕiaŋ2	又音，～唧：抽屉
箸	ty2	量词，一筷子夹起的量
篆	tɕʰya6	
篇	pʰia1	
篙	kʰau1	
篦	pi6	
籃	la2	
篱	li2	
篷	poŋ2	
篼	tɛu1	喂食槽
篾	miɛ1	
簸	pu5	
簿	pʰu1	户口～
籍	tɕʰi6	
籫	tsua3	鱼～：竹制捕鱼器具
米	mɛi3	白读
米	mi3	文读
类	luəi6	
籼	ɕia1	
粉	fuəŋ3	
粒	lɛ5	
粗	tsʰu1	
粟	ɕiəu2	白读，番～：玉米
粟	su5	文读
粤	yɛ3	
粥	tsu5	
糞	fuəŋ5	
糧	liaŋ2	
粱	liaŋ2	
糉	tsoŋ5	
精	tɕiŋ1	
糊	u2	糨～
糍	tɕʰi2	
糕	kau1	
糖	taŋ2	
糙	tsʰau5	
糠	xaŋ1	
糨	tɕiaŋ5	～糊
糯	nu6	
系	sɿ6	关～
素	su5	
索	su5	
緊	tɕiŋ3	
紫	tɕi3	
累	luəi3	
累	luəi6	
絮	ɕy5	
繁	fa2	
糾	tɕiəu1	
紅	xoŋ2	
約	iəu5	
級	tɕiɛ3	
紀	tɕi3	
純	suəŋ2	
紗	so1	
納	na3	
縱	tsoŋ5	
紙	tɕi3	
紐	ȵiəu3	
線	ɕia5	
練	lia6	
組	tsu3	
細	sɛi5	白读
細	sɿ5	文读
細	sɛi2	又音
織	tɕi5	
終	tsoŋ1	
紹	tsʰau6	介～
經	tɕiŋ1	
紿	tai3	欺骗
綁	paŋ3	
絨	ioŋ2	
結	tɕiɛ3	
繞	ȵiau2	
給	tɕiɛ3	
給	kɛ3	又音
絡	lu6	
絕	tɕʰyɛ1	
絞	tɕiau3	
統	tʰoŋ3	
繡	ɕiəu5	
繼	tɕi5	
績	tɕi5	
續	ɕiəu5	
繩	sɛŋ2	
綿	mia2	
綜	tsoŋ1	
綠	liəu6	
緩	xua3	
縷	lɛu3	
編	pʰia1	
緣	ya2	
縫	foŋ2	
纏	tsʰa2	
纏	tsʰa6	
縮	su5	
繕	sa6	
繳	tɕiau3	
纘	tsua3	～堂：武馆
缸	kaŋ1	
缺	tɕʰyɛ3	
罐	kua5	
网	maŋ3	白读
网	uaŋ3	文读
羅	lu2	
罰	fuɛ1	
罩	tsau5	
罩	tsau2	又音，～唧：抄网
罪	tsʰuəi6	
置	tɕi5	
羊	iaŋ2	
美	muəi3	
羔	kau1	
羣	tɕʰyŋ2	
羽	y3	
翅	tɕi5	
翔	tɕʰiaŋ2	
翹	ɕiau2	白读
翹	tɕʰiau2	文读
翠	tsʰuəi5	
翰	xua6	
翻	fa1	
耀	iau6	
老	lau3	
考	kʰau3	
者	tsɛ3	
而	ɛ2	
耍	sa3	
耐	nai6	
耒	luəi2	～江：河名
耒	luəi6	～阳：地名
耙	po2	
耳	ɛ3	文读，～机
耳	ȵi3	
耳	li3	又音，木～
恥	tɕʰi3	
聊	liau2	
聾	loŋ1	
職	tɕi5	
聯	lia2	
聘	pʰiŋ5	
聚	tɕʰy6	
聰	tsʰoŋ1	
肅	ɕiəu5	严～
肉	ȵiəu5	
肌	tɕi1	
肖	ɕiau1	
肚	tʰu1	白读
肚	tu6	文读
肚	tu2	又音，猪～
肝	kua1	白读
肝	ka1	文读
腸	tiaŋ2	白读
腸	tsʰaŋ2	文读
股	ku3	
肤	fu1	
肥	fuəi2	
肩	ka1	
肯	xɛŋ3	白读
肯	kʰɛŋ3	文读
育	iəu5	
肺	fuəi5	
腎	sɛŋ6	
腫	tsoŋ3	
脹	iaŋ5	白读
脹	tsaŋ5	文读
胃	uəi6	
膽	ta3	
背	puəi1	～包
背	puəi5	～后
背	puəi6	～书
胎	tʰai1	
胖	pʰaŋ5	
勝	sɛŋ5	
胞	pau1	
胡	u2	白读
胡	xu2	文读
胰	i2	
膠	tɕiau1	～水
胸	ɕioŋ1	
能	nɛŋ2	
脆	tsʰuəi5	
脉	mɛ5	
脏	tsaŋ1	
臍	tɕʰi2	
腦	nau3	
膿	noŋ2	
腳	tɕiəu5	
腳	tɕiəu2	又音
脫	tʰuɛ3	
腡	lu2	
臉	lia3	
脾	pi2	
臘	la1	
腐	fu6	白读
腐	fu3	文读
腮	suai1	白读
腮	sai1	文读
腰	iau1	
腹	fu5	
膩	ȵi6	
腿	tʰuəi3	
膏	kau1	
膜	mu2	
膝	ɕiɛ3	
自	tɕʰi6	
臭	tsʰɛu5	
至	tɕi5	
致	tɕi5	
臼	tɕʰiəu6	
舀	iau3	
舂	tsoŋ1	
舅	tɕʰiəu1	
舌	sɛ1	
舍	so3	～得
舐	sɛi1	舔
舒	ɕy1	
舞	u3	
舟	tsɛu1	
航	xaŋ2	
般	pua1	
船	sua2	
艇	tʰiŋ3	
良	liaŋ2	
艱	ka1	
色	sɛ5	
藝	ȵi6	
艾	ŋɛi5	
節	tɕiɛ3	
芋	u2	白读
芋	y2	文读
芒	maŋ2	
芥	kai5	
芯	ɕiŋ1	
花	xo1	
芳	faŋ1	
芹	tɕʰyŋ2	白读
芹	tɕʰiŋ2	文读
芽	ŋo2	
莧	ɕia6	
苧	tʰy1	
苏	su1	
苗	miau2	
苞	pau1	
苞	pau2	
若	iəu5	
苦	xu3	白读，～瓜
苦	kʰu3	文读
英	iŋ1	
蘋	piŋ2	
茂	mɛu6	
范	fa6	
茄	tɕʰio2	
茅	mau2	
茶	tsʰo2	
草	tsʰau3	
薦	tɕʰia6	
荒	xuaŋ1	
荔	li6	
蕩	taŋ6	
榮	ioŋ2	
葷	kʰuəŋ1	
藥	iəu5	
荷	xu2	
莫	mu6	
蓮	lia2	
蒔	sɿ6	
获	xuɛ1	收～
瑩	iŋ5	
菇	ku1	
菊	tɕiəu5	
菌	kʰuəŋ2	白读
菌	tɕʰyŋ3	文读
菖	tsʰaŋ1	
菜	tsʰai5	
菠	pu1	
菩	pu2	
萄	tau2	
蘿	lu2	
螢	iŋ2	
營	iŋ2	～田：地名
營	yŋ2	～养
蕭	ɕiau1	
薩	sa3	
落	lu6	
落	lo2	又音，～花豆：花生
著	tɕy5	～作
葛	kuɛ3	
葡	pu2	
董	toŋ3	
葬	tsaŋ5	
葱	tsʰoŋ1	
蔣	tɕiaŋ3	
蒙	moŋ2	
蒜	sua5	
蒲	pu2	
蒸	tsɛŋ1	
蓄	tɕʰiəu5	～头发
蓉	ioŋ2	
藍	la2	
驀	mo6	
蔗	tso5	
蔡	tsʰai5	
蔸	tɛu1	
蕉	tɕiau1	
蕨	tɕyɛ3	
薄	pu6	
薇	uəi2	
薏	i5	
薛	ɕyɛ3	
薪	ɕiŋ1	
薯	ɕy2	
藏	tsʰaŋ2	
藕	ŋɛu3	
藤	tɛŋ2	
虎	xu3	
虑	ly6	
虛	ɕy1	
蟲	tioŋ2	白读
蟲	tsʰoŋ2	文读
虱	sɛ3	
虹	kaŋ5	
雖	suəi1	
蝦	xo1	
蟻	ŋɛi3	白读
蟻	i3	文读
蚊	mua2	白读，～虫
蚊	uəŋ2	文读
蚌	paŋ6	
蠶	tsʰa2	
蚤	tsau3	
蛆	tɕʰy1	
蛇	so2	
蛋	ta6	
蠻	ma2	
蟄	tɕʰi6	惊～
蜂	pʰoŋ1	白读
蜂	foŋ1	文读
蜜	miɛ1	
蠟	la1	
螃	paŋ2	
融	ioŋ2	
螺	lu2	
蟆	mo2	
蟹	xai3	
蠢	tsʰuəŋ3	
血	ɕyɛ3	
行	xaŋ2	白读，走；银～
行	xɛŋ2	文读
行	ɕiŋ2	不～
街	kai1	
衡	xɛŋ2	
衣	i1	
衣	i2	又音
補	pu3	
表	piau3	
表	piau1	又音，手～
衫	sa1	～领：衣领
衫	sa2	又音
襯	tsʰɛŋ5	
袁	ya2	
襖	au3	
袋	tuai6	白读
袋	tai6	文读
袍	pau2	
袖	tɕʰiəu6	
袜	ua3	
被	pʰuəi1	白读
被	pi6	文读
襲	ɕiɛ1	
裁	tsʰai2	
裂	liɛ3	
裝	tsaŋ1	
襠	taŋ1	
裙	kʰuəŋ2	白读
裙	tɕʰyŋ2	文读
褲	xu5	白读
褲	kʰu5	文读
褙	puəi5	裱
襟	tɕiŋ1	连～
西	sɛi1	～垣：地名
西	sɿ1	
要	iau6	
見	tɕia5	
觀	kua1	
觀	kua5	
規	kuəi1	
視	sɿ6	
覽	la3	
覺	kau5	
覺	tsʰu5	自～
角	tɕiəu5	丑～
角	ku5	
角	ko2	又音，～崽：炸酥角
解	kai3	
觸	tsʰu5	
言	ȵia2	
譽	y6	
誓	sɿ6	
警	tɕiŋ3	
計	tɕi5	
訂	tiŋ6	
認	ȵiŋ6	
討	tʰau3	
讓	ȵiaŋ6	老派
讓	iaŋ6	新派
訓	ɕyŋ5	
議	ȵi6	
記	tɕi5	
講	kaŋ3	
許	ɕy3	
論	luəŋ2	
論	luəŋ6	
設	sɛ3	
訪	faŋ3	
訣	tɕyɛ3	
证	tsɛŋ5	
評	piŋ2	
識	sɿ5	
詐	tso5	
訴	su5	
詞	tɕʰi2	
譯	i5	
試	sɿ5	
詩	sɿ1	
誠	sɛŋ2	
話	o6	白读
話	xo6	文读
該	kai1	
詳	tɕʰiaŋ2	
誣	u1	～赖
語	ȵy3	
說	ɕyɛ3	
請	tɕʰiŋ3	
讀	tu6	
課	kʰu5	
誰	suəi2	
調	tiau2	
調	tiau6	～动
諒	liaŋ6	
談	ta2	
謀	mɛu2	
謊	xuaŋ3	
謝	tɕʰio6	
謠	iau2	
譚	ta2	
譜	pʰu3	
谷	ku5	
豅	loŋ2	山谷
豆	tɛu6	
豇	kaŋ1	
豉	sɿ6	
豌	ua3	
象	tɕʰiaŋ6	
豪	xau2	
貞	tsɛŋ1	
負	fu6	～担
貢	koŋ5	
財	tsʰai2	
責	tsɛ5	
敗	pai6	
賬	tsaŋ5	
貨	kʰu5	
質	tsɛ3	
貪	tʰa1	
貧	piŋ2	
貶	pia3	
購	kɛu5	
貳	ȵi6	
賤	tɕʰia6	
貼	tʰiɛ3	
貴	kuəi5	
貿	mɛu6	
費	fuəi5	
賀	xu6	
賊	tsʰɛ6	
賈	ko3	姓
賄	xuəi3	受～
資	tɕi1	
賒	so1	
賦	fu5	
賭	tu3	
賞	saŋ3	
賠	puəi2	
賴	lai5	耍～
賴	lai6	
賺	tɕʰya6	
賽	sai5	
赞	tsa5	
贏	iŋ2	
贛	kua5	～州：地名
赤	tɕʰi5	
赫	xɛ5	显～
走	tsɛu3	
赴	fu5	
趙	tsʰau6	
趕	kua3	
起	sɿ3	白读
起	tɕʰi3	文读
起	tɕʰy3	又音，～子：螺丝刀
超	tsʰau1	
越	yɛ3	
足	tɕiəu5	白读
足	tsu5	文读
躍	iəu5	
躍	iau6	又音，大～进
跌	tiɛ3	
跑	pʰau3	
距	tɕʰy6	
跟	kɛŋ1	
跤	kau1	跌～
跪	kʰuəi3	
路	lu6	
跳	tʰiau5	
踐	tɕʰia6	
踏	tʰa3	
踢	tʰi5	
踩	tsʰai3	
蹄	ti2	
身	sɛŋ1	
車	tsʰo1	
車	tɕy1	
轉	tsua3	
軛	o5	牛～
輪	luəŋ2	
輪	liŋ2	又音，照～：依次
軟	ȵya1	白读
軟	ȵya3	文读
輕	tɕʰiŋ1	
載	tsai3	
載	tsai5	
轎	tɕʰiau6	
較	kau5	
輛	liaŋ2	
輩	puəi5	
輝	xuəi1	
輸	ɕy1	
轄	xa3	
轆	lu5	～～转
辛	ɕiŋ1	
辭	tɕʰi2	～行
辟	pi6	
辣	la1	
辨	pa6	分～
辯	pia6	
辮	pia1	
辰	sɛŋ2	
邊	pia1	
达	ta3	
迁	tɕʰia1	
迅	ɕyŋ5	
過	ku5	
迎	ȵiŋ2	
運	yŋ6	
近	tɕʰyŋ1	白读
近	tɕʰiŋ6	文读
返	fa3	
還	ua2	白读，～钱
還	xua2	文读
還	xa2	～有
還	xuai2	又音
進	tɕyŋ5	老派
進	tɕiŋ5	新派
遠	ya3	
違	uəi2	
連	lia2	
遲	tɕʰi2	
迫	pʰɛ5	
述	ɕyɛ1	
逕	kaŋ5	～口：地名
迷	mi2	～信
迹	tɕi5	
追	tsuəi1	
退	tʰuəi5	
送	soŋ5	
適	sɿ5	
逃	tau2	
選	ɕya3	
透	tʰɛu5	
遞	ti6	
通	tʰoŋ1	
速	su5	
造	tsʰau6	
逢	foŋ2	
邏	lu2	
逼	pi5	
遇	ȵy6	老派
遇	y6	
遍	pʰia5	
遏	uɛ3	
道	tau6	
遺	i2	
遥	iau2	
遮	tso1	
遵	tsuəŋ1	
避	pi6	
邀	iau1	
邓	tɛŋ6	
那	na2	连词
邦	paŋ1	
邪	tɕʰio2	
郵	iəu2	
鄰	liŋ2	
郊	tɕiau1	
郎	laŋ2	
鄭	tsʰɛŋ6	
部	pu6	
郭	ku5	
郴	tsʰɛŋ1	～州：地名
都	tu1	
鄙	pʰi3	～视
酉	iəu1	
配	pʰuəi5	
酒	tɕiəu3	
酥	su1	
醬	tɕiaŋ5	
酵	ɕiau5	
酷	kʰu5	
酸	sua1	
釀	ȵiaŋ2	甜酒～
醉	tsuəi5	
醋	tsʰu5	
醒	ɕiŋ3	
醮	tɕiau5	～地：扫墓
釋	sɿ5	
里	li1	量词
里	li3	
重	tʰioŋ1	白读，轻～
重	tsʰoŋ6	文读
重	tsʰoŋ2	～复
野	io1	白读
野	io3	文读
量	liaŋ2	
量	liaŋ6	
金	tɕiŋ1	
鑫	ɕiŋ1	
针	tsɛŋ1	
釘	tiŋ1	
釘	tiŋ5	
釘	tiŋ2	又音，～唧
釣	tiau5	
鈣	kai5	
鈔	tsʰau1	
钟	tsoŋ1	
鋼	kaŋ1	
鋼	kaŋ2	又音
欽	tɕʰiŋ1	
鉤	kɛu1	
鉤	kɛu2	又音，～唧
錢	tɕʰia2	
鉗	tɕʰia2	
鉢	puɛ3	～头
鈸	pa3	铙～
鑽	tsua5	
鐵	tʰiɛ3	
鉛	ya2	～笔
銬	kʰau5	
鐃	ȵiau2	老派
鐃	iau2	新派
銅	toŋ2	
鋁	ly3	
铲	tsʰa3	
銃	tsʰoŋ5	
銀	ȵiŋ2	白读
銀	iŋ2	文读，～行
鋪	pʰu1	
鋪	pʰu5	～前：地名
链	lia6	
銷	ɕiau1	
鎖	su3	
鍋	ku1	
鏽	ɕiəu5	
鋒	foŋ1	
銻	tʰi1	
錯	tsʰu5	
鑼	lu2	
錘	ty2	白读，铁～
錘	tsʰuəi2	文读
錦	tɕiŋ3	
鋸	tɕy5	
鍬	tɕʰiau1	
鍛	tua5	
鎮	tsɛŋ5	
鑷	ȵiɛ1	
鏡	tɕiŋ5	
镰	lia2	
長	iaŋ3	白读，～幼：妯娌
長	tiaŋ2	白读，～短
長	tsaŋ3	文读
長	tsʰaŋ2	文读
門	mua2	
閉	pi5	
問	muəŋ5	白读
問	uəŋ6	文读
閏	iŋ5	～年
闲	xa2	
間	ka1	
間	ka5	～隔
悶	muəŋ6	
閘	tsa3	
鬧	nau6	
聞	uəŋ2	
閣	kɛ5	
鬮	kɛu2	
閱	yɛ3	
閻	ia2	
闊	kʰuɛ3	
隊	tuəi5	排～
隊	tuəi6	
阮	ȵya3	姓
防	faŋ2	
陽	iaŋ2	
陰	iŋ1	
陣	tsʰɛŋ6	
階	kai1	
阻	tsu3	
阿	a1	
阿	o1	
陂	pi1	井～：地名
附	fu5	
際	tɕi5	
陸	liəu5	
隴	loŋ3	
陳	tsʰɛŋ2	
陋	lɛu6	
降	kaŋ5	
降	tɕʰiaŋ2	～龙菩萨
限	xa6	
陝	sa3	
院	ya6	
除	tɕʰy2	
險	tɕʰia3	
陪	puəi2	
陷	xa6	
隆	lioŋ2	
隋	tsʰuəi2	
隨	tsʰuəi2	
隱	iŋ3	
隔	kɛ5	
隘	ŋai5	
障	tsaŋ5	
難	na2	
難	na6	灾～
雀	tɕiau5	
雄	ɕioŋ2	
集	tɕʰiɛ1	
雕	tiau1	
雨	y3	
雪	ɕyɛ3	
雪	ɕyɛ2	又音，～白
零	lɛŋ2	
雷	luəi2	
雹	pʰau5	冰～
霧	u6	
需	ɕy1	
震	tsɛŋ3	地～
霉	muəi2	
霜	saŋ1	
露	lu5	
霸	po5	
青	tɕʰiŋ1	
靖	tɕʰiŋ6	
靜	tɕʰiŋ6	
非	fuəi1	
靠	kʰau5	
面	mia5	脸
面	mia6	～灰：面粉
面	miŋ5	又音，～前
革	kɛ5	
靴	tɕʰio1	老派
靴	ɕyɛ1	新派
鞋	xai2	
鞭	pia1	
韓	xua2	白读
韓	xa2	文读
韭	tɕiəu3	
音	iŋ1	
韵	yŋ6	
韶	sau2	～关：地名
頁	iɛ1	
頂	tiŋ3	
項	xaŋ6	
順	suəŋ6	
须	ɕy1	
顧	ku5	
預	y6	
領	liŋ1	白读
領	liŋ3	文读
頸	tɕiŋ3	
潁	yŋ3	
頻	piŋ2	
穎	iŋ3	
題	ti2	
顏	ŋa2	
額	ȵi5	白读，～头
額	ŋɛ5	文读
風	foŋ1	
飄	pʰiau1	
飛	fuəi1	
食	sɿ6	
餐	tsʰa1	
饥	tɕi1	
飯	fa6	
