#漢字	音標	解釋
一	il	
掎	gi	
掏	do	
掐	gyeop	
掑	gi	
排	bae	
掓	suk	
掔	gyeon	
掔	wan	
掕	reung(neung)	
掖	aek	
掗	a	
掘	gul	
掘	gwol	
掘	jol	
掙	jaeng	
掚	ryang(yang)	
掛	gwae	
掜	ye	
掝	hok	
掞	seom	
掞	yeom	
掟	jeong	
掠	ryak(yak)	
採	chae	
探	tam	
掣	che	
掣	cheol	
掤	bung	
接	jeop	
掦	cheok	
控	gong	
控	gang	
推	chu	
推	toe	
掩	eom	
措	jo	
措	chak	
措	chaek	
措	cheok	
掫	chu	
掬	guk	
掭	cheom	
掮	gyeon	
掯	geung	
掰	bae	
掱	su	
揭	ge	
揭	gal	
揭	geol	
擄	ro(no)	
摑	goek	
掵	myeong	
掶	gyeong	
擲	cheok	
撣	tan	
撣	seon	
掹	maeng	
摻	seom	
摻	sam	
摻	cham	
搔	so	
搔	jo	
摜	gwan	
掽	paeng	
掾	yeon	
掾	jeon	
掿	nak	
揀	gan	
揁	jeong	
揂	chu	
揃	jeon	
揄	yu	
揄	yo	
揅	yeon	
揅	hyeong	
揆	gyu	
揇	nam	
揈	hoeng	
揉	yu	
揊	byeok	
揊	cheol	
揋	oe	
揌	si	
揍	ju	
揍	chu	
揎	seon	
描	myo	
提	je	
提	si	
揑	yeol	
揑	nal	
插	sap	
揓	si	
揔	chong	
揕	chim	
揖	eup	
揖	jip	
揖	jeup	
揗	sun	
揘	hwang	
揙	pyeon	
揚	yang	
換	hwan	
揜	eom	
揝	jam	
揞	am	
揟	seo	
揠	al	
握	ak	
握	ok	
揢	gaek	
揣	chwe	
揣	chwi	
揣	chu	
揣	dan	
揤	jeuk	
揥	che	
揦	ral(nal)	
揧	ral(nal)	
揨	jeong	
揩	gae	
揪	chu	
揫	chu	
揬	dol	
揭	ge	
揭	gal	
揭	geol	
揮	hwi	
揮	hon	
揯	geung	
揰	chung	
揱	sak	
揲	seol	
揲	yeop	
揲	jeop	
揳	seol	
援	won	
揵	geon	
揶	ya	
揷	sap	
揸	sa	
揹	bae	
搖	yo	
揻	myeol	
揼	cheon	
攬	ram(nam)	
揾	on	
撳	heum	
攙	cham	
擱	gak	
摟	ru(nu)	
搃	chong	
搄	geung	
攪	gyo	
搆	gu	
搇	geum	
搈	yong	
搉	gak	
搊	chu	
搋	che	
搋	cha	
搋	chae	
搌	jeon	
損	son	
搎	son	
搏	bak	
搐	hyuk	
搐	chuk	
搑	yong	
搑	nang	
搒	bang	
搓	cha	
搔	so	
搔	jo	
搕	gap	
搕	ap	
搖	yo	
搗	do	
搘	ji	
搙	nok	
搚	rap(nap)	
搛	ryeom(yeom)	
搜	su	
搜	so	
搝	gu	
搞	go	
搟	heon	
搟	heun	
搠	sak	
搡	sang	
搢	jin	
搢	jang	
搣	myeol	
搤	aek	
搥	chu	
搥	toe	
搦	nik(ik)	
搧	seon	
搨	tap	
搩	geol	
搩	chaek	
搪	dang	
搫	ban	
搫	pa	
搬	ban	
搭	tap	
搮	ryul(yul)	
搯	do	
搰	gol	
搱	chi	
搲	wa	
搳	hal	
搴	geon	
搵	on	
搶	chang	
搷	jeon	
搸	jin	
搹	gyeok	
携	hyu	
搻	nik(ik)	
搼	gwon	
搽	cha	
搾	chak	
搾	ja	
搿	gyeok	
摀	o	
摁	eun	
攝	seop	
攝	nyeop(yeop)	
攝	sap	
摃	gang	
攝	seop	
攝	nyeop(yeop)	
攝	sap	
攄	teo	
摆	pa	
摇	yo	
擯	bin	
摉	su	
攤	tan	
攤	nan	
摋	sal	
摌	san	
摍	suk	
摎	gyu	
摎	gyo	
摎	ryo(yo)	
摏	yong	
摐	chang	
摑	goek	
摒	byeong	
摓	bong	
摔	sol	
摕	je	
摕	cheok	
摕	tak	
摖	che	
摗	su	
摘	jeok	
摙	ryeon(yeon)	
摚	dang	
摛	ri(i)	
摜	gwan	
摝	rok(nok)	
摞	ra(na)	
摟	ru(nu)	
摠	chong	
摡	gae	
摢	ho	
摣	sa	
摤	chang	
摥	tang	
摦	hwa	
摧	choe	
摧	jwa	
摨	nae	
摩	ma	
摪	jang	
摫	gyu	
摬	yeong	
摭	cheok	
摭	seok	
摮	o	
摯	ji	
摰	eol	
摰	cheol	
摱	man	
摲	cham	
摳	gu	
摴	jeo	
摵	saek	
摶	dan	
摶	jeon	
摷	cho	
摸	mo	
摸	mak	
摹	mo	
摺	jeop	
摺	jeol	
摺	rap(nap)	
摻	seom	
摻	sam	
摻	cham	
摼	gyeong	
摼	gyeon	
摽	pyo	
摾	gang	
摿	eum	
摿	yo	
撀	gu	
撁	gyeon	
撂	ryak(yak)	
擊	gyeok	
攖	yeong	
撅	gwe	
撅	gwol	
撅	ge	
撆	nae	
撆	byeol	
撇	byeol	
撇	nae	
撈	ro(no)	
撉	don	
撊	han	
撋	yeon	
撌	gwi	
撍	jam	
撎	ui	
撏	jam	
撏	seom	
撐	taeng	
撑	taeng	
撒	sal	
撓	nyo(yo)	
撓	hyo	
撓	ho	
撔	hoeng	
撕	seo	
撕	si	
撖	gam	
撖	ham	
撗	gwang	
撗	hoeng	
撘	tap	
撙	jun	
撚	nyeon(yeon)	
撛	rin(in)	
撜	jeung	
撝	hwi	
撝	wi	
撞	dang	
撟	gyo	
撠	geuk	
撡	seom	
撡	jo	
撢	tam	
撢	tan	
撣	tan	
撣	seon	
撤	cheol	
撥	bal	
撦	cha	
撧	jeol	
撨	cho	
撨	so	
撩	ryo(yo)	
撪	bun	
撫	mu	
撬	hyo	
撬	gyo	
播	pa	
撮	chwal	
撯	chak	
撯	jak	
撰	chan	
撰	seon	
撱	ta	
撲	bak	
撲	bok	
撳	heum	
撴	don	
攆	ryeon(yeon)	
撶	hwa	
擷	hil	
擼	ro(no)	
攪	gyo	
攛	chan	
撻	dal	
撼	gam	
撽	gyo	
撾	gwa	
撿	geom	
撿	ryeom(yeom)	
擀	gan	
擁	ong	
擂	roe(noe)	
擃	nang	
擄	ro(no)	
擅	cheon	
擆	chak	
擆	jak	
擇	taek	
擇	yeok	
擈	bak	
擈	bok	
擉	chak	
擊	gyeok	
擋	dang	
擌	saek	
操	jo	
擎	gyeong	
擏	gyeong	
擐	hwan	
擐	gwan	
擐	seon	
擑	jeop	
擒	geum	
擓	hoe	
擔	dam	
擕	hyu	
擖	gal	
擗	byeok	
擘	byeok	
擙	o	
據	geo	
擛	yeop	
㩵	al	
擝	maeng	
擻	su	
擟	mi	
擠	je	
擡	dae	
擢	tak	
擣	do	
擣	ju	
擤	hyeong	
擥	ram(nam)	
擦	chal	
擧	geo	
擨	ya	
擩	yu	
擩	yeon	
擪	yeop	
擫	yeop	
擬	ui	
擭	hwa	
擭	hwak	
擭	hoek	
擮	jeol	
擯	bin	
擰	nyeong(yeong)	
擱	gak	
擲	cheok	
擳	jeul	
擴	hwak	
擴	hwang	
擵	ma	
擶	jeon	
擷	hil	
擸	ryeop(yeop)	
擸	rap(nap)	
擹	tan	
擺	pa	
擺	pae	
擻	su	
擼	ro(no)	
擽	ryeok(yeok)	
擽	ryak(yak)	
擽	rak(nak)	
擾	yo	
擾	u	
擿	jeok	
擿	cheok	
攀	ban	
攁	yang	
攂	roe(noe)	
攃	chal	
攄	teo	
攅	chan	
攆	ryeon(yeon)	
攇	heon	
攈	gun	
攉	hwak	
攊	ryeok(yeok)	
攊	ryak(yak)	
攊	rak(nak)	
攋	ral(nal)	
攌	hwan	
攍	yeong	
攎	ro(no)	
攏	rong(nong)	
攐	geon	
攑	geo	
攢	chan	
攓	geon	
攔	ran(nan)	
攕	seom	
攖	yeong	
攗	mi	
攘	yang	
攘	nyeong(yeong)	
攙	cham	
攚	yeong	
攛	chan	
攜	hyu	
攝	seop	
攝	nyeop(yeop)	
攝	sap	
攞	ra(na)	
攟	gun	
攠	mi	
攡	ri(i)	
攢	chan	
攣	ryeon(yeon)	
攤	tan	
攤	nan	
攥	chwal	
攦	ryeo(yeo)	
攧	jeon	
攨	wa	
攩	dang	
攪	gyo	
攫	hwak	
攫	guk	
攬	ram(nam)	
攭	ra(na)	
攮	nang	
支	ji	
攰	gi	
攱	gwe	
攲	gi	
攳	sim	
攴	bok	
攵	bok	
攵	mun	
收	su	
攷	go	
攸	yu	
改	gae	
攺	i	
攺	gae	
攻	gong	
攼	gan	
攽	ban	
放	bang	
政	jeong	
敀	bak	
敀	gwi	
敁	cheom	
敁	jeom	
敂	gu	
敃	min	
敃	bun	
敄	mu	
敄	mo	
故	go	
敆	gap	
敆	hap	
敇	chaek	
敇	chik	
效	hyo	
敉	mi	
敊	chuk	
敊	su	
敊	si	
敋	gyeok	
敌	hwal	
敌	jeok	
敍	seo	
敎	gyo	
敏	min	
敐	jin	
救	gu	
敒	sin	
敓	tal	
敔	eo	
敕	chik	
敖	o	
敗	pae	
敘	seo	
教	gyo	
敓	tal	
斂	ryeom(yeom)	
敜	nyeop(yeop)	
敝	pye	
敞	chang	
敟	jeon	
敠	cheol	
敡	i	
敢	gam	
散	san	
敤	gwa	
敥	yeom	
敦	don	
敦	toe	
敦	dae	
敦	dan	
敦	jo	
敦	do	
敧	gi	
敨	du	
斆	hyo	
敪	cheol	
敫	gyo	
敬	gyeong	
敭	yang	
敮	hap	
敯	min	
數	su	
數	sak	
數	chok	
敱	ae	
敲	go	
敲	gyo	
敲	hak	
敳	ae	
整	jeong	
敵	jeok	
敵	hwal	
敶	jin	
敷	bu	
數	su	
數	sak	
數	chok	
敹	ryo(yo)	
敺	gu	
敻	hyeong	
敻	hyeon	
敼	hoe	
敽	gyo	
敾	seon	
敿	gyo	
斀	tak	
斁	du	
斁	yeok	
斁	do	
斂	ryeom(yeom)	
斃	pye	
斄	tae	
斄	ri(i)	
斅	hyo	
斆	hyo	
文	mun	
斈	hak	
斈	gyo	
斈	hal	
齊	je	
齊	jae	
齊	ja	
斊	je	
斋	jae	
斋	ja	
斌	bin	
斍	gak	
斍	gyo	
齋	jae	
齋	ja	
斏	ryang(yang)	
斐	bi	
斑	ban	
斒	ban	
斕	ran(nan)	
斔	yu	
斕	ran(nan)	
斖	mi	
斗	du	
斗	tu	
斗	gak	
斘	seung	
料	ryo(yo)	
斚	ga	
斛	gok	
斜	sa	
斜	ya	
斝	ga	
斞	yu	
斟	jim	
斟	chim	
斠	gak	
斡	al	
斡	gan	
斢	ju	
斣	chuk	
斤	geun	
斥	cheok	
斥	tak	
斥	ja	
斦	eun	
斧	bu	
斨	jang	
斬	cham	
斪	gu	
斫	jak	
斬	cham	
斷	dan	
斮	chak	
斯	sa	
新	sin	
斱	jak	
斲	chak	
斳	geun	
斴	rin(in)	
斵	chak	
斶	chok	
斷	dan	
斸	chok	
方	bang	
方	mang	
斺	gae	
斻	hang	
於	eo	
於	o	
施	si	
施	i	
斾	pae	
斿	yu	
旀	myeo	
旁	bang	
旁	paeng	
旂	gi	
旃	jeon	
旄	mo	
旅	ryeo(yeo)	
旆	pae	
旇	pi	
旈	ryu(yu)	
旉	bu	
旊	bang	
旋	seon	
旌	jeong	
旍	jeong	
旎	ni(i)	
族	jok	
族	ju	
旐	jo	
旑	ui	
旒	ryu(yu)	
旓	so	
旔	geon	
旖	ui	
旗	gi	
旘	chi	
旙	beon	
旚	pyo	
旛	beon	
旜	jeon	
旝	goe	
旞	su	
旟	yeo	
无	mu	
旡	gi	
旡	mu	
既	gi	
旣	gi	
旣	hui	
旤	hwa	
日	il	
旦	dan	
舊	gu	
旨	ji	
早	jo	
旪	hyeop	
旫	do	
旬	sun	
旬	gyun	
旭	uk	
旮	uk	
旯	ra(na)	
旰	gan	
旰	han	
旱	han	
旲	dae	
旲	yeong	
旳	jeok	
旴	u	
旵	cham	
時	si	
曠	gwang	
暘	yang	
旹	si	
旺	wang	
旻	min	
旼	min	
旽	don	
旾	chun	
旾	jun	
旿	o	
昀	yun	
昁	pae	
昂	ang	
昃	cheuk	
昄	pan	
昄	ban	
昅	geop	
昆	gon	
昆	hon	
昇	seung	
昈	ho	
昉	bang	
昊	ho	
昋	gye	
昌	chang	
昍	hwon	
明	myeong	
昏	hon	
昏	min	
昐	bun	
昑	geum	
昒	mul	
昒	heul	
易	yeok	
易	i	
昔	seok	
昔	chak	
昕	heun	
昖	yeon	
昗	cheuk	
昘	bang	
昙	yok	
昙	dam	
昚	sin	
昚	jin	
昛	geo	
昜	yang	
昜	i	
昝	jam	
昞	byeong	
星	seong	
映	yeong	
映	ang	
昡	hyeon	
昢	bul	
昣	jin	
昤	ryeong(yeong)	
春	chun	
春	jun	
昦	ho	
昧	mae	
昨	jak	
昩	mal	
昪	byeon	
昫	gu	
昫	hu	
昬	hon	
昬	min	
昭	so	
昭	jo	
昮	jong	
是	si	
昰	ha	
昰	si	
昱	uk	
昲	bi	
昳	jil	
昴	myo	
昵	nil(il)	
昵	nye(ye)	
昵	jik	
昶	chang	
昷	on	
昸	dong	
昹	ae	
昺	byeong	
昻	ang	
晝	ju	
曨	rong(nong)	
顯	hyeon	
昿	gwang	
晀	jo	
晁	jo	
晁	ju	
時	si	
晃	hwang	
晄	hwang	
晅	hwon	
晆	goe	
晇	gwa	
晈	gyo	
晉	jin	
晊	jil	
晉	jin	
晉	jeon	
晌	sang	
晌	hyang	
晍	dong	
晎	hong	
晏	an	
晐	hae	
晑	hyang	
曬	swae	
曉	hyo	
曄	yeop	
暈	hun	
暈	un	
暉	hwi	
晗	ham	
晘	han	
晙	jun	
晚	man	
晛	hyeon	
晛	nyeon(yeon)	
晜	gon	
晝	ju	
晞	hui	
晟	seong	
晠	seong	
晡	po	
晢	jeol	
晢	je	
晣	jeol	
晣	je	
晤	o	
晥	hwan	
晦	hoe	
晧	ho	
晨	sin	
晚	man	
晪	jeon	
晫	tak	
晬	su	
晭	ju	
普	bo	
景	gyeong	
景	yeong	
晰	seok	
晱	seom	
晲	ye	
晳	seok	
晴	cheong	
晵	gye	
晶	jeong	
晷	gwi	
晷	gu	
晸	jeong	
晹	yeok	
晹	yang	
智	ji	
晻	am	
晻	eom	
晼	won	
晽	rim(im)	
晾	ryang(yang)	
晿	chang	
暀	wang	
曉	hyo	
暫	jam	
暃	bi	
暄	hwon	
暅	hwan	
暅	geung	
暆	i	
暇	ga	
暈	hun	
暈	un	
暉	hwi	
暊	bu	
暋	min	
暌	gyu	
暍	gal	
暎	yeong	
暎	ang	
暏	do	
暏	seo	
暐	wi	
暑	seo	
暒	cheong	
暓	mu	
暔	nam	
暕	gan	
暖	nan	
暖	hwon	
暗	am	
暘	yang	
暙	chun	
暚	yo	
暛	cha	
暜	bo	
暝	myeong	
暞	gyo	
暟	gae	
暠	go	
暠	ho	
暡	ong	
暢	chang	
暣	gi	
暤	ho	
暥	an	
曆	ryeok(yeok)	
曖	ae	
暨	gi	
暩	gye	
暪	mun	
暫	jam	
暬	seol	
暭	ho	
暮	mo	
暯	mak	
暰	jong	
暱	nil(il)	
暲	jang	
暳	hye	
暴	pok	
暴	po	
暴	bak	
暵	han	
暶	seon	
暷	jeon	
暸	ryo(yo)	
暹	seom	
暺	tan	
暻	gyeong	
暻	yeong	
暼	byeol	
暽	rin(in)	
暾	don	
暿	hui	
曀	e	
曀	ye	
暨	gi	
暨	geul	
曂	hwang	
曃	tae	
曄	yeop	
曅	yeop	
曆	ryeok(yeok)	
曇	dam	
曈	dong	
曉	hyo	
曊	bi	
曋	dam	
曌	jo	
曍	ho	
曎	yeok	
曏	hyang	
曏	sang	
曐	seong	
曑	sam	
曒	gyo	
曓	po	
曓	pok	
曓	bak	
曔	gyeong	
曕	yeom	
曖	ae	
曗	yeop	
曘	yu	
曙	seo	
曚	mong	
曛	hun	
曜	yo	
曝	pok	
曝	po	
曝	bak	
曞	ryeo(yeo)	
曟	sin	
曠	gwang	
曡	cheop	
曢	ryo(yo)	
曣	yeon	
曤	hwak	
曥	ryeo(yeo)	
曦	hui	
曧	yung	
曨	rong(nong)	
曩	nang	
曪	ra(na)	
曫	ran(nan)	
曬	swae	
曭	dang	
曮	eom	
曯	chok	
曰	wal	
曱	ap	
曲	gok	
曳	ye	
更	gyeong	
更	gaeng	
曵	ye	
曶	mul	
曶	heul	
曷	gal	
書	seo	
曹	jo	
曺	jo	
曻	cheon	
曼	man	
曾	jeung	
曾	jeung	
替	che	
替	cham	
最	choe	
朁	cham	
朁	che	
朂	ryeok(yeok)	
朂	uk	
會	hoe	
朄	in	
朅	geol	
朅	heul	
朆	mul	
朇	bi	
月	wol	
有	yu	
朊	won	
朋	bung	
朌	ban	
朌	bun	
服	bok	
朎	ryeong(yeong)	
朏	bi	
朐	gu	
朑	se	
朒	nyuk(yuk)	
朓	jo	
朔	sak	
朕	jim	
朖	rang(nang)	
朗	rang(nang)	
朘	jeon	
朘	seon	
朘	choe	
朙	myeong	
朚	hwang	
望	mang	
朜	don	
朝	jo	
朝	ju	
朞	gi	
期	gi	
朠	yeong	
朡	jong	
朢	mang	
朣	dong	
朤	rang(nang)	
朥	ro(no)	
朦	mong	
朧	rong(nong)	
木	mok	
朩	bin	
未	mi	
末	mal	
本	bon	
札	chal	
朮	chul	
术	chul	
术	sul	
朰	mol	
朱	ju	
朲	in	
朳	pal	
朴	bak	
朴	bok	
朴	bu	
朵	ta	
朶	ta	
朷	do	
朷	mok	
朷	cho	
朸	ryeok(yeok)	
朹	gu	
机	gwe	
机	gi	
机	ye	
朻	gyu	
朼	bi	
朽	hu	
朾	jeong	
朿	ja	
朿	sok	
殺	sal	
殺	seol	
殺	swae	
殺	si	
杁	ip	
雜	jap	
雜	ta	
權	gwon	
杄	cheon	
杅	u	
杆	gan	
杇	o	
杈	cha	
杉	sam	
杊	sun	
杋	beom	
杌	ol	
杍	ja	
杍	jae	
李	ri(i)	
杏	haeng	
材	jae	
村	chon	
杒	in	
杒	i	
杓	pyo	
杓	jak	
杔	tak	
杔	cheok	
杕	che	
杕	ta	
杖	jang	
杗	mang	
杘	chi	
杙	ik	
杚	gol	
杛	gung	
杜	du	
杝	i	
杝	chi	
杞	gi	
杞	si	
束	sok	
杠	gang	
杠	gong	
條	jo	
杢	mok	
杣	san	
杤	hoe	
來	rae(nae)	
杦	gu	
杧	mang	
楊	yang	
榪	ma	
杪	cho	
杫	ji	
杫	sa	
杬	won	
杬	wan	
杭	hang	
杮	pye	
杮	si	
杯	bae	
杰	geol	
東	dong	
杲	go	
杲	ho	
杳	myo	
杳	yo	
杴	heom	
杵	jeo	
杵	cheo	
杶	chun	
杷	pa	
杸	su	
杸	toe	
杹	hwa	
杺	sim	
杻	nyu(yu)	
杻	chu	
杼	jeo	
杼	seo	
杽	su	
杽	chu	
松	song	
松	jong	
板	pan	
枀	song	
极	geop	
极	geuk	
枂	wol	
枃	jin	
構	gu	
枅	gye	
枆	mo	
枆	mu	
枇	bi	
枈	bi	
枉	wang	
枉	gwang	
枊	ang	
枋	bang	
枋	byeong	
枌	bun	
枍	ye	
枎	bu	
枏	nam	
枏	yeom	
析	seok	
析	sa	
枑	ho	
枒	ya	
枒	a	
枓	du	
枓	ju	
枔	sim	
枕	chim	
枖	yo	
林	rim(im)	
枘	ye	
枘	non	
枙	wa	
枙	aek	
枚	mae	
枛	jo	
果	gwa	
果	gwan	
枝	ji	
枝	gi	
樅	jong	
枟	un	
枠	hwa	
枡	seung	
樞	chu	
樞	u	
棗	jo	
枤	gyeon	
枤	che	
枤	ta	
櫪	ryeok(yeok)	
枦	ho	
枦	ro(no)	
梘	gyeon	
梘	gan	
梘	to	
棖	jeong	
棖	jang	
枩	song	
槍	chang	
槍	chu	
楓	pung	
枬	dan	
梟	hyo	
梟	gyo	
枮	chim	
枯	go	
枰	pyeong	
枱	i	
枱	sa	
枱	dae	
枲	si	
枲	sa	
枳	ji	
枳	gi	
枴	gwae	
枵	hyo	
架	ga	
枷	ga	
枸	gu	
枹	po	
枹	bu	
枺	mal	
枻	seol	
枻	ye	
枼	yeop	
枽	yeop	
枽	sang	
枾	si	
枿	eol	
柀	pi	
柁	ta	
柂	i	
柂	ri(i)	
柂	ta	
柃	ryeong(yeong)	
柄	byeong	
柅	ni(i)	
柆	rap(nap)	
柇	hwa	
柈	ban	
柉	beom	
柊	jong	
柋	dae	
柌	sa	
柍	yeong	
柍	ang	
柎	bu	
柏	baek	
某	mo	
某	mae	
柑	gam	
柑	gyeom	
柒	chil	
柒	cheol	
染	yeom	
柔	yu	
柕	mu	
柖	so	
柗	song	
柘	ja	
柙	hap	
柙	gap	
柚	yu	
柚	chuk	
柛	sin	
柜	geo	
柜	gwe	
柝	tak	
柝	seok	
柝	sa	
柞	jak	
柞	chaek	
柞	sa	
柟	nam	
柠	jeo	
柠	nyeong(yeong)	
柡	yeong	
柢	jeo	
柣	jil	
柤	sa	
柤	jo	
查	sa	
柦	dan	
柧	go	
柨	po	
柩	gu	
柪	yo	
柫	bul	
柬	gan	
柭	bal	
柮	dol	
柯	ga	
柰	nae	
柰	na	
柱	ju	
柲	bi	
柳	ryu(yu)	
柴	si	
柴	chae	
柴	chi	
柴	ja	
柵	chaek	
柶	sa	
柷	chuk	
柸	bae	
柹	si	
柺	gwae	
查	sa	
柼	yo	
柽	jeong	
柾	jeong	
柾	gu	
柿	si	
柿	pye	
梔	chi	
栁	ryu(yu)	
栂	mo	
栃	hoe	
榮	yeong	
柵	chaek	
栆	jo	
標	pyo	
棧	jan	
棧	jin	
櫛	jeul	
櫳	rong(nong)	
棟	dong	
櫨	ro(no)	
栍	saeng	
櫟	ryeok(yeok)	
櫟	ro(no)	
櫟	yak	
櫟	jo	
欄	ran(nan)	
欄	ryeon(yeon)	
栐	yeong	
樹	su	
栒	sun	
栓	jeon	
栔	gye	
栕	jeong	
栖	seo	
栗	ryul(yul)	
栗	ryeol(yeol)	
栘	che	
栘	i	
栙	hang	
栙	gang	
栚	jim	
栛	ryeo(yeo)	
栜	saek	
栝	gwal	
栝	cheom	
栞	gan	
栟	byeong	
栠	im	
校	gyo	
栢	baek	
栣	im	
栤	pung	
栥	ja	
栦	su	
栦	gwon	
栧	seol	
栧	ye	
栨	cha	
栩	heo	
株	ju	
栫	cheon	
栬	je	
栭	i	
栮	i	
栯	uk	
栯	yu	
栰	beol	
栱	gong	
栲	go	
栳	ro(no)	
栴	jeon	
栵	ryeol(yeol)	
栶	haek	
栶	in	
样	yang	
核	haek	
核	hae	
根	geun	
栺	ji	
栻	sik	
格	gyeok	
格	gak	
格	rak(nak)	
格	hak	
栽	jae	
欒	ran(nan)	
栿	bok	
桀	geol	
桁	hang	
桁	hyeong	
桂	gye	
桃	do	
桄	gwang	
桅	oe	
桅	goe	
框	gwang	
桇	yeo	
案	an	
桉	an	
桊	gwon	
桋	i	
桌	tak	
桍	go	
桎	jil	
桏	gong	
桐	dong	
桑	sang	
桒	sang	
桓	hwan	
桔	gil	
桕	gu	
桖	hyeol	
桗	ta	
桘	toe	
桙	u	
桙	mo	
桚	chal	
桛	sang	
櫻	aeng	
桝	seung	
桞	seok	
桞	ryu(yu)	
棧	jan	
椏	a	
橈	nyo(yo)	
楨	jeong	
檔	dang	
榿	gi	
橋	gyo	
橋	go	
樺	hwa	
檜	hoe	
槳	jang	
樁	jang	
樁	yong	
樳	sim	
桫	sa	
桬	sa	
桭	jin	
桮	bae	
桯	jeong	
桰	gwal	
桱	gyeong	
桲	bal	
桳	bun	
桴	bu	
桵	yu	
桶	tong	
桶	yong	
桷	gak	
桸	hui	
桹	rang(nang)	
桺	ryu(yu)	
桻	bong	
桼	chil	
桽	on	
桾	gun	
桿	gan	
桿	han	
梀	sok	
梀	chok	
梀	saek	
梁	ryang(yang)	
梂	gu	
梃	jeong	
梄	yu	
梅	mae	
梆	bang	
梇	rong(nong)	
梈	paeng	
梉	jang	
梊	je	
梋	hyeon	
梋	seon	
梌	do	
梍	jo	
梎	yo	
梏	gok	
梏	gak	
梐	pye	
梑	jeok	
梒	ham	
梓	jae	
梓	ja	
梔	chi	
梕	in	
梖	pae	
梗	gyeong	
梘	gyeon	
梘	gan	
梘	to	
梙	hwan	
梚	man	
梛	na	
梜	hyeop	
條	jo	
梞	gi	
梟	hyo	
梟	gyo	
梠	ryeo(yeo)	
梡	wan	
梡	gwan	
梡	hwan	
梢	cho	
梢	so	
梣	sim	
梣	chim	
梤	bun	
梥	song	
夢	mong	
梧	o	
梧	eo	
梨	ri(i)	
梩	ri(i)	
梪	du	
梫	chim	
梬	yeong	
梭	sa	
梭	jun	
梮	guk	
梯	je	
械	gye	
梱	gon	
梲	tal	
梲	jeol	
梲	ye	
梳	so	
梴	cheon	
梵	beom	
梶	mi	
梷	jeong	
梸	ri(i)	
梹	bin	
梺	rok(nok)	
梻	bul	
檮	do	
梽	ji	
棶	rae(nae)	
槤	ryeon(yeon)	
檢	geom	
梲	jeol	
梲	tal	
梲	ye	
欞	ryeong(yeong)	
棃	ri(i)	
棄	gi	
棅	byeong	
棆	ryun(yun)	
棇	chong	
棈	cheon	
棉	myeon	
棊	gi	
棋	gi	
棌	chae	
棍	gon	
棍	hon	
棎	seom	
棏	deuk	
棏	jeok	
棐	bi	
棑	pae	
棒	bong	
棓	bu	
棓	bong	
棓	bang	
棔	hon	
棕	jong	
棖	jeong	
棖	jang	
棗	jo	
棘	geuk	
棙	ryeo(yeo)	
棚	bung	
棛	yuk	
棜	eo	
棝	go	
棞	gon	
棟	dong	
棠	dang	
棡	gang	
棢	mang	
棣	che	
棣	tae	
棤	seok	
棥	beon	
棦	jaeng	
棧	jan	
棧	jin	
棨	gye	
棩	yeon	
棪	yeom	
棫	yeok	
棬	gwon	
棭	yeok	
森	sam	
棯	im	
棰	chu	
棱	reung(neung)	
棲	seo	
棳	jeol	
棴	bok	
棵	gwa	
棵	gwan	
棵	gwae	
棵	wan	
棵	hwan	
棶	rae(nae)	
棷	chu	
棸	chu	
棹	do	
棹	tak	
棺	gwan	
棻	bun	
棼	bun	
棽	rim(im)	
棽	chim	
棾	gyeong	
棿	ye	
椀	wan	
椁	gwak	
椂	rok(nok)	
椃	ho	
椄	jeop	
椅	ui	
椆	ju	
椇	gu	
椈	guk	
椉	seung	
椊	jol	
椊	chwi	
椋	ryang(yang)	
椌	gang	
植	sik	
植	chi	
椎	chu	
椏	a	
椐	geo	
椑	bi	
椑	byeok	
椒	cho	
椓	tak	
椔	chi	
椕	bin	
椖	bung	
椗	jeong	
椘	cho	
椙	chang	
椚	reuk(neuk)	
椛	hwa	
檢	geom	
槼	gyu	
椞	sip	
櫝	dok	
槧	cham	
槧	cheom	
椡	do	
槶	gwi	
槶	goe	
椣	jeon	
欏	ra(na)	
椥	ji	
椦	gwon	
椧	myeong	
椨	bu	
椩	gyeong	
椪	byeong	
樿	jeon	
樿	seon	
椬	ui	
橢	ta	
橢	wa	
槮	sam	
椯	ta	
椰	ya	
椱	bok	
椱	bu	
椲	hwi	
椳	oe	
椴	dan	
椵	ga	
椶	jong	
椷	gam	
椷	ham	
椸	i	
椹	chim	
椹	sim	
椺	bo	
椺	gyeok	
椻	eon	
椼	yeon	
椽	yeon	
椾	jeon	
椿	chun	
楀	u	
楁	gyeok	
楂	sa	
楃	ak	
楄	pyeon	
楅	bok	
楆	yo	
楇	hwa	
楇	gwa	
楈	seo	
楉	yak	
楊	yang	
楋	ral(nal)	
楌	an	
楍	bon	
楎	hwi	
楎	hon	
楏	gyu	
楐	gye	
楑	gyu	
楒	sa	
楓	pung	
楔	seol	
楕	ta	
楖	jeul	
楗	geon	
楘	mok	
楙	mu	
楚	cho	
楛	go	
楛	ho	
楜	ho	
楝	ryeon(yeon)	
楞	reung(neung)	
楟	jeong	
楠	nam	
楡	yu	
楢	yu	
楣	mi	
楤	song	
楤	chong	
楥	won	
楦	hwon	
楦	won	
楧	yeong	
楨	jeong	
楩	pyeon	
楪	jeop	
楪	yeop	
楪	seop	
楫	jeup	
楫	jip	
楬	gal	
