#漢字	音標	解釋
㐄	cʰᴀ2	跨
奚	ɕi1	姓氏
奠	d̥iɛ̃4	
奢	sɛ1	
奤	çᴀ3	即“傻”
奤	tʰɐɛ1	说话做事不动脑子，言行鲁莽
奧	ɲᶡᴀɔ4	
奩	nᵈiɛ̃2	
奪	d̥ɔ2	
女	nᵈi3	
奴	l̃ʋ2	
奶	mᵇi1	乳房
奶	l̃ɐɛ1	～～，旧时被晚辈以此称呼祖母的，一般身份为妾；乳房
奶	l̃ɐɛ2	姑～，对女儿或女友的爱称
奶	l̃ɐɛ3	
她	tʰᴀ1	文读
她	l̃ᴀ1	白读
好	çᴀɔ3	
好	çᴀɔ4	
如	zʋ2	
如	jʱu2	譬～
妃	fɘi1	
妍	nᵈiɛ̃1	
妎	çɐɛ4	
妓	tɕi4	
妖	jʱᴀɔ1	
妙	mᵇiᴀɔ4	
妤	jʱi3	
妥	tʰɔ3	
妬	d̥ʋ4	
妮	nᵈi2	
妯	tsʋ2	
妲	d̥ᴀ2	
妹	mᵇi1	白读
妹	mᵇɘi4	文读
妻	tɕʰi1	
妾	tɕʰiɛ2	
姆	mᵇʋ3	
姊	tsɿᵊ3	
始	sɿᵊ3	
姐	tɕiɛ3	
姑	ɟ̊ʋ1	
姒	sɿᵊ4	
委	wʱɘi3	
姚	jʱᴀɔ2	
姣	tɕiᴀɔ1	
姥	mᵇʋ3	文读
姥	l̃ᴀɔ3	白读
姦	tɕiɛ̃1	
姨	jʱi2	
姪	tsɿᵊ2	
姬	tɕi1	
姿	tsɿᵊ1	
威	wʱɘi1	
娃	wʱᴀ2	
娌	nᵈi3	
娑	sᴀ1	婆～
娛	jʱi2	
娜	l̃ᴀ1	
娟	tɕiɛ̃1	
娥	ɣɔ2	
娶	tɕʰi3	
婀	ᴀ1	
婁	l̃ɘu2	
婆	b̥ᴀ1	～娑
婆	pʰɔ2	
婆	pʰᴀɔ2	～烦；搞～完
婊	b̥iᴀɔ3	
婗	nᵈi2	
婢	b̥ɘi4	
婦	fʋ4	
婪	l̃ɐ̃2	
婪	l̃ɐ̃3	贪～
婿	ɕi4	
媎	tɕiɛ3	
媒	mᵇɘi2	
媘	ɟ̊ɐɛ1	
媚	mᵇɘi4	
媛	jʱɛ̃2	
媧	wʱᴀ1	
媲	pʰi3	
媳	ɕi2	
媽	mᵇᴀ1	
媾	ɟ̊iɘu4	
嫁	tɕiᴀ4	
嫂	sᴀɔ3	
嫉	tɕi4	
嫌	ɕiɛ̃2	
嫐	nᵈiᴀ1	黏人
嫐	zᴀɔ3	
嫑	b̥iᴀɔ4	“不要”的合音
嫖	pʰiᴀɔ2	
嫡	d̥i2	
嫪	l̃ᴀɔ4	
嬈	zᴀɔ2	
嬉	ɕi1	
嬌	tɕiᴀɔ1	
嬲	d̥iᴀɔ3	白读
嬲	tʰiᴀɔ3	～戏
嬲	nᵈiᴀɔ3	文读
子	tsɿᵊ3	
字	tsɿᵊ4	
孚	fʋ1	
孜	tsɿᵊ1	
孝	ɕiᴀɔ4	
孢	b̥ᴀɔ1	
季	tɕi1	四～豆
季	tɕi4	
孤	ɟ̊ʋ1	
孩	çɐɛ2	
孬	pʰiɛ4	
孬	jʱᴀɔ1	
孱	tsʰɐ̃4	
學	ɕiɔ2	
孹	pʰi2	
孺	zʋ3	
孽	nᵈiɛ2	
它	tʰᴀ1	文读
它	l̃ᴀ1	白读
宅	tsɛ2	～吉
宅	tsʰɛ2	
宇	jʱi3	
守	sɘu3	
安	ɲᶡɐ̃1	
完	jʱɛ̃2	～范
宙	tsɘu4	
宜	nᵈi2	
宜	nᵈi4	便～，指方便
客	cʰɛ2	
宣	ɕiɛ̃1	
室	sɿᵊ2	
宰	tsɐɛ3	
害	çɐɛ1	～怕
害	çɐɛ4	
宴	jʱɛ̃4	
宵	ɕiᴀɔ1	
家	ɟ̊ᴀ1	推粑粑，请～～。～～指外婆，仅在童谣里出现。
家	nᵈiᴀ1	“人家”合音；“你家”合音
家	tɕiᴀ1	
宿	ɕi̹u2	
宿	ɕiɘu4	星～
寀	tsʰɐɛ3	
寂	tɕi2	
密	mᵇi2	
寇	cʰiɘu4	
富	fʋ4	
寐	mᵇɘi4	
寒	çɐ̃2	
寓	jʱi4	
寞	mᵇɔ2	
察	tsʰᴀ2	
寡	ɟ̊uᴀ3	
實	sɿᵊ2	
寨	tsɐɛ4	
寫	ɕiɛ3	
寮	l̃ᴀɔ2	老挝
寮	nᵈiᴀɔ2	
寶	b̥ᴀɔ3	
寺	sɿᵊ4	
射	sɛ4	
尅	cʰɛ1	老～
尉	jʱi4	姓氏
尉	wʱɘi4	
對	d̥uɘi4	文读
對	d̥ɘu4	白读，即“斗”
導	d̥ᴀɔ4	
小	ɕiᴀɔ3	
少	sᴀɔ3	
少	sᴀɔ4	
尖	tɕiɛ̃1	
尛	mᵇɔ2	
尤	jʱu2	蚩～
尤	jʱɘu2	
尬	ɟ̊ᴀ3	
就	d̥ɘu4	白读
就	tɕiɘu4	文读
尷	ɟ̊ɐ̃1	
尸	sɿᵊ1	
尺	tsʰɿᵊ2	
尻	cʰᴀɔ1	
尼	nᵈi2	
尾	wʱɘi3	
尿	sʮ1	催尿声
尿	ɕi1	～～，指小便
尿	suɘi1	～脬眼，指眼睛脬肿不堪；淌猫～，对轻易哭泣的嘲讽
尿	nᵈiᴀɔ4	
局	tɕi̹u2	
屁	pʰi4	
屄	pʰi1	
居	tɕi1	
屆	ɟ̊ɐɛ4	
屈	cʰʋ1	矮～～
屈	tɕʰi̹u2	
屋	vʋ1	祧～，即堂屋
屋	vʋ2	
屌	d̥iᴀɔ3	
屌	nᵈiᴀɔ3	憨屄入～
屍	sɿᵊ1	
屎	sɿᵊ3	
屐	tɕi2	
屑	ɕiɛ2	
屑	ɕiᴀɔ1	“需要”合音：何～，即何必；不～，即没必要
展	tsɐ̃3	
屙	ɣɔ1	
屠	tʰʋ2	
屢	l̃uɘi3	
履	nᵈi3	
屬	sʋ2	
山	sᴀ1	～药
山	sɐ̃1	
屹	jʱi2	
豈	tɕʰi3	
岔	tsʰᴀ4	
岜	b̥iᴀ	～沙族，一个苗族部落
岣	ɟ̊iɘu3	
岥	pʰɔ1	
岩	ɲᶡɐɛ2	
岯	pʰɘi1	
岳	jʱɔ2	
岸	ɲᶡɐ̃4	
峨	ɣɔ2	
島	d̥ᴀɔ3	
峽	çᴀ2	麻～，即今麻江
峽	ɕiᴀ2	
崔	tsʰuɘi1	
崖	ɲᶡɐɛ2	
崛	tɕʰi̹u2	
崴	wʱɐɛ3	
崽	tsɐɛ2	～哦，语气词，相当于“天哪”
崽	tsɐɛ3	
嵌	cʰᴀ1	白读
嵌	cʰɐ̃1	文读
嵌	tɕʰiɛ̃4	倒～，即倒刺
嶁	l̃ɘu3	
嶄	tsɐ̃3	
嶲	suɘi3	
嶽	jʱɔ2	
巂	ɕi1	
巋	cʰuɘi1	
巍	wʱɘi1	
巍	wʱɘi3	～然；～峨
巔	d̥iɛ̃1	
州	tsɘu1	
巢	tsʰᴀɔ2	
左	tsɔ3	
巧	tɕʰiᴀɔ3	
巨	tɕi4	
巫	vʋ1	
差	tsʰɿᵊ1	参～
差	tsʰᴀ1	
差	tsʰɐɛ1	出～
己	tɕi2	妲～
己	tɕi3	
已	jʱi3	
巳	tsɿᵊ4	
巴	b̥ᴀ1	
巴	pʰᴀ1	下～；哈～狗
市	sɿᵊ4	
布	b̥ʋ4	
帆	fɐ̃2	
希	ɕi1	
帔	pʰɘi1	
帕	pʰᴀ4	
帖	tʰiɛ2	
帚	tsɘu3	
帛	b̥ɛ2	
帝	d̥i4	
帥	suɐɛ4	
師	sɿᵊ1	
席	ɕi2	
帶	d̥ɐɛ4	
帷	wʱɘi2	
帽	mᵇᴀɔ4	
幅	fʋ2	
幔	mᵇɐ̃4	
幕	mᵇʋ4	
幟	tsɿᵊ3	
幡	fɐ̃1	
幣	b̥i4	文读
幣	b̥ɘi4	白读
干	ɟ̊ɐ̃1	
年	nᵈiɛ̃2	
幹	ɟ̊ɐ̃4	
幺	jʱᴀɔ1	
幼	jʱɘu4	
幽	jʱɘu1	
幾	tɕi1	
幾	tɕi3	
庇	pʰi3	
庇	pʰi4	～护
序	ɕi4	
底	d̥i1	即“的”
底	d̥i3	
店	d̥iɛ̃4	
府	fʋ3	
度	d̥ʋ4	
度	d̥ɔ2	揣～
座	tsɔ4	
庫	cʰʋ4	
庵	ɲᶡɐ̃1	
庶	sʋ4	
廁	tsʰɛ2	
廄	tɕiɘu4	
廈	ɕiᴀ4	～门
廈	suᴀ3	
廉	nᵈiɛ̃2	
廓	cʰuᴀ2	
廖	nᵈiᴀɔ4	
廚	tsʰʋ2	
廝	sɿᵊ1	
廟	mᵇiᴀɔ4	
廢	fɘi4	
廨	sɐɛ4	
廬	l̃ʋ2	
延	jʱɛ̃2	
建	tɕiɛ̃4	
弊	b̥i4	
弋	jʱi4	
式	sɿᵊ2	～子；各～各样
式	sɿᵊ4	
弔	d̥iᴀɔ4	
弗	fʋ2	
弟	d̥i4	
弦	ɕiɛ̃2	
弱	zɔ2	
弼	pʰi2	
彆	b̥iɛ2	
彈	d̥ɐ̃4	
彈	tʰɐ̃2	
彌	mᵇi2	
彌	mᵇɘi2	～补
彗	çuɘi4	
彙	çuɘi4	
彝	jʱi2	
彥	jʱɛ̃4	
彧	jʱu2	
彩	tsʰɐɛ3	
彪	b̥iᴀɔ1	
役	jʱi2	徭～
役	jʱu2	
彼	pʰi3	
彿	fʋ2	
徂	tsʰʋ2	
待	d̥ɐɛ4	
徊	çuɘi2	
律	nᵈi2	
後	çiɘu4	
徐	ɕi2	
徒	tʰʋ2	
得	d̥ɛ2	
得	d̥iɛ2	没～
徘	pʰɐɛ2	
徙	ɕi3	
復	fʋ2	
微	mᵇi1	小～～点
微	wʱɘi2	
德	d̥ɛ2	
徹	tsʰɛ2	
徹	tɕʰiɛ2	曼～斯特
徽	çuɘi1	
必	b̥i2	
忌	tɕi4	
忑	tʰɛ2	
忒	tʰiɛ2	
志	tsɿᵊ4	
忤	vʋ3	
快	cʰuɐɛ4	
念	nᵈiɛ̃4	
忽	fʋ2	
怒	l̃ʋ4	
怕	pʰᴀ4	
怖	b̥ʋ4	
思	sɿᵊ1	
怠	d̥ɐɛ4	
怡	jʱi2	
怨	jʱɛ̃4	
怪	ɟ̊uɐɛ4	
怭	b̥i2	
怯	tɕʰiɛ2	
怵	tsʰʋ2	
怵	tsʰʋ4	～心，即恶心想吐
恃	sɿᵊ4	
恔	tɕiᴀɔ2	
恕	sʋ4	
恣	tsɿᵊ4	
恤	ɕi2	
恥	tsʰɿᵊ3	
恪	cʰɔ2	
恬	tʰiɛ̃2	
息	ɕi2	
恰	tɕʰiᴀ2	
悄	tɕʰiɔ1	～～眯眯；喑～～；～起，指不吭声
悄	tɕʰiᴀɔ1	
悅	jʱɛ2	
悉	ɕi2	
悌	d̥i4	
悔	çuɘi3	
悖	pʰʋ2	
悟	vʋ3	孙～空
悟	vʋ4	
悠	jʱɘu1	
悲	b̥ɘi1	
悴	tsʰuɘi4	
悼	d̥iᴀɔ4	
惑	çuɛ2	
惑	çuɐɛ2	疑～
惕	tʰi2	
惙	tsuɛ2	
惜	ɕi2	
惟	wʱɘi2	
惠	çuɘi4	
惡	vʋ4	厌～；可～
惡	ɲᶡɔ2	
惡	ɣɔ2	～心
惰	d̥ɔ4	
惱	l̃ᴀɔ3	
惹	zɛ3	
惻	tsʰɛ2	
惼	b̥iɛ̃3	
愁	tsʰɘu2	
愈	jʱi2	
愉	jʱi2	
意	jʱi4	
愚	jʱi2	
愛	ɲᶡɐɛ4	
感	ɟ̊ɐ̃3	
愧	cʰuɘi4	
愫	sʋ4	
愷	cʰɐɛ3	
慈	tsʰɿᵊ2	
態	tʰɐɛ4	
慕	mᵇʋ4	
慘	tsʰɐ̃3	
慚	tsʰɐ̃2	
慢	mᵇɐ̃4	
慧	çuɘi4	
慨	cʰɐɛ4	
慪	ɲᶡiɘu4	
慮	l̃uɘi4	
慰	jʱi4	劳～
慰	wʱɘi4	
慾	jʱu2	
憂	jʱɘu1	
憊	b̥i4	
憋	b̥iɛ1	
憐	nᵈiɛ̃2	
憨	çɐ̃1	
憲	ɕiɛ̃3	～法
憲	ɕiɛ̃4	
憶	jʱi4	
憷	tsʰʋ3	
憾	çɐ̃4	
懈	sɐɛ4	
懊	ɲᶡᴀɔ4	
懋	mᵇɘu4	
懟	d̥uɘi4	
懶	l̃ɐ̃3	
懷	çuɐɛ2	
懷	wʱɐɛ2	很大
懸	ɕiɛ̃2	
懺	tsʰɐ̃4	
懼	tɕi4	
懿	jʱi2	
戀	nᵈiɛ̃4	
戈	ɟ̊ɔ1	
戊	vʋ4	
戌	ɕi̹u2	
戍	sʋ2	
戍	ɕi̹u2	～守
我	ɲᶡɔ3	
戒	ɟ̊ɐɛ4	
或	çuɛ2	
或	çuɐɛ2	～者
戚	tɕʰi2	
戛	ɟ̊ᴀ2	
戟	tɕi2	
截	tɕiɛ2	
截	tɕʰiɛ2	拦～；～断
戮	l̃ʋ3	
戰	tsɐ̃4	
戲	ɕi4	
戳	d̥ɔ2	白读
戳	tsʰɔ2	文读
戴	d̥ɐɛ4	
戶	fʋ4	
戾	tʰi4	
戽	fʋ3	
戾	nᵈi4	
扁	b̥iɛ̃3	
扇	sɐ̃1	
扇	sɐ̃4	
扉	fɘi1	
手	sɘu3	
才	tʰɐɛ2	白读
才	tsʰɐɛ2	文读
扎	tsᴀ2	
扒	b̥ᴀ1	
扒	b̥ᴀ2	～皮
扒	pʰᴀ1	一～拉，指一连串
打	d̥ᴀ2	量词，一打即十二个
打	d̥ᴀ3	白读
托	tʰɔ2	
扚	d̥i2	文读
扚	d̥iᴀ1	白读，指勾或提
扠	tsʰᴀ1	
扣	cʰiɘu1	皮帶～～
扣	cʰiɘu4	
扭	nᵈiɘu3	文读
扭	nᵈiɘu4	白读
扮	b̥ɐ̃4	
扯	tsʰɛ3	
扳	b̥ɐ̃1	
扶	fʋ2	
批	pʰɘi1	
扼	ɲᶡɛ2	
找	tsᴀɔ3	
技	tɕi4	
抄	tsʰᴀɔ1	
抈	jʱɛ1	
把	b̥ᴀ3	
把	b̥ᴀ4	即“欛”，刀～；即“𢺞”，～单；即“耙”，木～
抑	jʱi2	
抓	tsuᴀ1	
抓	tsᴀɔ1	狗刨～
抓	tsᴀɔ3	～袖子，即挽起袖子
抔	pʰɘi3	
投	ɕiɔ3	白读，投篮时的语气词
投	tʰɘu2	
抖	tʰɘu3	
折	tsɛ2	
折	sɛ2	
披	pʰɘi1	
抬	tʰɐɛ1	～乒乓球
抬	tʰɐɛ2	
抱	b̥ᴀɔ4	
抲	cʰᴀ1	
抳	nᵈi1	研磨
抵	d̥i3	
抹	mᵇᴀ2	
抹	mᵇɔ3	
押	jʱᴀ2	
抽	tsʰɘu1	
拆	tsʰɛ2	
拇	mᵇʋ3	
拈	nᵈiɛ̃1	夹菜
拉	l̃ᴀ1	
拉	l̃ᴀ2	鼻涕～脓，指鼻涕喷出鼻孔
拋	pʰᴀɔ1	
拌	b̥ɐ̃4	
拍	pʰɛ2	
拐	ɟ̊uᴀ3	左～～，指左撇子；～走
拐	ɟ̊uɐɛ3	
拒	tɕi4	
拔	b̥ᴀ2	
拖	tʰɔ1	
拗	ɲᶡᴀɔ3	～口
拗	ɲᶡᴀɔ4	撬
拘	tɕi1	
拙	tsʰɔ2	～笨
拙	tsuɛ2	
拙	tsuɐɛ2	笨～
拚	b̥ɐ̃3	～命，指挣扎
招	tsᴀɔ1	
拜	b̥ɐɛ1	～～，再见
拜	b̥ɐɛ4	
括	ɟ̊uᴀ2	
拭	sɿᵊ2	
拮	tɕi2	
拳	tɕʰiɛ̃2	
拷	cʰᴀɔ3	
拸	d̥ɔ4	
拽	tsuɐɛ4	
拾	sɿᵊ2	
拿	l̃ᴀ2	
持	tsʰɿᵊ2	
指	tsɿᵊ2	～头；～甲
指	tsɿᵊ3	
按	ɲᶡɐ̃4	
挍	ɟ̊ᴀɔ4	即“校”
挑	d̥iᴀɔ1	～剔；～拨；～意，即故意；嘴巴～，指挑食
挑	tʰiᴀɔ1	
挓	tsᴀ1	
挖	wʱᴀ1	
撏	tɕʰiɛ̃2	
挨	ɲᶡɐɛ1	～着
挨	ɲᶡɐɛ2	～打
挪	l̃ɔ1	～动
挪	l̃ɔ2	
挫	tsʰɔ3	～折
挫	tsʰɔ4	
挲	sᴀ1	摩挲，即纳西族
挼	zuᴀ2	搓揉
挾	tɕiᴀ2	～持
挾	ɕiᴀ2	
捂	vʋ3	
捉	tsɔ2	
捌	b̥ᴀ2	
捎	sᴀɔ1	
捏	nᵈiɛ2	
捐	tɕiɛ̃1	
捕	b̥ʋ4	文读
捕	pʰʋ3	白读
捛	l̃uɘi3	
捨	sᴀ4	～丢
捨	sɛ3	
捱	ɲᶡɐɛ2	～时间
捲	tɕiɛ̃1	白读
捲	tɕiɛ̃3	文读
捶	tɕʰi2	锤锤～，划拳游戏用语
捶	tsʰuɘi2	
捷	tɕʰiɛ2	
捸	d̥ɐɛ3	即“逮”
捺	l̃ᴀ2	
捽	tsʋ2	抓住不放
捽	tɕʰi̹u2	用力擦拭
掀	ɕiɛ̃1	
掃	sᴀɔ3	
掃	sᴀɔ4	
掇	sɔ1	撺～，指唆使
掇	tsuɛ2	
授	sɘu4	
掉	d̥iᴀɔ4	
掊	b̥ɘu3	
掏	tʰᴀɔ1	
掏	tʰᴀɔ3	～手
掐	cʰᴀ2	白读
掐	tɕʰiᴀ2	文读
排	pʰɐɛ2	
掖	jʱi2	
掘	tɕʰi̹u2	
掛	ɟ̊uᴀ4	
掛	cʰuᴀ3	～裤子
掜	nᵈi2	
掠	nᵈiɔ2	
採	tsʰɐɛ3	
探	tʰɐ̃1	
探	tʰɐ̃4	～花
掣	tsʰɿᵊ4	
接	tɕiɛ2	
推	tʰuɘi1	
掩	jʱɛ̃1	～盖
掩	jʱɛ̃3	
措	tsʰɔ4	
掫	tsʰɘu1	扶
掰	b̥ɐ̃1	
揀	ɟ̊ɐ̃3	白读
揀	tɕiɛ̃3	文读
揉	zɘu2	
揍	tsɘu4	
揎	ɕiɛ̃1	
描	mᵇᴀɔ2	～字帖
描	mᵇiᴀɔ2	
提	tʰi2	
插	tsʰᴀ1	～嘴
插	tsʰᴀ2	
插	tsʰᴀ4	～队
揖	jʱi2	
揙	b̥iɛ̃3	殴打；蹭
握	ɣɔ2	
揢	cʰᴀ1	～拿，指刁难
揣	tsʰuɐɛ1	～荷包；特指小偷小摸
揣	tsʰuɐɛ3	
揩	cʰᴀ1	～油，占便宜
揩	cʰɐɛ1	
揪	nᵈiɘu1	白读
揪	tɕiɘu1	文读
揭	tɕiɛ2	
揮	çuɘi1	
援	jʱɛ̃2	
搉	cʰɔ2	
搊	tsʰɘu1	推
搋	tsʰɐɛ1	
搐	tsʰʋ2	
搓	tsʰɔ1	
搔	sᴀɔ1	
搖	jʱᴀɔ2	
搙	l̃ɔ1	睡～～
搛	nᵈiɛ̃1	
搜	sɘu1	
搞	ɟ̊ᴀɔ3	
搠	d̥ɔ2	即“戳”
搣	mᵇiɛ3	
搤	ɲᶡɛ2	
搧	sɐ̃1	
搬	b̥ɐ̃1	
搭	d̥ᴀ2	
搲	wʱᴀ3	
搳	çᴀ2	用手挠敏感部位导致瘙痒并大笑
搳	çuᴀ2	～拳
搹	ɲᶡɛ2	
摌	tsʰɐ̃3	
摔	suɐɛ1	
摘	tsɛ2	
摛	tsʰɿᵊ1	
摞	l̃ɔ1	一窝～，指一大堆
摞	l̃ɔ4	
摟	l̃ɘu1	向上兜住；过滤
摟	l̃ɘu3	
摩	mᵇɔ1	
摯	tsɿᵊ2	
摯	tsɿᵊ4	
摳	cʰiɘu1	
摳	ɲᶡiɘu1	～心挖肚
摷	tsʰᴀɔ4	掀翻
摸	mᵇɔ1	
摹	mᵇɔ1	
摺	tsɛ2	
摻	tsʰɐ̃1	
撆	pʰiɛ2	
撇	pʰiɛ2	
撈	l̃ᴀɔ1	白读
撈	l̃ᴀɔ2	
撒	sᴀ2	～尿
撒	sᴀ3	
撓	zᴀɔ2	
撕	tsɿᵊ1	白读
撕	sɿᵊ1	文读
撚	nᵈiɛ̃3	
撟	tɕiᴀɔ1	
撣	d̥ɐ̃3	
撣	sɐ̃4	～邦
撤	tsʰɛ2	
撥	b̥ɔ2	
撥	b̥ɔ4	～款
撩	nᵈiᴀɔ2	
撩	nᵈiᴀɔ4	花眉～眼；花屄～嘴
撫	fʋ3	
播	b̥ɔ4	
撮	tsʰɔ2	
撮	tsuɐɛ3	一小～
撲	pʰʋ2	
撼	çɐ̃4	
撾	tsuᴀ2	外～，即外加、连带
撾	ɣɔ1	老～
擂	l̃uɘi2	
擄	l̃ʋ3	
擅	sɐ̃4	
擇	tsʰɛ2	
擊	tɕi2	
操	tsʰᴀɔ1	
操	tsʰᴀɔ4	～蛋
擔	d̥ɐ̃1	
擔	d̥ɐ̃4	
擗	pʰi2	
擘	pʰiᴀ3	白读
擘	pʰiɛ3	文读
據	tɕi4	
擠	tɕi1	衣物尺码过小；强行穿尺码过小的衣物
擠	tɕi3	
擦	tsʰᴀ2	
擩	zʋ1	
擬	nᵈi3	
擱	ɟ̊ɔ2	
擱	cʰɔ1	放下
擱	cʰɔ4	长时间放置
擱	ɟ̊ɛ3	表示“在”
擲	tsɿᵊ2	
擴	cʰuɛ2	
擸	l̃ᴀ2	～𢶍，不修边幅的样子
擺	b̥ɐɛ3	
擾	zᴀɔ3	
攀	pʰɐ̃1	
攆	nᵈiɛ̃3	
攔	l̃ɐ̃2	文读
攝	sɛ2	
攡	tsʰɿᵊ1	
攤	tʰɐ̃1	
攪	tɕiɔ2	王大妈裹～又臭又长，形容说话或行文啰嗦，通“裹脚”
攪	ɟ̊ᴀɔ2	～捞捞，表示吃相邋遢或迫切得到的样子
攪	tɕiᴀɔ2	～屎棒
攪	tɕiᴀɔ3	文读
攫	tɕiɔ2	
攬	l̃ɐ̃3	
支	tsɿᵊ1	
收	sɘu1	
攸	jʱɘu1	
改	ɟ̊ɐɛ3	
故	ɟ̊ʋ4	
效	ɕiᴀɔ4	
救	tɕiɘu4	
敖	ɲᶡᴀɔ2	
敗	b̥ɐɛ4	
敘	ɕi4	
教	tɕiᴀɔ1	～书
教	tɕiᴀɔ4	
敝	pʰiᴀ3	旧～～；黄～～
敝	pʰiɛ4	差劲
敝	b̥ɘi4	
敢	ɟ̊ɐ̃3	
散	sɐ̃3	
散	sɐ̃4	
敥	jʱɛ̃4	撒
敨	tʰɘu3	
敬	ɟ̊iɘu4	姓氏
敲	cʰᴀɔ1	
敵	d̥i2	
敷	fʋ1	
數	sʋ3	
數	sʋ4	
敹	nᵈiᴀɔ1	～自，即故意；縫
斂	nᵈiɛ̃4	
斃	b̥i4	
斐	fɘi1	姓氏
斐	fɘi3	
斑	b̥ɐ̃1	
斗	d̥ɘu3	
料	nᵈiᴀɔ4	
斛	fʋ2	
斜	ɕiᴀ2	～斗门
斜	ɕiɛ2	
斡	ɣɔ2	
斢	tʰiᴀɔ3	
斥	tsʰɿᵊ2	
斧	fʋ3	
斬	tsɐ̃3	
斯	sɿᵊ1	
斷	d̥uɐ̃3	白读，表示拦截
斷	d̥uɐ̃4	文读
於	jʱi2	
施	sɿᵊ1	
旅	nᵈi3	
旋	ɕiɛ̃2	
旋	ɕiɛ̃4	～风；～做，表示现成
旎	nᵈi3	
族	tɕʰi̹u2	
旖	jʱi1	
旗	tɕʰi2	
无	vʋ2	
既	tɕi4	
日	zɿᵊ2	
日	nᵈiᴀ2	～白
日	ɛ4	昨～；今～；明～；后～
旦	d̥ɐ̃4	
旨	tsɿᵊ3	
早	tsᴀɔ3	
旭	ɕi̹u2	
旮	cʰᴀ1	～～角角
旯	l̃ᴀ1	
旱	çɐ̃4	
易	jʱi2	姓氏；表示交换或改变
易	jʱi4	表示简单
昔	ɕi2	
星	ɕiɛ̃1	～宿
昧	mᵇi4	
昨	tsɔ2	
昨	tsʰɔ2	～天
昭	tsᴀɔ1	
是	sɿᵊ4	
昱	jʱi2	
晁	zᴀɔ2	
時	sɿᵊ2	
晏	ɲᶡɐ̃4	迟
晏	jʱɛ̃4	姓氏
晝	tsɘu4	
晦	çuɘi3	
普	pʰʋ3	
晰	ɕi2	
晷	ɟ̊uɘi1	
智	tsɿᵊ4	
暇	ɕiᴀ2	
暑	sʋ3	
暗	ɲᶡɐ̃4	
暨	tɕi4	
暫	tsɐ̃3	白读
暫	tsɐ̃4	文读
暮	mᵇʋ4	
暱	nᵈi2	
暴	b̥ᴀɔ4	
曄	jʱɛ2	
曆	nᵈi2	
曉	ɕiᴀɔ3	
曙	sʋ3	
曝	pʰʋ2	
曦	ɕi1	
曬	sɐɛ4	
曰	jʱɛ2	
曲	tɕʰi̹u2	
曳	jʱi4	
書	sʋ1	
曹	tsʰᴀɔ2	
曼	mᵇɐ̃4	
替	tʰi4	
最	tsuɘi4	
會	cʰuɐɛ4	～计
會	çuɘi4	
朆	mᵇɛ3	即“没得”
月	zʋ2	大～氏
月	jʱɛ2	
有	jʱɘu3	
服	fʋ2	
朒	ɟ̊ᴀ3	
朔	sɔ2	
朝	tsᴀɔ1	
朝	tsʰᴀɔ2	
期	tɕʰi1	
木	mᵇʋ2	
未	mᵇɘi1	即“没”
未	mᵇɘi3	即“没”
未	wʱɘi4	
末	mᵇɔ2	
札	tsᴀ2	
朱	tsʋ1	
朵	d̥ɔ1	耳～
朵	d̥ɔ3	量词
朽	ɕiɘu3	
杆	ɟ̊ɐ̃1	
杉	sᴀ1	
李	nᵈi3	
杞	tɕi2	枸～
杞	tɕʰi3	
束	ɕi̹u2	
杯	b̥ɘi1	
杰	tɕiɛ2	
杳	mᵇiᴀɔ3	
杵	tsʰʋ3	
杷	pʰᴀ1	
杹	çuᴀ4	
板	b̥ɐ̃3	
枇	pʰi2	
析	ɕi2	
枚	mᵇɘi2	
果	ɟ̊ɔ2	毛辣～，即番茄
果	ɟ̊ɔ3	
枝	tsɿᵊ1	
枯	cʰʋ1	
架	tɕiᴀ4	
枷	tɕiᴀ1	
枸	tɕi3	～橼酸
枸	ɟ̊iɘu3	～杞
枼	jʱɛ2	
柏	b̥ɛ2	
某	mᵇʋ3	文读
柑	ɟ̊ɐ̃1	
柒	tɕʰi2	
染	zɐ̃3	
柔	zɘu2	
柚	jʱɘu4	
柜	tɕi4	～柳
查	tsᴀ1	姓氏
查	tsʰᴀ2	
柩	tɕiɘu4	
柬	tɕiɛ̃3	
柯	cʰɔ1	
柱	tsʋ4	
柲	b̥ɘi4	
柳	nᵈiɘu3	
柴	tsʰɐɛ2	
柸	pʰɘi1	
柿	sɿᵊ4	
栗	nᵈi1	毛～
栗	nᵈi2	
校	ɟ̊ᴀɔ4	尝试
校	ɕiᴀɔ4	
栩	ɕi3	
株	tsʋ1	
核	fʋ2	～～，指果核
核	çɛ2	
格	ɟ̊ɛ2	
栽	tsɐɛ1	文读
栽	tsuɐɛ1	白读
桂	ɟ̊uɘi4	
桃	tʰᴀɔ1	核～；樱～；杨～
桃	tʰᴀɔ2	
桅	wʱɘi2	
案	ɲᶡɐ̃4	
桊	tɕiɛ̃4	
桌	tsɔ2	
桔	tɕi2	
桔	tɕi̹u2	～子
桫	sᴀ1	
桮	b̥ɘi1	
桼	tɕʰi2	
桿	ɟ̊ɐ̃3	
梅	mᵇi1	杨～
梅	mᵇɘi2	
梓	tsɿᵊ3	
條	tʰiᴀɔ1	舌～
條	tʰiᴀɔ2	
梠	l̃uɘi3	
梢	sᴀɔ1	
梧	vʋ2	
梨	nᵈi2	
梭	sɔ1	
梯	tʰi1	
械	ɟ̊ɐɛ4	
梳	sʋ1	
