#漢字	音標	解釋
㐴	pʰɐ̞n1	
亄	je7	
亅	t͡ɕy̑ɛ7	
了	nɑ3	白讀1
了	nɜ̟ʊ̯3	白讀2
了	nɔ3	白讀三
了	ni̯ɑʊ̯3	
事	sɹe̠ᶦ5	
二	ɭᵉ5	
亍	t͡sʰwɛ7	
于	jy2	姓氏
互	fv̩5	
五	v̩3	
井	t͡ɕin3	
亙	kɛn5	
些	ɕi1	
亞	jɑ5	
亟	t͡ɕi̯e7	
亡	wɑŋ2	
亢	kʰɑŋ5	
交	t͡ɕi̯ɑʊ̯1	
亥	xɐ̞ɪ̯5	
亦	je7	
亨	xɛn1	
享	ɕi̯ɑŋ3	
京	t͡ɕin1	
亭	tʰin2	
亮	ni̯ɑŋ5	
亳	pɔ7	
人	zɛn2	
亼	t͡ɕi̯e7	
亽	t͡ɕi̯e7	
什	se7	
仁	zɛn2	
仂	nɐ̟7	
仄	t͡sɐ̟7	
仇	t͡sʰɜ̟ʊ̯2	
今	t͡sɛn1	白讀，～天
今	t͡ɕin1	
介	kɐ̞ɪ̯5	
仌	pin1	
仍	zɛn2	
仒	pin1	
仔	t͡sɹe̠ᶦ3	～細
仔	t͡sɐ̞ɪ̯3	又作(崽)
他	tʰɑ1	
仗	t͡sɑŋ5	
付	fv̩5	
仙	ɕi̯ɐ̟n1	
仚	ɕi̯ɐ̟n1	
仛	tɔ7	
仟	t͡ɕʰi̯ɐ̟n1	
仡	n̠ʲi̯e7	
仡	kɐ̟7	～佬族
仢	sɔ7	
代	tɐ̞ɪ̯5	
令	nin5	
以	ji3	
仫	mᵇɔ5	
仯	t͡sʰɑʊ̯5	
仰	n̠ʲi̯ɑŋ3	
仱	t͡ɕʰin1	
仲	t͡sɔŋ5	
仳	pʰi3	形容(小孩等)黏著某人, 不願離開
件	t͡ɕi̯ɐ̟n5	
任	zɛn2	姓氏
任	zɛn5	
份	fɛn5	
仿	fɑŋ3	
企	t͡ɕʰi5	
伆	wɛ7	
伈	ɕin3	
伉	kʰɑŋ5	
伊	ji1	
伋	t͡ɕi̯e7	
伍	v̩3	
伏	fe7	
伐	fɑ7	
休	ɕi̯ɜ̟ʊ̯1	
伢	jɑ2	
伭	ɕy̑ɐ̟n2	形容兒童與成年人間或兒童與兒童間略令人生厭的嬉鬧
伯	pɐ̟7	
估	ku3	
伴	pɐ̞n5	
伶	nin2	
伸	t͡sʰɛn1	白讀
伸	sɛn1	
伺	sɹe̠ᶦ5	
似	sɹe̠ᶦ5	
佃	tʰi̯ɐ̟n2	
佃	ti̯ɐ̟n5	佃農
但	tɐ̞n5	
佈	pu5	
位	wɛ̝ɪ̯5	
低	ti1	
住	t͡sɔ5	白讀動詞，如：在xx〜
住	t͡su5	
佐	t͡sɔ3	
佑	jɜ̟ʊ̯5	
佔	t͡sɐ̞n5	
何	xɔ2	
佖	pi̯e7	
余	jy2	
佚	je7	
佛	fe7	
作	t͡sɔ7	
佞	n̠ʲin5	
佤	wɑ3	
佨	pɑʊ̯1	出格失态
佩	pɛ̝ɪ̯5	
佫	xɔ7	
佬	nɑʊ̯3	
佮	kɔ7	
佯	jɑŋ2	
佰	pɐ̟7	
佳	t͡ɕi̯ɑ1	
佶	t͡ɕi̯e7	
佸	xɔ7	
佾	je7	
使	sɹe̠ᶦ3	
侂	tʰɔ7	
侃	kʰɐ̞n3	
侃	kʰwɐ̞n3	白讀一，表示吹牛.擺白之意
侃	kʰwɑ3	白讀二，如：吹～～
侄	t͡se7	
來	nɐ̞ɪ̯2	
侈	t͡sʰɹe̠ᶦ2	
例	ni5	
侍	sɹe̠ᶦ5	
侐	ɕy̑ɛ7	
侑	jɜ̟ʊ̯5	
侗	tɔŋ5	
侙	t͡sʰe7	
供	t͡ɕi̯ɔŋ1	白讀，如：～他讀書
供	kɔŋ5	
依	ji1	
侮	v̩3	
侯	xɜ̟ʊ̯2	
侵	t͡ɕʰin5	
侶	nwɛ̝ɪ̯3	
侷	t͡ɕy̑ɛ7	
侻	tʰɔ7	
便	pi̯ɐ̟n5	
係	ɕi5	
促	t͡sʰwɛ7	
俄	ŋɔ2	
俊	t͡ɕy̑in5	
俋	je7	
俏	t͡ɕʰi̯ɑʊ̯5	
俗	ɕy̑ɛ7	
俘	fv̩1	
保	pɑʊ̯3	
俞	jy2	
俞	jy5	
俟	sɹe̠ᶦ5	
俠	ɕi̯ɑ7	
信	ɕin5	
俥	t͡sʰɛ̝ɪ̯1	借（錢）
俥	t͡ɕʰi1	最老派白讀表示借（錢）
修	ɕi̯ɜ̟ʊ̯1	
俯	fv̩3	
俱	t͡ɕy5	
俵	pi̯ɑʊ̯5	
俶	t͡sʰwɛ7	
俸	fɔŋ5	
俾	pi3	
倅	t͡swɛ7	
倉	t͡sʰɑŋ1	
個	ke5	白讀
個	kɔ5	
倍	pɛ̝ɪ̯5	
倏	swɛ7	
倐	swɛ7	
們	mᵇɛn1	白讀
們	mᵇɛn2	文讀
倒	tɑʊ̯3	
倒	tɑʊ̯5	
倔	t͡ɕʰy̑ɛ7	
倘	tʰɑŋ3	
候	xɜ̟ʊ̯5	
倜	tʰi̯e7	
借	t͡ɕi5	
倡	t͡sʰɑŋ1	
倦	t͡ɕy̑ɐ̟n5	
倩	t͡ɕʰi̯ɐ̟n5	
倪	n̠ʲi2	
倫	nɛn2	
倬	t͡sɔ7	
倭	ɔ1	
值	t͡se7	
假	t͡ɕi̯ɑ3	
假	t͡ɕi̯ɑ5	
偈	t͡ɕi̯e7	
偉	wɛ̝ɪ̯3	
偏	pʰi̯ɐ̟n1	
偓	ɔ7	
偔	ŋɔ7	
偕	ɕi̯ɐ̞ɪ̯2	
做	t͡su5	
偛	t͡sɑ7	
停	tʰin2	
偝	pɛ̝ɪ̯5	
偞	ɕi̯e7	
偠	jɑʊ̯3	
偤	jɜ̟ʊ̯2	
健	t͡ɕi̯ɐ̟n5	
偪	fe7	
偰	ɕi̯e7	
側	t͡sɐ̟7	老派，如：～邊
側	t͡sʰɐ̟7	
偵	t͡sɛn1	
偶	ŋɜ̟ʊ̯3	
偷	nɜ̟ʊ̯1	白讀
偷	tʰɜ̟ʊ̯1	
僞	wɛ̝ɪ̯5	
僞	wɐ̞ɪ̯3	白讀，如：～貨
傀	kʰwɛ̝ɪ̯3	
傀	kʰwɐ̞ɪ̯3	白讀
傂	t͡sɹe̠ᶦ5	
傄	xwɑ7	
傅	fv̩5	
傈	ni̯e7	
傉	nwɛ7	
傍	pɑŋ5	
傑	t͡ɕi̯e7	
傓	sɐ̞n5	
傕	t͡ɕi̯ɔ7	
傗	t͡sʰwɛ7	
傘	sɐ̞n3	
備	pi5	
傝	tʰɑ7	
傢	t͡ɕi̯ɑ1	
傣	tɐ̞ɪ̯3	
催	t͡sʰwɛ̝ɪ̯1	
傰	pɛn1	
傰	pʰɛn2	
傱	sɔŋ3	
傲	ŋɑʊ̯5	
傳	t͡sʰwɐ̞n2	
傳	t͡swɐ̞n5	
債	t͡sɐ̞ɪ̯5	
傶	t͡swɛ7	
傷	sɑŋ1	
傺	t͡sʰɹe̠ᶦ5	
傻	sɑ3	
傾	t͡ɕʰy̑in1	
僁	ɕi̯e7	
僅	t͡ɕin3	
僇	nwɛ7	
僉	t͡ɕʰi̯ɐ̟n1	
僊	ɕi̯ɐ̟n1	
像	ɕi̯ɑŋ5	
像	t͡ɕʰi̯ɑŋ5	白讀
僕	pʰe7	
僚	ni̯ɑʊ̯2	
僤	tɐ̞n5	
僧	sɛn1	
僭	t͡ɕi̯ɐ̟n5	
僰	pɐ̟7	
僱	ku5	
僳	swɛ7	
僵	t͡ɕi̯ɑŋ1	
價	t͡ɕi̯ɑ5	
僻	pʰi̯e7	
儀	n̠ʲi2	
儃	tʰɐ̞n3	
儃	sɐ̞n2	
億	ji5	
儉	t͡ɕi̯ɐ̟n3	
儋	tɐ̞n1	
儑	ŋɔ7	
儒	zu2	
償	sɑŋ3	賠償
儠	ni̯e7	
儡	nwɛ̝ɪ̯3	
儣	kʰwɑŋ3	
儥	twɛ7	
儥	ɥɛ7	
優	jɜ̟ʊ̯1	
儲	t͡sʰu2	
儵	swɛ7	
儼	n̠ʲi̯ɐ̟n3	
兀	wɛ7	
允	ɥin3	
元	ɥɐ̟n2	
兄	ɕi̯ɔŋ1	
充	t͡sʰɔŋ1	
兆	t͡sɑʊ̯5	
兇	ɕi̯ɔŋ1	
先	ɕy̑ɐ̟n1	白讀，如：我～來
先	ɕi̯ɐ̟n1	
光	kwɑŋ1	
光	kwɑŋ5	～溜溜
兌	twɛ̝ɪ̯5	
免	mᵇi̯ɐ̟n3	
兒	ɭᵉ2	
兔	tʰu5	
兗	ɥɐ̟n3	
兙	se7	
兙	kʰɐ̟7	
兜	tɜ̟ʊ̯1	
兢	t͡ɕin1	
入	ze7	流話
入	zwɛ7	
內	nwɛ̝ɪ̯5	
全	t͡ɕʰy̑ɐ̟n2	
兩	ni̯ɑŋ3	一兩
公	kɔŋ1	
六	nwɛ7	
兮	ɕi1	
共	kɔŋ5	
兵	pin1	
其	t͡ɕʰi2	
具	t͡ɕy5	
典	ti̯ɐ̟n3	
冀	t͡ɕi5	
冉	zɐ̞n3	
冊	t͡sʰɐ̟7	
冋	t͡ɕy̑in1	
再	t͡sɐ̞ɪ̯5	
冒	mᵇɑʊ̯5	
冗	zɔŋ3	
冚	xɑŋ2	～八郎:形容詞,表示所有一切的.
冟	se7	
冠	kwɐ̞n1	
冠	kwɐ̞n5	
冤	ɥɐ̟n1	冤深
冥	mᵇin2	
冪	mᵇi̯e7	
冬	tɔŋ1	
冰	pin1	
冶	ji3	
冷	nɛn3	
冹	fɑ7	
冹	fe7	
冽	ni̯e7	
准	t͡swɛn3	
凊	t͡ɕʰin5	
凌	nin2	
凌	nin5	凌氷
凍	tɔŋ5	
凓	ni̯e7	
凙	tɔ7	
凜	nin3	
凝	n̠ʲin2	
凡	fɐ̞n2	
凩	mᵇe7	
凱	kʰɐ̞ɪ̯3	
凳	tɛn5	
凸	tʰwɛ7	
凹	wɑ5	
出	t͡sʰwɛ7	
函	xɐ̞n2	
刀	tɑʊ̯1	
刁	ti̯ɑʊ̯1	
刃	zɛn3	
分	fɛn1	
切	t͡ɕʰi̯e7	
刈	n̠ʲi5	
刊	kʰɐ̞n1	
刎	wɛn3	
刑	ɕin2	
刖	ɥɛ7	
列	ni̯e7	
刜	fe7	
初	t͡sʰu1	
判	pʰɐ̞n5	
別	pi̯e7	
別	pʰi̯e7	白讀，作動詞
刨	pʰɑʊ̯2	
刨	pɑʊ̯5	
利	ni5	
刪	swɐ̞n1	
刮	kwɑ7	
到	tɑʊ̯5	
制	t͡sɹe̠ᶦ5	
刷	swɑ7	
券	t͡ɕʰy̑ɐ̟n5	
刺	t͡sʰɹe̠ᶦ5	
刻	kʰɐ̟7	
剁	tɔ5	剁，剁碎
剃	tʰi5	
則	t͡sɐ̟7	
削	ɕy̑ɛ7	
剋	kʰɐ̟7	
剌	nɑ7	
前	t͡ɕʰi̯ɐ̟n2	
剎	sɑ7	剎車
剎	t͡sʰɑ7	剎那
剒	t͡sʰɔ7	
剔	tʰi1	白讀，作動詞
剔	tʰi̯e7	
剖	pʰɔ5	白讀，作動詞。如：～魚
剖	pʰɔ3	
剛	kɑŋ1	
剜	wɐ̞n1	
剝	pɔ7	
剟	tɔ7	
剟	t͡swɛ7	
剢	twɛ7	
剦	jɐ̟n1	
剨	xwɛ7	
剩	sɛn5	
剪	t͡ɕi̯ɐ̟n3	
剫	tɔ7	
剭	wɛ7	
剮	kwɑ3	
副	pʰu1	白讀，如：一～牌
副	fv̩5	
割	kɔ7	
剳	t͡sɑ7	
創	t͡sʰwɑŋ1	
創	t͡sʰwɑŋ5	
剹	nwɛ7	
剺	ni2	
剽	pʰi̯ɑʊ̯2	
剿	t͡ɕi̯ɑʊ̯3	
劀	kwɑ7	
劂	t͡ɕy̑ɛ7	
劃	xwɑ5	文讀，如計劃
劃	xwɑ1	動詞，表示用刀～開
劃	xwɑ7	作動詞，如：～龍船，～不著
劄	t͡sɑ7	
劇	t͡ɕy5	
劈	pʰi̯e7	
劉	ni̯ɜ̟ʊ̯2	
劊	kwɐ̞ɪ̯5	
劋	t͡ɕi̯ɑʊ̯3	
劍	t͡ɕi̯ɐ̟n5	
劐	xɔ7	
劕	t͡se7	
力	ni̯e7	
劜	jɑ7	
功	kɔŋ1	
加	t͡ɕi̯ɑ1	
劣	nɐ̟7	最老派
努	nu3	
劫	t͡ɕʰi̯e7	
劬	t͡ɕʰy2	
劮	je7	
劼	t͡ɕi̯e7	
劾	xɐ̟7	
勀	kʰɐ̟7	
勁	t͡ɕin5	
勃	pɔ7	
敕	t͡sʰe7	
勇	jɔŋ3	
勉	mᵇi̯ɐ̟n3	
勐	mᵇɔŋ3	
勒	nɐ̟7	
動	tɔŋ5	
勖	ɕy̑ɛ7	
勗	ɕy̑ɛ7	
勘	kʰɐ̞n1	
務	v̩5	
勛	ɕy̑in1	
勝	sɛn5	
勞	nɑʊ̯2	
勠	nwɛ7	
勢	sɹe̠ᶦ5	
勣	t͡ɕi̯e7	
勤	t͡ɕʰin2	
勵	ni5	
勸	t͡ɕʰy̑ɐ̟n5	
勺	sɔ7	
勻	ɥin2	
勾	kɜ̟ʊ̯1	
勿	wɛ7	
匃	kɔ7	
匆	t͡sʰɔŋ1	
匊	t͡ɕy̑ɛ7	
匌	kɔ7	
匐	fe7	
匒	tɑ7	
匕	pi3	
化	xwɑ5	
北	pɐ̟7	
匙	sɹe̠ᶦ2	
匠	t͡ɕi̯ɑŋ5	
匡	t͡ɕʰi̯ɑŋ1	最老派白讀
匡	kʰwɑŋ1	
匣	ɕi̯ɑ7	
匤	t͡ɕʰy̑ɛ7	
匧	t͡ɕʰi̯e7	
匪	fɛ̝ɪ̯3	
匫	xwɛ7	
匯	xwɛ̝ɪ̯5	
匴	swɐ̞n3	
匵	twɛ7	
匹	pʰi̯e7	
匾	pi̯ɐ̟n3	
匿	n̠ʲi̯e7	
區	t͡ɕʰy1	
區	ŋɜ̟ʊ̯1	
十	se7	
千	t͡ɕʰi̯ɐ̟n1	
卅	sɑ7	
升	sɛn1	
午	v̩3	
卉	xwɛ̝ɪ̯5	
半	pɐ̞n5	
卌	ɕi̯e7	
卑	pɛ̝ɪ̯1	
卒	t͡ɕy̑ɛ7	
卓	t͡sɔ7	
協	ɕi̯e7	
南	nɐ̞n2	
卙	t͡sʰe7	
博	pɔ7	
卜	pʰe7	
卟	pe7	
占	t͡sɐ̞n5	
卡	kʰɑ3	
卦	kwɑ5	
卯	mᵇɑʊ̯3	
印	jin5	
危	wɛ̝ɪ̯2	
即	t͡ɕi̯e7	
卵	nwɐ̞n3	
卷	t͡ɕy̑ɐ̟n5	
卸	ɕi5	
卻	t͡ɕʰi̯ɔ7	
卽	t͡ɕi̯e7	
卿	t͡ɕʰin1	
厀	ɕi̯e7	
厄	ŋɐ̟7	
厇	t͡sɐ̟7	
厓	ŋɐ̞ɪ̯2	
厔	t͡se7	
厘	ni2	
厚	xɜ̟ʊ̯5	
原	ɥɐ̟n2	
厤	ni̯e7	
厥	t͡ɕy̑ɛ7	
厭	jɐ̟n5	
厲	ni5	
厶	sɹe̠ᶦ1	
厶	mᵇɔŋ3	
去	t͡ɕʰi̯e5	白讀
去	t͡ɕʰy5	
參	t͡sʰɐ̞n1	
參	sɛn1	人參
又	jɜ̟ʊ̯5	
叉	t͡sʰɑ1	
及	t͡ɕi̯e7	
友	jɜ̟ʊ̯3	
反	fɐ̞n3	
叒	zɔ7	
叔	swɛ7	
叕	t͡swɛ7	
取	t͡ɕʰy3	
受	sɜ̟ʊ̯5	
叛	pʰɐ̞n5	
叟	sɜ̟ʊ̯3	
叡	zwɛ̝ɪ̯5	
叢	t͡sʰɔŋ2	
口	kʰɜ̟ʊ̯3	
古	ku3	
句	t͡ɕy5	
另	nin5	
叨	tɑʊ̯1	
叩	kʰɜ̟ʊ̯5	
叫	t͡ɕi̯ɑʊ̯5	
召	t͡sɑʊ̯5	
叭	pɑ1	
可	kʰɔ3	
叱	t͡sʰe7	
史	sɹe̠ᶦ3	
右	jɜ̟ʊ̯5	
司	sɹe̠ᶦ1	
叾	twɛ7	
吁	ɕy1	氣喘～～（噓噓）
吃	t͡sʰe7	
各	kɔ7	
合	kɔ7	1.作計量單位，十合=一升2.作動詞表（相處，合攏）之意，如：～不拢。～孽,指打架駡架產生矛盾糾紛不和睦友好。俗字可作（𪝙）
合	xɔ7	
吉	t͡ɕi̯e7	
吊	ti̯ɑʊ̯3	
同	tʰɔŋ2	
名	mᵇin2	
后	xɜ̟ʊ̯5	
吏	ni5	
吐	tʰu3	
向	ɕi̯ɑŋ5	
君	t͡ɕy̑in1	
吝	nin5	
吞	tʰɛn1	
吟	n̠ʲin2	又音
吟	n̠ʲin5	
吠	fɛ̝ɪ̯5	
吡	pi3	
吢	t͡ɕʰin5	
否	fɔŋ3	部分老派口音
否	fɜ̟ʊ̯3	
含	xɐ̞n2	
吭	ŋɑŋ1	白讀，表示高亢的聲音
吳	v̩2	
吵	t͡sʰɑʊ̯3	
吶	nɑ7	
吷	ɕy̑ɛ7	
吸	ɕi̯e7	
吹	t͡sʰwɛ̝ɪ̯1	
吻	wɛn3	
吼	xɜ̟ʊ̯3	
吾	v̩3	
呂	nwɛ̝ɪ̯3	
呆	ŋɐ̞ɪ̯2	
呆	tɐ̞ɪ̯1	文讀
呈	t͡sʰɛn2	
告	kɑʊ̯5	
呝	ŋɐ̟7	
呡	mᵇin3	動詞，表示用嘴略舔
呢	n̠ʲi2	毛呢，呢子
周	t͡sɜ̟ʊ̯1	
呫	tʰi̯e7	
味	wɛ̝ɪ̯5	
呴	xɜ̟ʊ̯1	1.鹽吃多了而得的病2.～巴：哮喘病人
呵	xɔ1	表示欺騙
呷	ɕi̯ɑ7	
呻	t͡sʰɛn1	白讀，如：～喚
呻	sɛn1	
呼	fv̩1	
命	mᵇin5	
呾	tɑ7	
咀	t͡ɕy3	
咀	t͡swɛ̝ɪ̯3	主要用于地名
咄	tɔ7	
咄	twɛ7	
咇	pi̯e7	
咈	fe7	
咋	t͡sɑ7	～䨱，表示反覆提醒，吩咐
和	xɔ2	
和	xɔ5	
咍	xɐ̞ɪ̯1	
咎	t͡ɕi̯ɜ̟ʊ̯5	
咒	t͡sɜ̟ʊ̯5	
咕	ku1	～蝎･
咖	kʰɑ1	
咟	xwɛ7	
咠	t͡ɕʰi̯e7	
咢	ŋɔ7	
咥	t͡sʰe7	
咨	t͡sɹe̠ᶦ1	
咪	mᵇi1	
咬	ŋɑʊ̯3	
咬	n̠ʲi̯ɑʊ̯3	文讀
咭	ɕi̯e7	
咰	sɔ7	
咳	kʰɐ̟7	
咵	kʰwɑ3	
咹	ɔ7	
咽	je7	哽咽
哀	ŋɐ̞ɪ̯1	
品	pʰin3	
哄	xɔŋ3	
哉	t͡sɐ̞ɪ̯1	
哊	ɥɛ7	
員	ɥɐ̟n2	
哥	kɔ1	
哨	sɑʊ̯1	
哪	nɑ3	
哫	t͡ɕy̑ɛ7	
哭	kʰwɛ7	
哱	pʰɔ7	
哲	t͡sɐ̟7	
哳	t͡sɑ7	
哴	nɑŋ2	～吭：吹的樣子。
哴	ni̯ɑŋ5	唴～：因痛苦過度而失聲
哵	pɑ7	
哷	nɐ̟7	
哹	fɜ̟ʊ̯2	
哼	xɛn1	
哽	kɛn3	
哿	kɑ3	白讀表示阻截
哿	kɔ3	
唂	kwɛ7	
唆	sɔ1	
唇	swɛn2	
唈	je7	
唉	ŋɐ̞ɪ̯1	
唉	ŋɐ̞ɪ̯3	
唊	t͡ɕi̯ɑ7	
唐	tʰɑŋ2	
唧	t͡ɕi̯e7	
售	sɜ̟ʊ̯5	
唯	wɛ̝ɪ̯2	
唰	swɑ7	
唱	t͡sʰɑŋ5	
唴	t͡ɕʰi̯ɑŋ5	
唾	tʰɔ5	
啀	ŋɐ̞ɪ̯2	
啃	kʰɛn3	
啄	t͡sɔ7	
啄	t͡swɑ7	白讀1，如：雞～米
啄	twɑ7	白讀2，如：～木鳥
商	sɑŋ1	
啇	ti̯e7	
啎	v̩3	
問	wɛn5	問題
啐	t͡ɕy̑ɛ7	
啑	t͡sɑ7	
啒	kwɛ7	
啖	tɐ̞n5	
啖	tɐ̞ɪ̯3	白讀,表示吃或飲的意思如:～一口水意為喝水。俗字可作(𠯪)
啚	pʰi3	
啜	t͡sʰwɛ7	
啞	jɑ3	
啟	t͡ɕʰi3	
啪	pʰi̯ɑ3	擬聲詞
啵	pɔ1	打～
啻	sɹe̠ᶦ5	
啼	tʰi2	
喀	kʰɐ̟7	
喂	wɛ̝ɪ̯3	
喃	nɐ̞n2	
善	sɐ̞n5	
喅	ɥɛ7	
喆	t͡sɐ̟7	
喇	nɑ3	
喉	xɔŋ2	喉嚨，喉嚨管
喉	xɜ̟ʊ̯2	
喊	xɐ̞n3	
喋	ti̯e7	
喌	t͡swɛ7	
喑	ŋɐ̞n1	
喔	ɔ7	
喘	t͡sʰwɐ̞n3	
喚	xwɐ̞n5	
喜	ɕi3	
喝	xɔ1	白讀
喝	xɔ7	文讀
喝	xɔ1	白讀，如：喝水
喢	sɑ7	
喢	t͡sʰɑ7	
喥	tɔ7	
喦	n̠ʲi̯e7	
喧	ɕy̑ɐ̟n1	
喪	sɑŋ1	
喪	sɑŋ5	
喫	t͡ɕʰi̯e7	
喫	t͡ɕʰi1	白讀，如：～飯
喬	t͡ɕʰi̯ɑʊ̯2	
單	tɐ̞n1	
單	sɐ̞n2	單于
單	sɐ̞n5	作姓氏
喳	t͡sɑ1	
喵	mᵇi̯ɑʊ̯1	
喻	jy5	
喿	t͡sʰɑʊ̯5	
嗃	xɔ7	
嗅	ɕi̯ɜ̟ʊ̯5	
嗆	t͡ɕʰi̯ɑŋ5	
嗇	sɐ̟7	
嗉	su5	
嗋	ɕi̯e7	
嗌	je7	
嗎	mᵇɑ̃1	表疑問
嗑	kʰɔ7	
嗒	tʰɑ7	
嗓	sɑŋ3	
嗕	zwɛ7	
嗗	wɑ7	
嗜	sɹe̠ᶦ5	
嗝	kɐ̟7	
嗟	t͡ɕi1	
嗢	wɑ7	
嗣	sɹe̠ᶦ5	
嗤	t͡sʰɹe̠ᶦ1	
嗦	sɔ7	
嗨	xɐ̞ɪ̯1	
嗼	mᵇɔ7	
嗽	sɜ̟ʊ̯5	
嗿	tʰɐ̞n3	
嘁	t͡sɑ7	
嘆	tʰɐ̞n5	
嘉	t͡ɕi̯ɑ1	
嘍	nɜ̟ʊ̯2	
嘎	kɑ7	鴨叫
嘓	kwɛ7	
嘔	ŋɜ̟ʊ̯3	
嘕	ɕi̯ɐ̟n1	
嘖	t͡sɐ̟7	
嘗	sɑŋ2	
嘛	mᵇɑ2	
嘮	nɑʊ̯2	
嘯	ɕi̯ɑʊ̯5	
嘴	t͡swɛ̝ɪ̯3	
嘹	ni̯ɑʊ̯2	
嘻	xi1	白讀。不敢～～：不敢有絲毫不服或反對的表示
嘻	ɕi1	
噆	t͡sɑ7	
噈	t͡ɕy̑ɛ7	
噊	ɥɛ7	
噎	je7	
噏	ɕi̯e7	
噓	ɕy1	
噝	sɹe̠ᶦ1	
噣	t͡sɔ7	
噣	t͡swɛ7	
噥	nɔŋ1	咕～
噦	jy3	嘔吐
噦	ɥɛ7	文讀
噧	tʰɑ7	
器	t͡ɕʰi5	
噩	ŋɔ7	
噪	t͡sʰɑʊ̯5	
噱	t͡ɕi̯ɔ7	大笑，如：談笑大～
噱	ɕi̯ɔ7	噱頭
噴	fɛn5	白讀，如：打～嚏
噴	pʰɛn1	
嚃	tʰɑ7	
嚄	xwɛ7	
嚇	ɕi̯ɑ7	文讀
嚇	xɑ7	白讀二
嚇	xɐ̟7	
嚗	pɔ7	
嚛	xwɛ7	
嚞	t͡sɐ̟7	
嚥	jɐ̟n1	
嚧	nu2	嘴裏～著糖，表示嘴裏含著糖
嚨	nɔŋ1	白讀，如：喉～
嚨	nɔŋ2	
嚭	pʰi3	
嚳	kʰwɛ7	
嚴	n̠ʲi̯ɐ̟n2	
嚷	zɑŋ3	
嚼	t͡ɕi̯ɔ7	文讀
嚼	t͡ɕi̯ɑʊ̯5	白讀音，作動詞
囁	n̠ʲi̯e7	
囂	ɕi̯ɑʊ̯1	
囃	t͡sʰɑ7	
囈	n̠ʲi5	
囉	nɔ1	
囊	nɑŋ2	
囋	t͡sɑ7	
囐	t͡sɑ7	
囑	t͡swɛ7	
囚	ɕi̯ɜ̟ʊ̯2	最老派
四	sɹe̠ᶦ5	
回	xwɛ̝ɪ̯2	
因	jin1	
囡	nɐ̞n1	
囤	tʰɛn2	
囤	tɛn5	動詞，表示把物品放置在某處
囧	t͡ɕy̑in3	
囪	t͡sʰɔŋ1	
囫	xwɛ7	
困	kʰwɛn5	困難
固	ku5	
囿	jɜ̟ʊ̯5	
囿	ɥɛ7	
圀	kwɛ7	
圇	nɛn2	
圈	t͡ɕʰy̑ɐ̟n1	房～：臥室
圈	t͡ɕy̑ɐ̟n5	
國	kwɛ7	
圍	jy2	老派口語弱化，比如：周圍團轉
圍	wɛ̝ɪ̯2	
園	ɥɐ̟n2	田
圓	ɥɐ̟n2	
圔	jɑ7	
圖	tʰu2	
團	tʰwɐ̞n2	
圛	je7	
圝	nwɐ̞n2	表示講話，說話，咀嚼，或口齒不清的樣子，一說又作（𪢮），（𭈅）或（圞）
圞	nwɐ̞n2	表示講話，說話，咀嚼，或口齒不清的樣子，一說又作（𪢮），（𭈅）或（圝）
土	tʰu3	
圠	jɑ7	
圤	pʰe7	
在	tɐ̞ɪ̯5	白讀
在	t͡sɐ̞ɪ̯5	
圩	ɕy1	嶺南地名中“墟”的俗字
圩	jy2	
圩	wɛ̝ɪ̯2	江淮地名中作此音
圪	kɐ̟7	語言學術語如～頭詞
圪	n̠ʲi̯e7	
圭	kwɛ̝ɪ̯1	
圯	ji2	
地	ti5	
圻	t͡ɕʰi2	
圻	jin2	
圼	n̠ʲi̯e7	
圾	t͡ɕi̯e7	
圿	t͡ɕi̯ɑ7	
址	t͡sɹe̠ᶦ3	
坄	ɥɛ7	
均	t͡ɕy̑in1	
坊	fɑŋ1	牌～
坊	fɑŋ2	作～
坍	tʰɐ̞n1	
坎	kʰɐ̞n3	
坐	t͡sɔ5	
坑	kʰɛn1	
坒	pi̯e7	
坡	pʰɔ1	
坢	pʰɐ̞n3	
坤	kʰwɛn1	
坦	tʰɐ̞n3	
坫	ti̯ɐ̟n5	
坯	pʰɛ̝ɪ̯1	
坰	t͡ɕy̑in1	
坲	fe7	
坳	ŋɑʊ̯5	
坴	nwɛ7	
坹	ɕy̑ɛ7	
坺	fɑ7	
坼	t͡sʰɐ̟7	
垂	t͡sʰwɛ̝ɪ̯2	
垇	ŋɑʊ̯1	
垈	fɑ7	
型	ɕin2	
垎	xɐ̟7	
垐	t͡sʰɹe̠ᶦ2	
垓	kɐ̞ɪ̯1	
垠	jin2	
垢	kɜ̟ʊ̯5	
垣	ɥɐ̟n2	
垤	ti̯e7	
垮	kʰwɑ3	
垶	ɕy̑in1	
垹	pɑŋ1	
垼	ɥɛ7	
埂	kɛn5	
埃	ŋɐ̞ɪ̯1	
埆	t͡ɕʰi̯ɔ7	
埋	mᵇɐ̞ɪ̯2	
城	t͡sʰɛn2	
埒	nɐ̟7	
埓	nɐ̟7	
域	ɥɛ7	
埠	fv̩5	
埡	jɑ1	
埣	swɛ̝ɪ̯5	
埣	swɛ7	
埭	tɐ̞ɪ̯5	
埱	t͡sʰwɛ7	
埴	t͡se7	
執	t͡se7	
培	pʰɛ̝ɪ̯2	
基	t͡ɕi1	
埻	kɔ7	
埻	kwɛ7	
堀	t͡ɕy̑ɛ7	
堂	tʰɑŋ2	
