#漢字	音標	解釋
岐	tɕʰi2	
岑	tsʰən1	
岔	tʂʰa5	三岔路
崗	kaŋ1	
島	tɔ3	
岩	iɛn2	
岭	liŋ3	
岳	yo1	
岳	yɛ5	
岸	ɣan5	
峽	ɕia2	
峯	fəŋ1	
崇	tʂʰoŋ2	
崑	kʰuen1	
崔	tsʰuei1	姓
崖	ia2	山崖
崩	pəŋ1	
嵌	tɕʰiɛn5	
嵩	soŋ1	
川	tʂʰuan1	
州	tʂou1	
巡	ɕyn2	
巢	tʂʰɔ2	
工	koŋ1	
左	tsuo3	
巧	tɕʰiɔ3	
巨	tɕy5	
巩	koŋ3	巩固
巫	u1	
差	tsʰɿ1	参差
差	tʂʰa1	差别，差不多
差	tʂʰɛ1	出差
己	tɕi3	
已	i3	
巳	sɿ5	辰巳
巴	pa2	
巷	ɕiaŋ5	
巾	tɕin1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂuɛ5	
帆	fan1	
師	ʂʅ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰa5	
帖	tʰiɛ2	碑帖，请帖
帘	liɛn2	
帚	tʂou3	
帛	po2	
帝	ti5	
帶	tɛ5	
席	ɕi2	
幫	paŋ1	
常	tʂʰaŋ2	
帽	mɔ5	
幅	fu5	
幔	man5	
幕	mu1	
干	kan1	
干	kan1	干湿
干	kan5	
平	pʰiŋ2	
年	niɛn2	
并	piŋ5	
并	piŋ5	合并
幸	ɕiŋ5	
幺	iɔ1	幺二三
幻	xuan5	
幼	iou5	
幽	iou1	
广	kuaŋ3	
庄	tʂuaŋ1	
慶	tɕʰiŋ5	
庇	pi5	
序	ɕy5	
廬	lu3	茅庐，庐山
庫	kʰu5	
應	iŋ5	应当，应用
應	iŋ5	应对，响应
底	ti3	
店	tiɛn5	
廟	miɔ5	
庚	kəŋ1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	tu5	
座	tʂuo5	
庭	tʰiŋ2	
庵	ɣan1	
庶	ʂu5	
康	kʰaŋ1	
庸	yuŋ1	
廉	liɛn2	
廊	laŋ2	
廓	kʰuo5	
廖	liɔ5	姓
延	iɛn2	
廷	tʰiŋ2	
建	tɕiɛn5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	noŋ5	
弊	pi5	
式	tʂʰʅ5	
弓	koŋ1	
引	in3	
弘	xoŋ2	
弟	ti5	
張	tʂaŋ1	
弥	mi2	
