#漢字	音標	解釋
㝓	kʰap7	用器皿覆蓋、扣住
拱	kəŋ3	
拳	kʰyœn2	
拴	san1	
拵	tsʰun1	～差：差錯，意外
拼	pʰeŋ5	
拾	sip8	
拿	na2	
持	tsʰi2	
挃	tsit7	撓
挃	kit7	
指	tsi3	
按	ɔn5	
挐	na1	
挑	tʰiɛu1	
挖	wat7	
挨	ai1	
挪	nɔ2	
挫	tsʰɔ5	
挭	kaŋ5	
振	tsin3	
挺	tʰeŋ3	
挽	wan3	
捅	tʰəŋ3	
捆	kʰun3	
捉	tsɔk7	
捉	tsək7	
捋	lɔt7	掉
捋	lɔt8	
捎	sau1	
捏	niɛp7	
捐	kyœn1	
捕	pu3	
捧	pəŋ3	
捧	pʰəŋ3	
捩	lit7	轉，轉動
捱	ŋai2	
捲	kyœn3	
捶	tsʰui2	
捽	tsut7	手摩擦；塗、搽
掂	tiɛm1	提，拿
掂	tʰiɛm6	完成；順意、順當、妥當
掃	ɬau3	打～
掃	ɬau5	～把
掇	tɔt7	
授	siu6	
掉	tʰiɛu6	
掌	tsɔŋ3	
掏	tʰau1	
排	pʰai2	
掛	ka5	
掠	lyœk8	
採	tsʰɔi3	
探	tʰam5	
掣	tsɛi5	
接	tsiɛp7	
控	həŋ5	
推	tʰui1	
掩	jiɛm3	
措	tsʰu5	
措	tsʰɔ5	
掰	pai1	
掹	paŋ1	
掹	maŋ1	拔，拉
揀	kan3	
揈	waŋ6	扔，甩
描	miɛu2	
提	tʰɛi2	
插	tʰɛi3	
插	tsʰap7	
揗	tsʰun5	搓
揚	jyœŋ2	
換	wɔn6	
揞	am3	
握	wɔk7	
握	ɔk7	
揢	kʰak7	卡著
揢	kʰak8	
揪	tsiu1	
揭	kiɛt7	
揭	kʰiɛt7	
揮	hui1	
揾	un3	
損	ɬɔn3	
搏	pɔk7	
搓	tsʰɔ1	
搖	jiɛu2	
搗	tau3	
搜	ɬau1	
搞	kau3	
搣	mit7	
搧	siɛn1	
搬	pɔn1	
搭	tap7	
搲	ja3	抓、撓
搶	tsʰyœŋ3	
搽	tsʰa2	
搾	tsa5	
摏	tsəŋ1	用拳頭或粗棍棒的端口等撞擊
摘	tsak7	
摜	kʰan6	
摟	ləø3	
摧	tsʰui1	
摩	mɔ2	
摩	mɔi2	白，做～：做完了
摱	man1	挽回，補救；拉引，攀登
摳	kʰəø1	
摸	mɔ3	
摹	mu2	
摺	tsiɛp7	
摻	tsʰam1	
撇	piɛt8	用手掌打
撇	pʰiɛt7	
撈	lau1	
撈	lau2	
撐	tsʰaŋ1	名詞，衣～
撐	tsʰaŋ5	動詞，～落去
撕	ɬi1	
撚	niɛn3	
撞	tsʰɔŋ6	
撣	tan3	
撤	tsʰiɛt7	
撥	pɔt7	
撩	liɛu2	
撫	hu3	
撬	kʰiɛu6	
播	pɔ1	名詞，主～
播	pɔ5	動詞，～放、～種
撮	tsʰɔt7	
撲	pʰɔk7	～克
撲	pʰək7	
撳	kʰim6	
撻	tʰat7	
撼	ham6	
擀	kɔn3	
擁	jəŋ3	
擁	əŋ3	推
擂	lui2	
擄	lu5	
擇	tsʰak8	
擇	tʰɔk8	
擊	kek7	
擋	tɔŋ3	
操	tsʰau1	
擎	kʰeŋ2	
擒	kʰim2	
擒	kʰiɛm2	攀登
擔	tam1	～心
擔	tam5	挑～
擖	kʰat8	
擘	mak7	掰，剝，去殼兒，撕開；肢體張開
據	ki5	
據	ky5	
擦	tsʰat7	
擬	ji5	
擰	neŋ6	
擱	kɔk7	
擴	kʰɔŋ5	
擺	pai3	
擼	lu1	
擼	lu5	
擾	jiɛu3	
攀	pʰan1	
攆	niɛn3	
攋	lan1	滾，走開
攏	ləŋ3	
攔	lan2	
攘	jyœŋ5	
攙	tsʰam1	
攜	kʰui2	
攝	siɛp7	
攢	tsan3	
攣	lɔn2	
攤	tʰan1	
攪	kau3	
攪	kaŋ5	
攬	lam3	
支	tsi1	
收	siu1	
改	kɔi3	
改	kʰɔi3	
攻	kəŋ1	
放	vɔŋ5	
政	tseŋ5	
故	ku5	
效	hau6	
敏	min5	
救	kiu5	
敗	pʰai6	
教	kau1	～人
教	kau5	
敢	kam3	
散	ɬan3	結束，分手
散	ɬan5	分～
敦	tun1	
敨	tʰəø3	歇息，呼吸、喘氣
敬	keŋ5	
敲	kʰau1	
敲	hau1	
敲	kʰɔk8	敲擊；用指關節敲擊
整	tseŋ3	
敵	tʰek8	
敶	jiɛn6	
敷	hu1	
數	su3	動詞
數	su5	名詞
斂	liɛm3	
斃	pɛi5	
文	min9	又，貨幣單位，元
文	mun9	貨幣單位，元
文	mɔn2	
斌	pin1	
斑	pan1	
斕	lan2	
斗	təø3	
料	liɛu3	
料	liɛu6	
斜	tsʰɛ2	
斟	tsim1	
斤	kin1	
斥	tsʰek7	
斧	pu3	打～頭
斧	hu3	
斬	tsam3	
斯	ɬi1	
新	ɬin1	
斷	tɔn5	～定
斷	tʰɔn5	割～
斷	tʰɔn6	～絕
方	vɔŋ1	
於	y1	
於	lɛ1	
於	kɛ1	
施	si1	
旁	pʰɔŋ2	
旅	li5	
旅	ly5	
旋	ɬyœn2	
族	tsʰək8	
旗	kʰi2	
既	ki5	
日	ŋit7	
旦	tan5	
早	tsau3	
旬	tsʰun2	
旱	hɔn3	
旱	hɔn6	
旺	wɔŋ6	
昂	ŋɔŋ2	
昆	kʰun1	
昇	seŋ1	
昌	tsʰɔŋ1	
明	miaŋ2	
明	meŋ2	
昏	hun1	
易	ji6	
易	jek8	交～
昔	sek7	
星	ɬeŋ1	
映	jiaŋ3	
映	eŋ5	
春	tsʰun1	
昧	mɔi6	
昨	tsʰɔk8	
昭	tsiɛu1	
是	si6	
時	si2	
晃	wɔŋ5	
晉	tsin5	
晏	an5	
晚	man5	
晝	tsiu5	
晦	vɔi5	
晨	sin2	
普	pʰu3	
普	lɛ1	
景	kiaŋ3	
景	keŋ3	
晴	tsʰiaŋ2	
晴	tsʰeŋ2	
晶	tseŋ1	
智	tsi5	
晾	lɔŋ5	
晾	lɔŋ6	
暈	win2	
暈	wun6	光～
暑	sy3	
暖	nɔn5	
暗	am5	
暢	tsʰɔŋ5	
暫	tsʰam6	
暫	tsʰiɛm6	
暮	mu6	
暱	nek7	
暴	pʰau6	
暹	ɬiɛm1	
曆	liak8	
曆	lek8	
曉	hiɛu3	
曙	tsʰy5	
曚	məŋ2	
曝	pʰək8	
曠	kʰɔŋ5	
曩	nɔŋ3	
曬	sai5	
曲	kʰək7	
更	na1	
更	kaŋ1	～新、打～
更	kaŋ5	～加
書	sy1	
曹	tsʰau2	
曼	man6	
曾	tsan1	
替	tʰɛi5	
最	tsui5	
最	tsɔi5	
會	wɔi6	
有	jiu5	
朊	jyœn5	
朋	pʰan2	
服	hək8	
朏	tut7	將東西放下；將食物加熱
朗	lɔŋ3	
朘	tsɔi1	
望	mɔŋ6	
朝	tsiɛu1	～早
朝	tsʰiɛu2	～代
期	kʰi2	
木	mək7	形容人木訥
木	mək8	
未	mi6	
末	mɔt8	
本	pɔn3	
札	tsat7	
朮	sut8	
朱	tsy1	
朴	pʰiɛu2	
朵	tɔ3	
朵	tœ3	
朽	hiu3	
杉	tsʰam5	
李	li5	
杏	haŋ6	
材	tsʰɔi2	
杜	tʰu6	
杞	ki3	
束	tsʰək7	
杭	hɔŋ2	
杯	pɔi1	
東	təŋ1	
杳	jiɛu3	
杷	pʰa2	
松	tsʰəŋ2	
板	pan3	
枇	pʰi2	
枉	wɔŋ3	
析	ɬek7	
枕	tsim3	
林	lim2	
枚	mɔi2	
果	kɔ3	
枝	tsi1	
枯	kʰu1	
架	ka5	
枸	kəø3	
柄	piaŋ5	
柄	peŋ5	
柏	pak7	
某	məø5	
柑	kam1	
柒	tsʰit7	
染	ŋiɛm5	
柔	jiu2	
查	tsʰa2	
柩	kʰiu6	
柬	kan3	
柭	pʰat8	番石榴
柯	ɔ1	
柱	tsʰy5	
柳	liu5	
柴	tsʰai2	
柵	tsʰa6	
柵	tsʰak7	
栓	san1	
栗	lit7	
校	kau3	學～
校	kau5	～對
校	hau6	學～
株	tsy1	
核	hut8	果～
核	hat8	～桃、審～
根	kan1	
格	kak7	
栽	tsɔi1	
桂	kui5	
桃	tʰau2	
桅	ŋui2	
框	kʰɔŋ1	
案	ɔn5	
桉	ɔn1	
桉	ɔn5	
桌	tsɔk7	
桐	tʰəŋ2	
桑	ɬɔŋ1	
桔	kit7	
桶	tʰəŋ3	
梁	lyœŋ2	
梅	mɔi2	
梓	tsi3	
梗	kaŋ3	
梘	kan3	肥皂；碱
條	tʰiɛu2	
梟	hiɛu1	
梧	ŋu2	
梨	li2	
梨	li3	
梭	ɬɔ1	
梯	tʰɛi1	
械	hai6	
梳	sɔ1	
棄	hi5	
棉	miɛn2	
棋	kʰi2	
棍	kun5	
棒	pʰaŋ5	
棕	tsəŋ1	
棗	tsau3	
棘	kʰek7	
棚	pʰaŋ2	
棟	təŋ5	
棠	tʰɔŋ2	
棧	tsʰan6	
森	sim1	
森	ɬim1	
棵	pʰɔ1	
棺	kɔn1	
椅	i3	
植	tsʰek8	
椏	a1	
椒	tsiɛu1	
椰	ja2	
椰	jɛ2	
楂	tsa1	
楊	jyœŋ2	
楚	tsʰɔ3	
楠	nam2	
楣	mi2	
極	kʰek8	
楷	kʰai3	
概	kɔi5	
概	kʰɔi5	
榛	tsin1	
榜	pɔŋ3	
榨	tsa5	
榮	weŋ2	
榴	liu2	
構	kʰəø5	
槌	tsʰui2	
槍	tsʰyœŋ1	
槐	wai2	
槓	kɔŋ5	
槳	tsyœŋ3	
槽	tsʰau2	
樂	lɔk8	
樂	ŋɔk8	
樑	lyœŋ2	
樓	ləø2	
樖	pʰɔ1	
標	piɛu1	
樞	sy1	
樟	tsɔŋ1	
模	mu2	
模	mɔ2	
樣	jyœŋ6	
樵	tsʰiɛu2	
樸	pʰɔk7	
樹	sy6	
樽	tsun1	
橄	kam3	
橋	kʰiɛu2	
橘	kit7	
橙	tsʰaŋ2	
橙	tsʰaŋ3	
機	ki1	
橡	tsʰyœŋ6	
橢	tʰɔ3	
橫	waŋ2	
檀	tʰan2	
檔	tɔŋ5	
檢	kiɛm3	
檬	məŋ9	
檯	tʰɔi2	
檳	pin1	
檸	neŋ2	
櫃	kʰui6	
櫓	lu5	
櫻	eŋ1	
欄	lan1	小商鋪
欄	lan2	
權	kʰyœn2	
欖	lam5	
欠	hiɛm5	
次	tsʰi5	
欣	him1	
欣	hin1	
欲	jək8	
欺	hi1	
欻	tsʰœ3	歎詞，表不屑、不滿
欽	him1	
款	kʰan3	
款	hɔn3	
歃	sap7	勞費、憂慮
歇	hiɛt7	
歉	hiɛm5	
歌	kɔ1	
歎	tʰan5	
歐	əø1	
歡	vɔn1	
止	tsi3	
正	tsaŋ5	才
正	tsiaŋ1	～月
正	tsiaŋ5	正點、漂亮
正	tseŋ1	
正	tseŋ5	～確
此	tsʰi3	
步	pʰu6	
武	mu3	～功
武	mu5	～術，～松
歧	kʰi2	
歪	wai1	
歲	ɬɔi5	
歷	lek8	
歸	kui1	
死	ɬi3	
歿	mut7	
殃	jyœŋ1	
殆	tʰɔi6	
殉	ɬun6	
殊	si2	
殊	sy2	
殖	tsʰek8	
殘	tsʰan2	曾～經
殤	sɔŋ1	
殲	tsiɛm1	
段	tʰɔn6	
殺	sat7	
殿	tʰiɛn6	
毀	hui3	
毀	wui3	又
毅	ŋɛi6	
毆	əø1	
母	mu5	
每	mɔi5	
毒	tʰək8	
比	pi3	
毛	mau2	
毫	hau2	
毯	tʰan3	
氏	si6	
民	min2	
氓	maŋ2	
氣	hi5	
氣	lɛ1	
氨	ɔn1	
水	sui3	
永	weŋ5	
氾	van5	
汀	tʰeŋ1	
汁	tsip7	
求	kʰiu2	
汕	san5	
汗	hɔn6	
汝	jy3	
汞	kəŋ3	
江	kɔŋ1	
池	tsʰi2	
污	u1	
汪	wɔŋ1	
汴	pʰiɛn6	
汽	hi5	
沁	tsʰim5	
沃	wɔk7	
沃	jək7	
沉	tsʰim2	
沒	mɔt8	
沓	tap8	
沓	tʰap8	
沖	tsʰəŋ1	
沙	sa1	
沛	pʰɔi5	
沫	mɔt8	
沮	tsy3	
河	hɔ2	
沸	vɛi5	
油	jiu2	
油	jiu3	
治	tsʰi6	
沼	tsiɛu3	
沿	jyœn2	
況	vɔŋ5	
況	kʰɔŋ5	
泉	tsʰyœn2	
泊	pʰak7	～車
泌	pi5	
法	vat7	
泛	van5	
泡	pʰau5	
波	pɔ1	
泥	nɛi2	
注	tsi5	
注	tsy5	
泯	min3	
泰	tʰai5	
泱	jyœŋ1	
泳	weŋ6	
洋	jyœŋ2	
洗	ɬɛi3	
洛	lɔk8	
洞	tʰəŋ6	
津	tsin1	
洩	ɬiɛt7	
洪	həŋ2	
洲	tsiu1	
洶	həŋ1	
活	wɔt8	
洽	hap8	
派	pʰai5	
流	liu2	
浙	tsiɛt7	
浚	tsun5	
浣	wɔn6	
浦	pʰu3	
浩	hau6	
浪	lɔŋ6	
浮	vəø2	
浴	jək8	
海	hɔi3	
浸	tsim5	
涂	tʰu2	
消	ɬiɛu1	
涉	siɛp7	
涎	ɬiɛn2	
涕	tʰɛi5	
涯	ŋai2	
液	jek8	
涵	ham2	
涼	lyœŋ2	
涿	tək7	
淋	lim2	
淑	sək8	
淒	tsʰɛi1	
淘	tʰau2	
淚	lui6	
淡	tʰam5	
淡	tʰam6	
淤	y1	
淨	tsʰiaŋ6	
淨	tsʰeŋ6	
淪	lun2	
淫	jim2	
淮	wai2	
深	sim1	
混	kʰun5	
淺	tsʰiɛn3	
添	tʰiɛm1	
清	tsʰiaŋ1	
清	tsʰeŋ1	
渙	wɔn6	
減	kam3	
渠	kʰy2	
渡	tʰu6	
渣	tsa1	
渣	tsa3	
港	kɔŋ3	
渴	hɔt7	
渺	miɛu5	
渾	hun2	
湃	pai5	
湊	tsʰəø5	
湍	tʰɔn1	
湖	hu2	
湘	ɬyœŋ1	
湛	tsam5	
湧	jəŋ3	
湯	tʰɔŋ1	
溉	kɔi5	
溏	tʰɔŋ2	
源	jyœn2	
準	tsun3	
溝	kəø1	
溝	kʰəø1	
溢	ek7	
溪	kʰɛi1	
溫	un1	
溶	jəŋ2	
溺	nek8	
滂	pʰaŋ1	
滅	miɛt8	
滇	tiɛn1	
滋	tsi1	
滑	wat8	
滓	tsi3	
滔	tʰau1	
滬	hu6	
滯	tsʰɛi6	
滲	ɬim5	
滴	tek7	
滷	lu5	
滸	hu3	
滾	kun3	
滿	mɔn5	
漁	jy2	
漂	pʰiɛu1	
漆	tsʰit7	
漏	ləø6	
演	jiɛn3	
漠	mɔk8	
漢	hɔn5	
漫	man6	
漮	hɔŋ3	
漲	tsɔŋ3	
漳	tsɔŋ1	
漸	tsʰiɛm6	
漿	tsyœŋ1	
潑	pʰɔt7	
潔	kiɛt7	
潘	pʰɔn1	
潛	tsʰiɛm2	
潤	jun6	
潦	liɛu2	
潭	tʰam2	
潮	tsʰiɛu2	
潰	kʰui3	
潲	sau5	
澄	tsʰeŋ2	～海
澆	kiɛu1	
澇	lau6	
澍	sy6	
澡	tsau3	
澤	tsʰak8	
澳	au5	
激	kek7	
濁	tsʰək8	
濃	nəŋ2	
濕	sip7	
濘	neŋ6	
濛	məŋ2	
濟	tsɛi5	
濤	tʰau2	
濫	lam6	
濱	pin1	
濺	tsiɛn5	
濾	li6	
濾	ly6	
瀉	ɬɛ5	
瀋	sim3	
瀏	liu2	
瀑	pʰək8	
瀕	pin1	
瀚	hɔn6	
瀝	liak8	溝、渠、小溪
瀟	ɬiɛu1	
瀨	lai5	
瀾	lan2	
灌	kɔn5	
灑	sa3	
灘	tʰan1	
灝	hau6	
灣	wan1	
火	vɔ3	
灰	vɔi1	
灶	tsau5	
灸	kiu3	
災	tsɔi1	
炊	tsʰui1	
炎	jiɛm2	
炒	tsʰau3	
炕	hɔŋ5	
炭	tʰan5	
炮	ky1	
炮	pʰau5	
炳	peŋ3	
炷	tsy5	
炸	tsa5	
爲	wui2	作～
爲	wui6	～何
烈	niɛt8	
烊	jyœŋ2	
烏	u1	
烘	həŋ1	
烙	lau6	
烙	lɔk8	
烤	kʰau3	
烹	pʰaŋ1	
焉	jiɛn2	心不在～
焉	iɛn1	～能
焊	hɔn6	
焗	kʰək8	
焙	pɔi5	
焙	pʰɔi6	
焚	hun2	
無	mu2	
焦	tsiɛu1	
焯	tsʰɔk7	
焰	jiɛm6	
然	jiɛn2	
煀	ut7	慢火煮
煉	liɛn6	
煎	tsiɛn1	
煙	iɛn1	
煠	sap8	煮
煤	mɔi2	
煥	wɔn6	
照	tsiɛu5	
煩	van2	
煮	tsi3	
煮	tsy3	
煲	pau1	
煽	siɛn5	
熄	ɬek7	
熊	həŋ2	
熏	hun1	
熔	jəŋ2	
熙	hi1	
熝	lək8	用滾燙的液體燙、稍煮開
熟	sək8	
熨	un5	
熬	ŋau2	
熱	ŋiɛt8	
熵	sɔŋ1	
熻	hip7	
燃	jiɛn2	
燈	tan1	
燉	tun5	
燉	tun6	
燎	liɛu2	
燐	lin2	
燒	siɛu1	
燕	iɛn1	姓
燕	iɛn5	
燙	tʰɔŋ5	
營	jeŋ2	
燥	tsʰau5	
燦	tsʰan5	
燭	tsək7	
燶	nəŋ1	
爆	pau5	
爉	lap7	
爍	sɔk7	
爐	lu2	
爐	lu3	
爛	lan6	
爪	tsau3	
爬	pʰa2	
爭	tsaŋ1	
爵	tsyœk7	
父	hu6	
爸	pa1	
爹	tɛ1	
爺	ja2	
爺	jɛ2	
爽	sɔŋ3	
爾	ŋi5	
片	pʰiɛn3	
片	pʰiɛn5	
版	pan3	
牌	pʰai2	
牘	tʰək8	
牙	ŋa2	
牛	ŋəø2	
牠	tʰa1	
牡	mau5	
牢	lau2	
物	mɔt8	
牯	ku3	
牲	saŋ1	
特	tʰat8	
牽	na1	
牽	kʰan1	
牽	kʰiɛn1	
牽	hiɛn1	
犀	ɬɛi1	
犁	lɛi2	
犒	kʰau5	
犢	tʰək8	
犧	hi1	
犬	hyœn3	
犯	van6	
狀	tsʰɔŋ6	
狂	kʰɔŋ2	
狂	kʰɔŋ2	害怕
狄	tʰek8	
狐	hu2	
狗	kəø3	
狡	kau3	
狩	siu3	
狸	li2	
狹	kʰiɛp8	
狼	lɔŋ2	
猛	maŋ5	
猜	tsʰai1	
猝	tsʰɔt7	
猩	seŋ1	
猩	ɬeŋ1	
猬	wui6	
猴	həø2	
猾	wat8	
獃	tai1	
獄	jək8	
獅	sɛi1	
獎	tsyœŋ3	
獨	tʰək8	
獵	liɛp8	
獸	siu5	
獻	hiɛn5	
玄	jyœn2	
率	lut8	效～
率	sɔt7	
玉	jək8	
王	wɔŋ2	
玩	wan3	
玻	pɔ1	
珊	san1	
珍	tsin1	
珖	kɔŋ1	
珠	tsy1	
班	pan1	
珺	kun1	
現	hiɛn6	
球	kʰiu2	
理	li5	
琉	liu2	
琊	ŋa2	
琥	hu3	
琳	lim2	
琴	kʰim2	
琵	pʰi2	
琶	pʰa2	
瑁	mau6	
瑋	wui5	
瑕	ha2	
瑙	nau3	
瑞	sui6	
瑟	siɛt7	
瑠	liu2	
瑣	ɬɔ3	
瑤	jiɛu2	
瑪	ma5	
瑭	tʰɔŋ2	
瑾	kin3	
璀	tsʰui3	
璃	li1	
璃	li2	
璋	tsɔŋ1	
璐	lu6	
璧	pek7	
環	wan2	
璽	sai3	
璽	ɬai3	
瓊	kʰeŋ2	
瓜	ka1	
瓢	pʰiɛu2	
瓣	pʰan6	
瓤	jyœŋ2	
瓦	ŋa5	
瓶	pʰiaŋ2	
瓷	tsʰi2	
甕	əŋ5	
甘	kam1	
甚	sim6	
甜	tʰiɛm2	
生	saŋ1	
產	tsʰan3	
甥	saŋ1	
甦	ɬu1	
用	jəŋ6	
甪	lək7	地方、地點
甫	hu3	
甬	jəŋ3	
甯	neŋ2	
田	tʰiɛn2	
由	jiu2	
甲	kap7	
申	sin1	
男	nam2	
甸	tʰiɛn6	
町	teŋ1	
畀	pi3	
界	kai5	
畏	ui5	
留	liu2	
畜	tsʰək7	
畝	məø5	
畢	pit7	
略	lyœk8	
番	van1	
畫	wa3	
畫	wak8	
畬	sa1	
異	ji6	
當	lɛ1	
當	kɛ1	
當	tɔŋ1	～時
當	tɔŋ5	～票
畸	kʰi2	
疆	kyœŋ1	
疊	tʰiɛp8	
疍	tʰan6	
疏	sɔ1	
疑	ji2	
疤	pa1	
疫	jek8	
疱	pʰɔŋ2	
疲	pʰi2	
疹	tsin3	
疾	tsʰit8	
痂	ka1	
病	pʰiaŋ6	
病	pʰeŋ6	
症	tseŋ1	
症	tseŋ5	
痔	tsʰi6	
痕	han2	
痘	tʰəø6	
痛	tʰəŋ5	
痣	tsi5	
痰	tʰam2	
痳	ma2	
痺	pi5	
痿	ui3	
瘍	jyœŋ2	
瘟	un1	
瘡	tsʰɔŋ1	
瘦	səø5	
瘴	tsɔŋ5	
瘸	kʰœ2	
療	liɛu2	
癌	ŋam2	
癡	tsʰi1	
癩	lai6	
癩	lat7	
癮	jin5	
癰	jəŋ1	
癲	tiɛn1	
登	tan1	
發	vat7	
白	pʰak8	
百	pak7	
皂	tsʰau6	
的	lɛ1	
的	kɛ1	
的	tek7	
皆	kai1	
皇	wɔŋ2	
皓	hau6	
皖	wɔn6	
皮	pʰi2	
皿	meŋ3	
盂	jy2	
盃	pɔi1	
盅	tsəŋ1	
盆	pʰɔn2	
益	ek7	
盒	hap8	
盔	kʰui1	
盔	vɔi1	
盛	seŋ2	～飯
盛	seŋ5	又，～大
盛	seŋ6	～大
盜	tʰau6	
盞	tsan3	
盟	maŋ6	
盡	tsʰin6	
監	kam1	～察
監	kam5	太～
盤	pʰɔn2	
盧	lu2	
盪	tʰɔŋ6	
目	mək8	
盲	maŋ2	
直	tsʰek8	
相	na1	
相	lɛ1	
相	kɛ1	
相	ɬyœŋ1	～信
相	ɬyœŋ3	相片
相	ɬyœŋ5	～貌
盼	pʰan5	
盾	tʰun5	
盾	tʰun6	
省	saŋ3	～份，節～
省	ɬeŋ3	
眉	mi2	
看	hɔn1	～門
看	hɔn5	～破
真	tsin1	
眠	miɛn2	
眨	tsam3	
眨	tsap7	
眶	vɔŋ1	
眶	kʰɔŋ1	
眷	kyœn5	
眼	ŋan5	
眾	tsəŋ5	
睛	tsiaŋ1	
睛	tseŋ1	
睜	tsaŋ1	
督	tək7	
睩	lək7	眼珠轉動
睪	kau1	
睬	tsʰɔi3	
睹	tu3	
睿	jui6	
瞄	miɛu2	
瞌	hap7	
瞍	əø5	
瞓	hun5	
瞞	mɔn2	
瞬	sun6	
瞭	liɛu3	
瞳	tʰəŋ2	
瞻	tsiɛm1	
瞿	kʰy2	
矛	mau2	
矢	tsʰi3	
矢	si3	
知	ti1	
知	tsi1	
矩	ki3	
矩	ky3	
短	tɔn3	
矮	ai3	
矯	kiɛu3	
石	sak8	
砂	sa1	
砌	tsʰɛi5	
砒	pʰɛi1	
研	ŋan2	
研	ŋiɛn2	
砧	tsiɛm1	
砲	pʰau5	
破	pʰɔ5	
硅	kui1	
硝	ɬiɛu1	
硫	liu2	
硬	ŋaŋ6	
硯	ŋan6	
碌	lək7	柚子；圓柱形物體，引申為量詞
碎	ɬui5	
碎	ɬɔi5	
碑	pi1	
碗	wɔn3	
碘	tiɛn3	
碟	tʰiɛp8	
碧	pek7	
碰	pʰəŋ5	
鹼	kam3	
確	kʰɔk7	
碼	ma5	
碾	niɛn3	
磁	tsʰi2	
磋	tsʰɔ1	
磕	kʰap7	
磚	tsɔn1	
磨	mɔ2	
磨	mɔ6	
磷	lin2	
礎	tsʰɔ3	
礙	ŋɔi6	
礦	kʰɔŋ6	
示	si6	
社	sa5	
祁	kʰi2	
祂	tʰa1	
祈	kʰi2	
祖	tsu3	
祝	tsək7	
祠	tsʰi2	
祥	tsʰyœŋ2	
票	pʰiɛu5	
祭	tsɛi5	
祿	lək8	
禁	kim1	不～
禁	kim5	～止
禍	jɔ5	
禍	jɔ6	
福	hək7	
禦	jy6	
禪	siɛn2	～理
禪	siɛn6	～讓
禮	lɛi5	
禱	tʰau3	
禹	jy5	
禽	kʰim2	
禾	jɔ2	
禿	tʰək7	
秀	ɬiu5	
秉	peŋ3	
秋	tsʰiu1	
科	vɔ1	
科	kʰɔ1	
秒	miɛu3	
秘	pi5	
租	tsu1	
秤	tsʰeŋ5	
秦	tsʰin2	
秧	jyœŋ1	
移	ŋi2	
移	ji2	
稀	hi1	
稅	sɔi5	
稈	kɔn3	
程	tsʰeŋ2	
稍	sau3	
稔	nim1	一種植物
稔	niɛm6	
稗	pʰɛi6	
稚	tsʰi6	
稠	tsʰiu2	
種	tsəŋ3	名詞，播～
種	tsəŋ5	動詞，～樹
稱	tsʰeŋ1	名～
稱	tsʰeŋ5	～心
稻	tʰau6	
稽	kʰɛi1	
稿	kau3	
穀	kək7	
積	tsek7	
穎	jeŋ3	
穎	weŋ6	
穗	ɬui6	
穩	un3	
究	kiu5	
穹	kʰəŋ2	
空	həŋ1	天～
空	həŋ5	～缺
穿	tsʰɔn1	
突	tʰut7	
突	tʰut8	
窄	tsak7	
窖	kau5	
窗	tsʰɔŋ1	
窗	tsʰəŋ1	
窩	jɔ1	
窪	wa1	
窮	kʰəŋ2	
窺	kʰui1	
窿	ləŋ1	
竄	tsʰɔn5	
竅	kʰiɛu6	
立	lip8	
站	tsʰam6	
竟	keŋ3	
章	tsɔŋ1	
童	tʰəŋ2	
端	tɔn1	
競	keŋ5	
竹	tsək7	
竿	kɔn1	
笑	ɬiɛu5	
笠	lip7	
笡	tsʰɛ3	陡、有坡度
符	hu2	
笨	pʰun6	
第	tʰɛi6	
筆	pit7	
等	tan3	
筋	kin1	
筏	vat8	
筐	kʰɔŋ1	
筒	tʰəŋ3	
答	tap7	
策	tsʰak7	
筠	kun1	
筷	vai5	
箇	kɔ5	
箇	kə5	
箍	kʰu1	
箏	tsaŋ1	
箔	pʰɔk8	
算	ɬɔn5	
管	kɔn3	
箭	tsiɛn5	
箱	ɬyœŋ1	
箸	tsʰy6	
節	tsiɛt7	
範	van6	
篇	pʰiɛn1	
築	tsək7	
篝	kəø1	
篤	tək7	
篩	sɛi1	
簍	ləø3	
簡	kan3	
簧	wɔŋ2	
簪	tsam1	
簫	ɬiɛu1	
簷	jiɛm2	
簽	tsʰiɛm1	
簾	liɛm2	
簿	pʰu6	
籃	lam2	
籌	tsʰiu2	
籍	tsʰek8	
籠	ləŋ2	
籤	tsʰiɛm1	
籬	li2	
籽	tsi3	
粄	pɔn3	
粉	hun3	
粒	nip7	
粗	tsʰu1	
粘	niɛm1	
粟	ɬək7	
粥	tsək7	
粹	ɬui5	
糉	tsəŋ3	
精	tsiaŋ1	～明
精	tseŋ1	
粿	kɔ3	
糅	jiu2	
糍	tsʰi2	
糕	kau1	
糖	tʰɔŋ2	
糙	tsʰau1	
糜	mi2	
糞	hun5	
糟	tsau1	
糠	hɔŋ1	
糧	lyœŋ2	
糬	sy2	
糯	nɔ6	
糰	tʰɔn2	
糴	tʰiak8	買，～米
糶	tʰiɛu5	
系	hɛi6	
糾	kiu1	
糾	təø3	
紀	ki3	
約	jyœk7	
紅	kəŋ1	女～
紅	həŋ2	
紋	mɔn2	
納	nap8	
紐	niu3	
紐	nəø3	紐扣
純	sun2	
紗	sa1	
紙	tsi3	
級	kʰip7	
紛	hun1	
素	ɬu5	
紡	vɔŋ3	
索	ɬɔk7	
紫	tsi3	
紮	tsat7	
累	lui5	～積
累	lui6	連～
細	ɬɛi5	
紹	siɛu6	
終	tsəŋ1	
組	tsu3	
絆	pɔn5	
結	kiɛt7	
結	kiɛt7	結巴
絞	kau3	
絡	lɔk7	
給	kʰip7	
