#漢字	音標	解釋
㞎	pɔ3	屎～～
搓	tsʰo1	
搛	tɕiɛ1	
搜	sɘ˞1	
搞	kɑ3	
搡	sã3	
搧	sã1	
搬	pã1	
搭	tɔ2	
搲	uɔ3	
携	ɕi1	
搽	tsʰɔ2	
摆	pᴀ3	
摇	ʑiɑ2	
攤	tʰã1	
摘	tsɘi2	
摞	no4	
摧	tʃʰuɘi1	
摩	mo1	～登
摸	mo1	
撇	pʰi2	一～一捺
撇	pʰi3	～开
撑	tsʰɐ̃1	
撒	sɔ2	～尿
撒	sɔ4	～谷壳
撕	sɿᵊ1	
撚	niɛ3	以指～碎
撞	tʃʰuã3	
撬	tɕʰiɑ4	
播	po4	
撮	tso2	
撮	tsʰo2	
攆	niɛ3	
擼	lʉ1	
擀	kã3	～面
擂	luɘi2	
操	tsʰɑ1	
擤	sĩ3	～鼻子
擦	tsʰɔ2	
擩	zʉ1	
攀	pʰã1	
攀	pʰã4	
攢	tsã3	
攘	nã3	
攮	nã3	
收	sɘ˞1	
改	kᴀ3	
攻	kõ1	
政	tsɐ̃4	
故	kʉ4	
效	ɕiɑ4	
敵	ti2	
敏	mĩ3	
救	tɕiɘ4	
教	tɕiɑ1	～书
教	tɕiɑ4	～育
敢	kã3	
散	sã3	～乱
散	sã4	解～
敦	tõ1	
敬	tsĩ4	
數	sʉ3	～一～
數	sʉ4	～目
敲	kʰɑ1	
整	tsɐ̃3	
敷	fʉ1	
文	vɐ̃2	
斋	tsᴀ1	
斌	pĩ1	
斑	pã1	
斗	tɘ˞3	一～米
斗	tɘ˞4	～争
料	liɑ4	
斜	ɕi2	
斟	tsɐ̃1	
斧	fʉ3	
斬	tsã3	
斷	tuɐ̃3	～车
斷	tuɐ̃4	折～
斯	sɿᵊ1	
新	sĩ1	
方	fã1	
於	ʑi2	
施	sɿᵊ1	
旁	pʰã2	
旅	li3	
旋	ɕiɛ2	
族	tsʰʉ2	
日	zɿᵊ2	
旦	tã4	
舊	tɕiɘ4	
早	tsɑ3	
旬	sĩ2	
旭	sʉ2	
旱	xã4	
時	sɿᵊ2	
曠	kʰuã4	
旺	uã4	
昂	ɣã2	
昆	kʰõ1	
昌	tsʰã1	
明	mɐ̃2	～日
明	mĩ2	
昏	xõ1	
易	ʑi4	
昔	ɕi2	
昝	tsã3	
星	sĩ1	
映	zĩ4	
春	tsʰõ1	
昧	mɘi4	
昨	tso2	
昭	tsɑ1	
是	sɿᵊ4	
晝	tsɘ˞4	
顯	ɕiɛ3	
晃	xuã4	
晉	tsĩ4	
晌	sã3	
晏	ɣã4	
曬	sᴀ4	
曉	ɕiɑ3	
暈	zĩ4	
晚	vã3	
晦	xuɘi4	灾星～气
晨	sɐ̃2	
普	pʰʉ3	
景	tsĩ3	
晶	tsĩ1	
晾	lã4	～衣裳
暫	tsã4	
暄	ɕiɛ1	
暑	tsʰʉ3	
暖	nuɐ̃3	
暴	pɑ4	
曰	ʑi1	
曲	tsʰʉ2	
更	kɐ̃1	打～
更	kɐ̃4	～好
曷	kɘi3	～去？
曹	tsʰɑ2	
曼	mã4	
曾	tsɐ̃1	姓
曾	tsʰɐ̃2	～经
替	tʰi4	
月	ʑi2	
有	ʑiɘ3	
朋	pʰõ2	
服	fʉ2	
朒	kɔ3	
朔	so2	初一
朗	lã3	
望	vã4	
朝	tsɑ1	今～
朝	tsʰɑ2	～代
期	tɕʰi2	～末
木	mʉ2	
未	vɘi4	
末	mo2	
本	pɐ̃3	
术	tsʉ2	白～
术	sʉ2	～手
朱	tsʉ1	
朴	pʰʉ2	
朵	to3	
機	tɕi1	
朽	ɕiɘ3	
殺	sɔ2	
雜	tsɔ2	
權	tɕʰiɛ2	
杆	kã3	
杈	tsʰɔ1	
杉	sɔ1	～树，～木
杌	vʉ2	马～
李	li3	
材	tsʰᴀ2	
村	tsʰõ1	
杖	tsã4	
杜	tʉ4	
束	sʉ2	
杠	kã4	
條	tʰiɑ2	
來	lᴀ2	
楊	ʑiã2	
杭	xã2	
杯	pɘi1	
杰	tɕi2	
杵	tsʰʉ3	
杷	pʰɔ1	
松	sõ1	
板	pã3	
構	kɘ˞4	
枇	pʰi2	
枉	uã3	
析	ɕi2	
枕	tsɐ̃3	
林	lĩ2	
果	ko3	
棗	tsɑ3	
槍	tɕʰiã1	
楓	fõ1	
枯	kʰʉ1	
架	tɕiɔ4	
柄	pĩ3	
柏	pɘi2	
某	mɘ˞3	
柑	kã1	
染	zã3	
柔	zɘ˞2	
柚	ʑiɘ4	
櫃	kuɘi4	
查	tsʰɔ2	
柩	tɕiɘ4	
柬	tɕiɛ3	
柳	liɘ3	
柴	tsʰᴀ2	
柺	kuᴀ3	
柿	sɿᵊ4	
標	piɑ1	
棧	tsã4	
棟	liɛ4	苦～子
棟	tõ4	
欄	lã2	
樹	sʉ4	
栓	ʃuɐ̃1	
栖	ɕi1	
栗	li2	
栗	sʉ2	
校	ɕiɑ4	学～，～对
樣	ʑiã4	
核	xʉ2	果子～
核	xɘi2	～对
根	kɐ̃1	
格	kɘi2	
栽	tsᴀ1	
欒	luɐ̃2	
桂	kuɘi4	
桃	tʰɑ2	
案	ɣã4	
桌	tso2	
桐	tʰõ2	
桑	sã1	
椏	ʑiɔ1	
橋	tɕʰiɑ2	
樺	xuɔ2	
槳	tɕiã3	
桶	tʰõ3	
梁	liã2	
梅	mɘi2	
梗	kɐ̃3	
夢	mõ4	
梨	li2	
梭	so1	
梯	tʰi1	
械	kᴀ4	
梳	sʉ1	
檢	tɕiɛ3	
棉	miɛ2	
棋	tɕʰi2	
棍	kõ4	
棒	pã4	
棕	tsõ1	
棚	pʰõ2	
棠	tʰã2	
森	sɐ̃1	
棱	lɐ̃2	
棵	kʰo1	
棺	kuɐ̃1	
椅	ʑi3	
椒	tɕiɑ1	
欏	lo2	
橢	tʰo3	
椽	tʃʰuɐ̃2	
椿	tsʰõ1	
楂	tsɔ1	
楔	ɕi2	
楚	tsʰʉ3	
楷	kʰᴀ3	
樓	lɘ˞2	
概	kʰᴀ4	
欖	lã3	
榜	pã3	
榨	tsɔ4	
榫	sõ3	
榴	liɘ4	石～
槐	xuᴀ2	
槽	tsʰɑ2	
模	mʉ2	
模	mo2	～范
橫	xõ2	
櫻	zĩ1	
橄	kã3	
橘	tɕi2	
櫓	lʉ3	
檀	tʰã2	
檐	ʑiɛ2	
檁	lĩ3	
檬	mõ2	
欠	tɕʰiɛ4	
次	tsʰɿᵊ4	
歡	xuɐ̃1	
欣	sĩ1	
歐	ɣɘ˞1	
欲	zʉ2	
欺	tɕʰi1	
款	kʰuɐ̃3	
歇	ɕi2	
歉	tɕʰiɛ4	
歌	ko1	
正	tsɐ̃1	～月
正	tsɐ̃4	～副
此	tsʰɿᵊ1	
此	tsʰɿᵊ3	
步	pʉ4	
武	vʉ3	
歧	tɕʰi2	
歪	uᴀ1	
歹	tᴀ3	
死	sɿᵊ3	
殲	tɕʰiɛ1	
殃	ʑiã1	
殊	sʉ1	
殘	tsʰã2	
殮	liɛ4	
殯	pĩ1	
段	tuɐ̃4	
殷	zĩ1	
殿	tiɛ4	
毁	xuɘi3	
毅	ʑi4	
母	mʉ3	
每	mɘi3	
毒	tʉ2	
比	pi3	
畢	pi2	
斃	pi4	
毛	mɑ1	～驴
毛	mɑ2	
毡	tsã1	
毫	xɑ2	
毯	tʰã3	
氏	sɿᵊ4	
民	mĩ2	
气	tɕʰi2	
气	tɕʰi4	
氛	fɐ̃1	
水	ʃuɘi3	
永	ʑiõ3	
氽	tʃʰuɐ̃1	
汀	tʰĩ1	
求	tɕʰiɘ2	
汇	xuɘi4	
漢	xã4	
汗	xã4	
汝	zʉ3	
汞	kõ3	
江	tɕiã1	
池	tsʰɿᵊ2	
污	vʉ1	
湯	tʰã1	
汪	uã1	
汽	tɕʰi4	
沉	tsʰɐ̃2	
沌	tõ4	混～
沙	sɔ1	
沛	pʰɘi4	
溝	kɘ˞1	
沒	mi2	白
沒	mʉ2	文
漚	ɣɘ˞4	
滬	xʉ4	
沫	mo2	
沰	to2	雨淋
河	xo2	
油	ʑiɘ2	
沾	tsã1	
沿	ʑiɛ2	
泄	ɕi4	
泅	tɕʰiɘ2	
泉	tɕʰiɛ2	
泔	kã1	
法	fɔ2	
泛	fã4	
泡	pʰɑ1	松～
泡	pʰɑ4	～在水里
波	po1	
泥	ni2	
注	tsʉ4	
淚	luɘi4	
泰	tʰᴀ4	
泳	zĩ4	
泵	põ4	
瀉	ɕi4	
潑	pʰo2	
澤	tsʰɘi2	
潔	tɕi2	
洇	zĩ1	纸～
洋	ʑiã2	
洒	sɔ3	
洗	ɕi3	
洛	lo2	
洞	tõ4	
津	tsĩ1	
洪	xõ2	
洲	tsɘ˞1	
活	xo2	
洽	tɕʰiɔ2	
派	pʰᴀ4	
流	liɘ2	
淺	tɕʰiɛ3	
漿	tɕiã1	
澆	tɕiɑ1	
濁	tsʉ2	
渾	xõ2	
滸	xʉ3	
濃	nõ2	
浦	pʰʉ3	
浪	lã4	
浮	fɘ˞2	
浴	zʉ2	
海	xᴀ3	
浸	tsĩ1	
涂	tʰʉ2	
消	ɕiɑ1	
涕	tʰi4	
濤	tʰɑ2	
澇	lɑ4	
潤	zõ4	
漲	tsã3	
涮	ʃuɐ̃4	
淋	lĩ2	
淑	sʉ2	
淘	tʰɑ2	
淡	tã4	
淫	zĩ2	
淮	xuᴀ2	
深	sɐ̃1	
混	xõ4	
淹	ʑiɛ1	
添	tʰiɛ1	
清	tsʰĩ1	
淵	ʑiɛ1	
漸	tɕiɛ4	
漁	ʑi2	
渝	ʑi2	
渠	tɕʰi2	
渡	tʉ4	
渣	tsɔ1	
渤	pʰʉ2	
溫	ɣõ1	
港	kã3	
渴	kʰo2	
游	ʑiɘ2	
渺	miɑ3	
湊	tsʰɘ˞4	
湍	tʰuɐ̃1	
湖	xʉ2	
湘	ɕiã1	
灣	uɐ̃1	
溼	sɿᵊ2	
潰	kʰuɘi4	～败
潰	xuɘi4	～脓
源	ʑiɛ2	
溜	liɘ4	～冰
溪	ɕi1	
滇	tiɛ1	
滑	xuɔ2	
滔	tʰɑ1	
滾	kõ3	
滿	mã3	
濾	li4	
濫	lã4	
灘	tʰã1	
滴	ti2	
漂	pʰiɑ4	～衣裳
漆	tɕʰi2	
漏	lɘ˞4	
演	ʑiɛ3	
漫	mã4	
漱	sʉ4	
潘	pʰã1	
潛	tɕʰiɛ3	
潢	xuã2	
潮	tsʰɑ2	
潲	sɑ4	
潽	pʰʉ1	饭～了
澄	tɐ̃4	～清
澡	tsɑ3	
濛	mõ2	
灌	kuɐ̃4	
火	xo3	
滅	mi2	
燈	tɐ̃1	
灰	xuɘi1	
靈	lĩ2	
竈	tsɑ4	
灸	tɕiɘ3	针～
災	tsᴀ1	
燦	tsʰã4	
爐	lʉ2	
炊	tʃʰuɘi1	
炎	ʑiɛ1	
炒	tsʰɑ3	
炕	kʰã4	
炭	tʰã4	
炮	pʰɑ4	
炸	tsɔ2	～油条
炸	tsɔ4	爆～
點	tiɛ3	
炼	liɛ4	
爛	lã4	
烈	li2	
烘	xõ1	
烙	lo2	～铁
燭	tsʉ2	
烟	ʑiɛ1	
烤	kʰɑ3	
煩	fã2	
燒	sɑ1	
燙	tʰã4	
熱	zɘi2	
烹	pʰɐ̃1	
焊	xã4	
煥	xuɐ̃4	
燜	mɐ̃4	
焙	pɘi4	
焚	fɐ̃2	
焦	tɕiɑ1	
焰	ʑiɛ4	
煎	tɕiɛ1	
煤	mɘi2	
照	tsɑ4	
煨	uɘi1	
煪	tɕʰiɘ1	烟～
煮	tsʉ3	
熄	ɕi2	
熊	ɕiõ2	
熏	sĩ1	
熔	ʑiõ2	
熙	ɕi1	
熛	pʰiɑ3	火～头发
熥	tʰɐ̃1	把饭～热
熨	zĩ4	
熬	ɣɑ1	药
熬	ɣɑ2	
燃	zã2	
燎	liɑ2	
燐	lĩ2	
燕	ʑiɛ4	
燥	tsʰɑ4	
爆	pɑ4	
爪	tʃuɔ3	
爬	pʰɔ1	
爬	pʰɔ2	
愛	ɣᴀ4	
爵	tɕio2	
父	fʉ4	
爸	pɔ2	
爹	ti1	
爽	ʃuã3	
片	pʰiɛ4	
版	pã3	
牌	pʰᴀ2	
牙	ʑiɔ2	
牛	niɘ2	
牡	mɘ˞3	
牢	lɑ2	
牧	mʉ2	
物	vʉ2	
牯	kʉ3	
牽	tɕʰiɛ1	
特	tʰɘi2	
犀	ɕi1	
犁	li2	
犟	tɕiã4	～嘴
犬	tɕʰiɛ3	
犯	fã4	
狀	tʃuã4	
狂	kʰuã2	
狐	xʉ2	
狗	kɘ˞3	
狠	xɐ̃3	
狡	tɕiɑ3	
獨	tʉ2	
狹	ɕiɔ2	
獅	sɿᵊ1	
獄	zʉ2	
狼	lã2	
獵	li2	
猛	mõ3	
猜	tsʰᴀ1	
豬	tsʉ1	
貓	mɑ1	
貓	miɑ1	白
獻	ɕiɛ4	
猴	xɘ˞2	
猾	xuɔ2	
玄	ɕiɛ2	
玉	ʑi4	
王	uã2	
玩	uɐ̃2	
環	xuɐ̃2	
現	ɕiɛ4	
玲	lĩ2	
玻	po1	
珍	tsɐ̃1	
珠	tsʉ1	
班	pã1	
球	tɕʰiɘ2	
理	li3	
琉	liɘ2	
瑣	so3	
琢	tso2	
琴	tsʰĩ2	
琵	pʰi2	
琶	pʰɔ1	
瓊	tsʰĩ2	
瑞	ʃuɘi4	
璃	li2	
瓜	kuɔ1	
瓢	pʰiɑ2	
瓣	pã4	
瓤	zã2	
瓦	uɔ3	
瓮	ɣõ4	
甌	ɣɘ˞1	汤缽子
瓶	pʰĩ2	
瓷	tsʰɿᵊ2	
甄	tsɐ̃1	
甑	tsɐ̃4	
甘	kã1	
甚	sɐ̃4	
甜	tʰiɛ2	
生	sɐ̃1	
甥	sɐ̃1	
用	ʑiõ4	
甩	ʃuᴀ3	
田	tʰiɛ2	
由	ʑiɘ2	
甲	tɕiɔ2	
申	sɐ̃1	
電	tiɛ4	
男	nã2	
畫	xuɔ4	
暢	tsʰã4	
界	kᴀ4	
畏	uɘi4	
留	liɘ2	
畜	tsʰʉ2	～牲
略	nio2	
番	fã1	
疆	tɕiã1	
疏	sʉ1	
疑	ni2	
療	liɑ2	
疝	ʃuɐ̃4	
瘧	nio2	
瘍	ʑiã2	
疤	pɔ1	
疫	zʉ2	
瘡	tʃʰuã1	
瘋	fõ1	
疲	pʰi2	
疵	tsʰɿᵊ1	
疹	tsɐ̃3	麻～
疼	tʰɐ̃2	
疾	tɕi2	
病	pĩ4	
症	tsɐ̃1	～结
症	tsɐ̃4	～状
痒	ʑiã3	
痕	xɐ̃2	
痛	tʰõ4	
痰	tʰã2	
痱	fɘi4	～子
癡	tsʰɿᵊ1	
痹	pʰi2	
瘊	xɘ˞2	
瘌	lɔ2	
瘟	ɣõ1	
瘤	liɘ4	
瘦	sɘ˞4	
瘴	tsã4	
癩	lᴀ4	
癬	ɕiɛ3	
癸	kuɘi3	
登	tɐ̃1	
白	pɘi2	
白	tɕiɘ4	
百	pɘi2	
皂	tsɑ4	
的	ni1	白
的	ti2	目～
皆	kᴀ1	
皇	xuã2	
皖	uɐ̃3	
皮	pʰi2	
皺	tsɘ˞4	
皴	tsʰõ1	
皿	mĩ3	
盂	ʑi2	
盅	tsõ1	
盆	pʰɐ̃2	
盈	zĩ2	
盞	tsã3	
鹽	ʑiɛ2	
監	tɕiɛ1	
盒	xo2	
盔	kʰuɘi1	
盖	kᴀ4	
盜	tɑ4	
盤	pʰã2	
盛	sɐ̃4	～大
盟	mĩ2	
盤	kʉ3	～子
目	mʉ2	
盯	tĩ1	
相	ɕiã1	
相	ɕiã4	～貌
盼	fɐ̃1	
盼	pʰã4	
盾	tõ4	
省	sɐ̃3	
眉	mi2	
眉	mɘi2	画～
看	kʰã4	
真	tsɐ̃1	
眠	miɛ2	
眨	tsɔ2	
眯	mi1	
眶	kʰuã1	
眷	tɕiɛ4	
眼	ʑiɛ3	
着	tso2	
着	tsɑ2	～了
睜	tsɐ̃1	
睏	kʰõ4	
睡	ʃuɘi4	
督	tʉ2	
睬	tsʰᴀ3	
瞄	miɑ2	
瞅	tsʰɘ˞3	
瞎	ɕiɔ2	
瞒	mã2	
瞧	tɕʰiɑ2	
瞪	tɐ̃4	
瞿	tɕʰi2	
矛	mɑ2	
矢	sɿᵊ2	
矩	tɕi3	
矯	tɕiɑ3	
矬	tsʰo2	
短	tuɐ̃3	
矮	ɣᴀ3	
礦	kʰuã4	
碼	mɔ3	
砌	tɕʰi4	
砍	kʰã3	
研	niɛ1	～究
磚	tʃuɐ̃1	
砧	tsɐ̃1	～板
破	pʰo4	
硃	tsʉ1	
硄	kʰuã3	用力敲门
硌	kɐ̃4	
硝	ɕiɑ1	
硫	liɘ2	
硬	ɣɐ̃4	
確	tɕʰio2	
礙	ɣᴀ4	
碎	ʃuɘi4	
碑	pɘi1	
碗	uɐ̃3	
碟	ti2	
碰	pʰõ4	
碴	tsɔ1	
碾	niɛ3	
磁	tsʰɿᵊ2	
磑	ɣᴀ2	
磕	kʰo2	
磨	mo2	～刀
磨	mo4	石～
磬	tsʰĩ4	
礎	tsʰʉ3	
示	sɿᵊ4	
禮	li3	
社	sɘi4	
祀	sɿᵊ4	
祁	tɕʰi2	
祐	ʑiɘ4	
祕	mi2	
祖	tsʉ3	
祝	tsʉ2	
神	sɐ̃2	
祠	tsʰɿᵊ2	
祥	tɕʰiã2	
票	pʰiɑ4	
祭	tɕi4	
禱	tɑ3	
禍	xo4	
禀	pĩ3	
禁	tsĩ4	
禄	lʉ2	
福	fʉ2	
禹	ʑi3	
离	li2	～别
离	li4	一开一寸
禽	tsʰĩ2	
秀	ɕiɘ4	
私	sɿᵊ1	
禿	tʰʉ2	
秆	kã3	
秉	pĩ3	
秋	tɕʰiɘ1	
種	tsõ3	
種	tsõ4	
科	kʰo1	
秒	miɑ3	
秕	pi3	～谷子
秘	mi2	一书；～鲁
租	tsʉ1	
秤	tsʰɐ̃4	
秦	tsʰĩ2	
秧	ʑiã1	
秩	tsʰɿᵊ4	～序
積	tɕi2	
稱	tsʰɐ̃1	～呼
稱	tsʰɐ̃4	～心
移	ʑi2	
稀	ɕi1	
程	tsʰɐ̃2	
稍	sɑ1	
稅	ʃuɘi4	
稗	pᴀ4	
稠	tsʰɘ˞2	
穌	sʉ1	
穩	ɣõ3	
稻	tɑ4	
稼	tɕiɔ1	
稽	tɕi1	
穆	mʉ2	
穗	ʃuɘi4	
穴	ɕi2	
究	tɕiɘ4	
窮	tɕʰiõ2	
空	kʰõ1	
空	kʰõ4	
穿	tʃʰuɐ̃1	
突	tʰʉ2	
窄	tsɘi2	
竅	tɕʰiɑ4	
窑	ʑiɑ2	
窗	tʃʰuã1	
竄	tʃʰuɐ̃4	
窩	ɣo1	
窟	kʰʉ2	
窪	uɔ4	
立	li2	
豎	sʉ4	
站	tsã4	
競	tsĩ4	
章	tsã1	
童	tʰõ2	
端	tuɐ̃1	
競	tsĩ4	
竹	tsʉ2	
竿	kã1	
笋	sõ3	
笑	ɕiɑ4	
笔	pi2	
笔	pi2	～米汤
筧	tɕiɛ3	
笙	sɐ̃1	
符	fʉ2	
笨	pɐ̃4	
第	ti4	
箋	tɕʰiɛ1	
籠	lõ2	
等	tɐ̃3	
筋	tsĩ1	
筐	kʰuã1	
筑	tsʉ2	
筒	tʰõ2	
答	tɔ2	
策	tsʰɘi2	
篩	sᴀ1	
筷	kʰuᴀ4	
籌	tsʰɘ˞2	
簡	tɕiɛ3	
箇	ko2	～旧市
箍	kʉ1	～桶
算	ʃuɐ̃4	
管	kuɐ̃3	
籮	lo2	
簫	ɕiɑ1	
箭	tɕiɛ4	
箱	ɕiã1	
篆	tʃuɐ̃4	
篇	pʰiɛ1	
簍	lɘ˞3	
篡	tʃʰuɐ̃4	
籃	lã2	
篷	pʰõ2	
篾	mi2	
簧	xuã2	
簪	tsã1	
簸	po3	
簿	pʉ4	
米	mi3	
类	luɘi4	
粉	fɐ̃3	
粒	li2	
粗	tsʰʉ1	
粤	ʑi2	
粱	liã2	
糉	tsõ4	
糊	xʉ2	
糕	kɑ1	
糖	tʰã2	
糙	tsʰɑ4	
糟	tsɑ1	
糠	kʰã1	
糯	no4	
系	tɕi4	～鞋带
系	ɕi4	关～
素	sʉ4	
索	so2	
緊	tsĩ3	
累	luɘi3	积～
累	luɘi4	劳～
絮	ɕi4	
繁	fã2	
糾	tɕiɘ1	
紅	xõ2	
紂	tsɘ˞4	
約	ʑio2	
級	tɕi2	
紀	tɕi3	
紉	zɐ̃3	
純	ʃuɐ̃2	
紗	sɔ1	
綱	kã1	
納	nɔ2	
縱	tsõ4	
紛	fɐ̃1	
紋	vɐ̃2	
紡	fã3	
紐	niɘ3	
線	ɕiɛ4	
練	liɛ4	
組	tsʉ3	
紳	sɐ̃1	
細	ɕi4	
終	tsõ1	
縐	tsɘ˞4	
絆	pʰã4	
紹	sɑ4	
經	tsĩ1	
綁	pã3	
絨	zõ2	
結	tɕi2	
繞	zɑ3	围～
繞	zɑ4	
給	kɘi3	
絕	tɕi2	
絞	tɕiɑ3	
統	tʰõ3	
絹	tɕiɛ1	
繡	ɕiɘ4	
綏	ʃuɘi1	
繼	tɕi4	
績	tɕi2	
緒	ɕi4	
續	sʉ2	
繩	ʃuɐ̃2	
維	vɘi2	
綿	miɛ2	
绷	põ1	
綢	tsʰɘ˞2	
綜	tsõ1	
綠	lʉ2	
綴	tʃuɘi2	
緬	miɛ3	
緞	tuɐ̃4	
緩	xuɐ̃3	
縷	lɘ˞3	
編	piɛ1	
緣	ʑiɛ2	
縛	po2	
縫	fõ2	～衣裳
縫	fõ4	门～
纏	tsʰã2	
繳	tɕiɑ3	
缸	kã1	
缺	tɕʰi2	
缽	po2	
罐	kuɐ̃4	
网	vã3	
罕	xã3	
羅	lo2	
罰	fɔ2	
罷	pɔ4	
罩	tsɑ4	
罪	tʃuɘi4	
署	sʉ3	
羊	ʑiã2	
羌	tɕʰiã1	
美	mɘi3	
羔	kɑ1	
羞	ɕiɘ1	
羡	ɕiɛ4	
羣	tsʰĩ2	
羽	ʑi3	
翁	ɣõ1	
翅	tsʰɿᵊ4	
翹	tɕʰiɑ1	
翠	tʃʰuɘi4	
翡	fɘi3	
翰	xã4	
翻	fã1	
翼	ʑi4	
耀	ʑiɑ4	
老	lɑ3	
考	kʰɑ3	
者	tsɘi3	
而	ɣɯ˞2	
耍	ʃuɔ3	
耐	nᴀ4	
耕	kɐ̃1	
耖	tsʰɑ4	翻整
耗	xɑ4	
耙	pɔ4	
耳	ɣɯ˞3	
耶	ʑi1	
耷	tʰɔ1	垂下：～耳朵
恥	tsʰɿᵊ3	
耽	tã1	
聶	ni2	
聊	liɑ2	
聾	lõ1	
聒	kuɔ2	
聘	pʰĩ4	
聰	tsʰõ1	
肅	sʉ2	
肆	sɿᵊ4	
肆	ʑi4	
肉	zʉ2	
肋	lɘi2	
肌	tɕi1	
肖	ɕiɑ1	
肘	tsɘ˞3	
肚	tʉ3	猪～
肚	tʉ4	～子疼
肝	kã1	
腸	tsʰã2	
股	kʉ3	
肤	fʉ1	
肥	fɘi2	
肨	pʰã1	肿～
肩	tɕiɛ1	
肪	fã1	
骯	ɣã1	
肯	kʰɐ̃3	
育	zʉ2	
肴	ʑiɑ2	
肺	fɘi4	
腎	sɐ̃4	
腫	tsõ3	
脹	tsã4	
脅	ɕi2	
胃	uɘi4	
膽	tã3	
背	pɘi1	～人
背	pɘi4	脊～
胎	tʰᴀ1	
胖	pʰã4	
勝	sɐ̃4	
胞	pɑ1	
胡	xʉ2	
胯	kʰuɔ3	
膠	tɕiɑ1	
胸	ɕiõ1	
能	nɐ̃2	
脆	tʃʰuɘi4	
脉	mɘi2	
脊	tɕi2	～梁骨
脏	tsã1	
臍	tɕʰi2	
腦	nɑ3	
膿	nõ2	
腳	tɕio2	
脯	pʰʉ3	
脫	tʰo2	
臉	liɛ3	
脾	pʰi2	
臘	lɔ2	
腐	fʉ3	
腑	fʉ3	
腔	tɕʰiã1	
腕	uɐ̃3	
腥	sĩ1	
腮	sᴀ1	
腰	ʑiɑ1	
腹	fʉ2	
膩	ni4	
騰	tʰɐ̃2	
腿	tʰuɘi3	
膏	kɑ1	
膘	piɑ1	
膝	tɕʰi2	
膳	sã4	
膼	tʃuɔ2	
臂	pɘi4	
臃	ʑiõ1	
臣	tsʰɐ̃2	
臭	tsʰɘ˞4	
舀	ʑiɑ3	
舅	tɕiɘ4	
舍	sɘi3	
舍	sɘi4	
舒	sʉ1	
舔	tʰiɛ3	
舜	sõ4	
舞	vʉ3	
舟	tsɘ˞1	
航	xã2	
般	pã1	
艦	tɕiɛ4	
舵	tʰo2	
船	tʃʰuɐ̃2	
艇	tʰĩ3	
良	liã2	
艱	tɕiɛ1	
色	ɕi2	白
色	sɘi2	
艳	ʑiɛ4	
藝	ʑi4	
艾	ɣᴀ4	
節	tɕi2	
芋	ʑi4	
芍	so2	
芒	mã2	
芥	kᴀ4	
蘆	lʉ2	
芬	fɐ̃1	
芭	pɔ1	
花	xuɔ1	
芳	fã1	
芹	tsʰĩ2	
芽	ʑiɔ2	
葦	uɘi3	
蒼	tsʰã1	
苏	sʉ1	
苔	tʰᴀ1	
苗	miɑ2	
苟	kɘ˞3	
若	zo2	
苦	kʰʉ3	
英	zĩ1	
蘋	pʰĩ2	
茂	mʉ4	
范	fã4	
茄	tɕʰi2	
茅	mɑ2	
茫	mã2	
茯	fʉ2	
茴	xuɘi2	
茶	tsʰɔ2	
茸	zõ2	
荀	sĩ2	
草	tsʰɑ3	
荒	xuã1	
荔	li4	
薺	tɕʰi4	
榮	ʑiõ2	
葷	xõ1	
蕁	ɕi2	～麻
荫	zĩ1	
藥	ʑio2	
荷	xo2	
荸	pi2	～荠
莉	li4	
蓮	liɛ2	
莽	mã3	
菊	tsʉ2	
菌	tsĩ4	
菖	tsʰã1	
菜	tsʰᴀ4	
菢	pɑ4	鸡打～
菩	pʰʉ2	
菱	lĩ2	
萄	tʰɑ1	葡～
萍	pʰĩ2	
萎	uɘi1	
螢	zĩ2	
營	zĩ2	
蕭	ɕiɑ1	
薩	sɔ1	菩～
落	lo2	～下
落	lɑ4	莲花
葛	ko2	
董	tõ3	
葫	xʉ2	
葬	tsã4	
葱	tsʰõ1	
葵	kʰuɘi2	
蔣	tɕiã3	
蒙	mõ1	～一层纸
蒙	mõ2	
蒜	ʃuɐ̃4	
蒯	kʰuᴀ3	
蒲	pʰʉ3	
蒸	tsɐ̃1	
蒿	xɑ1	
蓉	ʑiõ2	
蓑	so1	
蓖	pi4	
藍	lã2	
蓬	pʰõ2	
蔡	tsʰᴀ4	
蔬	sʉ1	
藹	ɣᴀ3	
蔽	pi4	
蕃	fã1	
蕉	tɕiɑ1	
蕊	ʒuɘi3	
蕨	tɕi2	～菜
薄	po2	厚～
薄	po4	～荷
薅	xɑ1	
薛	ɕi2	
薪	sĩ1	
藏	tsʰã2	收～
藏	tsã4	西～
藕	ɣɘ˞3	
藤	tʰɐ̃2	
藿	xo2	
蘸	tsã4	
虎	xʉ3	
虜	lʉ3	
虐	nio2	
虑	li4	
虛	ɕi1	
蟲	tsʰõ2	
虹	kã4	
雖	ʃuɘi1	
蟻	ʑi4	
蚊	vɐ̃2	
蚌	põ4	
蠶	tsʰã2	
蚣	kõ1	
蚤	tsɑ3	
蛀	tsʉ4	
蛆	tɕʰi1	
蛇	sɘi2	
蛋	tã4	
蛙	uɔ1	
蛛	tsʉ1	
蛤	xɔ2	獭～蟆
蠻	mã2	
蛾	ɣo2	
蜀	tsʉ2	
蜂	fõ1	
蜈	vʉ2	
蜒	tʰĩ2	
蛻	tʰõ4	蛇～皮
蜜	mi2	
蠟	lɔ2	
