#漢字	音標	解釋
寒	ɦã	ɦã寒暑
寒	ɡæ̃	ɡæ̃寒門
寒	ɦuə̃	ɦuə̃寒氣（病症）
寓	ȵye	
寓	ye	
寞	mɐʔ	
察	tsʰɐʔ	
寡	kua	
寢	tsʰɪŋ	
寥	liɐɯ	
實	zɐʔ	zɐʔ實踐
實	ʑiɐʔ	老實ʑiɐʔ相
寧	nɪŋ	
寨	zai	
審	sɪŋ	
寫	ɕie	
寬	kʰuã	
寵	tɕʰioŋ	
寶	pɐɯ	
寸	tsʰuə̃	
寺	zə	
寺	ʑi	
封	foŋ	
射	ʑie	ʑie射箭
射	dzəɯ	dzəɯ射獵
射	ʑie	
將	tɕiã	tɕiã將軍
將	tɕiã	tɕã將息
專	tɕyẽ	
尊	tsuə̃	
尋	zɪŋ	
對	tuɐi	
導	dɐɯ	
小	ɕiɐɯ	ɕiɐɯ小鬼
小	səɯ	səɯ小号
小	sa	大小sa
少	sɐɯ	
少	ɕiɐɯ	
尖	tɕiẽ	
尚	dʑiã	和尚dʑiã
尚	ʑiã	ʑiã尚好
尤	iəɯ	
尬	kai	
就	dzəɯ	dzəɯ就業
就	dʑi	就
就	dʑiʔ	肯定、強調
就	dzəɯ	
就	dzəɯʔ	
就	dʑi	
就	dʑiʔ	
尷	kã	
尹	ioŋ	
尹	ɪŋ	
尺	tsʰeʔ	
尼	ȵi	
尾	mi	
尿	ɕyẽ	ɕye尿屎
尿	sa	尿
尿	ȵiɐɯ	ȵiɐɯ尿酸
局	ɡiɐʔ	
屁	pʰi	
居	kye	
屆	kai	
屆	kɐi	
屈	kʰiɐʔ	
屋	oʔ	廳屋oʔ
屋	uɐʔ	uɐʔ屋基
屍	ɕi	
屎	ɕi	
屏	bɪŋ	
屐	kiɐʔ	
屑	sɐʔ	
屑	ɕiɐʔ	
展	tɕiẽ	
屠	duə	
屢	lye	
屢	lue	
層	dzæ̃	
層	zæ̃	
履	li	
屬	ʑioʔ	
屯	duə̃	
山	sã	
岐	ɡi	
岑	zɪŋ	
岔	tsʰa	
岡	kɔ̃	
岩	ŋã	
岳	ŋɐʔ	姓氏
岸	ŋã	
峙	dʑi	
峯	foŋ	
島	tɐɯ	
峽	ɦɐʔ	
崇	zoŋ	zoŋ崇德
崇	dʑioŋ	dʑioŋ崇安（地名）
崔	tsʰuɐi	
崖	ŋa	
崗	kɔ̃	
崛	ɡyɐʔ	
崦	iẽ	
崩	pæ̃	pæ̃崩（裂開）
崩	poŋ	山崩poŋ
嵌	kʰã	kʰã嵌瓷板
嵌	kʰiẽ	鑲嵌kʰiẽ
嶺	lɪŋ	
嶽	ŋeʔ	五嶽ŋeʔ
嶽	ŋɐʔ	ŋɐʔ嶽飛
巍	ue	
巒	luã	
川	tɕʰyẽ	
州	tsəɯ	
巡	ʑioŋ	
巢	zɐɯ	
工	koŋ	
左	tso	
巧	kʰɐɯ	kʰɐɯ巧奪
巧	kʰiɐɯ	kʰiɐɯ巧妙
巨	ɡye	
巫	vuə	
巫	uə	
差	tsʰa	tsʰa差別
差	tsʰai	欽差tsʰai
差	tsʰa	tsʰa差錯
差	tsʰai	出差tsʰai
己	ki	
已	i	
巳	ŋo	端午ŋo節
巳	zə	
巳	ʑi	
巴	pa	尾巴pa
巴	ba	牙巴ba
巷	kɔ̃	
巾	kɪŋ	
市	ʑi	
布	puə	夏布puə
布	pu	pu布告
帆	vã	
帆	fã	
希	xi	
帖	tʰiɐʔ	
帚	tsəɯ	
帛	pɐʔ	
帝	ti	
師	səɯ	səɯ師父
師	sə	老師sə
師	ɕi	ɕi師長
席	zɐʔ	篾席zɐʔ
席	zeʔ	主席zeʔ
帳	tiã	
帳	tiã	蚊帳tiã
帶	tai	
帷	vi	
帷	ue	
常	ʑiã	平常ʑiã無常ʑiã鬼
常	dʑiã	dʑiã常山dʑiã常州
帽	mɐɯ	
幅	fɐʔ	
幔	mã	
幕	mɐʔ	
幕	muə	
幣	bi	
幫	pɔ̃	
幫	piã	
干	kã	余干kã縣
平	bɪŋ	
年	ȵiẽ	
幸	ɦɪŋ	ɦɪŋ幸虧
幸	ɦæ̃	ɦæ̃幸福
幸	ɦɪŋ	萬幸ɦɪŋ
幹	kã	kã幹支
幹	kã	
幻	ɦuã	
幻	uã	
幼	iəɯ	
幽	iəɯ	
幾	kɐi	kɐi幾多時
幾	ki	茶幾ki
幾	kɐi	kɐi幾多錢
庇	pi	
庇	pʰi	
牀	ʑiɔ̃	鉋床ʑiɔ̃
牀	zæ̃	花床zæ̃（傳統民居木床）
序	ʑye	
底	tie	碗底tie
底	ti	下底ti
底	teʔ	teʔ底儂
店	tiẽ	
庚	kæ̃	
府	fuə	
度	duə	
座	zo	星座zo
座	dzo	茶座dzo
庫	kʰuə	
庭	dɪŋ	
庵	æ̃	
庶	ɕye	
康	kʰɔ̃	
庸	ɦioŋ	
廁	tsʰɐʔ	
廁	tsʰə	
廂	ɕiã	
廈	səɯ	消瘦səɯ
廈	ɕiɐɯ	髁髁瘦ɕiɐɯ
廉	liẽ	
廊	lɔ̃	
廓	kʰɐʔ	
廖	liɐɯ	
廚	dʑye	
廝	sə	
廟	miɐɯ	
廠	tɕʰiã	
廢	fi	殘廢fi
廢	fəɯ	fəɯ廢物
廣	kɔ̃	
