#漢字	音標	解釋
藤	dɪŋ	dɪŋ藤椅
藩	vã	
藩	fã	
藹	ɐi	
藿	xuɐʔ	
蘇	suə	
蘭	lã	
蘸	tsã	
虎	xuə	
虐	ȵiɐʔ	
虔	ɡiẽ	
處	tɕʰye	tɕʰye處理
處	tɕʰyeʔ	tɕʰyeʔ處裡（家裡）
虛	xye	氣虛xye
虛	xye	
虜	luə	
虞	ȵye	
號	ɦɐɯ	
虢	kɐʔ	
虧	kue	kue虧虛
虧	ky	喫虧ky
虱	sɐʔ	
虹	kɔ̃	
虹	ɦoŋ	
蚊	voŋ	單字音
蚊	moŋ	moŋ蚊帳
蚊	mæ̃	mæ̃蚊蟲香（驅蚊香）
蚊	mɪŋ	mɪŋ蚊蟲
蚌	pɔ̃	
蚌	pæ̃	
蚤	tsɐɯ	
蚶	xæ̃	
蛆	tɕʰye	
蛇	dʑye	蛇dʑye
蛇	ʑie	四角蛇ʑie
蛇	dzue	蛇dzuedzue蛇子(蛇蛋）
蛋	dã	
蛖	pɔ̃	
蛙	ua	
蛛	tɕye	
蛞	kʰuɐʔ	
蛤	kɐʔ	
蛾	ŋo	
蜀	ʑioʔ	巴蜀ʑioʔ
蜀	dʑiɐʔ	dʑiɐʔ蜀魄
蜂	fɔ̃	
蜆	ɦiẽ	
蜈	ŋə	ŋə蜈蚣
蜓	dɪŋ	
蜜	meʔ	
蜯	pɔ̃	
蜻	tsʰɪŋ	
蝕	zɐʔ	
蝗	ɦɔ̃	
蝙	beɪŋ	
蝟	ue	
蝠	fɐʔ	
蝦	ɡa	ɡa蝦蟆
蝦	ɦa	ɦa蝦蟆草
蝦	xɐʔ	xa蝦蚣
蝶	diɐʔ	
蝸	kua	
蝸	uə	
螂	lɔ̃	
融	ioŋ	
螢	ioŋ	
螢	ȵɪŋ	
螳	dɔ̃	
螺	lo	
蟀	sɐʔ	
蟀	ɕioʔ	
蟄	dzɐʔ	
蟄	tɕiɐʔ	
蟆	ma	
蟬	ʑiẽ	
蟲	dʑioŋ	蚊蟲dʑioŋ
蟲	dʑiɔ̃	螢火蟲dʑiɔ̃
蟲	dɔ̃	蟲dɔ̃
蟶	tsʰɪŋ	
蟹	xai	
蟻	ŋai	ŋai蟻子（螞蟻）
蠅	sɪŋ	
蠍	xiɐʔ	
蠟	lɐʔ	
蠢	tɕʰioŋ	
蠱	kuə	kuə蠱術
蠶	zæ̃	
蠹	tuə	
蠻	mã	
蠻	mæ̃	
血	xyɐʔ	
血	xyeʔ	
行	ɦæ̃	ɦæ̃行政
行	ɦɔ̃	銀行ɦɔ̃
行	ɦɪŋ	ɦɪŋ行事
行	ɦɔ̃	
術	ʑioʔ	
街	kai	
衙	ŋa	
衛	ue	
衡	ɦæ̃	
衣	i	
表	piɐɯ	
衩	tsʰa	
衰	sue	
衰	suai	
衿	kɪŋ	
袁	yẽ	
袋	dɐi	
袍	pɐɯ	
袖	zəɯ	
被	bi	
袱	vɐʔ	
袱	fɐʔ	
袷	kɐʔ	
裁	zɐi	zɐi裁縫
裁	dzɐi	dzɐi裁判
裂	liɐʔ	
裕	ye	
裙	ɡioŋ	
補	puə	
裝	tɕiɔ̃	
裝	tiɔ̃	
裝	tæ̃	
裝	tæ̃	tæ̃裝飯（盛飯）
裝	tiɔ̃	tiɔ̃裝潢
裝	tɕiɔ̃	洋裝tɕiɔ̃
裡	li	
裡	lie	
裨	pi	
裳	ʑiã	
裸	lo	
裹	kua	
複	foʔ	
褒	pɐɯ	
褚	tye	
褚	tɕʰye	
褚	tɕye	
褥	ʑioʔ	
褪	tʰoŋ	
褪	tʰuɐi	
褯	zɐʔ	
褲	kʰuə	
褻	ɕiɐʔ	
襄	ɕiã	
襖	ɐɯ	
襟	kɪŋ	
襪	mɐʔ	
襯	tsʰɪŋ	
襲	zɐʔ	
襻	pʰã	
西	ɕi	
西	sɐi	
西	səɯ	
要	iɐɯ	
覆	pɐʔ	pɐʔ覆（扒）
見	kiẽ	
規	kue	
規	kuɐi	
覓	mɐʔ	
視	ʑi	
親	tsʰɪŋ	
覺	kɐʔ	自覺kɐʔ
覺	kyɐʔ	kyɐʔ覺悟
覺	kyeʔ	kyeʔ覺醒
覺	kiɐɯ	午覺kiɐɯ
覺	kɐɯ	睏覺kɐɯ
覽	lã	
觀	kuã	
角	kɐʔ	
解	ka	ka解釋
解	kai	kai解放
解	ɦai	助動詞
觸	tɕʰiɐʔ	接觸tɕʰiɐʔ
觸	dʑiɐʔ	dʑiɐʔ觸電
觸	tɕʰioʔ	接觸tɕʰioʔ
言	ȵiẽ	
訂	tɪŋ	
訃	puə	puə訃告
訃	fuə	fuə訃文
計	ki	
訊	sɪŋ	
討	tʰɐɯ	探討tʰɐɯ
討	tʰuə	tʰuə討飯儂tʰuə討（取、摘、娶）
訓	xioŋ	
訓	ɕioŋ	
訕	sã	
訖	kieʔ	
記	ki	
訛	ŋa	ŋa訛詐
訛	ŋo	ŋo訛誤
訝	ŋa	
訟	zoŋ	
訣	kyeʔ	
訪	fɔ̃	
設	ɕiɐʔ	
許	xɐi	xɐi許配
許	xye	允許xye
訴	suə	
診	tsɪŋ	
詐	tsa	
詔	tɕiɐɯ	
評	bɪŋ	
詞	zə	
詠	ioŋ	
詢	ɕioŋ	
詢	ɕiã	
詣	ȵi	
試	ɕi	
試	səɯ	
詩	ɕi	
詩	sə	
詫	tsʰa	
詭	kue	
詰	kʰieʔ	
話	ua	
該	kɐi	
詳	ʑiã	
詼	kuɐi	
誅	tɕye	
誌	tɕi	
認	zɪŋ	zɪŋ人生
認	nɪŋ	nɪŋ認識
誓	ɕi	
誓	sə	
誕	tã	
誘	iəɯ	
語	ȵye	
誠	zɪŋ	
誣	vuə	
誣	uə	
誤	ȵo	ŋo誤傳
誤	ŋuə	錯誤ŋuə
誦	dzoŋ	
說	ɕyɐʔ	
說	ɕioʔ	
說	ɕieoʔ	
誰	zue	
課	kʰua	
誼	ȵi	
調	diɐɯ	
諄	tsã	
諄	tɕiã	
諄	tɕyẽ	
談	dã	
請	tsʰɪŋ	
諒	liã	
論	luə̃	luə̃論文
論	lɪŋ	lɪŋ論語
論	læ̃	理論læ̃
諜	diɐʔ	
諞	biẽ	
諧	ɦɐi	
諫	kã	
諮	tsə	
諱	xue	
諳	æ̃	
諷	foŋ	
諸	tɕye	
諺	ȵiẽ	
諾	ȵiɐʔ	
諾	nɐʔ	
謀	məɯ	
謀	mo	
謁	iɐʔ	
謂	ue	
謄	dæ̃	
謊	xɔ̃	
謎	mi	
謗	pɔ̃	
謙	kʰiẽ	
講	kɔ̃	
謝	dʑie	多謝dʑie
謝	ʑie	ʑie謝疊山（姓名）
謠	iɐɯ	
謬	mɐɯ	
謬	miɐɯ	
謳	ɐɯ	
謹	kɪŋ	
證	tsɪŋ	
譏	ki	
譚	dæ̃	
譜	pʰuə	
譜	puə	
警	kɪŋ	
譬	pʰi	
譯	iɐʔ	
議	ȵi	
護	uə	
譽	ye	
讀	dɐʔ	
變	piẽ	
讎	zəɯ	
讒	zã	
讒	dzã	
讓	ȵiã	轉讓ȵiã
讓	ȵiæ̃	禮讓ȵiæ̃
讓	ʑiã	ʑiã讓（姓氏）
讚	tsã	
訖	ki	
豁	xuɐʔ	
豆	dəɯ	
豈	kʰi	
豉	ʑi	鹹豉ʑi
豉	ʑie	豆豉ʑi子
豌	uã	
豎	ʑye	
豐	foŋ	
豔	iẽ	
豕	ʑi	
豚	duə̃	
象	ʑiã	
豪	ɦɐɯ	
豫	ye	
豬	ta	
豬	ta	生豬ta頭
豹	pɐɯ	
豺	zai	
貂	tiɐɯ	
貅	xiəɯ	
貌	mɐɯ	
貓	mɐɯ	
貓	miɐɯ	
貔	bi	
貝	pɐi	
貞	tsɪŋ	
負	vuə	
負	fuə	
財	zɐi	永財zɐi（人名）
財	dzɐi	發財dzɐi
貢	koŋ	
貧	bɪŋ	
貨	xua	百貨xua
販	fã	
販	pã	
貪	tʰã	
貫	kuã	
責	tsɐʔ	
貳	ȵi	
貴	ky	死貴ky
貴	kue	kue貴賤
貶	piẽ	
買	ma	
買	mai	
貸	dɐi	
費	fi	
貼	tʰiɐʔ	
貽	i	
貿	mɐɯ	
賀	ɦo	
賂	luə	
賃	lɪŋ	
賄	xuɐi	
資	tsə	
賈	ka	ka賈（姓氏）
賈	kuə	商賈kuə
賈	ka	ka賈寶玉
賊	zɐʔ	
賒	səɯ	
賒	ɕie	
賓	pɪŋ	
賜	sə	
賜	tsʰə	
賞	ɕiã	
賠	bɐi	
賢	ɦiẽ	
賢	ʑiẽ	
賣	ma	
賣	mai	
賤	dʑiẽ	
賤	ʑiẽ	
賦	fuə	
質	tseʔ	
賬	tiã	
賬	tiã	賒帳tiã
賭	tuə	
賴	lã	
賺	dzã	
購	kəɯ	
賽	sai	
贅	tsue	
贈	dzæ̃	
贊	tsã	
贍	zã	
贓	tsɔ̃	
贖	ʑiɐʔ	
赤	tsʰɐʔ	
赤	tsʰeʔ	
赦	ɕie	
赧	ȵiã	
赫	xɐʔ	
走	tsəɯ	
赴	fuə	
赴	puə	
起	kʰi	
起	xi	
趁	tsʰɪŋ	
超	tɕʰiɐɯ	
越	yɐʔ	yɐʔ越南
越	vɐʔ	vɐʔ越國
趕	kuə̃	
趙	dʑiɐɯ	
趟	tʰɔ̃	
趣	tsʰue	
趣	tɕʰye	
趨	tɕʰye	
趨	tsʰue	
足	tsoʔ	知足tsoʔ
足	tɕioʔ	手足tɕioʔ
趾	tɕi	
趾	tsə	
跋	pɐʔ	
跌	tieʔ	
跑	pʰɐɯ	
跛	po	顛跛po
距	ɡye	
跟	kæ̃	
跡	tseʔ	
跨	kʰua	
跪	kue	
跪	ky	
路	luə	
跳	tʰiɐɯ	
踏	dɐʔ	
踐	dʑiẽ	
踢	tʰɐʔ	
踱	dɐʔ	
蹄	di	
蹤	tɕioŋ	
蹤	tsoŋ	
蹲	tuə̃	
躁	tsɐɯ	
躍	iɐʔ	
身	sɪŋ	sɪŋ身體
身	sɐʔ	sɐʔ身軀
躬	koŋ	
躬	kioŋ	
躲	to	
躺	tʰɔ̃	
車	tɕʰie	腳踏車tɕʰie
車	kye	kye車馬炮
車	tɕʰie	火車tɕʰie
軋	tsʰɐʔ	
軌	kue	
軍	kioŋ	
軒	xiẽ	
軒	xyẽ	
軛	ŋɐʔ	
軟	ȵyẽ	
軸	dʑiɐʔ	dʑiɐʔ軸承
軸	dzɐʔ	捲軸dzɐʔ
軻	ko	
較	kɐɯ	計較kɐɯ
較	kiɐɯ	kiɐɯ較對
載	tsɐi	
輒	tɕiɐʔ	
輔	fuə	
輕	kʰɪŋ	
輛	liã	
輜	tsə	
輝	xue	
輟	tiɐʔ	
輟	tɕiɐʔ	
輦	liẽ	
輦	ȵiẽ	
輩	pɐi	
輪	lɪŋ	
輯	tsʰɐʔ	
輸	ɕye	
轄	xɐʔ	
轄	ɦɐʔ	
轉	tyẽ	tyẽ轉來
轉	tɕyẽ	tɕyẽ轉告
轉	tyẽ	tyẽ轉去（回去、回家）
轍	dʑiɐʔ	
轍	dzɐʔ	
轎	ɡiɐɯ	
轟	xoŋ	
轡	pi	
辛	sɪŋ	
辜	kuə	
辟	pʰɐʔ	
辣	lɐʔ	
辦	bã	
辨	biẽ	
辭	zə	
辮	miẽ	
辯	biẽ	
辰	zɪŋ	
辱	ʑioʔ	榮辱ʑioʔ
辱	luə	侮辱luə
農	nen	
迂	ye	
迄	kʰieʔ	
迅	ɕioŋ	
迅	sɪŋ	
迎	ȵɪŋ	
近	ɡɪŋ	ɡɪŋ近視眼
近	ɡæ̃	ɡæ̃近近兒（非常近）
迓	ŋa	
迥	tɕioŋ	
迫	pʰɐʔ	
迭	diɐʔ	
迭	tiɐʔ	
述	ʑioʔ	
迷	mi	
迸	pæ̃	
追	tsue	
退	tʰuɐi	
送	soŋ	
逃	dɐɯ	
逆	lɐʔ	
逆	ȵi	
透	tʰəɯ	
逐	dʑiɐʔ	
途	duə	
逗	dəɯ	
逗	təɯ	
通	tʰoŋ	
逛	kɔ̃	
逛	kuɔ̃	
逝	ɕi	
逝	sə	
逞	dzɪŋ	
速	soʔ	
造	dzɐɯ	
逢	voŋ	
逢	foŋ	
連	liẽ	
進	tsɪŋ	
逵	ɡue	
逸	ieʔ	
逸	iɐʔ	
逼	pieʔ	女陰
逼	peʔ	威逼peʔ
逾	ye	
遁	duə̃	
遁	dæ̃	
遂	zue	
遇	ȵye	
遊	iəɯ	
運	ioŋ	
遍	piẽ	
遍	pʰiẽ	
過	kua	
遐	ɦa	
道	dɐɯ	
達	dɐʔ	
違	ue	
遜	suə̃	
遞	di	傳遞di
遞	die	die遞鋪
遠	xoŋ	
遠	yẽ	
遠	xoŋ	老遠xoŋ（好遠、很遠）
遠	yẽ	望遠yẽ鏡
遣	kʰiẽ	
適	seʔ	
遭	tsɐɯ	
遮	tɕie	
遲	dʑi	dʑi遲到
遲	dɐi	dɐi遲來（晚到）
遵	tsɪŋ	
遵	tsuə̃	
遵	tsæ̃	
遷	tɕʰiẽ	
選	ɕyẽ	
遺	i	
遼	liɐɯ	
遽	ɡye	
避	bi	
邀	iɐɯ	
邁	mai	
還	uã	
邊	piẽ	
邑	iɐʔ	
邦	pɔ̃	
邪	ʑie	
邯	ɦæ̃	
邵	ʑiɐɯ	
郊	kɐɯ	
郎	lɔ̃	
郡	ɡioŋ	信美郡ɡioŋ
部	buə	
郭	kuɐʔ	
郵	iəɯ	
都	tuə	首都tuə
都	toʔ	toʔ副詞
都	teʔ	teʔ副詞
鄂	ŋɐʔ	
鄉	xiã	
鄒	tsəɯtɕiəɯ	鄒tsəɯ（姓氏）胡鄒tɕiəɯ
鄙	pi	
鄧	dæ̃	
鄭	dzɪŋ	
鄭	dzɪŋ	dzɪŋ鄭家底
鄰	lɪŋ	
鄻	liẽ	
酉	iəɯ	
酌	tɕiɐʔ	
配	pʰɐi	
酒	tsəɯ	
酣	xã	
酥	suə	
酪	lɐʔ	
酬	dzəɯ	
酵	kɐɯ	
酷	kʰoʔ	
酸	suə̃	
酸	ɕi	
酸	suə̃	suə̃酸辣湯
酸	ɕi	澀酸ɕi
醇	ʑioŋ	
醉	tsuɐi	
醋	tsuə	
醒	sɪŋ	
醒	sɪŋ	清醒sɪŋ
醒	sæ̃	sæ̃醒蘇
醜	tsʰəɯ	
醫	i	
醬	tɕiã	
釀	ȵiã	
釁	xɪŋ	
釅	ȵiẽ	
采	tsʰɐi	
釉	iəɯ	
釋	seʔ	
重	dʑioŋ	輕重dʑioŋ
重	dʑiɔ̃	重dʑiɔ̃(迭加、層層層迭)
重	dʑioŋ	dʑioŋ重（量詞）
野	ie	
量	liã	質量liã
量	læ̃	量詞
量	liã	計量liã
量	læ̃	læ̃量米
金	kɪŋ	
釘	tɪŋ	
釜	vuə	刀斧vuə
釜	puə	puə斧頭
釜	fuə	fuə斧頭
釜	vuə	破釜vuə沉舟
釜	fuə	加壓釜fuə
針	tsæ̃	
釣	tiɐɯ	
釵	tsʰai	
鈍	duə̃	
鈍	dæ̃	
鈑	pã	
鈔	tsʰɐɯ	
鈞	kioŋ	
鈰	ʑi	
鈴	lɪŋ	
鈸	bɐʔ	
鈽	duə	
鉗	ɡiẽ	
鉛	iẽ	iẽ鉛山縣
鉛	kʰiẽ	kʰiẽ鉛筆
鉛	kʰiã	金屬
鉛	kʰã	kʰã鉛版
鉤	kəɯ	
鉸	kɐɯ	kɐɯ鉸剪（剪刀）
鉻	lɐʔ	
鉿	ka	
鉿	kʰa	
銀	ȵɪŋ	
銃	tɕʰioŋ	
銅	doŋ	
銘	mɪŋ	
銜	ŋã	
銜	ɦã	
銷	ɕiɐɯ	
銼	tsʰo	
鋒	foŋ	
鋤	za	
鋤	sa	
鋦	kiɐʔ	
鋪	pʰuə	
鋭	sue	
鋭	lue	
鋸	kə	鋸kə（名詞）
鋸	ɡəɯ	鋸ɡəɯ（動詞）
鋼	kɔ̃	
錄	lɐʔ	
錐	tsue	
錐	tsuɐi	
錘	dzue	
錘	dʑy	
錠	dɪŋ	
錢	dʑiẽ	
錢	ʑiẽ	
錢	dʑiẽ	dʑiẽ錢學森（姓名）
錢	ʑiẽ	銅錢ʑiẽ
錦	kɪŋ	
錫	ɕieʔ	ɕieʔ錫紙
錫	seʔ	無錫seʔ
錯	tsʰo	tsʰo錯誤
錯	tsʰeoʔ	tsʰeoʔ錯雜
錯	tsʰoʔ	tsʰoʔ錯雜
錯	tsʰo	犯錯tsʰo
鍁	xiẽ	
鍋	kua	
鍍	duə	
鍘	zɐʔ	
鍛	duə̃	
鍬	tɕʰiɐɯ	
鍵	kiẽ	
鎖	so	
鎢	uə	
鎮	tsɪŋ	
鏟	tsʰã	
鏡	kɪŋ	
鏽	səɯ	
鐃	nɐɯ	
鐘	tioŋ	tioŋ鐘無豔（姓名）
鐘	tɕioŋ	tɕioŋ鐘錶
鐘	tɕioŋ	tɕioŋ鐘（姓氏）
鐮	liẽ	
鐲	dʑiɐʔ	
鐲	dʑyɐʔ	
鐵	tʰiɐʔ	
鐸	dɐʔ	鈴鐸dɐʔ
鐸	doʔ	牛鐸doʔ
鐸	duə	姓氏
鐺	tɔ̃	
鐺	tsʰæ̃	
鑄	tɕye	
鑊	ɦɐʔ	
鑒	kã	台鑒kã
鑒	kæ̃	kæ̃堅拔
鑒	kiẽ	kiẽ鑒別
鑞	lɐʔ	
鑫	xɪŋ	皓鑫xɪŋ
鑫	sɪŋ	sɪŋ鑫鑫
鑰	iɐʔ	
鑲	ɕiã	
鑷	ȵiɐʔ	
鑼	lo	
鑽	tsuə̃	
鑽	tsã	
鑽	tɕuã	
鑾	luã	
鑿	zɐʔ	
钀	ŋɐʔ	
钀	ȵiɐʔ	
钁	kiɐʔ	
長	dæ̃	dæ̃長（量詞）dæ̃長短
長	dʑiã	dʑiã長江
長	tɕiã	村長tɕiã
門	mɪŋ	mɪŋ門第
門	moŋ	moŋ門風
門	mæ̃	郭門mæ̃
閂	ɕyẽ	
閂	suã	
閃	ɕiẽ	
閉	pi	
開	kʰai	
閏	ʑioŋ	
閑	ɦã	
閒	ɦã	
間	kã	冬間kã（冬季）
間	kiẽ	kiẽ間諜kiẽ間接
間	kiã	草間kiã
閘	zɐʔ	
閣	kɐʔ	
閣	keoʔ	
閧	ɦioŋ	
閧	ɦoŋ	
閨	kue	
閩	mɪŋ	
閱	yɐʔ	
閹	iẽ	
閻	ȵiẽ	
閻	iẽ	
闊	kʰuɐʔ	
闕	kʰyɐʔ	
關	kuã	開關kuã
關	koŋ	koŋ關門
阜	vuə	
阜	puə	
阮	ȵyẽ	
防	fɔ̃	
防	bɔ̃	
阻	tsuə	
阿	a	阿（虛詞）
阿	o	o阿膠
阿	ŋa	ŋa阿開（張開）
阿	o	o阿彌陀佛
阿	a	a阿嘴（開口）
陀	do	阿彌陀do佛
陀	dɐɯ	普陀dɐɯ山
附	vuə	vuə附會
附	fuə	fuə附件
陋	liəɯ	
陌	mɐʔ	
陌	moʔ	
降	kɔ̃	霜降kɔ̃
降	kiã	升降kiã
降	ɦɔ̃	投降ɦɔ̃
限	ɦã	
陛	pi	
陝	ɕiẽ	
陟	tiɐʔ	
陡	təɯ	
院	yẽ	
陣	dzɪŋ	
除	duə	duə除衫(脫衣服)
除	dʑye	dʑye除夕乘除dʑye
陪	bɐi	
陰	ɪŋ	
陳	dzɪŋ	姓氏
陳	dʑyẽ	腐敗變質
陳	dzɪŋ	dzɪŋ陳賡
陳	dʑyẽ	dʑyẽ陳米
陵	lɪŋ	
陶	dɐɯ	
陷	ɦã	
陸	lɐʔ	
陸	loʔ	
陽	iã	
隆	loŋ	
隊	duɐi	
隋	zuə̃	
階	kai	
隔	kɐʔ	
隕	ioŋ	
隕	yn	
隘	ai	
隙	kʰieʔ	
際	tɕi	
障	tɕiã	
隧	zue	
隨	zue	
險	xiẽ	
隱	ɪŋ	
隴	loŋ	
隸	dai	
隸	dɐi	
隸	li	
隻	tsɐʔ	
雀	tɕiɐʔ	
雁	ŋã	
雁	ŋai	
雁	ŋai	ŋai雁鵝（大雁）
雄	ɦioŋ	
雅	ŋa	
集	dzɐʔ	dzɐʔ集中
集	zɐʔ	zɐʔ集郵
雇	kuə	
雉	dzəɯ	
雌	tsʰə	
雍	ioŋ	ioŋ雍正
雍	ɦioŋ	ɦioŋ雍閑
雕	tiɐɯ	
雖	sue	
雖	səɯ	
雙	ɕiɔ̃	
雙	sɔ̃	
雙	ɕiɔ̃	單雙ɕiɔ̃
雙	sɔ̃	sɔ̃雙全
雛	zye	
雜	dzɐʔ	
雜	zɐʔ	
雞	ki	
離	li	li離休
離	lie	lie離婚
離	li	距離li
難	nã	苦難nã
難	nɔ̃	消nɔ̃難擋災
雨	ye	
雨	yeʔ	
雨	yeʔ	落雨yeʔ
雪	ɕyɐʔ	
雲	ioŋ	
零	lɪŋ	
雷	luɐi	
雹	bɐɯ	
電	diẽ	
需	ɕye	
霄	ɕiɐɯ	
霆	dɪŋ	
震	tsɪŋ	
霍	xuɐʔ	xuɐʔ霍閃（閃電）
霍	xɐʔ	姓氏
霎	sɐʔ	
霜	ɕiɔ̃	ɕiɔ̃霜降
霜	sɔ̃	風霜sɔ̃
霜	ɕiɔ̃	糖霜ɕiɔ̃（白糖)
霞	ɦa	
霧	vuə	
霧	muə	
露	luə	
霸	pa	
霹	pʰɐʔ	
靄	ɐi	
靈	lɪŋ	
青	tsʰɪŋ	
靜	dzɪŋ	
非	fi	
靠	kʰɐɯ	
靡	mi	
面	miẽ	
靨	iɐʔ	
革	kɐʔ	
靴	xye	xye靴筒
靴	xyɐʔ	xyɐʔ靴子
鞋	ɦai	
鞍	æ̃	
鞏	kioŋ	kioŋ鞏（姓氏）
鞏	koŋ	koŋ鞏固koŋ鞏金甌
鞘	tɕʰiɐɯ	
鞘	ɕiɐɯ	
鞭	piẽ	
韓	ɦã	
韓	ɦɔ̃	
韭	kəɯ	
音	ɪŋ	
韶	ʑiɐɯ	
韻	ioŋ	
響	xiã	
頂	tɪŋ	
頃	kʰɪŋ	
頃	kʰioŋ	
項	ɦɔ̃	
順	ʑioŋ	
須	ɕye	必須ɕye
頌	zoŋ	
預	ye	
頑	uã	
頒	pã	
頓	tuə̃	
頗	pʰai	偏頗pʰai
頗	pʰai	
領	lɪŋ	
頭	dəɯ	
頸	kɪŋ	
頹	tʰɐʔ	
頹	dɐʔ	
頻	bɪŋ	
顆	kʰua	kʰua顆粒
顆	kʰo	kʰo顆（量詞）
題	di	
額	ŋɐʔ	龍門額ŋɐʔ
額	ŋeʔ	金額ŋeʔ
額	ŋɐʔ	
顏	ŋã	
願	ȵyẽ	
顛	tiẽ	
類	lue	
顧	kuə	
顫	tɕiẽ	
顯	xiẽ	
風	foŋ	
風	fɔ̃	
風	foŋ	起風foŋ
風	fɔ̃	fɔ̃風華
颼	səɯ	
飄	pʰiɐɯ	
飆	piɐɯ	
飛	fi	
飛	pi	
食	zɐʔ	
飩	dɪŋ	
飩	duə̃	
飭	xɐʔ	
飯	vã	vã飯甑山
飯	fã	咥飯fã
飯	mɔ̃	咥飯mɔ̃（兒語）
飲	ɪŋ	
飼	zə	
飼	ʑi	
飽	bɐɯ	
飾	seʔ	
餃	kiɐɯ	
餅	pɪŋ	
餉	ɕiã	
養	iã	
養	iɔ̃	
餌	ȵi	
餌	ə	
餐	tsʰã	
餒	nuɐi	
餓	ŋo	ŋo餓撈
餓	uai	uai餓腹
餘	ye	
餛	uə̃	
館	kuã	
餮	tʰiɐʔ	
餿	səɯ	
餿	ɕiɐɯ	
饅	mæ̃	
饑	ki	ki饑荒
饑	kɐi	腹饑kɐi
饑	ki	ki饑餓
饒	ȵiɐɯ	
饕	tʰɐɯ	
饞	zã	
饞	dzã	
首	səɯ	
香	xiã	
馬	ma	
馮	voŋ	voŋ馮玉祥（姓名）
馮	foŋ	foŋ馮恃
馮	bɪŋ	bɪŋ馮氣（脹氣）
馱	do	
馳	dʑi	
駁	pɐʔ	
駐	dʑye	
駒	kye	
駕	ka	
駛	ɕi	駕駛ɕi證
駛	səɯ	səɯ駛步
駝	do	
駢	bɪŋ	
駭	ɦɐi	
駱	lɐʔ	
騎	ɡi	ɡi騎馬
騎	ɡie	坐騎ɡie
騙	pʰiẽ	
騰	dæ̃	
騷	sɐɯ	
騾	lo	
驅	kʰye	
驕	kiɐɯ	
驗	ȵiẽ	
驚	kɪŋ	kɪŋ驚蟄
驚	kuæ̃	kuæ̃驚儂（嚇人）
驟	zəɯ	
驢	lye	
骨	kuɐʔ	
骨	koʔ	
骨	kyeʔ	
骯	ɦɔ̃	
髒	tsɔ̃	tsɔ̃髒亂
髓	zue	
髓	zy	
髓	zuə̃	
體	tʰi	
高	kɐɯ	
鬃	tsoŋ	
鬆	soŋ	soŋ鬆香
鬈	ɡyẽ	
鬚	ɕye	掛鬚ɕye
鬚	səɯ	鬍鬚səɯ
鬥	təɯ	
鬧	nɐɯ	
鬮	kəɯ	
鬱	yɐʔ	山郁yɐʔ珍奇
鬼	kuɐi	
魁	kuɐi	
魁	kue	
魂	uə̃	
魄	pʰɐʔ	
魅	mi	
魈	ɕiɐɯ	
魍	mæ̃	
魎	liã	
魏	ue	
魑	tsʰə	
魔	mo	
魘	iɐʔ	
魚	ŋə	
魯	luə	
鮑	bɐɯ	
鮮	ɕiẽ	朝鮮ɕiẽ
鮮	ɕyẽ	ɕyẽ鮮味
鯉	li	
鯗	ɕiã	
鯨	ɡɪŋ	
鯰	ȵiẽ	
鯽	dzɪŋ	
鰐	ŋɐʔ	
鰣	ʑi	
鰥	kuã	
鰭	ɡi	
鰾	biɐɯ	
鱉	piɐʔ	
鱔	dʑyẽ	黃鱔dʑyẽ（蛇魚）
鱖	kue	
鱗	lɪŋ	
鱷	ŋɐʔ	
鳥	tiɐɯ	麻雀鳥tiɐɯ
鳥	ȵiɐɯ	候鳥ȵiɐɯ
鳥	tiɐɯ	
鳥	ȵiɐɯ	
鳩	kəɯ	
鳳	voŋ	
鳳	foŋ	
鳴	mɪŋ	
鴈	ŋã	
鴉	a	
鴉	o	
鴟	tɕʰi	
鴟	tsʰə	
鴨	ɐʔ	
鴻	ɦoŋ	
鴻	koŋ	
鴿	kɐʔ	
鵝	ŋo	
鵡	vu	
鵡	uə	
鵲	tɕʰiɐʔ	
鵲	tɕʰyɐʔ	
鶯	ɦioŋ	
鶯	ȵɪŋ	
鶴	ɦɐʔ	
鶴	ŋɐʔ	
鷗	əɯ	
鷹	ɪŋ	
鸚	ɪŋ	
鸞	læ̃	
鹵	luə	
鹹	ɦã	
鹹	ã	
鹻	kã	
鹽	iẽ	
鹿	lɐʔ	
鹿	luə	
麗	li	
麗	liʔ	
麥	mɐʔ	
麻	ma	
麼	meʔ	
麼	mɐʔ	
麾	xue	
麾	xuɐi	
黃	ɦɔ̃	
黍	ɕye	
黎	li	
黏	ȵiẽ	
黑	xɐʔ	
默	mɐʔ	
點	tiẽ	
黟	i	i黟縣
黨	tɔ̃	
黴	mi	
鼎	tɪŋ	
鼓	kuə	
鼠	tɕʰie	
鼻	bɐʔ	bɐʔ鼻頭
鼻	biɐʔ	豬鼻biɐʔ頭
鼾	xã	
齊	dʑi	
齊	zəɯ	
齋	tsai	
齒	tɕʰi	
齒	tsʰəɯ	
齒	tsʰə	
齦	kʰæ̃	
龍	lioŋ	板龍lioŋ燈
龍	loŋ	loŋ龍（姓氏）
龍	liɔ̃	舞龍liɔ̃燈
龐	bɔ̃	
龕	kʰæ̃	
龜	kue	
龜	ky	
