#漢字	音標	解釋
㲃	tɕiəu5	拧
待	tai5	
很	hən3	
徊	fəi2	
律	li2	
後	həu5	
徐	ɕi2	
徐	ɕy2	
徑	tɕin5	
徒	tʰəu2	
得	te2	
徘	pʰai2	
徙	sɿ2	
從	tsʰoŋ2	
徠	lai2	
御	ʑy5	
徨	faŋ2	
復	fu2	恢复，报复、重复
復	fu5	复原、光复
循	ɕyn2	
徬	faŋ2	
微	vəi1	
徵	tsən1	
德	te2	
徹	tsʰe2	
徽	fəi1	
心	sin1	老
心	ɕin1	新
必	pi2	
忌	tɕi5	
忍	ɣən3	白
忍	zən3	
忐	tʰan3	
忑	tʰe2	
忒	tʰe2	
忖	tsʰən3	
志	tsɿ5	
忘	vaŋ5	
忙	maŋ2	
忠	tsoŋ1	
快	kʰuai5	
忱	tsʰən2	
念	ȵien5	
忸	ȵiəu3	
忽	fu2	
忿	fən5	
怎	tsən3	
怒	nəu5	
怔	tsən1	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	tai5	
急	ti2	白读，急忙
急	tɕi2	文读
怦	pʰoŋ1	
性	sin5	老
性	ɕin5	新
怨	ʑyen5	
怪	kuai5	
怯	tɕʰie5	
恃	sɿ5	
恆	hən2	
恆	hən5	恒心
恍	faŋ3	
恐	kʰoŋ3	
恕	səu5	
恕	ɕy5	
恢	fəi1	
恤	ɕy5	
恥	tsʰɿ3	
恨	hən5	
恩	ŋən1	
恫	toŋ5	
恬	tʰien2	
恭	koŋ1	
息	ɕi2	
恰	tɕʰia2	
恿	ʑoŋ3	
悄	tsʰiau3	老
悄	tɕʰiau3	新
悅	ʑye2	
悉	ɕi1	
悍	han5	
悔	fəi3	
悖	pəi5	
悟	vu5	
悠	ʑəu1	
患	fan5	
您	ȵin2	
悲	pəi1	
悴	tsʰəi5	
悶	mən5	
悸	tɕi5	
悼	tau5	
悽	tsʰəi1	
情	tsʰin2	老
惋	van3	
惑	ho5	
惕	tʰi5	
惚	fu2	
惜	si2	老
惜	ɕi2	新
惟	vəi2	
惠	fəi5	
惡	ɣo2	
惡	ɣo5	
惦	tien5	
惰	to5	
惱	nau3	
想	siaŋ3	老
想	ɕiaŋ3	新
惶	faŋ2	
惹	ɣe3	
惺	sin1	老
惺	ɕin1	新
惻	tsʰe2	
愁	tsʰəu2	
愈	ʑy5	
愉	ʑy2	
愎	pi5	
意	ʑi5	
愕	ɣo2	
愚	ʑy2	
愛	ŋai5	
愜	tɕʰie5	
感	kan3	
愣	nən5	
愧	kuəi5	
愾	kʰai5	
愿	ʑyen5	
慄	li2	
慇	ʑin1	
慈	tsʰɿ2	
態	tʰai5	
慌	faŋ3	
慎	tsʰən5	
慕	mu5	
慘	tsʰan3	
慚	tsʰan2	
慢	man5	
慣	kuan5	
慧	fəi5	
慨	kʰai3	
慪	ŋəu3	
慫	soŋ2	
慮	ləi5	
慮	li5	
慰	vəi5	
慶	tɕʰin5	
慾	ʑy5	
憂	ʑəu1	
憊	pəi5	
憋	pie2	
憎	tsən5	
憐	lien2	
憑	pən5	白，依靠
憑	pʰin2	
憔	tsʰiau2	老
憔	tɕʰiau2	新
憚	tan5	
憤	fən5	
憨	han1	
憫	min3	
憲	ɕien5	
憶	ȵi5	老
憶	ʑi5	新
憾	han5	
懂	toŋ3	
懇	kʰən3	
懈	ɕie5	
應	ʑin1	应有
應	ʑin5	应该
懊	ŋau5	
懣	mən5	
懦	no5	
懲	tsʰən3	
懶	lan3	
懷	fai2	
懸	ɕyen2	
懺	tsʰen5	老
懼	tɕy5	新
懾	se2	
戀	ȵien5	
戈	ko1	
戊	vu5	
戌	səu5	
戍	səu5	
戍	ɕy5	
戎	ɣoŋ2	
成	tsʰən2	
我	ŋo3	
戒	kai5	文读
戒	ke5	白读，戒子
或	fe2	白读
或	ho5	文读
戚	tsʰi2	
戛	ka2	
戟	tɕi3	
戡	kʰan1	
戧	tɕʰiaŋ1	
戩	tɕien3	新
戩	tsien3	老
截	tɕie2	新
截	tse2	老
戮	ləu5	
戰	tsen5	
戲	ɕi5	
戳	tsʰo2	文读
戳	to2	白读
戴	tai5	
戶	fu5	
戽	fu5	戽水
戾	li5	
房	faŋ2	
房	pʰaŋ2	
所	so3	
扁	pien3	
扁	pʰien1	
扇	san5	新
扇	sen5	老
扈	fu5	
扉	fəi1	
手	səu3	
才	tsʰai2	
扎	tsa2	
扒	pʰa2	
打	ta3	文
打	tʰiaŋ5	白
扔	ɣən1	白
托	tʰo2	
扛	kaŋ1	
扛	kʰaŋ2	
扣	kʰəu5	
扭	ȵiəu3	
扭	ȵiəu5	
扮	pan5	新
扮	puan5	老
扯	tsʰe3	
扳	pan1	
扶	fu1	白，让
扶	fu2	
批	pʰəi1	老
批	pʰi1	新
扼	ɣo2	
找	tsau3	
承	tsʰən2	
承	sen2	白读，承得住
技	tɕi5	新
技	tɕʰi5	老
抄	tsʰau1	
抈	ʑye3	
抉	tɕie2	
把	pa3	
抑	ʑi5	
抒	ɕy1	
抓	tɕya1	
抓	tsa1	
投	tʰəu2	
抖	təu3	文
抖	tʰəu3	白
抗	kʰaŋ5	
折	se2	
折	tse2	
抨	pʰoŋ1	
披	pʰəi1	老
披	pʰi1	新
抬	tʰai2	
抱	pau5	
抵	ti3	
抹	ma2	
押	ʑia2	新
抽	tsʰəu1	
抿	min2	
拂	fu2	
拂	pʰau2	
拄	tɕy3	
拆	tsʰe2	
拇	mau3	新
拇	məu3	老
拈	ȵien1	
拉	la1	
拋	pʰau1	
拌	pan5	新
拌	puan5	老
拍	pʰe2	
拎	lin1	
拏	na2	
拐	kuai3	
拒	tɕy5	
拓	tʰo5	
拔	pa2	
拖	tʰo1	
拗	ŋau5	
拘	tɕy1	
拙	tso2	
招	təu1	白，招惹
招	tsau1	
拜	pai5	
括	kua2	
拭	sɿ5	
拮	tɕie2	
拯	tsən3	
拱	koŋ3	
拳	tɕʰyen2	
拷	kʰau3	
拼	pʰin1	
拽	ʑe5	
拾	sɿ2	
拿	na2	
持	tsʰɿ2	
指	tsɿ3	
挈	ɕie2	
按	ŋan5	
挎	kʰu1	
挑	tiau1	白，挑颈
挑	tʰiau1	文
挑	tʰiau3	
挖	va1	
挨	ŋai1	
挪	no2	
挫	tsʰo5	
振	tsən5	
挲	so1	
挲	ɕia1	腿张开
挺	tʰin3	
挼	ɣa2	揉
挼	za2	
挽	van3	
挾	ɕie2	
捂	vu5	
捅	tʰoŋ3	
捆	kʰuən3	
捉	tso2	
捋	le5	
捌	pa2	
捍	han5	
捎	sau1	
捏	ȵie2	
捐	tɕyen1	
捕	pʰu3	
捧	poŋ3	白，侗（夸奖）
捧	pʰoŋ3	
捨	se3	
捫	mən2	
捭	pai3	
捱	ŋai2	
捲	tɕʰyen1	
捲	tɕʰyen2	
捶	tsʰəi2	
捶	tɕʰy2	
捷	tɕie2	新
捷	tsie2	老
捺	na5	
捻	ȵien3	
掀	ɕyen1	
掂	tien1	
掂	tiaŋ1	白讀
掃	sau3	
掃	sau5	
掄	nən1	
掇	to2	
授	səu5	
掉	tiau5	
掌	tsaŋ3	
掏	tʰau1	
掐	kʰa1	掐颈
掐	kʰa2	掐手
掐	kʰa3	掐菜
掐	kʰe1	掐颈
排	pʰai2	
掖	ʑe5	
掘	tɕie2	
掙	tsən5	
掛	kua5	
掠	lio2	
採	tsʰai3	
探	tʰan5	
掣	tsʰɿ5	
接	tɕie2	新
接	tsie2	老
控	kʰoŋ5	
推	tʰəi1	
掩	ʑen3	
措	tsʰo5	
掬	tɕy1	
掮	tɕʰien2	
掰	pʰie3	
掽	pʰaŋ3	触碰
揀	tɕien3	
揉	ɣəu2	白
揉	zəu2	文
揍	tsəu5	
揎	ɕyen1	推
描	miau2	
提	tʰi2	
插	tsʰa2	
揖	ʑi2	
揚	ʑaŋ2	
換	fan5	
握	ɣo2	
揣	tsʰai3	
揣	tɕʰyai3	
揩	kʰai1	
揪	tɕiəu1	新
揪	tsiəu1	老
揭	tɕie2	
揮	fəi1	
援	ʑyen2	
揹	pəi5	
搇	tsʰən3	按
搊	tsʰəu1	抬起
損	sən3	
搏	po2	
搓	tsʰo1	
搔	sau1	
搕	kʰo2	敲
搖	ȵiau2	白
搖	ʑau2	文
搗	tau3	
搜	səu1	
搞	kau3	
搣	mie1	
搪	tʰaŋ2	
搬	pan1	新
搬	puan1	老
搭	ta2	
搲	va3	搲水
搶	tsʰiaŋ3	
搽	tsʰa2	
搾	tsa5	
摑	ko2	
摒	pia5	白读
摒	pin5	文读
摔	sai1	
摔	ɕyai1	
摘	tse2	
摜	kuan5	
摞	lo5	
摞	lo5	白
摞	tʰo5	文
摟	ləu1	
摧	tsʰəi1	
摩	mo1	摩托
摩	mo2	
摯	tsɿ5	
摳	kʰəu1	
摸	mo1	
摹	mo2	
摺	tse2	
摻	tsʰan1	
摻	tsʰan1	新
摻	tsʰen1	老
撂	lo5	
撅	tɕye2	
撇	pʰie3	
撈	lau1	
撐	tsʰən1	
撐	tsʰən5	顶…
撒	sa2	撒痞
撓	nau2	
撕	sɿ1	
撞	tsʰaŋ3	白读
撞	tɕyaŋ5	
撞	tsaŋ5	文读
撣	tan2	几掸掸
撤	tsʰe2	
撥	pa2	开拔
撥	po2	拨款
撩	liau1	
撫	fu3	
撬	tɕʰiau5	
播	po1	
撮	tsʰo2	
撮	tsʰo2	聚起
撰	tɕyen5	
撲	pʰu1	扑救
撲	pʰu5	扑爬
撻	ta2	
撼	han5	
撾	ɣo1	
撿	tɕien3	
擀	kan3	
擁	ʑoŋ1	
擂	ləi2	
擂	ləi5	
擄	ləu3	
擅	san5	新
擅	sen5	老
擇	tsʰe2	
擊	tɕi2	
擋	taŋ3	
擋	taŋ5	挡路
操	tsʰau1	
操	tsʰau5	
擎	tɕʰin2	
擐	fan5	
擒	tɕʰin2	
擔	tan1	
擔	tan5	
據	tɕy5	
擠	tɕi3	新
擠	tsi3	老
擦	tsʰa2	
擬	ȵi3	
擰	ȵin3	
擱	kʰo5	
擲	tsɿ5	
擴	kʰo5	
擺	pai3	显摆
擺	pəi3	白读，做
擻	səu3	
擾	ɣau3	白
擾	zau3	文
攀	pʰan1	新
攀	pʰuan1	老
攆	ȵien3	
攏	loŋ3	
攔	lan2	
攘	ɣaŋ3	
攙	tsʰan1	新
攙	tsʰen1	老
攜	ɕie2	
攝	se2	
攢	tsan3	
攣	luan2	
攤	tʰan1	
攪	kau2	白
攪	tɕiau3	文
攪	lau2	白
攫	tɕie2	
攬	lan3	
支	tsɿ1	
收	səu1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tsən5	
故	ku5	
效	ɕiau5	
敏	min3	
救	tɕiəu5	
敖	ŋau2	
敗	pai5	
敘	ɕy5	
教	tɕiau5	
敝	pi5	
敞	tsʰaŋ3	
敢	kan3	
散	san3	
散	san5	
敦	tən1	
敬	tɕin5	
敲	kʰau1	白
敲	tɕʰiau1	文
整	kən3	白读
整	tsən3	文
敵	ti2	
敷	fu1	
數	səu3	
數	səu5	
斂	lien3	
斃	pi5	
文	vən2	
斑	pan1	
斗	təu3	
料	liau5	
斛	fu2	
斜	sie2	老
斜	ɕie2	新
斟	tsən1	
斡	ɣo5	
斢	tʰiau3	换
斤	tɕin1	
斥	tsʰɿ5	
斧	fu3	
斫	tso2	
斬	tsʰan3	新
斬	tsen3	老
斯	sɿ1	
新	sin1	老
新	ɕin1	新
斷	tuan3	断车，断人
斷	tuan5	
方	faŋ1	
於	ʑy1	
施	sɿ1	
旁	pʰaŋ2	
旅	li3	老
旅	ly3	新
旋	ɕyen5	
旌	tɕin1	新
旌	tsin1	老
旎	ȵi3	
族	tsʰəu2	老
旗	tɕʰi2	
既	tɕi5	
日	ɣə3	白
日	zɿ2	文
旦	tan5	
旨	tsɿ3	
早	tsau3	
旬	ɕyn2	
旭	ɕy5	
旱	han5	
旺	vaŋ5	
昂	ŋaŋ2	
昆	kʰuən1	
昊	hau5	
昌	tsʰaŋ1	
明	mən2	白读,明朝
明	min2	文读
昏	fən1	
易	ʑi5	
昔	si2	老
昔	ɕi2	新
昕	ɕin1	
星	sin1	老
星	ɕin1	新
映	ʑin5	
春	tsʰən1	
春	tɕʰyn1	
昧	məi5	
昨	tso2	
昭	tsau1	
是	sɿ5	
昴	mau3	
昵	ȵi2	
時	sɿ5	
晃	faŋ3	
晃	faŋ5	新晃
晉	tɕin5	新
晉	tsin5	老
晌	saŋ3	晌午
晏	ŋan5	
晚	van3	
晝	tsəu5	
晟	sən5	
晤	vu5	
晦	fəi5	
晨	tsʰən2	新
晨	sən2	老
普	pʰu3	
景	tɕin3	
晰	si2	老
晰	ɕi2	新
晴	tsʰin2	老
晶	tɕin1	新
晶	tsin1	老
晷	kuəi3	
智	tsɿ5	
晾	liaŋ5	
暇	ɕien2	
暈	ʑyn1	
暑	tɕʰy3	
暑	ɕy3	
暖	nuan3	
暗	ŋan5	
暝	min2	
暢	tsʰaŋ5	
暨	tɕi5	
暫	tsan5	
暮	mu5	
暴	pau5	
曆	li2	
曇	tʰan2	
曉	ɕiau3	
曖	ŋai3	
曙	ɕy3	
曝	pau5	
曠	kʰuaŋ5	
曬	sai5	
曰	ʑye1	
曲	tɕʰi3	老
曲	tɕʰy1	
曳	ʑe5	
更	kən1	
更	kən5	
書	ɕy1	
曹	tsʰau2	
曼	man5	新
曼	muan5	老
曾	tsʰən2	
曾	tsən1	
替	tʰi5	
最	tsəi5	
會	fəi5	
會	kʰuai5	
月	ʑye2	
有	ʑəu3	
朋	pʰoŋ2	
服	fu2	
朔	səu5	
朗	laŋ3	
望	vaŋ5	
朝	tsʰau2	
朝	tsau1	
期	tɕʰi1	
朦	moŋ2	
朧	loŋ2	
木	mu2	
未	məi3	白讀
未	vəi5	
末	mo2	
本	pən3	
札	tsa2	
朱	tɕy1	
朴	pʰu3	
朵	to3	
朶	to3	
朽	ɕiəu3	
杈	tsʰa1	
杉	san1	新
杉	sen1	老
李	li3	
杏	ɕin5	
材	tsʰai2	
村	tsʰən1	
杖	tsaŋ5	
杜	təu5	
杞	tɕʰi3	
束	səu2	約束
束	səu5	一束
杭	haŋ2	
杯	pəi1	
杰	tɕie2	
東	toŋ1	
杴	ɕien1	
杵	tɕʰy3	站立不动
杷	pʰa2	
松	soŋ1	
板	pan3	
枇	pʰi2	
枉	vaŋ3	
析	si2	老
析	ɕi2	新
枕	tsən3	
林	lin2	
枚	məi2	
果	ko3	
枝	tsɿ1	
枯	kʰu1	
枴	kuai3	
架	ka5	
架	tɕia5	
枷	tɕia1	
枸	kəu3	
柄	pa5	白读
柄	pin3	文读
柏	pe2	
某	məu3	
柑	kan1	
柒	tsʰi2	老
柒	tɕʰi2	新
染	ɣan3	白新
染	ɣen3	白老
染	zan3	文
柔	ɣəu2	白
柔	zəu2	文
柞	tso5	
查	tsʰa2	
柬	tɕien3	
柯	kʰo1	
柰	nai5	
柱	tɕy5	
柳	liəu3	
柴	tsʰai2	
柺	kuai3	
柿	sɿ5	
栓	suan1	新
栓	ɕyen1	老
栗	li2	
校	kau5	白。实践
校	tɕiau5	文
校	ɕiau5	
株	təu1	白，颗
株	tɕy1	
核	he2	
根	kən1	
格	ke2	
栽	tsai1	
桀	tɕie2	
桁	hən2	
桂	kuəi5	
桃	tʰau2	
桅	vəi2	
框	kʰuaŋ1	
案	ŋan5	
桉	ŋan5	
桌	tso2	
桐	tʰoŋ2	
桑	saŋ1	
桓	fan2	
桔	tɕie2	
桶	tʰoŋ3	
桿	kan3	
梁	liaŋ2	
梅	məi2	
梆	paŋ1	
梗	kən3	文读
梗	kuaŋ3	白读，甘蔗
條	tʰiau2	
梢	sau1	
梧	vu2	
梨	li2	
梭	so1	
梯	tʰi1	
械	kai5	
梱	kʰuən3	
梳	səu1	
梳	ɕy1	
梵	fan5	
棄	tɕʰi5	
棉	mien2	
棋	tɕʰi2	
棍	kuən5	
棒	paŋ5	
棕	tsoŋ1	
棗	tsau3	
棘	tɕi2	
棚	pʰoŋ2	
棟	toŋ5	
棠	tʰaŋ2	
棧	tsan5	
森	sən1	
棲	ɕi1	
棵	kʰo3	
棺	kuan1	
椅	ʑi3	
植	tsɿ2	
椎	tsəi1	
椒	tɕiau1	新
椒	tsiau1	老
椰	ʑe1	
椹	sən5	
椿	tɕʰyn1	
楊	ʑaŋ2	
楓	hoŋ1	
楔	ɕie2	
楚	tsʰəu3	
楞	lən2	
楠	nan2	
楣	məi2	
業	ȵie2	
極	tɕi2	
楷	kʰai3	
概	kʰai5	
榆	ʑy2	
榔	laŋ2	
榕	ʑoŋ2	
榛	tsən1	
榜	paŋ3	
榮	ʑoŋ2	
榴	liəu2	
榷	tɕʰio2	
槊	səu5	
構	kəu5	
槌	tsʰəi2	
槍	tsʰiaŋ1	
槐	fai2	
槓	kaŋ5	
槳	tɕiaŋ3	新
槳	tsiaŋ3	老
槽	tsʰau2	
樁	tsaŋ1	
樂	lo2	
樂	ʑo2	
樊	fan2	
樓	ləu2	
標	piau1	
樞	səu1	
樞	ɕy1	
樟	tsaŋ1	
模	mo2	
樣	ʑaŋ5	
樵	tsʰiau2	老
樵	tɕʰiau2	新
樸	pʰu2	
樹	ɕy5	
樺	fa5	
橄	kan3	
橇	tɕʰiau1	
橋	tɕʰiau2	
橘	tɕy2	
橙	tsʰən2	
橛	tɕye2	
機	tɕi1	
橡	ɕiaŋ5	
橢	tʰo3	
橫	fən2	白读
橫	hən2	文读
橫	hən5	
檀	tʰan2	
檁	lin3	
檄	ɕi2	
檔	taŋ1	
檜	kʰuai5	
檢	tɕien3	
檬	moŋ2	
檸	ȵin2	
檻	tɕien5	
櫃	kʰuəi5	
櫓	ləu3	
櫚	li3	
櫝	təu2	
櫟	li5	
櫥	tɕʰy2	
櫻	ŋən1	白读
櫻	ʑin1	文读
欄	lan2	
權	tɕʰyen2	
欒	luan2	
欖	lan3	
欠	tɕʰien5	
次	tsʰɿ5	
欣	ɕin1	
欱	ho1	吸
欲	ʑy5	
欺	tɕʰi1	
欽	tɕʰin1	
款	kʰuan3	
歇	ɕie2	
歉	tɕʰien5	
歌	ko1	
歐	ŋəu1	
歠	tsʰo1	大吃
歡	fan1	
止	tsɿ3	
正	tsən1	
正	tsən5	
此	tsʰɿ3	
步	pu5	
武	vu3	
歧	tɕʰi2	
歪	vai1	
歲	səi5	
歷	li5	
歸	kuəi1	
歹	tai3	
死	sɿ3	
歿	me2	
殃	ʑaŋ1	
殆	tai5	
殉	ɕyn5	
殊	səu2	
殊	ɕy2	
殍	pʰiau3	
殖	tɕi2	
殘	tsʰan2	
殤	saŋ1	
殯	pin5	
殲	tɕien1	新
殲	tsien1	老
段	tuan5	
殷	ʑin1	
殺	sa2	
殼	kʰo2	
殿	tien5	
毀	fəi3	
毅	ȵin5	白讀
毅	ʑi5	
毆	ŋəu1	
毋	vu2	
母	mu3	
每	məi3	
毒	təu2	
比	pi3	
毗	pʰi2	
毛	mau2	
毫	hau2	
毯	tʰan3	
毽	tɕien5	
氈	tsan1	
氌	ləu3	
氏	sɿ5	
民	min2	
氓	maŋ2	
氕	pʰie2	
氖	nai3	
氛	fən5	
氟	fu2	
氣	tɕʰi5	
氦	hai5	
氧	ʑaŋ3	
氨	ŋan1	
氫	tɕʰin1	
氮	tan5	
氯	ləu2	
氰	tsʰin1	老
水	səi3	
水	ɕy3	
水	ɕyəi3	
永	ʑoŋ3	新派
永	ʑyn3	老派
氾	fan5	
汀	tʰin1	
汁	tsɿ1	
求	tɕʰiəu2	
汏	tai5	
汐	si1	老
汐	ɕi1	新
汕	san5	
汗	han2	汗毛
汗	han5	汗水
汙	vu1	
汛	ɕin5	老
汛	ɕyn5	新
汜	sɿ5	
汝	ɣəu3	白
汝	zəu3	文
汞	koŋ3	
江	kaŋ1	
池	tsʰɿ2	
汨	mi5	
汪	vaŋ1	
汰	tʰai5	
汲	tɕi2	
決	tɕye2	
汽	tɕʰi5	
汾	fən2	
沁	tsʰin5	老
沁	tɕʰin5	新
沂	ȵi2	
沃	ɣo5	
沈	tsʰən2	
沈	sən3	
沉	tsʰən2	
沌	tən5	
沐	mu5	
沒	me2	
沖	tsʰoŋ1	
沙	sa1	
沛	pʰəi5	
沫	mo2	
沮	tɕy3	
河	ho2	
沸	fəi5	
油	ʑəu2	
治	tsɿ5	
沼	tsau3	
沽	ku1	
沾	tsan1	新
沾	tsen1	老
沿	ʑen2	
況	kʰuaŋ5	
泄	sie2	老，泄气
泄	sie5	老，泄洪
泄	ɕie2	新
泄	ɕie5	新
泅	tɕʰiəu2	
泉	tɕʰyen2	
泊	po2	
泌	pi5	
泓	hoŋ2	
泔	kan1	
法	fa2	
泗	sɿ5	
泛	fan5	
泠	lin2	
泡	pʰau5	
波	po1	
泣	tɕʰi5	
泥	ȵi2	
注	tɕy5	
泰	tʰai5	
泳	ʑoŋ3	新派
泳	ʑyn3	老派
泵	poŋ5	
洄	fəi2	
洋	ʑaŋ2	
洌	lie2	
洗	ɕi3	
洛	lo5	
洞	toŋ5	
津	tɕin1	新
津	tsin1	老
洪	hoŋ2	
洱	ɣə3	
洲	tsəu1	
洶	ɕioŋ1	
活	ho2	
洽	tɕʰia5	
派	pʰai5	
流	liəu2	
浙	tse2	
浜	paŋ1	
浦	pʰu3	
浩	hau5	
浪	laŋ5	
浮	fəu2	老
浮	fu2	新
浮	pʰoŋ2	白，侗
浴	ʑy5	
海	hai3	
浸	tsʰin5	老
浸	tɕʰin5	新
涅	ȵie2	
涇	tɕin1	
消	siau1	老
消	ɕiau1	新
涉	se2	
涎	sien2	
涎	ɕien2	
涓	tɕyen1	
涕	tʰi5	
涪	fu2	
涯	ŋai2	
液	ʑe5	
涵	han2	
涸	ho2	
涼	liaŋ2	
淄	tsɿ1	
淆	ɕiau2	
淇	tɕʰi2	
淋	lin2	
淌	tʰaŋ1	
淑	səu1	
淒	tsʰəi1	
淖	nau5	
淘	tʰau2	
淚	ləi5	
淡	tan5	
淤	ʑy1	
淦	kan5	
淨	tɕin5	新
淨	tsin5	老
淪	nən2	
淫	ʑin2	
淮	fai2	
深	sən1	
淳	tsʰən2	
淳	tɕʰyn2	
淵	ʑyen1	
淶	lai2	
混	fən5	
淹	ʑen1	
淺	tsʰen3	老
淺	tsʰien3	老
淺	tɕʰien3	新
添	tʰien1	
淼	miau3	
清	tsʰin1	老
渙	fan5	
減	kan3	老
減	tɕien3	新
渝	ʑy2	
渠	tɕʰy2	
渡	təu5	
渣	tsa1	
渤	po2	
渦	ɣo1	
渧	ti5	
測	tsʰən2	
渭	vəi5	
港	kaŋ3	
渴	kʰo2	
游	ʑəu2	
渺	miau3	
渾	fən2	文读
渾	fən5	混蛋
渾	kʰuən2	白读
湃	pʰai5	
湄	məi2	
湊	tsʰəu5	文
湊	təu5	白读
湍	tʰuan1	
湎	mien3	
湓	pʰən2	
湖	fu2	
湘	siaŋ1	老
湘	ɕiaŋ1	新
湛	tsan5	新
湛	tsen5	老
湧	ʑoŋ3	
湩	toŋ2	浑浊
湯	saŋ1	
湯	tʰaŋ2	
溉	kʰai5	
源	ʑyen2	
準	tɕyn3	
準	tsən3	
溜	liəu1	
溝	kəu1	
溟	min2	
溢	ʑi5	
溧	li2	
溪	tɕʰi1	
溫	vən1	
溯	səu5	
溶	ɣoŋ2	
溶	ʑoŋ2	
溺	ȵi5	
溼	sɿ2	
滁	tsʰəu2	
滁	tɕʰy2	
滂	pʰaŋ1	
滄	tsʰaŋ1	
滅	mie2	
滇	tien1	
滋	tsɿ1	
滌	ti2	
滑	fa2	
滓	tsɿ3	
滔	tʰau1	
滬	fu5	
滯	tsɿ5	
滲	sən5	
滴	ti2	
滸	fu3	
滾	kuən3	
滿	man3	新
滿	muan3	老
漁	ʑy2	
漂	pʰiau1	
漂	pʰiau5	
漆	tsʰi2	老
漆	tɕʰi2	新
漉	ləu5	
漏	ləu5	
漑	kʰai5	
漓	li2	
演	ȵien3	老
演	ʑen3	新
漚	ŋəu1	
漚	ŋəu5	
漠	mo5	
漢	han5	
漣	lien2	
漩	ɕyen5	
漫	man5	新
漫	muan5	老
漬	tsɿ5	
漭	maŋ3	
漱	səu5	
漲	tsaŋ3	
漲	tsaŋ5	
漳	tsaŋ1	
漸	tɕien5	新
漸	tsien5	老
漾	ʑaŋ5	
漿	tɕiaŋ1	新
漿	tsiaŋ1	老
潑	pʰo2	
潔	tɕie2	
潘	pʰan1	新
潘	pʰuan1	老
潛	tsʰien2	老
潛	tɕʰien2	新
潞	ləu5	
潤	ɣən5	白
潤	ʑyn5	文
潦	liau2	
潭	tʰan2	
潮	tsʰau2	
潰	kʰuəi5	
潲	sau5	潲水
潷	pi5	
潸	san1	
潸	sən1	
澀	se2	
澄	tsʰən2	
澆	tɕiau1	
澇	lau5	
澈	tsʰe2	
澌	sɿ5	
澎	pʰoŋ2	
澗	tɕien5	
澠	mien3	
澠	sən2	
澡	tsau3	
澤	tsʰe2	
澱	tien5	
澳	ŋau5	
激	tɕi2	
濁	tso2	
濃	noŋ2	
濘	ȵin5	
濛	moŋ2	
濟	tɕi3	新
濟	tɕi5	新
濟	tsi3	老
濟	tsi5	老
濤	tʰau1	
濫	lan5	
濰	vəi2	
濱	pin1	
濺	tɕien5	新
濺	tsien5	老
濾	ləi5	
濾	li5	
瀆	təu2	
瀉	sie5	老
瀉	ɕie5	新
瀋	sən3	
瀌	piau1	溅
瀏	liəu2	
瀑	pʰu5	
瀕	pin1	
瀘	ləu2	
瀚	han5	
瀝	li5	
瀨	lai5	
瀰	mi2	
瀾	lan2	
瀿	fan1	水溢
灄	se5	
灌	kuan5	
灑	sa3	
灘	tʰan1	
灝	hau5	
灞	pa5	
灣	van1	
灤	luan2	
火	ho3	
灰	fəi1	
灶	tsau5	
灸	tɕiəu1	
灼	tso2	
災	tsai1	
炊	tsʰəi1	
炊	tɕʰy1	
炎	ȵien2	老
炎	ʑen2	新
炒	tsʰau3	
炔	tɕʰye2	
炕	kʰaŋ5	
炙	tsʰɿ5	
炫	ɕyen5	
炬	tɕy5	
炭	tʰan5	
炮	pʰau5	
炯	tɕioŋ3	
炳	pin3	
炷	tɕy5	
炸	tsa5	
爲	vəi2	
爲	vəi5	
烈	lie2	
烏	vu1	
烘	hoŋ1	
烙	lau5	
烤	kʰau3	
烯	ɕi1	
烴	tɕʰin1	
烷	van2	
烹	pʰoŋ1	
烽	hoŋ1	
焉	ʑen1	
焊	han5	
焙	pəi5	
焚	fən2	
無	vu2	
焦	tɕiau1	新
焦	tsiau1	老
焰	ȵien5	老
焰	ʑen5	新
然	ɣen2	白老
煉	lien5	
煌	faŋ2	
煎	tsien1	
煙	ʑen1	
煝	məi5	
煞	sa2	
煤	məi2	
煥	fan5	
照	tsau5	
煨	vəi1	
煩	fan2	
煮	tɕy3	
煲	pau3	
煽	san1	新
煽	sen1	老
熄	ɕi2	
熇	lau1	炙热
熊	ɕioŋ2	
熒	ʑin2	
熔	ɣoŋ2	
熔	ʑoŋ2	
熙	ɕi1	
熟	səu2	
熬	ŋau2	
熱	ɣə3	
熵	saŋ1	
熾	tsʰɿ5	
燃	ɣen2	白老
燈	tən1	
燉	tən5	
燎	liau2	
燐	lin2	
燒	sau1	
燕	ʑen1	
燕	ʑen5	
燙	tʰaŋ5	
燜	mən5	
營	ʑyn2	
燥	tsʰau5	
燦	tsʰan5	
燬	fəi3	
燭	tsəu2	
燴	fəi5	
燻	ɕyn1	
燼	tɕin5	新
燼	tsin5	老
爆	pau5	
爐	ləu2	
爛	lan5	
爨	tsʰuan5	
爪	tsau3	
爬	pʰa2	
爭	tsən1	
爵	tɕye2	
父	fu5	
爹	tia1	
爺	ʑe2	
爻	ɕiau2	
爽	saŋ3	
爾	ɣə3	
牆	tsʰiaŋ2	
片	pʰien3	竹片片
片	pʰien5	
版	pan3	
牌	pʰai2	
