#漢字	音標	解釋
如	zəy2	
婦	vu4	
媽	ma1	白读
媽	mo1	文读
妓	dʑi6	
妖	ˀyø1	
妙	mie4	
妥	tʰəu3	
妨	fɔ1	
妹	me6	
妻	tɕʰi1	
妾	tɕʰie7	
姊	tsɿ3	
始	sɿ3	
姐	tɕi3	
姑	ku1	
姓	seŋ5	
委	ɦy4	
姍	sɔ1	
姘	pʰeŋ5	～头
姚	ɦyø2	
姜	tɕiɛ1	
姨	i2	
姻	ˀiaŋ1	
姿	tsɿ1	
威	y1	
嬌	tɕyø1	
娘	ȵiɛ2	
娛	ŋ2	
娶	tɕʰy3	
婆	bu2	
婚	ɕyø1	
嬰	ˀiaŋ1	
嬸	saŋ3	
媒	me2	
媾	kau5	
嫁	ko5	
嫂	sɛ3	
嫌	ɦɔ2	
嫖	bie2	
嫡	tei7	
嫩	nø6	
子	tsɿ3	
孔	kʰoŋ3	
孕	ɦiaŋ2	
字	zɿ6	
存	zø2	
孫	sø1	
孝	hɔ5	
孟	ma4	
季	tɕy5	
孤	ku1	
學	ɦo8	
孩	ɦe4	
孵	bu6	白读
孵	fu1	文读
寧	ȵiaŋ2	
它	tʰɔ1	
宅	dza8	
守	səu3	
安	ˀø1	
宋	soŋ5	
完	ȵyø2	
宏	ɦoŋ2	
宕	do4	
宗	tsoŋ1	
官	kyø1	
宙	dzau6	
定	deŋ6	
宜	ȵi2	
寶	pɛ3	
實	zɛ8	
寵	tsʰoŋ3	
審	saŋ3	
客	kʰa7	
宣	ɕyø1	
室	sɛ7	
宦	ɦuɔ6	
宪	ɕie5	
宮	tɕioŋ1	
宰	tse3	
害	ɦe6	
宴	ˀie3	
宵	ɕiɔ1	
家	ko1	
容	ɦioŋ2	
寬	kʰuɔ1	
賓	peŋ1	
宿	səu7	
寄	tɕi5	
寅	ɦiaŋ2	
密	mie8	
寇	kʰau5	
富	fu5	
寒	ɦø2	
寓	ȵy6	
寢	tsʰaŋ5	
寞	mo8	
察	tsʰɔ7	
寡	kuo3	
寨	dza6	
寸	tsʰø5	
對	tai5	
寺	zɿ6	
尋	zaŋ2	
導	dɛ6	
壽	zəu6	
封	foŋ1	
射	zei6	
將	tɕiɛ1	～军
