#调值	[1]³¹ [2]²⁴ [3]²¹³ [5]⁵³ [6]⁴² [7]⁵																										
#ɿ																											
tʰ	[1]挑{~担}[2]条调{~节}窕迢[3]挑{挑起}[5]跳眺[6]调{~动}																										
n	[1]嬲[3]鸟袅[2]聊辽疗僚撩[3]了[6]尿料撂瞪镣潦																										
tɕ	[1]交教娇浇骄胶椒蕉缴郊[3]剿侥绞[5]叫[6]轿校																										
tɕʰ	[1]悄跷锹[2]桥乔侨荞憔[3]巧[5]翘俏窍撬鞘																										
ɕ	[1]肖削逍消宵萧箫嚣[3]小晓[5]笑孝啸[6]校效																										
Ø	[1]妖腰邀么吆夭[2]摇肴谣窑遥姚瑶[3]舀[5]要耀																										
#ʯɔ																											
Ø	[2]尧饶桡荛娆[3]扰[6]绕																										
#ən																											
p	[1]奔锛迸畚崩[3]本[6]笨																										
pʰ	[1]喷[2]朋棚蓬篷盆彭膨[3]捧																										
m	[1]蒙[2]蒙{～古}盟萌门[3]猛蠓懵[6]闷梦孟																										
f	[1]分芬纷峰锋蜂封丰风枫疯[2]逢缝{～衣}冯焚[3]粉讽[5]粪奋愤忿[6]俸缝奉份凤																										
t	[1]蹲敦墩登灯冬[3]等[5]盾遁顿托沌钝饨凳瞪镫冻[6]邓洞动																										
tʰ	[1]通煺吞[2]囤屯臀豚童潼瞳腾藤誊同铜桐筒疼[5]痛[3]统桶捅																										
n	[2]笼聋农浓脓髋能仑伦沦轮龙隆[3]陇垄拢冷[5]愣[6]弄论嫩																										
k	[1]庚羹跟根耕今{~朝}[3]粳哽埂梗耿[5]更																										
kʰ	[1]坑铿[3]垦恳啃																										
x	[1]亨哼[2]恒衡横[3]狠很[5]恨																										
ŋ	[1]恩嗯[6]硬																										
ts	[1]曾{姓}增尊遵撙枞{～阳县}宗综棕踪鬃争筝睁[3]总怎[5]赠锃纵粽甑憎																										
tsʰ	[1]村撑囱聪参{～差}匆葱[2]曾层存岑崇从[3]憎[5]寸衬蹭忖																										
s	[1]孙僧生笙甥松讼嵩森参{人～}[3]榫省损笋怂[5]逊宋送[6]诵颂																										
tʂ	[1]征正{～月}征侦贞蒸中{当～}忠钟盅终榛臻珍针斟[3]整种{～类}肿冢诊疹仲拯枕振震镇[6]郑重{轻～}阵																										
tʂʰ	[1]称{～呼}冲充[2]成城诚盛{～满}呈程娠承丞橙虫晨辰臣陈尘沉澄[3]逞宠惩[5]趁称{相～}秤铳																										
ʂ	[1]声身申升伸深[2]绳神[3]沈审婶什[5]圣肾盛{兴~}胜慎甚葚渗[6]剩																										
ʐ	[3]人仁任																										
Ø	[1]嗯																										
#iən																											
p	[1]兵彬斌滨冰宾濒缤槟殡鬓[3]饼丙秉享柄摈[5]并[6]病																										
pʰ	[1]乒拼[2]贫殡频凭瓶平屏萍坪苹[3]评[5]聘																										
m	[2]民明敏鸣铭名冥螟[3]抿闽皿悯泯[6]命																										
t	[1]丁叮盯疗[3]顶鼎[5]订钉锭[6]定																										
tʰ	[1]厅[2]廷停庭亭婷蜓[3]霆挺铤[5]听																										
n	[1]拎[2]宁拧泞凝邻林临淋琳磷鳞麟伶灵玲铃凌陵聆菱零龄绞羚[3]凛领领[6]令另																										
tɕ	[1]巾津金斤矜筋经惊荆晶睛精鲸[3]仅尽紧谨井阱颈警憬[5]进劲浸晋烬禁觐径竞竟敬境镜[6]净尽静近																										
tɕʰ	[1]亲钦侵轻清青倾卿氢蜻[2]芹琴秦禽勤擒情晴擎[3]请寝顷[5]庆磐罄																										
ɕ	[1]心新鑫芯锌星腥惺猩辛兴欣薪馨[2]行刑型形邢[3]醒省摸[5]性姓信衅杏幸讯																										
Ø	[1]音阴因茵荫姻应英鹰婴莺婴樱鹦[2]吟银垠寅淫迎盈萤营莹萦楹赢颖[3]引饮蚓隐瘾影[5]印映[6]用																										
#ʯən																											
tʂ	[1]军君均钧肫[3]准[5]俊菌郡骏																										
tʂʰ	[1]春椿[2]群裙醇唇纯																										
ʂ	[1]熏薰勋[5]舜训[6]顺																										
