来源：	贺梅梅 2017《临县车赶乡话语音研究》；灰原哀 整理录入
t	［1］耽担丹单郸眈［3］胆掸［5］担淡旦诞但弹蛋袋惮澹
tʰ	［1］贪坍滩摊坍［2］潭谭谈痰檀壇弹坛覃［3］毯坦［5］探炭叹碳
n	［2］南男难楠
l	［1］□{～～：脏东西}［2］蓝篮兰拦栏岚婪阑澜襕褴［3］览揽缆懒揽［5］滥烂
ts	［1］簪［3］攒斩［5］暂站战=占=沾=蘸赞
tsʰ	［1］参掺餐搀［2］蚕惭谗馋蟾蝉阐残［3］惨铲产谄［5］灿璨粲孱忏颤
s	［1］三杉衫山［2］珊删［3］伞散{骨头～了}［5］散{～开}疝
z	［1］□{啰嗦}
tʂ	［1］詹膽=沾=粘=［3］辗展=［5］战=占=颤=
tʂʰ	［2］缠=蟾=蝉=禅=单=嬋=阐=
ʂ	［1］扇=膻=［3］闪=陕=［5］讪=汕=扇=善=单=禅=擅=缮=
ɻ	［2］然=燃=［3］染=冉=
k	［1］干=甘=柑=泔=尴=肝=［3］杆=橄=敢=杆=秆=檊=赶=感=［5］干={～部}赣
kʰ	［1］堪=龛=刊=勘=［3］砍=坎=槛=［5］瞰=看=
x	［1］憨=酣=［2］寒=韩=含咸函邯［3］罕喊［5］撼汉={～族}旱=汗焊翰憾捍瀚
#uæ	
t	［1］端=［3］短=［5］断=锻=段=缎=椴=
tʰ	［2］团=
n	［3］暖=
l	［2］峦孪委孪鸾滦［3］卵=［5］乱=
ts	［1］专=砖=钻=［3］转=［5］赚撰攥钻=转=传=篆=
tsʰ	［1］穿=川=［2］船=传=椽［3］喘=［5］串=篡窜=
s	［1］闩栓酸=［5］涮
z	［3］软=
k	［1］关观纶棺=冠=官=［3］管=馆=莞［5］惯贯冠=灌=罐=
kʰ	［1］宽=［2］□{洋洋得意}[214]□{哄}款=
x	［1］欢=□{快速}猎［2］还环桓［3］缓［5］幻患宦换=奂涣焕=痪浣唤=
Ø	［1］弯湾豌=剜=［2］完=玩顽［3］挽皖挽绾碗宛惋婉莞晚［5］万蔓-
#ɔ	
p	［1］帮=邦梆浜［3］榜绑=［5］傍谤磅棒蚌播
pʰ	［1］滂膀颇卜=［2］旁=庞螃彷［5］胖=乒=
f	［1］方={姓}［2］芳妨=防=房=［3］仿=访=仿=舫=［5］放={解～}
t	［1］当{～时}裆多铛［3］党档挡［5］当{上～}荡宕大砀
tʰ	［1］驮拖汤［2］唐糖塘堂棠螳驮搪溏膛螳鸵砣陀佗［3］躺倘淌傥［5］烫趟［1］驼
n	［1］囔囊［3］攮馕
