来源：	张长江 2020《山西屯留方言语音研究》；Hynuza, Skanda 整理录入
f	［1］风枫疯讽丰封峰锋［2］冯凤蜂逢缝{缝衣服}奉俸缝{一条缝}
v	［1］翁嗡瓮
t	［1］登灯蹬［2］澄{水浑，澄一澄}［3］等［5］凳镫{鞍镫}邓瞪{瞪眼}
tʰ	［1］□{~人：比较闷热}［2］腾誊藤疼
n	［2］能
l	［1］扔-［2］楞棱=［3］冷
ts	［1］赠征{征求}蒸争筝睁正{正月}征曾{姓}［3］拯{拯救}整［5］证症锃{锃光}郑正政
tsʰ	［1］称{称呼，称重量}撑牚{椅子牚儿}［2］曾{曾经}层澄橙乘丞澄橙{橙子}呈程成城诚盛{盛满了}［3］惩逞{逞能}［5］蹭{磨蹭}秤{一秆秤}
s	［1］僧升生牲笙声［2］绳塍{田塍}剩胜{胜任}胜{胜败}盛{兴盛}［3］省{省长，节省}［5］圣肾-
k	［1］更{更换，五更}庚羹耕［2］更{更加}［3］哽{骨哽在喉}埂{田埂}梗{梗子}耿
kʰ	［1］坑吭
x	［1］亨［2］恒衡横={横竖}
#iəŋ
p	［1］冰兵缤-{缤纷}［2］病［3］丙秉柄饼［5］倂{合倂}并
pʰ	［2］凭平坪评瓶屏萍苹乒
m	［2］鸣明命名铭
t	［1］丁钉{铁钉}靪疔□{~人：水特别冰凉}［2］订{订约}锭定［3］顶鼎［5］钉{钉住}
tʰ	［1］亭听{听见，听话}厅汀［2］停廷庭婷［3］艇挺［5］蜓{蜻蜓}
l	［2］陵凌菱令灵零铃伶另龄翎［3］领岭
tɕ	［1］茎京荆惊鲸精晶睛{眼睛}经更-{五更}颈［2］静凈［3］景警井［5］境敬竟镜靖径粽-{粽子}
tɕʰ	［1］卿清轻{轻重}青蜻{蜻蜓}倾顷［2］擎情晴䞍{～受}［3］请［5］庆罄磬
ȵ	［2］凝宁{安宁，沪宁}宁{宁可}拧
ɕ	［1］兴{兴旺}星腥猩［2］兴{高兴}行{行为}杏幸行型刑［3］省{反省}醒擤{擤鼻涕}［5］性姓
Ø	［1］仍鹰鹦{鹦鹉，鹦哥}樱{樱桃}英婴缨［2］蝇硬莺迎盈赢营［3］影颖［5］应{应当}映
#uəŋ
t	［1］东冬［2］动洞［3］董懂［5］冻栋
tʰ	［1］通［2］同铜桐童瞳洞-{洪洞}洪{洪水}［3］桶捅{捅破了}筒统［5］痛
n	［2］齈{多鼻涕}弄农脓浓
l	［2］笼聋隆龙=［3］拢
ts	［1］中{中间}忠鬃{马鬃，}宗综{织布机上的综}终踪钟盅［2］纵{放纵}重{轻重}［3］总种{种类}肿［5］众中{射中}种{种树}从{从容}
tsʰ	［1］聪悤葱囱{烟囱}充冲舂{舂米}［2］丛虫崇从{跟从}重{重复}［3］宠［5］铳{放铳}冲{冲某人说话}
s	［1］松嵩［3］怂{怂恿}［5］送宋诵颂讼
k	［1］公蚣{蜈蚣}工功攻{攻击}弓躬宫恭供{供不起}［2］共［3］汞拱{拱手}巩{巩固}［5］贡供{供养，上供}
kʰ	［1］空{空虚}［3］孔恐［5］控空{空缺}
x	［1］轰揈{揈出去}烘{烘干}［2］弘宏红洪鸿虹=［3］哄{哄骗}
#yəŋ
l	［2］龙-［3］陇-
tɕ	［3］迥窘
tɕʰ	［2］琼穷
ɕ	［1］兄胸凶{吉凶}松讼［2］熊雄㞞
Ø	［1］雍痈拥庸［2］戎绒融茸{参茸，茸毛}容蓉{芙蓉}镕用荣［3］永泳咏勇涌蛹
#ʌʔ
p	［7］八［8］拔{拔河，拔人：形容水冰凉}
m	［7］抹{抹布，抹桌子}
t	［7］答搭达
tʰ	［7］踏搨{搨本}沓{一沓纸}塔榻塌溻{汗溻湿了}
n	［7］纳衲{衲鞋底}捺
l	［7］拉{拉手}腊蜡镴{锡镴}辣瘌邋{邋遢}［8］肋
ts	［7］眨{眨眼}［8］杂炸{用油炸}
tsʰ	［7］擦察插
s	［7］杀
#iʌʔ
tɕ	［7］夹{夹子，夹袄}甲胛{肩胛}
tɕʰ	［7］掐
ɕ	［7］瞎辖{管辖}
Ø	［7］鸭押压{压面}
#uʌʔ
s	［7］刷
k	［7］刮{刮风}
x	［8］滑猾{狡猾}
#əʔ
p	［7］钵拨钹泊{梁山泊}泊剥驳百柏伯帛擘{用手擘开}檗{黄檗，药名}不勃饽{麺饽}北{南北}［8］白{白面}博{博士}薄{厚薄}
pʰ	［7］扑醭{醋生白醭}仆{倒}瀑{瀑布}泼魄朴{朴素}迫
m	［7］木墨默沫末莫寞摸陌{陌生}麦脉牧睦［8］没{沉没，没有}
f	［7］髪{理髪}发{发财}伐法筏缚佛{彷佛}福幅复{复原}腹覆{反复}负［8］服伏{伏天}栿袱{包袱}佛{佛像}乏伐罚{罚款}阀
v	［7］袜握物勿［8］杌{杌子，杌凳}沃{肥沃}屋
t	［7］得=德=
tʰ	［7］特遢{邋遢}
ts	［7］执汁折{折叠}褶{褶子:皱纹}蛰{惊蛰}哲蜇{蝎子蜇人}折{折断}浙则泽窄摘责秩质殖植只炙侧-{侧楞}着{睡着，附着}侄喆蔗指{指头}睫{眼睫毛}［8］择{择菜、选择}直值
tsʰ	［7］策册彻拆{开}㿭{皴}吃测赤斥尺绰
s	［7］什{什么}摄涉湿舌设塞{塞住}瑟虱失室色啬{吝啬}识{识字}式饰射适释涩［8］十拾{拾起来}折{弄折了}实食蚀勺-{勺子}石{石头}
k	［7］骨-{骨头}鸽{鸽子}割葛擖{用刀刮}各阁搁格革隔圪［8］胳{胳臂}窟{窟窿}个-{量词}
kʰ	［7］磕渴刻{时刻}刻{用刀刻}克客
ŋ	［7］鄂恶{善恶}额
x	［7］蛤{蛤蜊}喝{喝酒}喝{喝采，吆喝}郝{姓}鹤赫黑［8］合{合并}盒{烟盒}核{核对}
#iəʔ
p	［7］鳖憋笔毕必弼逼碧璧壁［8］别{区别,离别}
pʰ	［7］撇{撇捺，撇开}拍僻辟劈
m	［7］灭密蜜觅泌-{泌尿}秘-{秘密}
t	［7］跌的{目的}滴嫡得-德-{品德}［8］碟牒蝶谍叠敌狄籴笛
tʰ	［7］帖{碑帖，请帖}贴铁踢剔
l	［7］猎立笠粒列烈裂劣力历
tɕ	［7］接劫捷集辑{编辑}急级及杰揭节结洁疾吉脚角即鲫极积迹脊籍藉{狼藉}绩击激饺-{饺子}［8］截
tɕʰ	［7］怯{怯场}切{切开}七漆鹊-{喜鹊}
ȵ	［7］聂{姓}镊{镊子}捏孽
ɕ	［7］协习袭吸歇蝎血悉膝息熄媳惜昔夕锡析［8］席些
Ø	［7］叶页业热乙一药钥{钥匙}液{输液}腋［8］日-{日你娘}
#uəʔ
t	［7］掇{拾掇，两手掇起}掇{掂掇}铎踱㞘{屁股}［8］夺独读牍犊{牛犊子}毒笃督嘟{嘟嘟，唠叨}
tʰ	［7］脱突詑托{手承物}秃
n	［7］诺
l	［7］落{落地}骆酪洛络{用绳子捆}乐鹿禄律-{法律}率{速率}六-陆［8］勒烙
ts	［7］撮{一撮米}桌卓琢啄涿浊捉镯{镯子}烛触拙术{白术，苍术}竹嘱{嘱咐}［8］祝卒{兵卒}凿昨族轴筑作{作坊，工作}妯{妯娌}
tsʰ	［7］猝{仓猝}戳促出畜{畜类}
s	［7］刷速束说{说话}术述缩叔宿{宿舍}［8］赎熟{煮熟，熟悉}属
k	［7］郭榖谷骨={骨科}
kʰ	［7］括{包括}阔廓扩{扩充}哭
x	［7］豁{豁然，豁嘴，豁口}忽霍藿{藿香}劐{用刀劐开}获囫{囫囵}［8］活核{果子核}
#yəʔ
l	［7］捋{捋袖}略掠绿
tɕ	［7］憠{脾气憠}诀橘掘倔{倔强}镢{镢头，大锄}觉{知觉}菊爵［8］绝橛{橛子}决锔局
tɕʰ	［7］缺屈鹊={喜鹊}雀{麻雀}曲却蛐{蛐蟮}
ȵ	［7］虐疟{疟疾，发疟子}
ɕ	［7］薛雪穴戌恤俗-肃-宿-畜{畜牧}蓄{储蓄}［8］削{削皮}学=去
Ø	［7］入悦阅月越曰粤若弱约嶽岳乐{音乐}玉浴郁辱熨{熨贴}［8］褥
#ḷ
Ø	［2］二-儿-［3］耳-饵-
#ṃ
Ø	［2］慕-墓-募-暮-谋-［3］某-亩-牡-母-拇-
#ṇ
Ø	［1］你{你都}
