澄海大新话字表，属于闽南区——潮汕片	
pʰ	[11]办[213]稗
n	[11]荔（荔枝）楝（楝树）[55]莲
s	[33]先
ŋ	[53]研
#aʔ	
t	[4]踏
tʰ	[4]沓（一沓纸）[2]塔
l	[4]腊猎
ts	[4]闸
tsʰ	[2]插
k	[2]甲
kʰ	[2]芥
∅	[2]鸭
pʰ	[2]拍
#ĩ	
t	[55]缠
tʰ	[33]添天
ts	[33]支脂毡[55]钱[53]稚（幼稚）[213]挤箭荐
tsʰ	[33]鲜（新鲜）
k	[213]见
kʰ	[55]钳
∅	[11]院[55]圆[53]椅以（～为）[213]燕（燕子）
h	[35]耳
p	[33]边辫[53]扁
pʰ	[11]鼻
#iʔ
t	[4]碟[2]滴
tʰ	[2]铁
l	[4]裂
ts	[4]折（折断）舌折（弄折了）[2]接折（折叠）
kʰ	[2]缺
ɡ	[2]砌
b	[4]篾（竹篾）
s	[2]薛
#uai	
k	[33]乖[53]拐[213]会（会计）怪
kʰ	[213]筷
∅	[33]挖
h	[35]坏[55]怀淮
#uĩ	
k	[35]跪[11]县[213]柜
∅	[213]畏（敌敌～）
h	[53]毁匪
#au	
t	[35]道盗导[11]豆[53]祷岛找（～散纸）斗（一～）[213]到斗（斗争）
tʰ	[33]滔偷[55]陶头[53]敨（展开）[213]套透
l	[35]老[11]漏[55]楼流留[213]涝（旱涝）
ts	[33]糟[35]罩[53]蚤走[213]灶奏
tsʰ	[33]操（操作）抄（抄写）[55]曹[53]吵[213]躁臊（臊气）臭（香臭）
k	[33]高交沟[35]厚[55]猴[53]搞狗九[213]够
kʰ	[33]薅（除田草）抠阄（拈阄）[53]考口[213]叩（叩头）扣（扣住）哭
∅	[33]坳（山坳）欧沤（久浸水中）[35]后（前～）[55]喉[53]呕（呕吐）
h	[35]校（学校）[11]效候[55]豪毫[53]浩吼
p	[33]包[35]爆鲍（1姓；2鲍鱼）
pʰ	[33]褒（褒奖）[55]袍刨（刨）[53]跑[213]炮（枪炮）泡（泡在水里）
b	[53]卯
n	[33]浇[35]闹[53]脑
s	[213]扫（扫地）扫（～杆）潲（猪食）嗽（咳嗽）
m	[35]貌[55]茅矛
ŋ	[33]嚣[35]傲
#iau	
t	[33]刁（～祸）雕[35]召（号～）[11]掉[55]条
tʰ	[55]调（调动）[213]超跳跳
l	[11]廖料廖（姓）[55]捞（捞钱）燎疗辽[53]了（了结）
ts	[33]焦樵噍（牛倒噍）朝（今朝）[213]醮（打醮）照绕（围绕）绕（绕线）
tsʰ	[55]朝（朝代）[53]俏（～皮）
k	[33]骄[53]矫（矫诈）缴（上缴）
kʰ	[33]敲[213]窍
∅	[33]妖要（要求）[35]耀[55]鹞（鹞鹰）[213]要（重要）
h	[53]晓
p	[53]表（老～）
pʰ	[33]标飘瓢[213]漂（打水～）
s	[33]消箫搜[35]韶（韶关）绍[53]小（吝啬）[213]少（少年）
m	[55]苗[53]秒
ŋ	[33]猫猫[55]尧
z	[213]沼（沼气）
#aũ	
h	[213]好（喜好）
#ak	
t	[4]达铎值毒[2]答
tʰ	[4]读[2]搨（搨本）踢
l	[4]栗乐力六
ts	[4]杂十[2]汁扎节作（工作）
tsʰ	[4]凿贼[2]擦察漆
k	[2]觉（睡觉）鸽结各觉（知觉）角
