#符号说明：-白=文/书*俗?待考	
#调值	［1］13［2］53［3］44［5］21
#ɑ	
tʃ	[1]中忠盅钟终[3]种肿[5]中种{~地}众重
tʃʰ	[1]充冲[2]虫重[3]宠崇[5]冲
ʃ	[2]容溶熔榕绒荣融庸鳙恿[3]□{头发很~}蛹-
ts	[1]宗鬃棕踪综粽=[3]总[5]纵=
tsʰ	[1]聪匆葱[2]从=丛
s	[1]松=[3]耸[5]宋送诵颂
#iʊŋ	
l	[2]龙-[3]垄-
tɕ	[3]窘炯{~啊~啊地:骄傲的样子}
tɕʰ	[1]倾[2]穷
ȵ	[2]浓-
ɕ	[1]兄凶胸汹[2]熊雄
ts	[5]纵-
tsʰ	[2]从-
s	[1]松-{~树}
∅	[1]拥[3]永泳涌勇[5]用佣
