繁體	简体	聲韻調	註釋	聲	韻	調							
樟	樟	tsã45		ts	ã	45							
掌	掌	tsã42		ts	ã	42							
障	障	tsã214		ts	ã	214							
參	参	tsʰã45		tsʰ	ã	45							
慘	惨	tsʰã42		tsʰ	ã	42							
蠶	蚕	tsʰã21		tsʰ	ã	21							
慚	惭	tsʰã21		tsʰ	ã	21							
讒	谗	tsʰã21		tsʰ	ã	21							
饞	馋	tsʰã21		tsʰ	ã	21							
攙	搀	tsʰã45		tsʰ	ã	45							
懺	忏	tsʰã214		tsʰ	ã	214							
餐	餐	tsʰã45		tsʰ	ã	45							
燦	灿	tsʰã214		tsʰ	ã	214							
殘	残	tsʰã21		tsʰ	ã	21							
𢱟	𢱟	tsʰã42	動詞，表示用手猛烈擊打	tsʰ	ã	42							
潺	潺	tsʰã21		tsʰ	ã	21							
產	产	tsʰã42		tsʰ	ã	42							
纏	缠	tsʰã21		tsʰ	ã	21							
倉	仓	tsʰã45		tsʰ	ã	45							
蒼	苍	tsʰã45		tsʰ	ã	45							
藏	藏	tsʰã21		tsʰ	ã	21							
暢	畅	tsʰã214		tsʰ	ã	214							
悵	怅	tsʰã214		tsʰ	ã	214							
長	长	tsʰã21		tsʰ	ã	21							
腸	肠	tsʰã21		tsʰ	ã	21							
場	场	tsʰã21		tsʰ	ã	21							
昌	昌	tsʰã45		tsʰ	ã	45							
倡	倡	tsʰã45		tsʰ	ã	45							
廠	厂	tsʰã42		tsʰ	ã	42							
唱	唱	tsʰã214		tsʰ	ã	214							
窗	窗	tsʰã45		tsʰ	ã	45							
含	含	xã21		x	ã	21							
函	函	xã21		x	ã	21							
撼	撼	xã214		x	ã	214							
蚶	蚶	xã45		x	ã	45							
喊	喊	xã42		x	ã	42							
邯	邯	xã21		x	ã	21							
酣	酣	xã45		x	ã	45							
鹹	咸	xã21		x	ã	21							
陷	陷	xã214		x	ã	214							
銜	衔	xã21		x	ã	21							
鼾	鼾	xã45		x	ã	45							
罕	罕	xã42		x	ã	42							
漢	汉	xã214		x	ã	214							
寒	寒	xã21		x	ã	21							
韓	韩	xã21		x	ã	21							
旱	旱	xã214或45		x	ã	214或45							
汗	汗	xã214		x	ã	214							
翰	翰	xã214		x	ã	214							
閒	闲	xã21	白讀，如：～場天	x	ã	21							
莧	苋	xã45		x	ã	45							
杭	杭	xã21		x	ã	21							
航	航	xã21		x	ã	21							
行	行	xã21		x	ã	21							
項	项	xã214		x	ã	214							
巷	巷	xã214		x	ã	214							
染	染	zã42		z	ã	42							
冉	冉	zã42		z	ã	42							
髥	髥	zã214		z	ã	214							
然	然	zã21		z	ã	21							
燃	燃	zã21		z	ã	21							
瓤	瓤	zã21		z	ã	21							
壤	壤	zã42		z	ã	42							
攘	攘	zã42		z	ã	42							
嚷	嚷	zã42		z	ã	42							
嫦	嫦	sã21		s	ã	21							
婵	婵	sã21		s	ã	21							
讓	让	zã214		z	ã	214							
端	端	tã45		t	ã	45							
旃	旃	tã45		t	ã	45							
個	个	kɐɪ42		k	ɐɪ	42							
誰	谁	sɐɪ21	罕用	s	ɐɪ	21							
該	该	kɐɪ45		k	ɐɪ	45							
改	改	kɐɪ42		k	ɐɪ	42							
蓋	盖	kɐɪ214		k	ɐɪ	214							
丐	丐	kɐɪ214		k	ɐɪ	214							
界	界	kɐɪ214	罕用	k	ɐɪ	214							
介	介	kɐɪ214	罕用	k	ɐɪ	214							
屆	届	kɐɪ214	罕用	k	ɐɪ	214							
街	街	kɐɪ45		k	ɐɪ	45							
解	解	kɐɪ42		k	ɐɪ	42							
溉	溉	kʰɐɪ214		kʰ	ɐɪ	214							
概	概	kʰɐɪ214		kʰ	ɐɪ	214							
開	开	kʰɐɪ45		kʰ	ɐɪ	45							
凱	凯	kʰɐɪ42		kʰ	ɐɪ	42							
愷	恺	kʰɐɪ42		kʰ	ɐɪ	42							
慨	慨	kʰɐɪ214		kʰ	ɐɪ	214							
揩	揩	kʰɐɪ45		kʰ	ɐɪ	45							
楷	楷	kʰɐɪ42		kʰ	ɐɪ	42							
賴	赖	lɐɪ214		l	ɐɪ	214							
癩	癞	lɐɪ214		l	ɐɪ	214							
奶	奶	nɐɪ45	叠词表示女性乳房	n	ɐɪ	45							
奶	奶	nɐɪ42	奶	n	ɐɪ	42							
乃	乃	nɐɪ42		n	ɐɪ	42							
耐	耐	nɐɪ214		n	ɐɪ	214							
來	来	lɐɪ21		l	ɐɪ	21							
崍	崃	lɐɪ21		l	ɐɪ	21							
埋	埋	mɐɪ21		m	ɐɪ	21							
買	买	mɐɪ42		m	ɐɪ	42							
賣	卖	mɐɪ214或45		m	ɐɪ	214或45							
邁	迈	mɐɪ214		m	ɐɪ	214							
奈	奈	nɐɪ214		n	ɐɪ	214							
獃	獃	ŋɐɪ45		ŋ	ɐɪ	45							
呆	呆	ŋɐɪ21		ŋ	ɐɪ	21							
礙	碍	ŋɐɪ214		ŋ	ɐɪ	214							
哀	哀	ŋɐɪ45		ŋ	ɐɪ	45							
埃	埃	ŋɐɪ45		ŋ	ɐɪ	45							
愛	爱	ŋɐɪ214		ŋ	ɐɪ	214							
艾	艾	ŋɐɪ214		ŋ	ɐɪ	214							
藹	蔼	ŋɐɪ42		ŋ	ɐɪ	42							
靄	霭	ŋɐɪ42		ŋ	ɐɪ	42							
挨	挨	ŋɐɪ45		ŋ	ɐɪ	45							
挨	挨	ŋɐɪ21		ŋ	ɐɪ	21							
涯	涯	ŋɐɪ21		ŋ	ɐɪ	21							
捱	捱	ŋɐɪ21	動詞，表示拖延	ŋ	ɐɪ	21							
崖	崖	ŋɐɪ21		ŋ	ɐɪ	21							
皚	皑	ŋɐɪ21		ŋ	ɐɪ	21							
矮	矮	ŋɐɪ42		ŋ	ɐɪ	42							
隘	隘	ŋɐɪ214		ŋ	ɐɪ	214							
巖	岩	ŋɐɪ21		ŋ	ɐɪ	21							
跛	跛	pɐɪ45	跛子，跛腳杆	p	ɐɪ	45							
拜	拜	pɐɪ214		p	ɐɪ	214							
擺	摆	pɐɪ42		p	ɐɪ	42							
罷	罢	pɐɪ214		p	ɐɪ	214							
稗	稗	pɐɪ214		p	ɐɪ	214							
敗	败	pɐɪ214		p	ɐɪ	214							
排	排	pʰɐɪ21		pʰ	ɐɪ	21							
派	派	pʰɐɪ214		pʰ	ɐɪ	214							
牌	牌	pʰɐɪ21		pʰ	ɐɪ	21							
腮	腮	sɐɪ45		s	ɐɪ	45							
賽	赛	sɐɪ214		s	ɐɪ	214							
曬	晒	sɐɪ214		s	ɐɪ	214							
大	大	tʰɐɪ42	仅用于表语、亲属称谓中	tʰ	ɐɪ	42							
戴	戴	tɐɪ214		t	ɐɪ	214							
貸	贷	tɐɪ214		t	ɐɪ	214							
殆	殆	tɐɪ214		t	ɐɪ	214							
待	待	tɐɪ214		t	ɐɪ	214							
怠	怠	tɐɪ214		t	ɐɪ	214							
代	代	tɐɪ214		t	ɐɪ	214							
袋	袋	tɐɪ214或45		t	ɐɪ	214或45							
呆	呆	tɐɪ45	文讀	t	ɐɪ	45							
傣	傣	tɐɪ42		t	ɐɪ	42							
帶	带	tɐɪ214		t	ɐɪ	214							
胎	胎	tʰɐɪ45		tʰ	ɐɪ	45							
態	态	tʰɐɪ42		tʰ	ɐɪ	42							
態	态	tʰɐɪ214		tʰ	ɐɪ	214							
臺	台	tʰɐɪ21		tʰ	ɐɪ	21							
苔	苔	tʰɐɪ21		tʰ	ɐɪ	21							
抬	抬	tʰɐɪ21		tʰ	ɐɪ	21							
泰	泰	tʰɐɪ214		tʰ	ɐɪ	214							
太	太	tʰɐɪ214		tʰ	ɐɪ	214							
災	灾	tsɐɪ45		ts	ɐɪ	45							
栽	栽	tsɐɪ45		ts	ɐɪ	45							
宰	宰	tsɐɪ42		ts	ɐɪ	42							
載	载	tsɐɪ42		ts	ɐɪ	42							
再	再	tsɐɪ214		ts	ɐɪ	214							
載	载	tsɐɪ214		ts	ɐɪ	214							
在	在	tsɐɪ214		ts	ɐɪ	214							
齋	斋	tsɐɪ45		ts	ɐɪ	45							
債	债	tsɐɪ214		ts	ɐɪ	214							
寨	寨	tsɐɪ214		ts	ɐɪ	214							
猜	猜	tsʰɐɪ45		tsʰ	ɐɪ	45							
采	采	tsʰɐɪ42		tsʰ	ɐɪ	42							
睬	睬	tsʰɐɪ42		tsʰ	ɐɪ	42							
踩	踩	tsʰɐɪ42		tsʰ	ɐɪ	42							
彩	彩	tsʰɐɪ42		tsʰ	ɐɪ	42							
菜	菜	tsʰɐɪ214		tsʰ	ɐɪ	214							
裁	裁	tsʰɐɪ21		tsʰ	ɐɪ	21							
材	材	tsʰɐɪ21		tsʰ	ɐɪ	21							
才	才	tsʰɐɪ21		tsʰ	ɐɪ	21							
纔	纔	tsʰɐɪ21		tsʰ	ɐɪ	21							
財	财	tsʰɐɪ21		tsʰ	ɐɪ	21							
蔡	蔡	tsʰɐɪ214		tsʰ	ɐɪ	214							
豺	豺	tsʰɐɪ21		tsʰ	ɐɪ	21							
釵	钗	tsʰɐɪ45		tsʰ	ɐɪ	45							
差	差	tsʰɐɪ45		tsʰ	ɐɪ	45							
柴	柴	tsʰɐɪ21		tsʰ	ɐɪ	21							
㾹	㾹	tsʰɐɪ21	瘦，少肉，皮包骨	tsʰ	ɐɪ	21							
海	海	xɐɪ42		x	ɐɪ	42							
孩	孩	xɐɪ21		x	ɐɪ	21							
亥	亥	xɐɪ214		x	ɐɪ	214							
害	害	xɐɪ214		x	ɐɪ	214							
駭	骇	xɐɪ214		x	ɐɪ	214							
鞋	鞋	xɐɪ21		x	ɐɪ	21							
蟹	蟹	xɐɪ42		x	ɐɪ	42							
還	还	xɐɪ21	白讀	x	ɐɪ	21							
高	高	kɑʊ45		k	ɑʊ	45							
膏	膏	kɑʊ45		k	ɑʊ	45							
羔	羔	kɑʊ45		k	ɑʊ	45							
糕	糕	kɑʊ45		k	ɑʊ	45							
稿	稿	kɑʊ42		k	ɑʊ	42							
告	告	kɑʊ214		k	ɑʊ	214							
攪	搅	kʰɑʊ21	乱搅	kʰ	ɑʊ	21							
搞	搞	kɑʊ42		k	ɑʊ	42							
窖	窖	kɑʊ214		k	ɑʊ	214							
校	校	kɑʊ214	白讀，動詞。表示嘗試	k	ɑʊ	214							
叫	叫	kɑʊ214	仅用于“叫花子”	k	ɑʊ	214							
覺	觉	kɑʊ214		k	ɑʊ	214							
考	考	kʰɑʊ42		kʰ	ɑʊ	42							
烤	烤	kʰɑʊ42		kʰ	ɑʊ	42							
靠	靠	kʰɑʊ214		kʰ	ɑʊ	214							
犒	犒	kʰɑʊ214		kʰ	ɑʊ	214							
敲	敲	kʰɑʊ45		kʰ	ɑʊ	45							
腦	脑	nɑʊ42		n	ɑʊ	42							
惱	恼	nɑʊ42		n	ɑʊ	42							
勞	劳	lɑʊ21		l	ɑʊ	21							
撈	捞	lɑʊ45		l	ɑʊ	45							
嘮	唠	lɑʊ21		l	ɑʊ	21							
牢	牢	lɑʊ21		l	ɑʊ	21							
