繁體	简体	聲韻調	註釋	聲	韻	調							
吼	吼	xəʊ42		x	əʊ	42							
侯	侯	xəʊ21		x	əʊ	21							
喉	喉	xəʊ21		x	əʊ	21							
猴	猴	xəʊ21		x	əʊ	21							
後	后	xəʊ214或45		x	əʊ	214或45							
厚	厚	xəʊ214或45		x	əʊ	214或45							
后	后	xəʊ214		x	əʊ	214							
候	候	xəʊ214		x	əʊ	214							
柔	柔	zəʊ21		z	əʊ	21							
揉	揉	zəʊ21		z	əʊ	21							
糅	糅	zəʊ21		z	əʊ	21							
些	些	ɕi45		ɕ	i	45							
西	西	ɕi45		ɕ	i	45							
棲	栖	ɕi45		ɕ	i	45							
犀	犀	ɕi45		ɕ	i	45							
洗	洗	ɕi42		ɕ	i	42							
細	细	ɕi214		ɕ	i	214							
婿	婿	ɕi214		ɕ	i	214							
兮	兮	ɕi45		ɕ	i	45							
奚	奚	ɕi45		ɕ	i	45							
蹊	蹊	ɕi45		ɕ	i	45							
系	系	ɕi214		ɕ	i	214							
繫	系	ɕi214		ɕ	i	214							
係	系	ɕi214		ɕ	i	214							
犧	牺	ɕi45		ɕ	i	45							
戲	戏	ɕi214		ɕ	i	214							
嘻	嘻	ɕi45		ɕ	i	45							
嬉	嬉	ɕi45		ɕ	i	45							
禧	禧	ɕi45		ɕ	i	45							
熙	熙	ɕi45		ɕ	i	45							
喜	喜	ɕi45		ɕ	i	45							
戲	戏	ɕi214		ɕ	i	214							
希	希	ɕi45		ɕ	i	45							
稀	稀	ɕi45		ɕ	i	45							
隰	隰	ɕi214		ɕ	i	214							
習	习	ɕi214		ɕ	i	214							
襲	袭	ɕi214		ɕ	i	214							
泣	泣	ɕi214		ɕ	i	214							
翕	翕	ɕi214		ɕ	i	214							
翖	翖	ɕi214		ɕ	i	214							
闟	闟	ɕi214		ɕ	i	214							
吸	吸	tɕi214		tɕ	i	214							
蟋	蟋	ɕi214		ɕ	i	214							
窸	窸	ɕi45	窸窸窣窣（sɔ45），形容轻微细小的声音	ɕ	i	45							
悉	悉	ɕi214		ɕ	i	214							
息	息	ɕi214		ɕ	i	214							
熄	熄	ɕi214		ɕ	i	214							
媳	媳	ɕi214		ɕ	i	214							
隙	隙	ɕi214		ɕ	i	214							
潟	潟	ɕi214		ɕ	i	214							
昔	昔	ɕi214		ɕ	i	214							
惜	惜	ɕi214		ɕ	i	214							
汐	汐	ɕi214		ɕ	i	214							
蓆	蓆	ɕi214		ɕ	i	214							
席	席	ɕi214		ɕ	i	214							
夕	夕	ɕi214		ɕ	i	214							
晳	晳	ɕi214		ɕ	i	214							
緆	緆	ɕi214		ɕ	i	214							
蜥	蜥	ɕi214		ɕ	i	214							
菥	菥	ɕi214		ɕ	i	214							
淅	淅	ɕi214		ɕ	i	214							
錫	锡	ɕi214		ɕ	i	214							
析	析	ɕi214		ɕ	i	214							
厲	厉	li214		l	i	214							
勵	励	li214		l	i	214							
犁	犁	li21		l	i	21							
黎	黎	li21		l	i	21							
禮	礼	li42		l	i	42							
麗	丽	li214		l	i	214							
隸	隶	li214		l	i	214							
倪	倪	ȵi21		ȵ	i	21							
詣	诣	li214		l	i	214							
籬	篱	li21		l	i	21							
離	离	li21		l	i	21							
璃	璃	li21		l	i	21							
荔	荔	li214		l	i	214							
梨	梨	li21		l	i	21							
利	利	li214		l	i	214							
厘	厘	li21		l	i	21							
李	李	li42		l	i	42							
理	理	li42		l	i	42							
裏	里	øi42	仅用于词组“里头”	ø	i	42							
裏	里	li42		l	i	42							
鯉	鲤	li42		l	i	42							
吏	吏	li214		l	i	214							
昵	昵	ȵi214		ȵ	i	214							
栗	栗	li214		l	i	214							
力	力	li214		l	i	214							
逆	逆	ȵi214		ȵ	i	214							
愵	愵	ȵi214		ȵ	i	214							
溺	溺	ȵi214		ȵ	i	214							
酈	郦	li214		l	i	214							
礫	砾	li214		l	i	214							
櫪	枥	li214		l	i	214							
糲	粝	li214	糲米飯	l	i	214							
瀝	沥	li214或45		l	i	214或45							
鬲	鬲	li214		l	i	214							
歷	历	li214		l	i	214							
曆	历	li214		l	i	214							
立	立	li214		l	i	214							
笠	笠	li214		l	i	214							
粒	粒	li214		l	i	214							
迷	迷	mi21		m	i	21							
米	米	mi42		m	i	42							
謎	谜	mi21		m	i	21							
糜	糜	mi21		m	i	21							
彌	弥	mi21		m	i	21							
泌	泌	mi214		m	i	214							
秘	秘	mi214		m	i	214							
眉	眉	mi21	老	m	i	21							
蔤	蔤	mi214		m	i	214							
宓	宓	mi214		m	i	214							
滵	滵	mi214		m	i	214							
樒	樒	mi214		m	i	214							
密	密	mi214		m	i	214							
謐	谧	mi214		m	i	214							
䤉	䤉	mi214		m	i	214							
榓	榓	mi214		m	i	214							
宓	宓	mi214		m	i	214							
淧	淧	mi214		m	i	214							
蜜	蜜	mi214		m	i	214							
覓	觅	mi214		m	i	214							
藝	艺	ȵi214		ȵ	i	214							
囈	呓	ȵi214		ȵ	i	214							
刈	刈	ȵi214		ȵ	i	214							
泥	泥	ȵi21		ȵ	i	21							
宜	宜	ȵi21		ȵ	i	21							
儀	仪	ȵi21		ȵ	i	21							
蟻	蚁	ȵi42	老派	ȵ	i	42							
義	义	ȵi214		ȵ	i	214							
議	议	ȵi214		ȵ	i	214							
誼	谊	ȵi214		ȵ	i	214							
尼	尼	ȵi21		ȵ	i	21							
呢	呢	ȵi21	毛呢，呢子	ȵ	i	21							
膩	腻	ȵi214		ȵ	i	214							
你	你	ȵi42		ȵ	i	42							
妳	你	ȵi42		ȵ	i	42							
疑	疑	ȵi21		ȵ	i	21							
擬	拟	ȵi42		ȵ	i	42							
暱	匿	ȵi214		ȵ	i	214							
縊	缢	øi214		ø	i	214							
瞖	瞖	øi214		ø	i	214							
蟻	蚁	øi214		ø	i	214							
椅	椅	øi42		ø	i	42							
移	移	øi21		ø	i	21							
易	易	øi214		ø	i	214							
伊	伊	øi45		ø	i	45							
懿	懿	øi214		ø	i	214							
夷	夷	øi21		ø	i	21							
姨	姨	øi21		ø	i	21							
肄	肄	øi214		ø	i	214							
醫	医	øi45		ø	i	45							
意	意	øi214		ø	i	214							
矣	矣	øi42		ø	i	42							
怡	怡	øi21		ø	i	21							
貽	贻	øi21		ø	i	21							
已	已	øi42		ø	i	42							
以	以	øi42		ø	i	42							
異	异	øi214		ø	i	214							
沂	沂	øi21		ø	i	21							
毅	毅	øi214		ø	i	214							
依	依	øi45		ø	i	45							
衣	衣	øi45		ø	i	45							
遺	遗	øi21		ø	i	21							
悒	悒	øi214		ø	i	214							
唈	唈	øi214		ø	i	214							
裛	裛	øi214		ø	i	214							
浥	浥	øi214		ø	i	214							
䓃	䓃	øi214		ø	i	214							
䭂	䭂	øi214		ø	i	214							
邑	邑	øi214		ø	i	214							
揖	揖	øi214		ø	i	214							
挹	挹	øi214		ø	i	214							
屹	屹	øi214		ø	i	214							
一	一	øi214		ø	i	214							
壹	壹	øi214		ø	i	214							
弌	弌	øi214		ø	i	214							
鳦	鳦	øi214		ø	i	214							
亄	亄	øi214		ø	i	214							
乙	乙	øi214		ø	i	214							
逸	逸	øi214		ø	i	214							
佚	佚	øi214		ø	i	214							
佾	佾	øi214		ø	i	214							
溢	溢	øi214		ø	i	214							
軼	轶	øi214		ø	i	214							
鎰	镒	øi214		ø	i	214							
泆	泆	øi214		ø	i	214							
齸	齸	øi214		ø	i	214							
劮	劮	øi214		ø	i	214							
欥	欥	øi214		ø	i	214							
䭿	䭿	øi214		ø	i	214							
䳀	䳀	øi214		ø	i	214							
臆	臆	øi214		ø	i	214							
肊	肊	øi214		ø	i	214							
繶	繶	øi214		ø	i	214							
醷	醷	øi214		ø	i	214							
澺	澺	øi214		ø	i	214							
䗷	䗷	øi214		ø	i	214							
檍	檍	øi214		ø	i	214							
憶	忆	øi214		ø	i	214							
億	亿	øi214		ø	i	214							
抑	抑	øi214		ø	i	214							
翊	翊	øi214		ø	i	214							
翌	翌	øi214		ø	i	214							
廙	廙	øi214		ø	i	214							
黓	黓	øi214		ø	i	214							
翼	翼	øi214		ø	i	214							
𦏵	𦏵	øi214		ø	i	214							
䴰	䴰	øi214		ø	i	214							
隿	隿	øi214		ø	i	214							
㚤	㚤	øi214		ø	i	214							
潩	潩	øi214		ø	i	214							
杙	杙	øi214		ø	i	214							
芅	芅	øi214		ø	i	214							
㔴	㔴	øi214		ø	i	214							
蛡	蛡	øi214		ø	i	214							
瀷	瀷	øi214		ø	i	214							
釴	釴	øi214		ø	i	214							
䄩	䄩	øi214		ø	i	214							
䘝	䘝	øi214		ø	i	214							
䣧	䣧	øi214		ø	i	214							
熼	熼	øi214		ø	i	214							
𢖺	𢖺	øi214		ø	i	214							
弋	弋	øi214		ø	i	214							
繹	绎	øi214		ø	i	214							
懌	怿	øi214		ø	i	214							
弈	弈	øi214		ø	i	214							
奕	奕	øi214		ø	i	214							
帟	帟	øi214		ø	i	214							
斁	斁	øi214		ø	i	214							
驛	驿	øi214		ø	i	214							
嶧	峄	øi214		ø	i	214							
醳	醳	øi214		ø	i	214							
腋	腋	øi214		ø	i	214							
掖	掖	øi214		ø	i	214							
䘸	䘸	øi214		ø	i	214							
痬	痬	øi214		ø	i	214							
蜴	蜴	øi214		ø	i	214							
圛	圛	øi214		ø	i	214							
襗	襗	øi214		ø	i	214							
墿	墿	øi214		ø	i	214							
焲	焲	øi214		ø	i	214							
㴒	㴒	øi214		ø	i	214							
燡	燡	øi214		ø	i	214							
㘁	㘁	øi214		ø	i	214							
嗌	嗌	øi214		ø	i	214							
齸	齸	øi214		ø	i	214							
膉	膉	øi214		ø	i	214							
益	益	øi214		ø	i	214							
亦	亦	øi214		ø	i	214							
譯	译	øi214		ø	i	214							
易	易	øi214	交易，貿易。	ø	i	214							
蔽	蔽	pi214		p	i	214							
斃	毙	pi214		p	i	214							
敝	敝	pi214		p	i	214							
幣	币	pi214		p	i	214							
弊	弊	pi214		p	i	214							
閉	闭	pi214		p	i	214							
箅	箅	pi214		p	i	214							
陛	陛	pi214		p	i	214							
裨	裨	pi214		p	i	214							
彼	彼	pi42		p	i	42							
俾	俾	pi42		p	i	42							
婢	婢	pi214		p	i	214							
避	避	pi214		p	i	214							
吡	吡	pi42		p	i	42							
鄙	鄙	pi42		p	i	42							
比	比	pi42		p	i	42							
庇	庇	pi214		p	i	214							
備	备	pi214	老	p	i	214							
鼻	鼻	pi214		p	i	214							
篦	篦	pi214		p	i	214							
𩾳	𩾳	pi214		p	i	214							
鵖	鵖	pi214		p	i	214							
皀	皀	pi214		p	i	214							
觱	觱	pi214		p	i	214							
潷	滗	pi214		p	i	214							
鉍	铋	pi214		p	i	214							
柲	柲	pi214		p	i	214							
咇	咇	pi214		p	i	214							
㻶	㻶	pi214		p	i	214							
筆	笔	pi214		p	i	214							
邲	邲	pi214		p	i	214							
柲	柲	pi214		p	i	214							
馝	馝	pi214		p	i	214							
苾	苾	pi214		p	i	214							
䩛	䩛	pi214		p	i	214							
佖	佖	pi214		p	i	214							
駜	駜	pi214		p	i	214							
坒	坒	pi214		p	i	214							
飶	飶	pi214		p	i	214							
綼	綼	pi214		p	i	214							
鮅	鮅	pi214		p	i	214							
怭	怭	pi214		p	i	214							
䖩	䖩	pi214		p	i	214							
咇	咇	pi214		p	i	214							
怭	怭	pi214		p	i	214							
罼	罼	pi214		p	i	214							
蓽	荜	pi214		p	i	214							
韠	韠	pi214		p	i	214							
㻫	㻫	pi214		p	i	214							
䟆	䟆	pi214		p	i	214							
蹕	蹕	pi214		p	i	214							
滭	滭	pi214		p	i	214							
㪤	㪤	pi214		p	i	214							
鷝	鷝	pi214		p	i	214							
觱	觱	pi214		p	i	214							
珌	珌	pi214		p	i	214							
㓖	㓖	pi214		p	i	214							
熚	熚	pi214		p	i	214							
彃	彃	pi214		p	i	214							
㮿	㮿	pi214		p	i	214							
縪	縪	pi214		p	i	214							
鮅	鮅	pi214		p	i	214							
饆	饆	pi214		p	i	214							
鏎	鏎	pi214		p	i	214							
畢	毕	pi214		p	i	214							
必	必	pi214		p	i	214							
㢸	㢸	pi214		p	i	214							
佖	佖	pi214		p	i	214							
弼	弼	pi214		p	i	214							
逼	逼	pi214		p	i	214							
逼	逼	pi45		p	i	45							
碧	碧	pi214		p	i	214							
璧	璧	pi214		p	i	214							
壁	壁	pi214		p	i	214							
璧	璧	pi214		p	i	214							
皮	皮	pʰi21		pʰ	i	21							
疲	疲	pʰi21		pʰ	i	21							
脾	脾	pʰi21		pʰ	i	21							
避	避	pʰi214	罕用	pʰ	i	214							
秕	秕	pʰi42		pʰ	i	42							
痹	痹	pʰi21		pʰ	i	21							
屁	屁	pʰi214		pʰ	i	214							
琵	琵	pʰi21		pʰ	i	21							
䏘	䏘	pʰi214		pʰ	i	214							
鷝	鷝	pʰi214		pʰ	i	214							
匹	匹	pʰi214		pʰ	i	214							
澼	澼	pʰi214		pʰ	i	214							
憵	憵	pʰi214		pʰ	i	214							
䤨	䤨	pʰi214		pʰ	i	214							
霹	霹	pʰi214		pʰ	i	214							
劈	劈	pʰi214		pʰ	i	214							
僻	僻	pʰi214		pʰ	i	214							
闢	辟	pʰi214		pʰ	i	214							
癖	癖	pʰi214		pʰ	i	214							
廦	廦	pʰi214		pʰ	i	214							
低	低	ti45		t	i	45							
底	底	ti42		t	i	42							
抵	抵	ti42		t	i	42							
渧	渧	ti214	滴也	t	i	214							
帝	帝	ti214		t	i	214							
弟	弟	ti214		t	i	214							
第	第	ti214		t	i	214							
遞	递	ti214		t	i	214							
地	地	ti214或45		t	i	214或45							
滴	滴	ti214		t	i	214							
嫡	嫡	ti214		t	i	214							
魡	魡	ti214		t	i	214							
啇	啇	ti214		t	i	214							
扚	扚	ti214		t	i	214							
玓	玓	ti214		t	i	214							
樀	樀	ti214		t	i	214							
蹢	蹢	ti214		t	i	214							
鏑	镝	ti214		t	i	214							
馰	馰	ti214		t	i	214							
靮	靮	ti214		t	i	214							
甋	甋	ti214		t	i	214							
的	的	ti214		t	i	214							
迪	迪	ti214		t	i	214							
籊	籊	ti214		t	i	214							
翟	翟	ti214	江淮之間謂雉靑質五色皆備曰翟書	t	i	214							
覿	觌	ti214		t	i	214							
糴	糴	ti214		t	i	214							
滌	涤	ti214		t	i	214							
蓧	蓧	ti214		t	i	214							
蔋	菽	ti214		t	i	214							
踧	踧	ti214		t	i	214							
䌦	䌦	ti214		t	i	214							
䵂	䵂	ti214		t	i	214							
樀	樀	ti214		t	i	214							
頔	頔	ti214		t	i	214							
梑	梑	ti214		t	i	214							
䊮	䊮	ti214		t	i	214							
䢮	䢮	ti214		t	i	214							
㹍	㹍	ti214		t	i	214							
苖	苖	ti214		t	i	214							
㣙	㣙	ti214		t	i	214							
狄	狄	ti214		t	i	214							
篴	篴	ti214	通（笛）	t	i	214							
笛	笛	ti214		t	i	214							
敵	敌	ti214		t	i	214							
糴	籴	ti214		t	i	214							
杞	杞	tɕi214		tɕ	i	214							
去	去	tɕi214或45	白读（疑非本字）	tɕ	i	214或45							
祭	祭	tɕi214		tɕ	i	214							
際	际	tɕi214		tɕ	i	214							
穄	穄	tɕi214		tɕ	i	214							
擠	挤	tɕi42		tɕ	i	42							
濟	济	tɕi214		tɕ	i	214							
臍	脐	tɕi45	肚臍眼	tɕ	i	45							
薺	荠	tɕi214		tɕ	i	214							
雞	鸡	tɕi45		tɕ	i	45							
稽	稽	tɕi45		tɕ	i	45							
計	计	tɕi214		tɕ	i	214							
繼	继	tɕi214		tɕ	i	214							
繋	繋	tɕi214		tɕ	i	214							
系	系	tɕi214		tɕ	i	214							
羈	羁	tɕi45		tɕ	i	45							
寄	寄	tɕi214		tɕ	i	214							
技	技	tɕi214		tɕ	i	214							
妓	妓	tɕi214		tɕ	i	214							
肌	肌	tɕi45		tɕ	i	45							
飢	飢	tɕi45		tɕ	i	45							
幾	几	tɕi45		tɕ	i	45							
幾	几	tɕi42		tɕ	i	42							
冀	冀	tɕi214		tɕ	i	214							
基	基	tɕi45		tɕ	i	45							
姬	姬	tɕi45		tɕ	i	45							
己	己	tɕi42		tɕ	i	42							
紀	纪	tɕi42	白讀，紀律	tɕ	i	42							
紀	纪	tɕi214	文讀，世紀	tɕ	i	214							
記	记	tɕi214		tɕ	i	214							
忌	忌	tɕi214		tɕ	i	214							
機	机	tɕi45		tɕ	i	45							
譏	讥	tɕi45		tɕ	i	45							
饑	饥	tɕi45		tɕ	i	45							
既	既	tɕi214		tɕ	i	214							
季	季	tɕi45	仅用于词组“四季豆”	tɕ	i	45							
季	季	tɕi214		tɕ	i	214							
緝	缉	tɕi214		tɕ	i	214							
集	集	tɕi214		tɕ	i	214							
檝	檝	tɕi214		tɕ	i	214							
亼	亼	tɕi214		tɕ	i	214							
鏶	鏶	tɕi214		tɕ	i	214							
慹	慹	tɕi214		tɕ	i	214							
箿	箿	tɕi214		tɕ	i	214							
輯	辑	tɕi214		tɕ	i	214							
㗱	㗱	tɕi214		tɕ	i	214							
潗	潗	tɕi214		tɕ	i	214							
䌖	䌖	tɕi214		tɕ	i	214							
湒	湒	tɕi214		tɕ	i	214							
蓻	蓻	tɕi214		tɕ	i	214							
䁒	䁒	tɕi214		tɕ	i	214							
㠍	㠍	tɕi214		tɕ	i	214							
岌	岌	tɕi214		tɕ	i	214							
伋	伋	tɕi214		tɕ	i	214							
芨	芨	tɕi214		tɕ	i	214							
㽺	㽺	tɕi214		tɕ	i	214							
彶	彶	tɕi214		tɕ	i	214							
急	急	tɕi214		tɕ	i	214							
級	级	tɕi214		tɕ	i	214							
汲	汲	tɕi214		tɕ	i	214							
給	给	tɕi214	文讀	tɕ	i	214							
䲯	䲯	tɕi214		tɕ	i	214							
笈	笈	tɕi214		tɕ	i	214							
㧀	㧀	tɕi214		tɕ	i	214							
及	及	tɕi214		tɕ	i	214							
䰴	䰴	tɕi214		tɕ	i	214							
扢	扢	tɕi214		tɕ	i	214							
訖	讫	tɕi214		tɕ	i	214							
堲	堲	tɕi214		tɕ	i	214							
㲺	㲺	tɕi214		tɕ	i	214							
㘍	㘍	tɕi214		tɕ	i	214							
唧	唧	tɕi214		tɕ	i	214							
㲺	㲺	tɕi214		tɕ	i	214							
蝍	蝍	tɕi214		tɕ	i	214							
疾	疾	tɕi214		tɕ	i	214							
嫉	嫉	tɕi214		tɕ	i	214							
蒺	蒺	tɕi214		tɕ	i	214							
㑵	㑵	tɕi214		tɕ	i	214							
揤	揤	tɕi214		tɕ	i	214							
愱	愱	tɕi214		tɕ	i	214							
槉	槉	tɕi214		tɕ	i	214							
吉	吉	tɕi214		tɕ	i	214							
狤	狤	tɕi214		tɕ	i	214							
拮	拮	tɕi214		tɕ	i	214							
郆	郆	tɕi214		tɕ	i	214							
潔	洁	tɕi214		tɕ	i	214							
趌	趌	tɕi214		tɕ	i	214							
姞	姞	tɕi214		tɕ	i	214							
鮚	鮚	tɕi214		tɕ	i	214							
卽	即	tɕi214		tɕ	i	214							
稷	稷	tɕi214		tɕ	i	214							
㮨	㮨	tɕi214		tɕ	i	214							
㹄	㹄	tɕi214		tɕ	i	214							
蝍	蝍	tɕi214		tɕ	i	214							
楖	楖	tɕi214		tɕ	i	214							
畟	畟	tɕi214		tɕ	i	214							
鯽	鲫	tɕi214		tɕ	i	214							
䐚	䐚	tɕi214		tɕ	i	214							
唧	唧	tɕi214		tɕ	i	214							
揤	揤	tɕi214		tɕ	i	214							
𪃹	𪃹	tɕi214		tɕ	i	214							
殛	殛	tɕi214		tɕ	i	214							
㥛	㥛	tɕi214		tɕ	i	214							
襋	襋	tɕi214		tɕ	i	214							
亟	亟	tɕi214		tɕ	i	214							
㻷	㻷	tɕi214		tɕ	i	214							
蕀	蕀	tɕi214		tɕ	i	214							
棘	棘	tɕi214		tɕ	i	214							
極	极	tɕi214		tɕ	i	214							
垐	垐	tɕi214		tɕ	i	214							
踖	踖	tɕi214		tɕ	i	214							
藉	藉	tɕi214		tɕ	i	214							
耤	耤	tɕi214		tɕ	i	214							
塉	塉	tɕi214		tɕ	i	214							
瘠	瘠	tɕi214		tɕ	i	214							
膌	膌	tɕi214		tɕ	i	214							
䣢	䣢	tɕi214		tɕ	i	214							
簎	簎	tɕi214		tɕ	i	214							
蹐	蹐	tɕi214		tɕ	i	214							
踖	踖	tɕi214		tɕ	i	214							
鰿	鰿	tɕi214		tɕ	i	214							
鯽	鲫	tɕi214		tɕ	i	214							
蹟	迹	tɕi214		tɕ	i	214							
襀	襀	tɕi214		tɕ	i	214							
庴	庴	tɕi214		tɕ	i	214							
𧐐	𧐐	tɕi214		tɕ	i	214							
𪃹	𪃹	tɕi214		tɕ	i	214							
積	积	tɕi214		tɕ	i	214							
跡	迹	tɕi214		tɕ	i	214							
脊	脊	tɕi214		tɕ	i	214							
籍	籍	tɕi214		tɕ	i	214							
藉	藉	tɕi214		tɕ	i	214							
樍	樍	tɕi214		tɕ	i	214							
𪄸	𪄸	tɕi214		tɕ	i	214							
績	绩	tɕi214		tɕ	i	214							
寂	寂	tɕi214		tɕ	i	214							
墼	墼	tɕi214		tɕ	i	214							
轚	轚	tɕi214		tɕ	i	214							
獥	獥	tɕi214		tɕ	i	214							
敫	敫	tɕi214		tɕ	i	214							
鸄	鸄	tɕi214		tɕ	i	214							
擊	击	tɕi214		tɕ	i	214							
激	激	tɕi214		tɕ	i	214							
妻	妻	tɕʰi45		tɕʰ	i	45							
淒	凄	tɕʰi45		tɕʰ	i	45							
砌	砌	tɕʰi214		tɕʰ	i	214							
齊	齐	tɕʰi21		tɕʰ	i	21							
臍	脐	tɕʰi21		tɕʰ	i	21							
薺	荠	tɕʰi21		tɕʰ	i	21							
稽	稽	tɕʰi45	仅用于乐山地名，蘇稽	tɕʰ	i	45							
溪	溪	tɕʰi45		tɕʰ	i	45							
啟	启	tɕʰi42		tɕʰ	i	42							
契	契	tɕʰi214		tɕʰ	i	214							
企	企	tɕʰi214		tɕʰ	i	214							
奇	奇	tɕʰi21		tɕʰ	i	21							
騎	骑	tɕʰi21		tɕʰ	i	21							
岐	岐	tɕʰi21		tɕʰ	i	21							
器	器	tɕʰi214		tɕʰ	i	214							
棄	弃	tɕʰi214		tɕʰ	i	214							
祈	祈	tɕʰi21		tɕʰ	i	21							
鰭	鳍	tɕʰi21		tɕʰ	i	21							
耆	耆	tɕʰi21		tɕʰ	i	21							
己	己	tɕʰi42	白	tɕʰ	i	42							
欺	欺	tɕʰi45		tɕʰ	i	45							
起	起	tɕʰi21	读单字不用	tɕʰ	i	21							
起	起	tɕʰi42		tɕʰ	i	42							
起	起	tɕi42	读单字不用	tɕ	i	42							
棋	棋	tɕʰi21		tɕʰ	i	21							
其	其	tɕʰi21		tɕʰ	i	21							
旗	旗	tɕʰi21		tɕʰ	i	21							
期	期	tɕʰi21		tɕʰ	i	21							
豈	岂	tɕʰi42		tɕʰ	i	42							
氣	气	tɕʰi214		tɕʰ	i	214							
汽	汽	tɕʰi214		tɕʰ	i	214							
咠	咠	tɕʰi214		tɕʰ	i	214							
葺	葺	tɕʰi214		tɕʰ	i	214							
諿	諿	tɕʰi214		tɕʰ	i	214							
緝	缉	tɕʰi214	一種縫紉方法，一針連著一針密密地縫	tɕʰ	i	214							
㯃	㯃	tɕʰi214		tɕʰ	i	214							
桼	桼	tɕʰi214		tɕʰ	i	214							
䣛	䣛	tɕʰi214		tɕʰ	i	214							
柒	七	tɕʰi214		tɕʰ	i	214							
漆	漆	tɕʰi214		tɕʰ	i	214							
迄	迄	tɕʰi214		tɕʰ	i	214							
忔	忔	tɕʰi214		tɕʰ	i	214							
䒗	䒗	tɕʰi214		tɕʰ	i	214							
汔	汔	tɕʰi214		tɕʰ	i	214							
膝	膝	tɕʰi214		tɕʰ	i	214							
契	契	tɕʰi214	契丹	tɕʰ	i	214							
汔	汔	tɕʰi214		tɕʰ	i	214							
䒗	䒗	tɕʰi214		tɕʰ	i	214							
迄	迄	tɕʰi214		tɕʰ	i	214							
乞	乞	tɕʰi214		tɕʰ	i	214							
詰	诘	tɕʰi214		tɕʰ	i	214							
蛣	蛣	tɕʰi214		tɕʰ	i	214							
䩯	䩯	tɕʰi214		tɕʰ	i	214							
磧	碛	tɕʰi214		tɕʰ	i	214							
皵	皵	tɕʰi214		tɕʰ	i	214							
洓	洓	tɕʰi214		tɕʰ	i	214							
䟄	䟄	tɕʰi214		tɕʰ	i	214							
嫧	嫧	tɕʰi214		tɕʰ	i	214							
洓	洓	tɕʰi214		tɕʰ	i	214							
𢿣	𢿣	tɕʰi214		tɕʰ	i	214							
䍊	䍊	tɕʰi214		tɕʰ	i	214							
燩	燩	tɕʰi214		tɕʰ	i	214							
墄	墄	tɕʰi214		tɕʰ	i	214							
戚	戚	tɕʰi214		tɕʰ	i	214							
慽	慽	tɕʰi214		tɕʰ	i	214							
堤	堤	tʰi21		tʰ	i	21							
梯	梯	tʰi45		tʰ	i	45							
體	体	tʰi42		tʰ	i	42							
涕	涕	tʰi214		tʰ	i	214							
剃	剃	tʰi42		tʰ	i	42							
提	提	tʰi21		tʰ	i	21							
題	题	tʰi21		tʰ	i	21							
蹄	蹄	tʰi21		tʰ	i	21							
啼	啼	tʰi21		tʰ	i	21							
逖	逖	tʰi214		tʰ	i	214							
逷	逷	tʰi214		tʰ	i	214							
倜	倜	tʰi214		tʰ	i	214							
趯	趯	tʰi214		tʰ	i	214							
䢰	䢰	tʰi214		tʰ	i	214							
剔	剔	tʰi214		tʰ	i	214							
剔	剔	tʰi45		tʰ	i	45							
惕	惕	tʰi214		tʰ	i	214							
䯜	䯜	tʰi214		tʰ	i	214							
硩	硩	tʰi214		tʰ	i	214							
䚐	䚐	tʰi214		tʰ	i	214							
蓨	蓨	tʰi214		tʰ	i	214							
籊	籊	tʰi214		tʰ	i	214							
悐	悐	tʰi214		tʰ	i	214							
踢	踢	tʰi214		tʰ	i	214							
爹	爹	ti45		t	i	45							
樨	樨	ɕi45		ɕ	i	45							
沏	沏	tɕʰi214		tɕʰ	i	214							
蝦	虾	ɕia45		ɕ	ia	45							
嚇	吓	ɕia214	文讀	ɕ	ia	214							
霞	霞	ɕia21		ɕ	ia	21							
䠍	䠍	ɕia21		ɕ	ia	21							
遐	遐	ɕia21		ɕ	ia	21							
瑕	瑕	ɕia21		ɕ	ia	21							
下	下	ɕia214或45		ɕ	ia	214或45							
𢱈	𢱈	ɕia214		ɕ	ia	214							
夏	夏	ɕia214		ɕ	ia	214							
暇	暇	ɕia21		ɕ	ia	21							
呷	呷	ɕia214		ɕ	ia	214							
㔠	㔠	ɕia214		ɕ	ia	214							
𪗾	𪗾	ɕia214		ɕ	ia	214							
𩮂	𩮂	ɕia214		ɕ	ia	214							
瞎	瞎	ɕia214		ɕ	ia	214							
劼	劼	ɕia214		ɕ	ia	214							
鬝	鬝	ɕia214		ɕ	ia	214							
鎋	鎋	ɕia214		ɕ	ia	214							
舝	舝	ɕia214		ɕ	ia	214							
磍	磍	ɕia214		ɕ	ia	214							
𩪲	𩪲	ɕia214		ɕ	ia	214							
䕸	䕸	ɕia214		ɕ	ia	214							
黠	黠	ɕia214		ɕ	ia	214							
鶷	鶷	ɕia214		ɕ	ia	214							
縖	縖	ɕia214		ɕ	ia	214							
砎	砎	ɕia214		ɕ	ia	214							
轄	辖	ɕia214		ɕ	ia	214							
黏	黏	ȵia45	白讀	ȵ	ia	45							
牙	牙	øia21		ø	ia	21							
芽	芽	øia21		ø	ia	21							
雅	雅	øia42		ø	ia	42							
訝	讶	øia214		ø	ia	214							
迓	迓	øia214		ø	ia	214							
丫	丫	øia45		ø	ia	45							
鴉	鴉	øia45		ø	ia	45							
埡	埡	øia45		ø	ia	45							
啞	啞	øia42		ø	ia	42							
亞	亞	øia214		ø	ia	214							
圔	圔	øia214		ø	ia	214							
䀴	䀴	øia214		ø	ia	214							
