字目	读音	注释
□	seu1	muŋ2~，门闩
□	seu1	seu1tɕyə2,丈夫
扫	seu2	动
留	seu2	
老	seu6	
沟	keu1	
勾	keu1	
钩	keu1	
够	keu2	动
到	keu2	~期
垢	keu3	
丑	keu3	形
厚	keu8	
枸	keu8	~杞
□	keu8	keu8leu214遗失
购	keu6	
构	keu6	
猴	keu9	
阄	keu9	mu8~，抓~
箍	kʰeu1	
股	kʰeu1	一~线，一股线
扣	kʰeu2	
铐	kʰeu2	
口	kʰeu3	
□	kʰeu9	用刀刮
薅	xeu1	
候	xeu6	
侯	xeu9	
□	ŋeu2	歪
瓯	eu1	
枹	pʰau1	柚子
炮	pʰau2	
豹	pau2	
饱	pau3	
包	pau8	~庇
卯	mau8	
□	tau6	阿~，爷爷
逃	tʰau8	~走
恼	nau2	
闹	nau6	
刘	lau8	
□	lau8	~u1，乌鸦
抓	tsau1	
□	tsau2	~tɕyə2，麻雀
爪	tsau3	
罩	tsau6	
抄	tsʰau1	
吵	tsʰau1	
树	tsʰau2	
柴	tsʰau2	
□	tsʰau2	tsʰau2tsʰeŋ2~田，耘田
扫	sau2	~帚
哨	sau2	~子
交	kau1	
胶	kau1	阿~
教	kau1	~育
狡	kau2	~猾
铰	kau8	
咬	kau8	
胶	kau8	~水
郊	kau8	~区
沟	kau8	~通
骹	kʰau1	
孝	xau2	
喉	xau2	~咙
效	xau2	~果
吼	xau3	
□	au2	折花
拗	au3	
堆	tɔi1	
大	tɔi1	~坝，~黄
对	tɔi2	
碓	tɔi2	
兑	tɔi2	
短	tɔi3	
待	tɔi8	
贷	tɔi8	
袋	tɔi6	
代	tɔi6	
夺	tɔi6	
推	tʰɔi1	
□	tʰɔi1	刨
梯	tʰɔi1	楼~
退	tʰɔi2	
蜕	tʰɔi2	
腿	tʰɔi3	
□	nɔi1	nɔi8tɕyə2哪里
内	nɔi6	
箩	lɔi8	
篓	lɔi8	
捋	lɔi8	
擂	lɔi6	
摞	lɔi9	
□	tsɔi2	打架，摔跤
最	tsɔi6	
罪	tsɔi9	
催	tsʰɔi1	
碎	tsʰɔi2	
脆	tsʰɔi2	
粹	tsʰɔi2	
衰	sɔi1	
瘦	sɔi1	
螺	sɔi2	
雷	sɔi2	
□	sɔi2	圆的手指纹
□	sɔi2	~ia3闪电
□	sɔi2	kʰi2~蜗牛
帅	sɔi2	元~
赛	sɔi6	比~
滑	kɔi8	
怀	kɔi9	
奎	kʰɔi1	
魁	kʰɔi1	
□	kʰɔi1	tuan2~，猜谜
□	kʰɔi2	kan8~，蜻蜓
核	xɔi6	果~
呆	ŋɔi9	
爱	ɔi6	
标	piu1	
彪	piu1	
表	piu3	
飘	pʰiu1	
薸	pʰiu2	
萍	pʰiu2	
票	pʰiu6	
牡	miu1	~丹
苗	miu2	
秒	miu3	
庙	miu6	
吊	tiu2	
钓	tiu2	
□	tiu2	只
兆	tiu3	
召	tiu3	
□	tiu8	干
□	tiu8	渴
朝	tiu8	~鲜
投	tiu8	~降
赵	tiu6	
纣	tiu6	
朝	tiu9	
调	tiu9	
潮	tiu8	~水
挑	tʰiu1	
抖	tʰiu1	
抽	tʰiu1	
□	tʰiu1	~kiŋ2，扎紧
□	tʰiu1	~tɕi3，柱下石
馊	tʰiu2	
炒	tʰiu3	
丑	tʰiu3	地支
跳	tʰiu6	
柱	tʰiu6	
炙	tʰiu6	
□	tʰiu6	suŋ8~，舂杵
	tʰiu6	tʰau8~，逃跑
绸	tʰiu9	
饶	niu2	
牛	niu2	
□	niu3	ki2~，发髻
尿	niu6	
扭	niu6	
□	niu6	皱
襇	niu6	
了	liu1	~结
柳	liu3	
料	liu6	
辽	liu9	
僚	liu9	
榴	liu9	
硫	liu9	
周	tɕiu1	
州	tɕiu1	
招	tɕiu1	
蕉	tɕiu1	芭~
椒	tɕiu1	花~
□	tɕiu1	tɕʰy2~，胡子
就	tɕiu1	~去
醮	tɕiu2	
照	tɕiu2	
斜	tɕiu2	~滩，地名
酒	tɕiu3	
锹	tɕʰiu1	铁~
超	tɕʰiu1	
烧	tɕʰiu1	
秋	tɕʰiu1	
鳅	tɕʰiu1	
笑	tɕʰiu1	~话
仇	tɕʰiu9	
消	ɕiu1	
硝	ɕiu1	
销	ɕiu1	
俏	ɕiu1	
萧	ɕiu1	
箫	ɕiu1	
羞	ɕiu1	
收	ɕiu1	
休	ɕiu1	
寿	ɕiu1	~ŋiŋ9，寿宁，地名
少	ɕiu1	~ia8，少爷
笑	ɕiu2	
肖	ɕiu2	
泅	ɕiu2	
兽	ɕiu2	
授	ɕiu2	教~
小	ɕiu2	~说
□	ɕiu2	~y8，游泳
少	ɕiu3	
手	ɕiu3	
首	ɕiu3	
守	ɕiu3	
帚	ɕiu3	扫~
绍	ɕiu8	
韶	ɕiu8	
售	ɕiu8	出~
嚣	ɕiu8	~张
绣	ɕiu6	
秀	ɕiu6	
受	ɕiu6	
骄	kiu1	
矫	kiu1	
□	kiu1	凝固
舅	kiu1	~ta8，舅舅
	kiu2	在某地
娇桥	kiu2	缩
	kiu2	蹲
缴	kiu3	
九	kiu3	
久	kiu3	
饺	kiu3	
轿	kiu6	
旧	kiu6	
救	kiu6	
撬	kiu9	
球	kiu9	
求	kiu9	
丘	kʰiu1	
巧	kʰiu2	~妙
翘	kʰiu6	
窍	kʰiu6	
究	kʰiu6	
臼	kʰiu6	
灸	kʰiu6	针~
□	kʰiu8	~kʰau1，跛脚
灰	xiu1	草木~
韭	xiu2	~tɕyə3，韭菜
晓	xiu8	
嗅	xiu6	
尧	ŋiu8	
妖	iu1	
邀	iu1	
腰	iu1	
幺	iu1	
优	iu1	
忧	iu1	
□	iu1	~muŋ2ŋyə6，艾草
摇	iu2	
窑	iu2	
邮	iu2	
油	iu2	
要	iu2	~求
□	iu2	iu2kɛ8tɕyə2孵小鸡
舀	iu3	
鹞	iu6	
右	iu6	
佑	iu6	
釉	iu6	
又	iu9	
酉	iu9	
有	iu9	
友	iu9	
由	iu9	
班	paŋ1	
斑	paŋ1	
□	paŋ1	~ŋa2，哑巴
柄	paŋ2	
板	paŋ3	
办	paŋ6	
彭	pʰaŋ9	
评	pʰaŋ9	
□	maŋ2	tsʰa3~，眼瞎
馒	maŋ2	~头
□	maŋ3	tsa1~蚱蜢
蛮	maŋ9	
□	taŋ1	跨过障碍物
担	taŋ1	名
丹	taŋ1	人名
疸	taŋ3	
胆	taŋ3	
弹	taŋ3	炸~
担	taŋ8	动
郑	taŋ6	
谈	taŋ6	
但	taŋ6	~是
旦	taŋ6	元~
痰	taŋ9	
撑	tʰaŋ1	
贪	tʰaŋ1	
摊	tʰaŋ1	
坦	tʰaŋ1	~白
探	tʰaŋ2	
毯	tʰaŋ2	
叹	tʰaŋ2	
南	naŋ2	
男	naŋ2	
□	naŋ8	~mui2i8，萤火虫
榄	laŋ3	
蓝	laŋ9	
览	laŋ8	展~
晴	tsaŋ2	
盏	tsaŋ3	
井	tsaŋ3	
站	tsaŋ6	
簪	tsaŋ9	
残	tsaŋ9	
参	tsʰaŋ1	~加
惨	tsʰaŋ3	
□	tsʰaŋ3	醒着
灿	tsʰaŋ6	
残	tsʰaŋ8	~废
□	tsʰaŋ8	~man9昨暝，昨天
三	saŋ1	
衫	saŋ1	
牲	saŋ1	
甥	saŋ1	外~
杉	saŋ1	~木
□	saŋ1	~mɔ9,莨萁
□	saŋ1	~ma9，妻子
篮	saŋ2	
□	saŋ2	~ni2ka1老人家
省	saŋ3	
陕	saŋ3	
闪	saŋ3	
□	saŋ3	节省
产	saŋ3	生~
更	kaŋ1	三~
庚	kaŋ1	
柑	kaŋ1	
监	kaŋ1	
间	kaŋ1	数
干	kaŋ1	~部，天~
甘	kaŋ1	~蔗
感	kaŋ3	
□	kaŋ9	呛水
泔	kaŋ8	米~水
坑	kʰaŋ1	
堪	kʰaŋ1	
堪	kʰaŋ1	
看	kʰaŋ1	~守
□	kʰaŋ8	~kʰɔi2，蜻蜓
苋	xaŋ1	~菜
□	xaŋ2	piŋ8~边沿
罕	xaŋ2	稀~
喊	xaŋ3	
汉	xaŋ6	
函	xaŋ9	
韩	xaŋ9	
寒	xaŋ9	小~
咸	xaŋ8	~丰
颜	ŋaŋ2	
□	ŋaŋ2	~tɕie2蝉
□	ŋaŋ2	~pʰui2，悬崖
焊	aŋ6	
案	aŋ6	
□	aŋ9	房梁
安	aŋ8	~慰
鞭	pian1	
边	pian1	
变	pian2	
遍	pian2	普~
辩	pian2	~论
便	pian2	~宜
匾	pian3	
编	pian3	~辫子
编	pian8	
扁	pian9	
篇	pʰian1	
骗	pʰian2	
偏	pʰian3	
片	pʰian6	
绵	mian2	海~
棉	mian2	~花
免	mian3	
面	mian6	
癫	tian1	
展	tian1	~览
缠	tian2	
电	tian6	
□	tian8	~ty1,蜘蛛
汀	tʰian1	
添	tʰian1	
天	tʰian1	
□	tʰian2	tiaŋ2~,筅帚
□	tʰian8	~kuan1，蛏子
年	nian2	
染	nian3	
捏	nian8	
□	nian8	绞毛巾
帘	lian2	
连	lian2	
联	lian2	
□	lian2	菜畦
莲	lian2	~花
镰	lian2	~刀
楝	lian2	苦~
练	lian6	
炼	lian6	
链	lian6	
怜	lian9	可~
□	tɕian1	挤
煎	tɕian1	
箭	tɕian2	
钱	tɕian2	
□	tɕian3	追
尖	tɕian8	
贱	tɕian6	
溅	tɕian9	
签	tɕʰian1	
笺	tɕʰian1	
迁	tɕʰian1	
鲜	tɕʰian1	
前	tɕʰian2	~途
浅	tɕʰian3	
腥	ɕian1	
仙	ɕian1	
扇	ɕian2	
肾	ɕian6	
善	ɕian6	
鲜	ɕian8	朝~
坚	kian1	
钳	kian2	
见	kian2	
检	kian3	
兼	kian8	
件	kian6	
欠	kʰian2	
歉	kʰian2	道~
险	xian3	
显	xian3	
现	xian6	
嫌	xian9	
研	ŋian1	~究
壬	ŋian2	
任	ŋian2	~务
□	ŋian6	瘾
严	ŋian8	~肃
姻	ian1	
烟	ian1	
盐	ian2	名
阎	ian2	
厣	ian3	
炎	ian3	
演	ian3	
厌	ian6	
盐	ian6	动
艳	ian6	
砚	ian6	
腌	ian6	
燕	ian6	
验	ian6	
宴	ian6	
迎	ian9	
延	ian9	
盘	puaŋ2	
遍	puaŋ2	一~
半	puaŋ8	
拌	puaŋ6	
搬	puaŋ9	
判	pʰuaŋ2	
芒	muaŋ2	
瞒	muaŋ2	
鳗	muaŋ2	
满	muaŋ6	
丹	tuaŋ1	仙~
□	tuaŋ2	猜
旦	tuaŋ2	生~
弹	tuaŋ9	
熯	tuaŋ9	
滩	tʰuaŋ1	斜~
碳	tʰuaŋ2	
炭	tʰuaŋ2	
团	tʰuaŋ3	~结
难	nuaŋ2	
□	luaŋ1	~nai2淤泥
栏	luaŋ2	
拦	luaŋ2	
□	luaŋ8	唾液
烂	luaŋ6	
鸾	luaŋ9	
山	suaŋ1	
散	suaŋ2	
算	suaŋ2	
蒜	suaŋ2	~头
伞	suaŋ3	
官	kuaŋ1	
观	kuaŋ1	
关	kuaŋ1	
干	kuaŋ1	菜干，天干
□	kuaŋ1	tʰian8~，蛏子
管	kuaŋ3	
馆	kuaŋ3	
秆	kuaŋ3	
杆	kuaŋ3	
□	kuaŋ8	背或扛东西
旱	kuaŋ8	
梗	kuaŋ8	
冠	kuaŋ8	~军
棺	kuaŋ8	~材
贯	kuaŋ6	
罐	kuaŋ6	
惯	kuaŋ6	
寒	kuaŋ9	~冷
汗	kuaŋ9	
□	kʰuaŋ1	闲
宽	kʰuaŋ1	
款	kʰuaŋ3	
框	kʰuaŋ8	
眶	kʰuaŋ8	
环	kʰuaŋ8	
肝	xuaŋ1	
欢	xuaŋ1	
藩	xuaŋ1	
翻	xuaŋ1	
番	xuaŋ1	
横	xuaŋ2	
范	xuaŋ2	模~
反	xuaŋ3	
犯	xuaŋ6	
凡	xuaŋ9	
烦	xuaŋ9	
矾	xuaŋ9	
繁	xuaŋ8	~殖
□	xuaŋ8	~tu2，吩咐
弯	uaŋ1	
湾	uaŋ1	
旱	uaŋ2	
碗	uaŋ3	
阮	uaŋ3	
腕	uaŋ3	手~
万	uaŋ9	
平	piaŋ2	形
坪	piaŋ2	
饼	piaŋ3	
□	piaŋ8	~kɔ3，肋骨
并	pʰiaŋ6	
屏	pʰiaŋ2	~风
名	miaŋ2	
命	miaŋ6	算~
鼎	tiaŋ3	
争	tiaŋ8	~吵
占	tiaŋ8	
订	tiaŋ6	
定	tiaŋ6	
条	tiaŋ9	
逞	tiaŋ9	
程	tiaŋ9	
踭	tʰiaŋ1	
听	tʰiaŋ1	
厅	tʰiaŋ1	
雕	tʰiaŋ1	
领	liaŋ8	
岭	liaŋ8	
□	liaŋ8	tu2~，脖子
正	tɕiaŋ2	
请	tɕʰiaŋ3	
声	ɕiaŋ1	
姓	ɕiaŋ2	
□	ɕiaŋ2	ŋy2~鱼鳞
成	ɕiaŋ9	
城	ɕiaŋ9	
惊	kiaŋ1	
镜	kiaŋ2	
轻	kʰiaŋ1	
兄	xiaŋ1	
赢	iaŋ2	
营	iaŋ8	
□	peŋ1	迈步
冰	peŋ1	
瓣	peŋ2	
扳	peŋ3	
□	peŋ3	tɔ8~，刀把
蔓	meŋ1	
暝	meŋ2	
慢	meŋ6	
钉	teŋ1	名
疔	teŋ1	
叮	teŋ2	
钉	teŋ2	动
店	teŋ2	
填	teŋ2	
典	teŋ2	字~
□	teŋ2	~tsʰɔŋ2灶
□	teŋ2	~lɔ2，丝瓜
□	teŋ2	~lɔ3，和尚
顶	teŋ3	
点	teŋ3	
踮	teŋ6	
殿	teŋ6	
奠	teŋ6	
佃	teŋ6	
垫	teŋ6	
□	neŋ1	谁
人	neŋ2	
奶	neŋ8	
念	neŋ6	
踮	neŋ6	
铃	leŋ2	
□	leŋ8	~kʰyə1，坏了
臻	tseŋ2	
戥	tseŋ3	
剪	tseŋ3	
□	tseŋ8	澈
榛	tseŋ8	~子
千	tsʰeŋ1	
塍	tsʰeŋ2	
□	seŋ1	锈
参	seŋ1	人~
星	seŋ2	
拣	keŋ3	
减	keŋ3	
牵	kʰeŋ1	
肯	kʰeŋ2	
横	xeŋ6	
憨	xeŋ6	
岩	ŋeŋ2	
眼	ŋeŋ3	
砑	ŋeŋ3	
硙	ŋeŋ3	
硬	ŋeŋ6	
阴	eŋ1	
兵	piŋ1	
宾	piŋ1	
殡	piŋ1	出~
□	piŋ2	~xaŋ2，边沿
丙	piŋ3	
平	piŋ8	~安
苹	piŋ8	~果
贫	piŋ9	
凭	piŋ9	
秉	piŋ9	
品	pʰiŋ3	
拼	pʰiŋ6	
□	miŋ1	~pʰai3，脸颊
眠	miŋ2	
命	miŋ2	令
□	miŋ6	kʰau8tɕyɔŋ8~，脚背
闽	miŋ9	
民	miŋ9	
敏	miŋ9	
明	miŋ9	朝代
明	miŋ8	~了
珍	tiŋ1	
丁	tiŋ1	
贞	tiŋ2	
陈	tiŋ2	
沉	tiŋ2	
镇	tiŋ6	
亭	tiŋ9	
停	tiŋ9	
庭	tiŋ9	
廷	tiŋ9	
尘	tiŋ9	飞~
坛	tiŋ9	酒~
□	tʰiŋ1	~kɔŋ2pɔŋ1，伙伴
挺	tʰiŋ2	
赚	tʰiŋ8	
认	niŋ6	
宁	niŋ9	
淋	liŋ2	
林	liŋ2	
磷	liŋ2	
令	liŋ3	司~
另	liŋ6	
邻	liŋ9	
陵	liŋ9	
灵	liŋ9	
零	liŋ9	
龄	liŋ9	年~
临	liŋ8	~时
精	tɕiŋ1	
真	tɕiŋ1	
针	tɕiŋ1	
征	tɕiŋ1	
津	tɕiŋ1	天~
浸	tɕiŋ2	
进	tɕiŋ2	
证	tɕiŋ2	
症	tɕiŋ2	
井	tɕiŋ3	
整	tɕiŋ3	
震	tɕiŋ3	
振	tɕiŋ3	
□	tɕiŋ3	~荒，饥荒
珍	tɕiŋ3	~珠
静	tɕiŋ6	
政	tɕiŋ6	
尽	tɕiŋ6	
□	tɕiŋ6	~tsai9，很多
秦	tɕiŋ9	
情	tɕiŋ9	
诊	tɕiŋ8	急~
深	tɕʰiŋ1	
清	tɕʰiŋ1	
青㵾	tɕʰiŋ1	
亲	tɕʰiŋ1	
瀙	tɕʰiŋ2	
拯	tɕʰiŋ3	
	tɕʰiŋ8	~ŋi3，干净
神	ɕiŋ1	
申	ɕiŋ1	
升	ɕiŋ1	
心	ɕiŋ1	
芯	ɕiŋ1	
辛	ɕiŋ1	
□	ɕiŋ1	xəŋ8~，努力
胜	ɕiŋ1	任
信	ɕiŋ2	
新	ɕiŋ2	~闻
慎	ɕiŋ2	~重
先	ɕiŋ2	~进
沈	ɕiŋ3	
盛	ɕiŋ3	
婶	ɕiŋ3	
审	ɕiŋ3	
乘	ɕiŋ8	
薪	ɕiŋ8	~水
性	ɕiŋ6	
趁	ɕiŋ9	
神	ɕiŋ9	
辰	ɕiŋ9	
臣	ɕiŋ9	
乘	ɕiŋ9	
丞	ɕiŋ9	
诚	ɕiŋ9	
京	kiŋ1	
经	kiŋ1	
金	kiŋ1	
经	kiŋ1	已~
禁	kiŋ2	
敬	kiŋ2	
劲	kiŋ2	
□	kiŋ2	tʰiu1~，扎紧
共	kiŋ2	~产党
惊	kiŋ2	~蛰
□	kiŋ2	~tɕyə3，小孩子
境	kiŋ3	
锦	kiŋ3	
紧	kiŋ3	
景	kiŋ3	
警	kiŋ3	
□	kiŋ8	~kua8，丝瓜
□	kiŋ8	~teu1，附近
咸	kiŋ9	形
倾	kʰiŋ2	~向
庆	kʰiŋ6	
琴	kʰiŋ9	
铅	kʰiŋ8	~kiu8，铅球
兴	xiŋ1	~旺
形	xiŋ9	
刑	xiŋ9	
型	xiŋ9	
熊	xiŋ9	
研	ŋiŋ1	
鹦	ŋiŋ2	~鹉
人	ŋiŋ8	~民
英	iŋ1	
音	iŋ1	
因	iŋ1	
印	iŋ2	
□	iŋ8	~tʰuŋ1，烟囱
姻	iŋ8	~缘
应	iŋ6	~当
映	iŋ6	
仁	iŋ9	
洇	iŋ9	
寅	iŋ9	
轮	lyŋ2	
龙	lyŋ2	
浓	nyŋ2	
忍	nyŋ3	
润	nyŋ6	
脓	nyŋ6	
准	tɕyŋ2	
俊	tɕyŋ6	
春	tɕʰyŋ1	
笋	ɕyŋ2	
顺	ɕyŋ6	
舜	ɕyŋ6	
醇	ɕyŋ9	
纯	ɕyŋ9	
巡	ɕyŋ8	~逻
纯	ɕyŋ9	
醇	ɕyŋ9	
弓	kyŋ1	
宫	kyŋ1	
恭	kyŋ1	
均	kyŋ1	平~
巩	kyŋ1	~固
穷	kyŋ2	
裙	kyŋ2	
芹	kyŋ2	
近	kyŋ2	~视
龚	kyŋ3	
妗	kyŋ6	
供	kyŋ6	
勤	kyŋ9	
烘	kʰyŋ1	
熏	kʰyŋ1	
菌	kʰyŋ3	
琼	kʰyŋ8	
勤	kʰyŋ9	
凶	xyŋ1	
楦	xyŋ2	
训	xyŋ6	培~
雄	xyŋ9	
勋	xyŋ8	~章
银	ŋyŋ2	
允	ŋyŋ8	
闰	ŋyŋ6	
运	ŋyŋ6	
云	ŋyŋ9	
□	ŋyŋ8	ɕiu2~，游泳
	ŋyŋ8	浇
云	ŋyŋ9	
崩	pəŋ8	
朋	pəŋ9	
灯	təŋ1	
凳	təŋ2	
藤	təŋ2	
等	təŋ3	
邓	təŋ6	
潭	tʰəŋ2	
□	nəŋ1	ka2~xi8，架起来
软	nəŋ9	
能	nəŋ9	
曾	tsəŋ1	姓
增	tsəŋ1	
僧	tsəŋ2	唐~
曾	tsəŋ9	~经
层	tsəŋ9	
橙	tsəŋ9	
森	səŋ2	
生	səŋ8	~产
更	kəŋ2	~加
港	kəŋ3	
□	kəŋ9	含在嘴里
痕	xəŋ2	
□	xəŋ3	扔，丢
宏	xəŋ8	
□	xəŋ8	~ɕiŋ1，努力
杏	xəŋ6	
幸	xəŋ6	
衡	xəŋ9	
□	əŋ3	答应
□	əŋ3	米汤
邦	pɔŋ1	
帮	pɔŋ1	
伴	pɔŋ1	
□	pɔŋ2	ɕiu2~tʰeu2，胳臂
	pɔŋ3	手交叉放在背后
榜	pɔŋ3	
绑	pɔŋ3	
蚌	pɔŋ6	
□	pɔŋ6	tsɔŋ8~，煮饭
傍	pɔŋ9	
□	pʰɔŋ6	凸
□	pʰɔŋ2	~pui2，虚肿
□	pʰɔŋ2	~ɕy3，不饱满的谷
□	mɔŋ1	~pui2，身躯肥大，行动不便
□	mɔŋ2	kɔ8~tʰeu2，肩膀
网	mɔŋ8	
氓	mɔŋ8	
蒙	mɔŋ8	
望	mɔŋ6	
亡	mɔŋ9	
忙	mɔŋ9	
□	tɔŋ1	~tsʰui2，漱口
顿	tɔŋ2	
□	tɔŋ2	跺脚
肠	tɔŋ2	
倒	tɔŋ2	~霉
当	tɔŋ2	~铺
墩	tɔŋ3	
档	tɔŋ3	
党	tɔŋ3	
炖	tɔŋ8	暖
锻	tɔŋ8	~炼
断	tɔŋ6	
段	tɔŋ6	
缎	tɔŋ6	
□	tɔŋ6	tɕʰi2tɕiu8~胡渣
堂	tɔŋ9	
长	tɔŋ9	形
撞	tɔŋ9	
挡	tɔŋ9	
唐	tɔŋ9	
塘	tɔŋ9	
棠	tɔŋ9	
汤	tʰɔŋ1	
吞	tʰɔŋ1	
糖	tʰɔŋ2	
脱	tʰɔŋ2	
褪	tʰɔŋ3	
□	nɔŋ1	~kyɔŋ3，婴儿
捻	nɔŋ2	
酿	nɔŋ6	
嫩	nɔŋ6	
郎	lɔŋ2	
廊	lɔŋ2	
黹	lɔŋ2	
论	lɔŋ2	辩~
浪	lɔŋ6	
乱	lɔŋ6	
狼	lɔŋ9	
庄	tsɔŋ1	
装	tsɔŋ1	
妆	tsɔŋ1	
桩	tsɔŋ1	
赃	tsɔŋ1	
□	tsɔŋ2	锥
壮	tsɔŋ2	
葬	tsɔŋ2	
钻	tsɔŋ2	
藏	tsɔŋ3	西~
状	tsɔŋ9	
藏	tsɔŋ9	动
脏	tsɔŋ9	
□	tsɔŋ8	~pɔŋ6，煮饭
疮	tsʰɔŋ1	
村	tsʰɔŋ1	
仓	tsʰɔŋ1	
篡	tsʰɔŋ1	~位
床	tsʰɔŋ2	
戳	tsʰɔŋ2	
寸	tsʰɔŋ2	
菖	tsʰɔŋ2	~蒲
忖	tsʰɔŋ6	
霜	sɔŋ1	
孙	sɔŋ1	
酸	sɔŋ1	
郎	sɔŋ2	女婿
丧	sɔŋ2	~事
爽	sɔŋ3	
涮	sɔŋ3	
刷	sɔŋ3	
卵	sɔŋ6	
□	sɔŋ6	y1~，马铃薯
桑	sɔŋ8	~叶
江	kɔŋ1	
□	kɔŋ1	一~风，一阵风
舁	kɔŋ2	
降	kɔŋ2	
杠	kɔŋ2	
岗	kɔŋ2	
钢	kɔŋ2	
讲	kɔŋ3	
缸	kɔŋ8	
豇	kɔŋ8	~豆
坤	kʰɔŋ1	
糠	kʰɔŋ1	
康	kʰɔŋ2	
□	kʰɔŋ2	tsʰeŋ2~，田埂
矿	kʰɔŋ6	
抗	kʰɔŋ6	
项	xɔŋ6	
限	xɔŋ6	
恨	xɔŋ6	
妨	xɔŋ9	
防	xɔŋ9	
降	xɔŋ9	投~
行	xɔŋ9	银~
仰	ŋɔŋ6	
秧	ɔŋ1	
恩	ɔŋ1	
庵	ɔŋ1	
暗	ɔŋ2	
晏	ɔŋ2	
□	ɔŋ2	~ŋu8pian1，傍晚
影	ɔŋ3	
笐	ɔŋ9	
分	puɔŋ1	
本	puɔŋ2	
畚	puɔŋ2	~kʰy1，~箕
饭	puɔŋ6	
范	puɔŋ6	
方	puɔŋ8	~便
盼	muɔŋ6	
光	kuɔŋ1	
广	kuɔŋ3	
况	kʰuɔŋ6	
荒	xuɔŋ1	
慌	xuɔŋ1	
方	xuɔŋ1	
芳	xuɔŋ1	
楻	xuɔŋ2	ɕi2~kaŋ1，厕所
簧	xuɔŋ9	
□	xuɔŋ8	~tu2，吩咐
王	uɔŋ1	
晕	uɔŋ2	
□	uɔŋ2	一团，量词
枉	uɔŋ3	冤~
旺	uɔŋ6	
黄	uɔŋ9	
□	uɔŋ9	一团线
皇	uɔŋ8	~帝
风	pyɔŋ1	屏~
张	tyɔŋ1	
涨	tyɔŋ2	
仗	tyɔŋ2	
帐	tyɔŋ2	
胀	tyɔŋ2	
账	tyɔŋ2	~簿
长	tyɔŋ3	动
懒	tyɔŋ8	
端	tyɔŋ8	~正
丈	tyɔŋ6	
长	tyɔŋ9	剩下
场	tyɔŋ9	
传	tyɔŋ9	
转	tyɔŋ9	
□	tyɔŋ9	槛
铲	tʰyɔŋ3	
杖	tʰyɔŋ6	
椽	tʰyɔŋ9	
娘	nyɔŋ2	
□	nyɔŋ2	tɕʰiu1~烧焦
蔫	nyɔŋ3	花~了
让	nyɔŋ6	
韧	nyɔŋ6	
凉	lyɔŋ2	
量	lyɔŋ2	丈`
梁	lyɔŋ2	
粱	lyɔŋ2	
辆	lyɔŋ2	
粮	lyɔŋ2	~食
□	lyɔŋ2	kyɔŋ2~，卷起来
亮	lyɔŋ3	诸葛~
两	lyɔŋ8	
量	lyɔŋ6	数~
谅	lyɔŋ6	
良	lyɔŋ9	
浆	tɕyɔŋ1	
章	tɕyɔŋ1	
尊	tɕyɔŋ1	
遵	tɕyɔŋ1	
专	tɕyɔŋ1	
砖	tɕyɔŋ1	
将	tɕyɔŋ2	
墙	tɕyɔŋ2	
称	tɕyɔŋ2	
酱	tɕyɔŋ2	
裳	tɕyɔŋ2	衣~
□	tɕyɔŋ2	~kai1，瘟鸡
奖	tɕyɔŋ3	
蒋	tɕyɔŋ3	
痒	tɕyɔŋ8	
旋	tɕyɔŋ6	手指纹脶
上	tɕyɔŋ6	方位
□	tɕyɔŋ6	~nian2，往年
掌	tɕyɔŋ9	
桨	tɕyɔŋ9	
全	tɕyɔŋ9	
泉	tɕyɔŋ9	~水
枪	tɕʰyɔŋ1	
伸	tɕʰyɔŋ1	
穿	tɕʰyɔŋ1	
川	tɕʰyɔŋ1	
甑	tɕʰyɔŋ2	
昌	tɕʰyɔŋ2	
秤	tɕʰyɔŋ2	
唱	tɕʰyɔŋ2	
□	tɕʰyɔŋ2	puŋ1~，饭甑
称	tɕʰyɔŋ2	~重
抢	tɕʰyɔŋ3	
厂	tɕʰyɔŋ3	
□	tɕʰyɔŋ3	癣
箱	ɕyɔŋ1	
厢	ɕyɔŋ1	
伤	ɕyɔŋ1	
商	ɕyɔŋ1	
相	ɕyɔŋ2	
线	ɕyɔŋ2	
弦	ɕyɔŋ2	
□	ɕyɔŋ2	muŋ2~，苍蝇
宣	ɕyɔŋ2	~布
选	ɕyɔŋ3	
想	ɕyɔŋ3	
宪	ɕyɔŋ8	
献	ɕyɔŋ8	
嫦	ɕyɔŋ8	~娥
像	ɕyɔŋ6	
象	ɕyɔŋ6	
漩	ɕyɔŋ6	
船	ɕyɔŋ9	
详	ɕyɔŋ9	
祥	ɕyɔŋ9	
常	ɕyɔŋ9	
尝	ɕyɔŋ9	
偿	ɕyɔŋ9	
姜	kyɔŋ1	
疆	kyɔŋ1	
碱	kyɔŋ1	
斤	kyɔŋ1	
筋	kyɔŋ1	
绢	kyɔŋ1	
捐	kyɔŋ1	
跟	kyɔŋ1	
根	kyɔŋ1	
供	kyɔŋ1	~佛
健	kyɔŋ1	~康
眷	kyɔŋ2	
□	kyɔŋ2	~lyɔŋ2，卷起来
囝	kyɔŋ3	
建	kyɔŋ6	
券	kyɔŋ6	
近	kyɔŋ6	
倦	kyɔŋ6	
卷	kyɔŋ6	
强	kyɔŋ9	
权	kyɔŋ9	
县	kyɔŋ9	
圈	kʰyɔŋ1	
劝	kʰyɔŋ2	
香	xyɔŋ1	
乡	xyɔŋ1	
向	xyɔŋ2	
