繁	简	国际音标	吴语拼音	备注	调类	调值
鳩	鸠	tɕiɤ53	cieu1		1	53
九	九	tɕiɤ44	cieu3		3	44
久	久	tɕiɤ44	cieu3		3	44
韭	韭	tɕiɤ44	cieu3		3	44
究	究	tɕiɤ35	cieu5		5	35
救	救	tɕiɤ35	cieu5		5	35
丘	丘	tɕʰiɤ53	chieu1		1	53
求	求	dʑiɤ22	jieu2		2	22
球	球	dʑiɤ22	jieu2		2	22
舅	舅	dʑiɤ213	jieu4		4	213
舊	旧	dʑiɤ13	jieu6		6	13
牛	牛	ȵiɤ22	gnieu2		2	22
休	休	ɕiɤ53	shieu1		1	53
朽	朽	ɕiɤ44	shieu3		3	44
嗅	嗅	ɕiɤ35	shieu5		5	35
嗅	嗅	hŋ̍35	hng5		5	35
憂	忧	iɤ53	ieu1		1	53
優	优	iɤ53	ieu1		1	53
尤	尤	ɦiɤ22	yeu2		2	22
郵	邮	ɦiɤ22	yeu2		2	22
有	有	ɦiɤ213	yeu4		4	213
友	友	ɦiɤ213	yeu4		4	213
又	又	ɦiɤ13	yeu6	【文读】	6	13
又	又	ɦi13	yi6	【白读】	6	13
右	右	ɦiɤ13	yeu6		6	13
悠	悠	iɤ53	ieu1		1	53
猶	犹	ɦiɤ22	yeu2		2	22
由	由	ɦiɤ22	yeu2		2	22
油	油	ɦiɤ22	yeu2		2	22
遊	游	ɦiɤ22	yeu2		2	22
釉	釉	ɦiɤ13	yeu6		6	13
彪	彪	ɓiɔ53	piau1		1	53
謬	谬	miɔ13	miau6		6	13
丟	丢	ɗiɤ53	tieu1		1	53
糾	纠	tɕiɤ53	cieu1		1	53
幽	幽	iɤ53	ieu1		1	53
幼	幼	iɤ35	ieu5		5	35
耽	耽	ɗe53	te1		1	53
貪	贪	tʰe53	the1		1	53
探	探	tʰe35	the5		5	35
譚	谭	de22	de2		2	22
潭	潭	de22	de2		2	22
覃	覃	de22	de2		2	22
男	男	ne22	ne2		2	22
南	南	ne22	ne2		2	22
南	南	nɑ22	na2	~无阿弥陀佛。	2	22
參	参	tsʰe53	tshe1	~加。	1	53
慘	惨	tsʰe44	tshe3		3	44
蠶	蚕	ze22	ze2		2	22
感	感	ke44	ke3		3	44
淦	淦	ke35	ke5		5	35
赣	赣	ke35	ke5		5	35
紺	绀	ke35	ke5		5	35
堪	堪	kʰe53	khe1		1	53
坎	坎	kʰe44	khe3		3	44
砍	砍	kʰe44	khe3		3	44
勘	勘	kʰe35	khe5		5	35
含	含	ɦe22	ghe2		2	22
庵	庵	e53	e1		1	53
暗	暗	e35	e5		5	35
搭	搭	ɗæʔ5	taeq7		7	5
答	答	ɗəʔ5	teq7		7	5
踏	踏	dæʔ23	daeq8		8	23
納	纳	nəʔ23	neq8		8	23
拉	拉	lɑ53	la1		1	53
雜	杂	zəʔ23	zeq8		8	23
鴿	鸽	kəʔ5	keq7		7	5
喝	喝	hæʔ5	haeq7	~汤。本字或为“呷”。	7	5
合	合	ɦəʔ23	gheq8		8	23
合	合	kəʔ5	keq7	~算；~伙。共同：~买一本书。容积单位，十合为一市升。	7	5
盒	盒	ɦəʔ23	gheq8		8	23
儋	儋	ɗɛ53	tae1		1	53
擔	担	ɗɛ53	tae1	~任。	1	53
擔	担	ɗɛ35	tae5	挑~。	5	35
膽	胆	ɗɛ44	tae3		3	44
毯	毯	tʰɛ44	thae3		3	44
談	谈	dɛ22	dae2		2	22
痰	痰	dɛ22	dae2		2	22
澹	澹	dɛ213	dae4		4	213
淡	淡	dɛ213	dae4		4	213
藍	蓝	lɛ22	lae2		2	22
籃	篮	lɛ22	lae2		2	22
覽	览	lɛ213	lae4		4	213
攬	揽	lɛ213	lae4		4	213
欖	榄	lɛ213	lae4		4	213
濫	滥	lɛ13	lae6		6	13
纜	缆	lɛ13	lae6		6	13
暫	暂	zɛ13	zae6		6	13
三	三	sɛ53	sae1		1	53
甘	甘	ke53	ke1		1	53
柑	柑	ke53	ke1		1	53
敢	敢	ke44	ke3		3	44
喊	喊	hɛ44	hae3		3	44
塔	塔	tʰæʔ5	thaeq7		7	5
臘	腊	læʔ23	laeq8		8	23
蠟	蜡	læʔ23	laeq8		8	23
磕	磕	kʰəʔ5	kheq7		7	5
站	站	zɛ13	zae6	车~。	6	13
賺	赚	zɛ13	zae6		6	13
斬	斩	tsɛ44	tsae3		3	44
蘸	蘸	tsɛ35	tsae5		5	35
饞	馋	zɛ22	zae2		2	22
杉	杉	sɛ53	sae1		1	53
減	减	kɛ44	kae3		3	44
鹼	碱	kɛ44	kae3		3	44
鹹	咸	ɦɛ22	ghae2	~味。	2	22
咸	咸	ɦɛ22	ghae2	【白读】~阳（陕西地名）。	2	22
咸	咸	ɦiɛ22	yae2	【文读】~丰（清朝年号）。	2	22
餡	馅	ɦɛ213	ghae4	【白读】	4	213
餡	馅	ɦi213	yi4	【文读】	4	213
插	插	tsʰæʔ5	tshaeq7		7	5
閘	闸	zæʔ23	zaeq8		8	23
炸	炸	zæʔ23	zaeq8		8	23
夾	夹	kæʔ5	kaeq7		7	5
掐	掐	kʰæʔ5	khaeq7		7	5
狹	狭	ɦæʔ23	ghaeq8		8	23
峽	峡	ɦiæʔ23	yaeq8	【文读】三~。	8	23
攙	搀	tsʰɛ53	tshae1		1	53
衫	衫	sɛ53	sae1		1	53
監	监	kɛ53	kae1		1	53
鑑	鉴	kɛ35	kae5	【白读】	5	35
鑑	鉴	tɕi35	ci5	【文读】	5	35
岩	岩	ŋɛ22	ngae2		2	22
癌	癌	ŋɛ22	ngae2		2	22
銜	衔	ɦɛ22	ghae2	含在嘴里。	2	22
銜	衔	ŋɛ22	ngae2	~头（头衔）。	2	22
艦	舰	kʰɛ44	khae3		3	44
甲	甲	kæʔ5	kaeq7	【白读】盔~；~板。	7	5
甲	甲	tɕiæʔ5	ciaeq7	【文读】天干名：~乙丙丁；~基睾丸酮。	7	5
鴨	鸭	æʔ5	aeq7		7	5
押	押	æʔ5	aeq7		7	5
壓	压	æʔ5	aeq7		7	5
貶	贬	ɓi44	pi3		3	44
黏	黏	ȵi53	gni1		1	53
鐮	镰	li22	li2		2	22
斂	敛	li213	li4		4	213
尖	尖	tsi53	tsi1		1	53
殲	歼	tsi53	tsi1		1	53
簽	签	tsʰi53	tshi1		1	53
塹	堑	tsʰi35	tshi5		5	35
潛	潜	zi22	zi2		2	22
漸	渐	zi213	zi4		4	213
詹	詹	tse53	tse1		1	53
瞻	瞻	tse53	tse1		1	53
沾	沾	tse53	tse1		1	53
占	占	tse53	tse1	~卜。	1	53
占	占	tse35	tse5	~领。	5	35
占	占	tsi35	tsi5	~便宜。	5	35
陝	陕	se44	se3		3	44
閃	闪	se44	se3		3	44
閃	闪	ɕi44	shi3	霍~（闪电）。	3	44
染	染	ȵi213	gni4	【白读】	4	213
染	染	ze213	ze4	【文读】	4	213
檢	检	tɕi44	ci3		3	44
臉	脸	li213	li4		4	213
鉗	钳	dʑi22	ji2		2	22
儉	俭	dʑi213	ji4		4	213
驗	验	ȵi13	gni6		6	13
險	险	ɕi44	shi3		3	44
淹	淹	i53	i1		1	53
醃	腌	i53	i1		1	53
閹	阉	i53	i1		1	53
掩	掩	i44	i3		3	44
厭	厌	i35	i5		5	35
炎	炎	ɦiɛ22	yae2		2	22
鹽	盐	ɦi22	yi2		2	22
閻	阎	ȵi22	gni2		2	22
艷	艳	ɦiɛ13	yae6		6	13
焰	焰	ɦiɛ13	yae6		6	13
聶	聂	ȵiɪʔ23	gniq8		8	23
獵	猎	læʔ23	laeq8		8	23
接	接	tsiɪʔ5	tsiq7		7	5
妾	妾	tsʰiɪʔ5	tshiq7		7	5
捷	捷	ziɪʔ23	ziq8		8	23
折	折	tsəʔ5	tseq7		7	5
攝	摄	səʔ5	seq7		7	5
涉	涉	zəʔ23	zeq8		8	23
葉	叶	ɦiɪʔ23	yiq8	树~。	8	23
叶	叶	ɦiæʔ23	yaeq8	~韵。	8	23
劍	剑	tɕi35	ci5		5	35
欠	欠	tɕʰi35	chi5		5	35
嚴	严	ȵi22	gni2		2	22
業	业	ȵi23	gni8		8	23
點	点	ɗi44	ti3		3	44
店	店	ɗi35	ti5		5	35
添	添	tʰi53	thi1		1	53
舔	舔	tʰi44	thi3		3	44
甜	甜	di22	di2		2	22
拈	拈	ȵi53	gni1		1	53
念	念	ȵiɛ13	gniae6		6	13
兼	兼	tɕi53	ci1		1	53
謙	谦	tɕʰi53	chi1		1	53
歉	歉	tɕʰi35	chi5		5	35
貼	贴	tʰiɪʔ5	thiq7		7	5
帖	帖	tʰiɪʔ5	thiq7		7	5
疊	叠	diɪʔ23	diq8		8	23
蝶	蝶	diɪʔ23	diq8		8	23
碟	碟	diɪʔ23	diq8		8	23
諜	谍	diɪʔ23	diq8		8	23
協	协	ɦiæʔ23	yaeq8		8	23
俠	侠	ɦiæʔ23	yaeq8		8	23
泛	泛	ɸɛ35	fae5		5	35
帆	帆	βɛ22	vae2		2	22
凡	凡	βɛ22	vae2		2	22
凣	凣	βɛ22	vae2		2	22
犯	犯	βɛ213	vae4		4	213
範	范	βɛ213	vae4		4	213
法	法	ɸæʔ5	faeq7		7	5
乏	乏	βæʔ23	vaeq8		8	23
品	品	pʰin44	phin3		3	44
臨	临	lin22	lin2		2	22
臨	临	ləŋ22	len2	~顿路。	2	22
林	林	lin22	lin2		2	22
淋	淋	lin22	lin2		2	22
浸	浸	tsin35	tsin5		5	35
侵	侵	tsʰin53	tshin1		1	53
心	心	sin53	sin1		1	53
尋	寻	zin22	zin2		2	22
沉	沉	zəŋ22	zen2		2	22
森	森	səŋ53	sen1		1	53
蔘	参	səŋ53	sen1	人~。	1	53
參	参	tsʰəŋ53	tshen1	~差。	1	53
針	针	tsəŋ53	tsen1		1	53
斟	斟	tsəŋ53	tsen1		1	53
枕	枕	tsin44	tsin3	~头。	3	44
審	审	səŋ44	sen3		3	44
嬸	婶	səŋ44	sen3		3	44
沈	沈	səŋ44	sen3		3	44
甚	甚	zəŋ13	zen6		6	13
任	任	ȵin22	gnin2	【白读】姓。~阳（江苏常熟地名）。	2	22
任	任	zəŋ22	zen2	【文读】~务。	2	22
今	今	tɕin53	cin1		1	53
金	金	tɕin53	cin1		1	53
禁	禁	tɕin35	cin5	~止。	5	35
禁	禁	tɕin53	cin1	~不住。	1	53
錦	锦	tɕin44	cin3		3	44
欽	钦	tɕʰin53	chin1		1	53
琴	琴	dʑin22	jin2		2	22
禽	禽	dʑin22	jin2		2	22
擒	擒	dʑin22	jin2		2	22
吟	吟	ȵin22	gnin2		2	22
音	音	in53	in1		1	53
陰	阴	in53	in1		1	53
飲	饮	in44	in3		3	44
淫	淫	ɦin22	yin2		2	22
立	立	liɪʔ23	liq8		8	23
粒	粒	liɪʔ23	liq8		8	23
笠	笠	liɪʔ23	liq8		8	23
集	集	ziɪʔ23	ziq8		8	23
輯	辑	tsʰiɪʔ5	tshiq7		7	5
習	习	ziɪʔ23	ziq8		8	23
襲	袭	ziɪʔ23	ziq8		8	23
澀	涩	səʔ5	seq7		7	5
汁	汁	tsəʔ5	tseq7		7	5
執	执	tsəʔ5	tseq7		7	5
濕	湿	sɑk5	saq7		7	5
十	十	zəʔ23	zeq8		8	23
十	十	siɔ44	siau3	~五，三~五，四~五……避讳“入”音。	3	44
拾	拾	zəʔ23	zeq8		8	23
拾	拾	siɔ44	siau3	~五，三~五，四~五……“十”的大写。避讳“入”音。	3	44
拾	拾	ziɪʔ23	ziq8	捡：~起来。	8	23
入	入	zəʔ23	zeq8	【文读】	8	23
入	入	ȵiɪʔ23	gniq8	【白读】	8	23
急	急	tɕiɪʔ5	ciq7		7	5
級	级	tɕiɪʔ5	ciq7		7	5
給	给	tɕiɪʔ5	ciq7		7	5
泣	泣	tɕʰiɪʔ5	chiq7		7	5
及	及	dʑiɪʔ23	jiq8		8	23
吸	吸	ɕiɪʔ5	shiq7		7	5
囡	囡	nø213	noe4		4	213
囡	囡	nø53	noe1	~~（对孩子的昵称）。	1	53
丹	丹	ɗɛ53	tae1		1	53
單	单	ɗɛ53	tae1		1	53
單	单	ze22	ze2	~于。	2	22
單	单	ze213	ze4	姓。	4	213
旦	旦	ɗɛ35	tae5		5	35
灘	滩	tʰɛ53	thae1		1	53
攤	摊	tʰɛ53	thae1		1	53
癱	瘫	tʰɛ53	thae1		1	53
坦	坦	tʰɛ44	thae3		3	44
炭	炭	tʰɛ35	thae5		5	35
嘆	叹	tʰɛ35	thae5		5	35
彈	弹	dɛ13	dae6		6	13
但	但	dɛ13	dae6		6	13
蛋	蛋	dɛ213	dae4		4	213
難	难	nɛ22	nae2		2	22
蘭	兰	lɛ22	lae2		2	22
攔	拦	lɛ22	lae2		2	22
碳	碳	tʰɛ35	thae5		5	35
欄	栏	lɛ22	lae2		2	22
懶	懒	lɛ213	lae4		4	213
爛	烂	lɛ13	lae6		6	13
贊	赞	tsɛ35	tsae5		5	35
灒	灒	tsɛ35	tsae5		5	35
餐	餐	tsʰø53	tshoe1		1	53
餐	餐	tsʰe53	tshe1		1	53
撣	掸	ɗø44	toe3		3	44
殘	残	zɛ22	zae2		2	22
散	散	sɛ35	sae5		5	35
散	散	sɛ44	sae3		3	44
傘	伞	sɛ44	sae3		3	44
干	干	kø53	koe1	~戈；~犯；~涉；~预；~将（剑名，人名）；~巷（上海金山地名）。	1	53
乾	干	kø53	koe1	~燥；~旱；~净；豆腐~。	1	53
幹	干	kø35	koe5	树~；躯~；~将（能干的或者敢干的人）；才~；实~。	5	35
竿	竿	kø53	koe1		1	53
桿	杆	kø53	koe1	旗~。	1	53
肝	肝	kø53	koe1		1	53
姦	奸	kɛ53	kae1	捉~。	1	53
奸	奸	kɛ53	kae1	~细。	1	53
趕	赶	kø44	koe3		3	44
看	看	kʰø35	khoe5		5	35
看	看	kʰø53	khoe1		1	53
刊	刊	kʰø53	khoe1		1	53
岸	岸	ŋø13	ngoe6		6	13
漢	汉	hø35	hoe5		5	35
寒	寒	ɦø22	ghoe2		2	22
韓	韩	ɦø22	ghoe2		2	22
旱	旱	ɦø213	ghoe4		4	213
汗	汗	ɦø13	ghoe6		6	13
安	安	ø53	oe1		1	53
安	安	hø53	hoe1	诸~浜（上海长宁地名）。	1	53
鞍	鞍	ø53	oe1		1	53
按	按	ø35	oe5		5	35
案	案	ø35	oe5		5	35
獺	獭	tʰæʔ5	thaeq7		7	5
達	达	dæʔ23	daeq8		8	23
辣	辣	læʔ23	laeq8		8	23
擦	擦	tsʰæʔ5	tshaeq7		7	5
薩	萨	sæʔ5	saeq7		7	5
撒	撒	sæʔ5	saeq7		7	5
割	割	kœʔ5	koeq7		7	5
葛	葛	kœʔ5	koeq7		7	5
渴	渴	kʰœʔ5	khoeq7		7	5
喝	喝	hœʔ5	hoeq7	吆~；~彩。	7	5
瞌	瞌	kʰəʔ5	kheq7		7	5
扮	扮	ɓɛ35	pae5		5	35
盼	盼	pʰɛ35	phae5		5	35
辦	办	bɛ13	bae6		6	13
瓣	瓣	bɛ13	bae6		6	13
盞	盏	tsɛ44	tsae3		3	44
鏟	铲	tsʰɛ44	tshae3		3	44
棧	栈	zɛ13	zae6		6	13
山	山	sɛ53	sae1		1	53
汕	汕	sɛ35	sae5		5	35
讪	讪	sɛ35	sae5		5	35
產	产	siɔ44	siau3	【白读】~母。	3	44
產	产	tsʰɛ44	tshae3	【文读】	3	44
間	间	kɛ53	kae1	【白读】房~。	1	53
間	间	tɕi53	ci1	【文读】空~。	1	53
間	间	kɛ44	kae3	【白读】间隔。	3	44
間	间	tɕi44	ci3	【文读】~断。	3	44
澗	涧	kɛ44	kae3	【白读】	3	44
澗	涧	tɕi44	ci3	【文读】	3	44
艱	艰	tɕi53	ci1	【文读】	1	53
簡	简	tɕi44	ci3	【文读】	3	44
柬	柬	tɕi44	ci3	【文读】	3	44
揀	拣	kɛ44	kae3		3	44
眼	眼	ŋɛ213	ngae4		4	213
閒	闲	ɦɛ22	ghae2	【白读】~话。	2	22
閒	闲	ɦi22	yi2	【文读】休~。	2	22
限	限	ɦɛ213	ghae4		4	213
八	八	ɓæʔ5	paeq7		7	5
拔	拔	bæʔ23	baeq8		8	23
札	札	tsæʔ5	tsaeq7		7	5
察	察	tsʰæʔ5	tshaeq7		7	5
殺	杀	sæʔ5	saeq7		7	5
斑	斑	ɓɛ53	pae1		1	53
班	班	ɓɛ53	pae1		1	53
頒	颁	ɓɛ53	pae1		1	53
扳	扳	ɓɛ53	pae1		1	53
板	板	ɓɛ44	pae3		3	44
版	版	ɓɛ44	pae3		3	44
蠻	蛮	mɛ22	mae2		2	22
慢	慢	mɛ13	mae6		6	13
刪	删	sɛ53	sae1		1	53
顏	颜	ŋɛ22	ngae2		2	22
雁	雁	ŋɛ13	ngae6	【白读】	6	13
雁	雁	ɦi13	yi6	【文读】	6	13
晏	晏	ɛ35	ae5	【白读】迟，晚。	5	35
晏	晏	i35	i5	【文读】~子。	5	35
鍘	铡	zæʔ23	zaeq8		8	23
瞎	瞎	hæʔ5	haeq7		7	5
鞭	鞭	ɓi53	pi1		1	53
編	编	ɓi53	pi1		1	53
變	变	ɓi35	pi5		5	35
篇	篇	pʰi53	phi1		1	53
偏	偏	pʰi53	phi1		1	53
騙	骗	pʰi35	phi5		5	35
便	便	bi22	bi2	~宜。	2	22
便	便	bi13	bi6	方~。	6	13
辨	辨	bi213	bi4		4	213
辯	辩	bi213	bi4		4	213
棉	棉	mi22	mi2		2	22
綿	绵	mi22	mi2		2	22
免	免	mi213	mi4		4	213
勉	勉	mi213	mi4		4	213
娩	娩	mi213	mi4		4	213
面	面	mi13	mi6		6	13
連	连	li22	li2		2	22
聯	联	li22	li2		2	22
煎	煎	tsi53	tsi1		1	53
剪	剪	tsi44	tsi3		3	44
箭	箭	tsi35	tsi5		5	35
遷	迁	tsʰi53	tshi1		1	53
淺	浅	tsʰi44	tshi3		3	44
錢	钱	zi22	zi2	姓。	2	22
錢	钱	di22	di2	铜~，洋~（钱）；几~（多少钱）。俗写作“钿”。	2	22
賤	贱	zi13	zi6		6	13
仙	仙	si53	si1		1	53
鮮	鲜	si53	si1		1	53
癬	癣	si44	si3		3	44
線	线	si35	si5		5	35
展	展	tse44	tse3		3	44
纏	缠	ze22	ze2		2	22
戰	战	tse35	tse5		5	35
扇	扇	se35	se5		5	35
禪	禅	ze22	ze2		2	22
禪	禅	ze13	ze6		6	13
遣	遣	tɕʰi44	chi3		3	44
譴	谴	tɕʰi35	chi5		5	35
善	善	ze213	ze4		4	213
然	然	ze22	ze2		2	22
燃	燃	ze22	ze2		2	22
揵	揵	dʑi22	ji2	举起。	2	22
掮	掮	dʑi22	ji2	以肩扛物。	2	22
乾	乾	dʑi22	ji2	~坤；~隆（清朝年号）；~元山（浙江德清地名）。	2	22
件	件	dʑi213	ji4		4	213
諺	谚	ȵi13	gni6		6	13
延	延	ɦi22	yi2		2	22
筵	筵	ɦi22	yi2		2	22
演	演	ɦi213	yi4		4	213
鱉	鳖	ɓiɪʔ5	piq7		7	5
別	别	bəʔ23	beq8		8	23
別	别	biɪʔ23	biq8		8	23
滅	灭	miɪʔ23	miq8		8	23
列	列	liɪʔ23	liq8		8	23
烈	烈	liɪʔ23	liq8		8	23
裂	裂	liɪʔ23	liq8		8	23
洩	泄	siɪʔ5	siq7		7	5
薛	薛	siɪʔ5	siq7		7	5
哲	哲	tsəʔ5	tseq7		7	5
撤	撤	tsʰəʔ5	tsheq7		7	5
徹	彻	tsʰəʔ5	tsheq7		7	5
折	折	tsəʔ5	tseq7		7	5
浙	浙	tsəʔ5	tseq7		7	5
舌	舌	zəʔ23	zeq8		8	23
設	设	səʔ5	seq7		7	5
熱	热	ȵiɪʔ23	gniq8		8	23
傑	杰	dʑiɪʔ23	jiq8		8	23
孽	孽	ȵiɪʔ23	gniq8		8	23
建	建	tɕi35	ci5		5	35
健	健	dʑi13	ji6		6	13
言	言	ɦi22	yi2		2	22
掀	掀	ɕi53	shi1		1	53
憲	宪	ɕi35	shi5		5	35
獻	献	ɕi35	shi5		5	35
揭	揭	tɕiɪʔ5	ciq7		7	5
歇	歇	ɕiɪʔ5	shiq7		7	5
邊	边	ɓi53	pi1		1	53
蝙	蝙	ɓi53	pi1		1	53
扁	扁	ɓi44	pi3		3	44
匾	匾	ɓi44	pi3		3	44
遍	遍	ɓi35	pi5	一~。	5	35
遍	遍	pʰi35	phi5	普~；~地。	5	35
片	片	pʰi35	phi5		5	35
辮	辫	bi213	bi4		4	213
眠	眠	mi22	mi2		2	22
麵	面	mi13	mi6	~食。	6	13
面	面	mi13	mi6	~孔。	6	13
顛	颠	ɗi53	ti1		1	53
典	典	ɗi44	ti3		3	44
天	天	tʰi53	thi1		1	53
田	田	di22	di2		2	22
填	填	di22	di2		2	22
滇	滇	di22	di2		2	22
電	电	di13	di6		6	13
殿	殿	di13	di6		6	13
墊	垫	di13	di6		6	13
年	年	ȵi22	gni2		2	22
憐	怜	li22	li2		2	22
蓮	莲	li22	li2		2	22
練	练	li13	li6		6	13
煉	炼	li13	li6		6	13
箋	笺	tsʰi53	tshi1		1	53
千	千	tsʰi53	tshi1		1	53
前	前	zi22	zi2		2	22
先	先	si53	si1		1	53
肩	肩	tɕi53	ci1		1	53
堅	坚	tɕi53	ci1		1	53
繭	茧	tɕi44	ci3		3	44
見	见	tɕi35	ci5		5	35
見	见	tɕyø35	cioe5	看~。	5	35
牽	牵	tɕʰi53	chi1		1	53
汧	汧	tɕʰi53	chi1		1	53
研	研	ȵi53	gni1	【文读】~究。	1	53
研	研	ȵi22	gni2	【白读】~墨；~粉。	2	22
硯	砚	ȵi13	gni6		6	13
顯	显	ɕi44	shi3		3	44
賢	贤	ɦi22	yi2		2	22
弦	弦	ɦi22	yi2		2	22
現	现	ɦi13	yi6		6	13
煙	烟	i53	i1		1	53
燕	燕	i53	i1	~山；~国。	1	53
燕	燕	i35	i5	~子。	5	35
咽	咽	i53	i1	~喉。	1	53
咽	咽	i35	i5	~下去。	5	35
咽	咽	iɪʔ5	iq7	哽~；呜~。	7	5
宴	宴	i35	i5		5	35
撤	撤	tsʰəʔ5	tsheq7		7	5
鐵	铁	tʰiɪʔ5	thiq7		7	5
跌	跌	ɗiɪʔ5	tiq7		7	5
捏	捏	ȵiæʔ23	gniaeq8		8	23
節	节	tsiɪʔ5	tsiq7		7	5
切	切	tsʰiɪʔ5	tshiq7		7	5
截	截	ziɪʔ23	ziq8		8	23
屑	屑	siɪʔ5	siq7		7	5
結	结	tɕiɪʔ5	ciq7		7	5
潔	洁	tɕiɪʔ5	ciq7		7	5
鍥	锲	tɕʰiɪʔ5	chiq7	ch	7	5
擷	撷	ɦiɪʔ23	yiq8	y	8	23
頁	页	ɦiɪʔ23	yiq8	y	8	23
噎	噎	iɪʔ5	iq7		7	5
般	般	ɓe53	pe1		1	53
般	般	ɓɛ53	pae1	【文读】一~。	1	53
搬	搬	ɓe53	pe1		1	53
半	半	ɓe35	pe5		5	35
絆	绊	be13	be6		6	13
絆	绊	ɓɛ35	pae5	[扌班]的训读。	5	35
潘	潘	pʰe53	phe1		1	53
判	判	pʰe35	phe5		5	35
盤	盘	be22	be2		2	22
伴	伴	be13	be6		6	13
拌	拌	be213	be4		4	213
叛	叛	be13	be6		6	13
瞞	瞒	me22	me2		2	22
滿	满	me213	me4		4	213
漫	漫	me13	me6	水~金山。	6	13
端	端	ɗø53	toe1		1	53
端	端	ɗɒ̃53	taon1	~午。	1	53
短	短	ɗø44	toe3		3	44
斷	断	ɗø35	toe5	判~；决~。	5	35
斷	断	dø13	doe6	~裂；~绝。	6	13
鍛	锻	ɗø35	toe5		5	35
煅	煅	ɗø35	toe5		5	35
團	团	dø22	doe2		2	22
糰	团	dø22	doe2	圆团状食品：圆~，饭~。	2	22
段	段	dø13	doe6		6	13
緞	缎	dø213	doe4		4	213
暖	暖	nø213	noe4		4	213
卵	卵	lu213	lu4	~巢，~子，~磷脂。雅化发音。	4	213
卵	卵	lø213	loe4	男阴。	4	213
亂	乱	lø13	loe6		6	13
鑽	钻	tsø53	tsoe1	~洞。	1	53
鑽	钻	tsø35	tsoe5	~石；~头。	5	35
鑽	钻	tsʰø35	tshoe5	~子。	5	35
酸	酸	sø53	soe1		1	53
算	算	sø35	soe5		5	35
蒜	蒜	sø35	soe5		5	35
官	官	kue53	kue1		1	53
觀	观	kue53	kue1	~察；~看。	1	53
觀	观	kue35	kue5	楼~；玄妙~，~前街（江苏苏州地名）。	5	35
冠	冠	kuɛ53	kuae1	鸡~花；鸡~。	1	53
冠	冠	kue53	kue1	衣~。	1	53
冠	冠	kue35	kue5	~军。	5	35
棺	棺	kue53	kue1		1	53
管	管	kue44	kue3		3	44
館	馆	kue44	kue3		3	44
貫	贯	kue35	kue5		5	35
罐	罐	kue35	kue5		5	35
灌	灌	kue35	kue5		5	35
寬	宽	kʰue53	khue1		1	53
款	款	kʰue44	khue3		3	44
玩	玩	βe22	ve2		2	22
玩	玩	mɛ22	mae2	【白读】	2	22
歡	欢	ɸe53	fe1		1	53
喚	唤	ɸe35	fe5		5	35
完	完	βe22	ve2		2	22
緩	缓	βe44	ve3		3	44
皖	皖	βe213	ve4		4	213
換	换	βe13	ve6		6	13
豌	豌	βe53	ve1		1	53
蜿	蜿	βe53	ve1		1	53
宛	宛	βe44	ve3		3	44
婉	婉	βe44	ve3		3	44
碗	碗	βe44	ve3		3	44
腕	腕	βe35	ve5		5	35
撥	拨	ɓəʔ5	peq7		7	5
潑	泼	pʰəʔ5	pheq7		7	5
抹	抹	məʔ23	meq8		8	23
末	末	məʔ23	meq8		8	23
脫	脱	tʰœʔ5	thoeq7	动词：~衣裳。	7	5
脫	脱	tʰəʔ5	theq7	助词，用在动词后表示动作完成，相当于“掉”：做~；坏~。	7	5
奪	夺	dœʔ23	doeq8		8	23
捋	捋	lœʔ23	loeq8		8	23
撮	撮	tsʰœʔ5	tshoeq7		7	5
括	括	kuæʔ5	kuaeq7		7	5
闊	阔	kʰuəʔ5	khueq7		7	5
豁	豁	ɸæʔ5	faeq7		7	5
甩	甩	ɸæʔ5	faeq7		7	5
活	活	βəʔ23	veq8		8	23
頑	顽	ŋuɛ22	nguae2		2	22
滑	滑	βæʔ23	vaeq8		8	23
猾	猾	βæʔ23	vaeq8		8	23
挖	挖	βæʔ5	vaeq7		7	5
閂	闩	se53	se1		1	53
簒	篡	tsʰe35	tshe5		5	35
撰	撰	ze213	ze4		4	213
饌	馔	ze13	ze6		6	13
關	关	kuɛ53	kuae1		1	53
慣	惯	kuɛ35	kuae5		5	35
還	还	βɛ22	vae2		2	22
環	环	guɛ22	guae2		2	22
患	患	βɛ13	vae6		6	13
幻	幻	βɛ13	vae6		6	13
幻	幻	βo13	vo6	~溇（浙江湖州地名）。	6	13
彎	弯	βɛ53	vae1		1	53
灣	湾	βɛ53	vae1		1	53
刷	刷	səʔ5	seq7		7	5
刮	刮	kuæʔ5	kuaeq7		7	5
戀	恋	li13	li6		6	13
攣	挛	lø22	loe2		2	22
孌	娈	lø22	loe2		2	22
孿	孪	lø22	loe2		2	22
泉	泉	zi22	zi2		2	22
全	全	zi22	zi2		2	22
宣	宣	si53	si1		1	53
選	选	si44	si3		3	44
旋	旋	zi22	zi2		2	22
轉	转	tse44	tse3		3	44
傳	传	ze22	ze2		2	22
椽	椽	ze22	ze2		2	22
專	专	tse53	tse1		1	53
磚	砖	tse53	tse1		1	53
川	川	tsʰe53	tshe1		1	53
穿	穿	tsʰe53	tshe1		1	53
喘	喘	tsʰe44	tshe3		3	44
串	串	tsʰe35	tshe5		5	35
船	船	ze22	ze2		2	22
軟	软	ȵyø213	gnioe4		4	213
卷	卷	tɕyø44	cioe3		3	44
卷	卷	tɕyø35	cioe5		5	35
眷	眷	tɕyø35	cioe5		5	35
