	注释：白读-，文读=
tsʰ	[1]抢昌娼[3]枪[5]唱倡鞘
s	[1]相箱厢襄伤商[2]祥详糁{饭粒}蝇-[3]想偿赏[5]象像相馕[6]尚上=
k	[1]薑姜疆[2]强狂逛[3]强{勉～}[6]僵犟
kʰ	[1]筐羌腔
x	[1]香乡[3]响享饷[5]向况
∅	[1]央秧殃[2]王羊洋杨疡阳炀烊[3]养往影-{人～}[5]王{～道}[6]样旺
ɦ	[5]上-{～山}[6]让
#uɔŋ	
k	[1]光[3]广
kʰ	[5]旷矿圹
x	[1]方坊荒慌谎[2]芳房=蝗癀[3]肪纺仿彷倣访恍妨[5]放=
∅	[1]汪[2]黄[3]枉
#eiŋ	
p	[5]粪
pʰ	[5]喷
t	[1]中忠[9]□{戳}[3]塚[5]中{打～}
tʰ	[1]衝冲春充[3]蠢[5]铳
h	[1]窗[2]□{挪动}[3]宠{～爱}
n	[2]侬-
l	[2]龙从重{～复}隆伦沦[9]旬-[3]钝-[5]重{～量}虹-[6]仲
ts	[1]锺钟盅终[3]种{～类}准肿[5]怂纵种{～树}众竣俊骏圳[6]颂{穿}穿{训，穿衣服}
s	[1]嵩[2]松旬=巡询循谆唇纯醇殉[9]荀[5]舜瞬[6]诵讼颂=顺
k	[1]恭弓宫躬穹君军均钧[2]穷琼群裙芹勤乾{～坤}窘[3]拱巩菌谨仅[5]供[6]共
kʰ	[1]倾[3]顷
ŋ	[2]银
x	[1]胸兄=熏晕欣凶[2]熊雄[5]训驯
∅	[1]雍殷[2]容镕庸[3]拥勇甬涌隐[5]陨壅{～肥}[6]用
ɦ	[2]茸云匀绒戎融荣营[9]雲[3]永允[5]詠咏泳韵运闰润陨
#ieiŋ	
p	[1]边鞭[3]扁贬[5]辫变遍
pʰ	[1]偏编篇遍[5]片骗
β	[2]便{～宜}[3]蝙[5]辨辩[6]便{方～}
m	[2]眠棉绵[3]免勉娩[5]麵面
t	[1]颠癫{疯子}巅[2]缠滇[3]典[5]垫
h	[1]天添[3]筅{～帚}
n	[2]拈黏=年[3]染[5]捏
l	[2]连=联=簾廉镰田莲=怜潜[3]敛脸[5]佃[6]电练炼贱殓渐
ts	[1]煎氈尖櫼占瞻[2]钱[3]践[5]荐箭溅佔
tsʰ	[1]笺迁歼签纤忏[2]前[3]浅
s	[1]先仙鲜暹[2]蝉禅寻{长度}蟾蝇=绳[3]癣闪=鲜={～见}[5]扇善膳[6]擅赡
k	[1]坚兼[3]检[5]见件剑俭
kʰ	[1]谦[2]钳[3]遣[5]欠
ŋ	[2]迎严[3]俨[6]谚念验
x	[2]嫌[3]显险[6]现
∅	[1]姻烟燕{～京}阉渊[2]盐檐然燃阎[3]掩[5]燕厌要[6]盐{腌}焰艳炎
#ueiŋ	
t	[1]端单丹[3]短=□{跌}[5]诞旦[6]但
tʰ	[1]餐[5]篡灿纂撰窜
h	[1]滩摊[5]炭叹
n	[2]难[3]暖
l	[2]鸾团弹坛栏拦兰[9]单[5]□{口水}[6]乱锻弹{子～}烂
s	[1]山[3]产伞[5]算散
k	[1]官关=观干竿[3]秆{稻草}管[5]惯冠幹[6]汗-
kʰ	[1]宽[3]侃款
x	[1]翻番欢肝[2]烦繁还环鼾寒韩藩樊[9]翰[3]反=[6]汗=饭=贩幻唤涣
∅	[1]安鞍[2]顽[3]宛婉挽碗豌皖腕[5]案按[6]玩
ɦ	[5]旱
#yeiŋ	
t	[1]篆
n	[3]软阮[6]韧
l	[2]痊传{宣传}联-全={完～}[9]全-{～部}䧘[5]懒[6]传{自～}恋
ts	[1]砖专[2]泉[6]旋{头发～}
tsʰ	[1]川穿钏[3]铲[5]串
s	[1]喧宣[2]旋[3]选=[5]线旋镟鳝[6]羡
k	[1]斤筋巾根涓娟绢关-{～门}[2]权举墘[3]囝捲[5]券键建眷掼{篮子提手}[6]健倦近县
kʰ	[1]圈{量词、名词}[2]圈{动词}[3]犬[5]劝
ŋ	[2]元源原言沅[6]愿
x	[1]轩[2]悬玄园[3]䘆掀[5]献楦
∅	[1]冤弯湾[2]袁援圆员缘丸[9]晏{早～}[3]䘼[5]怨[6]院
ɦ	[9]船[3]远
#aiŋ	
p	[1]冰崩班斑颁[3]板坂版[5]扮[6]办
pʰ	[1]烹攀[6]瓣
β	[2]朋[9]瓶[3]反-晚崩-[6]万
m	[2]萌闽蛮馒[3]狂[6]孟慢漫蔓
t	[1]丁钉疔靪登灯沾-[2]藤滕填[3]等戥[5]钉瞪盯[6]邓殿
tʰ	[1]千[2]田{训}[5]撑衬
h	[1]蛏汀[2]澄-[3]坦逞-袒
n	[1]□{乳}[2]能[9]㬟
l	[2]零澄謄曾{～经}莲=腾[9]亭层[3]冷[5]憎
ts	[1]争曾{姓}僧榛[3]剪盏[5]赞站赚增赠
s	[1]生=星删森参{人～}珊[2]鳞-[9]省=醒[5]腥{臭～}
k	[1]庚耕跟肩奸间艰[9]衔-含[3]梗耿茧简柬鹹[5]更间{～断}
kʰ	[1]牵[3]肯
ŋ	[2]颜[3]研眼[6]硬砚雁岸
x	[1]亨[2]衡行{～为}恒闲[3]很罕狠[6]行{品～}幸限恨苋晴-
∅	[1]恩[3]笕饮[5]应{答～}晏={～子}
#ɔiŋ	
p	[1]兵浜彬宾槟滨搬般板[2]盘槃[3]丙秉禀[5]殡半绊
pʰ	[1]潘[3]品[5]聘判叛伴
β	[2]平贫盘=[9]屏凭鬓
m	[2]铭冥螟明=瞒[3]皿悯敏满美[5]□{闭口}[6]命=
t	[1]贞侦徴惩珍砧[2]陈尘[3]顶鼎=[5]镇冻-[6]炖
tʰ	[1]清亲[3]请=[5]凊{冷}[6]寝侵浸
h	[3]艇挺逞=[5]听=趁{赚}
n	[2]人-[3]忍[5]耳-[6]宁{～可}认
l	[2]宁停庭廷蜓灵伶情陵凌菱邻鳞=秦林淋临沉晴=[3]凛廪[5]静[6]另令净吝尽阵联
ts	[1]精晶旌津[3]儘[5]进晋
s	[1]新辛薪心[2]连-{姓}[3]醒[5]性信讯[6]迅
#oŋ	
p	[3]棒[5]放-
pʰ	[1]蜂[2]蓬篷[3]捧[6]缝
β	[9]冯房=
m	[2]蒙朦[3]蠓懵[6]梦
t	[1]冬东[2]筒[3]董懂[5]冻=栋
tʰ	[1]葱聪怱
h	[1]通囱[2]虫[3]统桶捅[5]痛
n	[2]浓=农[9]脓[5]暖[6]嫩
l	[2]同桐童瞳笼拢垅胧砻咙聋=[9]铜崇[3]笼拢陇垄笼[5]动[6]洞弄
ts	[1]纵宗棕鬃[2]丛[3]总[5]粽
s	[1]鬆双[2]聋-[3]𢱤[5]宋送
k	[1]公工功[5]攻贡汞
kʰ	[1]空[3]孔[5]控
x	[1]封峰锋风疯烘魟[2]缝逢红=洪鸿虹=宏泓弘[3]讽哄[5]奉俸[6]巷
∅	[1]翁[5]甕伓毋
ɦ	[9]红-
#iŋ	
ts	[1]征蒸真针箴[2]成=[3]整拯诊振震展枕[5]政证症
tsʰ	[1]称琛深[5]秤称{对～}
s	[1]身伸申娠[2]城=成=诚承丞神辰晨臣[9]乘[3]婶沈审[5]圣胜[6]剩慎盛肾甚
k	[1]经京荆鲸今金襟[2]岑琴禽擒吟[9]鹹[3]景紧锦警[5]径颈劲敬竞竟禁茎妗境
kʰ	[1]钦卿轻=[5]庆
x	[1]兴[2]形型刑[5]兴{高～}馨罄
