繁体	简体	声母	韵母	声调	拼音無調	拼音	IPA	备注
裕	裕	j	yu	5	jyu	jyu5	jy⁴⁴	
遇	遇	j	yu	5	jyu	jyu5	jy⁴⁴	
擺	摆	b	aai	3	baai	baai3	pai³⁵	
拜	拜	b	aai	5	baai	baai5	pai⁴⁴	
敗	败	b	aai	6	baai	baai6	pai²²	
排	排	p	aai	2	paai	paai2	pʰai²¹	
呱	哌	p	aai	2	paai	paai2	pʰai²¹	
派	派	p	aai	5	paai	paai5	pʰai⁴⁴	
埋	埋	m	aai	2	maai	maai2	mai²¹	
買	买	m	aai	4	maai	maai4	mai³³	
賣	卖	m	aai	6	maai	maai6	mai²²	
邁	迈	m	aai	6	maai	maai6	mai²²	
快	快	f	aai	5	faai	faai5	fai⁴⁴	
筷	筷	f	aai	5	faai	faai5	fai⁴⁴	
塊	块	f	aai	5	faai	faai5	fai⁴⁴	
帶	带	d	aai	5	daai	daai5	tai⁴⁴	
戴	戴	d	aai	5	daai	daai5	tai⁴⁴	
大	大	d	aai	6	daai	daai6	tai²²	
太	太	t	aai	5	taai	taai5	tʰai⁴⁴	
態	态	t	aai	5	taai	taai5	tʰai⁴⁴	
泰	泰	t	aai	5	taai	taai5	tʰai⁴⁴	
貸	贷	t	aai	5	taai	taai5	tʰai⁴⁴	
乃	乃	n	aai	4	naai	naai4	nai³³	
奶	奶	n	aai	4	naai	naai4	nai³³	
耐	耐	n	aai	6	naai	naai6	nai²²	
拉	拉	l	aai	1	laai	laai1	lai⁵⁵	
癩	癞	l	aai	5	laai	laai5	lai⁴⁴	
賴	赖	l	aai	6	laai	laai6	lai²²	
齋	斋	z	aai	1	zaai	zaai1	tsai⁵⁵	
債	债	z	aai	5	zaai	zaai5	tsai⁴⁴	
寨	寨	z	aai	6	zaai	zaai6	tsai²²	
猜	猜	c	aai	1	caai	caai1	tsʰai⁵⁵	
差	差	c	aai	1	caai	caai1	tsʰai⁵⁵	
釵	钗	c	aai	1	caai	caai1	tsʰai⁵⁵	
柴	柴	c	aai	2	caai	caai2	tsʰai²¹	
豺	豺	c	aai	2	caai	caai2	tsʰai²¹	
篩	筛	s	aai	1	saai	saai1	sai⁵⁵	
曬	晒	s	aai	5	saai	saai5	sai⁴⁴	
階	阶	g	aai	1	gaai	gaai1	kai⁵⁵	
皆	皆	g	aai	1	gaai	gaai1	kai⁵⁵	
佳	佳	g	aai	1	gaai	gaai1	kai⁵⁵	
街	街	g	aai	1	gaai	gaai1	kai⁵⁵	
解	解	g	aai	3	gaai	gaai3	kai³⁵	
介	介	g	aai	6	gaai	gaai6	kai²²	
