繁体	简体	声母	韵母	声调	拼音無調	拼音	IPA	备注
膘	膘	b	iu	1	biu	biu1	piu⁵⁵	
彪	彪	b	iu	1	biu	biu1	piu⁵⁵	
錶	表	b	iu	3	biu	biu3	piu³⁵	
表	表	b	iu	3	biu	biu3	piu³⁵	
飄	飘	p	iu	1	piu	piu1	pʰiu⁵⁵	
漂	漂	p	iu	1	piu	piu1	pʰiu⁵⁵	~流。
嫖	嫖	p	iu	2	piu	piu2	pʰiu²¹	
瓢	瓢	p	iu	2	piu	piu2	pʰiu²¹	
票	票	p	iu	5	piu	piu5	pʰiu⁴⁴	
漂	漂	p	iu	5	piu	piu5	pʰiu⁴⁴	~亮。
貓	猫	m	iu	1	miu	miu1	miu⁵⁵	
苗	苗	m	iu	2	miu	miu2	miu²¹	
描	描	m	iu	2	miu	miu2	miu²¹	
杳	杳	m	iu	3	miu	miu3	miu³⁵	
秒	秒	m	iu	3	miu	miu3	miu³⁵	
藐	藐	m	iu	3	miu	miu3	miu³⁵	
妙	妙	m	iu	5	miu	miu5	miu⁴⁴	
廟	庙	m	iu	5	miu	miu5	miu⁴⁴	
刁	刁	d	iu	1	diu	diu1	tiu⁵⁵	
丟	丢	d	iu	1	diu	diu1	tiu⁵⁵	
雕	雕	d	iu	1	diu	diu1	tiu⁵⁵	
貂	貂	d	iu	1	diu	diu1	tiu⁵⁵	
吊	吊	d	iu	5	diu	diu5	tiu⁴⁴	
釣	钓	d	iu	5	diu	diu5	tiu⁴⁴	
掉	掉	d	iu	6	diu	diu6	tiu²²	
調	调	d	iu	6	diu	diu6	tiu²²	~动。
挑	挑	d	iu	1	diu	diu1	tiu⁵⁵	
條	条	d	iu	2	diu	diu2	tiu²¹	
調	调	d	iu	2	diu	diu2	tiu²¹	~味。
跳	跳	t	iu	5	tiu	tiu5	tʰiu⁴⁴	
糶	粜	t	iu	5	tiu	tiu5	tʰiu⁴⁴	
尿	尿	n	iu	5	niu	niu5	niu⁴⁴	
燎	燎	l	iu	2	liu	liu2	liu²¹	
撩	撩	l	iu	2	liu	liu2	liu²¹	
遼	辽	l	iu	2	liu	liu2	liu²¹	
療	疗	l	iu	2	liu	liu2	liu²¹	
聊	聊	l	iu	2	liu	liu2	liu²¹	
寥	寥	l	iu	2	liu	liu2	liu²¹	
了	了	l	iu	4	liu	liu4	liu³³	
瞭	瞭	l	iu	4	liu	liu4	liu³³	
料	料	l	iu	5	liu	liu5	liu⁴⁴	
廖	廖	l	iu	5	liu	liu5	liu⁴⁴	
焦	焦	z	iu	1	ziu	ziu1	tsiu⁵⁵	
蕉	蕉	z	iu	1	ziu	ziu1	tsiu⁵⁵	
樵	樵	z	iu	1	ziu	ziu1	tsiu⁵⁵	
招	招	z	iu	1	ziu	ziu1	tsiu⁵⁵	
昭	昭	z	iu	1	ziu	ziu1	tsiu⁵⁵	
朝	朝	z	iu	1	ziu	ziu1	tsiu⁵⁵	今~。
沼	沼	z	iu	3	ziu	ziu3	tsiu³⁵	
剿	剿	z	iu	3	ziu	ziu3	tsiu³⁵	
照	照	z	iu	5	ziu	ziu5	tsiu⁴⁴	
召	召	z	iu	6	ziu	ziu6	tsiu²²	
詔	诏	z	iu	6	ziu	ziu6	tsiu²²	
噍	噍	z	iu	6	ziu	ziu6	tsiu²²	
醮	醮	z	iu	6	ziu	ziu6	tsiu²²	
超	超	c	iu	1	ciu	ciu1	tsʰiu⁵⁵	
瞧	瞧	c	iu	2	ciu	ciu2	tsʰiu²¹	
潮	潮	c	iu	2	ciu	ciu2	tsʰiu²¹	
朝	朝	c	iu	2	ciu	ciu2	tsʰiu²¹	~代。
悄	悄	c	iu	3	ciu	ciu3	tsʰiu³⁵	
兆	兆	c	iu	3	ciu	ciu3	tsʰiu³⁵	
趙	赵	c	iu	5	ciu	ciu5	tsʰiu⁴⁴	
消	消	s	iu	5	siu	siu5	siu⁴⁴	
銷	销	s	iu	1	siu	siu1	siu⁵⁵	
硝	硝	s	iu	1	siu	siu1	siu⁵⁵	
霄	霄	s	iu	1	siu	siu1	siu⁵⁵	
宵	宵	s	iu	1	siu	siu1	siu⁵⁵	
蕭	萧	s	iu	1	siu	siu1	siu⁵⁵	
簫	箫	s	iu	1	siu	siu1	siu⁵⁵	
燒	烧	s	iu	1	siu	siu1	siu⁵⁵	
韶	韶	s	iu	2	siu	siu2	siu²¹	
小	小	s	iu	3	siu	siu3	siu³⁵	
少	少	s	iu	3	siu	siu3	siu³⁵	多~。
紹	绍	s	iu	4	siu	siu4	siu³³	
邵	邵	s	iu	4	siu	siu4	siu³³	
笑	笑	s	iu	5	siu	siu5	siu⁴⁴	
少	少	s	iu	5	siu	siu5	siu⁴⁴	~年。
嬌	娇	g	iu	1	giu	giu1	kiu⁵⁵	
驕	骄	g	iu	1	giu	giu1	kiu⁵⁵	
矯	矫	g	iu	3	giu	giu3	kiu³⁵	
轎	轿	g	iu	3	giu	giu3	kiu³⁵	
繳	缴	g	iu	3	giu	giu3	kiu³⁵	
叫	叫	g	iu	5	giu	giu5	kiu⁴⁴	
喬	乔	k	iu	2	kiu	kiu2	kʰiu²¹	
僑	侨	k	iu	2	kiu	kiu2	kʰiu²¹	
橋	桥	k	iu	2	kiu	kiu2	kʰiu²¹	
竅	窍	k	iu	5	kiu	kiu5	kʰiu⁴⁴	
囂	嚣	h	iu	1	hiu	hiu1	hiu⁵⁵	
曉	晓	h	iu	3	hiu	hiu3	hiu³⁵	
腰	腰	j	iu	1	jiu	jiu1	jiu⁵⁵	
要	要	j	iu	1	jiu	jiu1	jiu⁵⁵	~求。
么	幺	j	iu	1	jiu	jiu1	jiu⁵⁵	
吆	吆	j	iu	1	jiu	jiu1	jiu⁵⁵	
邀	邀	j	iu	1	jiu	jiu1	jiu⁵⁵	
堯	尧	j	iu	2	jiu	jiu2	jiu²¹	
饒	饶	j	iu	2	jiu	jiu2	jiu²¹	
舀	舀	j	iu	3	jiu	jiu3	jiu³⁵	
妖	妖	j	iu	4	jiu	jiu4	jiu³³	
澆	浇	j	iu	4	jiu	jiu4	jiu³³	
擾	扰	j	iu	4	jiu	jiu4	jiu³³	
繞	绕	j	iu	4	jiu	jiu4	jiu³³	
鷂	鹞	j	iu	4	jiu	jiu4	jiu³³	
要	要	j	iu	5	jiu	jiu5	jiu⁴⁴	需~。
耀	耀	j	iu	6	jiu	jiu6	jiu²²	
杯	杯	b	ui	1	bui	bui1	pui⁵⁵	
貝	贝	b	ui	5	bui	bui5	pui⁴⁴	
背	背	b	ui	5	bui	bui5	pui⁴⁴	
輩	辈	b	ui	5	bui	bui5	pui⁴⁴	
坯	坯	p	ui	1	pui	pui1	pʰui⁵⁵	
胚	胚	p	ui	1	pui	pui1	pʰui⁵⁵	
培	培	p	ui	2	pui	pui2	pʰui²¹	
賠	赔	p	ui	2	pui	pui2	pʰui²¹	
陪	陪	p	ui	2	pui	pui2	pʰui²¹	
裴	裴	p	ui	2	pui	pui2	pʰui²¹	
倍	倍	p	ui	3	pui	pui3	pʰui³⁵	
配	配	p	ui	5	pui	pui5	pʰui⁴⁴	
佩	佩	p	ui	5	pui	pui5	pʰui⁴⁴	
沛	沛	p	ui	5	pui	pui5	pʰui⁴⁴	
梅	梅	m	ui	2	mui	mui2	mui²¹	
媒	媒	m	ui	2	mui	mui2	mui²¹	
煤	煤	m	ui	2	mui	mui2	mui²¹	
每	每	m	ui	3	mui	mui3	mui³⁵	
妹	妹	m	ui	6	mui	mui6	mui²²	
灰	灰	f	ui	1	fui	fui1	fui⁵⁵	
盔	盔	f	ui	1	fui	fui1	fui⁵⁵	
奎	奎	f	ui	1	fui	fui1	fui⁵⁵	
魁	魁	f	ui	1	fui	fui1	fui⁵⁵	
悔	悔	f	ui	3	fui	fui3	fui³⁵	
晦	晦	f	ui	3	fui	fui3	fui³⁵	
堆	堆	d	ui	1	dui	dui1	tui⁵⁵	
推	推	t	ui	1	tui	tui1	tʰui⁵⁵	
腿	腿	t	ui	3	tui	tui3	tʰui³⁵	
退	退	t	ui	5	tui	tui5	tʰui⁴⁴	
蛻	蜕	t	ui	5	tui	tui5	tʰui⁴⁴	
內	内	n	ui	5	nui	nui5	nui⁴⁴	
林	林	l	aam	2	laam	laam2	lam²¹	
淋	淋	l	aam	2	laam	laam2	lam²¹	
臨	临	l	aam	2	laam	laam2	lam²¹	
檁	檩	l	aam	4	laam	laam4	lam³³	
針	针	z	aam	1	zaam	zaam1	tsam⁵⁵	
砧	砧	z	aam	1	zaam	zaam1	tsam⁵⁵	
斟	斟	z	aam	1	zaam	zaam1	tsam⁵⁵	
浸	浸	z	aam	2	zaam	zaam2	tsam²¹	
枕	枕	z	aam	3	zaam	zaam3	tsam³⁵	
侵	侵	c	aam	1	caam	caam1	tsʰam⁵⁵	
尋	寻	c	aam	2	caam	caam2	tsʰam²¹	
沉	沉	c	aam	2	caam	caam2	tsʰam²¹	
寢	寝	c	aam	3	caam	caam3	tsʰam³⁵	
滲	渗	c	aam	5	caam	caam5	tsʰam⁴⁴	
心	心	s	aam	1	saam	saam1	sam⁵⁵	
沈	沈	s	aam	1	saam	saam1	sam⁵⁵	
森	森	s	aam	1	saam	saam1	sam⁵⁵	
參	参	s	aam	1	saam	saam1	sam⁵⁵	人~。
岑	岑	s	aam	2	saam	saam2	sam²¹	
沈	沈	s	aam	3	saam	saam3	sam³⁵	
審	审	s	aam	3	saam	saam3	sam³⁵	
嬸	婶	s	aam	3	saam	saam3	sam³⁵	
甚	甚	s	aam	4	saam	saam4	sam³³	
葚	葚	s	aam	4	saam	saam4	sam³³	
今	今	g	aam	1	gaam	gaam1	kam⁵⁵	
金	金	g	aam	1	gaam	gaam1	kam⁵⁵	
甘	甘	g	aam	1	gaam	gaam1	kam⁵⁵	
錦	锦	g	aam	3	gaam	gaam3	kam³⁵	
禁	禁	g	aam	5	gaam	gaam5	kam⁴⁴	
襟	襟	k	aam	1	kaam	kaam1	kʰam⁵⁵	
琴	琴	k	aam	2	kaam	kaam2	kʰam²¹	
禽	禽	k	aam	2	kaam	kaam2	kʰam²¹	
擒	擒	k	aam	2	kaam	kaam2	kʰam²¹	
撳	揿	k	aam	5	kaam	kaam5	kʰam⁴⁴	
岩	岩	ng	aam	2	ngaam	ngaam2	ŋam²¹	
癌	癌	ng	aam	2	ngaam	ngaam2	ŋam²¹	
欽	钦	h	aam	1	haam	haam1	ham⁵⁵	
堪	堪	h	aam	1	haam	haam1	ham⁵⁵	
龕	龛	h	aam	1	haam	haam1	ham⁵⁵	
含	含	h	aam	2	haam	haam2	ham²¹	
函	函	h	aam	2	haam	haam2	ham²¹	
銜	衔	h	aam	2	haam	haam2	ham²¹	
砍	砍	h	aam	3	haam	haam3	ham³⁵	
陷	陷	h	aam	4	haam	haam4	ham³³	
餡	馅	h	aam	5	haam	haam5	ham⁴⁴	
勘	勘	h	aam	5	haam	haam5	ham⁴⁴	
憾	憾	h	aam	5	haam	haam5	ham⁴⁴	
撼	撼	h	aam	6	haam	haam6	ham²²	
陰	阴	j	aam	6	jaam	jaam6	jam²²	
音	音	j	aam	1	jaam	jaam1	jam⁵⁵	
吟	吟	j	aam	1	jaam	jaam1	jam⁵⁵	
淫	淫	j	aam	2	jaam	jaam2	jam²¹	
飲	饮	j	aam	2	jaam	jaam2	jam²¹	
壬	壬	j	aam	3	jaam	jaam3	jam³⁵	
任	任	j	aam	5	jaam	jaam5	jam⁴⁴	
蔭	荫	j	aam	5	jaam	jaam5	jam⁴⁴	
暗	暗	x	aam	5	aam	aam5	am⁴⁴	
賓	宾	b	an	1	ban	ban1	pɐn⁵⁵	
濱	滨	b	an	1	ban	ban1	pɐn⁵⁵	
檳	槟	b	an	1	ban	ban1	pɐn⁵⁵	
彬	彬	b	an	1	ban	ban1	pɐn⁵⁵	
斌	斌	b	an	1	ban	ban1	pɐn⁵⁵	
笨	笨	b	an	4	ban	ban4	pɐn³³	
鬢	鬓	b	an	4	ban	ban4	pɐn³³	
殯	殡	b	an	6	ban	ban6	pɐn²²	
噴	喷	p	an	1	pan	pan1	pʰɐn⁵⁵	~泉。
貧	贫	p	an	2	pan	pan2	pʰɐn²¹	
頻	频	p	an	2	pan	pan2	pʰɐn²¹	
噴	喷	p	an	6	pan	pan6	pʰɐn²²	~香。
民	民	m	an	2	man	man2	mɐn²¹	
文	文	m	an	2	man	man2	mɐn²¹	
紋	纹	m	an	2	man	man2	mɐn²¹	
聞	闻	m	an	2	man	man2	mɐn²¹	
閩	闽	m	an	3	man	man3	mɐn³⁵	
敏	敏	m	an	3	man	man3	mɐn³⁵	
吻	吻	m	an	3	man	man3	mɐn³⁵	
刎	刎	m	an	3	man	man3	mɐn³⁵	
憫	悯	m	an	3	man	man3	mɐn³⁵	
抿	抿	m	an	3	man	man3	mɐn³⁵	
問	问	m	an	6	man	man6	mɐn²²	
昏	昏	f	an	1	fan	fan1	fɐn⁵⁵	
婚	婚	f	an	1	fan	fan1	fɐn⁵⁵	
分	分	f	an	1	fan	fan1	fɐn⁵⁵	
芬	芬	f	an	1	fan	fan1	fɐn⁵⁵	
紛	纷	f	an	1	fan	fan1	fɐn⁵⁵	
勳	勋	f	an	1	fan	fan1	fɐn⁵⁵	
葷	荤	f	an	1	fan	fan1	fɐn⁵⁵	
熏	熏	f	an	1	fan	fan1	fɐn⁵⁵	
墳	坟	f	an	2	fan	fan2	fɐn²¹	
焚	焚	f	an	2	fan	fan2	fɐn²¹	
粉	粉	f	an	3	fan	fan3	fɐn³⁵	
份	份	f	an	4	fan	fan4	fɐn³³	
奮	奋	f	an	5	fan	fan5	fɐn⁴⁴	
憤	愤	f	an	5	fan	fan5	fɐn⁴⁴	
忿	忿	f	an	5	fan	fan5	fɐn⁴⁴	
糞	粪	f	an	6	fan	fan6	fɐn²²	
訓	训	f	an	6	fan	fan6	fɐn²²	
敦	敦	d	an	1	dan	dan1	tɐn⁵⁵	
墩	墩	d	an	1	dan	dan1	tɐn⁵⁵	
吞	吞	t	an	1	tan	tan1	tʰɐn⁵⁵	
嫩	嫩	n	an	6	nan	nan6	nɐn²²	
鄰	邻	l	an	2	lan	lan2	lɐn²¹	
鱗	鳞	l	an	2	lan	lan2	lɐn²¹	
侖	仑	l	an	2	lan	lan2	lɐn²¹	
輪	轮	l	an	2	lan	lan2	lɐn²¹	
倫	伦	l	an	2	lan	lan2	lɐn²¹	
淪	沦	l	an	2	lan	lan2	lɐn²¹	
論	论	l	an	5	lan	lan5	lɐn⁴⁴	
吝	吝	l	an	5	lan	lan5	lɐn⁴⁴	
津	津	z	an	1	zan	zan1	tsɐn⁵⁵	
珍	珍	z	an	1	zan	zan1	tsɐn⁵⁵	
真	真	z	an	1	zan	zan1	tsɐn⁵⁵	
臻	臻	z	an	1	zan	zan1	tsɐn⁵⁵	
娠	娠	z	an	2	zan	zan2	tsɐn²¹	
准	准	z	an	3	zan	zan3	tsɐn³⁵	
盡	尽	z	an	4	zan	zan4	tsɐn³³	
進	进	z	an	5	zan	zan5	tsɐn⁴⁴	
鎮	镇	z	an	5	zan	zan5	tsɐn⁴⁴	
晉	晋	z	an	5	zan	zan5	tsɐn⁴⁴	
振	振	z	an	5	zan	zan5	tsɐn⁴⁴	
震	震	z	an	5	zan	zan5	tsɐn⁴⁴	
圳	圳	z	an	5	zan	zan5	tsɐn⁴⁴	
俊	俊	z	an	5	zan	zan5	tsɐn⁴⁴	
陣	阵	z	an	6	zan	zan6	tsɐn²²	
親	亲	c	an	1	can	can1	tsʰɐn⁵⁵	
春	春	c	an	1	can	can1	tsʰɐn⁵⁵	
椿	椿	c	an	1	can	can1	tsʰɐn⁵⁵	
皴	皴	c	an	1	can	can1	tsʰɐn⁵⁵	
巡	巡	c	an	2	can	can2	tsʰɐn²¹	
循	循	c	an	2	can	can2	tsʰɐn²¹	
秦	秦	c	an	2	can	can2	tsʰɐn²¹	
陳	陈	c	an	2	can	can2	tsʰɐn²¹	
塵	尘	c	an	2	can	can2	tsʰɐn²¹	
旬	旬	c	an	2	can	can2	tsʰɐn²¹	
呈	呈	c	an	2	can	can2	tsʰɐn²¹	
程	程	c	an	2	can	can2	tsʰɐn²¹	
澄	澄	c	an	2	can	can2	tsʰɐn²¹	
蠢	蠢	c	an	3	can	can3	tsʰɐn³⁵	
診	诊	c	an	4	can	can4	tsʰɐn³³	
疹	疹	c	an	4	can	can4	tsʰɐn³³	
襯	衬	c	an	5	can	can5	tsʰɐn⁴⁴	
趁	趁	c	an	5	can	can5	tsʰɐn⁴⁴	
辛	辛	s	an	1	san	san1	sɐn⁵⁵	
新	新	s	an	1	san	san1	sɐn⁵⁵	
薪	薪	s	an	1	san	san1	sɐn⁵⁵	
身	身	s	an	1	san	san1	sɐn⁵⁵	
申	申	s	an	1	san	san1	sɐn⁵⁵	
伸	伸	s	an	1	san	san1	sɐn⁵⁵	
殉	殉	s	an	1	san	san1	sɐn⁵⁵	
神	神	s	an	2	san	san2	sɐn²¹	
辰	辰	s	an	2	san	san2	sɐn²¹	
晨	晨	s	an	2	san	san2	sɐn²¹	
唇	唇	s	an	2	san	san2	sɐn²¹	
臣	臣	s	an	2	san	san2	sɐn²¹	
荀	荀	s	an	2	san	san2	sɐn²¹	
筍	笋	s	an	3	san	san3	sɐn³⁵	
榫	榫	s	an	3	san	san3	sɐn³⁵	
醒	醒	s	an	3	san	san3	sɐn³⁵	
信	信	s	an	5	san	san5	sɐn⁴⁴	
訊	讯	s	an	5	san	san5	sɐn⁴⁴	
迅	迅	s	an	5	san	san5	sɐn⁴⁴	
腎	肾	s	an	5	san	san5	sɐn⁴⁴	
舜	舜	s	an	5	san	san5	sɐn⁴⁴	
遜	逊	s	an	5	san	san5	sɐn⁴⁴	
性	性	s	an	5	san	san5	sɐn⁴⁴	
順	顺	s	an	6	san	san6	sɐn²²	
慎	慎	s	an	6	san	san6	sɐn²²	
巾	巾	g	an	1	gan	gan1	kɐn⁵⁵	
根	根	g	an	1	gan	gan1	kɐn⁵⁵	
跟	跟	g	an	1	gan	gan1	kɐn⁵⁵	
斤	斤	g	an	1	gan	gan1	kɐn⁵⁵	
筋	筋	g	an	1	gan	gan1	kɐn⁵⁵	
緊	紧	g	an	3	gan	gan3	kɐn³⁵	
謹	谨	g	an	3	gan	gan3	kɐn³⁵	
僅	仅	g	an	3	gan	gan3	kɐn³⁵	
勁	劲	g	an	5	gan	gan5	kɐn⁴⁴	
芹	芹	k	an	2	kan	kan2	kʰɐn²¹	
勤	勤	k	an	2	kan	kan2	kʰɐn²¹	
近	近	k	an	3	kan	kan3	kʰɐn³⁵	
銀	银	ng	an	2	ngan	ngan2	ŋɐn²¹	
痕	痕	h	an	2	han	han2	hɐn²¹	
衡	衡	h	an	2	han	han2	hɐn²¹	
懇	恳	h	an	3	han	han3	hɐn³⁵	
墾	垦	h	an	3	han	han3	hɐn³⁵	
很	很	h	an	3	han	han3	hɐn³⁵	
恨	恨	h	an	5	han	han5	hɐn⁴⁴	
杏	杏	h	an	5	han	han5	hɐn⁴⁴	
因	因	j	an	1	jan	jan1	jɐn⁵⁵	
姻	姻	j	an	1	jan	jan1	jɐn⁵⁵	
恩	恩	j	an	1	jan	jan1	jɐn⁵⁵	
欣	欣	j	an	1	jan	jan1	jɐn⁵⁵	
殷	殷	j	an	1	jan	jan1	jɐn⁵⁵	
人	人	j	an	2	jan	jan2	jɐn²¹	
任	任	j	an	2	jan	jan2	jɐn²¹	
寅	寅	j	an	2	jan	jan2	jɐn²¹	
隱	隐	j	an	3	jan	jan3	jɐn³⁵	
忍	忍	j	an	3	jan	jan3	jɐn³⁵	
引	引	j	an	4	jan	jan4	jɐn³³	
釁	衅	j	an	4	jan	jan4	jɐn³³	
印	印	j	an	5	jan	jan5	jɐn⁴⁴	
認	认	j	an	6	jan	jan6	jɐn²²	
刃	刃	j	an	6	jan	jan6	jɐn²²	
閏	闰	j	an	6	jan	jan6	jɐn²²	
潤	润	j	an	6	jan	jan6	jɐn²²	
韌	韧	j	an	6	jan	jan6	jɐn²²	
溫	温	w	an	1	wan	wan1	wɐn⁵⁵	
瘟	瘟	w	an	1	wan	wan1	wɐn⁵⁵	
魂	魂	w	an	2	wan	wan2	wɐn²¹	
雲	云	w	an	2	wan	wan2	wɐn²¹	
云	云	w	an	2	wan	wan2	wɐn²¹	
餛	馄	w	an	2	wan	wan2	wɐn²¹	
勻	匀	w	an	2	wan	wan2	wɐn²¹	
暈	晕	w	an	2	wan	wan2	wɐn²¹	
允	允	w	an	3	wan	wan3	wɐn³⁵	
尹	尹	w	an	3	wan	wan3	wɐn³⁵	
渾	浑	w	an	4	wan	wan4	wɐn³³	
混	混	w	an	4	wan	wan4	wɐn³³	
揾	揾	w	an	5	wan	wan5	wɐn⁴⁴	
穩	稳	w	an	5	wan	wan5	wɐn⁴⁴	
運	运	w	an	6	wan	wan6	wɐn²²	
熨	熨	w	an	6	wan	wan6	wɐn²²	
宏	宏	w	an	7	wan	wan7	wɐn⁵⁵	
弘	弘	w	an	7	wan	wan7	wɐn⁵⁵	
泓	泓	w	an	7	wan	wan7	wɐn⁵⁵	
杆	杆	g	on	4	gon	gon4	kɔn³³	
稈	秆	g	on	4	gon	gon4	kɔn³³	
擀	擀	g	on	4	gon	gon4	kɔn³³	
寒	寒	h	on	2	hon	hon2	hɔn²¹	
韓	韩	h	on	2	hon	hon2	hɔn²¹	
鼾	鼾	h	on	2	hon	hon2	hɔn²¹	
罕	罕	h	on	3	hon	hon3	hɔn³⁵	
刊	刊	h	on	3	hon	hon3	hɔn³⁵	
旱	旱	h	on	4	hon	hon4	hɔn³³	
漢	汉	h	on	5	hon	hon5	hɔn⁴⁴	
看	看	h	on	5	hon	hon5	hɔn⁴⁴	
汗	汗	h	on	6	hon	hon6	hɔn²²	
焊	焊	h	on	6	hon	hon6	hɔn²²	
翰	翰	h	on	6	hon	hon6	hɔn²²	
案	案	ng	on	5	ngon	ngon5	ŋɔn⁴⁴	
按	按	ng	on	5	ngon	ngon5	ŋɔn⁴⁴	
岸	岸	w	on	6	won	won6	wɔn²²	
安	安	x	on	1	on	on1	ɔn⁵⁵	
鞍	鞍	x	on	1	on	on1	ɔn⁵⁵	
邊	边	b	in	1	bin	bin1	pin⁵⁵	
鞭	鞭	b	in	1	bin	bin1	pin⁵⁵	
辮	辫	b	in	1	bin	bin1	pin⁵⁵	
貶	贬	b	in	3	bin	bin3	pin³⁵	
扁	扁	b	in	3	bin	bin3	pin³⁵	
匾	匾	b	in	3	bin	bin3	pin³⁵	
變	变	b	in	5	bin	bin5	pin⁴⁴	
便	便	b	in	6	bin	bin6	pin²²	方~。
偏	偏	p	in	1	pin	pin1	pʰin⁵⁵	
篇	篇	p	in	1	pin	pin1	pʰin⁵⁵	
蝙	蝙	p	in	1	pin	pin1	pʰin⁵⁵	
便	便	p	in	2	pin	pin2	pʰin²¹	~宜。
遍	遍	p	in	5	pin	pin5	pʰin⁴⁴	
片	片	p	in	5	pin	pin5	pʰin⁴⁴	
騙	骗	p	in	5	pin	pin5	pʰin⁴⁴	
棉	棉	m	in	2	min	min2	min²¹	
綿	绵	m	in	2	min	min2	min²¹	
眠	眠	m	in	2	min	min2	min²¹	
免	免	m	in	3	min	min3	min³⁵	
勉	勉	m	in	3	min	min3	min³⁵	
娩	娩	m	in	3	min	min3	min³⁵	
緬	缅	m	in	3	min	min3	min³⁵	
面	面	m	in	6	min	min6	min²²	
麵	面	m	in	6	min	min6	min²²	
顛	颠	d	in	1	din	din1	tin⁵⁵	
癲	癫	d	in	1	din	din1	tin⁵⁵	
點	点	d	in	3	din	din3	tin³⁵	
典	典	d	in	3	din	din3	tin³⁵	
腆	腆	d	in	3	din	din3	tin³⁵	
店	店	d	in	5	din	din5	tin⁴⁴	
掂	掂	d	in	5	din	din5	tin⁴⁴	
簟	簟	d	in	5	din	din5	tin⁴⁴	
電	电	d	in	6	din	din6	tin²²	
墊	垫	d	in	6	din	din6	tin²²	
奠	奠	d	in	6	din	din6	tin²²	
佃	佃	d	in	6	din	din6	tin²²	
殿	殿	d	in	6	din	din6	tin²²	
天	天	t	in	1	tin	tin1	tʰin⁵⁵	
添	添	t	in	1	tin	tin1	tʰin⁵⁵	
甜	甜	t	in	2	tin	tin2	tʰin²¹	
田	田	t	in	2	tin	tin2	tʰin²¹	
填	填	t	in	2	tin	tin2	tʰin²¹	
舔	舔	t	in	3	tin	tin3	tʰin³⁵	
拈	拈	n	in	1	nin	nin1	nin⁵⁵	
鯰	鲇	n	in	1	nin	nin1	nin⁵⁵	
黏	黏	n	in	1	nin	nin1	nin⁵⁵	
年	年	n	in	2	nin	nin2	nin²¹	
碾	碾	n	in	4	nin	nin4	nin³³	
撚	撚	n	in	4	nin	nin4	nin³³	
念	念	n	in	5	nin	nin5	nin⁴⁴	
廉	廉	l	in	2	lin	lin2	lin²¹	
鐮	镰	l	in	2	lin	lin2	lin²¹	
簾	帘	l	in	2	lin	lin2	lin²¹	
帘	帘	l	in	2	lin	lin2	lin²¹	
連	连	l	in	2	lin	lin2	lin²¹	
蓮	莲	l	in	2	lin	lin2	lin²¹	
斂	敛	l	in	4	lin	lin4	lin³³	
殮	殓	l	in	4	lin	lin4	lin³³	
瞼	睑	l	in	4	lin	lin4	lin³³	
輦	辇	l	in	4	lin	lin4	lin³³	
練	练	l	in	5	lin	lin5	lin⁴⁴	
煉	炼	l	in	5	lin	lin5	lin⁴⁴	
楝	楝	l	in	5	lin	lin5	lin⁴⁴	
尖	尖	z	in	1	zin	zin1	tsin⁵⁵	
沾	沾	z	in	1	zin	zin1	tsin⁵⁵	
粘	粘	z	in	1	zin	zin1	tsin⁵⁵	
煎	煎	z	in	1	zin	zin1	tsin⁵⁵	
瞻	瞻	z	in	1	zin	zin1	tsin⁵⁵	
剪	剪	z	in	3	zin	zin3	tsin³⁵	
展	展	z	in	3	zin	zin3	tsin³⁵	
占	占	z	in	5	zin	zin5	tsin⁴⁴	
箭	箭	z	in	5	zin	zin5	tsin⁴⁴	
戰	战	z	in	5	zin	zin5	tsin⁴⁴	
薦	荐	z	in	5	zin	zin5	tsin⁴⁴	
顫	颤	z	in	5	zin	zin5	tsin⁴⁴	
蘸	蘸	z	in	5	zin	zin5	tsin⁴⁴	
賤	贱	z	in	6	zin	zin6	tsin²²	
餞	饯	z	in	6	zin	zin6	tsin²²	
千	千	c	in	1	cin	cin1	tsʰin⁵⁵	
扡	扦	c	in	1	cin	cin1	tsʰin⁵⁵	
遷	迁	c	in	1	cin	cin1	tsʰin⁵⁵	
殲	歼	c	in	1	cin	cin1	tsʰin⁵⁵	
簽	签	c	in	1	cin	cin1	tsʰin⁵⁵	
櫼	櫼	c	in	1	cin	cin1	tsʰin⁵⁵	
錢	钱	c	in	2	cin	cin2	tsʰin²¹	
前	前	c	in	2	cin	cin2	tsʰin²¹	
潛	潜	c	in	2	cin	cin2	tsʰin²¹	
淺	浅	c	in	3	cin	cin3	tsʰin³⁵	
濺	溅	c	in	3	cin	cin3	tsʰin³⁵	
踐	践	c	in	3	cin	cin3	tsʰin³⁵	
漸	渐	c	in	4	cin	cin4	tsʰin³³	
倩	倩	c	in	5	cin	cin5	tsʰin⁴⁴	
先	先	s	in	1	sin	sin1	sin⁵⁵	
仙	仙	s	in	1	sin	sin1	sin⁵⁵	
鮮	鲜	s	in	1	sin	sin1	sin⁵⁵	
膻	膻	s	in	1	sin	sin1	sin⁵⁵	
蟬	蝉	s	in	2	sin	sin2	sin²¹	
禪	禅	s	in	2	sin	sin2	sin²¹	
蟾	蟾	s	in	2	sin	sin2	sin²¹	
簷	檐	s	in	2	sin	sin2	sin²¹	
陝	陕	s	in	4	sin	sin4	sin³³	
閃	闪	s	in	4	sin	sin4	sin³³	
癬	癣	s	in	4	sin	sin4	sin³³	
