#参考资料	《怀宁石牌方言语音系统》
#符号	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平44[3]上声42[5]阴去35[6]阳去33
#ɿ	
tɕ	[1]金今斤巾津矜筋禁襟经京精晶惊荆菁茎鲸旌兢睛[3]仅紧锦谨井颈景警阱[5]进劲晋浸禁烬觐靳镜
tɕʰ	[1]钦侵亲清青轻氢倾卿蜻[2]秦琴勤禽擒情晴[3]寝请顷[5]沁庆罄[6]近竞竟敬静境
ɕ	[1]新心辛鑫欣芯馨锌昕歆薪兴星猩惺腥[2]行型形邢刑荥[3]醒[5]信衅兴{高～}杏幸性姓
Ø	[1]因音阴茵氤殷姻英鹦婴罂樱瑛缨莺瓔膺鹰[2]银吟淫寅龈垠迎盈荧莹萤萦蝇赢赢营盈瀛[3]引尹饮隐瘾蚓颍影[5]印胤应映
#iɑŋ	
ȵ	[2]娘[3]仰[6]酿
l	[2]良凉量{动词}梁粮粱[3]两[6]亮辆靓晾谅量
tɕ	[1]将{～来}江姜浆豆僵缰疆[3]蒋奖桨糨[5]匠酱降将{大～}绛浆犟
tɕʰ	[1]腔羌枪锵[2]强墙蔷襁[3]抢[5]呛炝[6]像
ɕ	[1]乡香相厢湘箱镶[2]翔详祥降[3]想响饷向[6]项象橡
Ø	[1]央泱秧鸯殃[2]杨洋阳羊扬佯徉疡[3]氧痒养[6]样恙漾
#ioŋ	
tɕ	[3]囧炅炯窘迥
tɕʰ	[2]穷琼穹
ɕ	[1]兄胸凶汹匈[2]熊雄
Ø	[1]拥佣庸雍慵臃[2]容荣融蓉榕绒戎溶熔茸嵘[3]冗永咏甬勇涌踊蛹恿俑允[6]用
#u	
p	[1]补卜捕哺[2]不[6]布怖
pʰ	[1]扑铺噗谱[2]葡仆匍菩蒲脯璞莆[3]普朴埔谱圃[6]瀑铺曝埠部簿步
m	[2]模[3]母亩牡姆[5]木目沐牧
f	[1]夫君孵肤敷[2]芙扶茯俘浮辐蜉[3]斧抚府俯辅腐[5]伏福复蝠[6]服符幅付负妇富赴驸阜赋傅{姓}腹缚副覆
k	[1]姑估咕沽孤辜箍菇[3]古鼓谷股[6]顾固故雇锢痼
kʰ	[2]枯窟骷[3]苦[5]哭酷[6]库绔裤
x	[1]呼乎忽唿惚[2]胡糊米囫和狐弧壶蝴湖煳猢鹄瑚葫[3]虎浒唬琥[6]核桃互户护沪瓠
Ø	[1]乌污巫呜诬[2]无吴吾芜梧[3]舞午忤仵妩武捂伍侮[5]屋焐[6]雾误恶痦勿戊兀务悟晤寤骛
#ua	
k	[1]瓜呱[3]寡[5]刮鸹剐[6]卦挂褂
kʰ	[1]夸[3]垮[5]括跨挎[6]胯
x	[1]花哗[2]划华哗喧[5]滑猾[6]化话画桦
Ø	[1]挖哇娲蛙[2]娃[3]瓦佤[5]袜[6]洼
#uo	
Ø	[1]屙挝莴倭涡窝蜗[5]握龌幄[6]沃卧渥斡
#uæ	
k	[5]国帼
kʰ	[5]阔括
x	[6]或活获
Ø	[5]物
#uai	
k	[1]乖[3]拐[5]怪
kʰ	[1]快会{～计}块筷脍哙
x	[2]怀徊淮槐踝[6]坏
Ø	[1]歪[3]崴[6]外
#uei	
k	[1]归圭规龟皈闺硅[3]鬼轨诡癸晷[5]贵瑰桂跪鳜
kʰ	[1]亏岿悝盔窥[2]葵逵魁睽傀[5]匮愧馈喟溃篑聩[6]柜
x	[1]灰诙挥恢珲晖辉麾徽[2]回茴蛔[3]悔毁[5]诲绘荟贿彗晦慧[6]会汇卉讳桧秽惠
ts	[3]嘴[5]最
tsʰ	[1]催崔[3]璀[5]脆萃悴瘁粹翠[6]罪醉摧
s	[1]虽[2]隋绥随遂髓[5]碎祟隧邃穗[6]岁
