#ɿ			
k	[1]官棺觀{參～}冠{衣～}[3]管館莞[5]貫灌罐觀{寺～}冠{奪～}		
∅	[2]桓換宦喚煥[3]碗惋腕宛婉豌緩		
#yn			
t	[1]端[2]段緞鍛[3]短		
t	[2]團{～結，面～}飩臀囤豚[4]斷{決～，砍～}		
n	[2]嫩[4]暖		
s	[1]酸宣喧楦孫[2]旋{漩渦，～風}[3]選損[5]算蒜		
l	[1]□{鑽過}[2]鸞鑾亂□{縫製}[4]卵[5]戀		
tʃ	[1]鑽{～研}專磚尊蹲遵[2]篆傳{～記}[5]纂鑽{電～}撰轉{運～，～動}薦		
tʃʰ	[1]川穿村[2]全泉傳{流～}存[3]喘[5]竄篡串忖寸		
ȵ	[2]原源願[4]軟		
ʃ	[2]船[3]榫		
k	[1]絹捐鵑涓娟[2]倦[3]卷{翻～}卷{試～}[5]眷券		
kʰ	[2]乾拳權顴		
h	[1]圈{圓～，豬～}[3]犬[5]勸		
∅	[1]冤鴛淵[2]完丸圓員緣沿鉛元袁轅園猿懸縣[3]皖院[4]遠阮援[5]怨		
#aŋ			
p	[2]螃滂龐彭膨朋棚鵬[4]棒		
m	[2]盲錳[3]孟猛[4]蟒		
l	[1]唥{毛線}[4]冷		
tʃ	[1]爭箏睜掙淨錚		
tʃ	[1]撐瞠[4]橙{柑～}		
ʃ	[1]生牲笙甥[3]省{全～}		
k	[1]更{打～}耕庚羹耿[4]埂		
ŋ	[2]硬		
h	[1]坑		
∅	[1]盎		
#uaŋ			
k	[3]梗		
kʰ	[5]□{把東西絆倒}		
∅	[2]橫{縱～，蠻～}		
#ɐŋ			
p	[1]崩繃蹦		
pʰ	[1]烹[2]憑{文～，依～}朋硼		
m	[1]掹[2]萌盟		
t	[1]登瞪蹬燈[2]鄧[3]等[5]凳瞪戥		
tʰ	[2]騰譽藤疼		
n	[1]□{疤痕}[2]能		
s	[5]擤		
tʃ	[1]曾{姓～}增憎僧罾僧[2]贈[5]甑		
tʃʰ	[2]曾{～經}層		
k	[1]耿[5]更{～加}		
h	[1]夯亨哼□{敲}[2]恒行{罪～，品～}衡杏幸[3]肯啃		
#iɐŋ			
∅	[2]韌		
#ɛŋ			
p	[2]病[3]餅[5]柄		
tʰ	[1]聽廳		
s	[1]腥[4]醒		
l	[4]嶺[5]靚		
tʃ	[2]淨[3]井		
ʃ	[1]聲		
k	[1]驚[3]頸[5]鏡		
h	[1]輕		
#eŋ			
p	[1]冰兵[2]並[3]丙炳稟秉[5]迸併		
pʰ	[1]拼{～命}[2]平坪評蘋瓶屏萍[5]聘娉拼{打～}		
m	[2]鳴明命名銘茗酩冥螟溟[4]皿		
t	[1]丁盯叮釘{鐵～，～住}汀[2]錠定[3]頂鼎[5]訂		
tʰ	[2]亭停婷廷庭蜓霆[4]艇挺鋌		
l	[1]拎[2]獰寧{安～，～可}[4]擰		
s	[1]星腥猩[3]省{反～}醒[5]性姓		
l	[2]陵淩菱綾令靈零鈴伶翎齡另楞[4]嶺領		
tʃ	[1]征{～求}蒸晶精睛貞偵正{～月}征{～伐}[2]靜鄭靖[3]拯整[5]證症正{～式}政		
tʃʰ	[1]稱{自～，相～}清青蜻[2]澄{～水}懲情晴逞呈程[3]請[5]秤		
ʃ	[1]升[2]乘{～法}繩塍剩承丞成城誠盛{～飯，旺～}[5]勝{～任}勝{獲～}聖		
k	[1]京荊驚鯨經[2]勁{幹～，強～}競徑[3]景警[5]莖境敬竟		
kʰ	[1]傾頃[2]擎瓊		
ŋ	[2]仍迎凝		
h	[1]興{時～}卿馨兄[5]興{高～}慶磬		
#ieŋ			
ȵ	[2]認		
∅	[1]應{～當}鷹蠅鸚櫻英嬰纓鶯[2]盈贏形型刑瑩營瑩螢[3]影映[5]應{響～}		
#ueŋ			
∅	[2]榮[4]永泳詠穎		
#œŋ			
l	[2]娘{爹～}		
s	[1]相{互～}箱廂湘鑲[3]想[5]相{長～}		
l	[2]良涼量{測～}糧梁粱亮諒量{數～}[3]輛[4]兩{～個，斤～}倆		
