IPA	調值	字		
tʰuai	51	腿(~牯:大腿)		
tʰuai	324	待怠殆貸代袋(装到口袋裡)		
tʰuai	24	台(桌子)		
nuai	213	□(~田:用腳在水田裹踩平整)		
nuai	324	耐2		
luai	213	來		
tsuai	55	災栽		
tsuai	51	宰载(年~)崽(兒子)□(得意、威風)		
tsuai	33	再載(~重)		
tsʰuai	213	才材財裁		
tsʰuai	51	彩採睬		
tsʰuai	33	菜在(~圍裡:在家裡)		
tsʰuai	324	在(~乎)		
suai	55	腮		
suai	51	□(~出:掏出)		
suai	33	碎		
kuai	55	該乖		
kuai	51	改拐		
kuai	33	蓋丐蟹(爬~:螃蟹)怪		
kuai	24	□(青~嘚:綠色小青蛙)		
kʰuai	55	開		
kʰuai	51	凱		
kʰuai	33	會(~計)塊快筷		
huai	213	孩		
huai	51	海		
huai	324	害亥		
ŋuai	33	愛藹外(~家:娘家)		
ŋuai	324	礙		
uai	55	歪□(~哉:性格不好相處)		
uai	213	懷(~肚:懷孕)		
uai	51	□(蠻~:很偏僻)		
puei	55	杯卑悲背(動詞)		
puei	33	輩背(~龍骨:脊背)貝		
pʰuei	55	胚坯丕		
pʰuei	213	培陪賠裴		
pʰuei	33	配沛		
pʰuei	324	倍佩背(~書)焙		
muei	55	霉(~豆腐:使豆腐發發黴成乳豆腐)		
muei	213	霉(發~)梅枚媒煤		
muei	51	每		
muei	324	眛媚寐□(~人:騙人)		
fuei	55	恢灰揮輝徽		
fuei	213	回(來~)茴		
fuei	51	悔毁		
fuei	33	□(~奶:喝了的奶水又從胃裡翻吐出來)		
fuei	324	晦匯諱賄繪會(開~)惠慧穗(毓~:人名)		
tuei	55	堆		
tuei	51	□(整~:整数)		
tuei	33	對		
tʰuei	55	推		
tʰuei	51	腿		
tʰuei	33	退蛻褪□(~出:把東西吐出来)		
tʰuei	324	隊兌		
nuei	324	内		
luei	55	□(滾動)		
luei	213	雷□(用頭往前頂)		
luei	51	儡		
luei	324	累銳瑞(~雪)淚類□(~嘚:小的竹蔞，用来装魚)		
tsuei	55	追錐□(鳥、雞等動物啄人)		
tsuei	33	最綴贅嘴		
tsʰuei	55	催崔吹炊		
tsʰuei	213	垂槌錘		
