来源：	《介休（张兰镇）方言音系研究》王树苗著  Vinchi录入增补
Ø	[1]窝=｛鸡~；一～｝危为｛作~｝维惟唯微威围=莴｛~笋｝[3]伪萎｛气~｝委=尾=违伟苇｛芦~｝纬[5]卧-｛～下；死蛇～道｝卫喂=为｛～什么｝位未味魏畏慰胃谓猬兀｛后加量词：～阵.～个｝
#ɛi	
p	[1]埋-｛～人；安～｝牌-｛～～：围嘴｝背｛～书包｝陪｛~随上：随身带｝赔-白｛~菜｝[3]摆 [5]拜稗败辈倍焙｛~干粮｝背｛～书：背诵｝臂｛手~ ｝
pʰ	[1]排｛—~｝牌=｛~位｝胚坯｛土～～｝培陪=赔= [3]裴排｛～队；～[cian]：整理｝[5]沛派配佩
	[1]呆台-｛圪～；窗～台｝抬-｛～起得脑：抬头｝待薹-｛蒜~｝□｛加调料：～盐～醋｝[3]逮｛抓住｝[5]戴胎｛车胎｝贷怠殆代袋带 大｛~夫｝逮｛～捕｝
m	[1]埋=谜-｛猜~｝梅枚媒煤霉玫 [3]买每[5]卖迈妹昧寐
t	[1]呆台-｛圪～；窗～台｝抬-｛～起得脑：抬头｝待薹-｛蒜~｝□｛加调料：～盐～醋｝[3]逮｛抓住｝[5]戴胎｛车胎｝贷怠殆代袋带 大｛~夫｝逮｛～捕｝
tʰ	[1]胎｛胚～｝台=｛天～：～州｝苔=｛舌～：青～｝抬｛~东西｝[3]□｛～觉：睡觉｝[5]态太泰 
n	[1]乃奶=｛~~：祖母｝[5]耐奈=
l	[1]来[3]□｛薄～：因受力不平衡而摇晃｝ [5]赖癩
ts	[1]灾栽材-｛棺~｝裁-｛～缝｝才-｛这~｝斋 [3]宰载[5]再在债寨□｛整～：整齐｝
tsʰ	[1]猜才=材=财裁=豺差=｛出~｝柴=□｛胡~～：指胡须｝[3]彩采睬[5]菜蔡
nᶻ	[1]奶-｛~～：乳房：乳汁：牛奶｝
s	[1]腮鳃柴-｛硬~：劈～｝筛｛~~｝栖-｛~贤谷｝塞｛耳～：耳屎｝[3]□｛摇，晃；圪～；～船船：跑旱船｝ [5]赛晒
tʂ	[3]这｛近指代词：说～说兀｝
k	[1]该[3]改[5]概溉盖丐｛乞~｝
kʰ	[1]开[3]凯慨｛慷～：感~｝楷
ŋ	[1]挨=｛~近；～住｝[3]哀-矮[5]碍爱艾隘□｛下～：打哈欠｝
x	[1]孩=鞋-[3]海□｛碰；～住：~了一下｝[5]亥害骇｛惊~｝解｛晓也:～不下(不明白)｝
Ø	[3]哀=埃｛尘~｝霭｛和～｝
#uɛi	
t	[1]堆[5]对碓队兑
tʰ	[1]推[3]腿[5]退蜕｛蛇～皮｝褪 
n	[5]内
l	[1]雷蕾｛花～｝
ts	[5]罪拽｛拉｝
tsʰ	[1]催崔｛姓｝炊[3]揣=｛~度｝[5]□｛形容人做事拖沓；～媳妇妇｝
s	[1]衰摔揣-｛藏：往里～｝[3]娑｛摸：摩～｝[5]碎帅率｛~领｝蟀
k	[1]乖□｛倒～～：旧时孩子们玩的一种游戏｝[3]拐[5]怪
kʰ	[1]盔-｛锅～｝会｛~计｝跪-｛圪膝～：膝盖｝[3]块□｛~哄：逗引使高兴；哄骗｝ [5]刽块快筷
x	[1]灰回茴｛~香｝怀槐淮徽-□｛逮～~：捉迷藏｝[3]恢悔个-｛量词｝[5]贿晦汇桧会｛开～；～不~｝绘坏惠慧讳汇
Ø	[1]歪喂｛打电话用语｝[3]崴｛~了脚了｝[5]磑｛~房｝外兀｛远指代词：说这说～｝
#əu	
t	[1]都｛~是｝兜头-[3]斗｛名词｝抖陡敨｛展开：～开｝蚪｛蝌~｝枓｛抽～～：抽屉｝[5] 斗｛动词｝豆逗痘｛水~ ｝
tʰ	[1]偷头=投[5]透
n	[1]奴[3]努[5]怒
l	[1]卢炉芦庐｛~山｝楼搂 ｛~取｝耧｛播种用的农具｝笼｛灯～｝□｛地有沙坡～碱，人有气力不圆｝[3]鲁櫓虏卤篓搂｛抱｝[5]路庐｛后～：厕所｝赂露鹭漏陋□｛~壶子：水壶｝ 
ts	[1]租邹[3]祖组走[5]奏皱骤
tsʰ	[1]粗搊｛~起来｝愁=仇｛~人｝[3]醋凑
s	[1]苏酥愁-｛发~｝搜飕馊｛饭~了｝搜｛～集｝[3]叟擞[5]素诉塑｛～像｝嗽｛咳~｝瘦漱｛~口｝
tʂ	[1]稠-周舟州洲粥[3]肘轴[5]昼 纣｛桀~｝宙咒
tʂʰ	[1]抽稠=綢筹酬[3]丑瞅[5]臭｛香~｝
ɳ	[3]扭-｛圪～：胳膊肘｝
ʂ	[1]收[3]手首守[5]兽受寿授售 
ʐ	[1]柔揉[5]肉
k	[1]勾钩沟勾｛~当｝[3]狗苟[5]够 ｛往上～｝构购
kʰ	[1]抠[3]口[5]叩｛~头｝扣｛~住｝寇
ŋ	[1]欧呕｛~吐｝殴怄｛~气｝[3]藕偶｛配~｝ 熰｛食物被火烤得发黑变焦：～了：～巴巴｝[5]沤｛久漫水中｝ 
x	[1]侯喉｛～结｝猴瘊｛~~｝[3]吼[5]後厚后候
#iəu	
m	[5]谬
t	[1]丢
tʰ	[3]□｛用于老师对学生的批评｝□｛滑：~坡坡；脚下滑：这鞋～，雪天就别穿了｝
l	[1]流刘留榴｛石~｝溜[3]柳[5]馏｛~ 干粮｝六□｛~～：男士戒指｝□｛一排：一～桌子｝ 
tɕ	[1]揪｛一把～住｝鸠阄｛抓～｝究[3]酒纠九久韭灸[5]就救臼舅咎旧柩
tɕʰ	[1]秋｛~天｝鞧｛牛~｝囚丘求球仇｛姓｝ [3]瞅-｛长时间地看电视，或在昏暗的光线下 用眼：～黑眼呀 ｝
ȵ	[1]牛[3]纽扭=[5]拗｛犟，固执｝
ɕ	[1]修羞休[3]朽[5]秀绣宿｛星～｝锈｛铁～｝袖嗅｛用鼻子闻｝
Ø	[1]忧优尤邮由油游犹悠幽[3]有 友酉莠[5]又右佑诱柚鼬｛黄~｝釉 幼
#ɔo	
p	[1]玻-｛~璃｝包刨｛～地｝胞｛双~胎｝帮-｛鞋~ 子；搭～：帮忙｝[3]褒｛～奖｝保堡=宝饱[5]报抱=｛怀～｝暴豹爆鲍｛姓｝棒-｛~槌｝雹｛冰~｝曝 
pʰ	[1]袍胞｛细~｝[3]跑[5]泡抛炮｛枪～｝狍剖膀-｛翅~｝ 
m	[1]摩-｛~托｝毛=茅猫锚矛[3]卯牡｛～丹｝毛｛—～钱；～～钱：指一毛钱和五毛钱｝□｛次数。一～；～～｝[5]魔-｛～术｝冒帽貌茂贸
