字	聲母	韻母	調類	解釋
呢	ȵ	iᶽ	2	
宜	ȵ	iᶽ	2	
疑	ȵ	iᶽ	2	
嶷	ȵ	iᶽ	2	
倪	ȵ	iᶽ	2	
霓	ȵ	iᶽ	2	
蜺	ȵ	iᶽ	2	
猊	ȵ	iᶽ	2	
擬	ȵ	iᶽ	3	
膩	ȵ	iᶽ	5	
藝	ȵ	iᶽ	6	
囈	ȵ	iᶽ	6	
儀	ȵ	iᶽ	6	
蟻	ȵ	iᶽ	6	
義	ȵ	iᶽ	6	
議	ȵ	iᶽ	6	
誼	ȵ	iᶽ	6	
竩	ȵ	iᶽ	6	
二	ȵ	iᶽ	6	
貳	ȵ	iᶽ	6	
毅	ȵ	iᶽ	6	
耳	ȵ	iᶽ	6	
日	ȵ	iᶽ	6	
系	ɕ	iᶽ	1	
係	ɕ	iᶽ	1	
繫	ɕ	iᶽ	1	
羲	ɕ	iᶽ	1	
犧	ɕ	iᶽ	1	
曦	ɕ	iᶽ	1	
希	ɕ	iᶽ	1	
稀	ɕ	iᶽ	1	
晞	ɕ	iᶽ	1	
晞	ɕ	iᶽ	1	
莃	ɕ	iᶽ	1	
鵗	ɕ	iᶽ	1	
睎	ɕ	iᶽ	1	
熙	ɕ	iᶽ	1	
熹	ɕ	iᶽ	1	
僖	ɕ	iᶽ	1	
嬉	ɕ	iᶽ	1	
禧	ɕ	iᶽ	1	
喜	ɕ	iᶽ	3	
憙	ɕ	iᶽ	3	
蟢	ɕ	iᶽ	3	
戲	ɕ	iᶽ	5	
醫	∅	iᶽ	1	
譩	∅	iᶽ	1	
噫	∅	iᶽ	1	
伊	∅	iᶽ	1	
咿	∅	iᶽ	1	
黟	∅	iᶽ	1	
衣	∅	iᶽ	1	
依	∅	iᶽ	1	
兮	∅	iᶽ	1	
漪	∅	iᶽ	1	
猗	∅	iᶽ	1	
禕	∅	iᶽ	1	
郼	∅	iᶽ	1	
勩	∅	iᶽ	5	
意	∅	iᶽ	5	
椅	∅	iᶽ	5	
裔	∅	iᶽ	5	
曳	∅	iᶽ	5	
兮	ɦ	iᶽ	2	
移	ɦ	iᶽ	2	
姨	ɦ	iᶽ	2	
遺	ɦ	iᶽ	2	
奚	ɦ	iᶽ	2	
嵇	ɦ	iᶽ	2	
䄬	ɦ	iᶽ	2	
蛇	ɦ	iᶽ	2	
迻	ɦ	iᶽ	2	
衪	ɦ	iᶽ	2	
彝	ɦ	iᶽ	2	
夷	ɦ	iᶽ	2	
痍	ɦ	iᶽ	2	
胰	ɦ	iᶽ	2	
易	ɦ	iᶽ	6	
異	ɦ	iᶽ	6	
又	ɦ	iᶽ	6	
貤	ɦ	iᶽ	6	
㑥	ɦ	iᶽ	6	
玻	p	uᵝ	1	
波	p	uᵝ	1	
皤	p	uᵝ	1	
補	p	uᵝ	3	
譜	p	uᵝ	3	
圃	p	uᵝ	3	
簸	p	uᵝ	5	
布	p	uᵝ	5	
佈	p	uᵝ	5	
怖	p	uᵝ	5	
跛	p	uᵝ	5	
圃	p	uᵝ	5	
鋪	pʰ	uᵝ	1	
潽	pʰ	uᵝ	1	
破	pʰ	uᵝ	5	
頗	pʰ	uᵝ	5	
坡	pʰ	uᵝ	5	
普	pʰ	uᵝ	5	
譜	pʰ	uᵝ	5	
甫	pʰ	uᵝ	5	
浦	pʰ	uᵝ	5	
鋪	pʰ	uᵝ	5	
溥	pʰ	uᵝ	5	
葡	b	uᵝ	2	
蒲	b	uᵝ	2	
菩	b	uᵝ	2	
蔀	b	uᵝ	2	
脯	b	uᵝ	2	
酺	b	uᵝ	2	
婆	b	uᵝ	2	
鄱	b	uᵝ	2	
搫	b	uᵝ	2	
巴	b	uᵝ	2	
部	b	uᵝ	6	
篰	b	uᵝ	6	
簿	b	uᵝ	6	
步	b	uᵝ	6	
捕	b	uᵝ	6	
逋	b	uᵝ	6	
哺	b	uᵝ	6	
孵	b	uᵝ	6	
埠	b	uᵝ	6	
磨	m	uᵝ	2	
魔	m	uᵝ	2	
