#备注：《武鸣县城官话调查报告》 陆淼焱		调号	调类
#符号说明：-白		7a	高入
#调值	[1]³³ [2]²¹ [3]⁵⁵ [5]²⁴ [7a]⁵⁵ [7b]²¹ [9]³⁵	7b	低入
#ɿ		9	借入调
tɕ	[1]将{将来}浆[3]蒋奖桨[5]酱将{大将}匠		
tɕʰ	[1]枪[2]墙详祥[3]抢[5]像		
ɕ	[5]橡{橡树}		
k	[1]疆僵姜礓{礓石}缰{缰绳}姜薑江腔[3]讲[5]降{下降}		
kʰ	[1]羌□{欺负}[2]强[3]强{勉强；倔强}		
x	[1]香乡[2]降{投降}[3]饷享响[5]向		
Ǿ	[1]央秧殃[2]羊洋烊{融化}杨阳扬疡{溃疡}[3]壤{土壤}攘嚷仰养痒[5]让样		

#uaŋ			
ts	[1]庄装桩[5]壮状		
tsʰ	[1]疮窗[2]床[3]闯[5]创撞		
s	[1]孀双[3]爽		
k	[1]光[3]广		
kʰ	[1]匡筐眶{眼眶}[2]狂[5]旷况矿		
x	[1]荒慌[2]黄簧{锁簧}皇蝗[3]谎晃{晃眼}		
Ǿ	[1]汪{一汪水}[2]王[3]网枉往[5]忘妄望旺{火旺}		

#əŋ			
p	[1]崩		
pʰ	[1]烹[2]朋凭彭膨{膨胀}棚		
m	[2]萌		
f	[2]□{飞~~，形容很快的样子}		
t	[1]登灯镫{鞍镫}瞪{瞪眼}[3]等[5]凳邓		
tʰ	[2]誊藤疼特		
n	[2]能		
ɬ	[1]生牲笙甥[2]□{抖~~，发抖的样子}[3]省{省长；节省}		
l	[1]□{毛线}[2]□{栏、围}[3]冷[5]楞		
ts	[1]曾{姓}增僧争筝睁[5]憎赠		
tsʰ	[1]撑[2]曾{曾经}层[5]蹭鋥		
k	[1]更{更换；五更}粳{粳米}庚羹耕[3]哽{哽咽}埂{田埂}梗{茎}耿鲠{如鲠在喉}[5]更{更加}		
kʰ	[1]埯{训读，坑}[3]肯[5]□{行进中被东西磕到}		
ŋ	[5]硬		
x	[1]亨[2]恒衡横{横直；蛮横}		

#iəŋ			
Ǿ	[1]扔		

#uəŋ			
Ǿ	[9]□{量词，块}		

#uŋ			
p	[5]□{数量词，同“大串”，一~葡萄}		
pʰ	[1]蓬{又}[2]篷蓬[3]捧		
m	[1]□{形容食物口感很面}[2]盟蒙木[3]猛懵{懵懂}蠓{蠓虫}[5]孟梦		
f	[1]风枫疯丰封峰蜂锋[2]冯逢缝{缝衣服}[3]讽[5]风奉俸缝{一条缝}		
t	[1]东冬[3]董懂[5]冻栋动洞		
tʰ	[1]通[2]疃同铜桐筒童瞳[3]桶{捅破了}统[5]痛		
n	[1]燶[2]农脓侬{我、你}浓		
l	[1]窿[2]笼聋隆龙[3]拢陇垄[5]弄		
ts	[1]椶鬃{马鬃}宗综{织布机上的综}中{当中}忠终踪钟鐘鍾盅[3]总冢种{种类}肿[5]中{射中}仲众纵{纵横；放纵}重{轻重}种{种树}		
tsʰ	[1]聪忽葱囱{烟囱}充冲舂{舂米}[2]从虫崇从{跟从}重{重复}[3]宠[5]纵{纵容}		
s	[1]松嵩鬆[2]淑[3]怂{怂恿}[5]送宋诵颂讼		
k	[1]公蚣{蜈蚣}工功攻{攻击}弓躬宫恭[3]拱{拱手}巩{巩固}[5]贡汞供{供给；供养}共		
kʰ	[1]空{空虚}[3]孔恐[5]控空{空缺}		
x	[1]轰揈{揈出去}烘{烘干}[2]虹{天上的虹}弘宏红洪鸿虹[3]哄{哄骗}		
ʔ	[1]翁瓮		

#iuŋ			
k	[3]迥{迥然不同}窘		
kʰ	[2]穷		
x	[1]兄胸凶{吉凶}兇{兇惡}[2]熊雄		
Ǿ	[1]雍拥壅庸[2]荣戎绒融茸{参茸}冗{拨冗}容蓉{芙蓉}镕[3]泳咏甬{甬道}勇涌[5]用[9]□{~Ǿiat3Øiat3，形容物体乱的样子，如：头发~ Ǿiat3Øiat3}		

#iŋ			
p	[1]冰兵[3]禀丙秉柄饼[5]迸{迸裂}病並{合並}并		
pʰ	[1]拼{拼命}[2]平坪评瓶屏{围屏}萍[5]聘姘{姘头}		
m	[2]鸣明名铭[5]命		
t	[1]丁钉{铁钉；钉住}疔[3]顶鼎[5]订{订约}锭定		
tʰ	[1]听{听见}厅听{听其自然}[2]澄亭停廷庭蜓{蜻蜓}[3]艇挺		
n	[2]凝{汤凝成冻了}宁{安宁；宁可}[5]佞		
ɬ	[1]星腥[3]醒[9]□{~□，清醒机警}		
l	[1]拎[2]陵凌菱灵零铃伶翎[3]领岭[5]令另		
tɕ	[1]征{征求}蒸精晶睛{眼睛}正{正月}征[3]拯{拯救}井整[5]证症静靖净郑正政		
tɕʰ	[1]称{称呼}清青蜻{蜻蜓}[2]澄惩乘承丞澄情晴呈程成城诚盛{盛满了}[3]请逞{逞能}[5]秤{一杆秤}		
s	[1]升声[2]绳[3]省{反省}[5]剩胜{胜任；胜败}杏性姓蛏{蛏子}圣盛{兴盛}		
k	[1]京荆惊鲸经{经纬}[3]景警颈[5]劲{有劲；劲敌}茎境敬竟镜竞径		
kʰ	[1]卿轻{轻重}倾[2]擎琼[3]顷[5]庆磬{钟磬}		
x	[1]兴{兴旺}馨[2]行{行为；品行}赢形型刑[5]兴{高兴}幸		
Ǿ	[1]应{应当；应用}鹰蝇莺鹦{鹦鹉}樱{樱桃}英婴缨[2]仍迎盈营茔萤荥{荥阳}[3]影映颖[5]应{应付}		

#əp			
m	[7a]□{凹进去}		
t	[7b]搨{搨本}沓{一沓纸}		
n	[7a]□{量词，粒，颗}		
l	[7a]□{厚~，卫生衣}		
ts	[7b]眨{眨眼}[7a]汁		
s	[7a]涩		
x	[7b]合{十合一升}□{合起来}		

#ɔt			
p	[7b]拨钹		
pʰ	[7b]泼		
tʰ	[7b]脱		
n	[7b]挪		
k	[7b]割刮		
kʰ	[7b]渴		
x	[7b]盒滑核𣝗{果子𣝗}		

#ət			
p	[7b]溻{汗溻湿了}		
m	[7b]抹{抹布}抹[7a]□{霉，也指运气不好，霉气}		
f	[7b]发		
t	[7a]□{凸出来}		
l	[7b]蜡辣		
ŋ	[7b]□{ŋəi³³~~，形容很脏}		
ts	[7a]□{塞}		
s	[7b]□{结实}		
ʔ	[7a]□{塞}		
ŋ	[7a]□{形容人傻、笨}		

#et			
p	[7a]□{肚~，肚子}		
pʰ	[7b]撇{撇捺；撇开}		
m	[7b]篾{竹篾}		
t	[7b]叠碟牒蝶谍		
tʰ	[7b]帖{碑帖；请帖}贴铁		
n	[7b]镊{镊子}蹑{蹑脚走}捏		
l	[7b]裂		
ts	[7b]接折{折叠}褶{皱纹}折{折断}折{弄折了}节截		
tsʰ	[7b]切{切开}		
k	[7b]夹挟结		
kʰ	[7a]□{量词，节}		
ŋ	[7b]□{~屎，小气}		
x	[7b]吓{吓一跳}瞎歇吓{恐吓}		

#iet			
Ǿ	[7b]叶热		

#yet			
ts	[7b]绝		
x	[7b]血		
Ǿ	[7b]月越		

#it			
p	[7b]鼻笔		
pʰ	[7b]匹{一匹布}		
m	[7b]密蜜		
tɕʰ	[7b]吃		
s	[7b]湿十实		
ʔ	[7b]日一		

#yt			
ts	[7a]卒{兵卒}		
tsʰ	[7b]出		
			
#ut			
t	[7b]□{ɬən7b~~，发抖的样子}		
k	[7b]骨{筋骨；骨头}		

#ɔk			
p	[7b]薄剥		
tʰ	[7b]托{手承物}		
ts	[7b]凿着{着衣；睡着}啄		
tsʰ	[7a]戳		
s	[7b]缩		
k	[7b]角		
kʰ	[7b]磕壳{壳子}		
ʔ	[7b]恶{善恶}		
Ǿ	[7b]涴{弄脏}		
			
#iɔk			
k	[7b]脚		
Ǿ	[7b]钥{钥匙}[5]药		
			
#ək			
p	[7b]□{~厌，讨厌}		
pʰ	[7b]帕拍		
f	[7a]□{挥动刀或鞭子，如~一刀}		
t	[7b]□{~ʔi⁵⁵，娇气，撒娇}		
l	[7b]勒{勒索；勒脖子}		
ɬ	[7b]□{某一，大约}		
ts	[7b]窄[7a]鲫		
tsʰ	[7b]拆{开}		
s	[7b]虱塞{阻塞}		
k	[7b]格隔		
kʰ	[7b]咳{咳嗽}刻{用刀刻}[7a]□{码头~，台阶}		
ŋ	[7b]讹		

#uək			
kʰ	[7a]镢{镢头}		

#ek			
kʰ	[7a]屐{木屐}		

#uk			
f	[7b]福幅服{佩服}		
t	[7b]独读犊{牛犊子}[7a]□{戳}		
l	[7b]熝六陆绿		
ts	[7b]竹足烛[7a]粥		
s	[7b]熟{煮熟}		
k	[7b]谷穀		
kʰ	[7b]哭		
			
#iuk			
Ǿ	[7b]肉		

#ik			
p	[7b]擘劈		
t	[7b]滴		
tʰ	[7b]踢剔		
l	[7b]栗力		
tɕ	[7b]直织		
ɕ	[7b]蛰{惊蛰}惜石		

#ɔŋ			
k	[7a]公{阿公}		
ŋ	[7a]□{形容人笨、傻}		
			
#at			
p	[7b]□{溶~Ǿiat²¹，形容物体湿烂，如烂泥状}		

#ak			
ɬ	[7b]□{ɬiŋ³⁵~，机警、清醒}		

#iat			
Ǿ	[7b]□{溶pat²¹~，形容物体湿烂，如烂泥状}[7a]□{Ǿiuŋ⁵⁵~~，形容物体乱的样子，如：头发Ǿiuŋ⁵⁵~~}		

			
			
			
			
