#来源	由Pekkhak（啵啵）整理自《吴语处衢方言研究》
#符号说明	?待考
#调值	［1］³³［2］²⁴［3］⁴⁵［4］²²［5］⁵²［6］³¹［7］⁵［8］²³［0］⁰
#ɿ	
tɕ	［1］诸诛蛛株朱硃珠［3］煮主［5］著{显～}註注蛀铸
tɕʰ	［1］蛆［3］取娶手{单说}［5］处{相～}处{到～}
dʑ	［2］除储厨橱［4］柱［6］驻住
ȵ	［2］愚虞娱［4］女语［6］御遇寓
ɕ	［1］疏舒须{必～}鬚{挂～：老生}需枢输{～赢}输{运～}尿［3］暑黍数{动词}［5］絮庶恕署数{名词}□{厨～：厨房}
ʑ	［2］如汝殊儒□{用刀插}［4］绪竖乳［6］序叙聚树
k	［1］居车{～马炮}拘驹［3］举矩
kʰ	［1］区驱
ɡ	［2］渠{～道}巨拒距瞿［4］衢{～州}［6］据俱句具惧
x	［1］靴虚［3］许{或～}
∅	［33］淤吁迂迁［2］爷{老～：义父}於余{姓}余{多～}俞［3］□{看守}［4］盂雨宇禹羽愉{～快}芋{～头}［6］誉预豫喻裕
#uei	
p	［1］卑悲
l	［4］屡蕊垒［6］累{积～}累{连～}类
ts	［1］追锥□{□miɐʔ2水～：潜水}［5］最缀赘
tsʰ	［1］崔吹炊［5］趣脆翠
dz	［6］垂坠
s	［1］虽［3］水{～獭}［5］锐
z	［2］随隋髓谁［6］睡瑞遂隧
k	［1］圭闺规龟轨归{当～}［5］桂季贵
kʰ	［1］亏［3］跪
ɡ	［2］逵葵癸□{□ɡɐʔ2～：傻瓜}［6］溃癸愧柜
x	［1］挥辉徽［3］火{单说}［5］贿毁讳
∅	［1］威熨?{～斗：熨斗}［2］危为{行～}违围［3］委［4］伟苇煒［5］畏慰［6］卫惠慧伪为{介词}位纬魏胃谓猬
#ø	
t	［1］□{树墩}
tɕ	［5］醉□{□buə22～：蜻蜓}
dʑ	［2］蛇锤槌［6］□{尿床}□{不尖}
ɕ	［5］税
ʑ	［2］前{～头}
k	［1］龟{乌～}
kʰ	［5］块{泥□boʔ2～：土块}
ɦ	［2］畦{乡下话}
∅	［1］歪
#o	
p	［1］波菠［3］玻{～璃}
pʰ	［1］颇坡［5］破{～坏}
b	［2］婆［4］婆{妗～：父亲的舅母}薄{～荷}［0］罢{助词，了。韵母有时还读作［ɐ］}
m	［1］摸［2］魔磨摩
t	［1］多［3］朵躲［5］剁
tʰ	［1］拖{～把}［4］妥{～当}椭{～圆}
d	［2］驼驮舵［6］大
n	［2］揉?［6］糯
l	［1］啰{～唆}萝{天～丝：油条}［2］罗锣骡螺脶［4］老{～鸦：乌鸦}
ts	［3］左［5］做
tsʰ	［1］搓［5］锉错{讲～}□{逗}莝{一～黄瓜：一根黄瓜}
s	［1］蓑梭唆［3］锁［5］□{无能}
z	［2］□{下沉}［6］座
k	［1］歌［3］哥
kʰ	［1］可
ɡ	［2］□{傻}
ŋ	［2］蛾鹅俄讹［6］饿卧
x	［1］□{打～：打鼾}［3］下{～包粟：撒玉米的种子}［5］□{大便}
ɦ	［2］河何荷［4］下{上～；～去}黄{～昏：晚上}［6］贺
∅	［1］阿倭鸦{老～：乌鸦}桠下{厅～：堂屋}［3］哑
#io	
∅	［1］□{～儿：现在}［5］□{一下。“一下”的合音}［0］□{一下。“一下”的合音}
#ɐɯ	
p	［1］包胞［3］褒保堡宝饱［5］报豹爆
pʰ	［1］抛脬□{大柚子}［3］泡{名词}跑［5］炮泡{动词}
b	［2］袍鉋{动词；名词}［6］暴鲍
m	［1］毛{～～雨}猫{揢乌鹰～：捉迷藏}□{□nuə22儿～：男孩}［2］毛{～孔}茅猫锚矛［4］卯［6］冒帽貌
t	［1］刀［3］岛倒{打～}倒{～水}［5］倒{坐～：坐着}到
tʰ	［1］滔［3］讨{～论}［5］套
d	［2］掏桃逃淘陶萄涛祷［4］道{味～}［6］道盗导毒?{毒害}
n	［4］脑恼［6］闹
l	［1］捞□{掏}□{龌～：肮脏}［2］劳牢痨［3］佬{乡巴～}［4］老乐?{要}□{～顶：上头}［5］□{要}［6］涝
ts	［1］遭糟［3］早枣爪找□{卷袖口}［5］躁灶罩
tsʰ	［1］操抄钞［3］草{甘～}炒吵［5］糙耖臭
dz	［6］造
s	［1］骚臊梢稍艄［3］燥{干}
z	［2］曹槽［4］皂
k	［1］高膏篙羔糕镐交郊胶蛟教{动词}茭{～笋：茭白}［3］稿搅搞□{手～：胳膊}［5］告教{儒～}较酵窖
kʰ	［1］烤敲骹{脚}铰?{～剪：剪刀}［3］考铐巧［5］靠□{龙头～：小鱼干}
ɡ	［6］□{混杂}［4］狡{～猾}校{～对}
ŋ	［2］熬鳌□{一种大粮柜}［6］傲鏊{～盆：平底锅}
x	［1］蒿［3］好{形容词}［5］好{爱～}孝
ɦ	［2］豪壕毫号{～哭}浩耗［6］号{几～}效校{学～}
∅	［1］坳凹［3］袄懊［5］奥□{往田里灌水}
#iɐɯ	
p	［1］标彪［3］表{～兄弟}錶
pʰ	［1］飘漂［3］票
b	［2］瓢嫖薸［4］婊{～子}
m	［2］苗描［4］藐渺秒杪{树梢}［6］庙妙
t	［1］刁貂雕［3］鸟{～儿}［5］钓吊
tʰ	［1］挑［3］跳［5］粜
d	［2］条调{～和}［4］掉{～车：连枷}［6］调{音～}
l	［2］燎疗聊辽撩寥瞭□{缝衣}［4］了{不得～}［6］料廖
tɕ	［1］焦蕉椒朝{回三～：回门}昭招沼召诏邹［3］剿［5］醮照皱
tɕʰ	［1］超□{～天：聊天}［3］悄俏［5］笑
dʑ	［2］朝{宋～}潮［4］赵兆
ȵ	［2］尧绕{围～}□{掐}［4］鸟［5］饶{上～}
ɕ	［1］消宵霄硝销烧鞘萧箫馊［3］小少{多～}［5］瘦
ʑ	［2］韶愁［6］绍邵
k	［1］骄娇浇［3］绞搅缴饺□{擦}［5］叫□{打霜起～：下霜结冰}
kʰ	［3］撬［5］翘窍
ɡ	［2］乔侨桥荞［4］□{有意为难}［6］轿
x	［1］嚣□{掀}［3］晓［5］□{水蒸气}
∅	［1］妖邀腰要{～求}叫?要{～紧}［2］肴淆摇谣窑姚［3］□{折叠}［4］扰舀［5］叫{动物叫}［6］耀鷂
#əɯ	
m	［2］谋某［4］亩牡［6］茂贸谬
f	［5］否
t	［1］兜篼{笊～：笊篱}丢昼{～□pɑ33：下午}［3］抖陡肘{手腕～：肘}［5］斗{～争}
tʰ	［5］透
d	［2］头{榔～：大铁锤}投［4］稻
l	［1］溜［2］楼流{寒～}刘留榴硫琉［4］缕篓搂柳□{～谷鈀：鈀子}□{～梦：做梦}［6］漏{～斗}陋
ts	［1］周舟州洲［3］走酒帚［5］奏昼咒
tsʰ	［1］秋鳅抽［3］取{索回}丑醜［5］凑
dz	［2］绸稠筹仇酬售［4］就{副词；～业}［6］树{单说}纣宙
s	［1］鬚{鬍～}修羞搜收［3］手{～巾}首守［5］叟嗽秀绣宿{星～}锈□{□pʰæ̃33：勤快}
z	［2］囚泅柔［4］受授［6］寿
k	［1］勾钩沟鸠阄纠{～正}枸{～杞子}［3］九久韭［5］够构购咎灸救究
kʰ	［1］抠丘邱□{□tsʰɪŋ33～：身体}［3］口{人～}［5］叩扣寇
ɡ	［2］求球［4］臼舅{～爸：舅舅}［6］旧柩
ŋ	［2］牛［4］藕偶纽{～子：纽扣}
x	［1］□{哈～：喘气}
ɦ	［2］侯喉猴后{皇～}［6］候
∅	［1］欧呕［5］□{蹲}
#iəɯ	
ȵ	［4］扭
x	［1］休［5］朽嗅
∅	［1］忧优悠幽［2］尤邮由油游又［4］有友酉鱿{～鱼}［5］诱幼蚰{蜒～螺蛳：蜗牛}［6］右佑柚釉□{雪～：霰}
#ã	
p	［1］班斑颁扳般{一～}□{弄直}［3］板版反{～手：左手}［5］扮□{大舌～：大舌头}
pʰ	［1］攀［5］绊盼襻
