临武城关片字表				备注
tɕio	˩	5	借脊[白]	
tɕʰio	˧	1	□[～公～母，岳父母]	
tɕʰio	˩˧	2	邪斜	
tɕʰio	˥	3	且	
tɕʰio	˩	5	谢鹊雀席	
ɕio	˧	1	些	
ɕio	˥	3	写	
ɕio	˩	5	射谢麝赦泻锡卸	
ɕio	˥˧	7	削	
kio	˥˧	7	脚觉[自～]	
kʰio	˩˧	2	茄	
kʰio	˩	5	屐□[跨步]	
kʰio	˥˧	7	却	
xio	˧	1	靴[又]薛[又]	
io	˧	1	药哟钥	
io	˩˧	2	爷	
io	˥	3	野冶	
io	˩	5	夜乐[音～]岳狱若掖液腋	
io	˥˧	7	约跃	
iai	˩˧	2	□[动物粘液]	
iai	˩	5	入	
piəu	˧	1	标彪膘	
piəu	˩˧	2	嫖萍[白]瓢鳔	
piəu	˥	3	表	
piəu	˩	5	畀	
pʰiəu	˧	1	飘漂[～泊]	
pʰiəu	˥	3	漂[～亮]	
pʰiəu	˩	5	票□[行骗]	
miəu	˩˧	2	苗描瞄	
miəu	˥	3	秒渺藐	
miəu	˩	5	妙庙	
tiəu	˧	1	刁叼雕碉貂丢	
tiəu	˩˧	2	条调笤	
tiəu	˥	3	鸟	
tiəu	˩	5	吊钓调掉	
tʰiəu	˧	1	挑	
tʰiəu	˥	3	斢[换]	
tʰiəu	˩	5	跳	
liəu	˧	1	六绿溜氯	
liəu	˩˧	2	刘流硫琉牛疗辽留馏瘤榴聊僚燎嘹潦缭寥	
liəu	˥	3	柳了纽扭钮	
liəu	˩	5	料尿撩镣瞭廖谬	
tɕiəu	˧	1	州洲周召招昭椒焦蕉礁帚舟	
tɕiəu	˥	3	酒□[他，她]剿肘	
tɕiəu	˩	5	照赵兆□[量词，一口]诏咒宙昼	
tɕiəu	˥˧	7	足[够]	
tɕʰiəu	˧	1	锹秋揪抽	
tɕʰiəu	˩˧	2	酬绸稠朝潮仇[姓]畴筹	
tɕʰiəu	˥	3	丑	
tɕʰiəu	˩	5	袖轴兽就臭纣	
tɕʰiəu	˥˧	7	□[～烟筒，旱烟筒]	
ɕiəu	˧	1	收修烧萧箫消销硝稍宵肖霄捎梢羞	
ɕiəu	˩˧	2	韶	
ɕiəu	˥	3	守首手小少[不多]	
ɕiəu	˩	5	秀绣受授绍寿笑少[年轻]邵售啸	
ɕiəu	˥˧	7	宿	
kiəu	˧	1	娇骄纠阄鸠	
kiəu	˥	3	久九韭咬[～饭，吃饭]狡绞饺铰缴矫玖灸	
kiəu	˩	5	究救叫咎疚	
kiəu	˥˧	7	菊	
kʰiəu	˧	1	丘邱蚯	
kʰiəu	˩˧	2	求球桥荞乔侨囚憔瞧樵□[木板翘曲变形]	
kʰiəu	˥	3	舅臼	
kʰiəu	˩	5	轿旧柩	
kʰiəu	˥˧	7	局曲	
xiəu	˧	1	休侥嚣	
xiəu	˥	3	朽晓	
xiəu	˥˧	7	育畜蓄旭	
iəu	˧	1	优忧妖邀腰要[～求]幽悠夭吆	
iəu	˩˧	2	摇谣遥窑油由邮游姚尤犹尧饶肴淆柔[又]	
iəu	˥	3	有扰莠酉友	
iəu	˩	5	诱右又幼要[需～]耀佑绕	
pɪ̃	˧	1	辫[～子]边鞭	
pɪ̃	˩˧	2	便	
pɪ̃	˥	3	扁匾蝙贬	
pɪ̃	˩	5	变辨辩便	
pʰɪ̃	˧	1	篇编[文]偏翩	
pʰɪ̃	˥	3	偏	
pʰɪ̃	˩	5	片骗遍	
mɪ̃	˩˧	2	棉绵眠	
mɪ̃	˥	3	免勉娩冕	
mɪ̃	˩	5	面缅	
tɪ̃	˧	1	颠癫滇巅掂	
tɪ̃	˩˧	2	田填甜恬	
tɪ̃	˥	3	点典碘踮	
tɪ̃	˩	5	电佃垫店惦殿癜奠甸玷淀	
tʰɪ̃	˧	1	天添忝	
nɪ̃	˩˧	2	连莲廉镰帘年怜联言严燃研闫阎	
nɪ̃	˥	3	敛	
nɪ̃	˩	5	炼练念验恋砚楝链酿唁	
tɕɪ̃	˧	1	尖煎毡	
tɕɪ̃	˥	3	展碾剪	
tɕɪ̃	˩	5	占战荐箭颤渐贱[文]践饯溅□[～血，皮下外伤淤血]	
tɕʰɪ̃	˧	1	签千迁歼纤	
tɕʰɪ̃	˩˧	2	前缠钱乾潜黔	
tɕʰɪ̃	˥	3	浅谴遣	
tɕʰɪ̃	˩	5	贱[白]	
ɕɪ̃	˧	1	仙先鲜	
ɕɪ̃	˥	3	鳝[又]	
ɕɪ̃	˩	5	善膳鳝线扇羡腺	
kɪ̃	˧	1	坚艰兼	
kɪ̃	˥	3	检俭捡拣	
kɪ̃	˩	5	剑建健键腱见舰件[量词]	
kʰɪ̃	˧	1	谦牵[文]	
kʰɪ̃	˩˧	2	钳	
kʰɪ̃	˥	3	件[组成部分]遣	
kʰɪ̃	˩	5	欠歉嵌	
xɪ̃	˩˧	2	贤闲[又]嫌咸[又，～蛋]涎	
xɪ̃	˥	3	显险	
xɪ̃	˩	5	献宪现	
ɪ̃	˧	1	腌烟燕淹阉咽奄	
ɪ̃	˩˧	2	延然炎盐檐筵仍蜒	
ɪ̃	˥	3	演掩染[白]衍	
ɪ̃	˩	5	宴厌燕亿□[呼吸困难的感觉]艳堰焰	
ɪŋ	˩˧	2	仁人盈赢寅淫	
ɪŋ	˥	3	引忍隐饮蚓瘾	
ɪŋ	˩	5	认刃纫韧	
tiaŋ	˥	3	点	
liaŋ	˧	1	嬢[～～，对姑、姨辈妇女的尊称]□[故意引起别人想要又不让对方得到]	
liaŋ	˩˧	2	良娘粮梁粱凉量	
liaŋ	˥	3	两俩	
liaŋ	˩	5	亮谅量□[像...一样，这样]辆晾	
tɕiaŋ	˧	1	浆将	
tɕiaŋ	˥	3	奖蒋桨	
tɕiaŋ	˩	5	酱将	
tɕʰiaŋ	˧	1	枪	
tɕʰiaŋ	˩˧	2	详墙藏祥翔	
tɕʰiaŋ	˥	3	抢	
tɕʰiaŋ	˩	5	匠像	
ɕiaŋ	˧	1	襄镶湘厢箱相[互～]	
ɕiaŋ	˥	3	想	
ɕiaŋ	˩	5	象像橡相[照～]	
kiaŋ	˧	1	羌姜	
kiaŋ	˩	5	犟	
kʰiaŋ	˧	1	僵疆腔缰	
kʰiaŋ	˩˧	2	强	
kʰiaŋ	˥	3	强犟	
xiaŋ	˧	1	香乡	
xiaŋ	˩˧	2	降[投降]	
xiaŋ	˥	3	响饷享	
xiaŋ	˩	5	向	
iaŋ	˧	1	央秧殃	
iaŋ	˩˧	2	阳羊扬洋疡杨烊	
iaŋ	˥	3	养痒染[文]仰氧壤攘嚷	
iaŋ	˩	5	让样□[往一种食物的腔体中塞入馅料的食物制作方法]漾	
lioŋ	˧	1	□[量词，表示很少的量]	
lioŋ	˩˧	2	浓	
kioŋ	˧	1	供[～崽读书]	
kioŋ	˥	3	囧窘炅	
kioŋ	˩	5	供[～样，摆贡品祭祀]	
kʰioŋ	˩˧	2	穷	
kʰioŋ	˩	5	共[又]	
xioŋ	˧	1	胸凶匈汹	
xioŋ	˩˧	2	熊雄	
xioŋ	˥	3	恐[白]	
xioŋ	˩	5	嗅	
ioŋ	˧	1	□[～毛，鸡鸭身上的新毛]庸	
ioŋ	˩˧	2	荣融容熔蓉戎茸绒溶榕	
ioŋ	˥	3	拥勇涌冗蛹踊	
ioŋ	˩	5	用佣	
pu	˧	1	波玻菠卜	
pu	˩˧	2	婆	
pu	˩	5	簸	
pʰu	˩	5	破剖	
pʰu	˥˧	7	□[沸腾的汤水或热气顶开锅盖往外溢出]	
mu	˩˧	2	磨蘑	
mu	˩	5	磨没	
tu	˧	1	多都	
tu	˩˧	2	舵驼驮[～细□嘚，怀孕]鸵	
tu	˥	3	躲朵垛	
tu	˩	5	剁惰啄琢涿堕跺	
tʰu	˧	1	拖	
tʰu	˥	3	妥椭	
tʰu	˩	5	拓唾	
lu	˧	1	骆	
lu	˩˧	2	罗锣箩螺脶骡萝逻骡	
lu	˥	3	裸	
tsu	˥	3	左	
tsʰu	˧	1	□[～起，摔断的骨头捅出突起]	
tsʰu	˥	3	坐座	
tsʰu	˩	5	锉措错挫族[又]	
su	˧	1	蓑梭	
su	˩˧	2	谁	
su	˥	3	所锁琐	
ku	˧	1	歌咕	
ku	˥	3	果裹	
ku	˩	5	过个	
kʰu	˧	1	科苛颗棵蝌	
kʰu	˥	3	可坷	
kʰu	˩	5	课货	
kʰu	˥˧	7	□[筒状物品内外翻转]□[下滑，滑塌]	
xu	˧	1	呼窠和[食材搭配]乎	
xu	˩˧	2	何河狐湖胡荷和[～平]弧壶葫	
xu	˥	3	火伙虎浒唬	
xu	˩	5	户互护祸贺沪瓠	
u	˧	1	锅屙呜	
u	˩˧	2	禾鹅	
u	˥	3	□[凸出]	
u	˩	5	饿	
kue	˥˧	7	国	
xue	˧	1	或惑活忽	
xue	˥˧	7	获豁霍	
ue	˧	1	物勿	
ue	˩˧	2	无	
ue	˩	5	务[实词]戊	
tsua	˧	1	抓	有将tsua读tɕya者
sua	˥	3	耍	有将tsua读tɕya者
tsua	˥˧	7	抓	有将tsua读tɕya者
sua	˥˧	7	刷	有将sua读ɕya者
kua	˥	3	拐□[瞎]剐	
kua	˩	5	怪	
kua	˥˧	7	括刮聒	
kʰua	˩˧	2	□[指老人背微弯]	
kʰua	˥	3	垮侉	
kʰua	˩	5	块快筷会蒯刽桧	
kʰua	˥˧	7	挎	
xua	˩˧	2	淮怀划华槐桦哗徊	
xua	˩	5	坏	
ua	˧	1	袜滑猾歪蛙洼娃	
ua	˥	3	□[一～，一边，一半]	
ua	˥˧	7	挖	
tiei	˧	1	□[虚词了，来～，要得～，赴～]	
iei	˧	1	□[语气词，表示怎么可能的意思]	
tuei	˧	1	堆	
tuei	˥	3	趸	
tuei	˩	5	兑队对碓	
tʰuei	˧	1	推	
tʰuei	˥	3	腿	
tʰuei	˩	5	退褪蜕	
luei	˩˧	2	雷蕾	
luei	˥	3	垒屡累篓儡馁蕊	
luei	˩	5	类内累擂	
tsuei	˧	1	追椎锥	
tsuei	˩	5	最坠缀赘	
tsʰuei	˧	1	崔催摧	
tsʰuei	˥	3	罪□[～雨，淋雨]	
tsʰuei	˩	5	脆[文]粹悴	
suei	˩˧	2	□[蠕动爬行]	
suei	˩	5	碎祟	
kuei	˧	1	归规圭闺奎硅瑰	
kʰuei	˧	1	亏盔魁窥	
kʰuei	˩˧	2	逵葵	
kʰuei	˥	3	傀	
kʰuei	˩	5	愧溃	
xuei	˧	1	灰恢辉挥徽	
xuei	˩˧	2	回茴蛔	
xuei	˥	3	悔贿毁	
xuei	˩	5	惠慧会绘汇穗晦秽诲讳	
uei	˧	1	威煨偎薇巍	
uei	˩˧	2	围[文]违为微桅唯维危	
uei	˥	3	伟委萎苇伪纬尾[文]	
uei	˩	5	味胃谓位卫□[将要发生]魏喂未畏尉慰猬蔚	
tsuai	˥	3	□[他家的]	
tsuai	˩	5	拽	
tsʰuai	˥	3	踹揣	
suai	˧	1	衰摔	
suai	˥	3	□[～气，干脆大方]	
suai	˩	5	帅率蟀	
suai	˥˧	7	甩	
kuai	˧	1	乖	
xuai	˥˧	7	□[晃动，摇摆]	
uai	˧	1	歪	
uai	˥	3	□[我家的]	
uai	˩	5	外	
pũ	˧	1	搬	
pũ	˩˧	2	盘	
pũ	˥	3	伴	
pũ	˩	5	半拌	
pʰũ	˩	5	判叛	
mũ	˧	1	瞒	
mũ	˥	3	满	
tũ	˧	1	端	
tũ	˩˧	2	团	
tũ	˥	3	短断	
tũ	˩	5	段缎断椴锻	
nũ	˩˧	2	鸾銮栾峦	
nũ	˥	3	暖卵	
nũ	˩	5	乱糯	
tsũ	˧	1	钻	
tsũ	˥	3	□[捅]□[动词，扎捆]□[一～秆，一捆秆]□[～盖，有了孩子的中年妇女的一种发型]	
tsũ	˩	5	钻	
tsʰũ	˧	1	□[摇摇晃晃站不稳,～眼歇，发困]	
tsʰũ	˩	5	创[白]赚篡纂篆窜撰	
sũ	˧	1	酸闩拴栓	
sũ	˩	5	算蒜漱涮	
kuã	˧	1	关观[又]冠[又]	
kuã	˥	3	管	
kuã	˩	5	贯惯	
kʰuã	˧	1	关	
kʰuã	˥	3	□[舀]	
xuã	˩˧	2	环	
xuã	˥	3	缓	
xuã	˩	5	患幻宦焕唤涣痪换[文]	
uã	˧	1	弯湾豌	
uã	˩˧	2	完还横[白]顽玩	
uã	˥	3	宛舀挽晚惋婉枉	
uã	˩	5	万腕	
tueŋ	˧	1	敦墩蹲饨	
tueŋ	˩˧	2	屯囤臀豚	
tueŋ	˩	5	顿盾吨屯沌钝盹	
tʰueŋ	˧	1	吞	
lueŋ	˧	1	抡	
lueŋ	˩˧	2	论[～语]轮伦沦	
lueŋ	˩	5	嫩另论[议～]	
tsueŋ	˧	1	尊遵增曾□[关节被外力束缚或关节受挫]□[用力吮吸]憎谆	
tsueŋ	˥	3	井[又]准	
tsueŋ	˩	5	赠甑晋俊竣峻骏	
tsʰueŋ	˧	1	春椿村	
tsʰueŋ	˩˧	2	层存曾	
tsʰueŋ	˥	3	蠢	
tsʰueŋ	˩	5	寸蹭	
sueŋ	˧	1	孙	
sueŋ	˩˧	2	旬循巡纯唇[文]醇荀询淳	
sueŋ	˥	3	笋损髓榫省醒吮	
sueŋ	˩	5	顺讯舜逊瞬汛迅驯殉	
kueŋ	˧	1	均君军钧	
kueŋ	˥	3	滚	
kueŋ	˩	5	棍	
kʰueŋ	˧	1	昆坤	
kʰueŋ	˩˧	2	裙群倾琼	
kʰueŋ	˥	3	菌捆顷	
kʰueŋ	˩	5	困	
xueŋ	˧	1	昏婚勋荤兄熏薰晕	
xueŋ	˩˧	2	魂含[白]	
xueŋ	˩	5	训熨混浑	
ueŋ	˧	1	温瘟	
ueŋ	˩˧	2	文纹蚊[文]营闻匀云萤耘荧萤	
ueŋ	˥	3	稳永允尹陨吻紊泳咏颖	
ueŋ	˩	5	问闰润运韵孕[又]□[把动物圈养起来的动作]酝蕴	
tsuaŋ	˧	1	庄装桩妆	有将tsuaŋ读tɕyaŋ者
tsuaŋ	˩	5	壮状	有将tsuaŋ读tɕyaŋ者
tsʰuaŋ	˧	1	疮窗创[伤]	有将tsʰuaŋ读tɕʰyaŋ者
tsʰuaŋ	˩˧	2	床	有将tsʰuaŋ读tɕʰyaŋ者
tsʰuaŋ	˥	3	闯	有将tsʰuaŋ读tɕʰyaŋ者
tsʰuaŋ	˩	5	撞状	有将tsʰuaŋ读tɕʰyaŋ者
suaŋ	˧	1	霜双	有将suaŋ读ɕyaŋ者
suaŋ	˥	3	爽	有将suaŋ读ɕyaŋ者
suaŋ	˩	5	□[～饭，煮得比较干的饭]	有将suaŋ读ɕyaŋ者
kuaŋ	˧	1	光	
kuaŋ	˥	3	广逛	
kuaŋ	˩	5	□[副词形容很酸，酸～□]	
kuaŋ	˥˧	7	□[～你，随你去吧]	
kʰuaŋ	˧	1	框匡筐眶	
kʰuaŋ	˩˧	2	狂	
kʰuaŋ	˥	3	□[空，～手，～坪]	
kʰuaŋ	˩	5	矿旷况	
xuaŋ	˧	1	慌荒	
xuaŋ	˩˧	2	皇煌惶凰蝗簧潢磺璜蟥黄[文]	
xuaŋ	˥	3	谎恍晃幌	
uaŋ	˧	1	汪	
uaŋ	˩˧	2	王忘黄[白]亡	
uaŋ	˥	3	网往	
uaŋ	˩	5	旺妄望[文]	
ty	˥	3	□[用手指着]举[白]	
ny	˩˧	2	鱼渔愚	
ny	˥	3	女语	
ny	˩	5	遇御	
ly	˩˧	2	驴	
ly	˥	3	旅吕侣铝	
ly	˩	5	虑滤泪累[连～]	
tɕy	˧	1	朱珠蛛猪侏诛株诸锥	
tɕy	˥	3	煮嘴咀沮主诅	
tɕy	˩	5	注蛀醉铸贮著	
tɕʰy	˧	1	蛆吹炊	
tɕʰy	˩˧	2	除厨锤槌雏橱垂捶徐[文]	
tɕʰy	˥	3	取柱苎褚储处杵拄娶	
tɕʰy	˩	5	住聚骤趣处脆[白]驻翠矗序叙	
ɕy	˧	1	竖书舒虽殊需须薯输[运送]绥抒枢	
ɕy	˩˧	2	随谁	
ɕy	˥	3	暑鼠水薯黍署曙	
ɕy	˩	5	树遂隧税岁絮绪瑞恕庶墅	
ky	˧	1	居龟车拘鞠驹	
ky	˥	3	举[文]轨鬼矩诡	
ky	˩	5	具距句贵桂据锯剧俱惧巨拒炬	
kʰy	˧	1	区曲趋驱岖躯	
kʰy	˩˧	2	渠	
kʰy	˥	3	跪曲	
kʰy	˩	5	柜去	
xy	˧	1	输[落败]虚墟[太坪～，地名]吁	
xy	˩˧	2	徐[白]	
xy	˥	3	许	
xy	˩	5	酗	
y	˧	1	□[猪栏里稻草和猪粪的结合物]淤迂	
y	˩˧	2	如余于隅禺娱愉逾榆舆围[白]	
y	˥	3	雨与禹予屿宇羽	
y	˩	5	玉喻预芋裕誉豫郁浴欲寓愈吁腻[存疑]	
nye	˧	1	月	
lye	˧	1	律猎率□[驱赶，追赶]劣撵	
tɕye	˥˧	7	卒撮拙爵	
tɕʰye	˧	1	初绝	
tɕʰye	˩˧	2	锄	
tɕʰye	˥	3	楚[～江，地名]础	
tɕʰye	˩	5	助	
tɕʰye	˥˧	7	出	
ɕye	˧	1	梳蔬疏	
ɕye	˥	3	数	
ɕye	˩	5	素数	
ɕye	˥˧	7	术雪述啜[喝]戌说	
kye	˥˧	7	决诀骨蕨觉[又]掘倔绝	
kʰye	˥˧	7	缺屈窟	
xye	˧	1	靴[又]薛[又]	
xye	˥˧	7	血穴	
ye	˧	1	越域曰阅粤	
ye	˥˧	7	哕[打～，干呕]□[懊恼生闷气]	
nỹ	˩˧	2	原源	
nỹ	˥	3	软阮	
nỹ	˩	5	愿	
tɕỹ	˧	1	专砖	
tɕỹ	˥	3	转[改变]	
tɕỹ	˩	5	转[身体动作]	
tɕʰỹ	˧	1	川穿	
tɕʰỹ	˩˧	2	泉传全船椽痊	
tɕʰỹ	˥	3	□[伸出]	
tɕʰỹ	˩	5	传转[物理上的旋转]串	
ɕỹ	˧	1	宣喧	
ɕỹ	˩˧	2	船[又]椽[又]旋	
ɕỹ	˥	3	选癣	
kỹ	˧	1	捐皲車[又]鹃娟	
kỹ	˥	3	卷绻	
kỹ	˩	5	券眷倦绢	
kʰỹ	˧	1	圈	
kʰỹ	˩˧	2	权拳瘸	
kʰỹ	˥	3	犬	
kʰỹ	˩	5	劝	
xỹ	˧	1	掀轩锨	
xỹ	˩˧	2	弦悬玄舷	
xỹ	˩	5	县炫	
ỹ	˧	1	冤鸳渊	
ỹ	˩˧	2	员圆沿铅元园袁辕缘援丸猿	
ỹ	˥	3	远	
ỹ	˩	5	院怨	
