%	又音
？	存疑
ʔyᶽ3	歟与予𢌱與𦦲（與）𠔔（與）藇㦛𢗓（㦛）俁噳麌噢迂傴頨聥栩宇穻（宇）羽雨𠕒（雨）𠕘（雨）𠕲（雨）𩁼（雨）㲾（雨）䣁禹𢁰（禹）𥜼（禹）祤鄅萭㝢瑀楀䨞抌㤤㥚楰𦺮𢈔㼌庾𦳅斞瘐𥦠窳貐圄敔圉語鋙蘌䥏齬篽籞語𢮁𩩘
ʔyᶽ5	語馭御𢓷（御）𢕜（御）禦𡱣悇輿歟𩦡與𢌱（與）𦦲（與）𠔔（與）藇忬悆預蕷𡒊澦𣝑穥礜譽鸒𪋮禺遇𠓱（遇）庽寓媀𤸒䴁嘔蓲嫗饇噢吁𠮲（吁）羽雨𠕒（雨）𠕘（雨）𠕲（雨）𩁼（雨）㲾（雨）芋䨒覦喩喻裕欲（+兪戍切）𠕦𣈯䘱諭？籲漁+玉汙𡫽鄔菸淤瘀𢮁棜飫秗（飫）𩜏醧愈（以主切）䱷䰻
pa1	巴芭岜疤㿬蚆笆羓豝吧鈀盼？八（限 王八彈又）剝擘把搏？
pa2	把？
pa3	把𢃳
pa5	靶弝垻𧟶覇霸𣍸（霸）壩灞欛耙𧟳笆䇑跁𥝧𦫙𩹏𤝡耙跁法佱（法）𣳴（法）灋盼？白𦣺（白）𤼽（白）把伯
pa0	夫（防無切 語已辭）
pʰa1	蚆吧妑舥𧣃葩鈀𤽉皅
pʰa2	爬琶杷筢妑匍
pʰa3	派（限 ，音 ~司）
pʰa5	帊帕（集韻普駕切 帕腹）怕（怖假借）怖悑披
ma1	母麻榪墨？
ma2	麻痲犘㦄𪐎蟆𩔶𪓹嘛𥂓馬𢒠（馬）𩡬（馬）𢒗（馬）模
ma3	馬𢒠（馬）𩡬（馬）𢒗（馬）䣕獁瑪碼𥧓螞鷌鰢罵模駡母嗎（，~啡 英morphine）
ma5	䣕䣖傌䧞禡𢒴（禡）罵㾺駡𧪨驀鬕
ta1	□（tiᶽ~）
ta3	打！
ta5	大𠘲（大）爹盪（限）詐？
tʰa1	它佗他
la1	喃拖拉（拖俗假借）垃（新 俗字俗音 非 當作拉）娜落
la2	拏拿𧦮𧘽蒘詉笯挐摣南（限 ~無）𡴖（南 限 ~無）𡴟（南 限 ~無）挪捼
la3	䋈藞若（俗或書哪 非）𦱡（若）𦱶（若）𧁇（若）
la5	䏧絮若（俗以爲遠指之書音）𦱡（若）𦱶（若）𧁇（若）那？
ka1	加迦珈枷痂家𠖔（家）𡩅（家）𡧚（家）笳𧉪袈葭𨔣跏傢猳犌𤠙𣮫豭貑䴥鴐鎵麚瘕幏蟼茄伽（茄）咖高？
ka2	□（~䳘）𠃛家
ka3	嘏叚假徦暇斝婽椵夏榎瘕檟
ka5	瘕架𦙺𢱈𢉤幏個箇个尬（，音）各？
kʰa1	㤉𣘟䶗𡤫揩（限 ~油 ，音）抲
kʰa2	癿□（爭奪）
kʰa3	跒咖（~啡 葡cafe）
kʰa5	㰤疴𠳌𧩶䛩骼髂𩩱下？丅（下）？𠄟（下）？
xa1	谺颬岈疨蚜呀呵蝦鰕
xa2	鰕？䠍遐假徦瑕碬蕸赮鍜𩋥䫗䪗騢還
xa3	㗿覀閜襾
xa5	㗿𧬱呼唬謑煆㙤嚇罅𧫒丅下𠄟（下）暇下𠄟（下）芐
ʔa1	丫𠜲啞㝞椏䃁烏鴉鵶錏ㄚ哀？家
ʔa2	而陑耏咡峏䎠洏栭胹𦓒輀𨼏髵𩰴𦠌鴯鮞𨎪誀陾𣚊兒（詞綴焉每作輕聲）𠒆唲婼抑？何牙𤘈（牙）乎？虖（乎）？
ʔa3	啞瘂𤺘𡭗尒𨒛爾邇𨖹（邇）耳洱䋙鉺駬𪕔也𠃟（也）亦
ʔa5	覀啞襾亞俹埡䢝婭𣇩㰳氬𦜖稏咡洱珥毦衈餌𩱓刵佴㛅䏪䎶䣵誀𦖢眲二弍貳樲髶
ʔa0	日兒衺下丅（下）𠄟（下）
ʔɔ2（鄉）	而陑耏咡峏䎠洏栭胹𦓒輀𨼏髵𩰴𦠌鴯鮞𨎪誀陾𣚊兒（詞綴焉每作輕聲）𠒆唲
ʔɔ3（鄉）	𡭗尒𨒛爾邇𨖹（邇）耳洱䋙鉺駬𪕔
ʔɔ5（鄉）	咡洱珥毦衈餌𩱓刵佴㛅䏪䎶䣵誀𦖢眲二弍貳樲髶
tsa1	䅊𤶠䐒觰𧬅𪗭奓咤查査浾𦳏抯柤喳渣溠樝㪥皻𥡧𤹡齄齇䶥㸙𠌮挓□（tɕiᶽ1tɕiᶽ1~~）
tsa2	□（昨日合又）
tsa3	觰䋾𥰭厏痄鮓謯槎厏堵赭詐吒（哪吒）咱（北語俗字）偺喒𧨿□
tsa5	䒲奼膪㓃𨶃哆吒䐒灹奓咤𢕮䅊䖳咋（側駕切 咋語聲）笮溠詐醡𨣮榨𨢧蜡齰乍鮓䄍嗻柘蔗樜蟅䗪鷓炙蚱柞祚？借？藉
tsʰa1	𤵾侘哆㗬叉杈䑡𠞊艖鎈餷靫差𢀩（差）䐤車（源邑東）𠦴（車 源邑東）硨扠
tsʰa2	秅茶𡨀𡝐𡝙䅊搽𤶠𥥸𦛝𨼑𣘻䠧荼梌塗䣝查査猹槎㢒苴楂䶥昨？
tsʰa3	奼姹土㨋䰩奲哆鑔
tsʰa5	侘姹詫𧬮䞣斥厈汊杈衩㣾
sa1	沙砂紗桬㲚痧硰裟魦𩊮鯊髿猞畲畬𤰩（畬）籭（山宜切）
sa2	闍邪斜𥍸鍦鉈荼虵
sa3	灑𣶇（灑）𥸗䬷𩜉騇
sa5	嗄𠷚（嗄）𣣺沙𦔯𥁹𣝒舍（限 又 ~子）厙赦？𤆅（赦）？涻騇貰䀅
pia1	□(擬聲 放銃掌擊碰撞之屬)
pʰia1	□(擬聲 放銃掌擊碰撞之屬 或可書𢫦)
mia3	乜哶
tia1	爹□（作嬌媚態）
nia1	若
nia3	忚䟩
tɕia1	加家𠖔（家）𡩅（家）𡧚（家）瘥蒫𣩈䦈嗟𧭨𧬑𧪰𧪘差（嗟）𧨁𨲠罝怚袓㜘謯迦佳嘉假
tɕia3	假賈飷抯
tɕia5	賈價假+架家嫁稼駕𩢟（駕）借唶藉（慈夜切）𧃫（藉）躤䣠褯䤳𧭨𧬑𧪰𧨁𧪘嗟
tɕʰia1	𠋧佉呿㰦
tɕʰia2	㚗伽枷茄斜䔑耶邪衺彊？且？
tɕʰia5	𧻀䞣笡
ɕia1	蝦鰕些
ɕia2	鰕蝦霞□（小牙合 小兒也 ）
ɕia3	𣬕瀉？𣞐
ɕia5	廈丅下𠄟（下）夏暇下𠄟（下）夏𡔰𠍺昰𡕾卸寫䉣蝑灺䵦抯㴬榭
ia1	丫枒椰㭨曰涯耶哀？□（~子 無能受欺者）
ia2	吾𠮣（吾）牙𤘈（牙）伢芽枒蚜衙齖庌呀邪余餘斜䔑琊瑘耶倻椰㭨䓉𦭿揶𦰳釾爺𤕓（爺）𥯘鋣鎁擨若𦱡（若）𦱶（若）𧁇（若）婼
ia3	疋牙厊庌㿿雅虵野冶埜𡐨喏𠰒若
ia5	牙枒齖迓犽砑訝御𢓷（御）𢕜（御）亞射夜𡖍（夜）𠙑（夜）𠙇（夜）鵺偌下約
lua5	䐯
kua1	瓜㧓緺騧媧蝸婐𤓰歄緺騧𧬭諣腡媧蝸
kua2	呱？（鴨鼃之屬叫）
kua3	𨀩冎剮𠊰䈑寡𧤐𦫳𣑍𣐷𥦛𠁥裹
kua5	坬𧬮惴卦挂掛罣詿褂𡐠
kʰua1	夸𠇗𦶎姱䠸侉誇𧥢（誇）䯞胯跨垮跨（俗字）華蕐
kʰua2	□（以利物刮 或可書鏵）
kʰua3	髁垮（俗字）㡁𢄳銙𡕒跨骻
kʰua5	𡕒胯跨
xua1	花蘤（花）華䔢（華）蕐嘩鷨譁𧪮𦶎𠿎𡁑竵𩝨化𠤎（化）𠯒（化）𠏁（化）話𦧵（話）䛡活？𣴠？𣽅？𣸅？
xua2	划找華䔢（華）蕐嘩鋘𧑍鏵驊鷨崋𡼙（崋）樺譁𧮉釫
xua3	□（靡）
xua5	𠤎化𠯒（化）𠏁（化）杹𩲏𩵏諣輠䴹𢦚𡱏觟𦖍黊𩸄蘳稞鱯華䔢（華）蕐㕦崋𡼙（崋）摦樺檴罣絓詿畫𤱪（畫）𨽶（畫）𤲯（畫）澅黊繣孈纗䛡話𦧵（話）噺（はなし）孬
tsua1	撾𥬸檛膼簻髽𩛠侳抓？捉？
tsua2	□（做事ㄚ合）
tsua3	䊬爪㕚（爪）
tsʰua1	脞㛗
tsʰua3	䂳𤔙
sua3	葰𩈥傻儍𧫝耍？唆𤔙
sua5	誜
ua1	哇洼呱畖窊搲（手捉物也）蛙䵷（蛙）娃（烏瓜切）窪溾瀤𪊉洼䴜崴碨蛙䵷（蛙）鼃汙
ua2	𣢉𩨾娃（暫代 北人呼子）譁𧮉譌
ua3	瓦邷佤搲委
ua5	窊攨䠚䶐懀䵳瓦圷（あくつ）
nya1	𦣛+
tɕʰya1	𩨭
ɕya1	𢪎+㗾+
ya1	𦚢+𠏃+
pᴇ1	䠋𢛞
pᴇ3	捭擺𢸇廢
pᴇ5	扒𢳎拜𣬊（拜）𣬓（拜）𢰛（拜）𢴽（拜）𡴬（拜）𢷎庍㠔敗貝（敗）𤖐（敗）罷矲㔥䥯𢞎𢟡猈䢙𠟻（䢙）敗貝（敗）𤖐（敗）贁唄稗粺𪐄杷𦩋韛𣡖𢞎𢟡𤸶憊㶔韝棑□（猶云勿）
pʰᴇ2	俳排牌輫𩑢猈棑牌𥱼犤䱝郫蠯啡
pʰᴇ1	□（踐以足）□（唾棄斥責聲）
pʰᴇ3	□（唾棄斥責聲）
pʰᴇ5	𣎵𣏕𣝁𠂢𣏟派㭛蒎𥿯㵺𣎳湃沸浿啡
mᴇ1	乜
mᴇ2	埋薶㦟霾䁲䚑𩍃
mᴇ3	買蕒嘪鷶㵋哩
mᴇ5	佅勱邁䜕賣𧷨（賣）𧱘䀛韎𣝖（韎）
tᴇ1	懛𪒴呔嬯（徒哀切）袋（限 口~）怠？
tᴇ3	傣等䫂？逮？逯（逮）
tᴇ5	迨殆待怠紿軩𠷂𨽿駘䈚詒大𠘲（大）汏𡊌（汏）㐲軑䲦𪐝釱忕逮逯（逮）代甙𤮼岱帒玳埭𥓏𡍖袋瑇黛黱靆隶酨𨠾？汰遞帶𢄔㯂艜蹛摕蔕跢㿃戴𢨇（戴）貸（北音）
tʰᴇ1	孡治胎𧉟𩬠台邰鮐釐漦大？𠘲（大）？嬯（湯來切）
tʰᴇ2	苔炱菭跆臺颱駘䈚儓𩿡擡薹嬯檯籉𪒴
tʰᴇ3	㘆紿殆□（細白~羊 ）
tʰᴇ5	貸曃儓態大（~斧）𠘲（大）太忕汰肽泰夳（泰）酞鈦戻
lᴇ1	賴。𩓃（賴）。□（侈口）
lᴇ2	㾍能㾢來郲萊逨崍徠猍庲淶棶𤦃𤲓䅘䋱𧳟錸騋鶆麳鯠𪑚𪎂𣮉釐犛𣀗斄𠩬（斄）唻孻（俗字）遺㜨
lᴇ3	乃𠄎疓𠧤𢏩𢎧氖迺倷鼐唻𨦂
lᴇ5	耏佴螚耐鼐𣉘能奈柰萘渿㲡錼𩹟㾢萊逨徠勑睞賚釐䚅誺䓶賴𩓃（賴）𡂖鵣藾瀨㸊䄤𨇆癩籟䲚犡糲？䐯
kᴇ1	㱯䶣侅郂陔垓荄峐姟晐祴絯豥賅該䬵䐩㨟胲剴荄痎階堦喈街湝𦝨稭蝔𩘅鶛䕸𤭧楷𣗀（楷）鍇偕薢街家枷（連~）
kᴇ2	賅？
kᴇ3	改絠頦解檞薢𠎿
kᴇ5	丐匃鈣蓋𤇁（蓋）㧉𠌰摡鈣溉概槩㕢漑槪尬价丯介𠨴戒𢦬（戒）芥㠹㝏玠琾砎畍界疥衸蚧悈䯰𩡺誡䲸魪䁓艐堺解㾏繲薢廨犗𧜅拐箉
kʰᴇ1	侅㱾奒闓開（闓乖字）𨴂（開 闓乖字 ）𨵑（開 闓乖字）㚊揩𢔡𥻄𦂄
kʰᴇ2	□（旣饜氣出聲）
kʰᴇ3	䐩凱塏輆愷暟闓鎧颽𦝨䒓𡢖蒈楷𣗀（楷）𥏪𠢲鍇雉
kʰᴇ5	𨜴𩫀㪡𥎆䳚磕溘愒轄慨闓鎧欬嘅愾喫劾揩烗𤈪𨛖𡢖隑
xᴇ1	𨸜㾂咍懈𢢣（懈）㰨㗨𢓬皆
xᴇ2	豥㨟孩𧻲䠽䱺頦咳鮭嚡榽慀㥟㨙膎鞋䙎鞵縀骸䓳湝蝔瑎鞋諧𩤠龤
xᴇ3	海醢橀𣖻𨡬𥁐蟹䲒？
xᴇ5	𤵽餀㺔𦤦𩹄儗侅亥㧡氦𥩲夆害𢞐妎戤㤥劾瀣懈𢢣（懈）欸譮䜕𢗊𡘌㞒㖑噧齂𦤬䜕謑侅絯駭杞駴㕢解邂衸㳦䦏𤡧薤韰㒠齘瀣䪥解？𨼬？嶰獬澥？
tsᴇ1	𢦏𡿧𢦒𤆎灾災哉才（哉）栽烖𦳦渽睵𦸜𢦔災榸𪘨齊亝（齊）齋者
tsᴇ2	賊？
tsᴇ3	者宰𡪤（宰）𡨧（宰）𠈾（宰）載𡙺（載）䏁縡子（每作輕聲）㜽（子）𢀈（子）𢀉（子）𡐫（子）𣕓（子）解（舊音）𠏰𤢒
tsᴇ5	再𨚵𩛥縡䵧在裁纔栽載𡙺（載）在酨𣿐祭𨝋瘵債㾹眦眥
tsᴇ0	子
tsʰᴇ1	䞗猜偲睵扠搋䞗差𢀩（差）搓𢷼叉芆𠞊靫差𢀩（差）釵㼮𩑐䐤
tsʰᴇ2	才𦬁材財㒲（財）裁䴭纔暫溨鼒査柴祡𥚨（祡）𨌅㾹𪗶茈齜㧘豺𡺵儕麡㜨
tsʰᴇ3	采採彩㥒寀睬綵跐䰂撮
tsʰᴇ5	𣞖蔡𪇭䐆采埰菜棌縩䰂蠆慸蔕𧀱杈訍衩差𢀩（差）㳗瘥𧪘□（肉以肥弛墜 或以為膗）
sᴇ1	毢揌腮噻䚡顋𪃄鰓愢粞𥳧崽篩籭（山佳切）諰崽塞（蘇則切）？
sᴇ2	□(猶言咸)
sᴇ3	𩌦躧
sᴇ5	曬塞賽簺𢞝砦寨洒𨢦䵘曬汛𠱡閷殺+鎩𧜁
ʔᴇ1	□（嘆字 驚訝不滿用之）
ʔᴇ2	崖涯獃□（嘆字 提醒用之 又同陰平而加之）冶
ʔᴇ3	也（亦之誤）𠃟（也）亦𠅃（亦）□（嘆字 諸義詳見字書）
niᴇ1	嬭𡇲（嬭）
niᴇ2	䍲掜誽摨
niᴇ3	㚷嬭𡇲（嬭）
niᴇ5	褹
tɕiᴇ1	皆階
tɕiᴇ3	解
tɕiᴇ5	豸廌𢊁𧳋𦤧械介屆曁（屆）艐（屆）界
iᴇ1	哀埃唉𢚝㶼欸鎄毐𢰇㰪哇洼𠴺娃（於佳切）也𠃟（也）依（烏皆反）
iᴇ2	癌巖嵦㱯皚獃隑剴敳捱啀厓崖猚涯𪘲𩂢娾𩂢然
iᴇ3	欸挨毐㕈娾𧡋𤶗騃唉挨㢊奇矮躷𨱥也𠃟（也）
iᴇ5	哎艾𧰿鴱硋𢣕礙䙷閡𥝌懝儗哎藹靄砹䔽壒𢣏𣩱𣋞曖馤𪕭㤅愛𤔤（愛）𢛭（愛）𢟪僾薆噯嬡璦曖𥴨靉𢟰𦗐𧏹譺睚嗄𠷚（嗄）䬵喝餲欬隘䅬㿄賹𨽴阸呃噫𢤏（噫）猗
kuᴇ2	瘸
kuᴇ1	乖𠁰（乖）𦮃䓙𠦬㾩𦫳
kuᴇ3	踝𦫳枴柺𡐠𠁥
kuᴇ5	㧔怪恠𥑋䃶（𥑋）𡌪壞（毀也）𡎯（壞）𣀤𣀩𦳋夬叏䈛獪挂會（~計）𣌭（會）㞧（會）𠃐（會）㣛（會）𣥈（會）
kʰuᴇ1	絓𦹬䓙咼喎䦱匯㨤㔞攜擓
kʰuᴇ3	蒯
kʰuᴇ5	塊噲𥵊璯駃𢘦快筷𥢶凷塊𡓤墤䈛㕟蕢𤆂（蕢）嘳嬇
xuᴇ1	虺虫（虺）
xuᴇ2	蛔淮槐褢褱㠢瀤懷㜳櫰𤜄𧞷蘹𪊉鼃？壞（壞隤）𡎯（壞）
xuᴇ3	扮（亂也）？□（揮也）
xuᴇ5	諣？咶？咶？𣸎？𧱳？𣟉？躛？𡎯壞（自毀也）蘾
tsuᴇ2	轉（暫代）□（做事也合）
tsuᴇ5	㧳
tsʰuᴇ1	衰𠆂（衰）𠌺（衰）夊揣？𢭍（揣）？崔
tsʰuᴇ2	尵𩓬膗𢶀
tsʰuᴇ3	揣𢭍（揣）㪜
tsʰuᴇ5	㿷𠽶？𣤌？䴝？嘬？
suᴇ1	榱衰𠆂（衰）𠌺（衰）摔𤸬䭨䪎
suᴇ3	□（揮也）
suᴇ5	率（所類切）卛（率 所類切）帥䢦（帥）
uᴇ1	歪（竵俗字）竵癐
uᴇ2	□（招呼聲）
uᴇ3	
uᴇ5	外𡖄（外）䠿顡䶐壞（鄉又）
pɪ1	襬陂波碑𥓓㽡㗗藣𥶓𨰟詖𤜑𨧦錍焷𥀍䴽羆𥀦（羆）𥀧（羆）𤰞卑埤𢃍鵯𩔹痺裨鞞箄𣴪渒錍椑悲臂杯𠤯（杯）盃桮背揹悂㡙𥏠𨻼豍䚜鎞狴𦱔梐篦箄𦀘螕被㯅被
pɪ3	棐□（戾也）
pɪ5	柲比（兵媚切）夶（比）𣬅（比）粊𡛗邲毖䀣䉾閟鉍鄪䪐費沸泌祕秘披轡𤰇俻𤰈備𠈍（備）㣁𣖾犕㸢糒鞴奰贔𡚤𩇯䨽絥韍䑄被㢰鞁髲旇𤿙鐾避𨓶（避）𢕾（避）辟𨐝貝𢂏𣬪㸬狽䟺鋇垻䰽唄茷芾𨙶伂沛㤄𥄔軷跋䟺旆背誖𢨋（誖）褙輩琲痱𢳁孛北邶苝背（補妹切 蒲昧切）悖鄁偝焙𤊷𤉮㻗誖𢨋（誖）𢂤蔽鄨鷩彆㡀敝弊𡚁幣獘斃罷被閉倍蓓俖畢（！%）
pʰɪ1	坏肧胚衃𤬃醅𩵣㾦坯抔啡
pʰɪ2	棓徘輫陪培婄毰𤗏𩑢䣙坏裵裴𨛬賠錇
pʰɪ5	襬帔秛沛㤄𥄔浿霈妃朏𣍧（朏）胐配嶏潎佩珮啡
mɪ2	眉𥅮（眉）郿葿嵋睂猸湄瑂楣矀攗蘪𤃱鶥黴𦗕麋糜麿薇㵟䉠覹玫枚𣏽莓脄梅𣐥（梅）脢䍙媒腜䊈煤禖酶塺霉鋂䤂玟槑呆（槑省）明（限 ~箇子）朙（明 限 ~箇子）墨
mɪ3	美渼媄媺鎂𤛎每挴浼䜸燘潣
mɪ5	媢寐郿鬽媚𡡚（媚）煝魅𢑘（魅）蝞篃嚜䉋娓沬湏（沬）昧𣆜（昧）枺眜㭑瑁㺺（瑁）𤣽（瑁）莓脢䍙黴每䆀眊妹昧𣆜（昧）眛痗袂茅旀
fɪ1	非飛𩙱𦐭飝猆扉匪𩙲緋餥馡騑騛𩹉誹妃菲婓𥇖裶霏䬠騑䩁啡（咖~ 洋文coffee）
fɪ2	賁肥淝𩇯腓𤷂䈈蜰蟦痱裵裴𨛬棐
fɪ3	蜚餥蜰匪榧䕁篚菲𩦎朏𣍧（朏）奜䨽悱蕜斐啡（嗎~ 洋文 morphine）
fɪ5	𧙂䟛鯡誹芾疿㹃䛍𩰾茀昲費𣙿鐨靅髴䊧蟦陫䒈䆏橨膹菲蜚腓蟦𩇪翡𧕿㔗狒䀟𥄱萉𡌦䨾屝費痱𤲳𧌘䠊㵒𦦔䆏𥝋黂怫袚廢橃𤼺癈𥳊䚨䉬祓砩杮肺䑔㤄茷吠𩵥鼣
kɪ3	給
kʰɪ5	去
ʔɪ1	噫𢤏（噫）
sɪ1	兮（限）
tɪ1	爹之（每作輕聲）㞢（每作輕聲）
tɪ2	點
tɪ3	只（每作輕聲）𠮡者（每作輕聲）？
tɪ5	對（又）
tɪ0	之㞢只者？
nɪ3	爾𡭗伱尒
kʰɪ5	去
tɕiɪ1	遮
tɕiɪ3	姐她（姐）毑（姐）
tɕiɪ5	借
tɕʰiɪ1	車𠦴（車）奢
tɕʰiɪ2	衺邪斜（新）前（限 ~箇子）歬（前）𣦃（前）
tɕʰiɪ3	且𠀇（且）𠀃（且）撦
tɕʰiɪ5	笡
ɕiɪ1	賒
ɕiɪ2	佘佘余它蛇奢（食遮切）
ɕiɪ3	寫捨
ɕiᶽ3	萆䈚枲葸𤟧𠪙諰𠈈𢇌徙𡕝（徙）𨗬（徙）𡲴（徙）蓰壐璽史㕜（史）
ɕiɪ5	卸寫瀉社𥙲（社）䄕（社）𥙭（社）舍赦𤆅（赦）射謝豫䠶麝
iɪ1	噫𢤏（噫）
iɪ2	爺𤕓（爺）宜（便~又 ）𡪀（宜 便~又）𡨆（宜 便~又）𠣨（宜 便~又）
iɪ3	野埜（野）𡐨（野）壄惹冶
iɪ5	夜𡖍（夜）𠙑（夜）𠙇（夜）液意（限  生~又）
tuɪ1	搥鎚𠂤堆𢈹𡸠𡸬𡻛𡺾垖塠嵟𡏩磓𩈜鴭䭔䜃頧敦𢼪（敦）𠧈（敦）㪟𠩰
tuɪ3	𡑈頧䇏𦞙謉對
tuɪ5	祋碓對𡭊𠏮𣝉轛錞陮𦶏𨯝瀢錞隊憝𢥲（憝）薱濧䯟譈𩐌䨴䨺鐓憞䃍兊兌㟋綐𩊭銳脫
tʰuɪ1	推𨋱蓷㞜𨌴藬㷟
tʰuɪ2	墤㢈隤尵頹頽𤗴魋㿉𧝋蘈蹪穨𧮓
tʰuɪ3	僓㞂㱣脮腿骽㟎聉
tʰuɪ5	𨓤𡯵退𨓆（退）𨑧（退）𢓇（退）𨔫（退）𢓴㥆兌裞娧蛻駾毻
luɪ1	擂？勒？
luɪ2	嫘縲瓃虆𡿔𡤯欙𤜖𥍔纝樏纍儽㶟鸓㠥羸𡰠𡰟厽垒絫樏䉂累㨎擩甤䅑緌蕤桵捼䬐痿𨡌𢅼捼雷𤴐（雷）𩇓（雷）𤳳（雷）䨓（雷）𩄣（雷）㗊（雷）𤴑（雷）𩂩畾檑𤮚㔣瓃櫑𦌵罍𦉩（罍）鐳轠儡鑘擂靁
luɪ3	轠耒誄𡻭藟壘𤢹櫐蘽讄㶟鸓蜼猚㼏餒𩗔鮾浽娞脮餧郲櫑礧䣂𨻾磊𡼊蕾磥儡𡾋癗㵽𦢏鑘頛屢𡜸（屢）甤蕊？繠？蘂？甤
luɪ5	㨅㢻諉瓃垒纍淚類蘱禷䇐率卛（率）𦝭累內（奴對切 而銳切）𡗠（內）内檑㔣礧耒䣂儽䒹酹銇擂錑攂𥣬纇蘱𡔇㲕酹頪㱻兌䬽䓲蜹睿銳㭇叡壡（叡）䜭（叡）銴鈉芮汭枘蚋蜹笍䄲說
kuɪ1	皈㱕歸𤾤（歸）騩規䂓槼𨾚鳺巂雟摫槻𩓡𩓸鬹𠃾𤕣螝𪚦龜𠁴（龜）騩鱖頄䟸媯嬀溈潙䐩瑰膭𠐤𤪿瓌鞼櫰䕇傀圭邽茥珪㰪胿𡌲窐袿𦓯閨𨾴鮭𪊧洼
kuɪ3	氿宄𡧫（宄）𡧌（宄）𠬚（宄）𧗝軌𨑍（軌）匭𠥗晷𣷾厬簋頯朹㔲庋佹䣀䃽陒垝恑姽庪祪蛫觤詭䤥𪀗譌蟡攱洈桅鬼𩲡（鬼）𢇼（鬼）𣆠（鬼）癸𤼩（癸）湀嫢湀揆𢜽楑䣀果柜
kuɪ5	螝騩䁛頍愧媿聭謉餽規瞡瞡垝𢈌支攱僞䞈㩻貴𡭙（貴）𧸋（貴）瞶𠐽跪猤悸痵𡬄𠊾櫃鞼𩌃𦆠匱蕢𤆂（蕢）樻餽簣饋𠩸（饋）臾𠀐𢶒䐴劊禬襘會？𣌭（會）？㞧（會）？𠃐（會）？㣛（會）？𣥈（會）？澮𣴯（澮）𣲸（澮）檜癐巜儈鄶獪廥膾旝䯤鱠鬠䐴䈐簂𪏤蔮幗慖刏𣱚（刏）刉憒䵋簣劌𨇙鱖𠜾蹶𤜂𤜂罣昋𣧎炅𤰮桂筀䳏決炔䣀矩柜（~州 今或妄書貴字 非）
kʰuɪ1	窺闚戲虧𧇾蘬𦺕（蘬）巋蘬𦺕（蘬）𧢦恢㷇詼𥲖悝盔顝魁𩲔（魁）茥鮭湀刲𠝥㨒聧䯓𡐠奎䖯楏暌睽蝰藈
kʰuɪ2	𠐽艽𧢦𢌳逵𠊾頄馗𨾗𦝢戣䟸𣦞頯鍨騤夔躨犪鄈葵𢜽楑𦝢𧍜𩹍䳫顝傀磈䫥㚍踩□（擊也）
kʰuɪ3	跪𣄲蘬𦺕（蘬）巋䞨頍跬䠑缺決𦈫𥁍𧖫（𥁍之譌）
kʰuɪ5	䙡𥽂𧝷𨌗尯喟𠷝（喟）嘳樻䙡䯣䰎腃觖堁凷凷𥢶𦖥聵𩔀𥏙潰䙆闋
xuɪ1	墮蘳隓隳䜐眭睢觿鑴婎倠眭睢𢊄揮𢱳（揮）𤟤楎暉煇幑輝㫎翬徽𢾰（徽）瀈鰴褘噅戲麾𩻟𪎮䧦撝䁤虫𩄁虺婎睢毀𣪷（毀）毁卉泋芔𠦪諱孈燹豷恢灰虫虺豗䖶㾯鼽鼿睳隋
xuɪ2	瑰佪徊槐𤜡回囘茴迴洄蛕蛔𩢱烠蚘廻窐巂𪈥黊畦眭䙵雟酅蠵觿鑴㔒驨䀘𣫴𡸔𦋅𩰳𢥘𡰢讗纗規匯
xuɪ3	蛕䏨悔𠧩（悔）虫虺毀𣪷（毀）毁𡢕毇檓㩓燬譭𥶵𠷏烜䁤𤈦𩃾卉
xuɪ5	恚㜇秏𣴵悔𠧩晦詯誨沬𠲯（誨）𩔁靧痗頮渙噦翽𧬨鐬濊䢈禬會𣌭（會）㞧（會）𠃐（會）㣛（會）𣥈（會）檜（北音）燴𨘇繪螝膭迴䛛詯殨繢䜋闠嬇蚚䔇僓薈嬒瞺䶐濊懀䵳喙𣨶䂕𤸁餯顪𧾣彗嘒暳嚖惠𦻇（惠）𢡘（惠）𢞯（惠）①（惠）慧蕙潓憓橞㩨蟪𦒎譓儶鏸繐隋（謂神前所沃灌器名）㷄賄𧶅燘溾輠匯瘣䕇䜋㱱𨝀廆
tsuɪ1	腄箠㩾追䨨娺嶉檇劑𠜸（劑）臇𤎱㷷𦸺䮔㭰萑隹㮅錐騅鵻𪋇䶆脧𡱥䘒摧嗺
tsuɪ2	賊（昨則切）
tsuɪ3	濢璻臎嗺噿㭰觜嘴捶棰箠𦓝沝䮔洅嶊
tsuɪ5	娷諈轛鎚懟墜醉檇惢㠑𤢍惴𦥻𦦇夎綷𢃒晬祽𪓌捘𢃒最𣤜（最）撮𧎹罪𡈚（罪）辠㠑蕞𥳣啜輟𨌸（輟）卂笍腏䄌畷醊錣餟𨮱𧑎㨹蕝𠭥贅𧷌（贅）𧸆（贅）甀垂硾膇縋
tsʰuɪ1	吹炊𨨢龡䶴𪛑崔催鏙𨻵𢕘𧽠縗推蓷
tsʰuɪ2	瘸桘槌顀鎚椎錘鬌甀腄槌錘甀隋隨𨼕（隨）遀（隨）追（隨）遺𥶻崔摧慛槯檇茄（限 又 ~子）伽（茄 限 又 ~子）
tsʰuɪ3	趡𨿐踓洒漼璀皠鏙𣿓𣿒䊫𥼺□（力折之）
