ID	声	韵	调	字	注释	声母序	韵母序	带注释的字	韵母
381	z	i	8	惹		16	2	惹	#i
382	z	i	8	射		16	2	射	#i
4599	z	i	8	□	跑	16	2	□{跑}	#i
383	tɕ	i	1	遮		17	2	遮	#i
384	tɕ	i	1	鸡		17	2	鸡	#i
385	tɕ	i	1	支		17	2	支	#i
386	tɕ	i	1	枝		17	2	枝	#i
387	tɕ	i	1	肢		17	2	肢	#i
388	tɕ	i	1	肌		17	2	肌	#i
389	tɕ	i	1	饥		17	2	饥	#i
390	tɕ	i	1	讥		17	2	讥	#i
391	tɕ	i	1	基		17	2	基	#i
392	tɕ	i	1	猪		17	2	猪	#i
393	tɕ	i	1	稽		17	2	稽	#i
394	tɕ	i	1	桅		17	2	桅	#i
395	tɕ	i	1	只	量词	17	2	只{量词}	#i
396	tɕ	i	1	脂	～脂	17	2	脂{～脂}	#i
397	tɕ	i	1	几	茶～	17	2	几{茶～}	#i
398	tɕ	i	1	机		17	2	机	#i
399	tɕ	i	3	己		17	2	己	#i
400	tɕ	i	3	纸		17	2	纸	#i
401	tɕ	i	3	煮		17	2	煮	#i
402	tɕ	i	3	挤		17	2	挤	#i
403	tɕ	i	3	纪		17	2	纪	#i
404	tɕ	i	3	姐	文	17	2	姐{文}	#i
405	tɕ	i	5	借		17	2	借	#i
406	tɕ	i	5	蔗		17	2	蔗	#i
407	tɕ	i	5	锯		17	2	锯	#i
408	tɕ	i	5	祭		17	2	祭	#i
409	tɕ	i	5	济		17	2	济	#i
410	tɕ	i	5	制		17	2	制	#i
411	tɕ	i	5	际		17	2	际	#i
412	tɕ	i	5	计		17	2	计	#i
413	tɕ	i	5	继		17	2	继	#i
414	tɕ	i	5	冀		17	2	冀	#i
415	tɕ	i	5	骥		17	2	骥	#i
416	tɕ	i	5	记		17	2	记	#i
417	tɕ	i	5	剂		17	2	剂	#i
418	tɕ	i	5	忌		17	2	忌	#i
419	tɕ	i	5	既		17	2	既	#i
420	tɕ	i	5	系	～鞋带	17	2	系{～鞋带}	#i
422	tɕ	i	5	穄		17	2	穄	#i
423	tɕ	i	5	寄		17	2	寄	#i
424	tɕ	i	5	挤		17	2	挤	#i
4604	tɕ	i	5	□	装，容纳	17	2	□{装，容纳}	#i
425	tɕ	i	7	织		17	2	织	#i
426	tɕ	i	7	职		17	2	职	#i
427	tɕ	i	7	积		17	2	积	#i
428	tɕ	i	7	绩		17	2	绩	#i
429	tɕ	i	7	脊		17	2	脊	#i
430	tɕ	i	7	即		17	2	即	#i
