来源	《安徽巢湖方言同音字汇》，“胖丁”整理修改
ʂ	②纯唇｛「脣」俗字｝脣淳醇③吮⑤顺｛文讀｝舜瞬
ɻ	②绒戎茸
k	③滾袞輥鯀磙｛「輥」俗字丨石~｝緄⑤棍
kʰ	①坤昆鲲③捆⑤困睏
x	①昏惛婚葷②魂渾横｛又音｝餛③混⑤混｛~日子｝鯶｛魚名｝
	①温瘟翁嗡②文闻雯纹蚊③稳吻刎紊抆｛拭也｝⑤问汶瓮
	#yən
ʨ	①肫｛鳥禽臟也丨胃臟｝窘军君均钧③炯炅菌⑤俊骏郡峻竣菌｛訛音｝
tɕʰ	②群裙琼③倾顷
ɕ	①熏勋薰曛②巡循旬荀询⑤训逊讯驯殉汛順｛白讀｝
j	①晕氲②云芸雲匀耘③允陨殒永泳咏⑤运韵蕴孕酝熨润{白讀}晕
	#ɒ̃
p	①帮邦梆③綁｛俗字丨「紡」俗字｝紡｛縛也丨今作「綁」｝榜膀⑤傍棒蚌磅塝｛~田｝泵
pʰ	①滂乓｛新字｝②旁螃庞彷膀｛~胱｝⑤胖肨
m	②忙芒茫盲氓邙③莽蟒
f	①方芳②房防妨｛又音｝③访仿妨纺⑤放
t	①当铛裆③党挡⑤当荡砀宕趤｛逸行也｝
tʰ	①汤②堂糖唐棠塘傏｛~突｝螳③倘躺｛「踼」俗字｝踼｛俗字「躺」｝淌⑤趟｛「逿」俗字｝逿｛俗字「趟」｝烫
l	②狼郎廊琅囊③蕩｛白讀｝朗□{惡~}盪｛同蕩｝⑤閬浪㫰｛曝也｝㚂蕩｛打~丨又上聲｝
ʦ	①髒臧奘贓⑤葬臟藏｛西~｝奘
ʦʰ	①倉蒼滄傖②藏⑤蹭｛摩之急也丨字存疑｝
s	①桑喪｛~葬｝③嗓搡⑤丧
tʂ	①张章璋漳蟑獐樟③长｛成~｝掌涨⑤丈杖帐障胀
tʂʰ	①猖昌倀②長｛~江｝嫦常腸徜嘗裳場③廠場｛新音丨廣~｝敞昶氅⑤倡唱悵暢
ʂ	①傷商殤熵③赏曏晌｛「曏」俗字｝⑤上尚
ɻ	②瓤穣③酿壤攘⑤让
k	①剛鋼崗缸肛岡江罡杠豇③港岗埂{田~}⑤杠虹｛白讀｝行｛~路丨有疑｝
kʰ	①康糠粇｛同「糠」｝穅㝩②扛③慷⑤炕囥｛藏也｝阬亢抗粇
x	①夯｛䂫俗字｝②行杭｛排~｝航⑤项巷
ŋ	①肮②昂⑤盎
	#iɒ̃
ȵ	②娘梁良量｛動詞｝凉粮粱③仰兩｛斤~｝魉⑤量｛重~｝亮辆谅釀
tɕ	①将姜僵疆缰③讲蒋奖桨⑤犟降｛~落｝酱匠將｛~帥｝勥
tɕʰ	①腔槍羌嗆鏘蹌②墙强蔷祥详降｛投~｝翔③抢强彊
ɕ	①相｛~互｝香乡湘箱镶襄③想响享饷⑤相｛面~｝向像象橡
j	①鸯央秧䬬｛飽食也｝鞅②阳杨姚｛地名：~廟｝扬洋羊③养氧痒⑤样漾恙
	#uɒ̃
tʂ	①装庄妆桩③奘{粗大}⑤状壮
tʂʰ	①窗疮②床□{上下摇晃}③闯⑤创
ʂ	①双霜③爽
k	①光③广⑤逛
kʰ	①框匡筐诓②狂诳⑤况旷矿眶
x	①慌荒②黄皇煌惶璜磺凰蝗③谎愰⑤晃
	①汪②亡王③往枉网惘⑤望忘妄旺
	#æʔ
p	八拔
f	法乏发伐罚筏
t	答搭沓达
tʰ	塔踏
l	蜡腊捺辣
ʦ	杂砸｛㩵俗字｝㩵
s	撒萨靸
tʂ	扎眨札铡煠閘｛「牐」俗字｝牐
tʂʰ	插察
ʂ	杀煞
k	夹
kʰ	掐
x	瞎辖
ŋ	鸭
	押压
	#iæʔ
tɕ	甲匣
tɕʰ	恰
ɕ	狭侠
j	押｛又音｝压｛又音｝
	#uæʔ
ʂ	刷
k	刮
x	滑猾划
	挖｛「穵」俗字｝袜穵｛俗字挖｝
	#eʔ
p	北百柏伯白帛
pʰ	拍迫魄
m	陌麦
ʦ	宅窄摘择
ʦʰ	泽拆策侧测册
s	色
tʂ	折哲蛰折浙
tʂʰ	撤
ʂ	摄涉舌设
k	葛鸽格革隔
kʰ	磕客
x	合赫吓核
ŋ	额扼
	#ieʔ
p	别鳖憋
pʰ	撇
m	灭蔑
t	跌叠碟
tʰ	贴帖蝶铁
ȵ	聂镊蹑猎列烈裂捏孽劣拟
tɕ	接捷劫节截揭结洁
tɕʰ	妾怯切
ɕ	胁泄歇
j	业噎叶页
	#ueʔ
ɻ	热
	#yeʔ
tɕ	绝决诀厥
ɕ	雪血穴屑
j	月悦阅越粤抈
	#ʌʔ
p	不
pʰ	卜扑朴
m	木目牧墨默
f	佛福副幅蝠腹覆伏复
t	独读犊笃督毒德得□｛事了也｝
tʰ	突秃特
l:	禄六陆绿录肋勒
ʦ	则贼卒足𡎺｛塞也｝
ʦʰ	猝族促触
s	速宿肃粟俗续塞
tʂ	执汁蛰质置只直值织职植
tʂʰ	秩赤斥尺
ʂ	十湿拾失室适释石食蚀识饰式
k	曷
kʰ	刻克
x	黑
ɻ	入｛又音｝
	#iʌʔ
p	笔必碧璧壁逼
pʰ	匹僻劈
m	蜜密觅
t	的滴嫡敌笛狄
tʰ	踢剔
ȵ	粒立栗率律溺历匿力
tɕ	辑集缉急级给及疾吉迹积籍绩寂击激极即鲫
tɕʰ	泣七漆乞戚吃
ɕ	习袭吸悉膝昔惜席夕锡析息媳熄
j	一乙逸益亦译液抑易憶｛白讀：回~｝
	#uʌʔ
tʂ	竹筑逐轴祝粥烛嘱蜀
tʂʰ	出畜触
ʂ	术述叔熟淑束属
ɻ	入日辱肉{~桂}
k	国谷骨
kʰ	哭窟酷
x	忽或惑𣝗｛果核｝
	物勿屋沃兀
	#yʌʔ
tɕ	橘菊锔局倔
tɕʰ	黢屈掘曲
ɕ	蓄
j	役疫狱欲浴郁玉｛白讀｝
	#ɤʔ
p	拔钵拨博薄剥驳
pʰ	泼泊脖
m	末沫没莫幕寞摸{白讀丨~黑}
f	缚
t	铎沰奪
tʰ	脱托
n	诺落骆洛络乐
ʦ	作昨凿
ʦʰ	撮
s	索箾｛以竿擊人｝
k	郭括各阁角（白讀）
kʰ	渴阔廓扩确
x	喝镬霍获活鹤盒
ŋ	鄂恶
	#iɤʔ
ȵ	略掠虐疟
tɕ	脚觉爵嚼
tɕʰ	鹊雀却
ɕ	穴削
j	乐岳约跃药育嶽
	#uɤʔ
tʂ	镯拙着桌卓啄浊捉酌
tʂʰ	戳绰
ʂ	说勺芍朔
ɻ	弱
	握
