#符号说明	-白=文*俗?待考
#调值	［1］¹³［2］⁴⁴［3］³⁵［5］¹¹
#a	
kʰ	［1］堪勘刊康慷糠［3］坎砍款抗［5］看炕{烘，烤}
ŋ	［1］庵安鞍肮昂［3］顉{摇动：～头，～～动}□{～檀：药碾子}［5］暗岸按案
h	［1］夯［2］含函寒涵韩行{银～}航杭绗桁{瓦～料：檩}［5］汉旱汗焊翰项巷鼾{扯～睡：打呼噜}
#iɔ̃	
l	［2］良凉量粮梁粱［3］两［5］亮谅量
ts	［1］将浆［3］蒋奖桨［5］酱将
tsʰ	［1］枪［2］墙祥详［3］抢像［5］匠
s	［1］相{讨～骂}箱厢湘襄镶［3］想［5］象相{～貌}像{画～}
tɕ	［1］疆僵姜缰薑
tɕʰ	［1］腔羌框眶筐［2］强［3］强{～迫}［5］犟
ȵ	［2］娘孃［3］仰{摇}［5］让酿壤
ɕ	［1］香乡□{仰：～到睏，冲～天（仰泳）}［3］享响饷［5］向□{～料：佐料}
∅︀	［2］羊洋烊杨阳扬疡□{～梅：蜻蜓}［3］养痒［5］样
#uɔ̃	
k	［1］官棺冠观光［3］管馆广赶{～场}敢{旧读}［5］贯灌罐观{寺观}冠{～军}
kʰ	［1］宽［2］狂［5］矿旷况
∅︀	［1］汪［2］完{～成}王黄{～色}［3］碗腕{～子}枉往［5］换旺望{希～}
#ɛ̃	
p	［1］奔崩［3］本［5］笨
pʰ	［1］烹㧸{撵：～起走}［2］盆［5］凭{倚靠：～椅}湓{满，溢：一碗酸酒～哩舷}
m	［1］蚊{～子：蚊蝇的统称}［2］门蚊{～烟}［3］猛［5］闷孟
f	［1］分芬纷［2］焚坟玄悬椽［3］粉□{数落，训斥：～他一顿}［5］愤粪奋分份湓{～水：喷水}县
t	［1］登灯［3］等戥［5］凳
tʰ	［1］吞［2］腾誊藤滕□{hɔ̃¹¹～：咱们}［3］□{～一跤：摔一胶}［5］邓
l	［1］□{那：～里，～只}［2］能［5］□{那：～里}堎{～上：山上}
ts	［1］争{斗～}筝曾增罾{扳～}［3］□{禁～： 耐穿耐磨}□{打击，整治：～死他}［5］甑挣{癞蛤蟆塞床脚——死～}
tsʰ	［2］曾层［3］□{摁：～紧些}［5］衬
s	［1］僧生{～意}笙牲森参{人～}［3］省{江西～}
ʈʂ	［1］沾占{～卦}毡□{～米：非糯米的统称}□{一麻～：一团糟}［3］展［5］佔
ʈʂʰ	［2］缠
ʂ	［1］膻搧{～扇子}［2］蝉{～仔}禅［3］闪陕［5］扇{～子}善鳝膳单{姓}
k	［1］跟根更{五～}庚羹{挑～：汤匙}耕［3］哽鲠耿□{“根本的合音”，全然：～不晓得}［5］更{～加}
kʰ	［1］吭{不～气}［3］垦肯恳啃
ŋ	［1］恩［5］应{～一声}
h	［1］亨哼［2］痕恒衡行{操～，道～}［3］狠很［5］恨□{你}
#iɛ̃	
p	［1］鞭边辫{～子}［3］贬扁匾蝙［5］变
pʰ	［1］篇编偏遍{～地，普～}［2］便{～宜}［5］遍{蘸：～白糖}片{屎～，瓦～}
m	［2］绵棉眠［3］免勉［5］麪{米～}面{脸～}
t	［1］掂颠癫［3］点典碘踮顶{一～帽子}［5］店
tʰ	［1］添天［2］填田甜［5］簟{围～}电殿奠垫
l	［2］廉镰帘连联怜莲链［3］脸［5］练炼链楝恋
ts	［1］尖煎櫼{～子：楔子}［3］剪［5］箭荐
tsʰ	［1］签千迁［2］钱前全泉潜［3］浅□{眼～：眼红}［5］贱饯践旋{～～风，头发～}
s	［1］仙鲜先宣心{天～：天井}［2］涎旋{～转}［3］癣选箲{～把，刷锅具，竹制}［5］线鏾{阉：～鸡}
tɕ	［1］兼肩坚襟{大～衣服}［3］检捡茧{蚕～}趼笕{竹～}［5］剑见建
tɕʰ	［1］谦牵歉{道～}芡{～粉}［2］钳乾{～坤}虔［3］遣［5］俭欠歉{～收}件键健渐
ȵ	［2］粘鲇严年言燃{点～哩灯盏}仁{虾蟆～：蝌蚪}［3］碾捻{～脉：切脉}［5］验念谚砚□{鼻～：鼻涕}
ɕ	［2］嫌贤舷弦［3］险显䘆{回～：蚯蚓}［5］现宪献
∅︀	［1］淹阉腌烟焉鄢［2］炎盐阎然燃{～烧}延檐□{～膊肚：腿肚}［3］掩染［5］厌艳焰燕宴敥{～末药：撒药粉}
#uɛ̃	
∅︀	［1］冤渊［2］袁辕园援丸圆缘沿铅完{～工}文纹闻［3］远［5］院怨问□{～鞋口}
#ʯɛ̃	
ʈʂ	［1］专砖捐［3］转捲［5］转卷绢劵眷
ʈʂʰ	［1］川穿圈［2］船拳权颧传［3］喘犬［5］篆传串倦楦{鞋～}桊{牛鼻～}劝
ɳ	［2］元原源［3］软阮［5］愿
#əŋ	
p	［1］捧［5］碰
pʰ	［1］□{形容词前缀：～香，～臭}［2］蓬篷朋棚{炭～}
m	［1］蒙{～到眼球}［2］蒙朦［3］懵{～～懂懂，发～}［5］梦
f	［1］昏婚轰荤烘封峰蜂锋风枫疯浑［2］魂宏红洪鸿虹逢缝{裁～}冯横{～龙寺}［3］混哄缝［5］奉俸凤
t	［1］炖墩东冬［3］董懂［5］顿冻栋敦{竖立：～到放}
tʰ	［1］通□{～花：含羞草}［2］豚同铜桐筒童瞳［3］盾桶捅统［5］钝痛洞动
l	［1］聋［2］伦轮龙笼隆农胧豅{较大的谷地，多见于地名}［3］拢垄［5］嫩论弄
ts	［1］尊蹲遵棕鬃踪宗综［3］总［5］粽俊纵
tsʰ	［1］村聪匆葱［2］存丛从崇［3］𢱤{用力推}［5］寸
s	［1］孙松{～树}鬆{～动}旬苟循巡［3］损笋榫［5］送诵颂宋□{擤：～鼻念}
ʈʂ	［1］针斟珍真钟盅{杯}中忠征徵蒸贞侦供{赡养：～娘爷}［3］枕疹种肿拯整［5］镇振震种{～瓜}中{估～哩}正{摆～}政众
ʈʂʰ	［1］冲充抻伸{～手}称［2］沉陈尘臣重{～复}虫穷承呈诚城成程［3］宠［5］阵重仲铳秤郑{～州}乘{量词：一～桥，一～轿}
ʂ	［1］深身申伸升声{～明}［2］辰晨唇乘{～凉}绳塍{田～}［3］瀋审婶［5］肾慎剩胜聖盛
#iŋ	
p	［1］彬宾冰兵镔{～铁皮子：白铁皮}［3］禀丙秉柄［5］併{合～}冰{结凌～}
pʰ	［1］拼姘［2］贫频瓶屏萍凭{文～}平{～均}评［3］品［5］並{～且}聘
m	［2］民铭鸣明{清～}缗{～钱}名{～堂}［3］闵{姓}悯抿{～子：抹子}敏闽［5］命{～令}
t	［1］丁{壮～}□{～子：墩子}□{～牙：臼齿}□{～板：砧板}［3］顶鼎［5］订
tʰ	［1］厅{～长}［2］亭停廷庭蜓［3］挺［5］定{一～}听{～差}
l	［1］□{～呀个～：探头探脑的样子}［2］林淋{～水：浇水}临邻鳞磷麟宁灵{～牌子}零铃陵菱凌棱{～角}［3］领{～东西}［5］吝另令凌{冰～}
ts	［1］侵津晶精{～神}［3］尽{～你拣}井{～冈山}［5］浸进晋
tsʰ	［1］亲蜻青{～年}清{～明}［2］寻秦情［3］请{写申～}□{～到（明明看见）：～到在这里}［5］尽静{安～}净靖{～安县}
s	［1］辛新薪{～水}星{～子县}心［5］信讯迅性{～格}姓{老百～}
tɕ	［1］金巾斤筋经京荆惊{～动}禁{～不住}襟［3］锦紧仅谨警景［5］禁劲径敬境竟竞□{～事：故意}
tɕʰ	［1］钦卿轻［2］琴禽擒勤芹［3］凚{打～：打冷战}［5］近噤{～～敲：冷战貌}肫?{鸡～子：鸡胗}蕈
ȵ	［2］银人浓凝沂{～园：地名}［3］忍［5］认韧□{鼻～：鼻涕}
ɕ	［1］欣胸凶兴{～旺}［2］形型刑熊雄行{～为，蛮～}［5］嗅兴{高～}幸杏
∅︀	［1］应音阴因姻殷雍鹰婴英［2］壬淫寅仁茸戎绒容蓉{芙～}庸融迎盈人{～民}□{蚂～子：蚂蚁}［3］饮引隐拥勇涌影{电～}［5］任纴印用应孕映刃
#uəŋ	
k	［1］公蚣工功攻恭弓躬宫［3］拱滚巩［5］棍贡供{上～，～应}
kʰ	［1］昆坤空{～碗}［3］捆孔恐［5］困{～难}睏{～觉：睡觉}空{有～}共
∅︀	［1］温瘟翁［2］炆{微火久煮：～汤}［3］稳［5］蕹瓮{缸～：水缸}晕{～子：日月的光环}
#ʯŋ	
ʈʂ	［1］均君军［3］准［5］甽{田中渠，或作“圳”}圳{田中渠，或作“甽”}
ʈʂʰ	［1］春椿［2］群裙琼［3］蠢倾［5］郡
ʂ	［1］熏勋兄{～弟}［2］纯［5］顺舜训
∅︀	［1］晕{头～}［2］匀云荣{光～}营允永［5］闰润运韵泳熨{～斗}
