来源：北柯，前锋修订															
tsʰ	[1]陈=秦-{姓氏}晨=沉忱尘=橙澄辰臣称=层曾参{~差}乘{~法}盛=城=诚程呈承称丞骋瞠 [3]逞碜 [5]趁称{相～}秤衬撑蹭														
nz	[1]拧-□{～棉花：轧棉花}														
s	[1]晨-森参{人~}深身伸申神绅僧生=牲升=声=甥=绳= [3]审沈婶省□{饭里的沙子}  [5]甚渗慎肾剩=圣胜盛{茂~}														
ʐ	[1]人任仁壬妊 [3]扔仍忍纫 [5]认刃韧纫{~针：穿线}任{~务}														
k	[1]更跟根羹=耕=庚 [3]耿梗鲠哽埂□{「我家」的合音} [5]更亘														
kʰ	[1]坑吭□{移动身体} 铿 [3]肯啃垦恳														
ŋ	[1]恩 [3]□{「我家」的合音，妇女多用}														
x	[1]痕亨哼恒衡横= [3]很狠 [5]恨														
#iəŋ															
p	[1]冰彬斌滨宾缤兵 [3]饼=炳丙柄秉禀 [5]并病=鬓殡														
pʰ	[1]平=评瓶凭屏萍坪苹频贫拼{~命} [3]品□{比较：兀家～我大} [5]聘														
m	[1]民明=名=铭鸣茗 [3]敏闽抿泯冥溟螟暝皿悯盟{~誓} [5]命=														
t	[1]丁叮=盯疔=钉= [3]顶=鼎  [5]钉={~书机}定订锭														
tʰ	[1]听=亭停=汀厅庭廷婷艇霆蜓  [3]挺=铤梃														
l	[1]临林邻淋琳霖拎麟磷鳞灵凌玲绫铃=零陵菱羚伶  [3]聆岭=领=瓴翎凛廪 [5]赁吝蔺躏另令龄														
tɕ	[1]勤-{~谨}金今津斤筋巾襟矜经=京精=惊晶睛=茎泾兢荆痉旌菁=鲸 [3]景井=紧锦谨{勤~}瑾仅馑憬警 [5]近进晋尽浸烬妗觐劲禁噤净=敬靖径镜=静=颈{脖~}竟竞														
tɕʰ	[1]亲秦=琴勤=钦侵禽芹清=情青=轻=氢擎卿蜻倾= [3]擒请寝顷= [5]沁庆罄磬亲{~家}														
ȵ	[1]银宁凝柠拧= [5]硬=佞														
ɕ	[1]忻芯新心欣鑫辛馨锌薪歆兴行星=猩惺腥=型刑邢形寻 [3]醒省擤= [5]杏=性姓幸信囟讯汛迅衅兴{高~}														
Ø	[1]音吟应因阴殷淫茵荫寅垠姻赢=英营=迎鹰膺莹樱盈荧莺萦瀛萤缨婴蝇=莹颖颍 [3]影=尹饮隐瘾引蚓 [5]应={~当}饮{~牲口}映=窨印胤孕														
#uəŋ															
t	[1]墩敦东冬同-{~岁}铜-顿蹲 [3]懂董趸盹□{闯祸：～乱子} [5]盾钝炖沌砘遁动洞冻栋														
tʰ	[1]通铜=同=童佟桐彤瞳潼僮屯臀囤豚 [3]统桶捅筒 [5]痛														
l	[1]龙=咙隆笼聋珑囵 [3]垄陇拢=窿 [5]弄{玩~}														
ts	[1]尊遵樽谆中钟忠衷盅宗棕综鬃重{~复}虫□{「作甚」的合音} [3]准总种{~子}肿冢终踪 [5]众纵种{~地}重{轻～}仲														
tsʰ	[1]村存春纯醇淳椿莼葱聪从丛匆冲充崇忡憧舂 [3]宠蠢唇=忖 [5]寸														
s	[1]孙松嵩淞 [3]瞬舜损笋隼怂耸悚竦 [5]送宋诵讼顺颂唇{豁～～:兔唇}														
ʐ	[1]绒=  [5]润闰														
k	[1]公工功宫攻恭龚蚣弓躬供{~应} [3]巩汞滚磙拱鲧 [5]棍共供{~认}贡														
kʰ	[1]坤昆空 [3]孔恐捆啃- [5]困空{~余}控														
x	[1]风疯封峰丰冯逢缝枫锋枫分汾芬坟=纷焚洪红宏鸿轰弘烘魂婚昏荤蜂= [3]粉哄={~骗}讽 [5]混{相~}份俸浑凤哄奉奋忿缝{~隙}														
Ø	[1]文温纹瘟闻嗡瓮翁蚊 [3]稳吻紊刎 [5]问瓮														
#yəŋ															
l	[1]轮仑伦沦龙-  [5]论														
tɕ	[1]均裙-君军钧穷- [3]囧炯窘迥菌炅 [5]俊骏郡峻粽□{粘性液体凝固成半凝固体}														
tɕʰ	[1]群裙=穷=琼穹														
ɕ	[1]询旬殉循熊雄薰熏巡荀勋胸凶匈汹兄= [3]逊□{紧紧跟住} [5]训驯熏{~醋}														
Ø	[1]云耘匀晕允芸庸雍荣容绒-融蓉溶榕戎 [3]永勇涌泳咏陨拥俑蛹冗 [5]韵运蕴熨酝用														
#aʔ															
p	[7]八捌扒剥拨钵驳 [8]拔跋魃毫脖博搏薄{~荷}膊□{~人：水温度过低}														
pʰ	[7]勃渤帕泼仆{~人}濮朴{~素}□{一～草：一棵草}														
m	[7]抹蚂{~蚱}摸膜末沫茉漠秣蟆妈 [8]□{拔出}莫没{沉~}														
t	[7]搭嗒褡瘩 [8]答达鞑铎靼妲														
tʰ	[7]塌踏塔拓榻他-脱-{~衣裳}														
n	[7]捺衲纳呐钠糯儒诺喏														
l	[7]拉{～}落{降~伞}腊辣邋洛络={连~}乐{~快}骆=烙- [8]喇														
ts	[7]扎咱{～们}责作酌灼折{~断}蜇哲蛰辙辄褶睫-浙蔗指-{~头}[8]凿咂砸杂泽择仄闸铡{~草}轧{~钢}眨炸{~丸子}宅着{~火}														
tsʰ	[7]擦测侧厕侧策插察诧姹彻澈撤礤{~子:擦丝的器具}														
nz	[7]镊□{～反：孩子们闹腾}														
s	[7]撒{~手}靸{~鞋}色啬瑟杀刹{~车}煞涉设摄 [8]折{~本}舌铡{~刀}芍炸{~糕}														
ʐ	[7]热弱若														
k	[7]割搁阁=鸽=格蛤各革隔=膈骼盖{姓氏}合-														
kʰ	[7]颏磕瞌咳{~嗽}渴克客=壳□{～处：到处}□{斗的俗称}														
ŋ	[7]额恶扼遏愕萼鄂腭鳄鹗锷鹗谔鸭{~子}□{～腰：弯腰} [8]□{~脑头：从上头}														
x	[7]喝阂瞎 [8]阂盍合盒郃鹤曷褐貉														
#iaʔ															
p	[7]掰百柏伯憋蹩鳖泊{停~}舶别{~扭} [8]白瘪别{~人}帛														
pʰ	[7]拍迫瞥撇{~油}泊{湖~}魄														
m	[7]脉灭蔑篾陌{阡~}岳{姓氏}														
t	[7]跌滴嘀涤咥{猛吃} [8]谍堞碟喋蝶牒迭叠敌镝嫡迪笛籴狄荻翟														
tʰ	[7]帖贴铁														
n	[7]捏聂蹑孽涅虐疟邺臬啮														
l	[7]列烈裂咧例劣猎掠略□{扭身子}														
tɕ	[7]结甲接揭疖捷睫=羯及级即圾唧鲫挟胛钾夹荚颊脚=隔- [8]截杰竭捷□{～上头：从上头}桀														
tɕʰ	[7]切妾怯劫窃掐恰却鹊确客-{～人}雀-														
ɕ	[7]洽侠峡辖黠狎楔蝎歇泄 [8]学胁协匣														
Ø	[7]噎谒页叶烨约押乐{音~}腌{~菜}														
#uaʔ															
t	[7]辍咄	[8]笃夺铎													
tʰ	[7]脱={碗~子：荞面稠状体盛于碗中，蒸热放凉切碎加调料抄食}														
ts	[7]捉涿啄桌琢拙擢濯= [8]着{睡～}														
tsʰ	[7]戳龊撮绰														
nz	[7]□{握住}														
s	[7]说刷朔硕妁槊烁镯-{手~}缩{~小}□{~面：成把的面条}														
k	[7]聒崞刮{~风}號 [8]□{看～:看一下}														
kʰ	[7]廓扩括阔														
x	[7]法砝珐发{~生}豁划{~开:用刀割开}耠获{~收} [8]罚乏伐阀筏垡滑划{~船}猾活获{~得}														
Ø	[7]挖-袜沃握渥龌幄														
#yaʔ															
tɕ	[7]觉{~得}珏厥蕨獗角=孑掘 [8]决诀抉绝蹶{~子}														
tɕʰ	[7]阙缺炔阕														
ɕ	[7]薛=血恤雪 [8]穴踅{~摸：以目光寻找}														
Ø	[7]月曰悦越阅跃岳={山~}粤哕=														
#əʔ															
p	[7]不箔{锡～} [8]薄{厚~}箔{~子}卜														
pʰ	[7]扑{~打}酺{白~：醋表面长霉}瀑{~布}														
m	[7]木沐目苜眭穆 [8]没么														
tʰ	[7]特忑托														
l	[7]勒肋														
ts	[7]则摘窄汁只{一~鸡}织职植值贽帜炽帙秩质炙陟翟侧{~棱：向一边倾斜} [8]择{~韭菜}直殖执侄蛰{惊～}蒺{~藜}														
tsʰ	[7]吃赤哧笞褫尺叱斥饬拆娶-{~媳妇}														
s	[7]涩塞{~入}湿失虱识饰殖{骨～} [8]实十室什石拾食蚀{腐~}释式适														
ʐ	[7]日折{姓氏}														
k	[7]胳{~膊}疙{~瘩}圪{动词词头，表轻微、尝试}核-{~桃}嗝														
kʰ	[7]刻可{~热了:表示很热}克{~扣}														
ŋ	[7]□{日～：程度深}														
x	[7]黑赫郝 [8]劾核=														
#iəʔ															
p	[7]笔逼荸必碧毕哔跸壁璧辟{复~}臂避{~邪}弼北 [8]鼻别{~针}														
pʰ	[7]辟{开~}噼劈癖譬匹僻 [8]□{～列：四肢乱动}														
m	[7]泌秘密蜜幂觅谧墨默乜														
t	[7]德得的{目~}														
tʰ	[7]踢剔惕														
n	[7]逆匿溺														
l	[7]立粒莅笠栗僳栎砾力历沥														
tɕ	[7]激迹集{~中}绩积击坚疾脊吉诘籍棘辑极急戟寂髻稷 [8]集{~市}														
tɕʰ	[7]漆戚七柒沏乞泣讫迄契{~丹}														
ɕ	[7]析淅蜥悉蟋晰吸息熄熄隰徙隙 [8]昔惜{~力}夕汐膝席习锡袭														
Ø	[7]一壹乙益溢缢镒弋抑邑佚逸佾疫役译驿绎														
uəʔ															
t	[7]叾{~子：臀部} [8]独毒读椟牍犊黩读														
tʰ	[7]突凸秃 [8]□{一～录：一嘟噜}														
l	[7]鹿=漉糖簏麓戮录禄禄绿陆碌六=														
ts	[7]竹筑竺逐 [8]烛浊祝瞩嘱镯=蜀触														
tsʰ	[7]出畜=促蹴猝□{～糊糊：加热，使面成粘稠状}														
s	[7]叔淑菽束述 [8]孰熟塾赎属勺{~子}														
ʐ	[7]入辱褥肉=														
k	[7]郭国椁骨谷掴{两手紧捧住} [8] □{～拢：滚的分音词}														
kʰ	[7]哭窟酷 [8]核-{杏~儿}														
x	[7]福幅蝠忽藿霍惑或 [8]佛缚伏茯袱服弗拂复覆蝮腹														
Ø	[7]勿屋物杌兀														
yəʔ															
l	[7]律率捋														
tɕ	[7]足嚼{在嘴里反复咬} [8]局橘嚼{在嘴里反复咬后吐给婴儿}														
tɕʰ	[7]曲屈鞠菊族簇														
ɕ	[7]削速蓄宿缩=粟夙肃 [8]续俗畜=														
Ø	[7]药-钥-育域蜮郁浴欲峪毓狱鹬聿熨{~贴}														
