繁	簡	IPA	IPA無調	拼音	調值	解釋																																											
鬭	斗	teⁱ³²⁴	teⁱ	tei5	324	拼合：拼拼~~；湊集：大家~點錢出來；相約（同行或同做某事）																																											
偷	偷	tʰeⁱ⁴⁴	tʰeⁱ	thei1	44																																												
敨	敨	tʰeⁱ⁵¹	tʰeⁱ	thei3	51	~气																																											
㪗	㪗	tʰeⁱ⁵¹	tʰeⁱ	thei3	51	~气																																											
鈄	钭	tʰeⁱ⁵¹	tʰeⁱ	thei3	51																																												
透	透	tʰeⁱ³²⁴	tʰeⁱ	thei5	324																																												
頭	头	deⁱ¹¹³	deⁱ	dei2A	113																																												
投	投	deⁱ¹¹³	deⁱ	dei2A	113																																												
骰	骰	deⁱ¹¹³	deⁱ	dei2A	113	~子，色字，一種遊戲用具或賭具																																											
□		deⁱ¹¹³	deⁱ	dei2A	113	整理：拏材料~~好																																											
□		deⁱ²³¹	deⁱ	dei4	231	煩躁不安：他~殺着；喫了不消化																																											
□		deⁱ²³¹	deⁱ	dei4	231	因受寒等而倒吸气																																											
逗	逗	deⁱ²¹³	deⁱ	dei6	213																																												
豆	豆	deⁱ²¹³	deⁱ	dei6	213																																												
荳	豆	deⁱ²¹³	deⁱ	dei6	213																																												
痘	痘	deⁱ²¹³	deⁱ	dei6	213																																												
竇	窦	deⁱ²¹³	deⁱ	dei6	213																																												
讀	读	deⁱ²¹³	deⁱ	dei6	213	句~																																											
隊	队	deⁱ²¹³	deⁱ	dei6	213	文																																											
耨	耨	neⁱ²¹³	neⁱ	nei6	213																																												
溜	溜	leⁱ⁴⁴	leⁱ	lei1	44	~走																																											
熘	熘	leⁱ⁴⁴	leⁱ	lei1	44																																												
謱	謱	leⁱ⁴⁴	leⁱ	lei1	44	~謏																																											
簍	篓	leⁱ⁵¹	leⁱ	lei3	51																																												
㪹	㪹	leⁱ⁵¹	leⁱ	lei3	51	亂來：瞎~；敗掉了：~來着																																											
柳	柳	leⁱ⁵¹	leⁱ	lei3	51																																												
綹	绺	leⁱ⁵¹	leⁱ	lei3	51																																												
絫	累	leⁱ⁵¹	leⁱ	lei3	51	積~																																											
摟	搂	leⁱ⁵¹	leⁱ	lei3	51	攪拌，翻動																																											
壘	垒	leⁱ⁵¹	leⁱ	lei3	51	堡~																																											
垒	垒	leⁱ⁵¹	leⁱ	lei3	51	~起來：堆起來																																											
誄	诔	leⁱ⁵¹	leⁱ	lei3	51																																												
耒	耒	leⁱ⁵¹	leⁱ	lei3	51																																												
㧕	㧕	leⁱ⁵¹	leⁱ	lei3	51	攪																																											
□		leⁱ⁵¹	leⁱ	lei3	51	（小孩）頑皮，搗亂																																											
纍	累	leⁱ³⁴	leⁱ	lei2B	34																																												
縲	缧	leⁱ³⁴	leⁱ	lei2B	34																																												
樓	楼	leⁱ³⁴	leⁱ	lei2B	34																																												
髏	髅	leⁱ³⁴	leⁱ	lei2B	34																																												
耬	耧	leⁱ³⁴	leⁱ	lei2B	34																																												
嘍	喽	leⁱ³⁴	leⁱ	lei2B	34	~羅																																											
蔞	蒌	leⁱ³⁴	leⁱ	lei2B	34																																												
僂	偻	leⁱ³⁴	leⁱ	lei2B	34	佝~病																																											
流	流	leⁱ³⁴	leⁱ	lei2B	34																																												
硫	硫	leⁱ³⁴	leⁱ	lei2B	34																																												
婁	娄	leⁱ³⁴	leⁱ	lei2B	34	姓氏																																											
劉	刘	leⁱ³⁴	leⁱ	lei2B	34																																												
瀏	浏	leⁱ³⁴	leⁱ	lei2B	34																																												
留	留	leⁱ³⁴	leⁱ	lei2B	34																																												
榴	榴	leⁱ³⁴	leⁱ	lei2B	34																																												
遛	遛	leⁱ³⁴	leⁱ	lei2B	34																																												
鎦	镏	leⁱ³⁴	leⁱ	lei2B	34	~金																																											
騮	骝	leⁱ³⁴	leⁱ	lei2B	34																																												
琉	琉	leⁱ³⁴	leⁱ	lei2B	34																																												
旒	旒	leⁱ³⁴	leⁱ	lei2B	34																																												
鎏	鎏	leⁱ³⁴	leⁱ	lei2B	34																																												
螻	蝼	leⁱ³⁴	leⁱ	lei2B	34	~蛄																																											
瘤	瘤	leⁱ³⁴	leⁱ	lei2B	34																																												
羸	羸	leⁱ³⁴	leⁱ	lei2B	34																																												
類	类	leⁱ²¹³	leⁱ	lei6	213																																												
垒	垒	leⁱ²¹³	leⁱ	lei6	213	又音																																											
累	累	leⁱ²¹³	leⁱ	lei6	213	連~																																											
漏	漏	leⁱ²¹³	leⁱ	lei6	213																																												
陋	陋	leⁱ²¹³	leⁱ	lei6	213																																												
鏤	镂	leⁱ²¹³	leⁱ	lei6	213																																												
瘻	瘘	leⁱ²¹³	leⁱ	lei6	213																																												
溜	溜	leⁱ²¹³	leⁱ	lei6	213	簷~																																											
遛	遛	leⁱ²¹³	leⁱ	lei6	213																																												
餾	馏	leⁱ²¹³	leⁱ	lei6	213																																												
裏	里	leⁱ	leⁱ	lei0	輕聲	又音，臺~，路~，街~；們：伲~，我~，他~																																											
鄒	邹	tseⁱ⁴⁴	tseⁱ	tsei1	44																																												
謅	诌	tseⁱ⁴⁴	tseⁱ	tsei1	44																																												
舟	舟	tseⁱ⁴⁴	tseⁱ	tsei1	44																																												
周	周	tseⁱ⁴⁴	tseⁱ	tsei1	44	姓氏																																											
週	周	tseⁱ⁴⁴	tseⁱ	tsei1	44	量詞																																											
騶	驺	tseⁱ⁴⁴	tseⁱ	tsei1	44																																												
州	州	tseⁱ⁴⁴	tseⁱ	tsei1	44																																												
洲	洲	tseⁱ⁴⁴	tseⁱ	tsei1	44																																												
帚	帚	tseⁱ⁴⁴	tseⁱ	tsei1	44																																												
盩	盩	tseⁱ⁴⁴	tseⁱ	tsei1	44	~厔																																											
帚	帚	tseⁱ⁵¹	tseⁱ	tsei3	51	又音																																											
走	走	tseⁱ⁵¹	tseⁱ	tsei3	51																																												
肘	肘	tseⁱ⁵¹	tseⁱ	tsei3	51																																												
□		tseⁱ⁵¹	tseⁱ	tsei3	51	油煠：~油條，~長生果																																											
奏	奏	tseⁱ³²⁴	tseⁱ	tsei5	324																																												
揍	揍	tseⁱ³²⁴	tseⁱ	tsei5	324																																												
皺	皱	tseⁱ³²⁴	tseⁱ	tsei5	324																																												
縐	绉	tseⁱ³²⁴	tseⁱ	tsei5	324																																												
晝	昼	tseⁱ³²⁴	tseⁱ	tsei5	324	~裏：中午；小~：接近中午；~着：到中午																																											
呪	咒	tseⁱ³²⁴	tseⁱ	tsei5	324	賭~																																											
咒	咒	tseⁱ³²⁴	tseⁱ	tsei5	324	呪俗字																																											
揍	揍	tsʰeⁱ⁴⁴	tsʰeⁱ	tshei1	44																																												
抽	抽	tsʰeⁱ⁴⁴	tsʰeⁱ	tshei1	44																																												
秋	秋	tsʰeⁱ⁴⁴	tsʰeⁱ	tshei1	44	交~：立秋																																											
醜	丑	tsʰeⁱ⁵¹	tsʰeⁱ	tshei3	51	不~：誇人帥氣																																											
丑	丑	tsʰeⁱ⁵¹	tsʰeⁱ	tshei3	51	地支																																											
瞅	瞅	tsʰeⁱ⁵¹	tsʰeⁱ	tshei3	51																																												
湊	凑	tsʰeⁱ³²⁴	tsʰeⁱ	tshei5	324																																												
臭	臭	tsʰeⁱ³²⁴	tsʰeⁱ	tshei5	324																																												
殠	臭	tsʰeⁱ³²⁴	tsʰeⁱ	tshei5	324																																												
腠	腠	tsʰeⁱ³²⁴	tsʰeⁱ	tshei5	324																																												
輳	辏	tsʰeⁱ³²⁴	tsʰeⁱ	tshei5	324																																												
□		tsʰeⁱ³²⁴	tsʰeⁱ	tshei5	324	把柴火塞到竈膛裏燒：~火，疑本字爲「湊」																																											
綢	绸	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
稠	稠	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
惆	惆	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
籌	筹	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
柔	柔	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
蹂	蹂	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
鞣	鞣	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
糅	糅	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
疇	畴	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
躊	踌	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
儔	俦	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
幬	帱	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
讎	雠	dzeⁱ¹¹³	dzeⁱ	dzei2A	113	報~																																											
仇	仇	dzeⁱ¹¹³	dzeⁱ	dzei2A	113	讎又作此																																											
酬	酬	dzeⁱ¹¹³	dzeⁱ	dzei2A	113																																												
醻	酬	dzeⁱ¹¹³	dzeⁱ	dzei2A	113	酬本字																																											
抽	抽	dzeⁱ¹¹³	dzeⁱ	dzei2A	113	抽（絲、絨綫等）；吮吸																																											
宙	宙	dzeⁱ²¹³	dzeⁱ	dzei6	213																																												
冑	胄	dzeⁱ²¹³	dzeⁱ	dzei6	213																																												
籀	籀	dzeⁱ²¹³	dzeⁱ	dzei6	213																																												
胄	胄	dzeⁱ²¹³	dzeⁱ	dzei6	213																																												
驟	骤	dzeⁱ²¹³	dzeⁱ	dzei6	213																																												
紂	纣	dzeⁱ²¹³	dzeⁱ	dzei6	213																																												
□		dzeⁱ²¹³	dzeⁱ	dzei6	213	㬪，拏碗~起來																																											
搜	搜	seⁱ⁴⁴	seⁱ	sei1	44																																												
颼	飕	seⁱ⁴⁴	seⁱ	sei1	44																																												
餿	馊	seⁱ⁴⁴	seⁱ	sei1	44																																												
𩜯		seⁱ⁴⁴	seⁱ	sei1	44																																												
修	修	seⁱ⁴⁴	seⁱ	sei1	44	又音																																											
脩	修	seⁱ⁴⁴	seⁱ	sei1	44	又音																																											
蒐	搜	seⁱ⁴⁴	seⁱ	sei1	44																																												
嗖	嗖	seⁱ⁴⁴	seⁱ	sei1	44																																												
艘	艘	seⁱ⁴⁴	seⁱ	sei1	44																																												
𠘂		seⁱ⁴⁴	seⁱ	sei1	44	冷~齁																																											
收	收	seⁱ⁴⁴	seⁱ	sei1	44																																												
媳	媳	seⁱ⁴⁴	seⁱ	sei1	44	~婦，又音																																											
休	休	seⁱ⁴⁴	seⁱ	sei1	44	退~，存疑																																											
叟	叟	seⁱ⁵¹	seⁱ	sei3	51																																												
手	手	seⁱ⁵¹	seⁱ	sei3	51																																												
首	首	seⁱ⁵¹	seⁱ	sei3	51																																												
嗾	嗾	seⁱ⁵¹	seⁱ	sei3	51																																												
守	守	seⁱ⁵¹	seⁱ	sei3	51																																												
擻	擞	seⁱ⁵¹	seⁱ	sei3	51																																												
藪	薮	seⁱ⁵¹	seⁱ	sei3	51																																												
溲	溲	seⁱ⁵¹	seⁱ	sei3	51	~酵，~麪																																											
□		seⁱ⁵¹	seⁱ	sei3	51	頑皮：箇小安（官）忒~，又音																																											
嗽	嗽	seⁱ³²⁴	seⁱ	sei5	324																																												
獸	兽	seⁱ³²⁴	seⁱ	sei5	324																																												
瘦	瘦	seⁱ³²⁴	seⁱ	sei5	324	~弱；田~																																											
謏	𫍲	seⁱ³²⁴	seⁱ	sei5	324	謱~																																											
狩	狩	seⁱ³²⁴	seⁱ	sei5	324																																												
手	手	seⁱ³²⁴	seⁱ	sei5	324	~折頭（手指）																																											
繡	绣	seⁱ³²⁴	seⁱ	sei5	324	~花鍼																																											
鏽	锈	seⁱ³²⁴	seⁱ	sei5	324	又音																																											
銹	锈	seⁱ³²⁴	seⁱ	sei5	324	又音																																											
鏥	锈	seⁱ³²⁴	seⁱ	sei5	324	『康熙字典』載鏽、銹本字																																											
愁	愁	zeⁱ¹¹³	zeⁱ	zei2A	113																																												
受	受	zeⁱ²³¹	zeⁱ	zei4	231	忍~，~~																																											
𥣙		zeⁱ²³¹	zeⁱ	zei4	231	積聚（錢物）																																											
受	受	zeⁱ²¹³	zeⁱ	zei6	213	接~																																											
壽	寿	zeⁱ²¹³	zeⁱ	zei6	213																																												
授	授	zeⁱ²¹³	zeⁱ	zei6	213																																												
售	售	zeⁱ²¹³	zeⁱ	zei6	213																																												
袖	袖	zeⁱ²¹³	zeⁱ	zei6	213																																												
褎	袖	zeⁱ²¹³	zeⁱ	zei6	213																																												
褏	袖	zeⁱ²¹³	zeⁱ	zei6	213																																												
就	就	zeⁱ²¹³	zeⁱ	zei6	213	又音，副詞																																											
勾	勾	keⁱ⁴⁴	keⁱ	kei1	44	~肩搭背																																											
句	勾	keⁱ⁴⁴	keⁱ	kei1	44	勾本字，越王~踐																																											
鉤	钩	keⁱ⁴⁴	keⁱ	kei1	44																																												
篝	篝	keⁱ⁴⁴	keⁱ	kei1	44																																												
溝	沟	keⁱ⁴⁴	keⁱ	kei1	44	~坎																																											
鬮	阄	keⁱ⁴⁴	keⁱ	kei1	44	抽~，即抓鬮																																											
佝	佝	keⁱ⁴⁴	keⁱ	kei1	44																																												
鈎	钩	keⁱ⁴⁴	keⁱ	kei1	44																																												
狗	狗	keⁱ⁵¹	keⁱ	kei3	51																																												
苟	苟	keⁱ⁵¹	keⁱ	kei3	51																																												
枸	枸	keⁱ⁵¹	keⁱ	kei3	51																																												
夠	够	keⁱ³²⁴	keⁱ	kei5	324																																												
够	够	keⁱ³²⁴	keⁱ	kei5	324																																												
構	构	keⁱ³²⁴	keⁱ	kei5	324																																												
搆	够	keⁱ³²⁴	keⁱ	kei5	324	彀，又作此																																											
購	购	keⁱ³²⁴	keⁱ	kei5	324																																												
媾	媾	keⁱ³²⁴	keⁱ	kei5	324																																												
彀	够/彀	keⁱ³²⁴	keⁱ	kei5	324	朝上~，~不到																																											
勾	勾	keⁱ³²⁴	keⁱ	kei5	324	~當，字又作句																																											
句	勾	keⁱ³²⁴	keⁱ	kei5	324	又音																																											
枸	枸	keⁱ³²⁴	keⁱ	kei5	324	~橘																																											
詬	诟	keⁱ³²⁴	keⁱ	kei5	324																																												
垢	垢	keⁱ³²⁴	keⁱ	kei5	324																																												
摳	抠	kʰeⁱ⁴⁴	kʰeⁱ	khei1	44																																												
䁱	眍	kʰeⁱ⁴⁴	kʰeⁱ	khei1	44	同瞘																																											
瞘	眍	kʰeⁱ⁴⁴	kʰeⁱ	khei1	44	~眼																																											
釦	扣	kʰeⁱ⁴⁴	kʰeⁱ	khei1	44	紐子																																											
口	口	kʰeⁱ⁵¹	kʰeⁱ	khei3	51																																												
扣	扣	kʰeⁱ³²⁴	kʰeⁱ	khei5	324	動詞																																											
寇	寇	kʰeⁱ³²⁴	kʰeⁱ	khei5	324																																												
蔻	蔻	kʰeⁱ³²⁴	kʰeⁱ	khei5	324																																												
𡨥	寇	kʰeⁱ³²⁴	kʰeⁱ	khei5	324																																												
筘	筘	kʰeⁱ³²⁴	kʰeⁱ	khei5	324																																												
叩	叩	kʰeⁱ³²⁴	kʰeⁱ	khei5	324																																												
扣	扣	ɡeⁱ¹¹³	ɡeⁱ	gei2A	113	扣除，減去																																											
歐	欧	Ǿeⁱ⁴⁴	Ǿeⁱ	ei1	44																																												
甌	瓯	Ǿeⁱ⁴⁴	Ǿeⁱ	ei1	44																																												
謳	讴	Ǿeⁱ⁴⁴	Ǿeⁱ	ei1	44																																												
鷗	鸥	Ǿeⁱ⁴⁴	Ǿeⁱ	ei1	44																																												
毆	殴	Ǿeⁱ⁴⁴	Ǿeⁱ	ei1	44																																												
區	区	Ǿeⁱ⁴⁴	Ǿeⁱ	ei1	44	姓氏																																											
區	区	ŋeⁱ⁴⁴	ŋeⁱ	ngei1	44	姓氏又音																																											
漚	沤	ŋeⁱ⁴⁴	ŋeⁱ	ngei1	44	~糞																																											
嘔	呕	ŋeⁱ⁴⁴	ŋeⁱ	ngei1	44	~啞嘲哳																																											
瞘	眍	ŋeⁱ⁴⁴	ŋeⁱ	ngei1	44	箇塊地~个																																											
藕	藕	ŋeⁱ⁵¹	ŋeⁱ	ngei3	51																																												
偶	偶	ŋeⁱ⁵¹	ŋeⁱ	ngei3	51																																												
耦	耦	ŋeⁱ⁵¹	ŋeⁱ	ngei3	51																																												
嘔	呕	Ǿeⁱ⁵¹	Ǿeⁱ	ei3	51																																												
慪	怄	ŋeⁱ⁵¹	ŋeⁱ	ngei3	51	~折,冤屈																																											
毆	殴	ŋeⁱ⁵¹	ŋeⁱ	ngei3	51	老																																											
牛	牛	ŋeⁱ³⁴	ŋeⁱ	ngei2B	34																																												
齁	齁	xeⁱ⁴⁴	xeⁱ	hei1	44	咳嗽																																											
虛	虚	xeⁱ⁴⁴	xeⁱ	hei1	44	浮腫																																											
呴	呴	xeⁱ⁴⁴	xeⁱ	hei1	44	尋~勢																																											
許	许	xeⁱ⁵¹	xeⁱ	hei3	51	允諾																																											
吼	吼	xeⁱ³²⁴	xeⁱ	hei5	324																																												
鱟	鲎	xeⁱ³²⁴	xeⁱ	hei5	324	虹																																											
候	候	xeⁱ³²⁴	xeⁱ	hei5	324	估量（尺寸）：~好仔尺寸做衣裳																																											
□		xeⁱ³²⁴	xeⁱ	hei5	324	滲																																											
侯	侯	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
矦	侯	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
喉	喉	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
㗋	喉	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
猴	猴	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
㺅	猴	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
瘊	瘊	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
骺	骺	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
䫛	䫛	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113	~䫘																																											
篌	篌	ɣeⁱ¹¹³	ɣeⁱ	rei2A	113																																												
□		ɣeⁱ¹¹³	ɣeⁱ	rei2A	113	兒子，男孩。暫書作「矦」或「㺅」																																											
厚	厚	ɣeⁱ²³¹	ɣeⁱ	rei4	231																																												
後	后	ɣeⁱ²³¹	ɣeⁱ	rei4	231	朝前朝~																																											
厚	厚	ɣeⁱ²¹³	ɣeⁱ	rei6	213	又音																																											
后	后	ɣeⁱ²¹³	ɣeⁱ	rei6	213	皇~																																											
逅	逅	ɣeⁱ²¹³	ɣeⁱ	rei6	213																																												
後	后	ɣeⁱ²¹³	ɣeⁱ	rei6	213	又音																																											
候	候	ɣeⁱ²¹³	ɣeⁱ	rei6	213																																												
𠊱	候	ɣeⁱ²¹³	ɣeⁱ	rei6	213																																												
就	就	ɣeⁱ²¹³	ɣeⁱ	rei6	213	破讀，就，副詞；~來着																																											
□		pieⁱ³²⁴	pieⁱ	piei5	324	義爲不要，疑爲不和另一字的合音																																											
□		piɪ̃³²⁴	piɪ̃	pien5	324	義爲不要，疑爲不和另一字的合音，又音																																											
謬	谬	mieⁱ²¹³	mieⁱ	miei6	213	~論，又音																																											
鳩	鸠	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
糾	纠	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
丩	丩	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
赳	赳	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
鬮	阄	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
揫	揪	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44	~頭帨巾																																											
龜	龟	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44	~茲																																											
啾	啾	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
鬏	鬏	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
湫	湫	tɕieⁱ⁴⁴	tɕieⁱ	ciei1	44																																												
酒	酒	tɕieⁱ⁵¹	tɕieⁱ	ciei3	51																																												
九	九	tɕieⁱ⁵¹	tɕieⁱ	ciei3	51																																												
玖	玖	tɕieⁱ⁵¹	tɕieⁱ	ciei3	51																																												
久	久	tɕieⁱ⁵¹	tɕieⁱ	ciei3	51																																												
韭	韭	tɕieⁱ⁵¹	tɕieⁱ	ciei3	51																																												
糾	纠	tɕieⁱ⁵¹	tɕieⁱ	ciei3	51	~合																																											
灸	灸	tɕieⁱ⁵¹	tɕieⁱ	ciei3	51																																												
救	救	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324																																												
究	究	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324																																												
疚	疚	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324																																												
廐	厩	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324	馬~																																											
廄	厩	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324	廐異體																																											
㾭	㾭	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324	~筋																																											
皺	皱	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324	又音																																											
縐	绉	tɕieⁱ³²⁴	tɕieⁱ	ciei5	324	又音																																											
秋	秋	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44																																												
鞦	秋	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44																																												
湫	湫	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44																																												
丘	丘	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44																																												
㐀	丘	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44	丘隸定又作																																											
丠	丘	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44	丘隸定又作																																											
㘳	丘	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44	說文載「丘古文」																																											
鰍	鳅	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44																																												
邱	邱	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44																																												
蚯	蚯	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44																																												
蓲	蓲	tɕʰieⁱ⁴⁴	tɕʰieⁱ	chiei1	44	烏~																																											
揪	揪	tɕʰieⁱ⁵¹	tɕʰieⁱ	chiei3	51	~住他不放																																											
囚	囚	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113	又音																																											
泅	泅	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113	又音																																											
求	求	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
球	球	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
毬	球	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
仇	仇	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113	姓氏																																											
裘	裘	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
酋	酋	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
遒	遒	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
𧚍	裘	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113	裘本字																																											
虯	虬	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
虬	虬	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
巰	巯	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
逑	逑	dʑieⁱ¹¹³	dʑieⁱ	jiei2A	113																																												
就	就	dʑieⁱ²¹³	dʑieⁱ	jiei6	213	動詞																																											
臼	臼	dʑieⁱ²¹³	dʑieⁱ	jiei6	213	~潭																																											
舅	舅	dʑieⁱ²¹³	dʑieⁱ	jiei6	213																																												
咎	咎	dʑieⁱ²¹³	dʑieⁱ	jiei6	213																																												
舊	旧	dʑieⁱ²¹³	dʑieⁱ	jiei6	213																																												
匶	柩	dʑieⁱ²¹³	dʑieⁱ	jiei6	213																																												
匛	柩	dʑieⁱ²¹³	dʑieⁱ	jiei6	213																																												
柩	柩	dʑieⁱ²¹³	dʑieⁱ	jiei6	213																																												
桕	桕	dʑieⁱ²¹³	dʑieⁱ	jiei6	213																																												
□		dʑieⁱ²¹³	dʑieⁱ	jiei6	213	疉，補丁~補丁，~被子																																											
妞	妞	ȵieⁱ⁴⁴	ȵieⁱ	gniei1	44																																												
扭	扭	ȵieⁱ⁵¹	ȵieⁱ	gniei3	51																																												
紐	纽	ȵieⁱ⁵¹	ȵieⁱ	gniei3	51																																												
鈕	钮	ȵieⁱ⁵¹	ȵieⁱ	gniei3	51	姓																																											
忸	忸	ȵieⁱ⁵¹	ȵieⁱ	gniei3	51																																												
揉	揉	ȵieⁱ³⁴	ȵieⁱ	gniei2B	34																																												
牛	牛	ȵieⁱ³⁴	ȵieⁱ	gniei2B	34	文																																											
修	修	ɕieⁱ⁴⁴	ɕieⁱ	shiei1	44	又音																																											
脩	修	ɕieⁱ⁴⁴	ɕieⁱ	shiei1	44	又音																																											
羞	羞	ɕieⁱ⁴⁴	ɕieⁱ	shiei1	44																																												
饈	馐	ɕieⁱ⁴⁴	ɕieⁱ	shiei1	44																																												
休	休	ɕieⁱ⁴⁴	ɕieⁱ	shiei1	44																																												
貅	貅	ɕieⁱ⁴⁴	ɕieⁱ	shiei1	44																																												
媳	媳	ɕieⁱ⁴⁴	ɕieⁱ	shiei1	44	~婦，又音																																											
□		ɕieⁱ⁵¹	ɕieⁱ	shiei3	51	頑皮：箇小安（官）忒~																																											
朽	朽	ɕieⁱ⁵¹	ɕieⁱ	shiei3	51																																												
羞	羞	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324	清~；麥~穗頭																																											
繡	绣	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324																																												
銹	锈	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324																																												
秀	秀	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324	又音																																											
鏽	锈	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324																																												
宿	宿	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324	星~																																											
臭	臭	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324	味																																											
嗅	嗅	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324	~覺																																											
齅	嗅	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324	嗅本字																																											
溴	溴	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324																																												
朽	朽	ɕieⁱ³²⁴	ɕieⁱ	shiei5	324																																												
□		ʑieⁱ²³¹	ʑieⁱ	zhiei4	231	掙扎																																											
就	就	ʑieⁱ²¹³	ʑieⁱ	zhiei6	213																																												
袖	袖	ʑieⁱ²¹³	ʑieⁱ	zhiei6	213	又音																																											
囚	囚	ʑieⁱ¹¹³	ʑieⁱ	zhiei2A	113																																												
泅	泅	ʑieⁱ¹¹³	ʑieⁱ	zhiei2A	113																																												
憂	忧	Ǿieⁱ⁴⁴	Ǿieⁱ	iei1	44																																												
優	优	Ǿieⁱ⁴⁴	Ǿieⁱ	iei1	44																																												
幽	幽	Ǿieⁱ⁴⁴	Ǿieⁱ	iei1	44																																												
悠	悠	Ǿieⁱ⁴⁴	Ǿieⁱ	iei1	44																																												
攸	攸	Ǿieⁱ⁴⁴	Ǿieⁱ	iei1	44																																												
有	有	Ǿieⁱ⁵¹	Ǿieⁱ	iei3	51																																												
銪	铕	Ǿieⁱ⁵¹	Ǿieⁱ	iei3	51																																												
友	友	Ǿieⁱ⁵¹	Ǿieⁱ	iei3	51																																												
莠	莠	Ǿieⁱ⁵¹	Ǿieⁱ	iei3	51																																												
誘	诱	Ǿieⁱ⁵¹	Ǿieⁱ	iei3	51																																												
酉	酉	Ǿieⁱ⁵¹	Ǿieⁱ	iei3	51																																												
黝	黝	Ǿieⁱ⁵¹	Ǿieⁱ	iei3	51																																												
幼	幼	Ǿieⁱ³²⁴	Ǿieⁱ	iei5	324																																												
