ID	繁體	简体	聲韻	声母	韵母	聲調	注釋		声调：	
5023	謅	诌	tsau	ts	au	阴平				
5024	譏	讥	tsɿ	ts	ɿ	阴平				
5025	豬	猪	tsei	ts	ei	阴平				
5026	貞	贞	tseŋ	ts	eŋ	阴平				
5027	貲	赀	tsɿ	ts	ɿ	阴平				
5028	資	资	tsɿ	ts	ɿ	阴平				
5029	贓	赃	tsuɔ	ts	uɔ	阴平				
5030	踟	踟	tsɿ	ts	ɿ	阴平				
5031	踭	踭	tsiɛ	ts	iɛ	阴平	手～頭，胳膊肘兒；木節眼			
5032	蹤	踪	tsoŋ	ts	oŋ	阴平				
5033	輜	辎	tsɿ	ts	ɿ	阴平				
5034	追	追	tsɿ	ts	ɿ	阴平				
5035	遭	遭	tsɜ	ts	ɜ	阴平				
5036	遮	遮	tsei	ts	ei	阴平				
5037	鄒	邹	tsau	ts	au	阴平				
5038	針	针	tsaŋ	ts	aŋ	阴平				
5039	鉦	钲	tseŋ	ts	eŋ	阴平				
5040	銖	铢	tsɿ	ts	ɿ	阴平				
5041	錐	锥	tsɿ	ts	ɿ	阴平				
5042	錚	铮	tsiɛ	ts	iɛ	阴平				
5043	鍿	鍿	tsɿ	ts	ɿ	阴平				
5044	鑽	钻	tsø	ts	ø	阴平	～出			
5045	陬	陬	tsau	ts	au	阴平				
5046	雞	鸡	tsɿ	ts	ɿ	阴平				
5047	騶	驺	tsau	ts	au	阴平				
5048	鬃	鬃	tsoŋ	ts	oŋ	阴平				
5049	鯫	鲰	tsau	ts	au	阴平				
5050	齇	齄	tso	ts	o	阴平				
5051	齋	斋	tsa	ts	a	阴平				
5052	侵	侵	tsʰaŋ	tsʰ	aŋ	阴平				
5053	倉	仓	tsʰuɔ	tsʰ	uɔ	阴平				
5054	傖	伧	tsʰuɔ	tsʰ	uɔ	阴平				
5055	催	催	tsʰai	tsʰ	ai	阴平				
5056	初	初	tsʰɤu	tsʰ	ɤu	阴平				
5057	創	创	tsʰuɔ	tsʰ	uɔ	阴平	～傷			
5058	剿	剿	tsʰuɔ	tsʰ	uɔ	阴平				
5059	匆	匆	tsʰoŋ	tsʰ	oŋ	阴平				
5060	叉	叉	tsʰa	tsʰ	a	阴平	～燒肉			
5061	叉	叉	tsʰo	tsʰ	o	阴平				
5062	吹	吹	tsʰɿ	tsʰ	ɿ	阴平				
5063	嗤	嗤	tsʰɿ	tsʰ	ɿ	阴平				
5064	囪	囱	tsʰoŋ	tsʰ	oŋ	阴平				
5065	妻	妻	tsʰei	tsʰ	ei	阴平				
5066	媸	媸	tsʰɿ	tsʰ	ɿ	阴平				
5067	崔	崔	tsʰai	tsʰ	ai	阴平				
5068	嵯	嵯	tsʰo	tsʰ	o	阴平				
5069	差	差	tsʰa	tsʰ	a	阴平	～別；出～			
5070	差	差	tsʰo	tsʰ	o	阴平				
5071	差	差	tsʰɿ	tsʰ	ɿ	阴平	參～			
5072	從	从	tsʰoŋ	tsʰ	oŋ	阴平	～容			
5073	愴	怆	tsʰuɔ	tsʰ	uɔ	阴平				
5074	抄	抄	tsʰuɔ	tsʰ	uɔ	阴平				
5075	搓	搓	tsʰo	tsʰ	o	阴平				
5076	搓	搓	tsʰɤu	tsʰ	ɤu	阴平				
5077	摛	摛	tsʰɿ	tsʰ	ɿ	阴平				
5078	摧	摧	tsʰai	tsʰ	ai	阴平				
5079	撐	撑	tsʰiɛ	tsʰ	iɛ	阴平				
5080	攙	搀	tsʰa	tsʰ	a	阴平				
5081	敧	敧	tsʰɿ	tsʰ	ɿ	阴平				
5082	杈	杈	tsʰo	tsʰ	o	阴平				
5083	村	村	tsʰø	tsʰ	ø	阴平				
5084	棲	栖	tsʰei	tsʰ	ei	阴平				
5085	榱	榱	tsʰai	tsʰ	ai	阴平				
5086	欺	欺	tsʰɿ	tsʰ	ɿ	阴平				
5087	清	清	tsʰeŋ	tsʰ	eŋ	阴平				
5088	溪	溪	tsʰɿ	tsʰ	ɿ	阴平				
5089	滄	沧	tsʰuɔ	tsʰ	uɔ	阴平				
5090	炊	炊	tsʰɿ	tsʰ	ɿ	阴平				
5091	猜	猜	tsʰe	tsʰ	e	阴平				
5092	琛	琛	tsʰaŋ	tsʰ	aŋ	阴平				
5093	疵	疵	tsʰɿ	tsʰ	ɿ	阴平				
5094	瘡	疮	tsʰuɔ	tsʰ	uɔ	阴平				
5095	癡	痴	tsʰɿ	tsʰ	ɿ	阴平				
5096	皴	皴	tsʰø	tsʰ	ø	阴平				
5097	瞠	瞠	tsʰiɛ	tsʰ	iɛ	阴平				
5098	硨	砗	tsʰo	tsʰ	o	阴平				
5099	磋	磋	tsʰɤu	tsʰ	ɤu	阴平				
5100	稱	称	tsʰeŋ	tsʰ	eŋ	阴平				
5101	笡	笡	tsʰei	tsʰ	ei	阴平				
5102	粗	粗	tsʰøy	tsʰ	øy	阴平				
5103	絺	絺	tsʰɿ	tsʰ	ɿ	阴平				
5104	縗	缞	tsʰai	tsʰ	ai	阴平				
5105	聰	聪	tsʰoŋ	tsʰ	oŋ	阴平				
5106	艙	舱	tsʰuɔ	tsʰ	uɔ	阴平				
5107	芻	刍	tsʰɤu	tsʰ	ɤu	阴平				
5108	草	草	tsʰɜ	tsʰ	ɜ	阴平	潦～			
5109	萋	萋	tsʰei	tsʰ	ei	阴平				
5110	蒼	苍	tsʰuɔ	tsʰ	uɔ	阴平				
5111	蔥	葱	tsʰoŋ	tsʰ	oŋ	阴平				
5112	蚩	蚩	tsʰɿ	tsʰ	ɿ	阴平				
5113	蛆	蛆	tsʰei	tsʰ	ei	阴平	～蟲：孑孓			
5114	蜻	蜻	tsʰeŋ	tsʰ	eŋ	阴平				
5115	螭	螭	tsʰɿ	tsʰ	ɿ	阴平				
5116	蟶	蛏	tsʰeŋ	tsʰ	eŋ	阴平				
5117	衩	衩	tsʰo	tsʰ	o	阴平	褲～			
5118	衰	衰	tsʰai	tsʰ	ai	阴平	等～			
5119	親	亲	tsʰaŋ	tsʰ	aŋ	阴平				
5120	趨	趋	tsʰɿ	tsʰ	ɿ	阴平				
5121	蹉	蹉	tsʰo	tsʰ	o	阴平				
5122	車	车	tsʰei	tsʰ	ei	阴平	水～			
5123	車	车	tsʰo	tsʰ	o	阴平				
5124	造	造	tsʰɜ	tsʰ	ɜ	阴平	造次			
5125	釵	钗	tsʰa	tsʰ	a	阴平				
5126	鈔	钞	tsʰuɔ	tsʰ	uɔ	阴平				
5127	鐺	铛	tsʰiɛ	tsʰ	iɛ	阴平				
5128	雌	雌	tsʰɿ	tsʰ	ɿ	阴平				
5129	青	青	tsʰeŋ	tsʰ	eŋ	阴平				
5130	颸	飔	tsʰɿ	tsʰ	ɿ	阴平	風～，颱風			
5131	餐	餐	tsʰa	tsʰ	a	阴平				
5132	驂	骖	tsʰø	tsʰ	ø	阴平				
5133	鴟	鸱	tsʰɿ	tsʰ	ɿ	阴平				
5134	鶬	鸧	tsʰuɔ	tsʰ	uɔ	阴平				
5135	三	三	sa	s	a	阴平				
5136	些	些	sei	s	ei	阴平				
5137	伸	伸	saŋ	s	aŋ	阴平				
5138	僖	僖	sɿ	s	ɿ	阴平				
5139	僧	僧	saŋ	s	aŋ	阴平				
5140	刪	删	sa	s	a	阴平				
5141	升	升	seŋ	s	eŋ	阴平				
5142	叄	叄	sa	s	a	阴平				
5143	司	司	sɿ	s	ɿ	阴平				
5144	唆	唆	so	s	o	阴平				
5145	喪	丧	suɔ	s	uɔ	阴平				
5146	嗖	嗖	sau	s	au	阴平				
5147	嘻	嘻	sɿ	s	ɿ	阴平				
5148	奢	奢	sei	s	ei	阴平				
5149	姍	姗	sa	s	a	阴平				
5150	娑	娑	so	s	o	阴平				
5151	娠	娠	saŋ	s	aŋ	阴平				
5152	嬉	嬉	sɿ	s	ɿ	阴平				
5153	孫	孙	sø	s	ø	阴平				
5154	尿	尿	sɿ	s	ɿ	阴平				
5155	山	山	sa	s	a	阴平				
5156	嵩	嵩	soŋ	s	oŋ	阴平				
5157	希	希	sɿ	s	ɿ	阴平				
5158	師	师	sɿ	s	ɿ	阴平				
5159	廋	廋	sau	s	au	阴平				
5160	廝	厮	sɿ	s	ɿ	阴平				
5161	心	心	saŋ	s	aŋ	阴平				
5162	思	思	sɿ	s	ɿ	阴平				
5163	惺	惺	seŋ	s	eŋ	阴平				
5164	拴	拴	sø	s	ø	阴平				
5165	挱	挱	so	s	o	阴平				
5166	捎	捎	suɔ	s	uɔ	阴平				
5167	搓	搓	sɤu	s	ɤu	阴平				
5168	搔	搔	sɜ	s	ɜ	阴平				
5169	搜	搜	sau	s	au	阴平				
5170	撕	撕	sɿ	s	ɿ	阴平				
5171	斯	斯	sɿ	s	ɿ	阴平				
5172	新	新	saŋ	s	aŋ	阴平				
5173	新	新	seŋ	s	eŋ	阴平	～鮮			
5174	施	施	sɿ	s	ɿ	阴平				
5175	星	星	seŋ	s	eŋ	阴平				
5176	書	书	sɿ	s	ɿ	阴平				
5177	杉	杉	sa	s	a	阴平				
5178	栓	栓	sø	s	ø	阴平				
5179	桑	桑	suɔ	s	uɔ	阴平				
5180	桫	桫	so	s	o	阴平				
5181	梢	梢	suɔ	s	uɔ	阴平				
5182	梭	梭	so	s	o	阴平				
5183	梭	梭	sɤu	s	ɤu	阴平				
5184	梳	梳	sɤu	s	ɤu	阴平				
5185	梳	梳	sɿ	s	ɿ	阴平				
5186	森	森	saŋ	s	aŋ	阴平				
5187	樨	樨	sei	s	ei	阴平				
5188	欷	欷	sɿ	s	ɿ	阴平				
5189	汕	汕	sa	s	a	阴平				
5190	沙	沙	so	s	o	阴平				
5191	淞	淞	soŋ	s	oŋ	阴平				
5192	深	深	saŋ	s	aŋ	阴平				
5193	溲	溲	sau	s	au	阴平				
5194	潸	潸	sa	s	a	阴平				
5195	澌	澌	sɿ	s	ɿ	阴平				
5196	熙	熙	sɿ	s	ɿ	阴平				
5197	熹	熹	sɿ	s	ɿ	阴平				
5198	牲	牲	siɛ	s	iɛ	阴平				
5199	犀	犀	sei	s	ei	阴平				
5200	犧	牺	sɿ	s	ɿ	阴平				
5201	狻	狻	sø	s	ø	阴平				
5202	猩	猩	seŋ	s	eŋ	阴平				
5203	猻	狲	sø	s	ø	阴平				
5204	獅	狮	sɿ	s	ɿ	阴平				
5205	珊	珊	sa	s	a	阴平				
5206	生	生	siɛ	s	iɛ	阴平				
5207	甥	甥	siɛ	s	iɛ	阴平				
5208	申	申	saŋ	s	aŋ	阴平				
5209	申	申	seŋ	s	eŋ	阴平	～冤			
5210	疏	疏	sɤu	s	ɤu	阴平				
5211	痧	痧	so	s	o	阴平				
5212	睃	睃	so	s	o	阴平				
5213	砂	砂	so	s	o	阴平				
5214	禧	禧	sɿ	s	ɿ	阴平				
5215	私	私	sɿ	s	ɿ	阴平				
5216	稀	稀	sɿ	s	ɿ	阴平				
5217	稍	稍	suɔ	s	uɔ	阴平				
5218	笙	笙	siɛ	s	iɛ	阴平				
5219	筲	筲	suɔ	s	uɔ	阴平				
5220	篩	筛	sa	s	a	阴平	～酒、～鑼			
5221	篩	筛	sɿ	s	ɿ	阴平				
5222	紗	纱	so	s	o	阴平				
5223	絲	丝	sɿ	s	ɿ	阴平				
5224	綏	绥	sɿ	s	ɿ	阴平				
5225	繰	缲	sɜ	s	ɜ	阴平				
5226	羧	羧	so	s	o	阴平				
5227	聲	声	seŋ	s	eŋ	阴平				
5228	胥	胥	sɿ	s	ɿ	阴平				
5229	腥	腥	seŋ	s	eŋ	阴平				
5230	腮	腮	sɿ	s	ɿ	阴平				
5231	臊	臊	sɜ	s	ɜ	阴平				
5232	舒	舒	sɿ	s	ɿ	阴平				
5233	舢	舢	sa	s	a	阴平				
5234	艄	艄	suɔ	s	uɔ	阴平				
5235	艘	艘	sau	s	au	阴平				
5236	芟	芟	sa	s	a	阴平				
5237	芯	芯	saŋ	s	aŋ	阴平				
5238	荽	荽	sɿ	s	ɿ	阴平				
5239	莎	莎	so	s	o	阴平				
5240	蓀	荪	sø	s	ø	阴平				
5241	蓑	蓑	so	s	o	阴平				
5242	蔬	蔬	sɤu	s	ɤu	阴平				
5243	薪	薪	saŋ	s	aŋ	阴平				
5244	蛸	蛸	suɔ	s	uɔ	阴平				
5245	蟢	蟢	sɿ	s	ɿ	阴平				
5246	衰	衰	sai	s	ai	阴平				
5247	裟	裟	so	s	o	阴平				
5248	西	西	sei	s	ei	阴平				
5249	詩	诗	sɿ	s	ɿ	阴平				
5250	賒	赊	sei	s	ei	阴平				
5251	跚	跚	sa	s	a	阴平				
5252	身	身	saŋ	s	aŋ	阴平				
5253	輸	输	sɿ	s	ɿ	阴平				
5254	辛	辛	saŋ	s	aŋ	阴平				
5255	郗	郗	sɿ	s	ɿ	阴平				
5256	酥	酥	søy	s	øy	阴平				
5257	酸	酸	sø	s	ø	阴平				
5258	醯	酰	sɿ	s	ɿ	阴平				
5259	鋅	锌	saŋ	s	aŋ	阴平				
5260	鎪	锼	sau	s	au	阴平				
5261	閂	闩	sø	s	ø	阴平				
5262	雖	虽	sɿ	s	ɿ	阴平				
5263	需	需	sɿ	s	ɿ	阴平				
5264	鞘	鞘	suɔ	s	uɔ	阴平				
5265	颼	飕	sau	s	au	阴平				
5266	飧	飧	sø	s	ø	阴平				
5267	餿	馊	sau	s	au	阴平				
5268	騷	骚	sɜ	s	ɜ	阴平				
5269	鯊	鲨	so	s	o	阴平				
5270	鰓	鳃	sei	s	ei	阴平				
5271	鰓	鳃	sɿ	s	ɿ	阴平				
5272	□	□	tɕoŋ	tɕ	oŋ	阴平	向前急跳			
5273	中	中	tɕoŋ	tɕ	oŋ	阴平				
5274	京	京	tɕaŋ	tɕ	aŋ	阴平				
5275	今	今	tɕaŋ	tɕ	aŋ	阴平				
5276	佉	佉	tɕa	tɕ	a	阴平				
5277	供	供	tɕyɔ	tɕ	yɔ	阴平	～給；口～			
5278	俱	俱	tɕy	tɕ	y	阴平				
5279	兢	兢	tɕaŋ	tɕ	aŋ	阴平				
5280	兼	兼	tɕi	tɕ	i	阴平				
5281	君	君	tɕoŋ	tɕ	oŋ	阴平				
5282	啁	啁	tɕiɛ	tɕ	iɛ	阴平	～哳			
5283	啁	啁	tɕɤu	tɕ	ɤu	阴平				
5284	嘲	嘲	tɕiɛ	tɕ	iɛ	阴平	～哳			
5285	圭	圭	tɕy	tɕ	y	阴平				
5286	均	均	tɕoŋ	tɕ	oŋ	阴平				
5287	堅	坚	tɕi	tɕ	i	阴平				
5288	妝	妆	tɕyɔ	tɕ	yɔ	阴平				
5289	娟	娟	tɕy	tɕ	y	阴平				
5290	媯	妫	tɕy	tɕ	y	阴平				
5291	嬌	娇	tɕiɛ	tɕ	iɛ	阴平				
5292	宮	宫	tɕoŋ	tɕ	oŋ	阴平				
5293	將	将	tɕi	tɕ	i	阴平	～來			
5294	專	专	tɕy	tɕ	y	阴平				
5295	尖	尖	tɕi	tɕ	i	阴平				
5296	居	居	tɕy	tɕ	y	阴平				
5297	州	州	tɕɤu	tɕ	ɤu	阴平				
5298	巾	巾	tɕaŋ	tɕ	aŋ	阴平				
5299	弓	弓	tɕoŋ	tɕ	oŋ	阴平				
5300	張	张	tɕi	tɕ	i	阴平				
5301	彰	彰	tɕi	tɕ	i	阴平				
5302	忠	忠	tɕoŋ	tɕ	oŋ	阴平				
5303	恭	恭	tɕyɔ	tɕ	yɔ	阴平				
5304	憔	憔	tɕiɛ	tɕ	iɛ	阴平				
5305	拘	拘	tɕy	tɕ	y	阴平				
5306	招	招	tɕiɛ	tɕ	iɛ	阴平				
5307	捐	捐	tɕy	tɕ	y	阴平				
5308	揪	揪	tɕɤu	tɕ	ɤu	阴平				
5309	揫	揫	tɕɤu	tɕ	ɤu	阴平				
5310	斤	斤	tɕaŋ	tɕ	aŋ	阴平				
5311	昭	昭	tɕiɛ	tɕ	iɛ	阴平				
5312	朝	朝	tɕiɛ	tɕ	iɛ	阴平	～夕			
5313	椐	椐	tɕy	tɕ	y	阴平				
5314	椒	椒	tɕiɛ	tɕ	iɛ	阴平				
5315	樁	桩	tɕyɔ	tɕ	yɔ	阴平				
5316	樟	樟	tɕi	tɕ	i	阴平				
5317	歸	归	tɕy	tɕ	y	阴平	當～			
5318	殲	歼	tɕi	tɕ	i	阴平				
5319	氈	毡	tɕi	tɕ	i	阴平				
5320	沾	沾	tɕi	tɕ	i	阴平				
5321	洲	洲	tɕɤu	tɕ	ɤu	阴平				
5322	涓	涓	tɕy	tɕ	y	阴平				
5323	漿	浆	tɕi	tɕ	i	阴平				
5324	澆	浇	tɕiɛ	tɕ	iɛ	阴平				
5325	焦	焦	tɕiɛ	tɕ	iɛ	阴平				
5326	煎	煎	tɕi	tɕ	i	阴平				
5327	琚	琚	tɕy	tɕ	y	阴平				
5328	疆	疆	tɕi	tɕ	i	阴平				
5329	皸	皲	tɕoŋ	tɕ	oŋ	阴平				
5330	盅	盅	tɕoŋ	tɕ	oŋ	阴平				
5331	瞻	瞻	tɕi	tɕ	i	阴平				
5332	矜	矜	tɕaŋ	tɕ	aŋ	阴平				
5333	矽	硅	tɕy	tɕ	y	阴平				
5334	磚	砖	tɕy	tɕ	y	阴平				
5335	礁	礁	tɕiɛ	tɕ	iɛ	阴平				
5336	禁	禁	tɕaŋ	tɕ	aŋ	阴平				
5337	章	章	tɕi	tɕ	i	阴平				
5338	筋	筋	tɕaŋ	tɕ	aŋ	阴平				
5339	箋	笺	tɕi	tɕ	i	阴平				
5340	粳	粳	tɕaŋ	tɕ	aŋ	阴平				
5341	糾	纠	tɕau	tɕ	au	阴平				
5342	終	终	tɕoŋ	tɕ	oŋ	阴平				
5343	經	经	tɕaŋ	tɕ	aŋ	阴平				
5344	縑	缣	tɕi	tɕ	i	阴平				
5345	縱	纵	tɕyɔ	tɕ	yɔ	阴平				
5346	肩	肩	tɕi	tɕ	i	阴平				
5347	肫	肫	tɕoŋ	tɕ	oŋ	阴平				
5348	腒	腒	tɕy	tɕ	y	阴平				
5349	舟	舟	tɕɤu	tɕ	ɤu	阴平				
5350	荊	荆	tɕaŋ	tɕ	aŋ	阴平				
5351	莊	庄	tɕyɔ	tɕ	yɔ	阴平	地名用字；賭博做～			
5352	莖	茎	tɕaŋ	tɕ	aŋ	阴平				
5353	蒹	蒹	tɕi	tɕ	i	阴平				
5354	蕉	蕉	tɕiɛ	tɕ	iɛ	阴平				
5355	螽	螽	tɕoŋ	tɕ	oŋ	阴平				
5356	蠲	蠲	tɕy	tɕ	y	阴平				
5357	衿	衿	tɕaŋ	tɕ	aŋ	阴平				
5358	裝	装	tɕyɔ	tɕ	yɔ	阴平				
5359	裾	裾	tɕy	tɕ	y	阴平				
5360	襟	襟	tɕaŋ	tɕ	aŋ	阴平				
5361	規	规	tɕy	tɕ	y	阴平				
5362	覘	觇	tɕi	tɕ	i	阴平				
5363	詹	詹	tɕi	tɕ	i	阴平				
5364	諄	谆	tɕoŋ	tɕ	oŋ	阴平				
5365	賙	赒	tɕɤu	tɕ	ɤu	阴平				
5366	跔	跔	tɕau	tɕ	au	阴平	蹲			
5367	踞	踞	tɕy	tɕ	y	阴平				
5368	蹤	踪	tɕyɔ	tɕ	yɔ	阴平	～跡			
5369	躬	躬	tɕoŋ	tɕ	oŋ	阴平				
5370	車	车	tɕy	tɕ	y	阴平	～馬炮			
5371	軌	轨	tɕy	tɕ	y	阴平				
5372	軍	军	tɕoŋ	tɕ	oŋ	阴平				
5373	迦	迦	tɕa	tɕ	a	阴平				
5374	遵	遵	tɕoŋ	tɕ	oŋ	阴平				
5375	邽	邽	tɕy	tɕ	y	阴平				
5376	鄄	鄄	tɕy	tɕ	y	阴平				
5377	金	金	tɕaŋ	tɕ	aŋ	阴平				
5378	釗	钊	tɕiɛ	tɕ	iɛ	阴平				
5379	鈞	钧	tɕoŋ	tɕ	oŋ	阴平				
5380	鐫	镌	tɕy	tɕ	y	阴平				
5381	閨	闺	tɕy	tɕ	y	阴平				
5382	障	障	tɕi	tɕ	i	阴平				
5383	沾	沾	tɕi	tɕ	i	阴平				
5384	韁	缰	tɕi	tɕ	i	阴平				
5385	顓	颛	tɕy	tɕ	y	阴平				
5386	饘	饘	tɕi	tɕ	i	阴平				
5387	駒	驹	tɕy	tɕ	y	阴平				
5388	驕	骄	tɕiɛ	tɕ	iɛ	阴平				
5389	驚	惊	tɕaŋ	tɕ	aŋ	阴平				
5390	鬮	阄	tɕau	tɕ	au	阴平				
5391	鳩	鸠	tɕau	tɕ	au	阴平				
5392	鵑	鹃	tɕy	tɕ	y	阴平				
5393	鶼	鹣	tɕi	tɕ	i	阴平				
5394	鷦	鹪	tɕiɛ	tɕ	iɛ	阴平				
5395	龔	龚	tɕyɔ	tɕ	yɔ	阴平				
5396	龜	龟	tɕy	tɕ	y	阴平				
5397	□	□	tɕʰau	tɕʰ	au	阴平	<竹/[勹@九]>箍			
5398	丘	丘	tɕʰau	tɕʰ	au	阴平				
5399	倡	倡	tɕʰi	tɕʰ	i	阴平				
5400	傖	伧	tɕʰi	tɕʰ	i	阴平				
5401	傾	倾	tɕʰoŋ	tɕʰ	oŋ	阴平				
5402	僉	佥	tɕʰi	tɕʰ	i	阴平				
5403	充	充	tɕʰoŋ	tɕʰ	oŋ	阴平				
5404	劻	劻	tɕʰyɔ	tɕʰ	yɔ	阴平				
5405	匡	匡	tɕʰyɔ	tɕʰ	yɔ	阴平				
5406	區	区	tɕʰy	tɕʰ	y	阴平				
5407	卿	卿	tɕʰaŋ	tɕʰ	aŋ	阴平				
5408	呿	呿	tɕʰy	tɕʰ	y	阴平				
5409	圈	圈	tɕʰy	tɕʰ	y	阴平				
5410	嶇	岖	tɕʰy	tɕʰ	y	阴平				
5411	川	川	tɕʰy	tɕʰ	y	阴平				
5412	幧	幧	tɕʰiɛ	tɕʰ	iɛ	阴平				
5413	弨	弨	tɕʰiɛ	tɕʰ	iɛ	阴平				
5414	忡	忡	tɕʰoŋ	tɕʰ	oŋ	阴平				
5415	怊	怊	tɕʰiɛ	tɕʰ	iɛ	阴平				
5416	悄	悄	tɕʰiɛ	tɕʰ	iɛ	阴平	靜～～			
5417	悛	悛	tɕʰy	tɕʰ	y	阴平				
5418	愆	愆	tɕʰi	tɕʰ	i	阴平				
5419	扡	扦	tɕʰi	tɕʰ	i	阴平				
5420	抽	抽	tɕʰɤu	tɕʰ	ɤu	阴平				
5421	搴	搴	tɕʰi	tɕʰ	i	阴平				
5422	昌	昌	tɕʰi	tɕʰ	i	阴平				
5423	春	春	tɕʰoŋ	tɕʰ	oŋ	阴平				
5424	框	框	tɕʰyɔ	tɕʰ	yɔ	阴平				
5425	椿	椿	tɕʰoŋ	tɕʰ	oŋ	阴平				
5426	槍	枪	tɕʰi	tɕʰ	i	阴平				
5427	樞	枢	tɕʰy	tɕʰ	y	阴平				
5428	欽	钦	tɕʰaŋ	tɕʰ	aŋ	阴平				
5429	湫	湫	tɕʰɤu	tɕʰ	ɤu	阴平				
5430	牽	牵	tɕʰi	tɕʰ	i	阴平				
5431	猖	猖	tɕʰi	tɕʰ	i	阴平				
5432	痊	痊	tɕʰy	tɕʰ	y	阴平				
5433	瘡	疮	tɕʰyɔ	tɕʰ	yɔ	阴平	楊梅～，梅毒			
5434	皴	皴	tɕʰoŋ	tɕʰ	oŋ	阴平				
5435	眶	眶	tɕʰyɔ	tɕʰ	yɔ	阴平				
5436	瞧	瞧	tɕʰiɛ	tɕʰ	iɛ	阴平				
5437	祛	祛	tɕʰy	tɕʰ	y	阴平				
5438	穹	穹	tɕʰoŋ	tɕʰ	oŋ	阴平				
5439	穿	穿	tɕʰoŋ	tɕʰ	oŋ	阴平	穿針			
5440	穿	穿	tɕʰy	tɕʰ	y	阴平				
5441	窗	窗	tɕʰyɔ	tɕʰ	yɔ	阴平				
5442	窺	窥	tɕʰy	tɕʰ	y	阴平				
5443	筌	筌	tɕʰy	tɕʰ	y	阴平				
5444	筐	筐	tɕʰyɔ	tɕʰ	yɔ	阴平				
5445	繰	缲	tɕʰiɛ	tɕʰ	iɛ	阴平				
5446	羌	羌	tɕʰi	tɕʰ	i	阴平				
5447	胠	胠	tɕʰy	tɕʰ	y	阴平				
5448	腔	腔	tɕʰi	tɕʰ	i	阴平				
5449	芎	芎	tɕʰoŋ	tɕʰ	oŋ	阴平				
5450	荃	荃	tɕʰy	tɕʰ	y	阴平				
5451	菖	菖	tɕʰi	tɕʰ	i	阴平				
5452	虧	亏	tɕʰy	tɕʰ	y	阴平	～你			
5453	蚯	蚯	tɕʰau	tɕʰ	au	阴平				
5454	衾	衾	tɕʰaŋ	tɕʰ	aŋ	阴平				
5455	褰	褰	tɕʰi	tɕʰ	i	阴平				
5456	詮	诠	tɕʰy	tɕʰ	y	阴平				
5457	誆	诓	tɕʰyɔ	tɕʰ	yɔ	阴平				
5458	謙	谦	tɕʰi	tɕʰ	i	阴平				
5459	超	超	tɕʰiɛ	tɕʰ	iɛ	阴平				
5460	跬	跬	tɕʰy	tɕʰ	y	阴平				
5461	蹌	跄	tɕʰi	tɕʰ	i	阴平				
5462	蹡	蹡	tɕʰi	tɕʰ	i	阴平				
5463	蹺	跷	tɕʰiɛ	tɕʰ	iɛ	阴平				
5464	躚	跹	tɕʰi	tɕʰ	i	阴平				
5465	軀	躯	tɕʰy	tɕʰ	y	阴平				
5466	輕	轻	tɕʰaŋ	tɕʰ	aŋ	阴平				
5467	遷	迁	tɕʰi	tɕʰ	i	阴平				
5468	邱	邱	tɕʰau	tɕʰ	au	阴平				
5469	醛	醛	tɕʰy	tɕʰ	y	阴平				
5470	鍬	锹	tɕʰiɛ	tɕʰ	iɛ	阴平				
5471	鏘	锵	tɕʰi	tɕʰ	i	阴平				
5472	阡	阡	tɕʰi	tɕʰ	i	阴平				
5473	騫	骞	tɕʰi	tɕʰ	i	阴平				
5474	驅	驱	tɕʰy	tɕʰ	y	阴平				
5475	鯧	鲳	tɕʰi	tɕʰ	i	阴平				
5476	鰍	鳅	tɕʰɤu	tɕʰ	ɤu	阴平				
5477	□	□	ɕiɛ	ɕ	iɛ	阴平	掀起			
5478	仙	仙	ɕi	ɕ	i	阴平				
5479	休	休	ɕau	ɕ	au	阴平				
5480	修	修	ɕɤu	ɕ	ɤu	阴平				
5481	傷	伤	ɕi	ɕ	i	阴平				
5482	儇	儇	ɕy	ɕ	y	阴平				
5483	兄	兄	ɕoŋ	ɕ	oŋ	阴平				
5484	先	先	ɕi	ɕ	i	阴平				
5485	凶	凶	ɕaŋ	ɕ	aŋ	阴平	白			
5486	凶	凶	ɕyɔ	ɕ	yɔ	阴平				
5487	勳	勋	ɕoŋ	ɕ	oŋ	阴平				
5488	勷	勷	ɕi	ɕ	i	阴平				
5489	咻	咻	ɕau	ɕ	au	阴平				
5490	商	商	ɕi	ɕ	i	阴平				
5491	喧	喧	ɕy	ɕ	y	阴平				
5492	嘵	哓	ɕiɛ	ɕ	iɛ	阴平				
5493	噓	嘘	ɕy	ɕ	y	阴平				
5494	囂	嚣	ɕiɛ	ɕ	iɛ	阴平				
5495	塤	埙	ɕoŋ	ɕ	oŋ	阴平				
5496	墟	墟	ɕy	ɕ	y	阴平				
5497	婚	婚	ɕy	ɕ	y	阴平				
5498	孀	孀	ɕyɔ	ɕ	yɔ	阴平				
5499	宣	宣	ɕy	ɕ	y	阴平				
5500	宵	宵	ɕiɛ	ɕ	iɛ	阴平				
5501	峋	峋	ɕoŋ	ɕ	oŋ	阴平				
5502	庥	庥	ɕau	ɕ	au	阴平				
5503	廂	厢	ɕi	ɕ	i	阴平				
5504	悄	悄	ɕiɛ	ɕ	iɛ	阴平	靜～～			
5505	懸	悬	ɕy	ɕ	y	阴平	白			
5506	掀	掀	ɕaŋ	ɕ	aŋ	阴平				
5507	揎	揎	ɕy	ɕ	y	阴平				
