ID	繁體	简体	聲韻	声母	韵母	聲調	注釋		声调：	
486	洳	洳	zɿ	z	ɿ	阳平				
487	漕	漕	zɜ	z	ɜ	阳平				
488	潯	浔	zaŋ	z	aŋ	阳平				
489	潺	潺	za	z	a	阳平				
490	瓷	瓷	zɿ	z	ɿ	阳平				
491	疵	疵	zɿ	z	ɿ	阳平				
492	痤	痤	zo	z	o	阳平				
493	瘥	瘥	zo	z	o	阳平				
494	盛	盛	zeŋ	z	eŋ	阳平				
495	睉	睉	zo	z	o	阳平	～眼，晃眼			
496	磁	磁	zɿ	z	ɿ	阳平				
497	神	神	zaŋ	z	aŋ	阳平				
498	祠	祠	zɿ	z	ɿ	阳平				
499	秦	秦	zaŋ	z	aŋ	阳平				
500	糍	糍	zɿ	z	ɿ	阳平				
501	純	纯	zoŋ	z	oŋ	阳平				
502	絨	绒	zoŋ	z	oŋ	阳平				
503	繩	绳	zeŋ	z	eŋ	阳平				
504	而	而	zɿ	z	ɿ	阳平				
505	胹	胹	zɿ	z	ɿ	阳平				
506	臍	脐	zei	z	ei	阳平				
507	艚	艚	zɜ	z	ɜ	阳平				
508	茈	茈	zɿ	z	ɿ	阳平	鳧～，荸薺			
509	茨	茨	zɿ	z	ɿ	阳平				
510	茲	兹	zɿ	z	ɿ	阳平	龜～：古國名			
511	茸	茸	zoŋ	z	oŋ	阳平				
512	茹	茹	zɿ	z	ɿ	阳平				
513	蓴	莼	zoŋ	z	oŋ	阳平				
514	蒔	莳	zɿ	z	ɿ	阳平				
515	蕤	蕤	zɿ	z	ɿ	阳平				
516	薯	薯	zei	z	ei	阳平				
517	薷	薷	zɿ	z	ɿ	阳平				
518	藏	藏	zuɔ	z	uɔ	阳平	隱～			
519	蛇	蛇	zei	z	ei	阳平				
520	螬	螬	zɜ	z	ɜ	阳平				
521	蠐	蛴	zei	z	ei	阳平				
522	蠕	蠕	zɿ	z	ɿ	阳平				
523	袽	袽	zɿ	z	ɿ	阳平				
524	裁	裁	ze	z	e	阳平				
525	襦	襦	zɿ	z	ɿ	阳平				
526	詞	词	zɿ	z	ɿ	阳平				
527	誠	诚	zeŋ	z	eŋ	阳平				
528	誰	谁	zɿ	z	ɿ	阳平				
529	讒	谗	za	z	a	阳平				
530	豉	豉	zɿ	z	ɿ	阳平				
531	豺	豺	za	z	a	阳平				
532	財	财	ze	z	e	阳平				
533	輀	輀	zɿ	z	ɿ	阳平				
534	辭	辞	zɿ	z	ɿ	阳平				
535	辰	辰	zaŋ	z	aŋ	阳平				
536	遂	遂	zɿ	z	ɿ	阳平	半身不～			
537	邪	邪	zei	z	ei	阳平				
538	醇	醇	zoŋ	z	oŋ	阳平				
539	銣	铷	zɿ	z	ɿ	阳平	元素名			
540	鋤	锄	zɤu	z	ɤu	阳平				
541	鋤	锄	zɿ	z	ɿ	阳平	板～			
542	隋	隋	zɿ	z	ɿ	阳平				
543	隨	随	zɿ	z	ɿ	阳平				
544	雛	雏	zɤu	z	ɤu	阳平				
545	餈	餈	zɿ	z	ɿ	阳平				
546	餳	饧	zeŋ	z	eŋ	阳平				
547	饞	馋	za	z	a	阳平				
548	鰣	鲥	zɿ	z	ɿ	阳平				
549	鴯	鸸	zɿ	z	ɿ	阳平				
550	鶉	鹑	zoŋ	z	oŋ	阳平				
551	鶿	鹚	zɿ	z	ɿ	阳平				
552	鹺	鹾	zo	z	o	阳平				
553	齊	齐	zei	z	ei	阳平				
554	仇	仇	dʑau	dʑ	au	阳平	姓			
555	伽	伽	dʑa	dʑ	a	阳平				
556	俅	俅	dʑau	dʑ	au	阳平				
557	傳	传	dʑy	dʑ	y	阳平	宣～			
558	僑	侨	dʑiɛ	dʑ	iɛ	阳平				
559	儔	俦	dʑɤu	dʑ	ɤu	阳平				
560	劬	劬	dʑy	dʑ	y	阳平				
561	勤	勤	dʑaŋ	dʑ	aŋ	阳平				
562	售	售	dʑɤu	dʑ	ɤu	阳平				
563	喬	乔	dʑiɛ	dʑ	iɛ	阳平				
564	嘲	嘲	dʑiɛ	dʑ	iɛ	阳平				
565	囚	囚	dʑɤu	dʑ	ɤu	阳平				
566	場	场	dʑi	dʑ	i	阳平				
567	夔	夔	dʑy	dʑ	y	阳平				
568	岑	岑	dʑaŋ	dʑ	aŋ	阳平				
569	巰	巯	dʑau	dʑ	au	阳平				
570	常	常	dʑi	dʑ	i	阳平	～～			
571	幢	幢	dʑyɔ	dʑ	yɔ	阳平	經～			
572	廛	廛	dʑi	dʑ	i	阳平				
573	強	强	dʑi	dʑ	i	阳平				
574	惆	惆	dʑɤu	dʑ	ɤu	阳平				
575	惓	惓	dʑy	dʑ	y	阳平				
576	懃	懃	dʑaŋ	dʑ	aŋ	阳平				
577	拳	拳	dʑy	dʑ	y	阳平				
578	揆	揆	dʑy	dʑ	y	阳平				
579	撞	撞	dʑyɔ	dʑ	yɔ	阳平	～鐘			
580	擎	擎	dʑaŋ	dʑ	aŋ	阳平				
