字頭	聲紐	呼	等	韻部	聲調	組	攝	聲母	韻母	聲調	備註	
譚	定	開	一	覃	平	端	咸	d	om	4		
袒	定	開	一	寒	上	端	山	t	on	3	見《玉林话研究》	
跳	定	開	四	蕭	平	端	效	t	iu	3	文讀：~繩|~髙|~遠|~躍	
脫	透	合	一	寒	入	端	山	t	yut	7		
逮	定	開	四	齊	去	端	蟹	d	oi	6		
黛	定	開	一	咍	去	端	蟹	d	oi	6		
眈	端	開	一	覃	平	端	咸	dd	om	1		
憚	定	開	一	寒	去	端	山	d	on	4		
悼	定	開	一	豪	去	端	效	d	eou	6		
喋	定	開	四	添	入	端	咸	d	ep	10		
瀆	定	開	一	東	入	端	通	d	uk	9		
沌	定	合	一	魂	平	端	臻	d	an	6		
啕	定	開	一	豪	平	端	效	d	eou	4		
迢	定	開	四	蕭	平	端	效	d	iu	4		
窕	定	開	四	蕭	上	端	效	t	iu	2		
霆	定	開	四	青	平	端	梗	d	ing	4		
途	定	開	一	模	平	端	遇	d	u	4		
塗	定	開	一	模	平	端	遇	d	u	4		
圖	定	開	一	模	平	端	遇	d	u	4		
陀	定	開	一	歌	平	端	果	d	eo	4		
哪	泥	開	一	歌	上	端	果	n	o	6		
荼	定	開	一	模	平	端	遇	d	u	4		
那	泥	開	一	歌	平	端	果	n	o	6		
娜	泥	開	一	歌	上	端	果	n	o	6		
納	泥	開	一	覃	入	端	咸	n	op	10		
捺	泥	開	一	寒	入	端	山	n	ot	8		
乃	泥	開	一	咍	上	端	蟹	n	oi	5		
乃								n	oi	2	土~ 山：山名	
迺	泥	開	一	咍	上	端	蟹	n	oi	5		
奈	泥	開	一	泰	去	端	蟹	n	oi	6		
耐	泥	開	一	咍	去	端	蟹	n	oi	6		
男	泥	開	一	覃	平	端	咸	n	om	4		
南	泥	開	一	覃	平	端	咸	n	om	4		
楠	泥	開	一	覃	平	端	咸	n	om	4		
難	泥	開	一	寒	平	端	山	n	on	4	困~	
難	泥	開	一	寒	去	端	山	n	on	6	災~	
囊	泥	開	一	唐	平	端	宕	n	ong	4		
惱	泥	開	一	豪	上	端	效	n	eou	5		
瑙	泥	開	一	豪	上	端	效	n	eou	5		
腦	泥	開	一	豪	上	端	效	n	eou	5		
內	泥	合	一	灰	去	端	蟹	n	oi	6		
嫩	泥	合	一	魂	去	端	臻	n	yun	6		
能	泥	開	一	登	平	端	曾	n	ang	4		
泥	泥	開	四	齊	平	端	蟹	n	ai	4		
拈	泥	開	四	添	平	端	咸	n	em	1	白~：掱手	
拈	泥	開	四	添	平	端	咸	n	im	1		
年	泥	開	四	先	平	端	山	n	in	1	白讀	
年	泥	開	四	先	平	端	山	n	in	4		
念	泥	開	四	添	去	端	咸	n	im	6		
鳥	泥	開	四	蕭	上	端	效	n	iu	5	文讀	
尿	泥	開	四	蕭	去	端	效	n	eu	6	文讀：~素、~布	
捏	泥	開	四	先	入	端	山	n	at	7	白讀	
捏	泥	開	四	先	入	端	山	n	et	10		
捏	泥	開	四	先	入	端	山	n	ep	10	又文讀	
涅	泥	開	四	屑	入	端	山	n	ep	10	又讀	
涅	泥	開	四	屑	入	端	山	n	et	10		
寧	泥	開	四	青	平	端	梗	n	ing	4		
嚀	泥	開	四	青	平	端	梗	n	ing	4		
濘	泥	開	四	青	上	端	梗	n	ing	6		
農	泥	合	一	冬	平	端	通	n	ung	4		
膿	泥	合	一	冬	平	端	通	n	ung	1		
菟	定	開	一	模	平	端	遇	d	u	4	於~：虎	
菟	端	開	一	模	去	端	遇	t	u	3	~絲子：一種寄生植物	
奴	泥	開	一	模	平	端	遇	n	u	4		
暖	泥	合	一	寒	上	端	山	n	yun	5		
挪	泥	開	一	歌	平	端	果	n	eo	4		
諾	泥	開	一	唐	入	端	宕	n	ok	10		
糯	泥	合	一	戈	去	端	果	n	oe	6		
閒	見	開	二	山	平	見	山	0	on	4		
努	泥	開	一	模	上	端	遇	n	u	6		
懈	見	開	二	佳	去	見	蟹	0	oi	5	見《玉林话研究》	
駱	來	開	一	唐	入	來	宕	l	ok	8		
拉	來	開	一	覃	入	來	咸	l	o	1	譯音用：~丁，阿~伯，南斯~夫	
拉	來	開	一	覃	入	來	咸	l	oi	1	~扯，拖~	
喇	來	開	一	寒	入	來	山	l	o	2		
辣	來	開	一	寒	入	來	山	l	ot	10		
臘	來	開	一	談	入	來	咸	l	op	10		
蠟	來	開	一	談	入	來	咸	l	op	10		
來	來	開	一	咍	平	來	蟹	l	oi	4		
賴	來	開	一	泰	去	來	蟹	l	oi	6		
癩	來	開	一	泰	去	來	蟹	l	oi	3		
籟	來	開	一	泰	去	來	蟹	l	oi	6		
婪	來	開	一	覃	平	來	咸	l	om	2		
嵐	來	開	一	覃	平	來	咸	l	on	4		
藍	來	開	一	談	平	來	咸	l	om	4		
闌	來	開	一	寒	平	來	山	l	on	4		
攔	來	開	一	寒	平	來	山	l	on	4		
蘭	來	開	一	寒	平	來	山	l	on	4	~花|~草	
蘭	來	開	一	寒	平	來	山	l	on	1	荷~|~豆(荷蘭豆的省稱)	
籃	來	開	一	談	平	來	咸	l	om	4		
瀾	來	開	一	寒	平	來	山	l	on	4		
欄	來	開	一	寒	平	來	山	l	on	4		
欄	來	開	一	寒	平	來	山	l	on	1	畜養牛、羊等牲畜的處所	
懶	來	開	一	寒	上	來	山	l	on	5		
覽	來	開	一	談	上	來	咸	l	om	2		
攬	來	開	一	談	上	來	咸	l	om	2		
欖	來	開	一	談	上	來	咸	l	om	2		
纜	來	開	一	覃	上	來	咸	l	om	6		
爛	來	開	一	寒	去	來	山	l	on	6		
郎	來	開	一	唐	平	來	宕	l	ong	4		
狼	來	開	一	唐	平	來	宕	l	ong	4		
廊	來	開	一	唐	平	來	宕	l	ong	4		
稂	來	開	一	唐	平	來	宕	l	ong	4		
螂	來	開	一	唐	平	來	宕	l	ong	4		
朗	來	開	一	唐	上	來	宕	l	ong	6		1
浪	來	開	一	唐	去	來	宕	l	ong	6		
撈	來	開	一	豪	平	來	效	l	au	1	~佬	
撈	來	開	一	豪	平	來	效	l	ou	1	打撈	
撈	來	開	一	豪	平	來	效	l	eou	1	~生|~錢	
牢	來	開	一	豪	平	來	效	l	eou	4		
勞	來	開	一	豪	平	來	效	l	eou	4		
老	來	開	一	豪	上	來	效	l	eou	5		
烙	來	開	一	唐	入	來	宕	l	ok	8		1
酪	來	開	一	唐	入	來	宕	l	ok	8		1
勒	來	開	一	登	入	來	曾	l	ak	7	收緊繩子	
勒	來	開	一	登	入	來	曾	l	ak	9	~令	
了	來	開	四	蕭	上	來	效	l	iu	5		
了								l	eu	5	文讀。助詞，表示動作或變化已經完成	
雷	來	合	一	灰	平	來	蟹	l	ui	4		
雷								l	u	4	~祖廟	
鐳	來	合	一	灰	平	來	蟹	l	ui	4		
儡	來	合	一	灰	上	來	蟹	l	ui	5		
蕾	來	合	一	灰	上	來	蟹	l	ui	5		
搥	端	合	一	灰	平	端	蟹	z	ui	4		
肋	來	開	一	登	入	來	曾	l	ak	9		
餒	泥	合	一	灰	上	端	蟹	nj	ui	2		0
最	精	合	一	泰	去	精	蟹	dd	ui	3		
崔	清	合	一	灰	平	精	蟹	t	ui	1		
催	清	合	一	灰	平	精	蟹	t	ui	1		
楞	來	開	一	登	平	來	曾	l	ang	4		
稜	來	開	一	登	平	來	曾	l	ing	4		
着	澄	開	三	藥	入	知	宕	z	aa	6	~重|~火	
愣	來	開	一	登	去	來	曾	l	ang	4		
靡	明	開	三	支B	上	幫	止	m	i	5		
獼	明	開	三	支A	平	幫	止	m	i	4		
瀰	明	開	三	支A	平	幫	止	m	i	4		
犁	來	開	四	齊	平	來	蟹	l	ai	4		
微	明	合	三	微	平	幫	止	m	i	4		
薇	明	開	三	脂B	平	幫	止	m	i	4		
黎	來	開	四	齊	平	來	蟹	l	ai	4		
尾	明	合	三	微	上	幫	止	m	i	2		
尾	明	合	三	微	上	幫	止	m	i	1	最後，俗作「屘」	
尾	明	合	三	微	上	幫	止	m	i	5	~牙：農暦十六的拜祭儀式，一般設有宴席	
未	明	合	三	微	去	幫	止	m	i	6		
味	明	合	三	微	去	幫	止	m	i	6		
麋	明	開	三	脂B	平	幫	止	m	i	4		
娓	明	合	三	微	上	幫	止	m	i	2		
恃	常	開	三	之	上	章	止	z	i	5		
地	定	開	三	脂A	去	端	止	d	i	6		
裡	來	開	三	之	上	來	止	l	yu	5		
禮	來	開	四	齊	上	來	蟹	l	ai	5		
厘	來	開	三	之	平	來	止	l	i	1		
力	來	開	三	蒸	入	來	曾	l	ik	9		
力	來	開	三	蒸	入	來	曾	l	yk	9	白讀	
力	來	開	三	蒸	入	來	曾	l	ik	7	朱古~：巧克力	
立	來	開	三	侵A	入	來	深	l	ap	9		
狸	來	開	三	之	平	來	止	l	i	4		
梨	來	開	三	脂A	平	來	止	l	i	1		
例	來	開	三	祭A	去	來	蟹	l	ai	6		
栗	來	開	三	真A	入	來	臻	l	at	9		
栗	來	開	三	真A	入	來	臻	l	ak	9	又	
笠	來	開	三	侵A	入	來	深	l	ap	9		
漓	來	開	三	支A	平	來	止	l	i	4		
厲	來	開	三	祭A	去	來	蟹	l	ai	6		
勵	來	開	三	祭A	去	來	蟹	l	ai	6		
歷	來	開	四	青	入	來	梗	l	ik	9		
曆	來	開	四	青	入	來	梗	l	ik	9		
麗	來	開	四	齊	去	來	蟹	l	ai	6		
瀝	來	開	四	青	入	來	梗	l	ik	9		
礫	來	開	四	青	入	來	梗	l	ik	7		
靂	來	開	四	青	入	來	梗	l	ik	9		
連	來	開	三	仙A	平	來	山	l	in	4		
蓮	來	開	四	先	平	來	山	l	in	4		
廉	來	開	三	鹽A	平	來	咸	l	im	4	清~	
廉	來	開	三	鹽A	平	來	咸	l	em	4	白讀。邊緣或靠近邊緣的地位	
憐	來	開	四	先	平	來	山	l	in	4		
聯	來	開	四	蕭	平	來	效	l	im	4		
簾	來	開	三	鹽A	平	來	咸	l	im	4		
鐮	來	開	三	鹽A	平	來	咸	l	im	4		
斂	來	開	三	鹽A	上	來	咸	l	im	5		
練	來	開	四	先	去	來	山	l	in	6		
殮	來	開	三	鹽A	去	來	咸	l	im	5		
鍊	來	開	四	先	去	來	山	l	in	6		
鏈	來	開	三	仙B	平	來	山	l	in	6		
戀	來	合	三	仙A	去	來	山	l	yun	4		
倡	昌	開	三	陽	平	章	宕	c	aa	1		
唱	昌	開	三	陽	去	章	宕	c	aa	3		
萇	澄	開	三	陽	平	知	宕	z	aa	4		
娘	娘	開	三	陽	平	知	宕	n	aa	1	姑~	
娘	娘	開	四	陽	平	知	宕	n	aa	4	婦~	
孃	娘	開	三	陽	平	知	宕	n	aa	2	老~	
將	精	開	三	陽	平	精	宕	dd	aa	1	~來|~要	
將	精	開	三	陽	去	精	宕	dd	aa	3	~帥	
漿	精	開	三	陽	平	精	宕	dd	aa	1	豆~	
漿	精	開	三	陽	平	精	宕	dd	aa	3	糖~	
蔣	精	開	三	陽	上	精	宕	dd	aa	2		
槳	精	開	三	陽	上	精	宕	dd	aa	2		
獎	精	開	三	陽	上	精	宕	dd	aa	2		
醬	精	開	三	陽	去	精	宕	dd	aa	3		
雀	精	開	三	陽	入	精	宕	dd	aa	2	單用，泛指所有鳥	
爵	精	開	三	陽	入	精	宕	t	aa	2		
聊	來	開	四	蕭	平	來	效	l	iu	4		
僚	來	開	四	蕭	平	來	效	l	iu	4		
撩	來	開	四	蕭	平	來	效	l	eu	1		
遼	來	開	四	蕭	平	來	效	l	iu	4		
潦	來	開	一	豪	上	來	效	l	eu	2	潦草	
寮	來	開	四	蕭	平	來	效	l	iu	4		
燎	來	開	三	宵A	平	來	效	l	eu	1	白讀：火~|火~杆	
燎	來	開	三	宵A	平	來	效	l	iu	4	文讀	
療	來	開	三	宵A	去	來	效	l	iu	4		
繚	來	開	四	蕭	平	來	效	l	eu	2		
料	來	開	四	蕭	去	來	效	l	iu	6		
廖	來	開	四	蕭	平	來	效	l	iu	6		
瞭	來	開	四	蕭	去	來	效	l	eu	3	~望	
列	來	開	三	薛	入	來	山	l	et	10		
劣	來	合	三	仙A	入	來	山	l	yut	7		
烈	來	開	三	仙A	入	來	山	l	et	10		
浖	來	合	三	薛	入	來	山	l	oet	10	小水溝；小溪流；洗涤、汲水、灌溉用的水渠	
捩	來	開	四	齊	去	來	蟹	l	ai	3		
裂	來	開	三	仙A	入	來	山	l	et	10		
擸	來	開	三	葉	入	來	咸	l	op	8		
獵	來	開	三	鹽A	入	來	咸	l	ep	10		
拎	來	開	四	青	平	來	梗	l	ing	4	文讀	
林	來	開	三	侵A	平	來	深	l	am	4		
淋	來	開	三	侵A	平	來	深	l	am	4		
琳	來	開	三	侵A	平	來	深	l	am	4		
鄰	來	開	三	真A	平	來	臻	l	an	4		
霖	來	開	三	侵A	平	來	深	l	am	4		
臨	來	開	三	侵A	平	來	深	l	am	4		
磷	來	開	三	真A	平	來	臻	l	an	4		
鱗	來	開	三	真A	平	來	臻	l	an	4		
麟	來	開	三	真A	平	來	臻	l	an	4		
吝	來	開	三	真A	去	來	臻	l	an	6		
藺	來	開	三	真A	去	來	臻	l	an	5		
伶	來	開	四	青	平	來	梗	l	ing	4		
凌	來	開	三	蒸	平	來	曾	l	ing	4		
陵	來	開	三	蒸	平	來	曾	l	ing	4		
菱	來	開	三	蒸	平	來	曾	l	ing	4		
零	來	開	四	先	平	來	山	l	ing	4		
鈴	來	開	四	青	平	來	梗	l	ing	4		
鈴	來	開	四	青	平	來	梗	l	ing	1	口語讀音	
齡	來	開	四	青	平	來	梗	l	ing	4		
靈	來	開	四	青	平	來	梗	l	ing	4		
領	來	開	三	清A	上	來	梗	l	ing	5		
嶺	來	開	三	清A	上	來	梗	l	ing	5		
另	來	開	四	青	去	來	梗	l	ing	6		
令	來	開	三	清	去	來	梗	l	ing	6		
溜	來	開	三	尤	去	來	流	l	au	3	順口~	
留	來	開	三	尤	平	來	流	l	au	4		
流	來	開	三	尤	平	來	流	l	au	4		
硫	來	開	三	尤	平	來	流	l	au	4		
榴	來	開	三	尤	平	來	流	l	au	4		
劉	來	開	三	尤	平	來	流	l	au	4		
瘤	來	開	三	尤	去	來	流	l	au	5	見《玉林話研究》	
瀏	來	開	三	尤	平	來	流	l	au	4		
柳	來	開	三	尤	上	來	流	l	au	5		
六	來	開	三	東	入	來	通	l	uk	9		
隆	來	開	三	東	平	來	通	l	ung	4		
龍	來	開	三	鍾	平	來	通	l	ung	4		
窿	來	開	三	東	平	來	通	l	ung	1	孔，洞，窟窿	
嚨	來	開	一	東	平	來	通	l	ung	4		
嚨	來	開	一	東	平	來	通	l	ung	1		
瓏	來	開	一	東	平	來	通	l	ung	4		
朧	來	開	一	東	平	來	通	l	ung	4		
籠	來	開	一	東	平	來	通	l	ung	4		
聾	來	開	一	東	平	來	通	l	ung	4		
隴	來	開	三	鍾	上	來	通	l	ung	5		
攏	來	開	一	東	上	來	通	l	ung	5		
壟	來	開	三	鍾	上	來	通	l	ung	5		
樓	來	開	一	侯	平	來	流	l	au	4		
摟	來	合	三	虞	平	來	遇	l	au	2		1
簍	來	開	一	侯	平	來	流	l	eou	2	本字或爲「䇭」	
陋	來	開	一	侯	去	來	流	l	au	6		
漏	來	開	一	侯	去	來	流	l	au	6		
漏								l	au	4	勾~山，勾~洞	
怒	泥	開	一	模	上	端	遇	n	u	6		
弩	泥	開	一	模	上	端	遇	n	u	5		
盧	來	開	一	模	平	來	遇	l	u	4		
蘆	來	開	三	魚	平	來	遇	l	u	4		
廬	來	開	三	魚	平	來	遇	l	u	4		
爐	來	開	一	模	平	來	遇	l	u	4		
顱	來	開	一	模	平	來	遇	l	u	4		
虜	來	開	一	模	上	來	遇	l	u	5		
滷	來	開	一	模	上	來	遇	l	u	5		
魯	來	開	一	模	上	來	遇	l	u	5		
陸	來	開	三	東	入	來	通	l	uk	9		
鹿	來	開	一	東	入	來	通	l	uk	9		
祿	來	開	一	東	入	來	通	l	uk	9		
賂	來	開	一	模	去	來	遇	l	ok	8		1
擄	來	開	一	模	上	來	遇	l	u	5		
錄	來	開	三	鍾	入	來	通	l	uk	9		
櫓	來	開	一	模	上	來	遇	l	u	5		
路	來	開	一	模	去	來	遇	l	u	6		
巒	來	合	一	桓	平	來	山	l	yun	4		
卵	來	合	一	寒	上	來	山	l	yun	5		
亂	來	合	一	寒	去	來	山	l	yun	6		
雀	精	開	三	陽	入	精	宕	t	aa	2	用於合成詞。麻~：麻將，一种遊戲｜一种鳥。孔~：一种鳥。	
掄	來	合	三	真A	平	來	臻	l	an	1		
倫	來	合	三	真A	平	來	臻	l	an	4		
圇	來	合	三	諄	平	來	臻	l	an	4		
淪	來	合	三	真A	平	來	臻	l	an	4		
綸	來	合	三	真A	平	來	臻	l	an	4	垂~	
綸								gw	on	1	~巾	
輪	來	合	三	真A	平	來	臻	l	an	4		
論	來	合	一	魂	去	來	臻	l	an	6	文：議~	
論	來	合	三	真A	平	來	臻	l	an	1	白讀，單用：討論，順便談及	
螺	來	合	一	歌	平	來	果	l	oe	4	又讀	
螺								l	eo	4		
羅	來	開	一	歌	平	來	果	l	eo	4		
騾	來	合	一	歌	平	來	果	l	oe	4		
蘿	來	開	一	歌	平	來	果	l	eo	4		
邏	來	開	一	歌	去	來	果	l	eo	4		
籮	來	開	一	歌	平	來	果	l	eo	4		
鑼	來	開	一	歌	平	來	果	l	eo	4		
裸	來	合	一	歌	上	來	果	l	oe	5		0
洛	來	開	一	唐	入	來	宕	l	ok	8		1
落	來	開	一	唐	入	來	宕	l	ok	10		
絡	來	開	一	唐	入	來	宕	l	ok	8	跘倒	
絡								l	ok	10	屐~：木屐	
囉	來	開	一	歌	平	來	果	l	eo	1		
露	來	開	一	模	去	來	遇	l	u	6		
驢	來	開	三	魚	平	來	遇	l	yu	4		
呂	來	開	三	魚	上	來	遇	l	yu	5		
侶	來	開	三	魚	上	來	遇	l	yu	5		
旅	來	開	三	魚	上	來	遇	l	yu	5		
鋁	來	開	三	魚	上	來	遇	l	yu	5		
屢	來	合	三	虞	去	來	遇	l	yu	5		
璃	來	開	三	支A	平	來	止	l	i	1		
律	來	合	三	真A	入	來	臻	l	at	9		
率	來	合	三	術	入	端	臻	l	at	9	效~，百分~	
綠	來	開	三	鍾	入	來	通	l	uk	9		
慮	來	開	三	魚	去	來	遇	l	yu	6		
釀	娘	開	三	陽	去	知	宕	nj	aa	6		
弄	來	開	一	東	去	來	通	l	ung	6		
樂	來	開	一	鐸	入	端	宕	l	ok	10	快~	
璀	清	合	一	灰	上	精	蟹	t	ui	1	見《玉林话研究》	
粒	來	開	三	侵A	入	來	深	n	ap	7		1
粒	來	開	三	侵A	入	來	深	n	ep	7	又讀，突出「少」，以其小穪調nem13常見。	1
拎	來	開	四	青	平	來	梗	n	ing	1	拿，持。俗作此字	1
隸	來	開	四	齊	去	來	蟹	d	ai	6		1
萊	來	開	一	咍	平	來	蟹	l	oi	4		
睞	來	開	一	咍	去	來	蟹	l	oi	6		
斕	來	開	二	山	平	來	山	l	on	4		
琅	來	開	一	唐	平	來	宕	l	ong	4		
瑯	來	開	一	唐	平	來	宕	l	ong	4		
榔	來	開	一	唐	平	來	宕	l	ong	4		
脆	清	合	三	祭A	去	精	蟹	t	ui	3		
淬	清	合	一	灰	去	精	蟹	t	ui	3		
罹	來	開	三	支A	平	來	止	l	i	4		
釐	來	開	三	之	平	來	止	l	i	1		
豊	來	開	四	齊	上	來	蟹	l	ai	5		
離	來	開	三	支A	平	來	止	l	i	4		
戾	來	開	四	齊	去	來	蟹	l	ai	6	狼~	
慄	來	開	三	真A	入	來	臻	l	at	9		
蠣	來	開	三	祭A	去	來	蟹	l	ai	6		
漣	來	開	三	仙A	平	來	山	l	in	4		
常	常	開	三	陽	平	章	宕	s	aa	4		
寥	來	開	四	蕭	平	來	效	l	iu	4		
寥	來	開	四	蕭	平	來	效	l	eu	1		
嘹	來	開	四	蕭	平	來	效	l	iu	4		
冽	來	開	三	仙A	入	來	山	l	et	10		
遴	來	開	三	真A	去	來	臻	l	an	4		
玲	來	開	四	青	平	來	梗	l	ing	4		
聆	來	開	四	青	平	來	梗	l	ing	4		
蛉	來	開	四	青	平	來	梗	l	ing	4		
羚	來	開	四	青	平	來	梗	l	ing	4		
嘍	來	開	一	侯	平	來	流	l	au	4		
髏	來	開	一	侯	平	來	流	l	au	4		
鏤	來	合	三	虞	平	來	遇	l	au	1		
碌	來	開	一	東	入	來	通	l	uk	9		
漉	來	開	一	東	入	來	通	l	uk	9		
麓	來	開	一	東	入	來	通	l	uk	9		
儸	來	開	一	歌	平	來	果	l	eo	4	僂~	
櫚	來	開	三	魚	平	來	遇	l	yu	4		
縷	來	合	三	虞	上	來	遇	l	yu	5		
打	知	開	二	庚	上	知	梗	dd	o	2		
籬	來	開	三	支A	平	來	止	l	i	4		
爹	知	開	三	麻	平	知	假	dd	e	1		
丁	知	開	二	耕	平	知	梗	dd	ing	1		
摘	知	開	二	耕	入	知	梗	dd	ik	7		
胝	知	開	三	脂B	平	知	止	dd	ai	2		0
琢	知	開	二	江	入	知	江	dd	ok	8		0
殖	常	開	三	蒸	入	章	曾	z	ik	9		
填	知	開	三	真B	平	知	臻	d	an	4	填满，填塞。可能是「坉」的訓讀	
屯	定	合	一	魂	平	定	臻	d	yun	4		
茱	常	合	三	虞	平	章	遇	z	yu	1		
鐲	常	開	三	鍾	入	章	通	z	uk	7		
偵	徹	開	三	清B	平	知	梗	z	ing	1		
惆	徹	開	三	尤	平	知	流	z	au	4		
李	來	開	三	之	上	來	止	l	i	5		
里	來	開	三	之	上	來	止	l	i	5		
理	來	開	三	之	上	來	止	l	i	5		
茶	澄	開	二	麻	平	知	假	z	o	4		
纏	澄	開	三	仙B	平	知	山	z	in	4	動詞	
纏	澄	開	三	仙B	平	知	山	z	in	1	形容詞。（人）難纏；（毛髮）纏繞在一起難以理順：~頭髻。	
纏	澄	開	三	仙B	去	知	山	z	in	6	白讀，動詞	
槍	清	開	三	陽	平	精	宕	t	aa	1		
搶	清	開	三	陽	上	精	宕	t	aa	2		
嗆	清	開	三	陽	平	精	宕	t	aa	3		
朝	澄	開	三	宵B	平	知	效	z	iu	4		
潮	澄	開	三	宵B	平	知	效	z	iu	4		
沉	澄	開	三	侵B	平	知	深	z	am	4		
陳	澄	開	三	真B	平	知	臻	z	an	4		
塵	澄	開	三	真B	平	知	臻	z	an	4		
呈	澄	開	三	清B	平	知	梗	z	ing	4		
程	澄	開	三	清B	平	知	梗	z	ing	4		
橙	澄	開	二	耕	平	知	梗	z	ing	4		
鯉	來	開	三	之	上	來	止	l	i	5		
吏	來	開	三	之	去	來	止	l	i	6		
利	來	開	三	脂A	去	來	止	l	i	6		
痢	來	開	三	脂A	去	來	止	l	i	6		
蟲	澄	開	三	東	平	知	通	z	ung	4		
稠	澄	開	三	尤	平	知	流	z	au	4		
籌	澄	開	三	尤	平	知	流	z	au	4		
除	澄	開	三	魚	平	知	遇	z	yu	4		
廚	澄	合	三	虞	平	知	遇	z	yu	4		
櫥	澄	合	三	虞	平	知	遇	z	yu	4		
儲	澄	開	三	魚	平	知	遇	z	yu	5		
傳	澄	合	三	仙B	去	知	山	z	yun	4	動詞	
傳	澄	合	三	仙B	去	知	山	z	yun	6	名詞	
罪	從	合	一	灰	上	精	蟹	d	ui	5		
摧	從	合	一	灰	平	精	蟹	t	ui	1		
碎	心	合	一	灰	去	精	蟹	sl	ui	3		
鵲	清	開	三	陽	入	精	宕	t	aa	2		
菖	昌	開	三	陽	平	章	宕	c	aa	1		
嘗	常	開	三	陽	平	章	宕	s	aa	4		
湛	澄	開	三	侵B	平	知	深	z	om	5		
綻	澄	開	二	山	去	知	山	z	in	3		0
鏘	清	開	三	陽	平	精	宕	t	aa	1		
匠	從	開	三	陽	去	精	宕	d	aa	6		
薔	從	開	三	陽	平	精	宕	d	aa	4		
牆	從	開	三	陽	平	精	宕	d	aa	4		
召	澄	開	三	宵B	去	知	效	z	iu	6		
兆	澄	開	三	宵B	上	知	效	z	iu	5		
趙	澄	開	三	宵B	上	知	效	z	iu	5		
蟄	澄	開	三	侵B	入	知	深	z	ik	9		
轍	澄	開	三	仙B	入	知	山	z	it	7		
嚼	從	開	三	陽	入	精	宕	t	aa	2		
枕	澄	開	三	侵B	平	知	深	z	am	2		
陣	澄	開	三	真B	去	知	臻	z	an	6		
鄭	澄	開	三	清B	去	知	梗	z	ing	6		
直	澄	開	三	蒸	入	知	曾	z	ik	9		
趟	知	開	二	庚	去	知	梗	t	ong	3		
相	心	開	三	陽	平	精	宕	sl	aa	1	~當|~應	
相	心	開	四	陽	去	精	宕	sl	aa	3	~貌	
車	昌	開	三	麻	平	莊	假	c	e	1	单~	
直	澄	開	三	蒸	入	知	曾	z	yk	9	白讀	
姪	澄	開	三	真B	入	知	臻	z	at	9		
值	澄	開	三	之	去	知	止	z	ik	9		
植	澄	開	三	之	去	知	止	z	ik	9		
履	來	開	三	脂A	上	來	止	l	i	5		
嘮	徹	開	二	肴	平	知	效	l	eou	1		
扯	昌	開	三	麻	上	章	假	c	e	2	~名堂|~是非	
扯	昌	開	三	麻	上	章	假	c	e	3	拉扯。本字或爲「奓」，《集韻》開也，充夜切	
秩	澄	開	三	真B	入	知	臻	z	at	9		
秩	澄	開	三	真B	入	知	臻	d	et	10		
抽	徹	開	三	尤	平	知	流	t	au	1	僅見於周烈婷《玉林话的语音系统及语音特点》	
稱	昌	開	三	蒸	平	章	曾	c	ing	1	名詞	
稱	昌	開	三	蒸	去	章	曾	c	ing	3	動詞	
稱	昌	開	三	蒸	平	章	曾	c	yng	1	白讀，動詞	
稱	昌	開	三	蒸	去	章	曾	c	yng	3	白讀，名詞	
秤	昌	開	三	蒸	去	章	曾	c	yng	3	又讀	
秤	昌	開	三	蒸	去	章	曾	c	yng	1	又讀	
尺	昌	開	三	清A	入	章	梗	c	ik	7		
驪	來	開	三	支A	平	來	止	l	i	4		
鸝	來	開	三	支A	平	來	止	l	i	4		
斥	昌	開	三	麻	去	章	假	c	ik	7		
赤	昌	開	三	清A	入	章	梗	c	ik	7		
充	昌	開	三	東	平	章	通	c	ung	1		
衝	昌	開	三	鍾	平	章	通	c	ung	1		
闖	徹	開	三	陽	去	知	宕	t	ong	2		
銃	昌	開	三	東	去	章	通	c	ung	3		
醜	昌	開	三	尤	上	章	流	c	au	2		
出	昌	合	三	脂A	去	章	止	c	at	7		
處	昌	開	三	魚	上	章	遇	c	yu	2	~理	
處	昌	開	三	魚	去	章	遇	c	yu	3	~所	
觸	昌	開	三	鍾	入	章	通	c	uk	7		
川	昌	合	三	仙A	平	章	山	c	yun	1		
穿	昌	合	三	仙A	平	章	山	c	yun	1		
邐	來	開	三	支A	上	來	止	l	i	5		
喘	昌	合	三	仙A	上	章	山	c	yun	2		
滯	澄	開	三	祭B	去	知	蟹	z	ai	6		
瞪	澄	開	二	耕	平	知	梗	dd	ang	1		
盯	澄	開	二	庚	平	知	梗	dd	ing	1		
逗	定	開	一	候	去	端	流	dd	au	3	逗小孩	
逗	定	開	一	候	去	端	流	d	au	6	~號	
逐	澄	開	三	東	入	知	通	dd	uk	9	逐個，逐一	
逐	澄	開	三	東	入	知	通	dd	uk	7	白讀：~誃(赶走)	
祉	徹	開	三	之	上	知	止	z	i	2		
樞	昌	合	三	虞	平	章	遇	s	yu	1		1
禪	常	開	三	仙A	平	章	山	s	im	4		
仲	澄	開	三	東	去	知	通	z	ung	6		
蟬	常	開	三	仙A	平	章	山	s	im	4		
鷺	來	開	一	模	去	來	遇	l	u	6		
驢	來	開	三	魚	平	來	遇	l	u	4		
滯	澄	開	三	祭B	去	知	蟹	d	ai	6	見《广西通志・汉语方言志》	
重	澄	開	三	鍾	上	知	通	z	ung	5	輕~，嚴~	
