#《湖南慈利方言语音研究》	
#[35]1[213]2[53]3[33]5	调值符号后的//表示其后为入声字
#ɿ	
p	[35]帮邦梆[213]浜泵[53]绑膀谤塝榜[33]棒磅{~秤}傍蚌
pʰ	[35]乓滂{~臭的}[213]旁滂{~沱大雨}螃磅{~礴}庞胖
m	[213]忙芒茫盲氓[53]莽蟒
t	[35]当{应~}裆[213]档当{~铺、上~}[53]党[33]荡宕凼氹
tʰ	[35]汤烫[213]唐糖塘搪堂棠膛[53]躺淌倘趟傥挡
l	[35]啷{~软的}[213]郎廊狼锒{囊~中羞涩}馕[53]朗囊{窝~}[33]浪晾-{~衣服}巷-
ts	[35]赃髒{肮~}[213]葬[33]藏{西~}臧臟{内~}
tsʰ	[35]仓沧舱苍[213]藏{躲~}[53]呛{吃~到了}
s	[35]桑[213]丧{~失、办~事}[53]嗓搡磉
tʂ	[35]张章彰蟑樟[213]障帐账胀涨{头昏脑~}仗{打~}[53]掌涨{~价}长{~官}[33]杖仗{依~}嶂瘴
tʂʰ	[35]昌倡娼伥畅[213]长{~短}怅常嫦裳尝=偿唱[53]场厂敞
ʂ	[35]商伤殇[213]尝-[53]赏晌[33]上{身~、~山}尚绱
ʐ	[213]瓤[53]嚷壤攘[33]让
k	[35]缸肛冈纲刚钢{~铁}岗[213]杠扛{~长工}钢{~一下刀}虹-[53]港讲-
kʰ	[35]康糠慷[213]抗炕伉亢航吭[53]坎{田~}
x	[213]行{银~}杭[33]巷=项-
ŋ	[35]肮[213]昂={斗志~扬}盎[53]昂{~脑壳：点头}[33]昂{~起脑壳：抬起头}
#iaŋ	
t	[35]□{小的}
l	[213]凉良粮梁粱娘[53]两{~个、二~米}辆俩酿[33]亮量谅晾=靓
tɕ	[35]江豇姜僵疆将{~来}浆{~洗}[213]酱浆{~糊}将{大~}降{~落、投~}绛[53]蒋奖桨讲=[33]匠犟强{倔~}像-{长得不~妈妈}
tɕʰ	[35]枪腔羌匡筐=框=[213]强{~大}墙蔷祥详翔[53]抢炝呛{够~}强{勉~}
ɕ	[35]乡香相{互~}箱湘厢镶襄[213]相{看~}向[53]想享响饷[33]象橡像={~章}项=
∅	[35]央秧殃怏[213]杨扬阳羊洋[53]养痒氧恙佯仰[33]样漾
#uaŋ	
k	[35]光{光线：灯~}[213]光{光滑：玻璃~极了}[53]广[33]逛咣光{滑溜：路上溜~的}
kʰ	[35]匡-筐-框-[213]狂诳况旷邝矿
x	[35]荒慌育方芳坊{用于地名如：许家~}[213]黄璜磺簧皇惶凰房防妨坊{磨~}放[53]谎恍晃{~动}幌纺仿[33]晃{~眼睛}
∅	[35]汪[213]王亡[53]往网惘[33]望旺枉忘妄
#ʯaŋ	
tʂ	[35]装庄桩妆[213]壮[33]状撞幢
tʂʰ	[35]窗疮[213]床创{~造}[53]创{~伤}闯
ʂ	[35]双霜孀[53]爽
#oŋ	
p	[35]绷{把绳子~紧些、~带、~脸}[213]蹦迸[33]□{荆棘丛}
pʰ	[35]抨喷{~香的}[213]朋棚鹏蓬篷碰[53]捧嘭怦
m	[35]蒙掩盖[213]盟萌朦檬蒙{~蔽}[53]猛锰懵[33]梦孟
t	[35]东冬咚[213]栋{~梁}冻[53]懂董[33]动洞侗栋{一~楼}
tʰ	[35]通嗵彤[213]同铜桐筒童瞳仝佟恸痛[53]捅桶统
l	[35]聋[213]龙笼{鸡~}珑隆农浓=脓侬[53]拢陇垄笼{~罩}弄{玩~}[33]弄{~坏了;~堂}
ts	[35]宗棕综踪鬃[213]纵{~横}纵{皱纹：起~了}粽[53]总
tsʰ	[35]聪葱匆[213]丛从崇松{~树}
s	[35]鬆{轻~}松={青~}忪嵩[213]送宋[53]耸{抖动、发抖}怂悚[33]诵颂讼
tʂ	[35]中{~国}钟忠衷盅终[213]中{~奖}种{~田}仲众[53]肿种{~子}[33]重
tʂʰ	[35]冲忡充舂[213]虫憧重{~复}铳囱[53]宠□{~瞌睡}冢塚踵
ʐ	[213]融戎绒茸荣=容=溶=熔=
k	[35]宫工功弓躬公蚣龚恭[213]供{~销、上~}贡[53]拱汞巩攻[33]共
kʰ	[35]空{天~}箜[213]空{填~}控[53]孔恐
x	[35]烘丰风枫疯蜂锋峰封[213]红虹=宏弘洪鸿冯逢缝{~扣子}[53]哄{~孩子、~堂大笑、起~}轰讽[33]讧缝{~隙}奉凤
∅	[35]翁嗡蓊瓮蕹
#ioŋ	
tɕʰ	[213]穷穹邛
ɕ	[35]兄凶{~恶、吉~}汹匈胸[213]熊雄
∅	[35]庸雍臃佣{~金}[213]容-熔-溶-[53]勇涌蛹俑踊甬拥[33]用佣{~人}
