	符號說明：-白，=文
p	[1]飛杯{～子}悲[3]輩痱{～子}疿[6]貝
pʰ	[2]肥[3]配佩肺[6]吠
m	[1]美尾每摩[6]未味昧
f	[1]非裴匪榧妃翡揮琿輝暉輝徽[2]回茴{～香}徊[3]廢費{～用}悔晦費{姓}[6]匯會{開～}惠穗慧
v	[1]委萎威[2]維唯惟韋違圍為{作～，～什麼}遺[3]畏喂[6]衛位偉諱緯葦慰蔚尉胃謂蝟蝟
t	[1]堆[3]對[6]隊墜
tʰ	[1]推[3]退腿[6]兌蛻
n	[1]餒[6]內
l	[1]累{疲，連～}摞{～起來}[2]雷[3]儡{傀～}壘累{～積}簍摟{抱}[6]類淚
ts	[3]最醉
tsʰ	[1]崔催摧[3]碎粹{純～}脆=[6]罪
s	[1]雖綏[2]隨[3]歲=[6]瑞遂隧燧髓
tʃ	[1]追槌錐[3]贅
tʃʰ	[2]錘
ʃ	[2]誰[3]水
k	[1]規窺龜歸[3]桂鬼貴[6]軌
kʰ	[1]圭矽閨虧[2]奎癸葵逵魁[3]傀{～儡}塊=潰{崩}詭愧[6]跪櫃
ŋ	[1]巍[2]危桅[6]偽魏
#uo	
k	[3]果餜裹顆棵-過
#uai	
f	[2]懷槐淮[6]壞{又}
v	[1]歪
k	[1]乖[3]怪蛙柺
kʰ	[3]快筷塊-蒯[6]劊檜繪
ŋ	[6]外
#am	
t	[1]耽擔{～水}[3]膽擔{～子}
tʰ	[1]貪[2]談痰潭譚[3]探[6]淡
n	[2]男南楠萳
l	[2]藍籃[3]覽欖灠纜攬艦
ts	[1]簪[3]斬暫
tsʰ	[1]參{～加，～差}[2]蠶岑讒攙饞慚[3]慘滲{～水}杉
s	[1]三衫
tʃ	[1]沾詹月詹占{～卜}[3]佔{～領}
tʃʰ	[6]站{～立，車～}
ʃ	[2]蟾{～酥}[3]閃陝{～西}
k	[1]甘柑沿監{～牢}[3]感減堿敢橄尷{～尬}鑑鍳監{～察，國子～}
kʰ	[1]龕堪[3]坎砍勘{～誤}
ŋ	[1]啱{正確，正好}
h	[1]憨蚶頷[2]含函涵咸鹹銜[3]喊[6]撼憾陷餡
∅	[1]庵[3]暗
#im	
l	[2]林琳淋臨
ts	[3]浸
tsʰ	[1]侵[2]尋[3]寢
s	[1]心[3]嬸
tʃ	[1]針斟[3]枕
tʃʰ	[1]深[2]沉
ʃ	[3]沈瀋審[6]甚
k	[1]今金[3]禁錦
