	本誌	趙氏	手冊	省誌	概況	資料
tsʰiʌ5	峭鞘？誚□（瞎鬧 混~ ~光）					
siʌ1	消宵蛸逍硝霄綃銷蕭簫瀟					
siʌ3	小					
siʌ5	笑嘯					
ziʌ2	樵憔					
tɕiʌ1	交郊姣蛟嬌驕澆膠狡皎矯					
tɕiʌ3	攪繳絞鉸					
tɕiʌ5	教（文~書~育）叫較校（文,~場）覺（文,睡~)					
tɕʰiʌ1	鍬敲蹺橇					
tɕʰiʌ3	巧竅					
tɕʰiʌ5	翹					
dʑiʌ2	喬僑蕎橋翹（~首連~）					
dʑiʌ4	撬					
dʑiʌ6	轎					
ȵiʌ1	鳥溺窈					
ȵiʌ2	饒					
ȵiʌ6	繞（圍~~線）					
ɕiʌ1	哮梟枵囂驍□（揭開）					
ɕiʌ3	曉					
ɕiʌ5	酵孝					
jiʌ2	峭淆肴搖謠窯徭遙瑤姚堯					
jiʌ4	齩舀					
jiʌ6	效校（學~）耀曜鷂					
ʔiʌ1	夭妖么吆要（~求）腰邀杳					
ʔiʌ3	要？（摺也）					
ʔiʌ5	要（~緊）					
pɛ1	般班斑癍頒扮					
pɛ5	絆？					
pʰɛ1	攀盼					
pʰɛ5	襻					
bɛ6	辦					
mɛ2	蠻曼漫謾蔓					
mɛ4	晚					
mɛ6	慢萬					
fɛ1	番翻幡幡					
fɛ3	反返					
fɛ5	泛販					
vɛ2	帆凡煩繁蕃藩樊礬					
vɛ4	範範笵犯					
vɛ6	萬飯					
tɛ1	丹單耽擔(~任)誕旦					
tɛ3	膽担					
tɛ5	擔					
tʰɛ1	坍灘攤癱					
tʰɛ3	坦袒毯					
tʰɛ5	歎碳炭					
dɛ2	壇檀談痰譚彈(~琴)					
dɛ4	淡					
dɛ6	但蛋彈憚					
nɛ2	難（~易患~)					
nɛ4	罱□（~尼 猶言我輩）					
lɛ2	闌瀾讕蘭攔欄藍籃襤					
lɛ4	攬纜覽嬾					
lɛ6	爛濫					
tsɛ1	斬？（~肉）					
tsɛ3	嶄斬盞					
tsɛ5	贊讚瓚蘸					
