来源：	郭贞彦 2010《山西文水裴会村话语音研究》；原作者提供字表数据，Hynuza 整理
ɕ	［1］消-［3］小-［5］笑-
Ø	［1］腰-摇-窑［5］靿要-
#iuɔ	
ȵ	［1］娘
l	［1］良凉量粮梁［3］两辆［5］亮谅量
tɕ	［1］桨墙江豇疆僵缰姜强-［3］奖桨蒋讲［5］酱将匠降虹
tɕʰ	［1］枪羌强=［3］抢［5］呛
ɕ	［1］相箱厢湘详祥香乡降［3］想享响［5］象像橡相向项
Ø	［1］央秧殃羊洋杨阳扬［3］仰养［5］样扔
#uɔ	
p	［1］玻帮邦［3］榜绑［5］谤棒
pʰ	［1］螃
m	［1］忙芒茫盲馍［3］莽蟒
t	［1］当［3］挡［5］当荡宕
tʰ	［1］汤堂唐糖塘［3］躺［5］烫
n	［1］囊［3］曩
l	［1］郎廊狼［3］朗［5］浪
k	［1］岗冈刚纲缸光［3］哥广港［5］钢逛
kʰ	［1］康糠慷筐狂［3］抗况扛［5］炕旷矿
x	［1］行航杭荒慌黄簧皇方肪芳肪妨房防［3］谎仿纺仿访［5］晃巷
tʂ	［1］张肠长庄装章樟［3］长掌［5］葬藏帐账胀丈仗杖壮状障瘴
tʂʰ	［1］仓苍疮床昌常偿=尝=窗双［3］场厂［5］畅创唱倡
ʂ	［1］桑丧商伤尝-裳［3］嗓偿-［5］丧上尚
ʐ	［1］瓤［3］嚷穰［5］让
ʐ	［5］让
nᶻ	［3］攮
Ø	［1］亡王汪［3］网往枉我2=［5］忘妄望旺
#iẽ	
p	［1］彬宾冰兵［3］禀丙秉柄饼=［5］殡鬓病并
pʰ	［1］贫频凭瓶屏萍平坪评［3］品［5］聘
m	［1］民鸣明=名=铭［3］悯敏抿皿［5］命=
t	［1］丁钉=［3］顶=［5］订
tʰ	［1］亭停=廷庭蜓听=［3］挺艇
ȵ	［1］银宁［5］佞硬=
l	［1］林淋临鳞陵凌=菱灵零铃=伶拎［3］檩领岭［5］赁吝令
tɕ	［1］今金襟津巾斤筋勤-经京荆惊鲸茎精晶睛［3］锦尽紧仅谨警景颈［5］禁妗进晋尽近劲径境敬竞镜静靖净劲
tɕʰ	［1］侵琴禽亲秦勤=青=卿清情晴轻蜻=［3］寝倾顷请［5］钦浸搇亲磬庆
