字	源	拼	IPA		覈校：到格拉夫
莪	客英字典	ngo2	ŋo2		
峨	客英字典	ngo2	ŋo2		
峩	客英字典	ngo2	ŋo2		
娥	客英字典	ngo2	ŋo2		
訛	客英字典	ngo2	ŋo2		
鈋	客英字典	ngo2	ŋo2		
蛾	客英字典	ngo2	ŋo2		
誐	客英字典	ngo2	ŋo2		
頟	客英字典	ngiag7	ŋiak7		
鵝	客英字典	ngo2	ŋo2		
額	客英字典	ngiag7	ŋiak7		
譌	客英字典	ngo2	ŋo2		
噁	客英字典	og7	ok7		
厄	客英字典	ag7	ak7		
歺	客英字典	dai3	tai3		
戹	客英字典	ag8	ak8		
阨	客英字典	ag7	ak7		
扼	客英字典	ag7	ak7		
呃	客英字典	ag7	ak7		
呃	客英字典	ed7	et7		
阸	客英字典	ag7	ak7		
阸	客英字典	ai5	ai5		
呝	客英字典	ag7	ak7		
咢	客英字典	ngog8	ŋok8		
姶	客英字典	ab7	ap7		
姶	客英字典	hab8	hap8		
堊	客英字典	og7	ok7		
軛	客英字典	ag7	ak7		
悪	客英字典	vu5	vu5		
悪	客英字典	og7	ok7		
鄂	客英字典	ngog8	ŋok8		
惡	客英字典	vu5	vu5		
惡	客英字典	og7	ok7		
萼	客英字典	ngog8	ŋok8		
遏	客英字典	od7	ot7		
崿	客英字典	ngog8	ŋok8		
鈪	客英字典	ag7	ak7		
愕	客英字典	ngog8	ŋok8		
腭	客英字典	ngog8	ŋok8		
腭	客英字典	ngong1	ŋoŋ1		
腭	客英字典	long1	loŋ1		
詻	客英字典	ngiag7	ŋiak7		
詻	客英字典	gag7	kak7		
詻	客英字典	liog8	liok8		
廅	客英字典	hab8	hap8		
廅	客英字典	kab8	kʰap8		
遻	客英字典	ngog8	ŋok8		
遻	客英字典	ngu5	ŋu5		
餓	客英字典	ngo5	ŋo5		
頞	客英字典	od7	ot7		
噩	客英字典	ngog8	ŋok8		
諤	客英字典	ngog8	ŋok8		
鍔	客英字典	ngog8	ŋok8		
鶚	客英字典	ngog8	ŋok8		
鰐	客英字典	ngog8	ŋok8		
讍	客英字典	ngog8	ŋok8		
齶	客英字典	ngog8	ŋok8		
鱷	客英字典	ngog8	ŋok8		
奀	客英字典	ngan1	ŋan1		
恩	客英字典	en1	en1		
而	客英字典	i2	i2		
而	客英字典	lu2	lu2		
侕	客英字典	i2	i2		
兒	客英字典	i2	i2		
陑	客英字典	i2	i2		
荋	客英字典	i2	i2		
洏	客英字典	i2	i2		
栭	客英字典	i2	i2		
胹	客英字典	i2	i2		
唲	客英字典	i2	i2		
輀	客英字典	i2	i2		
髵	客英字典	i2	i2		
鮞	客英字典	i2	i2		
尓	客英字典	ni3	ni3		
尒	客英字典	ni3	ni3		
尔	客英字典	ni3	ni3		
耳	客英字典	ngi3	ŋi3		
洱	客英字典	ngi3	ŋi3		
珥	客英字典	ngi3	ŋi3		
毦	客英字典	ngi5	ŋi5		
衈	客英字典	ngi3	ŋi3		
爾	客英字典	ni3	ni3		
餌	客英字典	ngi3	ŋi3		
駬	客英字典	ngi3	ŋi3		
邇	客英字典	ni3	ni3		
二	客英字典	ngi5	ŋi5		
弍	客英字典	ngi5	ŋi5		
刵	客英字典	ngi3	ŋi3		
佴	客英字典	ngi5	ŋi5		
佴	客英字典	ngong1	ŋoŋ1		
咡	客英字典	ngi3	ŋi3		
貳	客英字典	ngi5	ŋi5		
樲	客英字典	ngi5	ŋi5		
沷	客英字典	fad7	fat7		
沷	客英字典	pad8	pʰat8		
沷	客英字典	fud7	fut7		
發	客英字典	fad7	fat7		
廢	客英字典	fui5	fui5		
橃	客英字典	fad7	fat7		
乏	客英字典	fad8	fat8		
伐	客英字典	fad8	fat8		
姂	客英字典	fad8	fat8		
茷	客英字典	fad8	fat8		
茷	客英字典	pui5	pʰui5		
垡	客英字典	fad8	fat8		
筏	客英字典	fad8	fat8		
閥	客英字典	fad8	fat8		
罰	客英字典	fad8	fat8		
法	客英字典	fab7	fap7		
砝	客英字典	fab7	fap7		
灋	客英字典	fab7	fap7		
琺	客英字典	fab7	fap7		
髮	客英字典	fad7	fat7		
帆	客英字典	fam2	fam2		
忛	客英字典	fam2	fam2		
番	客英字典	fan1	fan1		
蕃	客英字典	fan1	fan1		
噃	客英字典	fan1	fan1		
幡	客英字典	fan1	fan1		
藩	客英字典	fan1	fan1		
翻	客英字典	fan1	fan1		
旛	客英字典	fan1	fan1		
颿	客英字典	fam2	fam2		
颿	客英字典	fam5	fam5		
轓	客英字典	fan1	fan1		
籓	客英字典	fan1	fan1		
凣	客英字典	fam2	fam2		
凡	客英字典	fam2	fam2		
杋	客英字典	fam2	fam2		
笲	客英字典	fan1	fan1		
煩	客英字典	fan2	fan2		
墦	客英字典	fan1	fan1		
墦	客英字典	fan2	fan2		
樊	客英字典	fan2	fan2		
璠	客英字典	fan1	fan1		
薠	客英字典	fan2	fan2		
膰	客英字典	fan1	fan1		
燔	客英字典	fan1	fan1		
燔	客英字典	pan1	pʰan1		
繁	客英字典	fan2	fan2		
羳	客英字典	fan1	fan1		
繙	客英字典	fan1	fan1		
蹯	客英字典	fan2	fan2		
蹯	客英字典	fan1	fan1		
蹯	客英字典	pan1	pʰan1		
蹯	客英字典	pan2	pʰan2		
蘩	客英字典	fan2	fan2		
礬	客英字典	fan2	fan2		
瀿	客英字典	fan2	fan2		
蠜	客英字典	fan2	fan2		
反	客英字典	fan3	fan3		
返	客英字典	fan3	fan3		
犯	客英字典	fam5	fam5		
犯	客英字典	fam3	fam3		
氾	客英字典	fam5	fam5		
汎	客英字典	fam5	fam5		
泛	客英字典	fam5	fam5		
范	客英字典	fam5	fam5		
畈	客英字典	fan5	fan5		
梵	客英字典	fam2	fam2		
梵	客英字典	fam5	fam5		
販	客英字典	fan5	fan5		
販	客英字典	pan5	pʰan5		
飯	客英字典	fan3	fan3		
範	客英字典	fam5	fam5		
嬎	客英字典	fu5	fu5		
嬎	客英字典	fan5	fan5		
匚	客英字典	fong1	foŋ1		
方	客英字典	fong1	foŋ1		
邡	客英字典	fong1	foŋ1		
坊	客英字典	fong2	foŋ2		
坊	客英字典	fong1	foŋ1		
芳	客英字典	fong1	foŋ1		
枋	客英字典	fong1	foŋ1		
枋	客英字典	piong1	pʰioŋ1		
鈁	客英字典	fong1	foŋ1		
防	客英字典	fong2	foŋ2		
妨	客英字典	fong2	foŋ2		
肪	客英字典	fong1	foŋ1		
房	客英字典	fong2	foŋ2		
魴	客英字典	fong2	foŋ2		
仿	客英字典	fong3	foŋ3		
昉	客英字典	fong3	foŋ3		
昘	客英字典	fong3	foŋ3		
昘	客英字典	fong5	foŋ5		
瓬	客英字典	fong3	foŋ3		
眆	客英字典	fong3	foŋ3		
倣	客英字典	fong3	foŋ3		
舫	客英字典	fong3	foŋ3		
紡	客英字典	fong3	foŋ3		
訪	客英字典	fong3	foŋ3		
訪	客英字典	fong5	foŋ5		
髣	客英字典	fong3	foŋ3		
放	客英字典	fong5	foŋ5		
放	客英字典	piong5	pʰioŋ5		
妃	客英字典	fui1	fui1		
非	客英字典	fui1	fui1		
飛	客英字典	fui1	fui1		
菲	客英字典	fui1	fui1		
婓	客英字典	fui1	fui1		
婓	客英字典	pui2	pʰui2		
啡	客英字典	pai2	pʰai2		
啡	客英字典	fui1	fui1		
婔	客英字典	fui1	fui1		
婔	客英字典	pui2	pʰui2		
扉	客英字典	fui1	fui1		
裶	客英字典	fui1	fui1		
蜚	客英字典	fui1	fui1		
蜚	客英字典	fui3	fui3		
緋	客英字典	fui1	fui1		
霏	客英字典	fui1	fui1		
馡	客英字典	fui1	fui1		
騑	客英字典	fui1	fui1		
肥	客英字典	pui2	pʰui2		
淝	客英字典	pui2	pʰui2		
腓	客英字典	fui1	fui1		
腓	客英字典	pui2	pʰui2		
蜰	客英字典	pui2	pʰui2		
蟦	客英字典	pui2	pʰui2		
蟦	客英字典	pun1	pʰun1		
朏	客英字典	fui3	fui3		
胐	客英字典	kud7	kʰut7		
匪	客英字典	fui1	fui1		
匪	客英字典	fui3	fui3		
奜	客英字典	fui3	fui3		
悱	客英字典	fui3	fui3		
棐	客英字典	fui3	fui3		
斐	客英字典	fui3	fui3		
榧	客英字典	fui1	fui1		
翡	客英字典	fui5	fui5		
誹	客英字典	fui3	fui3		
篚	客英字典	fui3	fui3		
芾	客英字典	fui5	fui5		
芾	客英字典	fud7	fut7		
吠	客英字典	pui5	pʰui5		
吠	客英字典	poi5	pʰoi5		
杮	客英字典	pui5	pʰui5		
肺	客英字典	pui5	pʰui5		
狒	客英字典	fui5	fui5		
沸	客英字典	bui5	pui5		
厞	客英字典	pui5	pʰui5		
厞	客英字典	fui1	fui1		
厞	客英字典	fui5	fui5		
剕	客英字典	pui5	pʰui5		
剕	客英字典	fui1	fui1		
剕	客英字典	fui5	fui5		
疿	客英字典	fui5	fui5		
屝	客英字典	fui1	fui1		
屝	客英字典	fui5	fui5		
費	客英字典	fui5	fui5		
費	客英字典	bui5	pui5		
費	客英字典	bi5	pi5		
痱	客英字典	fui1	fui1		
癈	客英字典	fui5	fui5		
分	客英字典	fun1	fun1		
分	客英字典	fun5	fun5		
芬	客英字典	fun1	fun1		
吩	客英字典	fun1	fun1		
帉	客英字典	fun1	fun1		
昐	客英字典	fun1	fun1		
氛	客英字典	fun1	fun1		
衯	客英字典	fun1	fun1		
翂	客英字典	fun1	fun1		
紛	客英字典	fun1	fun1		
棻	客英字典	fun1	fun1		
雰	客英字典	fun1	fun1		
餴	客英字典	fun1	fun1		
饙	客英字典	fun1	fun1		
汾	客英字典	fun1	fun1		
枌	客英字典	fun1	fun1		
肦	客英字典	ban1	pan1		
羒	客英字典	fun1	fun1		
羒	客英字典	fun2	fun2		
棼	客英字典	fun1	fun1		
焚	客英字典	fun2	fun2		
馚	客英字典	fun2	fun2		
蕡	客英字典	fun2	fun2		
鳻	客英字典	fun1	fun1		
鼢	客英字典	fun3	fun3		
鼢	客英字典	fun1	fun1		
鼖	客英字典	fun2	fun2		
羵	客英字典	fun2	fun2		
豶	客英字典	fun2	fun2		
馩	客英字典	fun2	fun2		
黂	客英字典	fun2	fun2		
粉	客英字典	fun3	fun3		
瞓	客英字典	fun5	fun5		
黺	客英字典	fun3	fun3		
份	客英字典	fun5	fun5		
份	客英字典	bin1	pin1		
份	客英字典	fun1	fun1		
份	客英字典	bun1	pun1		
坋	客英字典	fun5	fun5		
弅	客英字典	fun2	fun2		
忿	客英字典	fun3	fun3		
僨	客英字典	fun3	fun3		
墳	客英字典	fun2	fun2		
墳	客英字典	pun2	pʰun2		
幩	客英字典	fun2	fun2		
憤	客英字典	fun3	fun3		
奮	客英字典	fun3	fun3		
糞	客英字典	bun5	pun5		
瀵	客英字典	bun5	pun5		
鱝	客英字典	fun5	fun5		
丰	客英字典	fung1	fuŋ1		
妦	客英字典	fung1	fuŋ1		
肨	客英字典	pong3	pʰoŋ3		
肨	客英字典	pong1	pʰoŋ1		
封	客英字典	fung1	fuŋ1		
風	客英字典	fung1	fuŋ1		
埄	客英字典	pung2	pʰuŋ2		
峯	客英字典	fung1	fuŋ1		
峰	客英字典	fung1	fuŋ1		
烽	客英字典	fung1	fuŋ1		
葑	客英字典	fung1	fuŋ1		
崶	客英字典	fung1	fuŋ1		
犎	客英字典	fung1	fuŋ1		
楓	客英字典	fung1	fuŋ1		
蜂	客英字典	fung1	fuŋ1		
蜂	客英字典	pung1	pʰuŋ1		
瘋	客英字典	fung1	fuŋ1		
鋒	客英字典	fung1	fuŋ1		
檒	客英字典	fung1	fuŋ1		
豐	客英字典	fung1	fuŋ1		
酆	客英字典	fung1	fuŋ1		
灃	客英字典	fung1	fuŋ1		
蠭	客英字典	fung1	fuŋ1		
蠭	客英字典	pung1	pʰuŋ1		
夆	客英字典	fung2	fuŋ2		
逢	客英字典	fung2	fuŋ2		
舽	客英字典	pong2	pʰoŋ2		
馮	客英字典	pung2	pʰuŋ2		
渢	客英字典	fam2	fam2		
渢	客英字典	fung1	fuŋ1		
摓	客英字典	fung2	fuŋ2		
漨	客英字典	fung2	fuŋ2		
縫	客英字典	fung2	fuŋ2		
縫	客英字典	pung2	pʰuŋ2		
縫	客英字典	pung5	pʰuŋ5		
唪	客英字典	fung3	fuŋ3		
唪	客英字典	bung3	puŋ3		
諷	客英字典	fung3	fuŋ3		
諷	客英字典	fung5	fuŋ5		
奉	客英字典	fung5	fuŋ5		
俸	客英字典	fung3	fuŋ3		
俸	客英字典	fung5	fuŋ5		
俸	客英字典	bung3	puŋ3		
鳳	客英字典	fung5	fuŋ5		
賵	客英字典	fung3	fuŋ3		
賵	客英字典	fung5	fuŋ5		
紑	客英字典	feu2	feu2		
缶	客英字典	fui2	fui2		
否	客英字典	feu3	feu3		
否	客英字典	pi3	pʰi3		
缻	客英字典	feu2	feu2		
夫	客英字典	fu1	fu1		
沕	客英字典	vud7	vut7		
玞	客英字典	fu1	fu1		
砆	客英字典	fu1	fu1		
怤	客英字典	fu1	fu1		
衭	客英字典	fu1	fu1		
尃	客英字典	fu1	fu1		
旉	客英字典	fu1	fu1		
趺	客英字典	fu1	fu1		
跗	客英字典	fu1	fu1		
跗	客英字典	fu2	fu2		
稃	客英字典	fu1	fu1		
鈇	客英字典	fu1	fu1		
鄜	客英字典	fu1	fu1		
孵	客英字典	fu1	fu1		
孵	客英字典	pu5	pʰu5		
麩	客英字典	fu1	fu1		
敷	客英字典	fu1	fu1		
膚	客英字典	fu1	fu1		
懯	客英字典	fu1	fu1		
弗	客英字典	fud7	fut7		
伏	客英字典	fug8	fuk8		
甶	客英字典	fud8	fut8		
扶	客英字典	fu2	fu2		
芙	客英字典	fu2	fu2		
芣	客英字典	feu2	feu2		
佛	客英字典	fud8	fut8		
孚	客英字典	fu1	fu1		
冹	客英字典	fud7	fut7		
刜	客英字典	fud7	fut7		
拂	客英字典	fud7	fut7		
苻	客英字典	fu1	fu1		
苻	客英字典	pu2	pʰu2		
茀	客英字典	fud7	fut7		
枎	客英字典	fu2	fu2		
咈	客英字典	fud8	fut8		
帗	客英字典	fud7	fut7		
彿	客英字典	fud7	fut7		
服	客英字典	fug8	fuk8		
泭	客英字典	fu1	fu1		
怫	客英字典	fui5	fui5		
怫	客英字典	fud7	fut7		
茯	客英字典	fug8	fuk8		
畐	客英字典	fug7	fuk7		
罘	客英字典	feu2	feu2		
俘	客英字典	fu1	fu1		
郛	客英字典	fu1	fu1		
洑	客英字典	fug8	fuk8		
祓	客英字典	fud7	fut7		
莩	客英字典	fu1	fu1		
蚨	客英字典	fu2	fu2		
浮	客英字典	feu2	feu2		
菔	客英字典	ped8	pʰet8		
菔	客英字典	fug8	fuk8		
桴	客英字典	fu1	fu1		
桴	客英字典	feu5	feu5		
虙	客英字典	fug8	fuk8		
符	客英字典	pu2	pʰu2		
笰	客英字典	fud7	fut7		
匐	客英字典	ped8	pʰet8		
烰	客英字典	feu2	feu2		
涪	客英字典	feu2	feu2		
涪	客英字典	fu2	fu2		
袱	客英字典	fug8	fuk8		
艴	客英字典	fud7	fut7		
紱	客英字典	fud7	fut7		
紼	客英字典	fud7	fut7		
葍	客英字典	fug7	fuk7		
幅	客英字典	fug7	fuk7		
罦	客英字典	fu1	fu1		
罦	客英字典	fu2	fu2		
絥	客英字典	fug8	fuk8		
蜉	客英字典	feu2	feu2		
鳧	客英字典	fu2	fu2		
福	客英字典	fug7	fuk7		
綍	客英字典	fud7	fut7		
榑	客英字典	fu2	fu2		
箙	客英字典	fug8	fuk8		
韍	客英字典	fud7	fut7		
髴	客英字典	fud7	fut7		
蝠	客英字典	fug7	fuk7		
幞	客英字典	pug7	pʰuk7		
輻	客英字典	fug7	fuk7		
黻	客英字典	fud7	fut7		
襆	客英字典	pug7	pʰuk7		
抚	客英字典	vu3	vu3		
甫	客英字典	pu3	pʰu3		
拊	客英字典	fu5	fu5		
斧	客英字典	bu3	pu3		
府	客英字典	fu3	fu3		
弣	客英字典	fu3	fu3		
俯	客英字典	fu3	fu3		
釜	客英字典	fu3	fu3		
捬	客英字典	vu3	vu3		
捬	客英字典	mu3	mu3		
盙	客英字典	pu3	pʰu3		
腑	客英字典	fu3	fu3		
輔	客英字典	pu3	pʰu3		
腐	客英字典	fu3	fu3		
撫	客英字典	vu3	vu3		
鬴	客英字典	fu3	fu3		
鬴	客英字典	pu3	pʰu3		
簠	客英字典	pu3	pʰu3		
黼	客英字典	pu3	pʰu3		
父	客英字典	fu5	fu5		
付	客英字典	fu5	fu5		
附	客英字典	fu5	fu5		
咐	客英字典	fu5	fu5		
阜	客英字典	fu5	fu5		
阜	客英字典	feu3	feu3		
阜	客英字典	fu3	fu3		
赴	客英字典	fu5	fu5		
柎	客英字典	fu5	fu5		
負	客英字典	fu5	fu5		
訃	客英字典	fu5	fu5		
祔	客英字典	fu5	fu5		
副	客英字典	fu5	fu5		
蚹	客英字典	fu5	fu5		
偩	客英字典	fu5	fu5		
婦	客英字典	fu5	fu5		
軵	客英字典	fu5	fu5		
軵	客英字典	iung3	iuŋ3		
傅	客英字典	fu5	fu5		
復	客英字典	fug8	fuk8		
富	客英字典	fu5	fu5		
媍	客英字典	fu5	fu5		
腹	客英字典	bug7	puk7		
複	客英字典	bug7	puk7		
駙	客英字典	fu5	fu5		
賦	客英字典	fu5	fu5		
蝮	客英字典	fug7	fuk7		
蝮	客英字典	bug7	puk7		
輹	客英字典	fug7	fuk7		
鮒	客英字典	fu5	fu5		
縛	客英字典	piog8	pʰiok8		
賻	客英字典	fu5	fu5		
覆	客英字典	fug7	fuk7		
馥	客英字典	bug7	puk7		
鰒	客英字典	fug7	fuk7		
旮	客英字典	hiug7	hiuk7		
伽	客英字典	ga1	ka1		
呷	客英字典	ab7	ap7		
呷	客英字典	hab7	hap7		
嘎	客英字典	kad7	kʰat7		
尬	客英字典	gai5	kai5		
侅	客英字典	goi1	koi1		
侅	客英字典	goi5	koi5		
陔	客英字典	goi1	koi1		
垓	客英字典	goi1	koi1		
荄	客英字典	goi1	koi1		
峐	客英字典	gai1	kai1		
峐	客英字典	goi1	koi1		
晐	客英字典	goi1	koi1		
祴	客英字典	goi1	koi1		
祴	客英字典	gai1	kai1		
賅	客英字典	goi1	koi1		
該	客英字典	goi1	koi1		
該	客英字典	gai1	kai1		
改	客英字典	goi3	koi3		
丐	客英字典	goi5	koi5		
匃	客英字典	god7	kot7		
匃	客英字典	goi1	koi1		
摡	客英字典	kai3	kʰai3		
摡	客英字典	koi3	kʰoi3		
葢	客英字典	goi5	koi5		
蓋	客英字典	goi5	koi5		
漑	客英字典	koi3	kʰoi3		
漑	客英字典	kai3	kʰai3		
槪	客英字典	kai3	kʰai3		
槪	客英字典	koi3	kʰoi3		
槪	客英字典	gi5	ki5		
甘	客英字典	gam1	kam1		
忓	客英字典	gon1	kon1		
玕	客英字典	gon1	kon1		
杆	客英字典	gon1	kon1		
肝	客英字典	gon1	kon1		
坩	客英字典	kam1	kʰam1		
苷	客英字典	gam1	kam1		
矸	客英字典	gon5	kon5		
泔	客英字典	gam1	kam1		
乹	客英字典	ken2	kʰen2		
乹	客英字典	gon1	kon1		
乹	客英字典	kien2	kʰien2		
柑	客英字典	gam1	kam1		
竿	客英字典	gon1	kon1		
竿	客英字典	guon1	kuon1		
疳	客英字典	gam1	kam1		
尲	客英字典	giam1	kiam1		
鳱	客英字典	gon1	kon1		
尷	客英字典	giam1	kiam1		
扞	客英字典	hon5	hon5		
扞	客英字典	gon5	kon5		
秆	客英字典	gon3	kon3		
桿	客英字典	gon5	kon5		
桿	客英字典	hon3	hon3		
桿	客英字典	gon1	kon1		
笴	客英字典	ko3	kʰo3		
敢	客英字典	gam3	kam3		
稈	客英字典	gon3	kon3		
感	客英字典	gam3	kam3		
趕	客英字典	gon3	kon3		
澉	客英字典	gam5	kam5		
橄	客英字典	gam3	kam3		
擀	客英字典	hon5	hon5		
擀	客英字典	gon5	kon5		
擀	客英字典	gon3	kon3		
簳	客英字典	gon5	kon5		
鱤	客英字典	gam3	kam3		
干	客英字典	gon5	kon5		
旰	客英字典	gon5	kon5		
盰	客英字典	gon3	kon3		
倝	客英字典	gon5	kon5		
淦	客英字典	gam5	kam5		
紺	客英字典	gam5	kam5		
骭	客英字典	gon5	kon5		
詌	客英字典	gam5	kam5		
幹	客英字典	gon5	kon5		
榦	客英字典	gon5	kon5		
贛	客英字典	gam5	kam5		
贛	客英字典	gung5	kuŋ5		
灨	客英字典	gam5	kam5		
肛	客英字典	gong1	koŋ1		
矼	客英字典	gong1	koŋ1		
岡	客英字典	gong1	koŋ1		
疘	客英字典	gung1	kuŋ1		
缸	客英字典	gong1	koŋ1		
罡	客英字典	gong1	koŋ1		
剛	客英字典	gong1	koŋ1		
堈	客英字典	gong1	koŋ1		
崗	客英字典	gong1	koŋ1		
釭	客英字典	gong1	koŋ1		
棡	客英字典	vong3	voŋ3		
棡	客英字典	mong1	moŋ1		
犅	客英字典	gong1	koŋ1		
罁	客英字典	gong1	koŋ1		
綱	客英字典	gong1	koŋ1		
鋼	客英字典	gong5	koŋ5		
鋼	客英字典	gong1	koŋ1		
港	客英字典	gong3	koŋ3		
杠	客英字典	gong1	koŋ1		
杠	客英字典	gong5	koŋ5		
掆	客英字典	gong1	koŋ1		
焵	客英字典	gong5	koŋ5		
槓	客英字典	gong5	koŋ5		
槓	客英字典	gung5	kuŋ5		
槓	客英字典	lung3	luŋ3		
皋	客英字典	gau1	kau1		
高	客英字典	gau1	kau1		
羔	客英字典	gau1	kau1		
羔	客英字典	go1	ko1		
臯	客英字典	gau1	kau1		
睾	客英字典	id8	it8		
膏	客英字典	gau1	kau1		
橰	客英字典	gau1	kau1		
篙	客英字典	gau1	kau1		
篙	客英字典	go1	ko1		
糕	客英字典	gau1	kau1		
餻	客英字典	gau1	kau1		
櫜	客英字典	gau1	kau1		
鼛	客英字典	gau1	kau1		
夰	客英字典	gau3	kau3		
夰	客英字典	hau5	hau5		
杲	客英字典	gau3	kau3		
槁	客英字典	gau3	kau3		
稿	客英字典	gau3	kau3		
稿	客英字典	go3	ko3		
稾	客英字典	gau3	kau3		
稾	客英字典	go3	ko3		
縞	客英字典	gau3	kau3		
藁	客英字典	gau3	kau3		
鎬	客英字典	hau3	hau3		
告	客英字典	gau5	kau5		
告	客英字典	kug7	kʰuk7		
郜	客英字典	gau5	kau5		
筶	客英字典	gau5	kau5		
筶	客英字典	kau5	kʰau5		
暠	客英字典	hau1	hau1		
暠	客英字典	gau3	kau3		
暠	客英字典	hau3	hau3		
誥	客英字典	kau5	kʰau5		
誥	客英字典	gau1	kau1		
戈	客英字典	ko1	kʰo1		
仡	客英字典	ngied7	ŋiet7		
犵	客英字典	ged7	ket7		
犵	客英字典	ngied7	ŋiet7		
犵	客英字典	gied7	kiet7		
肐	客英字典	id7	it7		
疙	客英字典	ngied7	ŋiet7		
咯	客英字典	gog8	kok8		
咯	客英字典	log8	lok8		
哥	客英字典	go1	ko1		
胳	客英字典	ged7	ket7		
胳	客英字典	gog7	kok7		
袼	客英字典	log7	lok7		
袼	客英字典	ged7	ket7		
袼	客英字典	log8	lok8		
割	客英字典	god7	kot7		
歌	客英字典	go1	ko1		
擱	客英字典	gog7	kok7		
鴿	客英字典	gab7	kap7		
謌	客英字典	go1	ko1		
佮	客英字典	hab8	hap8		
佮	客英字典	kab7	kʰap7		
匌	客英字典	hab8	hap8		
匌	客英字典	kab7	kʰap7		
挌	客英字典	gag7	kak7		
挌	客英字典	ged7	ket7		
革	客英字典	gag7	kak7		
革	客英字典	ged7	ket7		
革	客英字典	gied7	kiet7		
茖	客英字典	ged7	ket7		
茖	客英字典	gag7	kak7		
格	客英字典	ged7	ket7		
格	客英字典	gag7	kak7		
格	客英字典	gied7	kiet7		
鬲	客英字典	gag7	kak7		
鬲	客英字典	lid8	lit8		
葛	客英字典	god7	kot7		
蛒	客英字典	ged7	ket7		
蛒	客英字典	gag7	kak7		
隔	客英字典	gag7	kak7		
嗝	客英字典	gag7	kak7		
觡	客英字典	ged7	ket7		
觡	客英字典	gog7	kok7		
滆	客英字典	hed7	het7		
槅	客英字典	gag7	kak7		
閤	客英字典	hab8	hap8		
閣	客英字典	gog7	kok7		
膈	客英字典	gag7	kak7		
鞈	客英字典	giab7	kiap7		
骼	客英字典	ged7	ket7		
骼	客英字典	gog7	kok7		
韐	客英字典	giab7	kiap7		
輵	客英字典	god7	kot7		
轕	客英字典	god7	kot7		
哿	客英字典	ko3	kʰo3		
舸	客英字典	ko3	kʰo3		
各	客英字典	gog7	kok7		
虼	客英字典	gag7	kak7		
個	客英字典	gai5	kai5		
硌	客英字典	log8	lok8		
箇	客英字典	gai5	kai5		
給	客英字典	gib7	kip7		
根	客英字典	gin1	kin1		
跟	客英字典	gen1	ken1		
哏	客英字典	gen1	ken1		
艮	客英字典	gen5	ken5		
亘	客英字典	sien1	sien1		
亙	客英字典	kuen3	kʰuen3		
茛	客英字典	gen5	ken5		
搄	客英字典	hen2	hen2		
搄	客英字典	kuen3	kʰuen3		
庚	客英字典	gang1	kaŋ1		
畊	客英字典	gang1	kaŋ1		
耕	客英字典	gang1	kaŋ1		
絚	客英字典	hen2	hen2		
賡	客英字典	gang1	kaŋ1		
羮	客英字典	gang1	kaŋ1		
縆	客英字典	hen2	hen2		
鶊	客英字典	gang1	kaŋ1		
埂	客英字典	gen5	ken5		
挭	客英字典	gen3	ken3		
耿	客英字典	kuen3	kʰuen3		
哽	客英字典	gen3	ken3		
哽	客英字典	gang3	kaŋ3		
梗	客英字典	gen3	ken3		
梗	客英字典	gien3	kien3		
綆	客英字典	gen3	ken3		
骾	客英字典	gen3	ken3		
骾	客英字典	ngang5	ŋaŋ5		
鯁	客英字典	gen5	ken5		
更	客英字典	gen3	ken3		
更	客英字典	gang1	kaŋ1		
更	客英字典	gin3	kin3		
更	客英字典	gen5	ken5		
堩	客英字典	kuen3	kʰuen3		
工	客英字典	gung1	kuŋ1		
弓	客英字典	giung1	kiuŋ1		
厷	客英字典	kuen1	kʰuen1		
公	客英字典	gung1	kuŋ1		
功	客英字典	gung1	kuŋ1		
攻	客英字典	gung1	kuŋ1		
供	客英字典	giung1	kiuŋ1		
供	客英字典	giung5	kiuŋ5		
肱	客英字典	kuen1	kʰuen1		
肱	客英字典	kuen3	kʰuen3		
恭	客英字典	giung1	kiuŋ1		
蚣	客英字典	gung1	kuŋ1		
躬	客英字典	giung1	kiuŋ1		
宮	客英字典	giung1	kiuŋ1		
躳	客英字典	giung1	kiuŋ1		
觥	客英字典	kuen1	kʰuen1		
觵	客英字典	kuong1	kʰuoŋ1		
龔	客英字典	giung1	kiuŋ1		
廾	客英字典	giung3	kiuŋ3		
汞	客英字典	fung3	fuŋ3		
拱	客英字典	giung3	kiuŋ3		
珙	客英字典	giung3	kiuŋ3		
拲	客英字典	giung3	kiuŋ3		
栱	客英字典	giung3	kiuŋ3		
鞏	客英字典	giung3	kiuŋ3		
共	客英字典	kiung5	kʰiuŋ5		
共	客英字典	giung1	kiuŋ1		
共	客英字典	giung3	kiuŋ3		
羾	客英字典	fung2	fuŋ2		
貢	客英字典	gung5	kuŋ5		
勾	客英字典	geu1	keu1		
勾	客英字典	keu1	kʰeu1		
抅	客英字典	gi1	ki1		
抅	客英字典	ki1	kʰi1		
冓	客英字典	geu5	keu5		
鈎	客英字典	geu1	keu1		
鉤	客英字典	geu1	keu1		
溝	客英字典	geu1	keu1		
褠	客英字典	geu1	keu1		
緱	客英字典	geu1	keu1		
篝	客英字典	geu1	keu1		
鞲	客英字典	geu1	keu1		
韝	客英字典	geu1	keu1		
苟	客英字典	geu3	keu3		
岣	客英字典	geu3	keu3		
狗	客英字典	geu3	keu3		
耇	客英字典	geu3	keu3		
枸	客英字典	geu3	keu3		
枸	客英字典	geu1	keu1		
